[00:38.590 --> 00:43.830]  The event's been good. I think this is my favorite Secret Cup that we've done out
[06:16.040 --> 06:22.040]  This is a real organic community experience. This is done with a lot of effort, a lot of love.
[06:22.040 --> 06:43.040]  There's something here that you won't find in the corporate element of other events. It doesn't really have that feel of people trying to make money. It more or less has the feel of a community trying to really become more tight-knit and a group of purists trying to really find the best product and the most healthiest product out there.
[06:44.040 --> 06:49.040]  My name's Doug Dracop, and I own Hitman Glass, and I also throw a chalice festival.
[06:49.040 --> 06:51.040]  Big round of applause for Hitman Glass and Chalice.
[07:04.940 --> 07:15.940]  Supporting Daniel and Jeremy and this whole elaborate thing they've created. I've definitely been there from the earlier stages, attending a lot of their events.
[07:16.940 --> 07:20.940]  Events like this progress the movement because really nobody else is doing anything like this.
[07:20.940 --> 07:36.940]  We strive for perfection in our work, but at the Secret Cups there's a little bit more of a brotherhood where we can talk about things and share our tech rather than try to hoard it or keep it as a secret society or something.
[07:36.940 --> 07:49.940]  To me, the Secret Cup is my family, not just my friends. Wherever we are, if you catch the vision and you're a part of it, then you're a part of the family.
[07:50.940 --> 07:59.940]  And Hydro, just as an artist, supporting the Secret Cup with the Secret Cup anthem. That's awesome. I know everybody loves it, so thank you for the anthem as well.
[08:07.940 --> 08:19.940]  For me, it's really family. Having all the people come together from all the different cities. Every cup, it's something bigger, it's something better. It's people helping each other out to get the stuff on another level.
[08:20.940 --> 08:26.940]  People aren't holding back the tricks very much, and that's what's cool about it. Well, like I said, family, family, family.
[08:27.940 --> 08:29.940]  Oh, you're on film, dude. You're not posing.
[08:30.940 --> 08:43.790]  We get to celebrate the things that we love, the culture of cannabis, concentrates, and all the good things that we want to see go further in the community.
[08:44.790 --> 08:50.790]  It was like summer camp for Hashmakers. It was like the best symposium we could come up with.
[08:50.790 --> 09:02.790]  It's cool that the event kind of grew with the movement, and it grew with the times. It's really developed into its own beast. I go to all types of weed events all over the world.
[09:03.790 --> 09:14.790]  All these guys are my friends and family, really. I've been attending almost every Secret Cup since the inception, and I've also performed at several of them or hosted others.
[09:14.790 --> 09:23.790]  I've been involved in one capacity and another for a lot of the shows, but I can't take credit for any of it. It's all definitely Jeremy and Daniel's.
[09:24.790 --> 09:33.790]  I'm really, really happy that we were able to do the event here in such an amazing venue. We were really, really lucky to have the people that helped us last year kind of line it up.
[09:33.790 --> 09:43.790]  That's Fields and Oli and the whole staff here, Ron. Everybody's been awesome. So I would love to come back and do a lot more here.
[09:44.790 --> 09:53.790]  There's a certain joy that comes from experiencing superior work. So it's for the connoisseurs, and it's for the patients.
[09:54.790 --> 09:57.790]  So I'm really happy to give this award to...
[09:58.790 --> 10:06.790]  We actually took first place last year, so that was out of control for us. And I love this. Like I said, just to be around all my brothers and sisters. I work a lot right now.
[10:07.790 --> 10:11.790]  To get to enjoy this and be around family, it's awesome. It's the best.
[10:12.790 --> 10:18.790]  Bringing everybody together at somebody's cool house, and we're hanging out, and you're just chilling like you're with your friends at home.
[10:19.790 --> 10:28.790]  I like being able to meet people on a one-on-one basis. Sometimes when you meet someone in their booth, they're so riddled with other people and stress and everything that they got going on.
[10:29.790 --> 10:38.790]  It's hard to get on a personal basis with someone and really talk to them about their tech or what they're doing or where they stand in the oil industry or even in the cannabis industry, period.
[10:38.790 --> 10:48.790]  When it's a much more personal level like this and you have a lot more time to hang out with everyone and hear where they come from and hear their story, you meet a lot of great people from all around the world that you never would have had the chance to meet.
[10:49.790 --> 11:02.790]  And that's probably one of the better things about the Nationals is that here in Vegas, you have the top three from every region around the world, essentially the 20 best hashmakers in the United States.
[11:03.790 --> 11:10.790]  And to have them all sit down at the same table and compare each other's stuff in and of itself is just making history in the cannabis movement.
[11:11.790 --> 11:17.790]  Fuck yeah, I think we're the best. Maybe not me, but the group of people are probably hands down the best.
[11:18.790 --> 11:25.790]  I'm a very lucky person. I get to travel all over the country and now the world doing these competitions, bringing like-minded people together.
[11:26.790 --> 11:30.790]  It's such a joy to be able to experience all these different places and all these different people.
[11:31.790 --> 11:41.790]  We don't make a lot of money, but the experiences we get in being able to go to the event ourselves that we want to go to, even though we had to create it, is priceless.
[11:42.790 --> 11:44.790]  That's the thing I'm most proud of in life.
[11:45.790 --> 11:50.790]  I want to thank Haggard for just DJing for like two days straight and never ending.
[11:50.790 --> 11:57.790]  Thank you for ending the event. I think Jeremy has a few things he wanted to throw out there before we start announcing the winners.
[11:58.790 --> 12:09.790]  Myself and Daniel met at a dispensary. It was called Kind Meds. They were the premier dispensary for concentrates in the Valley at the time.
[12:10.790 --> 12:18.790]  When I was growing up, there was a definite stigma against cannabis. My mother, she was a smoker and was actually smoking until she was about five months pregnant.
[12:18.790 --> 12:23.790]  But my grandmother was definitely against it, even though she owned a bar.
[12:24.790 --> 12:28.790]  When I moved from Arizona to California to live with her, she broke it down for me.
[12:29.790 --> 12:32.790]  Like, see that bench right there in Blythe? Me and your stepdad smoked a joint there.
[12:33.790 --> 12:37.790]  At first it was completely shocking to me, the fact that my mother smoked pot, you know?
[12:38.790 --> 12:43.790]  But for the next five years I was living with her and got very exposed to it.
[12:44.790 --> 12:51.790]  And yeah, I never really had a stigma after I was nine years old. I mean, it was just a part of regular life.
[12:52.790 --> 12:55.790]  So there were no brand names or companies known for cannabis.
[12:56.790 --> 13:01.790]  There were strains that you'd heard about, like Maui Waui was this famous Hawaiian strain or Thai stick.
[13:01.790 --> 13:06.790]  When you're going to buy cannabis in the old days, it was like good bud or bad bud.
[13:07.790 --> 13:08.790]  Cheap or expensive.
[13:09.790 --> 13:14.790]  There were not a lot of choices and it wasn't the same every time you went back to the same person, even.
[13:15.790 --> 13:17.790]  Sometimes they would have this, sometimes they would have that.
[13:18.790 --> 13:23.790]  You got a little bit of variety, but they were limited in what they grew or who they were able to get from, too.
[13:24.790 --> 13:27.790]  So we didn't have any of the brands here in the United States.
[13:28.790 --> 13:31.790]  When you went overseas, though, they had seed companies and coffee shops.
[13:32.790 --> 13:39.790]  So certain genetics started to come from people who had established themselves in Amsterdam and other places as seed companies.
[13:40.790 --> 13:46.790]  And the strains they came out with would generate recognition and those would become sought after as well.
[13:47.790 --> 13:52.790]  But even then, from grower to grower, the plants can be very different, even though it's the same genetics.
[13:53.790 --> 13:56.790]  And even from seed to seed of the same strain, they can be very different.
[13:57.790 --> 14:03.790]  Your experience with cannabis was very limited and very unique, if you were even able to get some of this stuff.
[14:04.790 --> 14:11.790]  So as cannabis grew and became more of a mainstream thing, now you saw it was easier to establish and popularize a brand.
[14:12.790 --> 14:15.790]  Then the change went away from the emphasis being really the genetics.
[14:16.790 --> 14:20.790]  And now it's more the brands with certain genetics being associated with those brands.
[14:21.790 --> 14:22.790]  It's really fascinating.
[14:23.790 --> 14:25.790]  It was all in college for me.
[14:25.790 --> 14:28.790]  See, when I was 16 years old, I was living in a foster home.
[14:29.790 --> 14:33.790]  I joined a Christian fundamentalist church and was in there until I was 19 years old.
[14:34.790 --> 14:42.790]  And then when I was 19 years old, I decided that, you know, I met a girl and I decided I wanted to be with her and not with the church.
[14:43.790 --> 14:45.790]  So I left it.
[14:46.790 --> 14:48.790]  There was this weird kid who was an obvious stoner.
[14:49.790 --> 14:53.790]  I was about to cross the street and he was crossing the street too.
[14:53.790 --> 14:54.790]  And we ran into each other.
[14:55.790 --> 14:57.790]  He was like, hey, can you try to buy us some beer at the store?
[14:58.790 --> 14:59.790]  We were both 19.
[15:00.790 --> 15:01.790]  And I'm like, sure, I'll give it a shot.
[15:02.790 --> 15:03.790]  I walk right in there.
[15:04.790 --> 15:06.790]  I get us two 40s and come out and he's like, hey, I want to roll up this blunt.
[15:07.790 --> 15:08.790]  You know, do you want to smoke?
[15:09.790 --> 15:10.790]  And I'm like, yeah.
[15:11.790 --> 15:12.790]  So we go back to his apartment.
[15:13.790 --> 15:15.790]  He got one of those giant cigars and an ounce of schwag.
[15:16.790 --> 15:19.790]  And he broke it all up, pulled the seeds and stems out and rolled the fattest blunt.
[15:19.790 --> 15:22.790]  Smoked half of it, slept on his couch like for two days.
[15:23.790 --> 15:26.790]  And I just woke up and I think I've smoked weed every single day since.
[15:29.790 --> 15:39.140]  Look at that guy go, lungs of steel.
[15:40.140 --> 15:42.140]  After his philosopher's stones and everything.
[15:43.140 --> 15:45.140]  Cannabis helped me socially tremendously.
[15:46.140 --> 15:48.140]  I wasn't one of the popular kids growing up.
[15:49.140 --> 15:51.140]  And all I ever wanted was to just be one of the cool kids.
[15:52.140 --> 15:55.140]  For the longest time, I did not embrace being different.
[15:55.140 --> 15:57.140]  I saw it as a negative thing.
[15:58.140 --> 16:03.140]  Growing up, not being part of the in crowd, knowing that I was different from everybody else, it was a struggle.
[16:04.140 --> 16:09.140]  As I smoked cannabis, I started to realize that being different could be something really cool and really special.
[16:11.140 --> 16:14.140]  And I was able to have this life that I had dreamed about growing up.
[16:15.140 --> 16:17.140]  Travel all over the world, do all these crazy things.
[16:18.140 --> 16:19.140]  And that was all because of cannabis.
[16:20.140 --> 16:23.140]  I think for me, it was the entire lifestyle of it.
[16:23.140 --> 16:32.140]  I sold weed because I was a foster kid that went straight into a university and lived on financial aid.
[16:33.140 --> 16:36.140]  And I wanted to smoke and have fun and live like the other college kids.
[16:37.140 --> 16:39.140]  So this afforded me the opportunity to do it.
[16:40.140 --> 16:43.140]  What I liked about it the most is how it just brought so many different people together.
[16:44.140 --> 16:50.140]  Like, you know, when you're 18, 19 years old, you have these sessions where you have black people, white people,
[16:50.140 --> 16:55.140]  people from Korea that are exchange students, people from Europe that are exchange students, you know,
[16:56.140 --> 16:57.140]  all together smoking weed.
[16:58.140 --> 17:01.140]  And it was really cool and it was really fun and it was really nice.
[17:02.140 --> 17:07.140]  And I felt like I was on the path to some sort of, like, some sort of thing.
[17:08.140 --> 17:09.140]  Something was coming.
[17:10.140 --> 17:15.910]  Don't want to shatter kids. It doesn't like to stick to a fucking dabber.
[17:16.910 --> 17:20.910]  So if you get shattered in your eye, please do not sue me. I don't have that much money.
[17:21.910 --> 17:31.910]  The idea for the Secret Cup came from a trip that I took to California right after I won first place in the Denver High Times Medical Cannabis Cup for Concentrate.
[17:32.910 --> 17:36.910]  It gave me a little bit of notoriety and I was doing well financially, so I took a trip all up and down the coast.
[17:37.910 --> 17:43.910]  When I went to San Jose, I was hanging out with a bunch of people that were part of this group online called Extract Artists.
[17:44.910 --> 17:47.910]  You know, we were talking about cups and we wanted to make the best event possible.
[17:47.910 --> 17:51.910]  So one thing that we decided was, you know, we really had to have qualified people judging it.
[17:52.910 --> 17:59.910]  And then we decided that the most qualified people of all would be actual Extract Artists.
[18:00.910 --> 18:03.910]  The first Secret Cup, Daniel was throwing it.
[18:04.910 --> 18:11.910]  When I went to cover the event at his house, I realized he was overwhelmed and I started helping out right away.
[18:11.910 --> 18:24.910]  Being the person that I am in the industry, I've been on a lot of different teams and I can recognize something as truly wonderful and truly special when I see it.
[18:25.910 --> 18:29.910]  And I immediately recognized that the Secret Cup was going to be something very special.
[18:30.910 --> 18:36.910]  That the people who were entering were different. They weren't the typical people that enter a lot of these other events.
[18:36.910 --> 18:45.910]  The idea came, sort of evolved into, you know, the actual competitors would be judging the people they were competing against.
[18:46.910 --> 18:54.910]  Because the fact is, I wanted to make it educational. I want everyone who competes to learn. I want them to see what's possible. I want them to see what they're competing against.
[18:55.910 --> 18:58.910]  And, you know, if they need to, just change what they're doing to do better.
[18:58.910 --> 19:08.910]  The whole sentiment of the competition was not the same. There was almost a level of sharing and camaraderie that was part of this competition.
[19:09.910 --> 19:20.910]  Versus like, a typical competition was very like, segregated and tribal. You know, I'm versus you, we're enemies.
[19:21.910 --> 19:27.910]  But at the Secret Cup, people were sharing ideas. They were talking about these concepts in a different way.
[19:28.910 --> 19:31.910]  And the idea was kind of to raise the bar for everyone.
[19:32.910 --> 19:39.910]  It's kind of my legacy. It's kind of like what I'm trying to do. I won a lot of prizes in contests previously.
[19:40.910 --> 19:44.910]  And I find that I like giving out the prizes even better than I like winning them.
[19:45.910 --> 19:49.910]  Just because it's fun to be able to find new talent in something.
[19:49.910 --> 19:58.910]  And a lot of the hashmakers that are doing really well today and making great products were not discovered by the Secret Cup.
[19:59.910 --> 20:01.910]  But, you know, that was the first contest they ever won.
[20:02.910 --> 20:07.910]  When I saw that in Colorado at the first Secret Cup, I told Daniel, I said, I want to do this in Los Angeles.
[20:08.910 --> 20:16.910]  Our community was potentially deeper and doing better work than the work they were doing in Colorado.
[20:16.910 --> 20:18.910]  And I wanted to showcase that right away.
[20:19.910 --> 20:22.910]  I had been to the Amsterdam Cannabis Cups many times.
[20:23.910 --> 20:30.910]  And a common sentiment when you're going there from California is that you're not very impressed with the quality of cannabis or the quality of hash.
[20:31.910 --> 20:33.910]  Or the quality of a lot of these products that are being entered.
[20:34.910 --> 20:38.910]  Some of it is definitely very impressive if you're lucky enough to get introduced to that.
[20:39.910 --> 20:42.910]  And so I came to Daniel and I said I wanted to do it.
[20:42.910 --> 20:48.910]  And then when he gave me the green light to go ahead and do it, I took that ball and I ran with it.
[20:54.910 --> 20:57.910]  The big event in cannabis when I was growing up was High Times Cannabis Cup.
[20:58.910 --> 21:00.910]  And they would do that every year in Amsterdam.
[21:01.910 --> 21:05.910]  There was a part of the whole business side that was really odd to me as a consumer at the time.
[21:06.910 --> 21:14.910]  When you're meeting these cannabis celebrities and people you looked up to, there was all this beef that was going on in the cannabis industry.
[21:15.910 --> 21:18.910]  Adam from TH Seeds I heard refer to it as potlitics.
[21:19.910 --> 21:22.910]  It seems so ridiculous from the outside looking in.
[21:23.910 --> 21:25.910]  These people were openly working in cannabis.
[21:26.910 --> 21:27.910]  They were growing weed for a living.
[21:28.910 --> 21:31.910]  Isn't this the most wonderful dream job that anybody could have?
[21:32.910 --> 21:36.910]  But somehow they all had these little chips on their shoulders to a certain degree.
[21:37.910 --> 21:39.910]  And it was kind of this whole shady side of the business.
[21:40.910 --> 21:42.910]  If you win a cannabis cup, you get to be a judge.
[21:43.910 --> 21:44.910]  So I got to see behind the doors and see that whole process.
[21:45.910 --> 21:49.910]  And the coolest part of the whole experience was getting a whole bunch of different weed, of course.
[21:50.910 --> 21:54.910]  And chilling in what was called the judge house at the time.
[21:55.910 --> 21:57.910]  It felt really exclusive.
[21:58.910 --> 22:03.910]  Hanging out with Method Man and Red Man, smoking weed with famous people was kind of cool.
[22:04.910 --> 22:11.910]  But it kind of occurred to me, coming from the perspective of a competitor, that these people were just not qualified.
[22:12.910 --> 22:18.910]  It was a few of us winners and then everybody else was just buddies and stuff.
[22:19.910 --> 22:21.910]  They had known certain staff members for a long time.
[22:22.910 --> 22:23.910]  There's a lot of events right now.
[22:24.910 --> 22:28.910]  And they are a new thing for a lot of people.
[22:29.910 --> 22:32.910]  The High Times event is the one that's been around for the longest time.
[22:33.910 --> 22:35.910]  And we're all just figuring it out as we go along.
[22:36.910 --> 22:42.910]  And different people have different core ideals involved with when they're doing the shows.
[22:43.910 --> 22:48.910]  Different people do it for furthering their companies or for some vision that they might have.
[22:48.910 --> 22:51.910]  But I think we have a really special place that we come from.
[22:52.910 --> 22:56.910]  Where we're doing it because we've attended and done all the other shows.
[22:57.910 --> 22:59.910]  And we know what it is that we're missing.
[23:00.910 --> 23:05.910]  And we're trying to fill that gap for people and show everyone how great it can really be.
[23:06.910 --> 23:09.910]  You have people like our boy Brett in Maine.
[23:10.910 --> 23:12.910]  He was the coordinator over in Maine.
[23:13.910 --> 23:14.910]  And he started doing his own event out there.
[23:14.910 --> 23:15.910]  At the same venue that he found.
[23:16.910 --> 23:18.910]  This cool little farm area.
[23:19.910 --> 23:21.910]  And they have a big barn where you can throw stuff in.
[23:22.910 --> 23:23.910]  And the owner smokes.
[23:24.910 --> 23:25.910]  So it's cool.
[23:26.910 --> 23:27.910]  He started doing a community bonfire like two or three times a year.
[23:28.910 --> 23:29.910]  And that's awesome.
[23:30.910 --> 23:32.910]  I'm very happy to have inspired something like that.
[23:33.910 --> 23:36.910]  And then you have the people that we inspired that only saw the expo part of it.
[23:37.910 --> 23:39.910]  Thinking that was the thing.
[23:40.910 --> 23:47.910]  Our events were about a week or two weeks leading up to the actual public expo.
[23:48.910 --> 23:52.910]  The public expo was the award show that we also had booths at.
[23:53.910 --> 23:54.910]  But that wasn't the thing.
[23:55.910 --> 23:56.910]  That was the end of the thing.
[23:57.910 --> 23:59.910]  But they saw that and they were like, okay.
[24:00.910 --> 24:04.910]  If we find a venue and make a swap meet, people will come.
[24:05.910 --> 24:06.910]  And that's good too.
[24:07.910 --> 24:08.910]  That is good too.
[24:09.910 --> 24:12.910]  This is the lowest aspect of it all.
[24:13.910 --> 24:14.910]  The buying and the selling.
[24:15.910 --> 24:16.910]  Not the hanging out.
[24:17.910 --> 24:18.910]  Not the community.
[24:19.910 --> 24:20.910]  You might have a DJ or comedian making some jokes.
[24:21.910 --> 24:22.910]  But there's nowhere for you to sit.
[24:23.910 --> 24:24.910]  You walk around in a circle.
[24:25.910 --> 24:26.910]  You buy what you want.
[24:27.910 --> 24:28.910]  You go home.
[24:29.910 --> 24:30.910]  And that's cool too.
[24:31.910 --> 24:32.910]  Actually it started when High Times started coming around.
[24:33.910 --> 24:34.910]  I think it was like 2010, 2011.
[24:35.910 --> 24:36.910]  High Times started coming to the US.
[24:36.910 --> 24:39.910]  The medical scene in California and in Denver and Washington
[24:40.910 --> 24:42.910]  had progressed to a state where they could hold competitions there.
[24:43.910 --> 24:44.910]  High Times is a different thing.
[24:45.910 --> 24:46.910]  I love it. I think it's cool.
[24:47.910 --> 24:48.910]  But it's just its own giant in itself.
[24:49.910 --> 24:52.910]  I think this is more like the best of the best type of deal.
[24:53.910 --> 24:54.910]  Yeah, a lot of people compete in that.
[24:55.910 --> 24:56.910]  But this is where we really get to go like this.
[24:57.910 --> 24:58.910]  This is Fat High here.
[24:59.910 --> 25:01.910]  You look like a beast.
[25:02.910 --> 25:03.910]  I'm good.
[25:03.910 --> 25:07.910]  I started going to the competitions.
[25:08.910 --> 25:10.910]  And I had friends that owned different companies.
[25:11.910 --> 25:12.910]  And I had helped them with different entries.
[25:13.910 --> 25:14.910]  And or entered my own stuff.
[25:15.910 --> 25:16.910]  And just kind of progressed from there.
[25:17.910 --> 25:19.910]  I started to make a name for myself when people started to see what I provided.
[25:20.910 --> 25:21.910]  It's kind of funny.
[25:22.910 --> 25:24.910]  What you find to be everywhere.
[25:25.910 --> 25:27.910]  Like for instance, in Southern California, if you go to LA,
[25:28.910 --> 25:29.910]  everyone has OG or grows OG.
[25:30.910 --> 25:32.910]  And then you go to somewhere like Denver or even the East Coast
[25:33.910 --> 25:35.910]  and there's a lot of people who never even tried it.
[25:36.910 --> 25:40.910]  And so you start to really open your eyes to a lot of people out there.
[25:41.910 --> 25:42.910]  And where they're at and where they stand.
[25:43.910 --> 25:44.910]  And then CBD started to happen.
[25:45.910 --> 25:49.910]  And I started to try to progress into CBDs and help as many people as possible.
[25:50.910 --> 25:53.910]  And when I started seeing, when I would go to a cup and have a booth.
[25:54.910 --> 25:55.910]  And people would come up to me and say,
[25:56.910 --> 25:57.910]  Hey man, that last drop you made here at so and so,
[25:58.910 --> 26:00.910]  that really helps me with whatever ailment I have.
[26:00.910 --> 26:03.910]  And it was that right there was my motivation to continue with what I was doing.
[26:04.910 --> 26:06.910]  And to go even harder and try to help as many people as I could.
[26:07.910 --> 26:09.910]  Make money doing it and feel good about myself.
[26:10.910 --> 26:13.910]  There's a lot of people that work every day and they make a lot of money.
[26:14.910 --> 26:16.910]  But they might not feel too good about what they do for a living.
[26:17.910 --> 26:18.910]  You know, like I don't have those issues.
[26:19.910 --> 26:20.910]  I feel great about what I do. There's a lot of people I help.
[26:21.910 --> 26:24.910]  Everything about their life and the people that love them is better.
[26:25.910 --> 26:26.910]  That's what pushes me forward.
[26:27.910 --> 26:29.910]  That's that right there is what makes me want to help as many people as I can.
[26:30.910 --> 26:36.910]  And try to make sure that everyone understands that a lot of things have been purported a lot of way.
[26:37.910 --> 26:41.910]  There's a lot of pharmaceutical drugs that really increase problems instead of alleviate them.
[26:42.910 --> 26:46.910]  And CBDs is a way for people to really change what's wrong with them.
[26:47.910 --> 26:49.910]  Change issues that they're having and alleviate symptoms.
[26:50.910 --> 26:52.910]  And live a much better lifestyle because of it.
[26:53.910 --> 26:55.910]  And it's just new. It's just now coming forward.
[26:56.910 --> 26:57.910]  We just now have the science behind it.
[26:57.910 --> 27:00.910]  We just now have everything we need to progress forward.
[27:01.910 --> 27:04.910]  And show people, you know, the science is there.
[27:05.910 --> 27:07.910]  The more people that are helped, the more people that lives are improved.
[27:08.910 --> 27:11.910]  And the more people that see that is the change that we can make in the world.
[27:12.910 --> 27:16.910]  You know, we got to start with ourselves and hope that other people follow suit.
[27:17.910 --> 27:24.760]  Definitely not my first Secret Cup.
[27:25.760 --> 27:28.760]  I heard about the Secret Cup a while ago and then finally they came to the East Coast.
[27:28.760 --> 27:30.760]  Did the Secret Cup, East Coast.
[27:31.760 --> 27:35.760]  That's when I entered in as Dabra Hashery, X-Tracks, and got to meet all the good boys at the Cup.
[27:36.760 --> 27:42.760]  The competition element of it is sort of like, it's like an American Idol of hash making.
[27:52.190 --> 27:55.190]  And now, the award for highest terps.
[27:56.190 --> 27:58.190]  Surprisingly goes to a high CBD entry as well.
[27:58.190 --> 28:03.190]  Number 17, Gilded X-Tracks for Remedy Sap for the highest terps award.
[28:04.190 --> 28:11.190]  To compete in this event, each contestant only needs to provide 20 grams of concentrate or 60 grams of flour,
[28:12.190 --> 28:14.190]  evening the playing field for smaller producers.
[28:15.190 --> 28:20.190]  Their submission is broken down into judges packs at intake and distributed just a few hours later.
[28:21.190 --> 28:29.120]  The competitors will have a week to sample all the entries before the award ceremony.
[28:29.120 --> 28:30.120]  Are you excited to judge it?
[28:31.120 --> 28:32.120]  Oh yeah, definitely.
[28:33.120 --> 28:36.120]  They will score the entries 1 to 10 in various categories.
[28:37.120 --> 28:41.120]  Some places have more competitors than others, but who will win is always a mystery.
[28:42.120 --> 28:48.120]  All that is known for sure is that the competition will be stiff between these masters of the cannabis craft.
[28:49.120 --> 28:55.120]  Everybody in this competition was like, everybody knocked it out of the park.
[28:56.120 --> 28:57.120]  They're all there for a reason.
[28:57.120 --> 28:58.120]  It's all good.
[28:59.120 --> 29:03.120]  So it's, you know, they call it extract art for a reason because it's people's art.
[29:04.120 --> 29:05.120]  You know, it's hard to say which one is better.
[29:06.120 --> 29:11.120]  You know, I was an attendee always at the original and the Cannabis Cup in Amsterdam was the only event.
[29:12.120 --> 29:17.120]  You wait one year and you fly across the seas and you got to go to one event a year in Amsterdam.
[29:18.120 --> 29:20.120]  And now we're here.
[29:21.120 --> 29:24.120]  There's all kinds of events and it's all changing and I think it's really, really great.
[29:24.120 --> 29:29.120]  When High Times started doing their events in the United States, they were now allowing the booths to sell cannabis.
[29:30.120 --> 29:36.120]  Actually, a few other events did this too on a smaller scale, but High Times did it really big.
[29:37.120 --> 29:44.120]  And I remember going to that event and thinking, oh my God, this is really new and different from even the Amsterdam events.
[29:45.120 --> 29:51.120]  It still wasn't as cool as that experience really, but it was the best we got so far for the US.
[29:51.120 --> 30:01.120]  I'm one of very few people that got my love for events by going to events and being inspired and building these friendships.
[30:02.120 --> 30:04.120]  I think that's really unique.
[30:05.120 --> 30:15.120]  And most of the people that are involved in them now never spent a dollar to just go to enjoy the event without promoting some business or something entirely business related.
[30:15.120 --> 30:21.120]  Growing up not being part of anybody's tribe, feeling like you're an outcast and very different.
[30:22.120 --> 30:29.120]  Then you go to this event and there's all these different kinds of people, but they're somehow like you.
