[00:00.000 --> 00:01.440]  One, two, last four!
[10:23.290 --> 10:25.290]  You've got to play hard.
[10:26.230 --> 10:28.230]  You've got to play hard.
[10:28.230 --> 10:30.230]  You've got to play hard.
[10:30.230 --> 10:32.230]  You've got to bring in the wood to burn in the wood stove.
[10:32.230 --> 10:34.230]  You've got to bring in the water to put on the, you know, for cooking and dishes and washing.
[10:34.230 --> 10:36.230]  And then fire up the Coleman lamp for the light.
[10:36.230 --> 10:38.230]  You know.
[10:38.230 --> 10:40.230]  There was a lot of things to do.
[10:40.230 --> 10:42.230]  And so when you had time, you could do that while you listened to music.
[10:42.230 --> 10:44.230]  You know.
[10:44.230 --> 10:48.030]  There was a lot of things to do.
[10:48.030 --> 10:53.910]  And so when you had time, you could do that while you listen to music.
[10:53.910 --> 10:56.710]  You know, you can always listen to music when you do that.
[10:56.710 --> 10:59.790]  And in the country, there's always music.
[10:59.790 --> 11:05.190]  It may not be coming from the radio, but it's coming from the earth.
[11:05.190 --> 11:13.790]  You know, the birds, the animals, the wind, the sounds of this planet.
[11:13.790 --> 11:15.430]  It's music.
[11:15.430 --> 11:22.870]  And that was the environment that I grew up in.
[11:22.870 --> 11:29.830]  And so being able to do a little bit of everything, that's country.
[11:29.830 --> 11:37.390]  It's almost like living in the country is like being with a movie crew, you know, shooting
[11:37.390 --> 11:39.510]  a movie.
[11:39.510 --> 11:43.670]  Because a low budget movie crew, everybody does everything.
[11:43.670 --> 11:44.670]  Right.
[11:44.670 --> 11:45.670]  Right.
[11:45.670 --> 11:51.030]  So you might be the cameraman one day, you might be the roadie, you might be the grip,
[11:51.030 --> 11:53.030]  you might, you know, you do everything.
[11:53.030 --> 11:56.470]  The sound engineer, you do it all.
[11:56.470 --> 11:57.470]  Because you have to.
[11:57.470 --> 11:58.470]  Yeah.
[11:58.630 --> 12:07.030]  And so if you're lucky enough to sort of get to the point where you specialize in one thing,
[12:07.030 --> 12:08.710]  that can be fun.
[12:08.710 --> 12:20.150]  But in my life, I was forced to do these things, you know, forced in such, well, it had to
[12:20.150 --> 12:22.150]  get done, you know.
[12:22.150 --> 12:23.150]  Right.
[12:23.150 --> 12:24.150]  Yeah.
[12:24.150 --> 12:25.150]  Yeah.
[12:25.590 --> 12:27.790]  And that, you know, nature's music is there.
[12:27.790 --> 12:30.110]  You have to allow yourself to be able to hear it.
[12:30.110 --> 12:35.470]  You know, I grew up in the city as a kid and in my 20s.
[12:35.470 --> 12:39.350]  And I didn't necessarily appreciate nature until later.
[12:39.350 --> 12:41.350]  And now, you know, that's all I can get.
[12:41.350 --> 12:45.550]  I hear these things, I see these things, it reminds me kind of of the magic that is really
[12:45.550 --> 12:46.590]  out there.
[12:46.590 --> 12:48.510]  If we allow ourselves to see it.
[12:48.510 --> 12:50.190]  Well, that's nice.
[12:50.190 --> 12:51.190]  Yeah.
[12:51.190 --> 12:54.590]  You were allowed yourself to get hungry before you ate.
[12:55.030 --> 12:56.510]  That's really nice.
[12:56.510 --> 12:58.510]  I was the opposite.
[12:58.510 --> 13:04.910]  I lived in the country, but oh my God, the city was so fascinating to me.
[13:04.910 --> 13:11.550]  And when I ended up with a friend that had a friend in the city, and then we started
[13:11.550 --> 13:18.070]  hanging out, you know, that time when you're wandering the back alleys, you know, no one
[13:18.070 --> 13:19.070]  pays attention to you.
[13:19.070 --> 13:20.070]  Hey, kid, get out of here.
[13:20.070 --> 13:23.790]  You know, I was at that age.
[13:23.990 --> 13:29.870]  And we roamed all the alleys of Calgary, Alberta, Canada.
[13:29.870 --> 13:33.950]  And that was the city that wow, it's a little cow town.
[13:33.950 --> 13:39.230]  But yeah, I had a great, I had a beautiful, beautiful childhood.
[13:39.230 --> 13:40.230]  Incredible.
[13:40.230 --> 13:43.030]  It's so exciting.
[13:43.030 --> 13:47.510]  And it's, you know, it's definitely developed a lot of character and integrity.
[13:47.510 --> 13:51.110]  And like you said, when things need to get done, you really kind of have to be a jack
[13:51.110 --> 13:52.150]  of all trades.
[13:52.150 --> 13:53.230]  So that probably has helped you.
[13:53.670 --> 13:54.670]  I know that's helped me.
[13:54.670 --> 13:58.550]  You know, when I was doing music, I had to, you know, make flyers.
[13:58.550 --> 14:02.270]  So I had to learn art, you know, and then that kind of had to turn into video production.
[14:02.270 --> 14:06.350]  And it all comes together when you're the only one in the kitchen, you know?
[14:06.350 --> 14:10.350]  Yeah, and you can do it and you can do it and you want it done, you get it done.
[14:10.350 --> 14:13.950]  Yeah, that's why, you know, when people say to me, how can I get a podcast?
[14:13.950 --> 14:19.230]  I go, well, you won't get one by asking me.
[14:20.230 --> 14:29.230]  Yeah, it's, I also managed musicians touring DJs for a while from other countries.
[14:29.230 --> 14:32.230]  Were you a promoter or a manager?
[14:32.230 --> 14:33.230]  Manager.
[14:33.230 --> 14:34.230]  Oh, yeah, just manager.
[14:34.230 --> 14:37.230]  So you got their money, you mean?
[14:37.230 --> 14:42.230]  Yeah, I called people that I never knew or met and said, I know this person and they're
[14:42.230 --> 14:44.230]  coming and I need your flight share.
[14:44.230 --> 14:45.230]  So send me your flight share.
[14:45.230 --> 14:47.230]  And he stays in this kind of a hotel.
[14:47.230 --> 14:48.230]  So make sure you book that.
[14:48.230 --> 14:50.230]  Never met the people, but it works out.
[14:50.230 --> 14:51.230]  It works out.
[14:53.230 --> 14:55.230]  And I kind of forgot where I was going with.
[14:56.230 --> 14:58.230]  No, we're a jack of all trades.
[14:58.230 --> 14:59.230]  Oh, yeah.
[14:59.230 --> 15:01.230]  Having to do what you do.
[15:01.230 --> 15:04.230]  Yeah, you got you got to do it all.
[15:06.230 --> 15:14.230]  You know, real quick on the on the audio portion, I was curious, do you own a record player?
[15:14.230 --> 15:15.230]  Are you a vinyl guy?
[15:19.230 --> 15:21.230]  Not a loyal one.
[15:22.230 --> 15:25.230]  I'm an accidental anything.
[15:26.230 --> 15:31.230]  If it happens to be there and it works, I'll mess with it for a while.
[15:31.230 --> 15:37.230]  I found a record player downstairs and I haven't found a place to put it yet.
[15:38.230 --> 15:42.230]  But no, we were, you know, Cheech and I, we were.
[15:42.230 --> 15:45.230]  That's all we did for seven years.
[15:46.230 --> 15:53.230]  So we did in the studio and just creating all sorts of fun things, you know.
[15:53.230 --> 15:54.230]  God, it was great.
[15:55.230 --> 16:01.230]  I know I just got a publishing company with my son just recently.
[16:01.230 --> 16:14.230]  And we're going to go into the electronic poetry, you know, spoken word.
[16:14.230 --> 16:16.230]  That would be awesome.
[16:16.230 --> 16:22.230]  I've been I've been writing and I'm a writer, so I just write.
[16:22.230 --> 16:23.230]  I'll hear a phrase.
[16:23.230 --> 16:26.230]  I'll write it down in my phone.
[16:26.230 --> 16:27.230]  It's so funny.
[16:27.230 --> 16:29.230]  Oh, by the way, where is my phone?
[16:29.230 --> 16:31.230]  Then I realized I'm talking to it.
[16:32.230 --> 16:33.230]  Where's my glasses?
[16:34.230 --> 16:35.230]  Where's my glasses?
[16:36.230 --> 16:37.230]  Done that.
[16:37.230 --> 16:38.230]  Keys are in the hand.
[16:38.230 --> 16:39.230]  Damn it.
[16:39.230 --> 16:41.230]  They're handy tools.
[16:41.230 --> 16:47.230]  Hopefully, you know, I've learned to always make backups, like make sure you back it up to the cloud or something.
[16:47.230 --> 16:48.230]  Because sometimes.
[16:48.230 --> 16:50.230]  Sometimes that's all you got.
[16:50.230 --> 16:51.230]  Yeah.
[16:51.230 --> 16:52.230]  Yeah.
[16:52.230 --> 16:54.230]  You lose you lose the hard copies.
[16:54.230 --> 16:55.230]  Do you collect everything?
[16:55.230 --> 16:56.230]  I do.
[16:56.230 --> 16:59.230]  I collect vinyl still because I DJ for a long time.
[16:59.230 --> 17:01.230]  So I still have a big vinyl collection as well.
[17:01.230 --> 17:05.230]  And so is it is it like organized collection?
[17:05.230 --> 17:06.230]  Yes.
[17:06.230 --> 17:07.230]  OK.
[17:07.230 --> 17:08.230]  Yeah.
[17:08.230 --> 17:10.230]  You you you you're well, you're audio.
[17:10.230 --> 17:12.230]  So you have to have the numbers.
[17:12.230 --> 17:13.230]  Yeah.
[17:13.230 --> 17:15.230]  And you have to know where everything is.
[17:15.230 --> 17:16.230]  Yeah.
[17:16.230 --> 17:21.230]  I'm I'm more the conceptual artist.
[17:22.230 --> 17:37.230]  You know, I realized I'm more of a conceptual artist than anything, because there's no bounds on on art, you know, and and there's no limit.
[17:37.230 --> 17:41.230]  No, there is no there is no wrong and there are no lines to stay within.
[17:41.230 --> 17:42.230]  Yeah.
[17:42.230 --> 17:43.230]  Yeah.
[17:44.230 --> 17:51.230]  And if you can think it, if you can imagine it and have it built.
[17:52.230 --> 18:19.230]  That's why my thing now is I'm looking to form a movie company and in the movie company, I'm going to create projects that go anywhere from five to 20, 30 years, because reality, any movie.
[18:19.230 --> 18:20.230]  I don't care what it is.
[18:20.230 --> 18:22.230]  It's going to take a couple of years.
[18:22.230 --> 18:23.230]  Yeah.
[18:23.230 --> 18:32.230]  Unless something, you know, something magical happens and you need it done in a month or something.
[18:32.230 --> 18:36.230]  But like up in smoke, we shot up in smoke.
[18:36.230 --> 18:39.230]  Literally less than a month.
[18:39.230 --> 18:43.230]  It was shot that fast.
[18:43.230 --> 18:47.230]  So many great movies have come from schedules like that, though.
[18:47.230 --> 18:48.230]  Yeah.
[18:48.230 --> 18:49.230]  Unintentionally.
[18:49.230 --> 18:51.230]  But I think that's part of the magic.
[18:51.230 --> 18:52.230]  Maybe.
[18:52.230 --> 18:58.230]  No, what it was is that we it's like it's like catching butterflies.
[18:58.230 --> 19:03.230]  You know, we got them in a short period of time because we knew how to do it.
[19:03.230 --> 19:06.230]  We had we were all ready to do it.
[19:06.230 --> 19:10.230]  You know, that movie had been done, worked on seven years on the stage.
[19:11.230 --> 19:20.230]  And so when it came time to shoot it as a movie, it was a no brainer, basically.
[19:20.230 --> 19:22.230]  And that's up in smoke.
[19:22.230 --> 19:29.230]  See now, now the next movie, there's a lot of thought put into that.
[19:30.230 --> 19:32.230]  And then the movies after that.
[19:34.230 --> 19:39.230]  It dwindled until we got to the Corsican Brothers.
[19:39.230 --> 19:47.230]  And then that's when my directorial skill genius came out.
[19:47.230 --> 19:50.230]  You got the tall chair on set.
[19:50.230 --> 19:52.230]  I said you had the tall chair on set.
[19:52.230 --> 19:54.230]  The director's chair.
[19:54.230 --> 19:55.230]  I had the only chair.
[19:55.230 --> 19:57.230]  I had the only chair.
[19:57.230 --> 20:02.230]  And and that that really is what broke Cheech and Chong up.
[20:02.230 --> 20:03.230]  That was it.
[20:03.230 --> 20:04.230]  That was the last thing we did.
[20:04.230 --> 20:07.230]  Yeah, it was the Corsican Brothers.
[20:07.230 --> 20:11.230]  And it really was like end of an era, you know.
[20:11.230 --> 20:13.230]  Of the Cheech and Chong movies.
[20:13.230 --> 20:14.230]  It was the end.
[20:14.230 --> 20:17.230]  I never knew it at the time.
[20:17.230 --> 20:22.230]  But but I never ever thought of us as a series or anything, you know.
[20:22.230 --> 20:24.230]  I don't think that way.
[20:24.230 --> 20:29.230]  I always think of the, I don't know, the immediate.
[20:29.230 --> 20:31.230]  Today, yes.
[20:31.230 --> 20:32.230]  Yeah, yeah.
[20:32.230 --> 20:34.230]  And it turns out, wow, that's great.
[20:34.230 --> 20:38.230]  Like, like we never intended to legalize weed.
[20:38.230 --> 20:43.230]  Although everything we did was pointed in that direction, you know.
[20:43.230 --> 20:50.230]  So, so it's another example of being led around by the higher power, you know.
[20:50.230 --> 20:53.230]  And that's what that's really what happened to me.
[20:53.230 --> 20:55.230]  Still happening to me.
[20:55.230 --> 21:05.230]  I'm so used to taking orders that it kind of fooled my wife.
[21:05.230 --> 21:08.230]  It fooled everybody for a minute there.
[21:08.230 --> 21:13.230]  And then, but the real self popped up at the right time.
[21:13.230 --> 21:14.230]  Good.
[21:14.230 --> 21:15.230]  Yeah.
[21:15.230 --> 21:16.230]  Good.
[21:16.230 --> 21:17.230]  Well, yeah, it is.
[21:17.230 --> 21:20.230]  It's a beautiful and mysterious trip.
[21:20.230 --> 21:21.230]  Yeah.
[21:21.230 --> 21:25.230]  And then flow, you know, there's relationships that go a different direction.
[21:25.230 --> 21:27.230]  And then, you know, sometimes they reunite.
[21:27.230 --> 21:30.230]  That's kind of the beauty of time.
[21:30.230 --> 21:31.230]  Yeah.
[21:31.230 --> 21:32.230]  And the beauty of keeping an open mind.
[21:32.230 --> 21:33.230]  Yeah.
[21:33.230 --> 21:39.230]  Well, we're, yeah, I just realized we're in the aquarium of life.
[21:39.230 --> 21:43.230]  And we're just floating around and we have moments.
[21:43.230 --> 21:47.230]  Sometimes those moments, you know, stay with you for a while.
[21:47.230 --> 21:48.230]  Yeah.
[21:48.230 --> 21:50.230]  There is beautiful moments.
[21:50.230 --> 21:51.230]  Yeah.
[21:51.230 --> 21:57.230]  Well, one moment, you know, that I kind of want to reiterate for people, you know,
[21:57.230 --> 22:00.230]  we're talking about Up and Smoke, we're talking about some of the other movies.
[22:00.230 --> 22:04.230]  Now, there's a lot of people out there who know these movies.
[22:04.230 --> 22:07.230]  You've had such a wonderful and varied career.
[22:07.230 --> 22:08.230]  It's great.
[22:08.230 --> 22:09.230]  I'm almost interested.
[22:09.230 --> 22:10.230]  It's like that question.
[22:10.230 --> 22:13.230]  So at Comic-Con, which character does everybody think you are?
[22:13.230 --> 22:16.230]  And it's probably like a hundred different characters.
[22:17.230 --> 22:19.230]  It depends, you know.
[22:19.230 --> 22:22.230]  The younger ones see me as Leo.
[22:22.230 --> 22:23.230]  Yes.
[22:23.230 --> 22:24.230]  From the 70s show.
[22:24.230 --> 22:25.230]  Yes.
[22:25.230 --> 22:26.230]  Yeah.
[22:26.230 --> 22:27.230]  That's all they see is Leo.
[22:27.230 --> 22:31.230]  Because really, that's what I was, you know, in the past.
[22:31.230 --> 22:32.230]  Yeah.
[22:32.230 --> 22:35.230]  What's his name?
[22:35.230 --> 22:37.230]  Anthony Stoner.
[22:37.230 --> 22:41.230]  You get a job by sundown at Hans Kippenjob.
[22:41.230 --> 22:43.230]  Yeah.
[22:43.230 --> 22:45.230]  I love that character.
[22:45.230 --> 22:51.230]  Because he really was me, you know.
[22:51.230 --> 22:53.230]  Just me playing.
[22:53.230 --> 22:54.230]  That's fun.
[22:54.230 --> 22:56.230]  Playing.
[22:56.230 --> 22:58.230]  So stoned.
[22:58.230 --> 23:01.230]  See, I was an example of what happens if you smoke too much weed.
[23:01.230 --> 23:05.230]  Was there a lot of ad-libbing there?
[23:05.230 --> 23:07.230]  Oh, everything.
[23:07.230 --> 23:08.230]  Everything.
[23:08.230 --> 23:09.230]  Wow.
[23:09.230 --> 23:10.230]  Everything.
[23:10.230 --> 23:12.230]  We never.
[23:12.230 --> 23:14.230]  What's your name?
[23:15.230 --> 23:16.230]  Strother Martin.
[23:16.230 --> 23:19.230]  Wrote every line of that.
[23:19.230 --> 23:21.230]  You get a job by sundown.
[23:21.230 --> 23:22.230]  That's him.
[23:22.230 --> 23:23.230]  That was his line.
[23:23.230 --> 23:25.230]  Stacy Keach.
[23:25.230 --> 23:26.230]  Stodanko.
[23:26.230 --> 23:27.230]  Yeah.
[23:27.230 --> 23:28.230]  Yeah.
[23:28.230 --> 23:32.230]  You know what kind of meat.
[23:32.230 --> 23:33.230]  Pre-seed on Friday.
[23:33.230 --> 23:35.230]  None.
[23:35.230 --> 23:36.230]  None.
[23:36.230 --> 23:38.230]  That was Stacy.
[23:38.230 --> 23:40.230]  Everybody ad-libbed.
[23:41.230 --> 23:43.230]  I would write a little bit.
[23:43.230 --> 23:49.230]  But a lot of them were comical situations that Keach had.
[23:49.230 --> 23:55.230]  Or Jade East, one of the girls in the band, had.
[23:55.230 --> 23:57.230]  She told a story about Alex.
[23:57.230 --> 24:02.230]  And the next thing you know, it becomes a big part of the movie.
[24:02.230 --> 24:03.230]  Yeah.
[24:03.230 --> 24:04.230]  It was.
[24:04.230 --> 24:07.230]  And then I wanted to introduce punk music to the world.
[24:08.230 --> 24:09.230]  Which I did.
[24:09.230 --> 24:11.230]  With the punk bands.
