[00:00.000 --> 00:00.840]  Exactly.
[03:43.860 --> 03:44.860]  in that area of the country.
[03:44.860 --> 03:45.920]  It's just not famous.
[03:45.920 --> 03:48.540]  It doesn't have OG or cookies
[03:48.540 --> 03:50.740]  or some crap like that attached to it.
[03:50.740 --> 03:52.300]  And it's not named after candy.
[03:52.300 --> 03:55.820]  It's got names like dumpster and skunk.
[03:55.820 --> 03:57.460]  And it's not called the roadkill skunk.
[03:57.460 --> 03:59.020]  It's just the skunk.
[03:59.020 --> 03:59.860]  So.
[04:00.740 --> 04:01.580]  Well, all right.
[04:01.580 --> 04:04.220]  So let's go back because I mean, 20 years ago,
[04:04.220 --> 04:07.820]  nothing had the dessert and the fruit name.
[04:07.820 --> 04:11.020]  So give us a, can you,
[04:11.020 --> 04:13.440]  I want to tease out a longer history lesson
[04:13.440 --> 04:16.860]  of kind of regional cultivation and the scene
[04:16.860 --> 04:19.580]  and kind of what was going on.
[04:20.460 --> 04:21.620]  Should we call it the, what is it?
[04:21.620 --> 04:22.860]  The Ohio Valley?
[04:22.860 --> 04:25.700]  Yeah, the Ohio Valley is that's,
[04:25.700 --> 04:27.500]  let's just put it that way.
[04:27.500 --> 04:32.500]  And basically you didn't talk about it.
[04:33.980 --> 04:36.100]  And a lot of people still don't.
[04:36.100 --> 04:38.460]  It's not, you know, it's not an open thing
[04:38.460 --> 04:40.280]  and you've got to, you kind of got to get in
[04:40.280 --> 04:41.260]  and prove yourself.
[04:41.260 --> 04:43.580]  And the way that I did it, I got in kind of young
[04:43.580 --> 04:48.420]  and I grew a silly mushrooms before I got in on the weed
[04:48.420 --> 04:49.620]  because I wasn't allowed to.
[04:49.620 --> 04:52.100]  There was like other people in the family doing that stuff.
[04:52.100 --> 04:54.420]  And some young whippersnapper comes along
[04:54.420 --> 04:56.420]  and starts stinking up the place
[04:56.420 --> 04:58.460]  that causes problems for the older folks.
[04:58.460 --> 05:01.220]  So yeah, I started off with that
[05:01.220 --> 05:05.060]  and I made a lot of my connections through that.
[05:05.060 --> 05:06.860]  Oh man, sirens, that's a bad thing to hear.
[05:06.860 --> 05:08.380]  It's not coming from this end.
[05:09.380 --> 05:10.220]  All right.
[05:10.220 --> 05:14.780]  Anyway, so the, just nobody really talked about it
[05:14.780 --> 05:18.140]  until you got in and people started to trust you and stuff.
[05:18.780 --> 05:19.620]  Is it really?
[05:20.980 --> 05:24.300]  Yeah, that area there, just in the valley part of it.
[05:24.300 --> 05:27.500]  So I see North Carolina, I see Indiana.
[05:27.500 --> 05:30.100]  Not Indiana, Indiana is dangerous.
[05:31.060 --> 05:34.100]  Indiana is very dangerous, but I'm sure people do it there
[05:34.100 --> 05:35.340]  but I don't know any of those guys.
[05:35.340 --> 05:38.380]  The Ohio, Kentucky, Central Kentucky,
[05:38.380 --> 05:40.140]  the Tennessee Valley a little bit
[05:40.140 --> 05:43.020]  and then West Virginia and Virginia
[05:43.020 --> 05:44.940]  and those mountains right there.
[05:44.940 --> 05:47.220]  There's a lot of really good stuff growing there.
[05:47.220 --> 05:49.380]  That's where the skunk that everybody's looking for
[05:49.380 --> 05:50.220]  is growing.
[05:51.140 --> 05:53.180]  I guarantee it, it's still there.
[05:53.180 --> 05:55.940]  So that's, if you're looking for that
[05:55.940 --> 05:58.380]  so-called roadkill skunk, that's where it lives
[05:58.380 --> 06:00.020]  because that's where the skunks live
[06:00.020 --> 06:02.780]  and you can't differentiate between a dead skunk
[06:02.780 --> 06:04.100]  and the roadkill.
[06:04.100 --> 06:07.220]  So it's, but like I said, it's not called roadkill there.
[06:07.220 --> 06:09.060]  It's just called the skunk.
[06:09.060 --> 06:10.100]  They're gonna look at you funny
[06:10.100 --> 06:11.900]  if you call it roadkill skunk there.
[06:11.900 --> 06:13.700]  What the fuck are you talking about?
[06:13.700 --> 06:14.860]  But yeah.
[06:14.860 --> 06:15.700]  So, yeah.
[06:18.820 --> 06:20.820]  Yeah, it's a beautiful part of the country too.
[06:20.820 --> 06:25.100]  It's along the same latitudes as like Afghanistan
[06:25.100 --> 06:26.820]  and Humboldt and all of those places.
[06:26.820 --> 06:29.540]  It's just one of those sweet, sweet spots.
[06:29.540 --> 06:31.860]  During the war, they grew hemp there.
[06:31.860 --> 06:34.980]  Like my grandfather grew hemp for the war effort
[06:34.980 --> 06:38.340]  back in the forties and probably before that.
[06:38.340 --> 06:39.780]  But the one that I know of is that
[06:39.780 --> 06:41.380]  he definitely grew it for World War II
[06:41.380 --> 06:42.900]  but they grew it for World War I too.
[06:42.940 --> 06:45.020]  I don't know if he was involved with that.
[06:45.020 --> 06:47.380]  And did he ramp up production?
[06:47.380 --> 06:49.820]  Like, was there kind of a call to action?
[06:49.820 --> 06:52.100]  Like, you know, we need more hemp
[06:52.100 --> 06:54.660]  and anybody who can grow it, get out there
[06:54.660 --> 06:57.900]  and, you know, triple your production.
[06:57.900 --> 07:00.180]  Yeah, my grandmother said that they encouraged it
[07:00.180 --> 07:01.580]  is that they were encouraging it
[07:01.580 --> 07:02.900]  because they needed that fiber.
[07:02.900 --> 07:04.820]  So they got free seeds.
[07:04.820 --> 07:06.220]  Like they were tobacco farmers
[07:06.220 --> 07:07.620]  and they had like a huge garden
[07:07.620 --> 07:10.660]  and animals and all of this stuff, the self-sustaining.
[07:10.660 --> 07:12.060]  I remember my aunt telling me
[07:12.060 --> 07:14.060]  that she went through the great depression
[07:14.060 --> 07:15.740]  and didn't even know that it happened.
[07:15.740 --> 07:18.100]  Like the only thing that she missed was like sugar
[07:18.100 --> 07:20.140]  and coffee and stuff like that.
[07:20.140 --> 07:22.140]  That was the only things that they would go to town for.
[07:22.140 --> 07:24.220]  Everything else that they would do on their own
[07:24.220 --> 07:26.620]  and make it like my grandmother made her own soap
[07:26.620 --> 07:28.340]  until the day she died.
[07:28.340 --> 07:31.300]  It's, yeah, it's a very beautiful part.
[07:31.300 --> 07:33.300]  We have Hatchville, North Carolina in the house.
[07:33.300 --> 07:34.660]  There you go, yeah.
[07:36.380 --> 07:37.340]  So some of these people,
[07:37.340 --> 07:39.060]  they may know what I'm talking about.
[07:39.060 --> 07:41.300]  It's not all OGs out in California.
[07:41.300 --> 07:42.340]  That's the good stuff.
[07:42.340 --> 07:45.820]  There's different tastes too.
[07:45.820 --> 07:47.540]  As everybody's got their own thing
[07:47.540 --> 07:50.980]  and the South is known, South, Midwest,
[07:50.980 --> 07:53.880]  it's known for being a little bit slower and laid back.
[07:53.880 --> 07:56.100]  So you can kind of expect that from the weed too.
[07:56.100 --> 07:58.660]  It's just kind of, you notice that going around the country
[07:58.660 --> 08:01.300]  in the Northeast, things are a little bit more speedy.
[08:02.460 --> 08:03.760]  We have our crack.
[08:03.760 --> 08:04.600]  Yeah.
[08:04.600 --> 08:05.440]  Yeah.
[08:06.400 --> 08:07.760]  So, okay.
[08:07.760 --> 08:09.160]  Is that enough history or?
[08:09.160 --> 08:10.000]  Well, no, no, no.
[08:10.000 --> 08:13.680]  I wanna talk about the,
[08:13.680 --> 08:17.480]  so the government sent hemp seeds out to everybody
[08:17.480 --> 08:19.800]  who was willing to grow it.
[08:19.800 --> 08:22.360]  Is that where your grandparents got the seeds from?
[08:22.360 --> 08:23.460]  I mean, that's amazing.
[08:23.460 --> 08:24.920]  Yes, back then,
[08:24.920 --> 08:27.800]  and it was only in the regions where it would grow well.
[08:27.800 --> 08:29.640]  And that's why there's feral hemp in Missouri
[08:29.640 --> 08:30.960]  and all that stuff there.
[08:30.960 --> 08:32.080]  But they would like,
[08:33.080 --> 08:36.480]  like have somebody like at the feed stores
[08:36.480 --> 08:38.520]  and the feed store person was basically
[08:38.520 --> 08:41.280]  the one telling the government official is like,
[08:41.280 --> 08:44.080]  this is the guy you need to talk to.
[08:44.080 --> 08:45.440]  He's got this much land.
[08:45.440 --> 08:48.600]  He's got, and it's like, you had to have adequate water.
[08:48.600 --> 08:51.880]  And there was criteria supposedly,
[08:51.880 --> 08:54.220]  but I learned all of this from my grandmother and my aunt.
[08:54.220 --> 08:55.720]  I never met my grandpa.
[08:55.720 --> 08:57.680]  This is all stories from them.
[08:57.680 --> 08:59.480]  But granny, she was really cool.
[09:00.080 --> 09:04.240]  And this, she, I come from a very open-minded family.
[09:04.240 --> 09:06.400]  There's a lot of closed-minded people in this area.
[09:06.400 --> 09:08.680]  And that's a lot of that comes from religion,
[09:08.680 --> 09:13.020]  but I don't see why, but it seems to go hand in hand.
[09:14.800 --> 09:18.400]  That I grew up in Dover, Massachusetts.
[09:18.400 --> 09:21.440]  Okay, so you know all about that fast paced,
[09:21.440 --> 09:23.440]  speedy stuff, right?
[09:23.440 --> 09:24.840]  Well, I grew up in farm country.
[09:24.840 --> 09:27.760]  So, I mean, Dover is probably more,
[09:27.760 --> 09:29.640]  I mean, it's more gentrified now,
[09:29.640 --> 09:31.080]  but I mean, when I grew up,
[09:31.080 --> 09:35.360]  we had hundreds and hundreds of miles
[09:35.360 --> 09:37.360]  of bridle paths behind my house
[09:37.360 --> 09:41.240]  and all the neighbors had horses and cows.
[09:44.240 --> 09:46.800]  Yeah, I know a little bit about all that stuff too.
[09:46.800 --> 09:48.160]  There's a lot of animals around here.
[09:48.160 --> 09:50.120]  I'm surrounded by cattle farms.
[09:50.120 --> 09:54.000]  That's one of the reasons I'm able to do what I do.
[09:54.000 --> 09:56.240]  But these guys, breeding cattle
[09:56.560 --> 09:58.000]  and talking to them about that stuff.
[09:58.000 --> 09:59.600]  And it's very interesting.
[09:59.600 --> 10:02.240]  Chicken farmers, like the chickens,
[10:02.240 --> 10:05.920]  their chromosomes are different than ours.
[10:05.920 --> 10:09.480]  Like they have WZ chromosomes.
[10:09.480 --> 10:12.480]  And the male is the larger chromosome
[10:12.480 --> 10:15.340]  as in our species and cannabis, it's the Y.
[10:17.000 --> 10:19.480]  So, the X, sorry.
[10:20.840 --> 10:21.680]  Right.
[10:21.680 --> 10:23.640]  Yeah, so the X chromosome is much larger,
[10:23.640 --> 10:27.840]  but in chickens and poultry, ducks and stuff like that,
[10:27.840 --> 10:31.100]  and lizards, because they're essentially dinosaurs.
[10:31.100 --> 10:34.960]  But the chicken chromosome, it's different
[10:34.960 --> 10:37.960]  and it's switched, like the dominant chromosome.
[10:37.960 --> 10:40.160]  I don't know what it's called.
[10:40.160 --> 10:42.600]  It's not like our mitochondrial DNA.
[10:42.600 --> 10:44.840]  It's whatever the hell they have.
[10:44.840 --> 10:47.640]  But anyway, you learn stuff like that from chicken farmers
[10:47.640 --> 10:49.400]  or chicken breeders and stuff like that.
[10:49.400 --> 10:50.240]  Well, that's my question.
[10:50.240 --> 10:52.260]  Are you talking breeding with these guys?
[10:52.260 --> 10:54.540]  Are you like peppering them with questions?
[10:54.540 --> 10:56.980]  Yes, but I have to be clever about it.
[10:56.980 --> 10:59.340]  It's like, I basically just come at it dumb
[10:59.340 --> 11:00.740]  and I don't know anything about it.
[11:00.740 --> 11:03.100]  I'm just like, yeah, I just question them
[11:03.100 --> 11:04.380]  whenever I have the chance.
[11:04.380 --> 11:06.700]  And you can't just come out of the blue
[11:06.700 --> 11:08.540]  with some crazy ass question.
[11:08.540 --> 11:09.460]  Look at you funny man.
[11:09.460 --> 11:11.500]  You gotta watch how you talk to farmers.
[11:11.500 --> 11:13.780]  And is there still like,
[11:15.060 --> 11:17.340]  obviously there's like the Purdue's
[11:17.340 --> 11:20.120]  and the mega factory chicken world.
[11:20.120 --> 11:23.320]  Are your neighbors all operating in kind of like
[11:23.320 --> 11:27.960]  the equivalent of craft mom and pop chicken farms?
[11:27.960 --> 11:30.340]  Yes, the chicken guys, definitely.
[11:30.340 --> 11:33.200]  And the cattle guys, like the guy across the street
[11:33.200 --> 11:36.120]  and most of the land that surrounds me,
[11:36.120 --> 11:40.320]  he is like old school, cool, cool.
[11:40.320 --> 11:42.760]  Like just everything's natural.
[11:42.760 --> 11:44.560]  And then I've got one side of me
[11:44.560 --> 11:47.160]  that's like a commercial operation that does.
[11:47.680 --> 11:48.520]  The YY.
[11:51.920 --> 11:55.000]  So Mr. Two, by the way, if you're down for it,
[11:55.000 --> 11:56.520]  we're gonna bring you on a little later.
[11:56.520 --> 11:58.280]  We're gonna start talking hazes
[11:58.280 --> 12:00.680]  and then you know a thing or two about hazes.
[12:00.680 --> 12:02.600]  So I thought it'd be cool to bring you on.
[12:02.600 --> 12:04.560]  Yes, and he knows about pure hazes.
[12:04.560 --> 12:06.840]  Like all the hazes that I know have been outcrossed.
[12:06.840 --> 12:08.440]  So his thing is like,
[12:08.440 --> 12:10.400]  I got some questions for him actually.
[12:10.400 --> 12:11.240]  So yeah, I'd love to talk to him.
[12:11.240 --> 12:14.440]  I'm actually shipping up an order right now of
[12:15.400 --> 12:16.240]  There you go.
[12:16.240 --> 12:20.720]  44 D's and some freebie broken bones right now.
[12:20.720 --> 12:24.200]  And yeah, I thought I was gonna be able to multitask.
[12:25.440 --> 12:30.440]  So someone ordered the T-shirt and some bone yard.
[12:31.320 --> 12:34.520]  And I thought I could like pack shit up and talk shop.
[12:34.520 --> 12:36.840]  But I realized, this is why I love having conversations
[12:36.840 --> 12:37.840]  where there are a bunch of people.
[12:37.840 --> 12:39.960]  So I can kind of like disappear
[12:39.960 --> 12:41.840]  and do my thing while they talk.
[12:42.680 --> 12:45.120]  Yeah, well I can ramble about that haze for quite a while.
[12:45.120 --> 12:46.640]  I love that stuff.
[12:46.640 --> 12:47.880]  I know I've got experience
[12:47.880 --> 12:49.280]  with a bunch of different ones too.
[12:49.280 --> 12:52.800]  So it's like, I didn't even send you everything that I have.
[12:52.800 --> 12:55.560]  Like I had this one that I almost lost.
[12:55.560 --> 12:56.960]  I told you about my situation
[12:56.960 --> 12:59.080]  in September, October and everything.
[12:59.080 --> 13:00.760]  Well, I almost lost one of them.
[13:00.760 --> 13:03.080]  Like the one that I grew up smoking.
[13:03.080 --> 13:05.320]  And if it wasn't, I'm gonna shout this guy out right now.
[13:05.320 --> 13:07.520]  But if it wasn't for Comfrey Bogart,
[13:07.520 --> 13:09.080]  I wouldn't have that stuff back.
[13:09.080 --> 13:11.000]  So hey, thank you, dude.
[13:11.000 --> 13:12.320]  Thank you very much.
[13:12.320 --> 13:14.200]  But that's why you give stuff out
[13:14.200 --> 13:15.960]  is because somebody will return the favor
[13:15.960 --> 13:17.480]  and give it back to you.
[13:17.480 --> 13:18.840]  And he hadn't popped any of them.
[13:18.840 --> 13:20.440]  It was just like I handed it to him.
[13:20.440 --> 13:22.040]  Very cool.
[13:22.040 --> 13:24.600]  Yeah, Tom McCormick, man, he's a wealth of knowledge.
[13:24.600 --> 13:25.760]  So is Mr. Toad.
[13:27.040 --> 13:29.280]  So I'd like to talk about that.
[13:29.280 --> 13:32.200]  I guess he's saying that in the Y,
[13:32.200 --> 13:34.000]  it's like bound up tighter
[13:34.000 --> 13:37.600]  and there's like more information in that smaller area.
[13:37.600 --> 13:38.440]  Is that what he's?
[13:39.400 --> 13:43.640]  Well, yeah, we'll bring him on to clarify.
[13:43.640 --> 13:44.960]  He can draw.
[13:44.960 --> 13:46.480]  Yeah, that's what that looks like to me
[13:46.480 --> 13:48.360]  is that there's a little bit more information
[13:48.360 --> 13:50.680]  is just tightly wound in there.
[13:50.680 --> 13:51.560]  All right, so yeah.
[13:51.560 --> 13:52.720]  Let me read about Hayes
[13:52.720 --> 13:53.560]  and then I'll ask him a bunch of questions.
[13:53.560 --> 13:54.520]  No, no, no, no, no, no, no.
[13:54.520 --> 13:56.760]  I don't wanna jump right into cannabis.
[13:56.760 --> 13:59.360]  I wanna talk about other crops and animals.
[13:59.360 --> 14:02.960]  So I wanna talk about chickens, tobacco,
[14:02.960 --> 14:06.720]  cause you're, you know a thing or two about tobacco
[14:06.760 --> 14:08.680]  or at least family wise, right?
[14:08.680 --> 14:09.520]  Yes.
[14:09.520 --> 14:13.120]  So I think one thing I find interesting
[14:13.120 --> 14:14.400]  and correct me if I'm wrong,
[14:14.400 --> 14:19.400]  but like my assumption is the big cigarette companies
[14:21.200 --> 14:25.680]  kind of, they probably have just a couple varieties
[14:25.680 --> 14:29.320]  of tobacco that they grow at massive scale.
[14:29.320 --> 14:32.760]  That's not necessarily the tastiest.
[14:32.760 --> 14:35.160]  Like if you were just growing for yourself,
[14:35.200 --> 14:37.120]  you probably wouldn't pick those cultivars.
[14:37.120 --> 14:39.360]  And I assume with chickens, it's the same thing
[14:39.360 --> 14:43.680]  where like Purdue has the chickens that will get super big
[14:43.680 --> 14:48.680]  and fat and tasteless in a chicken city.
[14:49.760 --> 14:53.840]  And so can you talk about in your region
[14:53.840 --> 14:58.840]  kind of what you're seeing people breed directionally
[14:59.240 --> 15:01.680]  like for, and kind of just talk about some
[15:01.680 --> 15:06.680]  of the tobacco varietals and the chickens and the cows.
[15:07.720 --> 15:10.320]  Okay, so which one of those you want me to talk about first?
[15:10.320 --> 15:13.080]  Cause you also sent me like tomato seeds, right?
[15:13.080 --> 15:13.920]  Yeah, yeah.
[15:13.920 --> 15:17.680]  And basil, which I'm gonna start all that stuff
[15:17.680 --> 15:18.880]  in the next week or so.
[15:18.880 --> 15:21.120]  How'd you like the smell on that basil, man?
[15:21.120 --> 15:22.320]  I was great.
[15:22.320 --> 15:23.160]  Yeah.
[15:23.160 --> 15:24.000]  I'm excited.
[15:24.000 --> 15:29.000]  I have so much, I just did a whole wave of like daikon
[15:29.520 --> 15:31.560]  and all these different Chinese vegetables.
[15:32.440 --> 15:33.280]  My wife's Chinese.
[15:33.280 --> 15:36.640]  So I figured it would be a home crowd pleaser
[15:36.640 --> 15:40.040]  to satisfy the Asian vegetable.
[15:40.920 --> 15:43.320]  Cause like her parents live a mile away from us.
[15:43.320 --> 15:44.760]  So we always eat dinners together.
[15:44.760 --> 15:47.420]  So I have like all these Asian vegetables going.
[15:49.240 --> 15:50.920]  Those daikons are good, man.
[15:50.920 --> 15:52.600]  I love those daikon radishes.
[15:54.040 --> 15:56.560]  Yeah, actually let me, so talk about that.
[15:56.560 --> 15:58.440]  I'm actually gonna pull up a picture of Gemma
[15:58.960 --> 15:59.800]  when we pull it.
[15:59.800 --> 16:04.800]  So I had one go to seed and it just kept going.
[16:06.880 --> 16:11.880]  Like it grew out its pods and then I was like,
[16:12.080 --> 16:13.840]  okay, it's almost done.
[16:13.840 --> 16:16.840]  And then like a new wave of flowers popped out
[16:16.840 --> 16:21.840]  and more like it just kept, the pods kept coming for months,
[16:22.660 --> 16:24.260]  like two and a half months.
[16:24.260 --> 16:26.340]  And I just, finally I was just like, all right,
[16:26.340 --> 16:27.280]  I'm just gonna pull this thing.
[16:27.280 --> 16:28.800]  Cause I have all these new ones coming in.
[16:28.800 --> 16:33.800]  But so why don't you talk just kind of what you're,
[16:35.800 --> 16:37.280]  we're gonna get to cannabis next,
[16:37.280 --> 16:39.280]  but other vegetables and animals,
[16:39.280 --> 16:42.240]  what you're growing and breeding and excited about,
[16:42.240 --> 16:45.160]  and then kind of what the neighbors are doing
[16:45.160 --> 16:46.960]  with whatever they're focused on.
[16:48.240 --> 16:50.260]  Okay, so with chickens,
[16:50.260 --> 16:52.840]  people select for either meat or eggs.
[16:52.840 --> 16:54.840]  As they're dual purpose birds
[16:54.840 --> 16:57.560]  really don't do very well for either one.
[16:57.560 --> 16:59.080]  And I've noticed over time,
[16:59.080 --> 17:02.080]  I don't throw a chicken away.
[17:02.080 --> 17:06.000]  After it's done producing eggs, or if it fucks up,
[17:06.000 --> 17:08.320]  if it's like a rooster that's violent or something,
[17:08.320 --> 17:10.640]  I just kill it and process it and eat it.
[17:10.640 --> 17:12.920]  And I've done a bunch of different type of birds,
[17:12.920 --> 17:15.960]  either egg or meat birds.
[17:15.960 --> 17:19.160]  And you notice that the structure is different on them.
[17:19.160 --> 17:20.640]  And that's what they're selecting for
[17:20.640 --> 17:22.520]  is that different structure.
[17:22.720 --> 17:24.680]  With the, hey, what's up Magma?
[17:25.680 --> 17:29.720]  With the birds that are for meat,
[17:29.720 --> 17:32.720]  it's basically just all for the breast meat.
[17:32.720 --> 17:36.760]  So their chests, their bone structure is different in there.
[17:36.760 --> 17:40.680]  And some of them you find they don't even have a wishbone,
[17:40.680 --> 17:42.420]  like they bred the wishbone away.
[17:43.680 --> 17:48.680]  Then also, yeah, big titties, breeding for big titties.
[17:48.680 --> 17:50.240]  Breeding for big titties.
[17:50.240 --> 17:55.240]  But they breed out specific things.
[17:56.360 --> 18:00.280]  And then I've also noticed that the opposite.
[18:00.280 --> 18:02.760]  I've found double wishbones.
[18:02.760 --> 18:05.720]  They're kind of like a suspension in an old vehicle.
[18:05.720 --> 18:10.720]  But they would breed away
[18:10.840 --> 18:14.180]  from all of that extra meat in the chest
[18:14.180 --> 18:17.840]  and save room in the gut so that they can produce more eggs.
[18:18.040 --> 18:21.440]  I've run ISAs and that's supposed to be
[18:21.440 --> 18:22.960]  the best egger there is.
[18:22.960 --> 18:24.960]  So we've got a nice little flock of those.
[18:24.960 --> 18:29.960]  And I've got a Rhode Island red rooster and hen too.
[18:32.080 --> 18:34.200]  And they mix in with those ISAs as well
[18:34.200 --> 18:38.320]  because birds of a feather is actually real.
[18:39.720 --> 18:43.580]  Birds will fight with other birds of a different feather
[18:43.580 --> 18:44.420]  in a lot of cases.
[18:44.420 --> 18:47.900]  That's not always true, but it happens most of the time.
[18:47.900 --> 18:52.140]  And the ISA is a Rhode Island red
[18:52.140 --> 18:54.300]  and Rhode Island white hybrid
[18:54.300 --> 18:57.080]  that they've been making over in France for a long time.
[18:57.080 --> 19:00.980]  And they keep introducing that Rhode Island white
[19:00.980 --> 19:03.620]  every so often to replenish the gene
[19:03.620 --> 19:06.740]  so it doesn't get all inbred and fucked up.
[19:06.740 --> 19:10.020]  So those ISAs are egg birds.
[19:10.020 --> 19:14.960]  And I make barbecue out of them, out of the spent hens
[19:14.960 --> 19:17.860]  because the spent hens get tough.
[19:17.860 --> 19:19.860]  So you've got to like boil them in vinegar
[19:19.860 --> 19:22.060]  and loosen that meat up and make a barbecue
[19:22.060 --> 19:24.340]  or you can make other dishes out of them too.
[19:24.340 --> 19:29.340]  But yeah, so there's the chicken thing, tobacco.
[19:29.420 --> 19:31.740]  Tobacco, the commercial tobaccos
[19:31.740 --> 19:34.820]  are several different varieties that they grow.
[19:34.820 --> 19:36.660]  And they're all like basically bred
[19:36.660 --> 19:40.540]  for disease resistance and large leaves.
[19:40.540 --> 19:45.340]  And they also like impart different things into the blend.
[19:45.340 --> 19:47.460]  So in most cigarettes,
[19:47.460 --> 19:50.180]  it's not all one type of tobacco in there.
[19:50.180 --> 19:52.140]  That's several different types of tobacco
