[00:06.840 --> 00:08.840]  We live?
[14:55.010 --> 14:58.010]  Without trying to disturb most of the tripes, obviously.
[15:00.010 --> 15:01.010]  There is seeds in there.
[15:03.010 --> 15:05.010]  I wasn't able to get all of them, obviously.
[15:07.010 --> 15:09.010]  Bro, bro, bro, you know.
[15:10.010 --> 15:11.010]  Anybody got time?
[15:12.010 --> 15:14.010]  Alright, we got a minute and thirty one.
[15:16.010 --> 15:27.010]  And I like, I mean, honestly, when I was, when I first started doing washes, I was doing the five gallon washes.
[15:28.010 --> 15:32.010]  I don't know if you guys ever seen that little round device.
[15:32.010 --> 15:39.010]  It's just basically like a ball that, it's like a countertop manual washing machine.
[15:39.010 --> 15:40.010]  I forgot what it's called.
[15:41.010 --> 15:46.010]  But I used to wash in those when I used to do five gallon washes.
[15:47.010 --> 15:52.010]  I used to throw all my plant matter in those little circular tumblers that you spin by hand.
[15:53.010 --> 15:54.010]  I forgot the name of them.
[15:54.010 --> 15:56.010]  Jeez, I can't believe I'm having a brain fart.
[15:57.010 --> 16:01.010]  But anyways, I would throw all my plant material in there and just spin it around.
[16:02.010 --> 16:03.010]  And I would wash it.
[16:03.010 --> 16:04.010]  Jeez, I can't believe I'm having a brain fart.
[16:05.010 --> 16:09.010]  But anyways, I would throw all my plant material in there and just spin it around.
[16:12.010 --> 16:16.010]  Just quickly, what was the starting weight of the dry material?
[16:17.010 --> 16:19.010]  I would say maybe about three pounds.
[16:20.010 --> 16:21.010]  Okay.
[16:44.750 --> 16:46.750]  So at this point, I like to look at my butt.
[16:46.750 --> 16:49.750]  Obviously, there's a bunch of stuff that's still clumped up.
[16:50.750 --> 16:51.750]  It hasn't been broken up.
[16:52.750 --> 16:56.750]  We're going to try to work that up with a second beat up on that with ore.
[16:57.750 --> 17:00.750]  But on the third wash, we're going to be using this little paddle machine over here.
[17:01.750 --> 17:02.750]  And that's where the dump is really going to happen.
[17:03.750 --> 17:04.750]  So, excuse me.
[17:05.750 --> 17:06.750]  I had a burp there.
[17:07.750 --> 17:08.750]  That's another one.
[17:09.750 --> 17:10.750]  So I think that's it for this.
[17:15.810 --> 17:16.810]  Yeah.
[17:16.810 --> 17:22.810]  So if you're doing ballpark three pounds, what's kind of your expected yield?
[17:23.810 --> 17:24.810]  Like what are you hoping for?
[17:25.810 --> 17:27.810]  Peter, I'm going to be very honest with you.
[17:28.810 --> 17:32.810]  Luckily, I have no one pushing me or forcing me to report any numbers.
[17:33.810 --> 17:34.810]  I hate numbers.
[17:35.810 --> 17:38.810]  As long as I got a good turn, the stuff is stony, it works for me, bro.
[17:39.810 --> 17:40.810]  I'm not into numbers.
[17:41.810 --> 17:42.810]  I really don't.
[17:43.810 --> 17:44.810]  They fuck me up.
[17:44.810 --> 17:45.810]  But they do.
[17:46.810 --> 17:47.810]  So I really just don't like complicating my life.
[17:48.810 --> 17:55.810]  If it's stony, if I got good enough to share it, and if it's tasty and it's clean,
[17:56.810 --> 18:01.810]  which is the main reason why we're doing this whole thing, clean, then it's good for me, man.
[18:02.810 --> 18:04.810]  And you'll find out.
[18:05.810 --> 18:06.810]  Whoever asked that question, stick around.
[18:07.810 --> 18:08.810]  We'll find out how much we get.
[18:09.810 --> 18:12.810]  That's a dramatic conclusion.
[18:18.390 --> 18:19.390]  Alright, Peter.
[18:20.390 --> 18:21.390]  I'm going to go ahead and take this out.
[18:22.390 --> 18:26.390]  So over here, I'll be doing a battery.
[18:27.390 --> 18:30.390]  I have an old phone, so I might have to be plugging this up here pretty soon.
[18:31.390 --> 18:35.390]  This right here, forget it.
[18:36.390 --> 18:37.390]  What?
[18:38.390 --> 18:41.390]  This right here is a 35-gallon jug.
[18:42.390 --> 18:43.390]  It's got a tap on the bottom.
[18:44.390 --> 18:47.390]  Before, I used to use just a 55-gallon drum.
[18:48.390 --> 18:52.390]  I drilled a 3-8 drill hole on the bottom, and I used to just drip.
[18:53.390 --> 18:59.390]  But we started, I mean, in order to do this inside, I was doing all my washes outside during the rain.
[19:00.390 --> 19:02.390]  So this year, we tried to do a little clean room.
[19:03.390 --> 19:05.390]  So we put a spigot on this thing.
[19:05.390 --> 19:13.390]  And basically, this bag lineup here, it's going from 45 all the way up to 220.
[19:14.390 --> 19:18.390]  But the trick is that I always double my 73.
[19:19.390 --> 19:20.390]  Always.
[19:21.390 --> 19:22.390]  Why is that?
[19:23.390 --> 19:26.390]  Because, you'll find out. Stick around.
[19:27.390 --> 19:28.390]  I ain't going to give it up.
[19:29.390 --> 19:33.390]  Basically, there is some material that passes 73 UV.
[19:34.390 --> 19:37.390]  You will catch it in the second 73 before it hits your food grade.
[19:38.390 --> 19:43.390]  That's stuff that you can still press, and it's not considered food grade.
[19:44.390 --> 19:47.390]  So, you'll find out. Let's find out.
[19:50.390 --> 19:52.390]  Is this even working? Is this working a little bit?
[19:53.390 --> 19:54.390]  Here we go.
[19:56.390 --> 19:58.390]  I'm going to pour this right into the bag.
[20:10.880 --> 20:12.880]  I like to do everything manually, bro.
[20:13.880 --> 20:16.880]  Like I said, this is a labor of love. I don't mind getting dirty.
[20:17.880 --> 20:21.880]  A bucket, trust me. I lift my wife all the time.
[20:26.880 --> 20:30.880]  So with this year's harvest, how many washes do you think you'll do?
[20:30.880 --> 20:35.880]  If this is one, are you going to do three, five, ten?
[20:37.880 --> 20:41.150]  Well, on this one, I might just do three washes.
[20:42.150 --> 20:44.150]  We'll find out.
[20:49.150 --> 20:53.150]  And get down to how many heads are being left behind.
[20:54.150 --> 20:58.150]  And then we'll find out. If we have to stay up all night and keep washing, we'll continue to wash.
[20:59.150 --> 21:06.150]  But this little machine will beat it down enough that I won't have to do that many washes.
[21:11.740 --> 21:14.740]  On this particular one, we're going to run everything through the 220.
[21:20.010 --> 21:22.010]  But on the second one, we're going to run by bag.
[21:26.350 --> 21:28.350]  The reason why is because I'm trying to go from that.
[21:29.350 --> 21:43.580]  And when I use my bag, I'm going to try not to agitate as much as I normally will.
[21:44.580 --> 21:46.580]  Of course, I'm going to try to go from that.
[21:47.580 --> 21:50.580]  So I'm going to run it just right through the bag, starting with the 220.
[21:51.580 --> 21:54.580]  I normally would run my material through this bag first.
[21:55.580 --> 21:57.580]  These are the bags that I make. They're Fruit Fly Mesh.
[21:58.580 --> 22:00.580]  They're a little bit bigger than a 220.
[22:03.580 --> 22:08.580]  I've been making them for a while. Actually, a lady down the street sold them to me. I just bought the material.
[22:15.280 --> 22:16.280]  Look, there's stuff all up in there.
[22:24.670 --> 22:30.670]  And when you chop, everything's going straight into the freezer, right?
[22:30.670 --> 22:33.670]  That is correct, here. Right into the freezer.
[22:34.670 --> 22:40.670]  So what happens is I do the rinse that we were talking about with the sodium bicarbonate.
[22:46.670 --> 22:51.670]  I take all the stuff out of the room, and then I dry it with a window down and put it in the freezer.
[22:58.440 --> 23:00.440]  I'm sorry I'm trying to hurry up here.
[23:00.440 --> 23:02.440]  Get all this water transferred over.
[23:07.440 --> 23:18.600]  This is why we bring Sunda here, because he's a big guy and he's going to help me lift all this stuff up.
[23:19.600 --> 23:20.600]  I like to break my back.
[23:22.600 --> 23:23.600]  I'm sorry, Sunda.
[23:25.600 --> 23:27.600]  Anybody has any questions about the water spill right now?
[23:33.300 --> 23:34.300]  Anybody?
[23:34.300 --> 23:35.300]  Are you there?
[23:44.970 --> 23:45.970]  Peter?
[23:47.970 --> 24:02.640]  Seems like I might have lost you.
[24:03.640 --> 24:07.640]  All right, Peter. I don't know if I lost you now, but we're going to continue.
[24:10.640 --> 24:18.470]  Basically, we open the tap down here, and the water's going right through these bags.
[24:18.470 --> 24:20.470]  Yeah, now it's just a waiting game.
[24:22.470 --> 24:27.470]  By the color of the water, it looks like it didn't get agitated that much.
[24:28.470 --> 24:30.470]  There's not that much chlorophyll in there.
[24:31.470 --> 24:36.470]  So I'm hoping we get some nice clean air, and we'll find out what these plants are actually growing.
[24:37.470 --> 24:39.470]  I'm going to go ahead and turn off the tap.
[24:40.470 --> 24:41.470]  I'm going to turn off the tap.
[24:42.470 --> 24:43.470]  I'm going to turn off the tap.
[24:43.470 --> 24:48.470]  I'm hoping we get some nice clean air, and we'll find out what these plants are actually growing.
[24:49.470 --> 24:51.470]  Or what kinds of plants are growing.
[24:52.470 --> 24:53.470]  I've got a finger in the way.
[24:54.470 --> 24:55.470]  You there? Peter?
[24:56.470 --> 24:57.470]  I think I've lost you.
[24:57.470 --> 24:59.470]  My internet's super choppy tonight. Can you hear me?
[25:03.440 --> 25:06.440]  I can hear you, but you're blocking off a lot.
[25:08.440 --> 25:09.440]  Yes, I can hear you.
[25:10.440 --> 25:12.440]  My internet is super choppy right now.
[25:13.440 --> 25:15.910]  All right.
[25:16.910 --> 25:17.910]  All right, guys.
[25:18.910 --> 25:22.910]  Basically, we poured all the water from the drum through these bags.
[25:24.910 --> 25:26.910]  Why don't you guys want to go rinse this entire insect?
[25:28.910 --> 25:29.910]  Or show some of the work.
[25:30.910 --> 25:31.910]  Can you read that? Can you see that question?
[25:37.200 --> 25:38.200]  Do you find the wax?
[25:39.200 --> 25:40.200]  The wax.
[25:41.200 --> 25:42.200]  Makes the glands oxidize.
[25:43.200 --> 25:46.200]  Okay, so we did not use hydrogen peroxide.
[25:47.200 --> 25:57.200]  We used sodium bicarbonate, two cups, lab-grade sodium bicarbonate, two cups of lemon juice, and a 35-gallon container.
[25:58.200 --> 26:00.200]  I scaled it up because I'm using 55 gallons.
[26:01.200 --> 26:02.200]  But that's the formula.
[26:03.200 --> 26:06.200]  I didn't see any degradation in the glands at all.
[26:07.200 --> 26:12.200]  To be honest, there was a bunch of crap that came off these plants.
[26:13.200 --> 26:19.200]  I personally will never run any kind of outdoor material without doing this rinse at all.
[26:20.200 --> 26:21.200]  Period.
[26:21.200 --> 26:22.200]  I just wouldn't.
[26:24.200 --> 26:25.200]  Just because the sheer amount.
[26:27.800 --> 26:31.800]  Like I said in that previous episode that we had when we were talking about my garden.
[26:32.800 --> 26:44.800]  If you just leave the plant for four months and look at the amount that it ends up on your car.
[26:45.800 --> 26:46.800]  I mean, look at the dots.
[26:48.800 --> 26:50.800]  What's happening to these plants, man?
[26:51.800 --> 26:54.800]  So, no, I highly recommend.
[26:55.800 --> 26:57.800]  Seriously, I highly recommend this method of rinsing.
[26:58.800 --> 26:59.800]  We'll find out right now.
[26:59.800 --> 27:01.800]  Last year, I did it with clean water.
[27:02.800 --> 27:06.800]  It worked for me, but I think it was clean enough.
[27:07.800 --> 27:11.800]  So, this year, we're going to go like that.
[27:17.640 --> 27:23.960]  So, over here, Peter, I have a.
[27:25.960 --> 27:26.960]  Maybe you want to do me a favor?
[27:27.960 --> 27:29.960]  On the totally line, there's a yellow bag.
[27:30.960 --> 27:31.960]  So, right here, Peter.
[27:32.960 --> 27:33.960]  So, right here, Peter.
[27:36.960 --> 27:39.960]  I always like to double check my water.
[27:42.960 --> 27:45.960]  I always don't want to throw away any kind of.
[27:47.960 --> 27:49.960]  So, I'm going to run this particular.
[27:51.960 --> 27:53.960]  Water is coming up the bottom here.
[27:54.960 --> 27:57.960]  Again, this is my own crazy way.
[27:57.960 --> 27:58.960]  I have like.
[27:59.960 --> 28:01.960]  What are you in first grade or first and a half grade?
[28:02.960 --> 28:03.960]  I didn't even go to second grade.
[28:06.960 --> 28:07.960]  Seriously, I don't have.
[28:11.960 --> 28:14.560]  For me, my pictures.
[28:16.560 --> 28:17.560]  I hope you learned something from.
[28:18.560 --> 28:20.560]  Our technique and this is what I do.
[28:21.560 --> 28:22.560]  So, I'm going to just go.
[28:23.560 --> 28:25.560]  To 73 without wedding soon.
[28:26.560 --> 28:27.560]  And, of course, this.
[28:34.860 --> 28:37.860]  Already, I already went over five and I can see.
[28:38.860 --> 28:39.860]  That there's nothing there.
[28:40.860 --> 28:42.860]  So, it's safe for me to go ahead.
[28:46.860 --> 28:47.860]  I'm going to dump it right in my.
[28:48.860 --> 28:49.860]  Drum that I have over here.
[28:50.860 --> 28:51.860]  We just got to continue on.
[28:52.860 --> 28:53.860]  Bring in.
[28:54.860 --> 28:55.860]  The water.
[28:56.860 --> 28:57.860]  I'm going to dump it right in my.
[28:58.860 --> 28:59.860]  Drum that I have over here.
[29:00.860 --> 29:01.860]  We just got to continue on.
[29:02.860 --> 29:03.860]  Bring in.
[29:03.860 --> 29:04.860]  The water.
[29:04.860 --> 29:05.860]  The water off.
[29:06.860 --> 29:07.860]  That drum.
[29:09.860 --> 29:11.860]  And the second one we're going to be using the bags.
[29:12.860 --> 29:13.860]  Why is I'm going to beat it up a little more.
[29:14.860 --> 29:17.260]  And these are just basically.
[29:18.260 --> 29:19.260]  Fruit fly mesh.
[29:21.260 --> 29:22.260]  You know.
[29:25.260 --> 29:26.260]  Amazon, becoming false.
[29:27.260 --> 29:28.260]  Just a regular devil.
[29:29.260 --> 29:30.260]  Stitch sewing machine.
[29:30.260 --> 29:32.260]  Can you see that?
[29:32.260 --> 29:33.260]  Yep.
[29:33.260 --> 29:36.260]  Now you see me, now you don't.
[29:36.260 --> 29:39.260]  You still there, Peter?
[29:39.260 --> 29:40.260]  Yep.
[29:40.260 --> 29:46.710]  So how's your day been?
[29:46.710 --> 29:47.710]  Good.
[29:47.710 --> 29:48.710]  Nice episode.
[29:48.710 --> 29:51.710]  Those guys were doing all the Asian stuff.
[29:51.710 --> 29:52.710]  The Thai stick.
[29:52.710 --> 29:53.710]  My sphinx can show.
[29:53.710 --> 29:54.710]  Yeah.
