[00:00.000 --> 00:00.840]  How you doing?
[02:20.940 --> 02:23.340]  It's funny, you could see that on the logo of the seeds
[02:23.340 --> 02:26.180]  or that the planes dropping the bombs for TGA.
[02:27.780 --> 02:31.620]  But yeah, he had a long bring in coming up
[02:31.620 --> 02:35.020]  and he started making some seeds.
[02:35.020 --> 02:36.180]  There was a guy named Squid
[02:36.180 --> 02:37.580]  that he was living with at the time.
[02:37.580 --> 02:40.020]  And that's where the Danny boy was made
[02:40.020 --> 02:44.580]  and the Jax Cleaner BX1, which was Jax Cleaner Blueberry.
[02:44.580 --> 02:48.940]  And he was making those seeds, those seeds got finished
[02:48.940 --> 02:51.580]  and then he got some trouble for smuggling clones.
[02:51.580 --> 02:54.100]  And he went to jail for a little while.
[02:54.100 --> 02:57.020]  And during that time when he was in jail,
[02:57.860 --> 02:59.460]  he just kept on pushing his vision.
[02:59.460 --> 03:02.020]  He just wanted to grow weed and have a seed company.
[03:02.020 --> 03:04.860]  And so he's getting all buff, getting healthy in jail.
[03:04.860 --> 03:06.860]  He's teaching all these convicts
[03:06.860 --> 03:09.460]  how to grow weed in the joint.
[03:09.460 --> 03:12.860]  And at that time he was still on the internet
[03:12.860 --> 03:16.420]  and he was talking with Jill and he was talking with me.
[03:16.420 --> 03:19.420]  And he had introduced me to Jill
[03:19.420 --> 03:21.380]  who needed some help with her grow room.
[03:21.380 --> 03:24.460]  And at that time, nobody was talking about growing.
[03:24.460 --> 03:29.420]  It was really close and nobody spoke about what we were doing
[03:29.420 --> 03:32.300]  when you go to the grow shop back in the day,
[03:32.300 --> 03:34.340]  they would be filming all the license plates
[03:34.340 --> 03:37.220]  and shit like that, like American Egg and whatnot.
[03:37.220 --> 03:39.180]  One of the local grow shops in Portland.
[03:39.180 --> 03:42.660]  But so I ended up meeting Jill just by helping her
[03:42.660 --> 03:43.740]  rebuild her grow room.
[03:43.740 --> 03:46.260]  And at that point in time it was all medical
[03:47.100 --> 03:51.500]  and Jill and I started growing the Danny boy and the JCBX.
[03:51.500 --> 03:56.220]  And at that point in time, we had got sub out
[03:56.220 --> 03:57.980]  and he came out to Oregon.
[03:59.820 --> 04:04.220]  At that point, on top of his game,
[04:04.220 --> 04:06.100]  he was sober, he was just being ripped.
[04:06.100 --> 04:09.380]  And his was straight, he wanted to look at a seed company.
[04:09.380 --> 04:13.860]  He wanted to grow genetics and really routine.
[04:13.900 --> 04:16.620]  And that's how he kind of got it started was his early days
[04:16.620 --> 04:18.020]  and that guy had a vision.
[04:22.280 --> 04:23.120]  Awesome.
[04:26.480 --> 04:27.320]  Hey, how's it going?
[04:27.320 --> 04:28.560]  Is Shane cut right there?
[04:28.560 --> 04:29.400]  Oh yeah.
[04:30.360 --> 04:31.640]  My screen's freezing a little bit,
[04:31.640 --> 04:33.400]  but yeah, no, that sounds awesome.
[04:33.400 --> 04:35.080]  Do we get Jill on the line, Peter?
[04:35.080 --> 04:36.320]  Yep, she's on.
[04:36.320 --> 04:39.280]  And Jill, if you can turn your phone 90 degrees
[04:39.280 --> 04:42.720]  so it's more like a TV landscape.
[04:42.720 --> 04:43.560]  Yeah.
[04:46.640 --> 04:48.880]  Landscape, horizontal, it's horizontal.
[04:50.000 --> 04:52.240]  You know what, I think your screen's locked.
[04:53.320 --> 04:55.360]  So like it doesn't rotate you.
[04:56.880 --> 04:59.400]  Hold on, let me see.
[04:59.400 --> 05:00.240]  There we go.
[05:02.120 --> 05:08.440]  I wasn't sure if I should comment on that first shot or not.
[05:08.440 --> 05:13.440]  All right, perfect.
[05:13.440 --> 05:14.280]  Yep.
[05:15.160 --> 05:16.000]  Okay, awesome.
[05:16.000 --> 05:17.320]  So we got Jill on the line here.
[05:17.440 --> 05:18.920]  So yeah, Jill, did you catch any of that
[05:18.920 --> 05:21.360]  on the start to the-
[05:21.360 --> 05:22.200]  Yeah, yeah.
[05:24.080 --> 05:25.680]  Anything you wanna add to that?
[05:27.080 --> 05:31.120]  I originally met Sub on overgrow.com
[05:31.120 --> 05:33.680]  and we started talking there
[05:33.680 --> 05:37.160]  and he had ended up getting in some trouble
[05:37.160 --> 05:40.840]  and he had to flee to the UK.
[05:42.160 --> 05:45.320]  And then he ended up getting a job at a company
[05:46.160 --> 05:49.080]  and then he ended up in Canada
[05:49.080 --> 05:50.160]  and they picked him up
[05:50.160 --> 05:53.840]  and he'd got transferred back to the United States.
[05:53.840 --> 05:55.440]  And during that time, he was like,
[05:55.440 --> 05:57.520]  Sonny said he was with Squid.
[05:57.520 --> 06:00.400]  And so I had been talking to him
[06:00.400 --> 06:03.360]  and he ended up getting picked up right
[06:03.360 --> 06:04.520]  on some speeding charges,
[06:04.520 --> 06:06.760]  right as he was getting ready to come out and visit me.
[06:06.760 --> 06:09.840]  So I ended up going to Wisconsin,
[06:09.840 --> 06:11.560]  picking up his things
[06:11.560 --> 06:14.120]  and bringing them back to Oregon with me.
[06:14.120 --> 06:17.760]  I had his parole transferred to Oregon
[06:17.760 --> 06:22.400]  and TGA started in the grow room that I had pre-existing
[06:22.400 --> 06:24.640]  that was in the house that I was renting
[06:24.640 --> 06:27.920]  for my children and I back in Salem, Oregon at that time.
[06:28.880 --> 06:29.720]  Awesome.
[06:29.720 --> 06:31.920]  So how did the Green Avengers get their name?
[06:34.320 --> 06:37.200]  The name TGA is the Green Avengers
[06:37.200 --> 06:38.360]  or Team Green Avengers.
[06:38.360 --> 06:39.560]  That was the name that Sub
[06:39.560 --> 06:41.360]  and some of his other friends
[06:41.360 --> 06:43.680]  had already recently thought about.
[06:44.520 --> 06:45.360]  I'm trying to remember Doug.
[06:45.360 --> 06:47.320]  Doug Weiser was one of the people he was.
[06:49.440 --> 06:51.720]  Influenced by like the Avengers comic books
[06:51.720 --> 06:53.880]  where they had all the best superheroes get together
[06:53.880 --> 06:55.320]  and form a team.
[06:55.320 --> 06:56.160]  Yeah.
[06:56.160 --> 06:57.000]  Yeah. Awesome.
[06:58.480 --> 06:59.320]  Excellent.
[06:59.320 --> 07:01.080]  So with each one of you guys,
[07:01.080 --> 07:03.240]  how did you guys get started
[07:03.240 --> 07:04.920]  in cannabis cultivation and breeding?
[07:04.920 --> 07:05.880]  We'll start with you Jill,
[07:05.880 --> 07:08.520]  since you're just talking.
[07:08.520 --> 07:10.280]  I just, I started,
[07:10.280 --> 07:12.160]  my children were very young
[07:12.160 --> 07:14.000]  and I have scoliosis.
[07:14.000 --> 07:17.920]  So I was smoking it for my pain in my back
[07:17.920 --> 07:21.360]  and it was pretty expensive as a single mom.
[07:21.360 --> 07:23.080]  So I started growing.
[07:23.080 --> 07:25.560]  My ex-husband, my children's father and I,
[07:25.560 --> 07:27.840]  we set up a grow originally
[07:27.840 --> 07:32.160]  and we had grown for several years before we split
[07:32.160 --> 07:34.200]  and I continued to do so.
[07:35.080 --> 07:36.160]  And as a single mom,
[07:36.160 --> 07:37.920]  I had to continue to grow,
[07:37.920 --> 07:39.400]  to support that.
[07:39.400 --> 07:43.680]  But I had met some patients along the way.
[07:43.680 --> 07:44.680]  One of them,
[07:44.680 --> 07:48.240]  the most influential one was a lady named Lou Anne.
[07:48.240 --> 07:51.280]  She was, she had MS
[07:51.280 --> 07:53.520]  and my children's father had,
[07:53.520 --> 07:55.920]  was helping them set up their grow.
[07:55.920 --> 07:59.560]  And that's where I received the orange velvet from.
[07:59.560 --> 08:02.360]  She came to me named Melvin.
[08:02.360 --> 08:03.600]  And as I grew her out,
[08:03.600 --> 08:06.080]  she had such beautiful black foliage.
[08:06.080 --> 08:08.240]  You know, it looked like velvet.
[08:08.240 --> 08:09.880]  She smelled so strong, like orange.
[08:09.880 --> 08:12.400]  So it's just a no brainer on the name there.
[08:15.160 --> 08:16.000]  Awesome.
[08:16.000 --> 08:19.320]  So Jinx, you had the nine pound hammer.
[08:19.320 --> 08:21.840]  You know, I think that's one of the more popular strains
[08:21.840 --> 08:24.520]  that I've grown from you guys that I absolutely love
[08:24.520 --> 08:28.480]  and I've done some work with and my partners as well.
[08:28.480 --> 08:30.080]  How did you get your start
[08:30.080 --> 08:32.040]  for cannabis cultivation and breeding?
[08:33.040 --> 08:35.080]  Well, as far as like starting growing,
[08:35.080 --> 08:36.520]  I mean, I started when I was younger
[08:36.520 --> 08:40.080]  and I mean, it was as a young guy,
[08:40.080 --> 08:43.040]  like I think I was 20, you know, I sold bud,
[08:43.040 --> 08:44.560]  you know, it was just something I did.
[08:44.560 --> 08:46.240]  And then I knew this other guy,
[08:46.240 --> 08:48.800]  he would never admit it, but I knew he grew bud, you know?
[08:48.800 --> 08:49.680]  So we finally, you know,
[08:49.680 --> 08:51.360]  cause when I was a kid, you didn't admit it.
[08:51.360 --> 08:52.200]  You know what I mean?
[08:52.200 --> 08:53.520]  Not even to your best friend
[08:53.520 --> 08:55.080]  cause it was just too much trouble and stuff.
[08:55.080 --> 08:57.000]  So I finally got this guy and he said,
[08:57.000 --> 08:58.440]  I'll show you how to grow
[08:58.440 --> 09:00.360]  if you give me half your first crop.
[09:00.360 --> 09:01.480]  Seemed fair to me.
[09:01.480 --> 09:03.160]  And then, you know, I mean, as a kid,
[09:03.160 --> 09:04.200]  it was all about money.
[09:04.240 --> 09:05.480]  You know, if I, you know,
[09:05.480 --> 09:07.080]  I was buying weed and reselling it.
[09:07.080 --> 09:09.160]  So to grow it and resell it,
[09:09.160 --> 09:11.920]  obviously made a lot more sense and a lot more money,
[09:11.920 --> 09:14.960]  you know, allowed me to quit my conventional job
[09:14.960 --> 09:17.400]  and pursue other things that I was interested in,
[09:17.400 --> 09:19.040]  like tattooing and, you know,
[09:19.040 --> 09:20.480]  glass blowing and stuff like that.
[09:20.480 --> 09:22.200]  So, I mean, it was, you know,
[09:22.200 --> 09:24.120]  I wish I had some, you know,
[09:24.120 --> 09:26.040]  some great story that I needed to help somebody
[09:26.040 --> 09:27.080]  or something about that, like I said,
[09:27.080 --> 09:28.440]  but I was just a kid and I was, you know,
[09:28.440 --> 09:29.840]  I was after some money.
[09:29.840 --> 09:32.680]  And then as far as breeding me, my buddy Brent,
[09:32.680 --> 09:35.840]  we'd had a few plants that had shown up male
[09:35.840 --> 09:37.480]  and we did the old paintbrush thing
[09:37.480 --> 09:40.840]  where we just painted a couple little buds
[09:40.840 --> 09:44.600]  and we got some seeds and we barely even grew them out.
[09:44.600 --> 09:46.760]  Cause like, I didn't know much about seeds.
[09:46.760 --> 09:48.320]  Like I'd seen a few things, you know,
[09:48.320 --> 09:50.960]  whenever I could come across a High Times Magazine,
[09:50.960 --> 09:52.720]  cause in Seattle it was really hard to get one.
[09:52.720 --> 09:54.480]  It was, you know, it was almost like buying porno
[09:54.480 --> 09:56.600]  or something for a young guy, you know,
[09:56.600 --> 09:57.840]  you couldn't find them.
[09:57.840 --> 10:00.480]  And I just set the seeds aside, tell you the truth.
[10:00.480 --> 10:03.680]  And then once I started working for Sub,
[10:03.680 --> 10:07.080]  I decided to do my own breeding, which I used the Gooberry,
[10:07.080 --> 10:09.800]  which was one of the ones that we had paintbrushed.
[10:09.800 --> 10:12.440]  And I did at times Pat's Jesus OG.
[10:12.440 --> 10:14.600]  And I talked to Sub and Sub was like,
[10:14.600 --> 10:17.520]  I don't sell other people's seeds.
[10:17.520 --> 10:20.480]  I could be wrong, but I think I was, of all of us,
[10:20.480 --> 10:22.480]  I think I was the first one that he distributed
[10:22.480 --> 10:25.120]  our other people's seeds.
[10:25.120 --> 10:27.080]  Oh, actually Pat, cause I had the Jesus OG.
[10:27.080 --> 10:28.800]  So I guess Pat was probably first.
[10:28.840 --> 10:32.680]  But I started just giving them out free
[10:32.680 --> 10:34.200]  whenever I did TGA sales,
[10:34.200 --> 10:37.000]  cause I would go from, back then it wasn't a recreation,
[10:37.000 --> 10:38.040]  it was medical.
[10:38.040 --> 10:40.040]  So I'd go from co-op to co-op
[10:40.040 --> 10:41.880]  and I would give them a handful
[10:41.880 --> 10:43.400]  of these free nine pound hammers.
[10:43.400 --> 10:46.000]  So if you bought a pack of TGA,
[10:46.000 --> 10:48.640]  you got a free pack of nine pound hammer, you know,
[10:48.640 --> 10:49.760]  just to kind of promote,
[10:49.760 --> 10:52.240]  cause I was a new rep and stuff like that,
[10:52.240 --> 10:53.400]  just to kind of get things going.
[10:53.400 --> 10:55.680]  And then with the power of social media
[10:55.680 --> 10:57.440]  just kind of started blowing up.
[10:57.440 --> 10:59.000]  And that's when Sub actually called me
[10:59.000 --> 11:00.480]  and was like, let's do something with this,
[11:00.480 --> 11:01.360]  this nine pound hammer.
[11:01.360 --> 11:03.240]  How can we work this out?
[11:03.240 --> 11:06.080]  I had my own packaging, Jinx Proof Genetics,
[11:06.080 --> 11:08.840]  then it had, you know, TGA in the corner there.
[11:08.840 --> 11:11.440]  And it just kind of rolled from there.
[11:12.560 --> 11:13.960]  What year was that roughly?
[11:15.880 --> 11:18.520]  I'd say it's been nine or 10 years now.
[11:18.520 --> 11:19.920]  You know, it's been a minute.
[11:19.920 --> 11:23.000]  Unfortunately, since this whole epilepsy thing started,
[11:23.000 --> 11:24.480]  my memory is super bad.
[11:24.480 --> 11:26.120]  So I couldn't tell you exactly,
[11:26.120 --> 11:28.720]  but I know because where I lived and where I live now
[11:28.720 --> 11:30.040]  and how long I've lived here.
[11:30.040 --> 11:33.400]  So I would say about nine or 10 years now.
[11:33.400 --> 11:34.720]  10 or 11.
[11:34.720 --> 11:36.600]  But yeah, maybe more now actually.
[11:36.600 --> 11:38.080]  I've been saying that for a couple of years.
[11:38.080 --> 11:42.160]  So of all the guys out here,
[11:42.160 --> 11:46.160]  my story is the favorite of how I connected with Sub.
[11:46.160 --> 11:49.920]  Cause to be totally honest, I had no idea who Sub was.
[11:49.920 --> 11:53.760]  And somebody brought me a pamphlet from a co-op
[11:53.760 --> 11:55.000]  and I was like, wow, look at this.
[11:55.000 --> 11:56.120]  This guy just selling seeds
[11:56.120 --> 11:58.520]  and it had a Ace of Spades and plush berry.
[11:58.520 --> 12:00.480]  And I was like, look at this, pink weed.
[12:00.480 --> 12:02.440]  You know, I'd grown some pretty purple stuff,
[12:02.440 --> 12:04.640]  but I'd never even seen pink weed before.
[12:04.640 --> 12:06.200]  So, and I went to his website
[12:06.200 --> 12:08.160]  and it said available in Washington.
[12:08.160 --> 12:10.640]  Well, I called every co-op in town
[12:10.640 --> 12:12.200]  and none of them had his stuff,
[12:12.200 --> 12:14.080]  even though it said available in Washington.
[12:14.080 --> 12:17.920]  I finally found one co-op that had his stuff.
[12:17.920 --> 12:18.840]  They're way into Tacoma.
[12:18.840 --> 12:20.920]  I live Seattle, it's pretty far.
[12:20.920 --> 12:22.000]  So I tried to talk to him and he said,
[12:22.000 --> 12:24.120]  we don't talk about strains on the phone.
[12:24.120 --> 12:25.840]  So basically I had to drive to Tacoma
[12:25.840 --> 12:27.080]  and see what they had.
[12:27.080 --> 12:30.120]  I get out there, they have one pack of seeds,
[12:30.120 --> 12:31.600]  one pack of seeds.
[12:31.600 --> 12:34.040]  And it wasn't either one of these pink strains,
[12:34.040 --> 12:35.320]  it was Kaboom.
[12:35.320 --> 12:36.440]  And no disrespect,
[12:36.440 --> 12:39.520]  but like Kaboom was the one strain I didn't want, you know.
[12:39.520 --> 12:41.600]  But I bought it anyways.
[12:41.600 --> 12:44.520]  And I, you know, I got stuck in rush hour traffic.
[12:44.520 --> 12:45.360]  This was, you know,
[12:45.360 --> 12:48.080]  ended up being an eight hour adventure all day long
[12:48.080 --> 12:50.280]  for one pack of seeds I really didn't even want.
[12:50.280 --> 12:53.640]  So when I got home, I sent Sub an email
[12:54.320 --> 12:55.960]  and I told him my story and stuff.
[12:55.960 --> 12:57.880]  And I was like, this is kind of bullshit.
[12:57.880 --> 13:00.960]  You know, you have a website that says, you know,
[13:00.960 --> 13:03.240]  your seeds are available over Washington and they're not.
[13:03.240 --> 13:05.280]  You know, and at the end of the email,
[13:05.280 --> 13:07.400]  I told him if you ever want a real estate rep,
[13:07.400 --> 13:10.440]  you let me know, I get shit done, you know.
[13:10.440 --> 13:12.800]  And then like five minutes later, he calls me
[13:12.800 --> 13:13.920]  and I was shocked.
[13:13.920 --> 13:14.760]  You know, I was like, well,
[13:14.760 --> 13:17.560]  here's this like famous dude all calling me five minutes
[13:17.560 --> 13:20.720]  later and we started talking and he's like, bro,
[13:20.720 --> 13:24.080]  do you know how many emails I get every day?
[13:24.080 --> 13:26.000]  And I was like, well, I'm assuming a lot.
[13:26.000 --> 13:29.280]  He's like, I read yours because the title of the email
[13:29.280 --> 13:31.480]  said Subco sucks in Seattle.
[13:33.240 --> 13:34.720]  Cause I was kind of pissed off, you know,
[13:34.720 --> 13:36.160]  on this whole day adventure.
[13:36.160 --> 13:38.280]  So we started talking and he told me how it works.
[13:38.280 --> 13:40.360]  And you know, he's like, you know,
[13:40.360 --> 13:41.520]  I don't just send seeds out,
[13:41.520 --> 13:43.360]  you gotta buy them and go resell them.
[13:43.360 --> 13:45.760]  So I was like, I crop in two weeks, you know,
[13:45.760 --> 13:48.000]  I'll send you enough money to get started.
[13:48.000 --> 13:49.160]  And I did.
[13:49.160 --> 13:51.640]  And he sent me the seeds and he never showed up.
[13:51.640 --> 13:54.360]  So I called him and I was like, bro, like, you know,
[13:54.360 --> 13:55.960]  I'm going on faith here.
[13:55.960 --> 13:57.880]  And then he's like, well, I'm gonna go on faith
[13:57.880 --> 14:00.040]  and I'm gonna resend your order.
[14:00.040 --> 14:01.280]  And he sends my order.
[14:01.280 --> 14:04.960]  That's funny cause the postman stuffed it in the,
[14:04.960 --> 14:07.160]  at an old school traditional mailbox
[14:07.160 --> 14:08.000]  and he stuffed it in there.
[14:08.000 --> 14:09.240]  I could not get it out
[14:09.240 --> 14:11.200]  cause he stuffed it all the way in the back.
[14:11.200 --> 14:13.520]  I literally had to take a hammer and bust the sides
[14:13.520 --> 14:17.480]  of my mailbox open to get this box out.
[14:17.480 --> 14:21.400]  And then the neighbor comes like three or four hours later
[14:21.400 --> 14:23.360]  and he's like, hey man, I got one of your packages
[14:23.360 --> 14:25.960]  and it was the original subco order.
[14:25.960 --> 14:27.640]  So then I called sub and I was like, hey man,
[14:27.640 --> 14:30.800]  I got your original order.
[14:30.800 --> 14:33.280]  I could send it back or you can basically, you know,
[14:33.280 --> 14:35.040]  leave it here and I'll pay for it.
[14:35.040 --> 14:38.360]  Which was great because it instantly started us off
[14:38.360 --> 14:39.560]  on a good relationship.
[14:39.560 --> 14:41.400]  You know, he's like, I could have easily kept that box.
[14:41.400 --> 14:43.480]  He would have never known, you know,
[14:43.480 --> 14:45.200]  all said and done, it was probably 10 G's.
[14:45.200 --> 14:46.040]  You know what I mean?
[14:46.360 --> 14:49.440]  It started us off on a nice trusting relationship
[14:49.440 --> 14:51.480]  cause he didn't know me at all, you know?
[14:51.480 --> 14:55.920]  And so I took him out, went from every co-op in town
[14:55.920 --> 14:57.960]  and I killed it cause nobody had seeds,
[14:57.960 --> 14:59.240]  let alone TGA seeds
[14:59.240 --> 15:01.320]  cause everybody else in town knew who he was, you know?
[15:01.320 --> 15:03.440]  And I came home and I sent him a picture.
[15:03.440 --> 15:05.440]  I just had a stack of money, you know?
[15:05.440 --> 15:08.480]  Cause every single co-op picked him up, you know?
[15:08.480 --> 15:10.280]  And I was like, see, I told you bro.
[15:11.560 --> 15:15.160]  That's that started the subco Jinks relationship,
[15:15.600 --> 15:18.480]  obviously Jill and some of the other folks
[15:18.480 --> 15:21.480]  came in long as well and ended up going to shows
[15:21.480 --> 15:22.440]  and meeting in person.
[15:22.440 --> 15:25.680]  And we became pretty good friends as well as Jill,
[15:25.680 --> 15:27.280]  as well as the rest of the crew.
[15:30.240 --> 15:32.520]  I've met a lot of crews from other seed companies,
[15:32.520 --> 15:33.680]  I'm not gonna drop any names or anything,
[15:33.680 --> 15:36.600]  but there's not a person on this crew
[15:36.600 --> 15:39.520]  that isn't just awesome, you know?
[15:39.520 --> 15:43.680]  That isn't just fun, isn't just great, especially Pat.
[15:44.280 --> 15:45.640]  I mean, I'm just gonna call it out.
[15:45.640 --> 15:49.200]  Like sometimes people bring up Pat and I'm like, bro,
[15:49.200 --> 15:51.560]  if you don't like Pat, you're an asshole.
[15:52.720 --> 15:54.600]  There's just no way not to like this guy.
[15:54.600 --> 15:55.520]  You know what I mean?
[15:55.520 --> 15:57.480]  I mean, Pat has always been super cool to me.
[15:57.480 --> 16:01.360]  And then I met Odie, same thing, just a great guy.
[16:01.360 --> 16:03.520]  I've only met Shane a few times like at shows,
[16:03.520 --> 16:04.440]  you know, stuff like that.
[16:04.440 --> 16:07.280]  He'd already kind of was doing his own thing by then,
[16:07.280 --> 16:09.200]  but yeah, it was just such an awesome crew
[16:09.200 --> 16:13.640]  and we're definitely a family and Jill too.
[16:14.640 --> 16:16.520]  When I'd visit, I'd always bring my son and my wife
[16:16.520 --> 16:20.480]  and it wasn't business, it was a nice fun time
[16:20.480 --> 16:21.320]  and stuff like that.
[16:21.320 --> 16:24.120]  So I was, you know, and then like I said,
[16:24.120 --> 16:25.160]  I just kind of kept going from there,
[16:25.160 --> 16:27.080]  creating my own strains and distributing sub
[16:27.080 --> 16:29.960]  and that was basically the beginning
[16:29.960 --> 16:31.960]  of the Jinx Proof Subcool story.
[16:34.600 --> 16:36.280]  I think it was about-
[16:36.280 --> 16:37.440]  So yeah, so Pat.
[16:37.440 --> 16:38.840]  12 years before he passed.
[16:40.360 --> 16:42.120]  Wow, excellent.
[16:42.160 --> 16:44.360]  Well, yeah, so thanks for that.
[16:44.360 --> 16:46.640]  And then Pat, how'd you get your start?
[16:46.640 --> 16:48.960]  You know, you've come a long way since the subcool days
[16:48.960 --> 16:51.760]  with Heroes of the Farm and everything that you've done.
[16:52.960 --> 16:54.400]  How'd you get your start with the cultivation
[16:54.400 --> 16:56.200]  and on the breeding side as well?
[16:56.200 --> 16:59.640]  Yeah, I mean, it's been a long, long road.
[16:59.640 --> 17:01.560]  I mean, I'm definitely young, but I started,
[17:01.560 --> 17:02.960]  you know, I'm the youngest of five kids
[17:02.960 --> 17:04.360]  and I started smuggling weed at 10.
[17:04.360 --> 17:05.520]  I look at 10 year olds now, I'm like,
[17:05.520 --> 17:08.440]  yo, you're way too young, don't do that shit.
[17:08.440 --> 17:10.480]  But you know, I was definitely the guinea pig
[17:10.520 --> 17:11.560]  of the last children.
[17:11.560 --> 17:14.880]  And so by eighth grade, I started kind of hustling
[17:14.880 --> 17:17.400]  and, you know, it was just kind of a facet
[17:17.400 --> 17:19.720]  of how I made money, smoked for free.
[17:21.240 --> 17:24.160]  And then in 2004, I ended up coming out to Mount Hood
[17:24.160 --> 17:27.000]  by myself, Windell Snowboard Camp.
[17:27.000 --> 17:29.560]  And, you know, after 10 days of being in Oregon,
[17:29.560 --> 17:31.560]  I went home and told my mom I was moving
[17:31.560 --> 17:32.640]  and my grade sucked.
[17:32.640 --> 17:34.200]  So I had to go to community college
[17:34.200 --> 17:36.600]  to get accepted into Portland State.
[17:36.600 --> 17:39.640]  And as my mom always said, I kind of minored in school
[17:39.680 --> 17:41.720]  and majored in snowboarding.
[17:41.720 --> 17:43.880]  And after like 10 days of living here,
[17:43.880 --> 17:45.920]  I met this dude, Micah,
[17:45.920 --> 17:48.280]  and it was one of those introductions where I was like,
[17:48.280 --> 17:51.000]  yo, this dude's either full of shit or the real deal.
[17:51.000 --> 17:52.400]  And he was definitely the real deal.
[17:52.400 --> 17:55.280]  And we started, you know, moving a lot of weight
[17:55.280 --> 17:58.640]  and I just wanted to be able to grow, you know, weed.
[17:58.640 --> 18:00.760]  So I ended up, you know, buying a light,
[18:00.760 --> 18:04.440]  putting it in a bathroom, you know, did our first grow.
[18:04.440 --> 18:06.880]  Weed in Portland was worth $4,000 a pound.
[18:06.880 --> 18:09.600]  Was able to sell it for 4K, you know, out of my kitchen.
[18:10.440 --> 18:11.440]  And, you know, being a young broke kid
[18:11.440 --> 18:12.720]  with nothing from the East Coast,
[18:12.720 --> 18:14.680]  I was like, yeah, we're gonna get another light.
[18:14.680 --> 18:18.640]  And one light turned into two, you know,
[18:18.640 --> 18:19.740]  kind of like Shane was saying,
[18:19.740 --> 18:21.520]  back in the day you couldn't get information
[18:21.520 --> 18:22.840]  in hydro stores.
[18:22.840 --> 18:24.760]  So I got kicked out of a lot of hydro stores,
[18:24.760 --> 18:26.300]  not knowing how to talk, you know,
[18:26.300 --> 18:28.680]  then you learn to talk tomatoes and all this shit.
[18:28.680 --> 18:32.180]  And I finally met Trace Myers in Northern Light and Garden.
[18:32.180 --> 18:34.320]  And, you know, he was all about pot
[18:34.320 --> 18:36.960]  and he was, you know, 20 years older than me
[18:37.000 --> 18:40.040]  and kind of, you know, one day I showed up there
[18:40.040 --> 18:41.720]  and I was going to buy a six light garden,
