[00:00.000 --> 00:02.000]  era
[06:26.810 --> 06:32.290]  Because I was living in a yurt with no power no water when we got pregnant with our first
[06:32.770 --> 06:39.730]  So we we decided we'd go rent something and have running water to raise children
[06:40.210 --> 06:42.210]  Which was super helpful
[06:42.330 --> 06:45.850]  And it's changed since when I grew up there like when I grew up there
[06:45.850 --> 06:53.010]  You know all the ganja was dried in the attic, you know, like you it wasn't like a commercial operation
[06:53.930 --> 06:57.690]  so it's it's nice to have a little bit of you know separation with the
[06:58.210 --> 07:00.530]  With the family and the commercial farm
[07:01.210 --> 07:03.210]  Even though it is still small-scale
[07:05.090 --> 07:11.730]  So you you but you so you drive the 80 miles every like oh no 88 80 acres
[07:12.050 --> 07:15.610]  Oh, it's just two parcels, it's I don't know what that
[07:16.490 --> 07:23.490]  What or sorry? Yeah, how far away do you live from the farm? Oh just a couple minutes by four
[07:24.530 --> 07:29.890]  Yeah, yeah, I think in my head. I heard that you live 80 miles away from the farm
[07:29.890 --> 07:36.450]  No, I I'm it's like 80 acres away. There's two parcel two because they're all 40 the farms of 40 acre parcel
[07:38.210 --> 07:40.450]  Which I think of an acres like a square mile
[07:42.330 --> 07:47.710]  Um
[07:47.910 --> 07:49.910]  Yes, we're in Eastern
[07:50.590 --> 07:53.070]  Back to our early conversation, huh?
[07:54.670 --> 07:58.470]  That's right adults say there although I I used to hate pooping
[07:59.390 --> 08:04.870]  You know like especially you'd like walk out of the bathroom and some girl would like have to walk into the bathroom
[08:05.510 --> 08:07.510]  You like I'm so sorry
[08:08.110 --> 08:14.470]  All right, you know I'll be like the kids some of the kids they want like privacy and then when I'm pooping
[08:14.710 --> 08:17.070]  I'd like two kids a cat on my back
[08:17.230 --> 08:23.930]  You know just like staring at me and my wife my wife and my kids will just come in and I'll be like
[08:24.910 --> 08:26.910]  Serenity now
[08:30.750 --> 08:36.630]  All right, so the 80 acre two parcels which you only live a couple minutes away from
[08:36.630 --> 08:38.630]  You
[08:39.110 --> 08:46.070]  Used to live in a yurt and now you obviously have some working lights behind you and an internet connection
[08:47.270 --> 08:53.950]  Yeah, barely internet connection, but it works. You know I'm the hot spotting from the phone, so this is the first time
[08:53.950 --> 08:56.590]  I've attempted to stream with it Wow
[08:57.230 --> 09:00.150]  You know we might sign up for Starlink, but it's a
[09:01.390 --> 09:03.390]  We're enjoying no Wi-Fi for now
[09:03.910 --> 09:06.590]  But then again, I haven't had to do any of these yet
[09:08.270 --> 09:14.220]  Yeah, and we're so we're Eastern Minnesota County kind of in I guess the middle
[09:15.700 --> 09:20.340]  And Potter Valley so we're next to like Redwood Valley is the valley over from us
[09:20.340 --> 09:23.220]  And then if you were to go like north a good ways
[09:23.740 --> 09:25.740]  you'd end up in Kovalo and
[09:26.580 --> 09:28.980]  There are some pretty cool roads to do that
[09:31.780 --> 09:33.780]  Yeah, and it's just
[09:35.060 --> 09:37.140]  It's the the family farm and
[09:38.220 --> 09:42.060]  It's it's really a nice little micro climate
[09:42.700 --> 09:46.900]  That's like a Luther Burbank settled in Sonoma County because all the different
[09:47.500 --> 09:50.540]  Microclimate it's like the difference between the hills and the valleys and the slopes
[09:50.540 --> 09:56.340]  It's really fun to see that play out with a ganja even on our own farm as we go from 23 to
[09:56.820 --> 10:02.060]  2500 feet in elevation, and you know we have the tree line and this and the sunny side
[10:03.060 --> 10:06.580]  You know the place that you know gets that last son of the season
[10:08.100 --> 10:10.220]  Can you talk a little bit about stuff?
[10:10.220 --> 10:15.820]  I mean what you're noticing about maybe even the same things growing just in those different
[10:16.660 --> 10:21.500]  Elevations and micro climates. Oh, you know someone I don't know where I heard it
[10:21.500 --> 10:26.980]  But someone said like the environment can be like 50% of the expression
[10:27.940 --> 10:32.580]  And I saw that for sure with like my my love laughter my high CBD
[10:32.580 --> 10:35.500]  Which is it's like an October front finisher
[10:35.500 --> 10:39.180]  And we tried growing it in one of the little gardens on the north slope
[10:39.180 --> 10:41.900]  And I couldn't even I was like this is a different strain
[10:41.900 --> 10:46.700]  And then we you know grew it back up with the Sun again on a different location
[10:46.700 --> 10:51.780]  it looked the same so it was they're really interesting to see that play out and
[10:52.500 --> 10:57.340]  So like what we're about to harvest is my early Sphinx og and
[10:58.500 --> 11:00.500]  So those are on the tree line on
[11:01.580 --> 11:03.580]  the Northwest slopes so
[11:04.580 --> 11:06.060]  You kind of got to figure out
[11:06.060 --> 11:11.500]  It's kind of fun to play around with and find out what really thrives well in a certain location of the different
[11:11.620 --> 11:13.620]  cultivars you're growing and
[11:13.860 --> 11:18.420]  And then you know a lot of our nursery spaces. It's like okay
[11:18.420 --> 11:24.140]  I got a plant the stuff that's gonna get seeded later here where the Sun's gonna help it finish
[11:25.140 --> 11:27.980]  But there are some some ways around that like the sprouted
[11:28.500 --> 11:30.140]  tea
[11:30.140 --> 11:35.660]  smoothies where you do like the barley or any seeds and you sprout them and and then you mix a
[11:36.460 --> 11:41.460]  That in with like a five gallon bucket of water that that helps the seed moms finish earlier
[11:43.540 --> 11:45.140]  So yeah, just
[11:45.140 --> 11:46.460]  kind of
[11:46.460 --> 11:50.420]  Playing around with this little piece of land and you know growing some
[11:51.540 --> 11:53.980]  Really nice ganja and making a bunch of seeds
[12:00.010 --> 12:02.010]  How has the season
[12:08.220 --> 12:11.420]  It's it's been an interesting one as far as the weather
[12:12.660 --> 12:14.660]  we had
[12:15.660 --> 12:18.100]  12 overcast days in July and
[12:18.740 --> 12:22.780]  You know we're inland Minnesota County that doesn't I've never seen that happen before
[12:24.420 --> 12:26.420]  So I know like, you know
[12:27.020 --> 12:30.460]  We were not growing clones. So it's like less affecting us
[12:30.460 --> 12:36.660]  Maybe some stuff triggered flower early anyway with the seeds, but I know people going crown clones triggered early
[12:37.180 --> 12:39.660]  Normally you put your clones out middle of June you're good
[12:39.660 --> 12:45.220]  But you know two weeks of cloudy weather in July is unheard of and we it rained on the 4th of July
[12:45.220 --> 12:47.220]  We had we had a really wet
[12:47.380 --> 12:50.140]  Spring and summer one of the wettest I can remember
[12:51.140 --> 12:57.900]  Which was nice because last summer was brutal last summer was triple-digit heatwave one after the other
[13:02.780 --> 13:10.220]  Rain that you guys got early or early summer late spring is gonna help keep the fires at bay. Oh, I mean
[13:11.820 --> 13:19.460]  Consider you know, what is it like almost September, you know considering fire season rolls through October these years, you know it
[13:20.460 --> 13:27.860]  Usually the late people say the late seat rains the grass grows more so there's more of a risk for fire see but
[13:28.740 --> 13:32.220]  It definitely added a couple more layers of the chop and chop
[13:33.140 --> 13:35.140]  cover
[13:36.060 --> 13:41.380]  Crop
[13:41.900 --> 13:45.820]  It was he choppy for you too or was I can't tell if it's my internet or
[13:49.780 --> 13:51.780]  Little bit so
[13:52.020 --> 13:53.540]  I
[13:53.540 --> 13:57.780]  Walked away. I walked away before because when you mentioned love laughter
[14:00.780 --> 14:02.780]  Somebody sent me
[14:03.580 --> 14:09.780]  To give out to people a love laughter blue dream cross that they made
[14:10.580 --> 14:12.580]  Okay
[14:13.340 --> 14:15.340]  Which is cool and
[14:16.580 --> 14:18.580]  And
[14:19.060 --> 14:21.060]  Can you talk about the love laughter
[14:23.540 --> 14:25.340]  Yeah
[14:25.340 --> 14:29.860]  And kind of this gets to like you're exploring like a variety of stuff. It's like
[14:30.860 --> 14:36.380]  CBD or like other cannabinoids and not like like you have a breadth of
[14:37.340 --> 14:41.100]  Directions you breathe in which is kind of interesting you do a lot of stuff
[14:41.900 --> 14:43.900]  Yeah
[14:44.900 --> 14:49.820]  I'm a bit of a mad scientist. I guess in that in that respect and it's just
[14:50.100 --> 14:53.620]  You know something but I like to listen to the plants to you know
[14:53.620 --> 14:59.220]  sometimes you have an idea of you what you want to do and sometimes the plant kind of speaks to you and then
[14:59.540 --> 15:02.460]  When all else fails just chuck pollen everywhere, you know
[15:04.980 --> 15:06.980]  So the love laughter
[15:08.820 --> 15:14.500]  I've gotten a pack of I think Linney's laughter
[15:15.980 --> 15:17.980]  From the Emerald Cup and like
[15:17.980 --> 15:23.260]  I don't know like 2016 from Oregon CBD company and
[15:24.980 --> 15:28.940]  The Linney's laughter is like Lucy's lion with
[15:30.500 --> 15:35.500]  One of the like original maybe like Charlotte's web or something I'd have to look that back up
[15:35.500 --> 15:37.620]  But I think you can find some information on what?
[15:38.500 --> 15:39.820]  Lucy's
[15:39.820 --> 15:42.060]  Lion was and then ladies laughter was
[15:42.180 --> 15:44.420]  Lying was and then ladies laughter was
[15:44.940 --> 15:49.580]  Named after a girl in Southern Oregon or not. I don't know said that somewhere in Oregon
[15:50.100 --> 15:52.100]  And so I took a really nice male
[15:52.620 --> 15:54.620]  really strong
[15:55.860 --> 16:03.140]  Terpene like stock rub coming off that and then my sister-in-law had gotten a Valentine's clone
[16:03.740 --> 16:07.140]  from a medicine-making workshop she did in Booneville and
[16:07.820 --> 16:09.660]  Valentine I
[16:09.660 --> 16:13.580]  Believe it was a AC DC. You know, hunts a clone only strain and
[16:14.300 --> 16:16.100]  I
[16:16.100 --> 16:22.220]  Thought laughing Valentine kind of sound like a bad date. So I went with love laughter, which
[16:23.420 --> 16:25.540]  is a much better name and it's
[16:26.100 --> 16:31.460]  The the terpenes coming off that are like eucalyptus and berry and it has like a really nice flavor
[16:31.740 --> 16:39.340]  So it's a 20 to 1 it's like 0.8 percent THC and a lot of those really high CBD strains don't have like the best flavor
[16:39.660 --> 16:43.060]  This one has a really nice like flavor and terpene profile
[16:48.840 --> 16:52.920]  Yeah, there was a question I had earlier that I just totally forgot but uh
[16:53.960 --> 16:57.320]  It'll come back to me. But it's the kid. It's the kids
[16:59.960 --> 17:01.960]  It's the weed right now, but uh
[17:03.360 --> 17:05.360]  As I forgot the question
[17:05.360 --> 17:11.280]  I was like I should start writing questions down when I think of them because I'm definitely gonna forget them. But uh
[17:11.960 --> 17:16.080]  We were taught and we're before we were talking about the microclimates and
[17:18.720 --> 17:21.880]  But there was something right before that that I had a question about
[17:26.370 --> 17:28.370]  It was
[17:28.530 --> 17:32.890]  Well, anyway going back to the microclimates so you notice that that
[17:36.030 --> 17:39.390]  Like sorry, my questions was around
[17:41.870 --> 17:43.870]  Like
[17:44.150 --> 17:46.150]  How much did you source
[17:47.030 --> 17:49.310]  seeds and clones like
[17:49.790 --> 17:57.090]  between your dad from the 70s and up to now and like trading and being open with like friends and neighbor or like
[17:58.550 --> 18:03.450]  Like you're probably dealing with more people now than you guys were in the 80s, right?
[18:03.450 --> 18:06.810]  Like you're more open like other people are more open
[18:06.810 --> 18:11.670]  so can you talk about kind of in the community how people were sharing and and
[18:11.830 --> 18:17.710]  Like learning about new and different things from each other and how that's progressed over the years
[18:18.550 --> 18:22.610]  So from like the 80s up until kind of current times
[18:24.230 --> 18:26.230]  Yeah, I mean
[18:27.070 --> 18:29.070]  Guess we've always
[18:29.190 --> 18:31.190]  you know shared seeds with
[18:31.990 --> 18:35.830]  friends and that's like still goes on today and
[18:38.150 --> 18:40.710]  You know, I haven't really
[18:42.390 --> 18:45.310]  Haven't paid for very many packs of seeds in my life
[18:47.670 --> 18:52.190]  And then it's nice that you have friends that are doing breed and work to like
[18:53.110 --> 18:57.350]  You know, like I think in my post I did today, you know, I go to you know, see like
[18:58.150 --> 18:59.790]  golden figs and
[18:59.790 --> 19:04.190]  Covillot and the winner and you know do a little seed trade and
[19:05.190 --> 19:07.510]  And now it's getting to the point where
[19:08.070 --> 19:12.350]  It's almost just it's too much. I have too much too many seed lots too many. It's
[19:13.870 --> 19:17.950]  I have no it's out of hand. It's someone should stop me
[19:21.350 --> 19:24.750]  Well, what's in traveling
[19:26.110 --> 19:30.870]  You've also brought a lot of stuff to like multiple generations out, right
[19:32.070 --> 19:34.070]  Yeah, I mean
[19:34.910 --> 19:36.550]  Yeah
[19:36.550 --> 19:38.550]  Yeah, you know and that's
[19:39.070 --> 19:42.710]  So like you're doing a lot of stuff, but you're also doing a lot of stuff deeply
[19:43.510 --> 19:46.190]  Well, and then you know doing because pollen
[19:46.990 --> 19:51.710]  Collections hard work and very delicate work and tedious work. So it's nice
[19:52.070 --> 19:57.430]  You know, I have some specific goals with line breeding, but then I've collected all this pollen. So
[19:58.710 --> 20:01.830]  make a bunch of you know polyhybrids too because
[20:02.830 --> 20:07.830]  You know, I've done a really hard job of collecting all this pollen
[20:08.830 --> 20:09.910]  so
[20:09.910 --> 20:17.230]  you know sometimes I'll every couple years just get a you know round up some clones from the homies that guts and
[20:17.910 --> 20:19.910]  put Paul, you know
[20:20.110 --> 20:22.110]  Frozen pollen too doesn't last very long
[20:22.630 --> 20:26.150]  You know, but you can at least get another season out of it
[20:26.790 --> 20:28.790]  If you had I think if you had a deep freezer
[20:29.750 --> 20:36.070]  You could get it to last longer but just in the household freezer you it extends to the shelf life of pollen maybe a year or
[20:36.070 --> 20:36.950]  two
[20:36.950 --> 20:38.470]  If you're lucky
[20:38.470 --> 20:40.550]  There's no like, you know power outs are
[20:41.310 --> 20:43.870]  Cuz as soon as it thaws it's toast
[20:44.590 --> 20:46.590]  But if you keep it frozen
[20:48.430 --> 20:52.830]  Like it wouldn't last many years I mean
[20:52.830 --> 20:57.750]  Not and I think you're like kitchen freezer got it. I think you need a little
[20:59.190 --> 21:06.030]  But I haven't I've been able to keep pollen going for like two years something always happen like PG&E blackouts or something something always happens
[21:08.150 --> 21:10.150]  Fires yeah, yeah earthquakes
[21:12.230 --> 21:18.110]  But it's nice to get at least even another another season out of it, you know makes it that hard work of pollen collection
[21:18.230 --> 21:20.230]  Because I guess it's I
[21:21.110 --> 21:23.710]  Mean I have sold pollen in the in the past
[21:25.630 --> 21:31.750]  I usually don't do that. I think a lot of people would buy that pollen. I
[21:33.110 --> 21:36.910]  Know that you know times are tough. I was thinking about maybe doing a sale
[21:41.230 --> 21:44.710]  That's what I'm doing right now on the farm is a lot of pollen
[21:44.830 --> 21:48.870]  That's what I'm doing right now on the farm is a lot of pollen collection and
[21:50.070 --> 21:56.070]  Like what what kind of this year? Have you been collecting pollen? Like what's exciting you that you want to?
[21:57.070 --> 21:59.070]  Let's say let's take a look
[21:59.830 --> 22:01.830]  It's show-and-tell time
[22:02.350 --> 22:06.630]  Yeah, I mean Travis you came back just in time for show-and-tell
[22:07.310 --> 22:14.630]  Yeah, I got some banana jam f3 from moon gazers farm that I'm really excited to make a couple crosses with this
[22:14.630 --> 22:16.630]  I'm gonna cross it to my strawberry collie
[22:19.430 --> 22:21.430]  You know, I've got
[22:22.910 --> 22:24.910]  Yeah
[22:25.670 --> 22:26.950]  Well
[22:26.950 --> 22:28.870]  We'll see
[22:28.870 --> 22:32.950]  And then I have that hash. I got a cherry lotus from green source
[22:32.950 --> 22:37.310]  which is supposed to be a good hasher and I want to cross that with the
[22:37.990 --> 22:43.030]  Lemonhead skittles I got for the you know, it's cherry lemon skittles because those are good hashers
[22:44.710 --> 22:49.550]  Who I got I got some turban poison pollen right here excited for that
[22:50.950 --> 22:52.550]  I
[22:52.550 --> 22:54.470]  Don't even I don't remember
[22:54.470 --> 22:58.750]  So if you're watching and you gave me German poison seeds there from you
[23:01.750 --> 23:07.030]  And then I just put that haze mail into my pollen collection box and
[23:08.190 --> 23:10.190]  We are gonna be shooting a video
[23:10.870 --> 23:14.230]  of the you know, the mail garden the
[23:14.750 --> 23:18.270]  Whole pollen collection process. How's Evan doing? By the way?
[23:18.830 --> 23:22.230]  He's good. Yeah, is he a good understudy? I
[23:23.030 --> 23:25.030]  mean, it's perfect
[23:26.350 --> 23:28.350]  because
[23:28.550 --> 23:31.350]  We have a film school graduate living on the farm and
[23:32.070 --> 23:35.270]  This is you know, we just on the farm. He's helping on the farm
[23:35.270 --> 23:41.790]  Yeah, and it's that's you know, the content that people want for a brand, you know, it's it's just
[23:42.750 --> 23:44.550]  I
[23:44.550 --> 23:51.230]  Was like finally this is like what I've wanted to do for like eight years and I'm like stuck at home with little kids
[23:51.230 --> 23:58.830]  And I like if I didn't have kids I'd be like in a Winnebago going from farm to farm all summer just filming shit
[23:59.750 --> 24:03.310]  And then I'm like, but I have kids so I'm not gonna do any of that
[24:04.670 --> 24:07.770]  and I'm excited for my blue thunder f4 pollen because
[24:08.450 --> 24:13.410]  Last year it I wasn't able to collect it that something happened with the mail
[24:13.410 --> 24:16.410]  I selected but this one was a really nice mail and
[24:18.610 --> 24:22.950]  Just for the namesake I'm gonna cross that in with the cherry lotus for blue lotus
[24:27.680 --> 24:31.240]  But yeah, this is I'll be I'll start to paint the seeds
[24:32.320 --> 24:35.720]  See, I already made one because one cross so far
[24:35.800 --> 24:41.120]  That was the early Sphinx because you know, we're gonna start harvesting those before this this like this
[24:41.120 --> 24:43.380]  I don't know. What day is it next couple of days?
[24:44.280 --> 24:47.320]  and
[24:47.320 --> 24:51.080]  That that's one of the autos, right? No, it's a full term. Oh
[24:51.760 --> 24:55.520]  Really? Yeah, but it's the lion claw
[24:56.280 --> 24:58.280]  crossed in with a lemon head
[24:58.400 --> 25:00.400]  but
[25:00.520 --> 25:03.780]  In the second generation we selected the
[25:04.100 --> 25:08.180]  Photo sensitive traits not the auto flower traits so you can you can go both ways
[25:09.260 --> 25:11.500]  When you cross an auto in with a full term
[25:12.260 --> 25:14.260]  And that you can
[25:14.540 --> 25:16.540]  Shave a few weeks
[25:18.220 --> 25:24.860]  So it makes it's making it faster flowering which is why it's flowering right now well you can help yeah you can
[25:26.180 --> 25:30.180]  You can select for that trade. It can also just make it normal flowering time
[25:30.380 --> 25:34.220]  You know won't shave any time off of it unless you select for it
[25:35.660 --> 25:41.700]  Because like half the phenos of the of the early Sphinx are gonna be ready in October at the f3 stage
[25:42.980 --> 25:44.980]  and those have a
[25:45.260 --> 25:53.420]  Totally different chirping profile. The later ones are like gas and candy peaches. It's it's actually a really amazing
[25:54.900 --> 25:56.380]  Profile
[25:56.380 --> 26:00.700]  Well, so someone asked do you test for it like are you oh
[26:04.540 --> 26:07.020]  Testing or like lab testing or
[26:09.020 --> 26:15.540]  Just no is testing for now, you know, we do send stuff off to the lab, but it's not like
[26:17.300 --> 26:23.100]  You know my older brother who is no longer amongst us, you know, he said that
[26:24.100 --> 26:27.060]  The nose is one of the easiest things to breed for
[26:28.300 --> 26:30.820]  And I think it's because you can if you have
[26:31.740 --> 26:35.900]  Enough males to look through you can find a male that has a good nose on it
[26:35.900 --> 26:39.140]  And then you put that on a female with a good nose on and there you go
[26:45.540 --> 26:51.460]  But what yeah, what's interesting to like with the the sour afghan which started off as like a
[26:52.540 --> 26:54.540]  More sativa, but I started selecting
[26:54.940 --> 26:59.300]  Just the know they're in the second generation of inbreeding it I
[26:59.980 --> 27:02.780]  Came across the Jade skunk, you know
[27:02.780 --> 27:06.020]  Which was smelled like what my dad and brother were growing 20 years ago
[27:06.380 --> 27:09.260]  And now from breeding that just from the nose of that
[27:09.260 --> 27:15.620]  It's like altered the high and the sativa high to the more like relaxing indica high of like the afghan
[27:16.100 --> 27:18.420]  That they were indica from back in the day
[27:19.140 --> 27:21.140]  So that was a fun
[27:21.140 --> 27:23.140]  little process
[27:23.140 --> 27:25.140]  Little process
[27:27.710 --> 27:29.710]  They were
[27:33.150 --> 27:35.150]  Always talking to the kid the cat
[27:36.830 --> 27:41.750]  Have you heard anything about the honey bananas genetics floating around your neck of the woods
[27:42.630 --> 27:44.870]  No, honey banana. Haven't heard a honey banana
[27:49.530 --> 27:54.290]  Okay, I'll keep my ears out now I don't know much is why I ask and I I
[27:54.890 --> 27:58.930]  Don't have much to report back myself except that it's supposed to be very very tasty
[28:01.370 --> 28:06.890]  Yeah, I do love the banana turps when they come when they come out
[28:08.290 --> 28:10.870]  We have a banana Jack we're working on that
[28:11.930 --> 28:17.890]  You know has that like sweet banana flavor and then like the real pining of the Jack comes out in the cure
[28:27.490 --> 28:32.440]  I
[28:32.440 --> 28:36.440]  Mean I haven't really grown too much from clone ever but I have heard of
[28:36.960 --> 28:40.560]  The the snow and seen some work that people have done with the snow
[28:57.650 --> 28:59.770]  And then do you see that so
[29:01.770 --> 29:03.770]  So I've been giving the
[29:04.810 --> 29:10.090]  Like the light the light so you sent me a ton of Lions Claw auto or a lion claw auto
[29:10.090 --> 29:14.250]  And I've just been get like everybody. I've just been giving it to
[29:14.850 --> 29:18.330]  Yeah, like getting feedback people be like I'm growing it
[29:19.330 --> 29:26.370]  yeah, like that's definitely one that like people find me by to though, but like oh my neighbor gave me some line class seeds and
[29:27.290 --> 29:29.290]  It was amazing
[29:30.170 --> 29:32.170]  So, yeah, that's
[29:32.570 --> 29:38.250]  That's a fun one. Okay. Can you talk about that? Like what was the the
[29:39.810 --> 29:41.890]  Photo that you worked with
[29:42.850 --> 29:46.770]  Yeah, so the Lion Claw came into my possession I
[29:48.690 --> 29:50.690]  Don't know maybe like a
[29:50.730 --> 29:53.370]  Decade ago almost now or long. I don't know and
[29:54.290 --> 29:57.930]  But my friend had built a Jim Bay drum for this
[30:00.170 --> 30:04.570]  Grower on the coast and he gave him like three packs of seeds and
[30:05.130 --> 30:09.330]  some cash for the drum and one of them was just labeled early girl and
[30:10.170 --> 30:15.170]  Like we grew the the seeds out and then they were open pollinating in
[30:16.410 --> 30:23.450]  my nursery before I realized what was going on and he and then later I found out like the the story because I
[30:24.090 --> 30:30.250]  Ended up meeting someone else who knew him. Apparently he doesn't even grow anymore. I guess a lot of people don't but
[30:31.650 --> 30:35.810]  he was just he crossed a Mexican early girl with a
[30:36.530 --> 30:42.170]  Lionsgate OG cut and just kept selecting the earliest flowering ones
[30:44.570 --> 30:53.130]  Unknowingly, you know breeding out a recessant trait of root or alias and would you know the Mexican early girl that then made it fully auto
[30:54.770 --> 30:58.330]  And I stabilized it for I
[30:59.570 --> 31:03.450]  Don't know five or six generations from what I got it from
[31:04.450 --> 31:10.970]  I'm not even sure what what gen it was but at least at least third gen to make it fully auto like that and
[31:12.170 --> 31:14.170]  Then that's been the kind of like the staple
[31:14.730 --> 31:20.050]  Auto flower for my auto breeding program and then gotten some other ones in seed trades
[31:20.930 --> 31:24.970]  And sometimes I get some in seed trains from you know, it's just like
[31:26.090 --> 31:29.050]  Breeder notes on it. Not even sure what they are
[31:29.210 --> 31:31.210]  Is there like
[31:32.410 --> 31:34.410]  Are you breeding auto like
[31:34.930 --> 31:39.450]  Something that's yours. That's auto flower with something that someone else's that's auto flower
