[00:00.000 --> 00:02.000]  We're doing an introduction.
[04:36.000 --> 04:44.000]  It is a way of being with people in an open way and opening yourself to not just to music but to nature, to color,
[04:44.000 --> 04:50.000]  to all of the things around us that are not just a little blank, you know, blinking screen.
[04:50.000 --> 04:55.000]  Like I think there is a real analog nature to weed.
[04:55.000 --> 04:58.000]  And that part of it is precious.
[04:58.000 --> 05:03.000]  And it's hard to explain to people because we're not being allowed to at the moment.
[05:03.000 --> 05:09.000]  So definitely for musicians in a world where it's getting harder and harder to make a living as a musician,
[05:09.000 --> 05:12.000]  we have to put our hustle out everywhere.
[05:12.000 --> 05:16.000]  And like cannabis is such a natural place for musicians to be.
[05:16.000 --> 05:19.000]  It just seems totally like, of course, you know.
[05:19.000 --> 05:20.000]  They're comfortable.
[05:20.000 --> 05:23.000]  Well, it's one of two things I know something about.
[05:23.000 --> 05:25.000]  But I mean like look, it does always go hand in hand.
[05:25.000 --> 05:28.000]  Like it is really the most natural pairing of like cannabis and music.
[05:28.000 --> 05:30.000]  Like that's what it's always been from the dawn of time, right?
[05:30.000 --> 05:31.000]  Yeah, it's like coffee and cream.
[05:31.000 --> 05:32.000]  Exactly, yeah.
[05:33.000 --> 05:35.000]  Yeah, exactly.
[05:35.000 --> 05:36.000]  But it is exactly that.
[05:36.000 --> 05:38.000]  It's exactly like coffee and cream, you know.
[05:38.000 --> 05:41.000]  It's just ridiculous.
[05:41.000 --> 05:44.000]  Like this is the only way that we're able to put those two touch points together.
[05:44.000 --> 05:49.000]  You know, one thing I think is going to be, you know, such a breath of fresh air around your brand
[05:49.000 --> 05:55.000]  is the opportunity that retailers and producers who really want to get out there and tell the story
[05:55.000 --> 05:58.000]  and connect and be heard is this activation element.
[05:58.000 --> 06:02.000]  And I find, you know, the experiential component of Loopool the most compelling,
[06:02.000 --> 06:05.000]  along with the great work you're doing, obviously, to support up-and-coming artists.
[06:05.000 --> 06:09.000]  But, you know, we get so few opportunities, especially over the last two years,
[06:09.000 --> 06:13.000]  to connect, to engage, and to be charged up and really be entertained.
[06:13.000 --> 06:17.000]  And I think this activation component with cannabis tied into it is something that is uniquely,
[06:17.000 --> 06:20.000]  is a unique differentiator for Loopool.
[06:20.000 --> 06:22.000]  And so give me a sense of the strategy here.
[06:22.000 --> 06:24.000]  Now you've got products in market.
[06:25.000 --> 06:29.000]  And now you have, you know, an amazing array of artists behind you that can support this mission.
[06:29.000 --> 06:32.000]  What is activation and Loopool going to look like?
[06:32.000 --> 06:36.000]  So I think what it's going to look like is we kind of have a realistic crawl walk run approach to this,
[06:36.000 --> 06:42.000]  which is right now what it is, is we want to see how we can be adding a lot of value to other people's initiatives.
[06:42.000 --> 06:46.000]  So, you know, we wanted to start to see how we can be adding value to other people's initiatives.
[06:46.000 --> 06:49.000]  Like when we do things in store,
[06:50.000 --> 06:52.000]  We got it's all there.
[06:53.000 --> 06:56.000]  I feel like we should be sparking up one of our own joints right now as well.
[06:56.000 --> 06:58.000]  This is like, we definitely should be.
[06:58.000 --> 07:00.000]  We do. Yes.
[07:00.000 --> 07:04.000]  So, only the Loopool.
[07:04.000 --> 07:06.000]  I got the exclusive one here.
[07:09.000 --> 07:12.000]  So look, the important thing is when you want to just talk about cannabis retail and everything,
[07:12.000 --> 07:14.000]  here's the savage honest truth.
[07:14.000 --> 07:17.000]  Like every single store is going to be selling the same products, right?
[07:17.000 --> 07:20.000]  So everyone is trying to be able to differentiate by selling the exact same widgets.
[07:20.000 --> 07:23.000]  So you're either competing on price or competing on experience.
[07:23.000 --> 07:29.000]  You need to be doing things that are allowing people to come into stores and to do unique things that bring artisan and cool experiences.
[07:29.000 --> 07:32.000]  Like that's what it really comes down to, man.
[07:32.000 --> 07:34.000]  Everyone sells the exact same widget.
[07:34.000 --> 07:39.000]  So what are brands doing for retailers to actually like bring people into the stores to help with their stores on the map to be doing different things?
[07:39.000 --> 07:42.000]  Like, again, it's a fundamental problem of it.
[07:42.000 --> 07:44.000]  If they all sell the exact same thing and they can't advertise,
[07:45.000 --> 07:48.000]  then there's very few people that can help make a difference and make them stand out.
[07:48.000 --> 07:50.000]  And then you got to differentiate through people and purpose.
[07:50.000 --> 07:57.000]  And again, that brings me back to Loopool's differentiators here in terms of strengths and real kind of core values that I think people are really going to align with.
[07:57.000 --> 08:05.000]  And the spectrum of music you brought to the table to the stakeholder base you can engage and pull from and activate within,
[08:05.000 --> 08:10.000]  I think is tremendous now that we're moving forward into an age where we're beginning to get our legs under us in cannabis a bit.
[08:11.000 --> 08:15.000]  The craft industry is really teaching us that small scale is the way to go.
[08:15.000 --> 08:17.000]  And there's a powerful narrative there.
[08:17.000 --> 08:23.000]  And I think artists more connect with that because they tried Khalifa with Seven Acres and they tried Snoop with Tweed.
[08:23.000 --> 08:27.000]  I don't want to smoke Bill Blair's fucking weed, man.
[08:27.000 --> 08:28.000]  You know what I mean?
[08:28.000 --> 08:29.000]  I hear you.
[08:29.000 --> 08:30.000]  That shit is dank.
[08:30.000 --> 08:35.000]  But an artist can contribute to a mission around a product, not just the product itself.
[08:35.000 --> 08:37.000]  And that's where again, Loopool offers that.
[08:38.000 --> 08:46.000]  But what I really want, honestly, what I would love to see actually come of Loopool is for us to be starting a greater mission of showing people about how you can differentiate by making a difference.
[08:46.000 --> 08:51.000]  If you can't differentiate on the product, then you need to be able to differentiate on the mission.
[08:51.000 --> 08:59.000]  And in the same way of us giving back to artists, there are organizations that can be giving back to LGBTQ rights or different things like that as a way to stand out.
[08:59.000 --> 09:02.000]  Use a portion of your proceeds and give it back to the Trevor Project, things like that.
[09:02.000 --> 09:06.000]  These are the kind of ways you're able to stand out and you're able to be social for it at the same time.
[09:06.000 --> 09:10.000]  It's the win-win that I think this industry is desperately needing to find.
[09:10.000 --> 09:13.000]  And I think people aren't trying to be creative enough to go for it.
[09:13.000 --> 09:16.000]  One of the cool things about the weed industry is it's brand new.
[09:16.000 --> 09:21.000]  So it's not too late to build integrity into the process.
[09:21.000 --> 09:27.000]  It's not too late to create systems that are fair or equitable or work for everybody.
[09:27.000 --> 09:34.000]  Whereas, you know, with so many other industries, it's like, oh, we can't make it okay because it's been fucked for ages and that's the way it works.
[09:34.000 --> 09:36.000]  It doesn't have to be like that.
[09:36.000 --> 09:47.000]  So the opportunity to do this with Ian for a band like us, we've been around 20 years, we're looking for other ways to be involved as a band in things.
[09:47.000 --> 09:51.000]  And it was it's it's an amazing open door.
[09:51.000 --> 09:53.000]  And as Ian says, you could do with anything.
[09:53.000 --> 09:57.000]  You could do it with you could get yourself involved in the food industry.
[09:57.000 --> 10:00.000]  You could support young chefs. You could support young painters.
[10:00.000 --> 10:07.000]  You could, you know, anyone who's doing something new could be involved in the act of creating a brand that people want to buy.
[10:07.000 --> 10:11.000]  If you can't if you can't differentiate in the product, then differentiate in your mission.
[10:11.000 --> 10:15.000]  Like that's like that's it. That's really it.
[10:15.000 --> 10:19.000]  Honestly, I think what people resonate with at the end of the day is is your values.
[10:19.000 --> 10:25.000]  They want to, you know, ascribe themselves to something that really does fundamentally connect.
[10:26.000 --> 10:31.000]  And that again, music is that is that is that common ground, that wonderful vector just allows for that.
[10:31.000 --> 10:33.000]  Especially with weed, right? Yeah.
[10:33.000 --> 10:45.000]  In my life, the people who have been I've traveled all over the world and before it was legal and still not legal, as I'm sure I'm looking around all you guys know, you get to town, you're like, oh, now I've got to find some fucking weed.
[10:46.000 --> 10:56.000]  You talk to the sound guy and you talk to the roadie and like, but eventually someone will hook you up with for no reason, not because they're getting anything out of it, just because they're nice.
[10:56.000 --> 11:02.000]  Someone will come and sell you some really nice weed and they'll be pretty cheap, you know, and people will share it.
[11:02.000 --> 11:11.000]  It's not something you hoard. It's the entire experience of weed from day one for me has been about people being together and sharing the experience.
[11:11.000 --> 11:14.000]  It's like nobody fucking hogs a joint. You know what I mean?
[11:14.000 --> 11:16.000]  It's not the way it works.
[11:16.000 --> 11:17.000]  We called out real quick.
[11:17.000 --> 11:24.000]  Yeah. You know, and there's something like endemically good about it that I think is exploitable.
[11:24.000 --> 11:27.000]  I think it's like it's such a social icebreaker as well.
[11:27.000 --> 11:31.000]  Like it's one of those things where it's like it's one of those ways that like somebody lets their guard down.
[11:31.000 --> 11:35.000]  You kind of get more real and getting to know somebody like that is the one really cool thing about it.
[11:35.000 --> 11:41.000]  We're like if you start drinking a lot with somebody like, look, you're going to have fun memories, whatever, but you get like sloshed a little ridiculous.
[11:41.000 --> 11:45.000]  I find that weed is just a very simple, easy icebreaker as well in our society.
[11:45.000 --> 11:48.000]  Like I don't know, it's just a very Canadian thing, too.
[11:48.000 --> 11:55.000]  So I'd love to pivot real quick because you mentioned, you know, a powerful word there about really what is creating success and so many outcomes and it's involved.
[11:55.000 --> 12:07.000]  And a big part of what this represents is just coming together, being involved in discussion, in idea exchange, in advocacy that, you know, again, we build consensus around.
[12:07.000 --> 12:12.000]  And, you know, there's moments in concerts where you just feel everyone's energy come together and it's like one.
[12:12.000 --> 12:16.000]  And I felt that last night here where we were all in a room together.
[12:16.000 --> 12:17.000]  It was actually the AR Cannabis Awards.
[12:17.000 --> 12:18.000]  Shout out to AR Cannabis.
[12:18.000 --> 12:21.000]  They threw a hell of a party.
[12:21.000 --> 12:22.000]  And it was the most magical feeling in the world.
[12:22.000 --> 12:23.000]  It felt like a concert.
[12:23.000 --> 12:25.000]  My wife and I were talking about we haven't been to a concert ever.
[12:25.000 --> 12:26.000]  We gotta go.
[12:26.000 --> 12:27.000]  Like you're coming, right?
[12:27.000 --> 12:30.000]  Like that energy is just like the most uniting, binding force.
[12:30.000 --> 12:32.000]  And it just is so pure.
[12:32.000 --> 12:33.000]  And there's a moment where you just understand.
[12:33.000 --> 12:37.000]  And Cannabis brings that to me in waves and moments all the time.
[12:37.000 --> 12:41.000]  But it's when I'm together with people like right now, like look at this deck, look at the sunshine, look at this moment.
[12:41.000 --> 12:42.000]  I'd love to know your impression.
[12:42.000 --> 12:44.000]  This is our inaugural event.
[12:44.000 --> 12:49.000]  But I mean, we selected this place really based on the ability to chill and stretch out and not feel so crunched and convinced.
[12:49.000 --> 12:52.000]  There's been a lot of that in conferencing.
[12:52.000 --> 12:53.000]  And this is different.
[12:53.000 --> 12:56.000]  And programming wise, there's definitely been a couple of hiccups.
[12:56.000 --> 12:58.000]  But at the end of the day, people are vibing and chilling.
[12:58.000 --> 13:00.000]  And this is a relaxed venue and setting.
[13:00.000 --> 13:01.000]  Extremely relaxed.
[13:01.000 --> 13:04.000]  What's your impression been so far of the inaugural summit here in Cologne?
[13:04.000 --> 13:07.000]  Well, my wife and I have never been to a conference because I'm not a business person.
[13:07.000 --> 13:09.000]  I've never like done this before.
[13:09.000 --> 13:10.000]  Thank you for doing it.
[13:10.000 --> 13:14.000]  So we were sort of worried that it would be like guys in chinos and everyone.
[13:14.000 --> 13:15.000]  But it, of course, isn't.
[13:15.000 --> 13:16.000]  Because it's weed people.
[13:16.000 --> 13:17.000]  Wonderful.
[13:17.000 --> 13:21.000]  So we've had such a beautiful time.
[13:21.000 --> 13:22.000]  And everyone's so nice.
[13:22.000 --> 13:25.000]  It's such a genuine down to earth feeling.
[13:25.000 --> 13:29.000]  And you know what's nice about it is it feels like everyone's in this thing.
[13:29.000 --> 13:32.000]  Everyone has their particular area they're working within.
[13:32.000 --> 13:36.000]  And everybody's rising together or falling together.
[13:36.000 --> 13:38.000]  And everybody knows it.
[13:38.000 --> 13:40.000]  So it's like mutual support.
[13:40.000 --> 13:42.000]  Everyone's interested in what each other's doing.
[13:42.000 --> 13:47.000]  It feels very new and very idealistic and beautiful.
[13:47.000 --> 13:49.000]  And I hope that energy.
[13:49.000 --> 13:55.000]  The thing is how do you grow something and keep that core of goodness in it?
[13:55.000 --> 13:57.000]  That's the real trick.
[13:57.000 --> 14:02.000]  And that goes back to like building integrity into the ground floor of it so that you.
[14:02.000 --> 14:03.000]  It's just there.
[14:03.000 --> 14:09.000]  And I think this is a good long way to establishing that at least amongst this community of people.
[14:09.000 --> 14:10.000]  Thank you.
[14:10.000 --> 14:11.000]  People are nice.
[14:11.000 --> 14:12.000]  Be nice.
[14:12.000 --> 14:13.000]  That's all.
[14:13.000 --> 14:14.000]  Just be nice.
[14:14.000 --> 14:15.000]  It's really simple.
[14:15.000 --> 14:16.000]  It's also like a totally different.
[14:16.000 --> 14:17.000]  Yeah.
[14:17.000 --> 14:18.000]  Be a family.
[14:18.000 --> 14:21.000]  I was at a conference as well about an amazing product that we all love to enjoy and consume together.
[14:21.000 --> 14:22.000]  This isn't like insurance.
[14:22.000 --> 14:24.000]  There's like the state farm guy and the all state guy.
[14:24.000 --> 14:27.000]  And it's just like, oh, we got to figure out who the guy's clients are.
[14:27.000 --> 14:29.000]  It's hard to find passion inside that.
[14:29.000 --> 14:30.000]  Yeah.
[14:30.000 --> 14:32.000]  That's actually what's really cool and exciting.
[14:32.000 --> 14:34.000]  We enjoy what we do.
[14:34.000 --> 14:36.000]  Figuratively and literally.
[14:36.000 --> 14:37.000]  So let's jump into that.
[14:37.000 --> 14:38.000]  What are you doing?
[14:38.000 --> 14:39.000]  What is coming up?
[14:39.000 --> 14:40.000]  What is next?
[14:40.000 --> 14:45.000]  I asked a little bit about the activation because I am eager to hear how as you enter into new markets.
[14:45.000 --> 14:46.000]  What is the strategy?
[14:46.000 --> 14:51.000]  Because you have just this array in your toolbox of amazing people you can bring to the table at any given time.
[14:51.000 --> 14:52.000]  Some great products.
[14:52.000 --> 14:53.000]  Great formats.
[14:53.000 --> 14:54.000]  What are we looking at here?
[14:54.000 --> 14:56.000]  I know you're always on the hunt for crafts.
[14:56.000 --> 15:01.000]  I hope you're getting out and meeting a lot of small scale producers here because we want to be loophole what they need.
[15:01.000 --> 15:04.000]  So what we think that there's a really cool opportunity on.
[15:04.000 --> 15:14.000]  I actually wanted to talk about this afterwards as well too because we're sort of looking at it right now, which is we really think that there's a huge opportunity to do some really cool limited edition artist co-cons.
[15:15.000 --> 15:28.000]  Branded opportunities because in the way that you can't say, like as an example, you can't call it Our Lady Peace Sativa, but you could call it spiritual Sativa.
[15:28.000 --> 15:31.000]  If there are spiritual machines, I'm just oversimplifying it.
[15:31.000 --> 15:45.000]  But what we want to be able to do is I really want to be able to create some limited edition ultra premium products like the idea of being here wanting to source great products from great people and to be able to sort of curate this around unique times in the artist album cycle.
[15:45.000 --> 15:49.000]  I think that for our end as well, we also look at it as a business model where...
[15:49.000 --> 15:52.000]  Like on tour in the studio type stuff or it's like the different...
[15:53.000 --> 16:00.000]  You know how much of a fucking game changer it would be if at a merch table in California you could sell your own strain?
[16:00.000 --> 16:07.000]  I mean, it's literally a question of paying for the entire tour with that.
[16:07.000 --> 16:10.000]  If people had that available to buy.
[16:10.000 --> 16:15.000]  And it's so ridiculous that there is this continues to be...
[16:16.000 --> 16:28.000]  You know, I remember from law class in high school, like laws are made by people whose social norms are of one kind and they make that which is not their social norm illegal.
[16:28.000 --> 16:31.000]  So cannabis was made illegal by a bunch of alcoholics.
[16:31.000 --> 16:33.000]  It's like they didn't give a shit.
[16:33.000 --> 16:35.000]  The cotton industry wanted to make its money.
[16:35.000 --> 16:37.000]  And so they banned it because it was...
[16:37.000 --> 16:39.000]  They didn't need it in their life.
[16:39.000 --> 16:45.000]  But now it's become part of the people who are in power now have smoked weed.
[16:45.000 --> 16:53.000]  And so we have to start to get them to drop this phony moralism, pretending that we use other drugs.
[16:53.000 --> 16:55.000]  You know, it's not like other drugs.
[16:55.000 --> 17:00.000]  And so if you had that, then suddenly like, yeah, you could.
[17:00.000 --> 17:04.000]  I mean, in the States, Snoop Dogg and those guys, they have that ability to like...
[17:04.000 --> 17:06.000]  I just hope in Canada.
[17:06.000 --> 17:09.000]  But it's hard because look at with beer, right?
[17:09.000 --> 17:14.000]  When I was a kid, the only beer you could buy was Molson, Carlsberg, Labatt Blue.
[17:14.000 --> 17:16.000]  That was it, man.
[17:16.000 --> 17:18.000]  And then suddenly it was like Sleeman came along.
[17:18.000 --> 17:21.000]  Everybody freaked out because there was one microbrewery.
[17:21.000 --> 17:29.000]  And now you go into the grocery store and you're like, how the hell am I supposed to figure out which of these 700 IPAs I'm supposed to buy?
[17:29.000 --> 17:39.000]  So it's like, you know, I think cannabis just has to be allowed to turn into something that is local and multiple, you know, multitudes.
[17:39.000 --> 17:42.000]  Variety is the key.
[17:42.000 --> 17:47.000]  We're going to answer that by the way, just specifically to like the craft thing with BC and like with the reason why we're here.
[17:47.000 --> 17:52.000]  Like, I think that there are people here who are growing incredible next level cannabis.
[17:52.000 --> 17:54.000]  It's the best weed in the world.
[17:55.000 --> 18:02.000]  But like when we're in this like crazy world where there's like hundreds of brands and it's so like even again, you could have the best stuff.
[18:02.000 --> 18:05.000]  Even somebody who doesn't will say that they do as well.
[18:05.000 --> 18:22.000]  Like the ability to actually help your great product be sold, be sold on a recurring basis and being able to help companies be able to like if you grew amazing stuff, then wouldn't you want that to be like recurring selling and to be able to grow your business from one greenhouse to two if it's a really, really great product.
[18:22.000 --> 18:28.000]  And it's the opportunity to partner with brands that are connecting with people and are working with people like the independents like us.
[18:28.000 --> 18:30.000]  Because like for us, we don't grow the product.
[18:30.000 --> 18:32.000]  We source great product from great people.
[18:32.000 --> 18:43.000]  I think that we can be like that amazing connection between amazing local craft growers and like bringing big strains and like bringing them to larger scale by doing these kinds of unique opportunities.
[18:43.000 --> 18:45.000]  And you'll feel the love in it as well, too.
[18:45.000 --> 18:48.000]  Like I think there's a huge, huge, huge opportunity.
[18:49.000 --> 18:54.000]  I think we're really just still victim of circumstance in terms of how new the industry is.
[18:54.000 --> 18:58.000]  Like we just see, you know, how long it take liquor to get to where it is at.
[18:58.000 --> 19:08.000]  Right. Like we got a long way to go to build the community confidence around that type of free exchange in terms of on site consumption and integration with a whole bunch of other different types of business models.
[19:09.000 --> 19:13.000]  Where artists can really benefit from that plurality of products that our industry offers out the gate.
[19:13.000 --> 19:18.000]  And the kind of experience you're looking for in terms of your exchange with your audience, too.
[19:18.000 --> 19:20.000]  Because alcohol, things can get pretty rough sometimes.
[19:20.000 --> 19:24.000]  And an audience with cannabis, much more enjoyable and manageable, I would imagine.
[19:24.000 --> 19:25.000]  Absolutely.
[19:25.000 --> 19:29.000]  I think one of the most frustrating things, by the way, is when you see like, OK, so I'm from Ontario.
[19:29.000 --> 19:31.000]  They just legalized like online gambling there.
[19:31.000 --> 19:34.000]  You literally can't go anywhere now without seeing an advertisement.
[19:34.000 --> 19:36.000]  They advertise it every 30 seconds.
[19:36.000 --> 19:39.000]  Everywhere now. It's just the gambling, gambling, gambling.
[19:39.000 --> 19:42.000]  Then there's like the LCBO who buys ads for the government.
[19:42.000 --> 19:45.000]  Like the hypocrisies of the things that are happening right now.
[19:45.000 --> 19:50.000]  They're having all these like alcohol ads everywhere and you couldn't even advertise a CBD drink right now.
[19:50.000 --> 19:52.000]  It's a little.
[19:52.000 --> 19:54.000]  Well, we need to have a reckoning.
[19:54.000 --> 19:55.000]  That's why we're here.
[19:55.000 --> 19:57.000]  A major, major reason of that.
[19:57.000 --> 20:01.000]  We're doing lots of surveying and polling during the entire extent of the conference.
[20:01.000 --> 20:03.000]  And we did some preliminary leading up to it.
[20:03.000 --> 20:10.000]  And we're really trying to aggregate data and insight direct from first hand stakeholders in the industry.
[20:10.000 --> 20:24.000]  Representative, diverse, inclusive, and really focused on issues that are really bottlenecking opportunities to really welcome what you're describing here in terms of that type of freedom of exchange in a whole bunch of different settings.
[20:24.000 --> 20:27.000]  So, you know, we've got a long, long way to go still.
[20:27.000 --> 20:28.000]  But it starts here.
[20:28.000 --> 20:30.000]  And, you know, the data we're aggregating here.
[20:30.000 --> 20:33.000]  We've had the stakeholders come here, the secretary at the VCLDB, the LCRB.
[20:33.000 --> 20:34.000]  They're listening.
[20:34.000 --> 20:35.000]  They're learning.
[20:35.000 --> 20:36.000]  They're presenting.
[20:36.000 --> 20:37.000]  They're sharing ideas.
[20:37.000 --> 20:44.000]  And I'm seeing a softening of kind of bureaucratic inertia in a lot of ways because they're beginning to get a sight line on who the industry is.
[20:44.000 --> 20:45.000]  And they're actually coming out.
[20:45.000 --> 20:48.000]  And they can't come out if you don't offer an opportunity for them to do that.
[20:48.000 --> 20:49.000]  Much like a concert.
[20:49.000 --> 20:50.000]  Right?
[20:50.000 --> 20:51.000]  As an artist.
[20:51.000 --> 20:53.000]  They don't get to know you until you're rocking it on stage.
[20:53.000 --> 20:55.000]  You know what I mean?
[20:55.000 --> 20:56.000]  You've got to get that emotional reaction.
[20:56.000 --> 20:59.000]  Zoom calls are not the way to create a business model.
[20:59.000 --> 21:00.000]  Can I ask this, by the way?
[21:00.000 --> 21:04.000]  What do you think we as a business, we advocate and what we're trying to be able to push for.
[21:04.000 --> 21:06.000]  What can civilians do?
[21:06.000 --> 21:08.000]  What can individuals try to do?
[21:08.000 --> 21:10.000]  Is it like writing your MP?
[21:10.000 --> 21:11.000]  That's definitely part of it.
[21:11.000 --> 21:14.000]  But is there the time and the place around elections?
[21:14.000 --> 21:17.000]  Vote with your wallet at the end of the day.
[21:17.000 --> 21:19.000]  If I can say anything.
[21:19.000 --> 21:25.000]  And that's why a brand like yours in converting and creating that affinity and recognition and momentum and experience is so important.
[21:25.000 --> 21:27.000]  Because they will keep coming back to you.
[21:27.000 --> 21:29.000]  It's really easy in cannabis to make one sale.
[21:29.000 --> 21:31.000]  Right?
[21:31.000 --> 21:33.000]  You can have fool's gold all over the place.
[21:33.000 --> 21:36.000]  And getting that second purchase is all around why you resonate with that product.
[21:36.000 --> 21:38.000]  And again, it has to be a multitude of things.
