[00:00.570 --> 00:02.570]  And we are live.
[04:53.900 --> 04:55.900]  How's it going guys?
[04:55.900 --> 04:58.900]  I'd like to thank you guys all for coming out here.
[04:58.900 --> 05:00.900]  I am your DJ.
[05:00.900 --> 05:03.900]  And well, we've got a couple other names.
[05:03.900 --> 05:06.900]  And like I said earlier today, this is the first one.
[05:06.900 --> 05:08.900]  I'd like to thank you guys for all coming out here.
[05:08.900 --> 05:10.900]  I get to do this all the time.
[05:10.900 --> 05:15.900]  I have an awesome job as being a DJ, so I get to party all the time.
[05:15.900 --> 05:26.900]  But I also get to go around and educate people and teach them about cannabis and show them the proper ways of just being with it.
[05:26.900 --> 05:28.900]  Because it's not just those guys.
[05:28.900 --> 05:33.900]  When I talk with trimmers and people like that, the plant is medicine.
[05:33.900 --> 05:37.900]  So from start to finish, it's got to be surrounded with love.
[05:37.900 --> 05:42.900]  Everyone out here today, we're all here for education because we love it.
[05:42.900 --> 05:51.900]  I mean, at the end of the day, to come out and discover something, you have to love it to begin with, to further educate yourself.
[05:51.900 --> 05:57.900]  And the thing about medicine is it's something that you – it's not just something you take.
[05:57.900 --> 06:01.900]  It's something you live. It's something you surround yourself with, all of it.
[06:01.900 --> 06:06.900]  And like I was saying earlier, when I first got into this, I just knew about the cannabinoids.
[06:06.900 --> 06:14.900]  I mean, I knew it. I had an injury myself, and I was given the opiates and the things like that, and it was making things worse.
[06:14.900 --> 06:25.900]  And then I started getting closer to trying to discover what was going on, like the whole physiology of what happens between the plant and the relationship between you and that.
[06:25.900 --> 06:31.900]  And the cannabinoids are inside of your body, the endocannabinoid system.
[06:31.900 --> 06:33.900]  You have that system.
[06:33.900 --> 06:38.900]  And now that I'm not – I know I told you guys this once in the earlier times, but you guys at home need to know about that
[06:38.900 --> 06:45.900]  because something about this medicine is everything else you get from the doctors, you do not have a system for.
[06:45.900 --> 06:47.900]  It does not exist in your body.
[06:47.900 --> 06:51.900]  Some of it harms your system, especially if it's chemicals.
[06:51.900 --> 06:59.900]  So when you take the cannabinoids, which are phytocannabinoids, out of the plant and you put them into your endocannabinoid system,
[06:59.900 --> 07:01.900]  well, it's kind of like giving your body a tuna.
[07:01.900 --> 07:06.900]  So after about 30 days or so of not doing any cannabinoids, it starts to break down.
[07:06.900 --> 07:12.900]  So if you're, let's say, 30 years old, 40 years old, and you've never done cannabinoids at all, it's pretty much dead.
[07:12.900 --> 07:17.900]  But lucky thing for all of us, CBD brings it back to life.
[07:17.900 --> 07:22.900]  After a month of taking just a gram every single day, or whatever you want to use,
[07:22.900 --> 07:27.900]  it has to have a gram of full spectrum, something you start bringing it back to life.
[07:27.900 --> 07:32.900]  They used to tell us that nothing would regrow brain stuff and organs.
[07:32.900 --> 07:33.900]  They were lying to us.
[07:33.900 --> 07:34.900]  It's CBD.
[07:34.900 --> 07:40.900]  And then it does also, it regrows brain matter from narcotics and the poison that they gave you and all those things.
[07:40.900 --> 07:46.900]  So once I started realizing that and I quit going to the doctor and started eating right and taking medicine,
[07:46.900 --> 07:48.900]  and Barb, can I have that coffee really quick?
[07:48.900 --> 07:54.900]  And now it's just so much that I've made my own medicine and coffee for it.
[07:54.900 --> 07:58.900]  See, every single person in the world, this is Delta 8, and this is very important
[07:58.900 --> 08:01.900]  because they're starting to take this away from us all over the place.
[08:01.900 --> 08:08.900]  And Delta 8 is a very, very, very amazing cannabinoid because it's almost like Tetris.
[08:08.900 --> 08:14.900]  Like when people get really, really high, and they're on the Delta 9 and now Delta 10,
[08:14.900 --> 08:19.900]  and they kind of get your eyes and it consumes all your mental and stuff.
[08:19.900 --> 08:22.900]  Well, Delta 8 does not do that.
[08:22.900 --> 08:27.900]  It's more of a structured one that lands on the cannabinoids more as a scrubbing instead of like a sponge.
[08:27.900 --> 08:36.900]  So the patients get more of an uplifting effect, more euphoric effect and focus,
[08:36.900 --> 08:42.900]  with the rest of it working on the CD2 receptors, you know, the relaxation, the inflammation,
[08:42.900 --> 08:45.900]  all the things that patients go and seek out.
[08:45.900 --> 08:49.900]  That's why they're taking it away from you because if you have this, you don't need chemicals.
[08:49.900 --> 08:57.900]  So the bottom line is once I started learning about how older people are scared of the plant, you know,
[08:57.900 --> 09:03.900]  so I knew that if I did something with coffee and things and used this one because it's known as the more milder THC,
[09:03.900 --> 09:08.900]  I knew that I could start getting more patients to open up to doing this, you know.
[09:09.900 --> 09:15.900]  And like the biggest thing that I like about this, I was telling you guys earlier, that was my focus,
[09:15.900 --> 09:18.900]  was creating a great medicine, something I could get everywhere.
[09:18.900 --> 09:21.900]  Delta 8, you can order this to your front door.
[09:21.900 --> 09:24.900]  So this is like the loot roll to saving people's lives.
[09:24.900 --> 09:30.900]  But then when I did my first farmer's market, I met Bart in Payonee Soil,
[09:30.900 --> 09:35.900]  and I was just telling him, man, I thought I was dialed in and did mostly everything.
[09:35.900 --> 09:38.900]  And then I don't know why I didn't put it together.
[09:38.900 --> 09:44.900]  But that day I mentioned I was like everything that I find in the plants that I think is so freaking important
[09:44.900 --> 09:50.900]  had to start somewhere. And that's in the soil and the farmers and what they did with it and the love and the care.
[09:50.900 --> 09:54.900]  And that right there is what ended up in the medicine.
[09:54.900 --> 10:00.900]  So, you know, when you think about the patient side consuming it, that's all over the place.
[10:01.900 --> 10:05.900]  I mean, how many freaking reviews do you see on YouTube of people just smoking weed and coughing?
[10:05.900 --> 10:09.900]  What the hell? Does it taste good? I mean, did it do something for you?
[10:09.900 --> 10:13.900]  What the hell is this even about? Like that's what is flooding the market.
[10:13.900 --> 10:18.900]  And the reason that's flooding the market is just to make everyone out there think we're stupid.
[10:18.900 --> 10:26.900]  You know, the bottom line is those flavors that you taste are also creating a special effect.
[10:26.900 --> 10:28.900]  Do you know which effects those things are doing?
[10:28.900 --> 10:33.900]  Do you know if it's more fruity, it's probably an indica. If it's more citrus, it's probably a sativa.
[10:33.900 --> 10:37.900]  Do you know things like that? Because those are things that you need to know right off the bat,
[10:37.900 --> 10:39.900]  especially if you're talking to a patient.
[10:39.900 --> 10:43.900]  So the biggest thing I want to stress to everyone is I do this all the time.
[10:43.900 --> 10:47.900]  When you guys leave here, you're all going to think I wish I would have got that person's number.
[10:47.900 --> 10:51.900]  I wish I would have taken a picture. But today is important. This is day one.
[10:51.900 --> 10:56.900]  We're all in here. We all have time to meet with each other, have time to try each other's medicines,
[10:56.900 --> 11:01.900]  kick and tell stories, grow in stories. That's what today is about, is teaching each other,
[11:01.900 --> 11:06.900]  is educating each other, because we can go out there and smoke a weed every single day.
[11:06.900 --> 11:10.900]  How many days you guys got to sit around and talk to each other about farming stories
[11:10.900 --> 11:14.900]  and about things like that? Because this is how we get smarter, get better,
[11:14.900 --> 11:17.900]  and ultimately take care of our patients better.
[11:17.900 --> 11:20.900]  So anyways, I am the CBDJ. I love seeing you guys all here.
[11:20.900 --> 11:27.900]  Next time you guys are here online, you guys need to be out here and join this marijuana movement
[11:27.900 --> 11:30.900]  that we have going on in Smoke, Oklahoma, baby.
[11:30.900 --> 11:33.900]  And I'll be DJing here later on tonight. I hope I'll see you guys there too.
[11:33.900 --> 11:38.900]  We'll be back there doing dabs with the Boil-Tac Hoods. I'll see you guys later.
[11:38.900 --> 11:41.900]  That's right.
[11:41.900 --> 11:56.880]  Hi, my name is Ethan Miller. I do product development for Scent Cannabis
[11:56.880 --> 12:01.880]  along with Honey Creek Farms and RPS2 Tulsa.
[12:01.880 --> 12:05.880]  We're the guys who did cannabis and mushroom-infused yummies.
[12:05.880 --> 12:10.880]  These are the guys who are eating today. Thank you. Appreciate the support.
[12:10.880 --> 12:15.880]  And I'm a patient. I've been in Oklahoma born and raised.
[12:15.880 --> 12:19.880]  I was introduced to cannabis when I was 15 years old, fell for it really hard,
[12:19.880 --> 12:24.880]  and became an advocate. I was going to sell weed legally in Oklahoma.
[12:24.880 --> 12:29.880]  That was my dream. And here I am looking at you guys talking about cannabis and mushrooms.
[12:29.880 --> 12:32.880]  So it's near and dear to my heart.
[12:32.880 --> 12:36.880]  This state's had a lot of issues with other compounds,
[12:36.880 --> 12:40.880]  and I'm seeing this transition over the past three years to cannabis.
[12:40.880 --> 12:43.880]  And not just a transition, but people are stoked about it.
[12:43.880 --> 12:46.880]  Our economy's coming back, and new buildings are on the streets,
[12:46.880 --> 12:51.880]  and people have a chance to do their dream like what I'm doing right now.
[12:51.880 --> 12:55.880]  So to me, this is a trip, to be honest.
[12:55.880 --> 13:02.880]  I'm on Future Cannabis Project. I literally watched Future 4200.
[13:02.880 --> 13:05.880]  I saved the video. It's on my phone from three years ago,
[13:05.880 --> 13:09.880]  and it's what got me into teaching.
[13:09.880 --> 13:12.880]  Future talks about open-source ecology, open-source information.
[13:12.880 --> 13:18.880]  I got super excited about it, and now I talk in front of people when they let me.
[13:18.880 --> 13:23.880]  I'm also VP of the Oklahoma Mycological Society, OK Fungi.
[13:23.880 --> 13:27.880]  We teach and talk all things fungi. Thank you.
[13:27.880 --> 13:30.880]  You got the back, future member.
[13:30.880 --> 13:35.880]  Yeah, so I've got dreads. I'm the real deal, guys.
[13:35.880 --> 13:39.880]  Thank you, thank you.
[13:39.880 --> 13:45.880]  Yeah, so Ascent Cannabis, real quick, we were super excited to sponsor the event.
[13:46.880 --> 13:50.880]  Getting to be around a bunch of people who are like-minded is rarer than I thought,
[13:50.880 --> 13:52.880]  especially after COVID.
[13:52.880 --> 13:56.880]  So getting to be here and assuming that we could all be friends is a heck of a first start.
[13:56.880 --> 13:59.880]  I appreciate you guys coming out, too.
[13:59.880 --> 14:03.880]  I know there's something new and different, and I appreciate Deidre for pulling it off, Amy as well,
[14:03.880 --> 14:07.880]  everybody who participated in the setup and takedown.
[14:07.880 --> 14:09.880]  So thank you. Thank you for being here.
[14:09.880 --> 14:14.880]  And if anybody's got any mushroom questions, I'm going to be ranting off to the side over here.
[14:14.880 --> 14:18.880]  Come bug me. I won't do it up here because they won't be able to take me down.
[14:18.880 --> 14:20.880]  As I get started, I just don't stop.
[14:20.880 --> 14:25.880]  So that's me. There's my elevator pitch, and I appreciate it. Thanks.
[14:25.880 --> 14:38.700]  The boho is legit.
[14:38.700 --> 14:44.700]  Oh, what's up? All right. I'm the shorty of the group.
[14:44.700 --> 14:48.700]  My name is Amy Lee. I am the boho health coach.
[14:48.700 --> 14:52.700]  I run a cannabis wellness coaching company.
[14:52.700 --> 15:00.700]  And when I tell people I'm a cannabis coach, they're like, oh, so you like help me smoke weed and get high?
[15:00.700 --> 15:04.700]  I'm like, yeah, that's your goal. Yeah, I'm going to help you do that.
[15:04.700 --> 15:06.700]  Let's do that together.
[15:06.700 --> 15:13.700]  But in all seriousness, cannabis saved my life multiple times during my health journey.
[15:13.700 --> 15:28.700]  And now I get to share that with others through education, through educating myself, getting certifications, both in wellness, becoming certified, finishing my nutritionist this year.
[15:28.700 --> 15:31.700]  And I'm also certified as a level three clinician and a trainer.
[15:31.700 --> 15:37.700]  So I train others. I host an apprenticeship. And my goal is really not to coach the world.
[15:37.700 --> 15:41.700]  I don't have that many hours in my day, but to be the ripple.
[15:41.700 --> 15:46.700]  Right. So to teach you what I know and you can take that information and do what you want with it.
[15:46.700 --> 15:52.700]  So I host an apprenticeship. My next apprenticeship is August 8th. You can save your seat for $120.
[15:52.700 --> 15:56.700]  That's right. Shameless plug. But please do go fast.
[15:56.700 --> 16:01.700]  This is my third one. And there's people all across the country and including Canada.
[16:01.700 --> 16:05.700]  So it doesn't matter if you live in a legal state or not. You're a coach.
[16:05.700 --> 16:10.700]  You're just helping people find wellness. And that's completely legal.
[16:10.700 --> 16:15.700]  So anyway, that's what I do. And I'm here from Tulsa.
[16:15.700 --> 16:22.700]  I met Brian in 2019 when I was researching my own wellness and getting education with Rear of Your Organics.
[16:22.700 --> 16:28.700]  And he was talking about soil. So I started geeking out. Oh, my gosh, I'm jumping in my lead. I'm smoking.
[16:28.700 --> 16:33.700]  And then came along education. And now that I'm very honored to be here.
[16:33.700 --> 16:39.700]  Thank you for letting me share the stage. If you guys are growers, I am not.
[16:39.700 --> 16:43.700]  So I don't have a green thumb at all. But I love learning what you do.
[16:43.700 --> 16:49.700]  And I love why it's important and hearing your passion. So thank you so much.
[16:54.700 --> 17:00.700]  All right. So the reason why you guys were able to have ticket prices so low is because of all the people that you just heard.
[17:00.700 --> 17:03.700]  So another round of applause for those guys.
[17:04.700 --> 17:11.700]  Especially the James. He's given out a lot of his canvas to you guys to enjoy as well.
[17:11.700 --> 17:14.700]  A lot of these speakers that are here today are nationally known.
[17:14.700 --> 17:19.700]  Every single one that you are going to hear from now on has been hand selected by me for a reason.
[17:19.700 --> 17:31.700]  So I'm excited to really bring Tulsa, Oklahoma, this level of education and also to the future candidates project so that we can continue to have this basically in the ether of YouTube forever.
[17:31.700 --> 17:42.700]  So the first speaker that I want to introduce you guys to, especially here in Tulsa, Oklahoma, is well known in Colorado for not only his DJ skills, but also making high end soil.
[17:42.700 --> 17:49.700]  It's extremely hard, especially at the commercial level, to make soil that people want to buy in bulk and truckloads.
[17:49.700 --> 17:54.700]  And that's something that Bart is well known for in Colorado. I'm excited to bring him up on the stage right now.
[17:54.700 --> 17:57.700]  So Bart, from KM to Soil, we appreciate you sir.
[17:57.700 --> 18:03.700]  He put a lot of this stuff together behind the scenes. We were here late last night trying to set up all the audio and stuff.
[18:03.700 --> 18:08.700]  So he's been a huge part of this as well as Kate back there. So thank you guys.
[18:08.700 --> 18:09.700]  Thank you.
[18:09.700 --> 18:11.700]  Thank you, Brian.
[18:11.700 --> 18:14.700]  Thanks to everybody here today.
[18:14.700 --> 18:18.700]  I'm Bart Heller, aka DJ Art Beller.
[18:18.700 --> 18:23.700]  And we're going to talk living soil, which is a passion of mine.
[18:23.700 --> 18:29.700]  And I'm going to start out just a little bit telling you all how I got to this stage of life.
[18:29.700 --> 18:37.700]  But as a kid, my mom, growing up in Colorado Springs, was really into growing exotic flowers.
[18:37.700 --> 18:44.700]  I was always in a greenhouse with her when I was little and saw a lot of the stuff she did.
[18:44.700 --> 18:48.700]  But like a lot of us, she loved to use Miracle-Gro.
[18:49.700 --> 18:52.700]  She thought that was how you grew a plant.
[18:52.700 --> 19:07.700]  And a lot of us in the generations after our grandparents really got an idea that agriculture needed soluble salt synthetic fertilizer.
[19:07.700 --> 19:14.700]  And I carried that on into my early, early teens.
[19:14.700 --> 19:25.700]  And when I got into growing, I started out in an aeroponic system running some sort of alleged NASA soluble salts.
[19:25.700 --> 19:40.700]  And I could get big plants, but I had to do a lot of work finding pests, pathogens, and was kind of struggling but not knowing why.
[19:40.700 --> 19:47.700]  And a good friend turned me on to a big fat book from Australia, which was the original Permaculture Bible.
[19:47.700 --> 19:54.700]  And I started seeing those concepts, and it changed my whole way of thinking.
[19:54.700 --> 20:04.700]  It started this seed that, hmm, maybe a synthetic salt fertilizer isn't the best way to grow a plant.
[20:05.700 --> 20:09.700]  And I moved from Moab to Paonia, Colorado.
[20:09.700 --> 20:15.700]  And Paonia, Colorado is a little town on the West Slope, probably about 1,500 people.
[20:15.700 --> 20:22.700]  It is the birthplace of Terrence McKenna, and it's the birthplace of Chemdog.
[20:22.700 --> 20:32.700]  And some kids from Crested Butte, a nearby ski town in the 90s, managed to save a cut of one of their seeds from our area.
[20:32.700 --> 20:35.700]  And we all know what happened from there.
[20:35.700 --> 20:40.700]  So, you know, it's a cool place.
[20:40.700 --> 20:50.700]  And seeing these hundreds of organic farms combined with my previous knowledge, we all started as a community talking about what's possible.
[20:50.700 --> 20:59.700]  Is it possible to reproduce a rainforest environment in a pot?
[20:59.700 --> 21:01.700]  And it's a tough question.
[21:01.700 --> 21:03.700]  It's not easy to do.
[21:03.700 --> 21:11.700]  But that's the interesting thing, is when you look at the rainforest, nobody is out feeding Miracle-Gro to the rainforest,
[21:11.700 --> 21:16.700]  and yet it produces more biomass than any region of the world.
[21:16.700 --> 21:26.700]  And so you see that nature actually has all of these systems built into it to provide everything that the plant needs.
[21:27.700 --> 21:36.700]  The problem is that as human beings, we got an idea that there was a better way to do this, which actually, in my opinion, is a worse way to do it.
[21:36.700 --> 21:38.700]  How did this happen?
[21:38.700 --> 21:40.700]  Well, it's really interesting.
[21:40.700 --> 21:43.700]  A lot of it happened around World War II.
[21:43.700 --> 21:52.700]  And as we were facing a global onslaught of fascism, which we know a little bit about today,
[21:52.700 --> 21:58.700]  we started needing to make a lot of nitrates to go drop them on our enemies at the time.
[21:58.700 --> 22:06.700]  And we built up an industry based on creating thousands and thousands and thousands of tons of this stuff.
[22:06.700 --> 22:12.700]  And people noticed if you spilled it on your grass, the grass got greener and grew bigger.
[22:13.700 --> 22:25.700]  And a German chemist I learned from Dr. Faust the other day was the guy who originally got the idea that you only need N, P, and K soluble salts.
[22:25.700 --> 22:32.700]  Now, what's interesting is long before this, there was a guy, William Albrecht.
[22:32.700 --> 22:36.700]  He was a PhD soil scientist at the University of Missouri.
[22:37.700 --> 22:42.700]  And he was operating in the same time as people like Rudolf Steiner.
[22:42.700 --> 22:50.700]  And Steiner, if you know him, he's the father of biodynamics, Waldorf, all sorts of cool things.
[22:50.700 --> 22:58.700]  He was a really educated person and an enlightened person and had a lot of great ideas.
[22:59.700 --> 23:07.700]  Albrecht is a consummate scientist, and he really was doing hard research.
[23:07.700 --> 23:17.700]  And you almost never hear of Albrecht, but in my opinion, his work was as important, if not more important, than the work of someone like Steiner.
[23:17.700 --> 23:26.700]  Because Albrecht really figured out that, one, you need a full mineral profile to grow plants right.
[23:27.700 --> 23:36.700]  And if there's one thing I'm going to say, and yeah, I sell apothecary soil and all that, but this applies to growing any plant anywhere in the world,
[23:36.700 --> 23:41.700]  you need to have your minerals set right to have success.
[23:41.700 --> 23:50.700]  There's no way, if any of your minerals are out past a certain point, you're just not going to be able to get what you want.
[23:50.700 --> 23:59.700]  And if you want to unlock the true genetic potential of a plant, and especially a pinnacle feeder like cannabis, you need to get those minerals into ratio.
[23:59.700 --> 24:10.700]  And the fact that a guy in the 30s figured all of this out and perfectly blew my mind once I kind of figured out that he was out there.
[24:10.700 --> 24:17.700]  And so what happened to Albrecht is the nitrate companies came home from the war.
[24:17.700 --> 24:22.700]  They said, hey guys, we've got this new method and all you need is N, P, and K.
[24:22.700 --> 24:27.700]  Albrecht was saying, hey, no, you need calcium, magnesium, manganese, zinc, sulfate.
[24:27.700 --> 24:31.700]  That sounds really complicated when you've got this easy method.
[24:31.700 --> 24:34.700]  There's a lot of appeal to that.
[24:34.700 --> 24:44.700]  What people didn't realize at the time is that they were sacrificing something.
[24:45.700 --> 24:50.700]  And so I'll explain a little bit about what happens when you use a nitrate nitrogen.
[24:50.700 --> 24:54.700]  It's a little bit like steroids for a plant.
[24:54.700 --> 24:56.700]  Can it grow a bigger plant?
[24:56.700 --> 24:58.700]  Maybe, or at least as big of one.
[24:58.700 --> 25:02.700]  But occasionally I see some even more small plants.
[25:02.700 --> 25:07.700]  And one of the reasons it's doing that is because it's stretching the cells.
[25:07.700 --> 25:09.700]  It's making the cells bigger.
[25:09.700 --> 25:15.700]  That stretched cell is going to have a thinner and less pathogen-resistant cell wall.
[25:15.700 --> 25:18.700]  And as well, you're stripping boron.
[25:18.700 --> 25:22.700]  When you add the nitrate, you're reducing the amount of boron in the cell.
[25:22.700 --> 25:29.700]  And the reason boron is important is it's the base of all of the plant's immune functions.
[25:29.700 --> 25:37.700]  So if you strip that boron and you don't have it available, that's your kind of second weakness you've created to pests and pathogens.
[25:37.700 --> 25:46.700]  And so immediately, right away, when you use a nitrate salt, you're down two strikes against these pests and pathogens.
[25:46.700 --> 25:58.700]  And so that's why we really like to try to feed nitrogens as, at the minimum, a soluble amino.
[25:58.700 --> 26:02.700]  There are a lot of more complex amino acids out in the world.
[26:02.700 --> 26:04.700]  And that's another cool little bit of chemistry.
[26:04.700 --> 26:15.700]  I wasn't the best chemist in high school, I think, mainly because it wasn't explained to me in the way that I now think about chemistry.
[26:15.700 --> 26:25.700]  I'm less interested in balances and more interested in bonds and reactions and those reactions with microbes and plants
[26:25.700 --> 26:33.700]  and tying all of this together into a much more cohesive concept.
[26:33.700 --> 26:36.700]  And so for me, that's what changed it all.
[26:36.700 --> 26:46.700]  And so in an organic system, the plant has a lot more control.
[26:46.700 --> 26:51.700]  And this is one thing that Albrecht proved, again, and it blew my mind when I figured this out,
[26:51.700 --> 27:02.700]  is that in an organic system, the plant has full bidirectional control of water and nutrients in and out of the roots.
[27:02.700 --> 27:12.700]  And so what that means is that the plant can be drinking water and sending sugars and phosphorus and root exudates out into the soil.
[27:12.700 --> 27:14.700]  And the same thing can be happening.
[27:14.700 --> 27:19.700]  The plant can be bringing nutrients in and sending water out into the soil.
[27:19.700 --> 27:30.700]  And these relationships between these microbes and plants get extremely complicated, and they all affect each other.
[27:30.700 --> 27:35.700]  And if you had to try to do that in a synthetic system, it's just too much.
[27:35.700 --> 27:37.700]  Like, a person can't do this.
[27:37.700 --> 27:50.700]  But that's the miracle of organic living soil is that you're taking advantage of this system that our ancestors evolved with over tens, if not hundreds of thousands of years.
[27:50.700 --> 27:59.700]  And all of these little bits of it are free, helpful bots that want to do your work for you, want to keep your plants healthy.
[27:59.700 --> 28:02.700]  Your plant is adapted to this.
[28:02.700 --> 28:10.700]  A soluble salt that came along in the 60s hasn't had this time to build a whole system to work with.
[28:10.700 --> 28:12.700]  Could nature do that? Maybe.
[28:12.700 --> 28:22.700]  But it's so much better to not try to force a new system into a system that's been working for hundreds of thousands, if not millions of years.
[28:22.700 --> 28:33.700]  And so that's something that fascinates me, and that's a huge thing you lose when you go to a salt, is that if the plant wants to drink water, it has to take that food.
[28:33.700 --> 28:35.700]  It doesn't have a choice.
[28:35.700 --> 28:48.700]  And so now you, as the god of that system, you better get that salt right, and you better get all the components of it right, and you better have another chemical to spray when this happens, and another chemical to spray when that happens.
[28:48.700 --> 28:53.700]  And you just get into a game of whack-a-mole, when instead you can use nature.
[28:53.700 --> 29:02.700]  And that's really, at the end, one of the reasons why we make our products the way we do, is because I'm a consummately lazy grower or gardener.
[29:02.700 --> 29:07.700]  I don't want to have to actively maintain and control all this.
[29:07.700 --> 29:18.700]  I'm basically just there trying to be a steward of this environment and create an ecosystem as much like the rainforest as I can in my growth.
[29:18.700 --> 29:36.700]  And so this knowledge of Albrecht's, that you really lose all this control, or you have to take the control, I guess, is a better way to say it, and then you lose the ability to let the environment take care of your plants for you.
[29:36.700 --> 29:42.700]  And does that mean that growing in living soil, you're never going to get a pest, or you're never going to get a pathogen?
[29:43.700 --> 29:59.700]  No, but through integrated pest management, which is a science of trying to use all the elements of nature, there are a lot of solutions to manage your grow that don't involve chemicals or spraying or anything like that.
[30:00.700 --> 30:05.700]  And so that just really, one, fascinates me.
[30:05.700 --> 30:07.700]  It makes me happy about my health.
[30:07.700 --> 30:12.700]  It makes me happy about the environment.
[30:12.700 --> 30:20.700]  And it really just helps me out and takes a big load off of what I do.
