[00:01.340 --> 00:09.940]  Welcome, everybody, to episode 16 of the James Loud Show. Today's special guest is James
[07:06.740 --> 07:22.740]  More importantly, increasing efficiencies and just showing groups that there is a different way of doing things than the old-school way and bringing agriculture sciences into the cultivation area.
[07:23.740 --> 07:39.740]  It's multifaceted. I do business development. I do plant science. In the end, it's all just trying to support the success of the cannabis business industry. That's a rundown where I've been at.
[07:40.740 --> 07:44.740]  Awesome. Fantastic. You're in Chicago right now. How warm is it over there?
[07:45.740 --> 07:48.740]  20. It's 20 degrees. It's snowing.
[07:49.740 --> 07:57.740]  It's 70 here. You were living in California for quite some time. Nice and warm here.
[07:58.740 --> 08:13.740]  I'm missing it, to say the least. The kids are out sledding for the first time of the year. That's nice. We've been able to get them exposed to the winter lifestyle that they've been missing in Hawaii and California.
[08:14.740 --> 08:17.740]  Hopefully, it won't freeze in place.
[08:18.740 --> 08:24.740]  You got to know about the six and eight-year-olds. They don't feel pain and they don't sense temperature.
[08:27.740 --> 08:40.740]  Nice. You want to talk about some IPM techniques that you use and that you recommend for... I guess we can go from the home-grow to talk about scaling, but basic practices, procedures, things that you recommend.
[08:41.740 --> 08:55.740]  In the end, when you look at it from 30,000 feet, it's all the same. The small-scale cultivation, large-scale cultivation, you might be using different materials. You might be using them in different quantities. You might have different budgets.
[08:55.740 --> 09:04.740]  In the end, to me, it's all about the right methodologies and redundancy in those methodologies.
[09:05.740 --> 09:20.740]  My biggest thing for integrated pest management suggestions and consultations is recommending that you focus on redundancy in your modes of action and in the things that you're targeting.
[09:20.740 --> 09:40.740]  For instance, if I am targeting powdery mildew, it would be a normal method to come at it with one, maybe even two methods to try to eradicate or eliminate or suppress or prevent powdery mildew from happening.
[09:40.740 --> 10:07.740]  If I was to look at powdery mildew and say that I want to attack it from a chemical, biological, and maybe even a physical level, or maybe I'm doing it from two biological modes of action that target the same problem, but yet use different biological methods,
[10:10.740 --> 10:16.740]  biological activities, and enzymes, and modes of action to eliminate the one problem.
[10:17.740 --> 10:20.740]  A lot of folks will ask me, how do I get rid of powdery mildew?
[10:20.740 --> 10:40.740]  For powdery mildew, the first thing I'm going to recommend is eradicating what you currently have if it is a problem, making sure that anything that we're talking about isn't systemic, and then focusing on how can we put multiple modes of action onto this powdery mildew.
[10:40.740 --> 10:52.740]  For instance, I might put out some sort of streptomycete as a treatment. In addition to that, every two weeks I might hit it with potassium salts.
[10:53.740 --> 11:05.740]  Then maybe I'm adjusting my humidity levels and I'm improving my climate. Those are multiple things you could do to attack that one problem.
[11:06.740 --> 11:29.740]  If I have spider mites, predatory mites, in addition to endopathogenic fungi, which would physically attack the eggs and the mites, and then in addition to that, maybe a CO2 treatment in the room where I'm bringing the room up to 3,000 ppm for 12 hours, which doesn't kill the plant, it has a really good effect on mites.
[11:29.740 --> 11:58.740]  Doing something like that, whether you're in a tent or you're in Copper State down in Arizona with 35 acres under glass, it's really the same thing on my recommendations to make sure that you're attacking all of your integrated pest management problems with multiple swords for multiple directions and making sure that you're utilizing preventative measures in addition to eradicative measures.
[12:00.740 --> 12:12.740]  Redundancy to me is the biggest factor when it comes to succeeding in integrated pest management. With that is the understanding of your thresholds.
[12:13.740 --> 12:31.740]  If you walk into your grow and you see signs of russet mites, at that point, you really have to make the effort, whether you're in 35 acres of glass or in a tent, you have to put in the effort to find out if it is russet mites.
[12:32.740 --> 12:51.740]  Also, what population density is there in that grow space? At what point are you supposed to act in an eradicative way to eliminate those russet mites?
[12:52.740 --> 13:12.740]  Is seeing one russet mite your threshold to move into eradicative measures? Or seeing one russet mite after two hours of inspection, maybe we just stick with preventative measures until we see more and more and more of them.
[13:13.740 --> 13:37.740]  Really understanding at what point do you enter eradication versus prevention and understanding not only that, but where from a chemical or biological or physical perspective are you going to max out on your available tools?
[13:38.740 --> 13:58.740]  For instance, if I have a mite problem, spider mite problem, it just doesn't go away. Am I going to come in with something harsh that is not going to allow me to pass testing if I'm in a legal market or something that might endanger the individual who's going to be enjoying the product?
[13:59.740 --> 14:19.740]  Am I going to go to that level? Or have I reached a level on my pesticides list? So for instance, I have a threshold for pesticides where I do not apply anything harsher than potassium salts.
[14:20.740 --> 14:38.740]  An example of potassium salts would be MP products, also potassium salts, nucum, those types of things are things that I wouldn't go any further on the chemical level to try to treat those.
[14:39.740 --> 15:01.740]  I would have exhausted my chemical eradication measures by getting to potassium salts. So I have several levels of thresholds where if the mites are this bad, I use this material. If the mites are this bad, I use this material. And if the mites are this bad, I use this one.
[15:01.740 --> 15:16.740]  And if it gets any worse than that, likely it's a teardown scenario, full sanitation and eradication through fallow, which means letting your grow go without plants for a period of time.
[15:17.740 --> 15:28.740]  So there's redundancy and then understanding your thresholds, both on pest populations and then your thresholds on the materials that you're going to use for integrated pest management.
[15:28.740 --> 15:48.740]  I recommend that most people that are using cannabis or growing cannabis to look at California state regulations, as maybe even Hawaii state regulations, as far as the materials that can be used and stick to those because those generally are fairly safe.
[15:49.740 --> 15:55.740]  And not too many of those are above the potassium salt line when you talk about chemical thresholds.
[15:55.740 --> 16:11.740]  So that's just a little bit of introduction as to how I attack it, whether we're in a large scale grow or a small scale grow, it's redundancy and then understanding your thresholds of population density and chemical treatments.
[16:12.740 --> 16:13.740]  Nice.
[16:13.740 --> 16:22.740]  Just quickly, James, we're going to try to troubleshoot the audio crackling again. I feel like you're peaking. So are you on a Mac?
[16:23.740 --> 16:24.740]  I am.
[16:24.740 --> 16:37.740]  So in the top left, I feel like I'm talking to my dad right now, but on the top left, your your Apple icon. Go to system preferences. And then do you see sound?
[16:38.740 --> 16:41.650]  Yes.
[16:41.650 --> 16:49.650]  The sound icon. Click on that. And then in the top nav of the sound dashboard, click on input.
[16:51.650 --> 16:52.650]  OK.
[16:52.650 --> 17:01.650]  And do you see your input volume? You have a slider. Can you bring it down a little bit? Bring it down. Like what's it at right now? 100 percent?
[17:03.650 --> 17:04.650]  No, I think.
[17:04.650 --> 17:05.650]  Perfect. Yeah, perfect.
[17:05.650 --> 17:06.650]  Yeah, you just muted.
[17:08.650 --> 17:09.650]  Did you?
[17:09.650 --> 17:10.650]  It's at the bottom.
[17:11.650 --> 17:13.650]  How's that? Better? Can you still hear me?
[17:14.650 --> 17:15.650]  Yeah, no more cracking.
[17:16.650 --> 17:17.650]  Good. Thanks, Dad.
[17:18.650 --> 17:19.650]  Should I sing?
[17:20.650 --> 17:21.650]  You got it?
[17:21.650 --> 17:25.650]  There's a little cracking. So the other thing is, can you unplug your headphones?
[17:26.650 --> 17:27.650]  Yeah.
[17:31.080 --> 17:33.080]  All right. You talk? Yeah.
[17:33.080 --> 17:34.080]  Talking.
[17:36.080 --> 17:37.080]  Better?
[17:37.080 --> 17:39.080]  Keep going. Yeah, I think so.
[17:40.080 --> 17:45.080]  OK. OK. Yeah, I'm using old school headphones. Usually I have my earphones on.
[17:46.080 --> 17:57.080]  I think we still have the crackling, but let's keep going. We'll do another round of troubleshooting if it's still going. All right. Go for it. Other James.
[17:58.080 --> 18:05.080]  So we had a recipe, the Newcombe recipe that we were kind of working on. How's that going?
[18:06.080 --> 18:09.080]  I put it I put it to a group of people to.
[18:11.080 --> 18:15.080]  To to try to put together, I just didn't have the time to do it.
[18:16.080 --> 18:28.080]  But I have people that have put it together and said that it worked, but it didn't really save a much money because the acquiring of the large batches of materials that go into it.
[18:29.080 --> 18:31.080]  It really wasn't it wasn't the savings.
[18:31.080 --> 18:34.080]  Yeah. Newcombe's an amazing product. It's expensive, but it's amazing.
[18:35.080 --> 18:46.080]  Yeah, it really is. The yeast, the citric acid with the potassium salts. I mean, that combination is is is highly effective against mites and any other things.
[18:47.080 --> 18:50.080]  Yeah. You just got to watch out spring micronized sulfur and back to back with it.
[18:51.080 --> 18:57.080]  Yep. Yeah. I don't even use that again. That's as far as my thresholds. I don't I don't utilize it.
[18:58.080 --> 19:01.080]  Because it's just not allowed in most of the markets that you're in.
[19:02.080 --> 19:11.080]  Yeah. Excellent. So let's talk a little bit more about IPM and we could talk about.
[19:12.080 --> 19:24.080]  Yeah, I think we have a lot of breeders on the show that are curious as to what can I spray if I have issues when I'm intermingling my plants and I have pollen that I'm concerned about.
[19:24.080 --> 19:30.080]  We got pollen flying, but I don't want to use any. What would you recommend besides prevention?
[19:31.080 --> 19:34.080]  Because I feel like prevention is the best thing. So you never get to that point.
[19:35.080 --> 19:44.080]  You recommend taking your males out of the room and then if you can take take your males out or what would your best suggestions be for issues like that?
[19:45.080 --> 19:52.080]  Yeah, definitely separating and segregating as much as you can and then having different treatments for for the different plants.
[19:52.080 --> 20:18.080]  For me, I like I like to make sure that people understand that that when you talk about treatments, physical treatment, when you talk about a barrier between a risk area and a low risk area is more effective, 10 times more effective than prevention or chemical treatments in any way.
[20:19.080 --> 20:42.080]  And so if there is a way to physically segregate out your population, no matter whether you're doing breeding or just general cultivation, separating and segregating as much as you possibly can through some sort of barrier is much higher recommended than any chemical or biological tool.
[20:43.080 --> 20:58.080]  Things like air curtains in large scale grows. Things like PPE, the use of PPE and actual sanitation protocols, physical barriers, those types of things are so much more effective.
[20:59.080 --> 21:15.080]  And then the next recommendation down would be biological methods, which are going to use either isolates or communities of microorganisms or macro organisms to combat your integrated pest management tools.
[21:16.080 --> 21:30.080]  And then after that, it's chemical treatment. So my recommendation is that no matter what you're producing, if there is a way to physically separate, like you're saying, physically separating out and then treating individually, I would recommend that.
[21:31.080 --> 21:40.080]  Nice. So definitely setting your grow up correctly from the beginning is probably the most important thing right there.
[21:40.080 --> 21:57.080]  Yeah. Don't skimp on your facility, whether it's a tent or a greenhouse or indoor facility. Never skimp on the climate, the stuff that will prevent pest management solutions or prevent pathogens and insects.
[21:57.080 --> 22:10.080]  The initial capital that it takes to build a grow properly to the point where you're not going to have issues, or at least you're going to be able to mitigate those issues to the maximum of your ability is so important.
[22:11.080 --> 22:21.080]  And that's where I see a lot of the cultivators fail is they winged it in the beginning so that they could pull revenue so that they can use that revenue to improve their grow.
[22:22.080 --> 22:27.080]  It doesn't work that way when it comes to pest prevention and integrated pest management. Definitely.
[22:28.080 --> 22:31.080]  Yeah. It's so much easier building it from the ground up than retrofitting too.
[22:32.080 --> 22:43.080]  Always. And we'll talk about that later on the business development side. But at the same time, it's a lot cheaper to do that retrofit. There's a way to do both.
[22:43.080 --> 22:59.080]  But when it comes down to having the right tools in place and having the right equipment in place and having the right climate in place, there's no way to skimp on that and be as successful as if you bucked up in the beginning.
[23:00.080 --> 23:01.080]  Right.
[23:02.080 --> 23:03.080]  You asked about some of the...
[23:04.080 --> 23:05.080]  Do you want to say something?
[23:06.080 --> 23:07.080]  Yeah, go ahead.
[23:08.080 --> 23:09.080]  A little bit about seeds of redundancy?
[23:10.080 --> 23:11.080]  I'm sorry, what?
[23:11.080 --> 23:12.080]  Oh, methods of redundancies.
[23:13.080 --> 23:29.080]  Yeah. Some of the methods that I recommend on redundancy, like for instance, I mentioned a lot of issues that people have are mites or root aphids. That's a very common thing that I encounter in the industry.
[23:30.080 --> 23:45.080]  If you're going to attack, for instance, root aphids and redundancy, using some sort of biological inoculant could have a great effect on those insects.
[23:46.080 --> 23:54.080]  And the ones I recommend are endopathogenic fungi. And so those are going to be the Iceria fumicera fumarosa.
[23:55.080 --> 24:01.080]  There's the Bavaria bassiana, which is commonly used in cannabis production.
[24:01.080 --> 24:30.080]  And how that works is the microorganism actually inoculates the outside of the insect and eventually works its way, pushing hyphae into the squishy insides of the insect through the spherical holes on the side and through the holes and through the eyes and eventually gets into the pest and kills it.
[24:31.080 --> 24:45.080]  Not only does it kill it, but it actually uses that as a nutrient source to sporulate and set out more propagules into the environment so that it can affect that aphid's buddies.
[24:46.080 --> 24:53.080]  And so endopathogenic fungi is highly recommended as something that I use as prevention and eradication.
[24:55.080 --> 25:12.080]  When you weaken the populations with an endopathogenic fungi and then you come in with a chemical treatment, maybe a couple days or a week afterwards, it takes about seven days for endopathogenic fungi to even settle and to become effective when you put them into their environment.
[25:13.080 --> 25:24.080]  And then about seven, maybe even two weeks afterwards, coming in with a chemical treatment, the ones I recommend are going to be full spectrum extracts of neem.
[25:24.080 --> 25:34.080]  I didn't say neem oil. I did not say neem oil. Neem oil is garbage. It is sludge. It's like smoking sludge concentrate.
[25:34.080 --> 25:46.080]  No, there's a product out there that have the full spectrum extract of neem. For instance, there's a product called debug turbo.
[25:46.080 --> 25:52.080]  Debug turbo is a product that is made very similarly to cannabis sauces.
[25:53.080 --> 26:01.080]  It extracts with high terpene sauces. And what they do is they use hydrocarbon extraction on neem seed oil.
[26:01.080 --> 26:08.080]  And they take everything out of the neem seed oil that's good and all the lipids and waxes and everything else is taken out of it.
[26:08.080 --> 26:16.080]  The azidectrin that's in it, that's naturally in it, becomes a more concentrated level.
[26:17.080 --> 26:26.080]  And the reason why neem sucks is it clogs up stomata. It causes caking.
[26:26.080 --> 26:31.080]  And then eventually microorganisms come in and eat those lipids and waxes and causes films.
[26:31.080 --> 26:38.080]  So with a product like debug turbo, like I said, they put through full extraction.
[26:38.080 --> 26:48.080]  They take only the good things out. And then that is applied to the root zone in high concentrations, regular applications, two to three times a week.
[26:48.080 --> 26:59.080]  And you can have a pretty high effect using redundancy in the endomal pathogenic fungi and then the extract of neem.
[26:59.080 --> 27:04.080]  See, the beauty of the extract of neem is it just doesn't have the azidectrin in it.
[27:04.080 --> 27:10.080]  It actually has the triterpenes that are what make neem good.
[27:10.080 --> 27:14.080]  That's a part of neem, the azidectrin and then the triterpenes.
[27:14.080 --> 27:17.080]  Those are the parts that are actually worth a damn.
[27:17.080 --> 27:23.080]  And those burn the eyes and the ectoskeleton of the insects.
[27:23.080 --> 27:33.080]  They actually leave the area. They try to leave the root zone of the plant when you put these triterpenes in versus kind of waiting it out or maybe having a reactive,
[27:33.080 --> 27:41.080]  reproductive period where you spray the chemical or whatever on it and then the aphid just shoots out more female babies.
[27:41.080 --> 27:45.080]  And those are not as affected by the chemical that you had come down with.
[27:45.080 --> 27:52.080]  If the if the if the aphids are leaving the environment to get the hell out of there because it's a toxic place to be, that's what you're looking for.
[27:52.080 --> 27:58.080]  And then you do sanitation protocols and regular cleanings to make sure that your aphids are cleaned up.
[27:58.080 --> 28:11.080]  So using that in addition to, if you can afford it, predatory nematodes for root aphids, highly effective.
[28:11.080 --> 28:19.080]  And you can put those out with the triterpene and azidectrin and the and the endomopathogenic fungi and they do not interact.
[28:19.080 --> 28:28.080]  They do not cancel each other out. And there's no issues with that. Multiple modes of action attacking one creature from different angles, using different weapons.
[28:28.080 --> 28:32.080]  For root aphids. For root aphids. But yeah, for root aphids.
[28:32.080 --> 28:40.080]  That's just an example of that redundancy, the chemical, biological and even physical, which is the sanitation protocols afterwards.
[28:41.080 --> 28:49.080]  If I spray out the material and then they all leave the pot and then they all walk back in after you've done the watering, what's the point?
[28:49.080 --> 29:00.080]  So if you're if you're actually staying on it and you're doing the root treatment and then as they're exiting, you're actually doing sanitation protocols and cleaning your trays and physically removing them from the environment.
[29:00.080 --> 29:07.080]  Again, three times a week for up to 10 weeks, depending on your population density. And that that is effective.
[29:08.080 --> 29:12.080]  The problem with that is people don't budget for that.
[29:12.080 --> 29:21.080]  Right. They don't write that into their production plan. They go, holy shit, I have root aphids.
[29:21.080 --> 29:26.080]  Well, I got to go. I got to do so. And then they go to the store and they're dropping this. They bring it all together.
[29:26.080 --> 29:33.080]  They don't get the right tools because this one doesn't have what they need. And so I'm just going to get azidectrin. I'm going to get azomax instead of this.
[29:34.080 --> 29:38.080]  Yeah, probably. James recommended and then it's not working and I don't understand why.
[29:38.080 --> 29:42.080]  The cranberry juice. I don't understand how the cranberry extract didn't work for the root aphids.
[29:44.080 --> 29:49.080]  You know, but there's lots of there actually is clients that believe stuff like that.
[29:49.080 --> 29:54.080]  You know, there's people out there that are like, oh, well, what's the most ineffective treatment that I can afford?
[29:55.080 --> 30:02.080]  Yeah. Yeah. And again, they don't. I always recommend to all of my clients to build a medicine cabinet.
[30:03.080 --> 30:18.080]  And a medicine cabinet to me is having the tools, the chemicals and materials, the tools that you need to eradicate any potential pest that you're going to have over the course of the next quarter, six months, a year.
[30:19.080 --> 30:27.080]  And knowing that you might have when if you're growing outdoors or in greenhouses, you might have periods of the year where you have more pressures than than not.
[30:28.080 --> 30:37.080]  But build a medicine cabinet so that you have a solution, at least one, if not two, if not three redundant solutions for each one of the problems.
[30:37.080 --> 30:49.080]  And it's in your medicine cabinet, in your grow, ready to be used and not having some sort of reactive solution to it, but more of a immediate control.
[30:50.080 --> 31:01.080]  So if you know that you're an indoor grower and you're in California, you might want to have aphid eradication tools ready to go in your medicine cabinet, ready to go.
[31:01.080 --> 31:08.080]  You might want to have Russet mites as a targeted potential threat for you.
[31:09.080 --> 31:13.080]  And then you have those materials on hand ready to address that issue if you don't have it.
[31:14.080 --> 31:22.080]  This stuff doesn't go bad for a year or two. I mean, the chances of you stocking up and not utilizing what's in your medicine cabinet, it never happens.
[31:23.080 --> 31:29.080]  You end up going through your medicine cabinet and re-upping it every year because everybody has the same pressures.
[31:29.080 --> 31:44.080]  So if you can identify what your biggest pathogens and pests will be, create a medicine cabinet that supports those pressures and pests and have it written down somewhere.
[31:45.080 --> 31:54.080]  How do you address those things so I don't have to look at the back of the bottle and then wonder, oh, do I use 50% of the recommended amount for it to work?
[31:55.080 --> 31:57.080]  Do I use 100%? Do I use 200%?
[31:57.080 --> 32:09.080]  You already know this stuff by putting it into a journal and having a plan for how to attack it, especially if you're in a large scale grow and you have employees doing this for you.
[32:10.080 --> 32:12.080]  Operating procedures are so important.
[32:13.080 --> 32:19.080]  If you don't have the operating procedure written down for how to address root aphids before you grow cannabis, you're already behind the ball.
[32:20.080 --> 32:29.080]  And so budget for it. Know how much those materials cost. Put them in your medicine cabinets so that you know exactly how much you paid for it. Put it in there.
[32:30.080 --> 32:36.080]  And then if you don't use it, that's even better. Say I bought $400 worth of material that I don't use.
[32:36.080 --> 32:43.080]  If I don't use that, that's nowhere near the amount of money I would have lost if a problem arose.
[32:44.080 --> 32:48.080]  If root aphids come in, I'm going to lose a lot more than $400.
[32:49.080 --> 32:50.080]  Sure.
[32:51.080 --> 32:58.080]  My recommendation is always have a medicine cabinet and a budget set aside for those materials.
[32:59.080 --> 33:09.080]  Have SOPs in place and make sure everybody understands why you use these materials and in what quantities and what schedule and regularity.
[33:10.080 --> 33:15.080]  One of the biggest things I deal with when I talk to people at large scale grows is I go out to the growers.
[33:16.080 --> 33:18.080]  The ones that are actually doing the applications for integrated pest management solutions.
[33:19.080 --> 33:22.080]  I ask them, what are you spraying in there? I don't know.
[33:23.080 --> 33:28.080]  Or they know what it is. Why are you spraying it? What does it do?
[33:29.080 --> 33:33.080]  And they go, I don't know. I'm just spraying this thing on because the thing says to do it.
[33:34.080 --> 33:42.080]  The most important part is making sure that everybody on your team understands why these materials work, how they work, and what regularity do they work.
[33:42.080 --> 33:48.080]  If I don't apply endomalopathogenic fungi every week, then there's no point in doing it.
[33:49.080 --> 33:55.080]  Don't waste your money. You might as well burn your cash if you're putting it out once a month as an eradication tool.
[33:56.080 --> 33:57.080]  At least you'll be warm. I hate that.
[33:58.080 --> 33:59.080]  That's right.
[34:00.080 --> 34:07.080]  Again, using PPE and sanitation protocols is the other recommendation.
[34:08.080 --> 34:28.080]  Even if you're in a tent, if you're in a large scale grow, keeping your grow clean and your employees clean is probably the second best way to prevent integrated pest management solutions.
[34:29.080 --> 34:30.080]  Super cost effective.
[34:30.080 --> 34:37.080]  Yes. Putting on clothes to go into my tent that don't go out everywhere else, it costs me a couple cents in the laundry.
[34:38.080 --> 34:45.080]  If I'm covering up in Tyvek suits to go into my large scale grow, those Tyvek suits, when you buy them in bulk, they're about five bucks a piece.
[34:46.080 --> 34:52.080]  It's worth it to invest in those barriers and those PPE and sanitation protocols.
[34:53.080 --> 34:59.080]  I think that's where a lot of companies and people are failing.
[35:00.080 --> 35:05.080]  It's not washing your hands, using gloves, cleaning their tools after every cut.
[35:06.080 --> 35:11.080]  Those types of things are the things that prevent problems.
[35:12.080 --> 35:14.080]  It's not some spray, not some chemical that you're going to hit with it.
[35:15.080 --> 35:19.080]  Employees going home in their grow rooms and bringing stuff back into the facility.
[35:19.080 --> 35:22.080]  I think that happens all the time, everywhere.
[35:23.080 --> 35:29.080]  All of our companies that we start up, it's a policy we sign an employee that you're not actually cultivating.
[35:30.080 --> 35:33.080]  Everybody signs those papers and then goes home to their grow.
[35:34.080 --> 35:40.080]  That's right. I can't follow them home, but at least I can protect my ass when the lawyers are asking, did you do what we did?
[35:41.080 --> 35:42.080]  Yes, I did.
[35:43.080 --> 35:46.080]  At the end of the day, you can't solve everything. You just have to try your best.
[35:46.080 --> 35:51.080]  What are some of the really common problems you see in grows that have easy fixes?
[35:52.080 --> 35:59.080]  Sanitation. Cleaning with the right materials. Sanitate. Zero-toll.
[36:00.080 --> 36:10.080]  Please, everybody, use a product like that or those two products in your grow and you will change the whole climate in there.
[36:11.080 --> 36:13.080]  Let's talk about those two products really quickly.
[36:13.080 --> 36:16.080]  Sanitate and zero-toll are almost identical. They're just in different concentrations.
[36:17.080 --> 36:30.080]  Correct. I like to use zero-toll for surfaces, tools, equipment, floors, walls, foggers, those types of things.
[36:31.080 --> 36:33.080]  For putting on surfaces to clean it.
[36:33.080 --> 36:42.080]  Sanitate, I actually will utilize in lines, in irrigation lines, and actually will utilize on the plant itself in the root if necessary.
[36:43.080 --> 36:53.080]  If I need to come in and clean and eradicate anything, say I have a bacterial infection that's going on in the root zone, I'll come in and treat it.
[36:54.080 --> 36:59.080]  Create a clean slate scenario that's going to be a lot easier for me to do.
[36:59.080 --> 37:06.080]  I can come in and treat it and create a clean slate scenario that I can re-inoculate with some sort of beneficial microorganism.
[37:07.080 --> 37:22.080]  I think that the reason why those two tools are effective is that zero-toll and sanitate, they have peroxic acid in addition to hydrogen peroxide.
[37:22.080 --> 37:33.080]  Peroxic acid is, if anybody's ever worked in an analytical laboratory, the way that you clean your materials is you wash them and then you do an acid bath.
[37:34.080 --> 37:40.080]  The acid bath breaks up all the minerals and mineralates that are stuck to the surface that soap doesn't clean off.
[37:41.080 --> 37:43.080]  Those mineralates are what microorganisms consume.
[37:44.080 --> 37:51.080]  If I just use soap or I use even bleach, which doesn't get off the mineralates, it kills the microorganisms, but it doesn't get the mineralates off.
[37:52.080 --> 37:57.080]  Then an algae comes along, hey, there's a bunch of minerals here for me to digest and utilize.
[37:58.080 --> 38:05.080]  Now you have an inoculated surface because your surface is covered in food for the microorganisms.
[38:06.080 --> 38:12.080]  If I use an acid or a peroxic acid solution, it's going to wipe out all those mineralates and you actually have a clean surface.
[38:14.080 --> 38:17.080]  That's really the difference in why those are awesome.
