[00:00.000 --> 00:08.060]  And let me.
[12:58.060 --> 13:13.060]  Have you ever seen anything like this where a daily penalty, like, can you find other industries or markets or where someone's fined $10,000 a day for anything?
[13:14.060 --> 13:19.060]  The state has now adopted similar penalties.
[13:22.060 --> 13:23.060]  There's really...
[13:25.060 --> 13:27.060]  Well, this amounts to forfeiture.
[13:28.060 --> 13:35.060]  And things have not been this bad since before Prop 215.
[13:37.060 --> 13:42.060]  This is the most serious enforcement, the most serious penalties.
[13:43.060 --> 13:55.060]  And the thing is that these, since they're going after you civilly, you don't have the same rights you have if they went after you criminally.
[13:56.060 --> 14:10.060]  So, it's much easier to impose these fines than it would be to impose, to go through a criminal process with the same evidence and get a conviction.
[14:12.060 --> 14:16.360]  This is Tom. I have a question.
[14:16.360 --> 14:32.360]  After reading the articles, it seems like the justification for the original action was to go after large, egregious operators and to leave the mom and pops alone, but that the exact opposite has happened.
[14:33.360 --> 14:34.360]  So, what's going on?
[14:35.360 --> 14:36.360]  I wish I knew.
[14:37.360 --> 14:41.360]  But John Ford consistently misleads the public.
[14:41.360 --> 14:47.360]  It wouldn't be popular for him to do this program if people really knew what was going on.
[14:48.360 --> 14:56.360]  So, consistently throughout press interviews and such, he'll say things like, oh, we've only made a couple mistakes.
[14:57.360 --> 15:02.360]  And then he'll come back and say, oh, we've had 13 mistakes, but we actually don't keep track, but we only had 13.
[15:03.360 --> 15:04.360]  And things like that.
[15:04.360 --> 15:09.360]  So, it's either he's not keeping track, which I think is a good thing.
[15:09.360 --> 15:15.360]  Or he's not keeping track, which I kind of know isn't true because I interview these people and I know their stories.
[15:15.360 --> 15:20.360]  I know they've reached out to John Ford the best that they can to explain to him that he's been wrong.
[15:20.360 --> 15:22.360]  His department's making a lot of mistakes.
[15:23.360 --> 15:25.360]  So, I think they're just in a state of denial.
[15:26.360 --> 15:30.360]  Should I invite him on to talk to us right now?
[15:31.360 --> 15:34.360]  You guys carry on. I'll email him right now.
[15:34.360 --> 15:36.360]  Are you serious? I would love that.
[15:36.360 --> 15:39.360]  I've been waiting to interview John Ford for so long.
[15:40.360 --> 15:43.360]  I've asked him so many times for an interview.
[15:43.360 --> 15:55.360]  And, you know, when reporters hold people, public officials accountable, they typically don't do interviews with them because, you know, they'll ask the tough questions, right?
[15:56.360 --> 16:04.360]  The program probably originally was designed to go after big growth.
[16:04.360 --> 16:11.360]  Ford said soon after the program began, all the big growth turned out to be licensed.
[16:11.360 --> 16:12.360]  Yeah.
[16:13.360 --> 16:20.360]  So, they had, what do you call it, gold slippage.
[16:20.360 --> 16:33.360]  Since all the big guys were licensed and they had this $200,000 or $300,000 satellite program, you know, they were all geared up to get somebody.
[16:33.360 --> 16:36.360]  So, they started getting the small people.
[16:36.360 --> 16:39.360]  Nicole, what's the smallest one you know of?
[16:40.360 --> 16:42.360]  160 square feet.
[16:42.360 --> 16:43.360]  Wow.
[16:43.360 --> 16:44.360]  There you go.
[16:44.360 --> 16:51.360]  Yeah. And really, you have to also consider the fact that the county satellite is inaccurate, too.
[16:51.360 --> 16:54.360]  So, that would have been 100 square feet, really.
[16:54.360 --> 17:01.360]  They can be inaccurate, I was told by an expert, three feet on either side.
[17:02.360 --> 17:11.360]  So, if you were talking 160 acres, or sorry, 160 square foot space, I mean, you can be inaccurate on that.
[17:11.360 --> 17:19.360]  The largest one was 95,000 square feet, I should say, but the next largest one was in like the 40,000 square feet, which is about an acre.
[17:19.360 --> 17:26.360]  And there are several licensed farms who are that size and larger, as I mentioned.
[17:26.360 --> 17:29.360]  So, I just sent John Ford an email.
[17:29.360 --> 17:32.360]  We'll see if he responds and jumps on.
[17:32.360 --> 17:44.360]  But, Robert, this is a critical point because you had mentioned to me that the satellite imagery that the county is relying on is completely inaccurate.
[17:45.360 --> 17:48.360]  And it's almost like you're guilty.
[17:48.360 --> 17:52.360]  They're like, you're too close to your neighbor's property.
[17:52.360 --> 17:53.360]  And you're like, no, I'm not.
[17:53.360 --> 17:59.360]  But the burden of proof is on you to correct their factual inaccuracy, right?
[17:59.360 --> 18:01.360]  Correct. Yeah, Nicole just made reference to that.
[18:01.360 --> 18:05.360]  The Humboldt County uses what's called GIS.
[18:05.360 --> 18:07.360]  And GIS is inaccurate.
[18:07.360 --> 18:15.360]  It's basically a guy in the Humboldt County Planning Division office, and he's putting squares and boxes around all the parcels that exist in our county.
[18:15.360 --> 18:25.360]  But he's not out there shooting lines using a transit on the ground and making accurate lines as if, you know, like he was an engineer.
[18:25.360 --> 18:30.360]  And so the county absolutely is using inaccurate imagery.
[18:31.360 --> 18:38.360]  One of the people I interviewed, actually, we know the dimensions of her garden space because she ended up getting a permit.
[18:38.360 --> 18:42.360]  That was part two, I believe, in the series.
[18:42.360 --> 18:49.360]  So she she basically had a 5,000 square foot space that they said was 10,000 square feet.
[18:49.360 --> 18:51.360]  It can be that inaccurate.
[18:51.360 --> 18:56.360]  So all of these numbers I'm giving you, imagine it's worse.
[18:56.360 --> 18:59.360]  So that's one example.
[18:59.360 --> 19:07.360]  Ed, the county, they've done such an incredible job with this abatement program locally that they actually received an award for it.
[19:07.360 --> 19:16.360]  I wanted you to talk about the award that the county was awarded for doing such a great job with the abatement program here in Humboldt.
[19:17.360 --> 19:28.360]  That award, I believe, was from the Association of County Governments, which is, well, is just what it sounds like.
[19:29.360 --> 19:44.360]  Estelle Fennell, the supervisor for District 2, where most of these abatements took place, is on the governing committee of that group.
[19:45.360 --> 19:52.360]  Estelle Fennell and John Ford, I believe, put together this program of abatement.
[19:52.360 --> 20:00.360]  And so, in effect, she's awarding herself for this program.
[20:00.360 --> 20:08.360]  It was effective in that it raised millions of dollars for the county in penalties.
[20:09.360 --> 20:18.360]  But in terms of justice, it's a complete washout.
[20:18.360 --> 20:27.360]  We're in court now challenging four of their conclusions.
[20:27.360 --> 20:30.360]  I should mention something, too.
[20:30.360 --> 20:33.360]  I protested that award.
[20:34.360 --> 20:40.360]  I sent them all a letter saying, you must be out of your minds to make this award.
[20:40.360 --> 20:43.360]  Nothing slows them down, of course.
[20:43.360 --> 20:46.360]  It was just one more piece of paper in the trash.
[20:46.360 --> 20:52.360]  But where was I going?
[20:52.360 --> 20:55.360]  You protested the award. You wrote a letter.
[20:55.360 --> 20:58.360]  And John Ford's feelings got hurt.
[20:59.360 --> 21:06.360]  This program is, in theory, an environmental program.
[21:06.360 --> 21:18.360]  It's the Humboldt Environmental something program, based on the theory that if they can't regulate it, it must be bad for the environment.
[21:18.360 --> 21:24.360]  Really, that's the premise.
[21:25.360 --> 21:35.360]  Can you talk a little bit about the arguments you're making in court and whether you think they'll prevail, specifically, what your arguments are?
[21:35.360 --> 21:38.360]  Yes, but I think we need to start at the beginning.
[21:38.360 --> 21:44.360]  You get an abatement notice, you've got 10 days to clear everything up.
[21:44.360 --> 21:47.360]  And if you do, there are no fines.
[21:48.360 --> 21:57.360]  If you run over the 10 days, unless they give you permission to run over, the fines start kicking in.
[21:57.360 --> 22:04.360]  10 per violation per day, they add up quite fast.
[22:04.360 --> 22:06.360]  You can appeal.
[22:07.360 --> 22:20.360]  But if you appeal, they are prohibited by the Humboldt County Code from giving you an appeal hearing for 15 days.
[22:20.360 --> 22:29.360]  So, in other words, if you appeal, you risk 15 days of these enormous fines.
[22:29.360 --> 22:49.360]  And then, when you get your hearing, the hearing officer, the civil equivalent of a judge, is there by contract with John Ford, the head of the planning department that is prosecuting him.
[22:49.360 --> 22:56.360]  So, the prosecutor is paying the judge.
[22:56.360 --> 23:06.360]  Right? By the hour, $240 an hour to run this so-called appeal hearing.
[23:06.360 --> 23:11.360]  So, needless to say, no one ever wins these hearings.
[23:11.360 --> 23:22.360]  Now, I've objected on grounds from the start to the finish.
[23:23.360 --> 23:29.360]  I've objected to the procedure. I've objected to them hiring the judge.
[23:30.360 --> 23:41.360]  I object to them classifying marijuana as a serious violation with these $10,000 penalties.
[23:41.360 --> 23:53.360]  I told them that the program is unconstitutional because marijuana is not a threat to the environment or to public safety.
[23:53.360 --> 24:00.360]  I mean, it goes on and on.
[24:00.360 --> 24:24.360]  I should say that the reason we're now in real court challenging these things is because I don't think this evidence will meet the standards that are legally required to take somebody's money or take their land.
[24:25.360 --> 24:31.360]  Are you asking for the program to be completely struck or do you want them to moderate how they apply it?
[24:32.360 --> 24:34.360]  These are individual cases.
[24:35.360 --> 25:01.360]  And so, I'm going in in each individual case and asking them to rule that the findings of the hearing officer, which is to say the verdict, were not legally adequate, not held up by evidence and is void, and that the penalties are void.
[25:02.360 --> 25:17.360]  If I win any one of these cases, it will destroy the program because the same reasoning I'm using, obviously anybody else could use if they wanted to go into court with it.
[25:20.630 --> 25:22.630]  Does that mean they're fighting it tooth and nail?
[25:23.630 --> 25:24.630]  Yes.
[25:24.630 --> 25:25.630]  Yeah.
[25:26.630 --> 25:40.630]  And there have been a couple of cases in ahead of mine and on one of them, a fellow named Kusada, the judge knocked the fines way down.
[25:41.630 --> 25:42.630]  They were still substantial.
[25:43.630 --> 25:44.630]  This is the real judge.
[25:45.630 --> 25:52.630]  And the county promptly appealed that and it's in the Court of Appeals now in San Francisco.
[25:55.630 --> 26:04.630]  The thing about these hearings are, before you get to court, are administrative law hearings.
[26:05.630 --> 26:12.630]  And it turns out there are very few challenges of those hearings in actual court.
[26:13.630 --> 26:24.630]  So, new law is being made, which is always more fun than old law, to make it, that is.
[26:25.630 --> 26:38.630]  So, it's quite possible that the county is going to be in court with us for several years on these cases.
[26:39.630 --> 26:43.630]  Yeah, they've only processed about, I think, 20 or 25, right, Ed?
[26:44.630 --> 26:49.630]  I think the last time in the CEU report they said they'd only had 20 or 25 hearings.
[26:50.630 --> 26:51.630]  Yeah.
[26:52.630 --> 27:01.630]  Yeah, and at the moment, well, of course, winter is coming, but at the moment, the abatement program has more or less stalled out.
[27:02.630 --> 27:10.630]  Their contract with California Hearing Officer LLC has expired.
[27:11.630 --> 27:19.630]  I don't know if they renewed it, but I haven't heard of them doing any further programs since I went to court on the first one.
[27:20.630 --> 27:23.630]  I should say there's another major law firm.
[27:24.630 --> 27:25.630]  There is another lawyer.
[27:26.630 --> 27:27.630]  They are a major law firm.
[27:28.630 --> 27:29.630]  I am a solo.
[27:30.630 --> 27:35.630]  But there is, that is also in there giving them a real hard time.
[27:36.630 --> 27:50.630]  We have come up with a theory that the fines themselves are prohibited by state law, that they cannot fine you more than $500 for marijuana.
[27:51.630 --> 27:52.630]  They can only do that once.
[27:53.630 --> 28:00.630]  Needless to say, they are contesting that quite strongly.
[28:01.630 --> 28:18.630]  Also, at the recent supervisors' meetings, they were asked to ratify a three-year contract for the satellites at just under $300,000 a year.
[28:19.630 --> 28:26.630]  So it sounds like perhaps the program is still ongoing.
[28:27.630 --> 28:32.630]  I should say there's no point in having those satellites for anything but for this.
[28:35.630 --> 28:36.630]  Ed, I don't know if you've heard about this.
[28:37.630 --> 28:43.630]  I actually submitted a records request to find out, but I heard that the satellite couldn't be paid for by the Planning and Building Department.
[28:44.630 --> 28:47.630]  And that's why they're not able to do it because it's only $300,000.
[28:48.630 --> 28:49.630]  They have millions.
[28:49.630 --> 28:51.630]  I'm sure they would pay for it, right?
[28:52.630 --> 28:54.630]  But I heard that they can't because it's a conflict of interest or something.
[28:55.630 --> 28:57.630]  It had to come from some sort of government funding.
[28:58.630 --> 28:59.630]  Did you hear about that?
[29:00.630 --> 29:02.630]  And maybe that was why there was no satellite this year.
[29:03.630 --> 29:05.630]  I'm looking into it, but I heard that recently.
[29:06.630 --> 29:07.630]  That's interesting.
[29:08.630 --> 29:09.630]  There was no satellite abatements this year.
[29:10.630 --> 29:14.630]  There was only about 26 abatements coupled with raids.
[29:15.630 --> 29:16.630]  I'm sorry, forgive me.
[29:16.630 --> 29:19.630]  There was a handful in the beginning of the year before the pandemic.
[29:20.630 --> 29:21.630]  Right.
[29:21.630 --> 29:23.630]  And, well, two things about that.
[29:24.630 --> 29:28.630]  The proper way for them to do this is to send in the sheriff.
[29:29.630 --> 29:45.630]  Because, for one thing, in August 2019, they went to the sheriff with, I don't know, what, 12, 15 cases and said, here's our evidence.
[29:46.630 --> 29:49.630]  We want you to go raid these people.
[29:50.630 --> 29:55.630]  Or, as they say politely, get a search warrant and serve it.
[29:56.630 --> 30:02.630]  And the sheriff looked at the evidence and promptly didn't do it.
[30:03.630 --> 30:12.630]  Instead, he sent the helicopters out to get real evidence so that he could ask for a search warrant.
[30:13.630 --> 30:30.630]  Obviously, he felt that all their satellite images and their suppositions of what they were seeing did not amount to probable cause, which is probable cause is a very low standard.
[30:31.630 --> 30:36.630]  It's a reasonable person would suspect a crime was going on.
[30:37.630 --> 30:51.630]  And the sheriff obviously didn't feel that the reasonable person looking at their satellite evidence, listening to their explanations, would believe that there was a crime.
[30:53.630 --> 30:59.630]  So, we'll see how that turns out, but I thought that was quite shocking.
[31:00.630 --> 31:14.420]  Yeah, it seems like with no on the ground verification used in the abatement program, it's just, it's, there's going to be more false positives are going to come up, and they've already happened.
[31:15.420 --> 31:25.420]  And, yeah, I just think the false positive scenario will continue until their eyes are on the ground like you just described, whether it's in a helicopter or they're actually putting boots on the ground.
[31:25.420 --> 31:36.420]  Yeah, in Trinity County, for example, they don't have which Trinity County for folks who are listening from outside of the Emerald Triangle. It's a part of the Emerald Triangle, it's just east of Humboldt County.
[31:37.420 --> 31:48.420]  Their daily fine, correct me if I'm wrong, Ed, is $100 a day, and they don't use satellites, it's only on the ground verification and Butte County.
[31:48.420 --> 31:53.420]  I believe it's also on the ground verification and the fine is a $500 daily fine there.
[31:54.420 --> 32:09.420]  My hometown county of Tehama, where they piloted this program, I've been informed in 2014 and 15, they completely ended outdoor cultivation, including medical and six plants.
[32:10.420 --> 32:18.420]  The only thing you can do in Tehama County is get a permit. Well in 2015 you could get a permit for an indoor and it couldn't be in a residence.
[32:19.420 --> 32:25.420]  So they piloted the satellite abatement or the abatement program they're using drones and
[32:26.420 --> 32:32.420]  else was it also helicopters and they're making, of course, so many mistakes, even with the helicopters and the drones.
[32:32.420 --> 32:41.420]  They're accusing people with maple trees and olive trees and actually horses were injured because they were flying so low out there.
[32:42.420 --> 32:50.420]  Just an interesting thing to juxtapose and you guys had asked earlier also about any other industry that has comparable fines and
[32:51.420 --> 33:00.420]  well everyone's always comparing cannabis to grapes for wine, right? It should be comparable, the industries at least, but their daily
[33:01.420 --> 33:13.420]  or actually they don't have a daily fine. It's a one time fine of $100 for your first violation growing grapes without a permit, which is essentially the problem here with the cannabis, just not having the permit.
[33:14.420 --> 33:29.420]  Well, I have argued too on this fines business that the people of the state of California have already spoken about the penalties for cultivation without permits.
[33:30.420 --> 33:46.420]  And they did that in Proposition 64. And when they spoke, what they said was, this is a misdemeanor and there should be not more than $500 fine.
[33:47.420 --> 33:58.420]  Now, they also allow, because it's in the criminal system, they allow jail time, but in fact they never impose it.
[33:59.420 --> 34:16.420]  So for the county to turn around and say, well, how about we run a system with practically no evidence, very low standards and charge not 500 once, but 10,000 a day.
[34:18.420 --> 34:26.420]  This, well, it's an attempt to override the voters is what's going on.
[34:29.420 --> 34:36.420]  The city of Sacramento had a similar program, but mostly for indoor growth.
[34:36.420 --> 34:54.420]  And that ended in a cascade of lawsuits. They've had to abandon the program because, well, it was essentially the same thing. They were actually seizing people's homes on very slight evidence.
[34:55.420 --> 34:56.420]  So.
[34:59.420 --> 35:15.420]  So this really sounds like government run amok. And the real question is why they're doing it, what the purpose is, and do you really think they want to drive these people out of their homes and for what purpose?
[35:16.420 --> 35:35.420]  A few years ago, when I talked to farmers in Humboldt about the abatements, which were really starting to ramp up then, one of the prevailing theories was, yeah, they want to run us out and have retired people come up and this will be the future.
[35:36.420 --> 35:42.420]  Is that this type of stuff you're hearing, you think is going on?
[35:43.420 --> 35:50.420]  I have a much less conspiracy theory about this thing.
[35:51.420 --> 36:06.420]  I think what happened was when they set up the licensing program, they set it up poorly, so poorly that they couldn't entice most of the growers into getting licenses.
[36:07.420 --> 36:20.420]  Then they were faced with two alternatives. Fix the program or, you know, the carrot or the stick. Fix the program or really go after the people who won't go into it.
[36:21.420 --> 36:42.420]  And the abatement program shows they decided to use the stick and just make it so destructive to your life to grow outside the program that you wouldn't do it.
[36:43.420 --> 36:54.420]  The problem with the retirement theory is we don't have the infrastructure for old people.
[36:54.420 --> 37:01.420]  And take it from me, I'm an old person and it's not here.
[37:01.420 --> 37:08.420]  And it's particularly not here on the lands that are being used for marijuana cultivation.
[37:09.420 --> 37:36.420]  If you get up into the deep mountains where this stuff's going on, up in the rancho, the far reaches of Salmon Creek and stuff, you are miles from the nearest paved road on a road that's almost impassable in the winter and could destroy your car just because of the potholes and ruts and stuff in the summer.
[37:37.420 --> 37:40.420]  Not inviting to retirees.
[37:40.420 --> 37:51.420]  I think the people that if they were after retirees, these are people who want nice houses in a suburb with a lawn.
[37:52.420 --> 38:08.420]  They do not want to be homesteading under primitive conditions away from medical care, away from reliable utilities and all that.
[38:08.420 --> 38:11.420]  Just, that's my thought.
[38:12.420 --> 38:21.420]  I don't think it's a conspiracy, though, to recognize that several of our supervisors are well known to have ties in the cannabis industry.
[38:21.420 --> 38:30.420]  And people, you know, shaping these policies, they're known to be affiliated with some of the major farms in the area.
[38:30.420 --> 38:33.420]  So it's a multi-billion dollar industry.
[38:33.420 --> 38:38.420]  Would Rex, I don't know how to pronounce his last name, would Rex Bone be one of them?
[38:38.420 --> 38:41.420]  He has a son named Trevor, correct?
[38:41.420 --> 38:44.420]  Yeah, Trevor, you can find his highlights.
[38:44.420 --> 38:49.420]  I guess he pepper sprayed some children that were involved.
[38:49.420 --> 38:52.420]  It's on Redheaded Black Belt from several years ago.
[38:52.420 --> 38:59.420]  But just to clue everyone in, so Rex Bone is a Humboldt County Board of Supervisors member.
[38:59.420 --> 39:00.420]  Yeah, District 1.
[39:00.420 --> 39:03.420]  So he has political power in Humboldt.
[39:03.420 --> 39:07.420]  His son is one of the license holders.
[39:07.420 --> 39:14.420]  His son has a cannabis license and his son has a criminal record for, as you just said, pepper spraying little kids.
[39:14.420 --> 39:23.420]  Yeah, associated with unpaid workers, too, which is pretty common in the permitted cannabis industry, believe it or not.
[39:23.420 --> 39:28.420]  I've actually worked for three permitted farms and I got paid by zero of them.
[39:28.420 --> 39:30.420]  Oh, that's not true.
[39:30.420 --> 39:33.420]  You got paid on one of them.
[39:33.420 --> 39:34.420]  One of them?
[39:34.420 --> 39:36.420]  After you went to court.
[39:36.420 --> 39:39.420]  No, no. Oh, God, we'll talk about that later.
[39:39.420 --> 39:41.420]  I don't think that's going to happen.
[39:41.420 --> 39:55.420]  So wait, Tom, just quickly, I wanted to show, because I'm going to move on from this, but this is the award you were talking about, State Association of Lodz, Humboldt County's cannabis enforcement efforts.
