[00:00.250 --> 00:03.890]  All right, take two.
[03:50.170 --> 03:51.770]  school thinking individual.
[03:51.770 --> 03:57.450]  I know OG is super overplayed now, but just somebody that carries himself in a way that
[03:57.450 --> 04:02.770]  I feel like other people will begin to respect because it is genuine and it is giving.
[04:02.770 --> 04:05.610]  And that is something that, Duke, I feel like you're famous for, man.
[04:05.610 --> 04:11.290]  And it's just it's going to be exciting for the community that might not necessarily have
[04:11.290 --> 04:17.930]  heard of your work or have heard of your story to see from another example of there's not
[04:17.930 --> 04:22.450]  too many of you and certain people like you that it seems like is left.
[04:22.450 --> 04:26.130]  So I feel like we need to have more of a voice in the community.
[04:26.130 --> 04:29.370]  And it feels like there's a fork in the road for a lot of that kind of stuff.
[04:29.370 --> 04:33.890]  Do we kind of carry on certain traditions and things in the way that we carried ourselves?
[04:33.890 --> 04:37.770]  Or do we all try to play one another and tell on one another?
[04:37.770 --> 04:43.770]  And the other stuff is kind of reveal certain things that maybe you were true boys back
[04:43.770 --> 04:46.290]  in the day or something. So they know something really personal about you.
[04:46.330 --> 04:49.650]  And then something happens and they run and tell everybody about that.
[04:50.130 --> 04:51.250]  I just didn't see that.
[04:51.250 --> 04:56.290]  I know that maybe this is more us being more Southerners.
[04:56.290 --> 04:59.770]  Maybe there's more like the word is your bond compared to other parts of the country.
[04:59.770 --> 05:01.370]  I could totally see that.
[05:01.610 --> 05:04.450]  But it seems like it's eroding nationwide.
[05:04.450 --> 05:10.210]  So one of the things I want to talk about was, you know, to start the show is Emerald
[05:10.210 --> 05:14.890]  Cutter. I feel like when you first went out there in 2017, that was kind of like your
[05:14.970 --> 05:16.050]  Cinderella moment.
[05:16.090 --> 05:19.730]  I just kind of wanted to start there and then dive into a lot of things.
[05:20.130 --> 05:22.530]  Shout out to another podcast, The Dunn Show.
[05:22.530 --> 05:25.130]  I have, you know, we've all heard you on there on a few times.
[05:25.130 --> 05:30.250]  And before we were able to get on this live and officially running here, Chad and I were
[05:30.250 --> 05:32.130]  talking about a gentleman named Mitch Sanasa.
[05:32.370 --> 05:36.930]  And I feel like he was somebody that really took the time to kind of in the interview,
[05:36.930 --> 05:43.970]  especially with with yourself and others, really break things down and then break it
[05:43.970 --> 05:45.130]  down for the layman, basically.
[05:45.290 --> 05:48.010]  That is the one thing that I feel like you're really able to do, man.
[05:48.370 --> 05:52.810]  And without doing it with like, you know, going out of your way to use big words to
[05:52.810 --> 05:54.610]  make yourself sound cool or look cool.
[05:55.170 --> 05:58.250]  That's just something that I know that you don't give a fuck about, man.
[05:58.450 --> 06:03.210]  And I'm just excited that we're going to be able to talk about that from from a general
[06:03.210 --> 06:04.970]  standpoint. So let's talk about it.
[06:04.970 --> 06:10.050]  Definitely. Before we get too far into it, man, I want to jump in and say, man, just
[06:10.490 --> 06:12.410]  what's up, dude? Nice to meet you, brother.
[06:12.530 --> 06:15.290]  Finally, I heard lots of stuff about you.
[06:15.290 --> 06:20.050]  And I think that a lot of what Brian's talking about, man, I didn't know you were from
[06:20.050 --> 06:24.570]  Virginia, brother. I was kind of been doing my thing and my own little dungeon coming
[06:24.570 --> 06:27.330]  out now and meeting all these great people, man.
[06:27.330 --> 06:31.170]  And you're a name that a lot of folks have a ton of respect for.
[06:31.170 --> 06:34.570]  And, you know, to find out you're from V.A., man, you know, V.A.
[06:34.570 --> 06:36.610]  don't play, but we're very respectful.
[06:36.610 --> 06:38.890]  We're very we approach you very easy.
[06:39.210 --> 06:41.730]  And and we and we take it from there.
[06:42.570 --> 06:43.730]  So, yeah, man, awesome.
[06:43.730 --> 06:45.410]  Awesome to have this talk with you, bro.
[06:45.410 --> 06:48.010]  And I'm looking forward to this here and what you got to say.
[06:48.490 --> 06:50.770]  Yeah, it's great. Great to meet you, too, man.
[06:50.770 --> 06:55.250]  And I always used to people like, man, y'all so laid back.
[06:55.250 --> 06:56.490]  I'm like, yeah, we're laid back.
[06:56.490 --> 06:58.050]  We're chill until we're not.
[06:58.570 --> 07:03.650]  So like, you know, we're real cool, you know, but people, you know, fuck around, put us
[07:03.650 --> 07:09.010]  in that position. It's like get a zero to one hundred real quick, real rowdy, real quick,
[07:09.610 --> 07:13.730]  real rowdy. But yeah, that's, you know, that's a good good way.
[07:14.650 --> 07:16.210]  Good way to be for sure, man.
[07:16.770 --> 07:22.170]  And, you know, all the people that helped out during that time, like I said, Profane
[07:22.170 --> 07:28.130]  Jane, nerds, you know, Robbie at Nerds and all the other folks who made it happen.
[07:28.130 --> 07:29.530]  I can't thank you enough.
[07:30.050 --> 07:36.250]  And so those are real, real people, you know, and that's what, you know, ideally, like
[07:36.690 --> 07:39.770]  you try to surround yourself by.
[07:40.130 --> 07:44.930]  It's crazy. Like I got this one guy who will not stop DMing, like literally every 10
[07:44.930 --> 07:49.730]  seconds. I got like a window that literally pops up right here in front of my eyes.
[07:50.210 --> 07:53.570]  And it's like, Jesus, man, please just give me a moment.
[07:53.770 --> 07:55.890]  Pretty please trying to do this thing.
[07:56.730 --> 07:58.410]  But yeah.
[07:58.410 --> 08:00.290]  So, yeah.
[08:00.890 --> 08:08.410]  And I guess like talking about like Emerald Cup evolution, right?
[08:10.410 --> 08:17.450]  Things are always changing, especially in the world, the world that we live in.
[08:18.810 --> 08:23.770]  I even hate seeing industry, but in one regard or another, like you're you got to be
[08:23.770 --> 08:26.730]  involved with it, even if it's like from the outside.
[08:26.890 --> 08:34.210]  Like no matter what, like you're associated with it in one one regard or another.
[08:34.210 --> 08:38.810]  So even if it's just, you know, observing what's going on around you.
[08:38.890 --> 08:45.130]  So. As far as like how it evolved, like I was super stoked to go to the first one
[08:45.130 --> 08:51.250]  because I know people who had been involved in it, gone to it, the great people, the
[08:51.250 --> 08:52.490]  vibe and everything.
[08:52.730 --> 08:54.730]  And I was like, yeah, well, it's really cool.
[08:54.730 --> 09:01.450]  Like that's what I like to be around, you know, and, you know, we always we try to
[09:01.450 --> 09:03.490]  surround ourselves with good, solid people.
[09:03.770 --> 09:07.970]  And, you know, these people are, you know, bringing you bringing you into their little
[09:07.970 --> 09:14.490]  gig. So I go and it was exactly exactly what what I thought it was and what I was told
[09:14.490 --> 09:17.170]  it was. And it was awesome thing.
[09:17.370 --> 09:19.050]  It was awesome thing to be a part of.
[09:19.050 --> 09:20.370]  Awesome thing to see.
[09:22.890 --> 09:28.170]  That, if I'm not mistaken, that was the year that they were that they were trying to do
[09:29.570 --> 09:32.490]  the recreation legalization there.
[09:33.370 --> 09:36.130]  And that's when it all hit the fan, man.
[09:36.130 --> 09:40.450]  Like you start getting money and things like that involved with anything.
[09:40.450 --> 09:45.290]  It tends to it tends to ruin a good intentions, go away.
[09:45.690 --> 09:53.050]  Greed will kind of take over and it starts to happen on the most basic of levels, like
[09:53.050 --> 09:58.330]  people that were down, really down as fuck, making things happen.
[09:58.690 --> 10:00.290]  They see their opportunity.
[10:00.290 --> 10:07.330]  And I mean, I hate to use the words like a sellout, but I mean, there's really there's no
[10:07.330 --> 10:09.250]  other other way to describe it.
[10:09.650 --> 10:10.610]  They go for it.
[10:11.330 --> 10:15.850]  Some people say cash in, sell out, tomato, tomato, whatever.
[10:16.210 --> 10:23.090]  So they join that other team and that other team, when you start dealing with large
[10:23.090 --> 10:30.690]  corporations and certain certain individuals of money that are looking to get get into
[10:30.690 --> 10:33.890]  things, they they fight differently.
[10:34.290 --> 10:40.330]  So where we might be used to throwing hands and pulling guns or something like that.
[10:40.810 --> 10:42.410]  They pull contracts, lawyers.
[10:42.410 --> 10:49.890]  They spend mass amounts of money lobbying, buying people, buying influence, if you will,
[10:51.130 --> 10:58.050]  politically and marketing even on the most basic level to the end user and get them on
[10:58.050 --> 11:03.250]  board. And a lot of that shit goes on behind the scenes and don't even, you know, the
[11:03.250 --> 11:07.290]  average person, they don't they don't fucking know, you know, so they're in the dark.
[11:07.290 --> 11:09.770]  And then you start seeing these changes happen.
[11:10.770 --> 11:17.730]  Um. So like when I left, like if I were to say and which I did, you know, I was pretty
[11:17.730 --> 11:20.170]  vocal about is like, oh, these people are trying to fuck you.
[11:20.490 --> 11:21.330]  Oh, no, no, no.
[11:21.330 --> 11:25.130]  You don't understand. Like, bro, I literally read this whole thing.
[11:25.130 --> 11:30.010]  Like, you know, like you're talking about, you know, nobody's going to prison anymore.
[11:30.010 --> 11:34.890]  And it's like, in fact, like Med versus like the new law that was being pushed through
[11:34.890 --> 11:36.450]  is like you're going to get in more trouble.
[11:36.490 --> 11:41.570]  So, you know, you know, there's just a whole lot of a lot of bullshit going on.
[11:42.170 --> 11:44.930]  So, you know, I'm not I'm not from Cali.
[11:44.930 --> 11:45.850]  I didn't live in Cali.
[11:45.850 --> 11:52.330]  So, you know, you have a lot of people putting putting the word out there and trying to
[11:52.330 --> 11:56.050]  educate people, people that are fighting against it and everything.
[11:56.410 --> 11:59.410]  And then you had people that were indifferent and then you had the opposite, you know.
[11:59.890 --> 12:02.210]  So when is that going down?
[12:02.210 --> 12:04.850]  Is it goes through.
[12:06.410 --> 12:08.130]  And then twenty eighteen.
[12:08.890 --> 12:12.090]  So going back out there now, it's all taxation.
[12:13.050 --> 12:18.810]  I had to stop and me at the gate, me like, you can't bring bring any weed in here.
[12:18.810 --> 12:23.970]  I was like, you're telling me I can't bring weed into the weed show.
[12:24.530 --> 12:26.170]  I'm a vendor. I'm not selling the weed.
[12:26.610 --> 12:28.490]  You're telling me I can't have any weed with me.
[12:28.810 --> 12:31.330]  And it's legal, right?
[12:32.330 --> 12:33.930]  OK, that's all fucked up.
[12:34.410 --> 12:39.370]  So I'm like looking over at my boy, like, yeah, we got to we got to make this happen.
[12:39.690 --> 12:43.050]  So I'm like pulling out my knife and me like, well, I guess you got a problem with this big
[12:43.050 --> 12:46.930]  bastard, too. And, you know, like halfway making a scene and getting all the guards
[12:46.930 --> 12:49.130]  attention at the same time.
[12:49.130 --> 12:53.650]  He's stealing a golf cart and loading our shit up and running around the back gate and
[12:53.650 --> 12:54.810]  getting our shit in anyway.
[12:55.610 --> 12:59.170]  So I was like right off the bat, we're starting on a bad note.
[13:00.090 --> 13:06.330]  And then just seeing the the influences that were just it was just a whole different
[13:06.330 --> 13:09.090]  vibe, a whole different ballgame after.
[13:10.410 --> 13:16.810]  After that, you know, I think I was supposed to be I was supposed to be on a panel with
[13:16.810 --> 13:23.290]  a bunch of people, and I was also supposed to be on like an individual interview or
[13:23.290 --> 13:30.130]  whatever. When it was like time and I guess, you know, I was pretty, pretty vocal about
[13:30.130 --> 13:34.690]  what I what I thought, you know, not really vocal, but like, you know, you ask me what I
[13:34.690 --> 13:35.970]  think I'm going to tell you.
[13:36.530 --> 13:39.650]  And I thought it was fucked up and I'm going to say that.
[13:40.130 --> 13:46.810]  So they they were like, yeah, I guess the one panel was going to be talking about like
[13:46.810 --> 13:48.210]  the new laws and what you think.
[13:48.530 --> 13:50.570]  So they're like, yeah, we don't want this guy.
[13:50.570 --> 13:52.170]  So last minute they pull me off.
[13:52.730 --> 13:54.090]  They replaced me with a chat.
[13:54.490 --> 13:57.410]  And then the other interviews like, yeah, you're not doing that either.
[13:57.410 --> 13:59.610]  So we're just going to fill that spot with somebody else.
[13:59.610 --> 14:02.610]  So right then and there, I'm like, OK, all right.
[14:02.650 --> 14:05.770]  Like, whatever. Like this is the last time I'm coming anyway.
[14:05.770 --> 14:09.130]  Like I just saw it was it was like my mind's my mind's pretty much made up.
[14:09.810 --> 14:16.490]  So toward the end, we went to this thing like where they were talking.
[14:16.490 --> 14:20.370]  They had the slideshow up and it was a such fucking bullshit.
[14:20.370 --> 14:25.810]  And it was like. So again, like the same people that are talking to the same people that
[14:25.810 --> 14:30.250]  are in like, you know, pushing these laws through and trying to sell it is like nobody's
[14:30.250 --> 14:35.610]  ever going to go to prison anymore over it and this and that is such bullshit.
[14:35.650 --> 14:37.730]  And I was like, oh, my God, it's fucking bullshit.
[14:37.970 --> 14:39.250]  And I'm good.
[14:39.690 --> 14:45.050]  Done. You know, so that then and there, 2018, I was I was sold on it.
[14:45.090 --> 14:46.250]  I was good. So
[14:46.890 --> 14:49.050]  20, you know, I don't know.
[14:49.250 --> 14:50.570]  I'm sure it didn't get any better.
[14:50.930 --> 14:53.690]  And then everybody's talking about 2021.
[14:53.690 --> 14:59.690]  You got these dudes with compliance running around taking people's weed, you know, just
[14:59.690 --> 15:01.010]  hassling people and shit.
[15:01.530 --> 15:06.090]  And, you know, on the smaller scales, they're like, yeah, they wiped out the small time
[15:06.090 --> 15:11.410]  people. I mean, that's it was already seen years ago.
[15:11.410 --> 15:14.330]  And now, you know, it's just it's all come into fruition.
[15:14.850 --> 15:19.010]  So it started and it was such a great thing.
[15:19.010 --> 15:21.730]  And I mean, personally, I mean, this is my opinion.
[15:21.730 --> 15:28.450]  Like it's it's not anything I want to be involved with, you know, so that's just that's
[15:28.450 --> 15:35.890]  the evolution of recreational and money and and and what what ends up coming out in the
[15:35.890 --> 15:39.690]  wash. So, you know, there was a lot of people very vocal about it.
[15:40.090 --> 15:43.530]  Right. But on the same note, we live in this culture.
[15:43.530 --> 15:47.170]  Like if you speak out on anything, all your hateful, all as harsh vibes or whatever, it's
[15:47.170 --> 15:48.850]  like, no, motherfuckers, God damn truth.
[15:49.330 --> 15:53.090]  Right. If you want to stick your fucking head in the sand and not paying attention to it
[15:53.810 --> 15:57.490]  year, two, three years down the road when all your shit's taken from you and there's
[15:57.490 --> 15:59.370]  nothing left, don't fucking complain.
[15:59.850 --> 16:01.730]  Like honestly, like just shut the fuck up.
[16:02.250 --> 16:04.610]  Right. And quit being like that.
[16:05.050 --> 16:07.810]  And when shit happens, like do something about it.
[16:07.890 --> 16:11.330]  Don't don't don't definitely don't tell other people.
[16:11.330 --> 16:15.490]  Oh, well, it's not, you know, the way to know that is the way to be like when you see
[16:15.490 --> 16:18.330]  something fucked up happening, you got to you got to be vocal about it.
[16:18.330 --> 16:22.210]  You got to speak up. And if it's unpopular, hey, so be it.
[16:22.210 --> 16:24.450]  You know, because at the end of the day, what's right is right.
[16:24.850 --> 16:26.930]  What's wrong is wrong. So.
[16:28.210 --> 16:33.730]  Where we're at now, I would just say, like all these other states that are coming online
[16:33.730 --> 16:39.530]  like like Virginia, right, just look at what happens in the past and plan accordingly
[16:39.930 --> 16:43.210]  because it happens literally everywhere.
[16:43.530 --> 16:47.890]  So, you know, like the old saying goes, when you when you start forgetting history, that's
[16:47.890 --> 16:53.890]  when it repeats itself. So learn from the mistakes of what's happened in the past and
[16:53.890 --> 16:59.530]  try to prevent that from happening, you know, where you live, if things are changing,
[16:59.810 --> 17:04.770]  because we do have a ability, you know, so many people used to show up at capitals and
[17:04.770 --> 17:10.130]  protest and fight for med, you know, and then, you know, eventually for rec and
[17:10.130 --> 17:13.170]  everything else. But it's like they give up that that fight.
[17:13.170 --> 17:17.810]  So the fight will always continue because the second you let your guard down, big money,
[17:17.850 --> 17:21.850]  big corporations, private interests, they're going to be in there trying to, you know,
[17:21.850 --> 17:25.490]  undermine every effort that's that's been put into place, you know.
[17:25.650 --> 17:28.570]  So you just got to stay really, really vigilant.
[17:28.850 --> 17:34.050]  You know, if this is what you want to do and when you find shit coming out, you know, you
[17:34.050 --> 17:38.090]  got to you got to got to be vocal about it, even if it's unpopular.
[17:38.130 --> 17:43.090]  Yeah. Nobody likes to be called an asshole or cocksucker or whatever and be trolled
[17:43.090 --> 17:47.490]  online. But, you know, for the few people that are going to be doing that, you know,
[17:47.490 --> 17:52.130]  you're going to have a whole hell of a lot of people that are really appreciative of,
[17:52.410 --> 17:56.610]  you know, you know, that knowledge and being able to do it.
[17:56.970 --> 17:59.090]  So I would just say just be vigilant.
[17:59.410 --> 18:00.690]  Pay attention to your laws.
[18:00.970 --> 18:03.490]  Pay attention with the bills that are going through.
[18:04.050 --> 18:09.930]  Within our community, not industry, but within our community of good people, we got
[18:10.170 --> 18:15.570]  multiple guys that are always staying on top of like, hey, SB, you know, 444 is trying to
[18:15.570 --> 18:16.530]  be pushed through right now.
[18:16.530 --> 18:18.290]  It's a tag along bill with this and that.
[18:18.290 --> 18:22.610]  And hey, they're trying to say no more home grows, no more med or whatever.
[18:22.930 --> 18:26.730]  So just, you know, pay attention to these people.
[18:27.010 --> 18:31.890]  And when it comes time, like ride with these people, because otherwise they're they're
[18:31.890 --> 18:32.930]  looking to take it from you.
[18:33.130 --> 18:39.130]  You know, so just stay vigilant and try to keep it from happening, happening elsewhere.
[18:39.490 --> 18:45.130]  And that way you don't end up with your good shows and your good times becoming this.
[18:46.330 --> 18:52.810]  We're Chad, that's with with with enforcement coming through, stealing, stealing your
[18:52.810 --> 18:55.490]  weed and hassling and threatening to lock you up, you know.
[18:56.650 --> 19:00.930]  Well, I feel like somebody that's well known in the community, Sungrown Mids, I mean,
[19:00.930 --> 19:02.330]  that's exactly what it seemed like.
[19:02.330 --> 19:04.210]  That's exactly who I'm talking about.
[19:04.370 --> 19:04.970]  You know, right.
[19:05.370 --> 19:09.850]  And so to be super vigilant, like, you know, he's always posting like, yeah, they're
[19:09.850 --> 19:10.810]  trying to do this to us.
[19:10.810 --> 19:11.850]  They're trying to do this to us.
[19:11.850 --> 19:12.810]  They're killing the farmer.
[19:12.810 --> 19:13.530]  They're killing this.
[19:13.530 --> 19:14.210]  They're killing that.
[19:14.570 --> 19:20.130]  Like and, you know, a lot of people would either give him shit or, you know, just not
[19:20.130 --> 19:26.050]  pay mind to it, you know, but he was always like going in front of county, you know,
[19:26.490 --> 19:29.210]  meetings and shit like that, town halls and everything else.
[19:29.530 --> 19:31.370]  Very vocal, very vigilant about it.
[19:31.690 --> 19:37.490]  So if you have more people like him, you know, that kind of puts a puts a stop to to a
[19:37.490 --> 19:39.730]  lot of the shit that they try to pull, you know.
[19:40.290 --> 19:42.850]  Well, I wasn't you know, I don't think either.
[19:43.010 --> 19:44.010]  None of us were there.
[19:44.010 --> 19:46.250]  So it's like pretty hard to speak on it.
[19:46.530 --> 19:50.490]  But from the videos and stuff, it seemed like they could have possibly known the stuff
[19:50.490 --> 19:51.370]  that you had just mentioned.
[19:51.370 --> 19:54.090]  It seemed like they might have like found a way to target him.
[19:55.210 --> 19:56.410]  I think we lost him there.
[19:56.410 --> 19:58.770]  But yeah, for.
[20:00.250 --> 20:04.330]  Yeah, explain to him what what you're talking about, Brian, folks might not know.
[20:05.730 --> 20:11.450]  So I I feel kind of kind of silly speaking on something when I wasn't there, but what it
[20:11.450 --> 20:17.370]  what it seemed like is they had some kind of like corporate enforcement agency.
[20:17.890 --> 20:22.250]  They, you know, sun grown meds was, you know, it's called something.
[20:23.170 --> 20:26.370]  But anyway, they seeked sun grown meds out.
[20:26.370 --> 20:29.610]  It seemed like they were all kind of just sitting around, probably smoking, showing some
[20:29.610 --> 20:35.810]  of the stuff. I saw that he had a clear bag that looked obviously fairly small for the for
[20:35.810 --> 20:39.850]  that kind of individual that's been in the game for that long, you know, personal use to
[20:39.850 --> 20:43.090]  also probably share and give to other individuals.
[20:44.170 --> 20:48.330]  I don't think a lot of people understand that the Emerald Cup, at least still for some
[20:48.330 --> 20:52.890]  people, is kind of the holy grail of things that in a way can launch careers.
[20:53.490 --> 20:57.370]  I feel like for you, Duke, it definitely you were you're kind of the Bella of the ball in
[20:57.370 --> 21:02.930]  2017. A lot of people were talking about you with the skunk one and some of the the
[21:02.930 --> 21:04.090]  other genetics that you had.
[21:05.930 --> 21:09.570]  But I wanted to get back to some sun grown meds since you just kind of popped back on
[21:09.570 --> 21:15.650]  because are you more familiar with that agency that was seeking out what what was going
[21:15.690 --> 21:20.050]  on? And do you think he was targeted because he is kind of more vocal maybe than other
[21:20.450 --> 21:21.770]  others within the community?
[21:24.130 --> 21:30.930]  Maybe, you know, he'd be he'd be a cool person to hit up and have on your show to, you
[21:30.930 --> 21:37.090]  know, I think it's hella smart, like really good, you know, like I talked to him on IG,
[21:37.330 --> 21:43.010]  but I got to meet him in person, you know, at that that first show and then at the next
[21:43.050 --> 21:49.490]  year. I just think that like, you know, like some of those pictures I saw, there's a lot
[21:49.490 --> 21:55.290]  of a lot of those dudes and they're just walking around looking to hassle with
[21:55.290 --> 22:00.570]  anybody. So I think it probably happened a lot over the weekend.
[22:00.890 --> 22:04.250]  It's just they chose the wrong group of dudes to roll up on.
[22:04.250 --> 22:08.050]  You know, they were going to, you know, get Kush family right there with them.
[22:08.370 --> 22:09.690]  You had Masonic with them.
[22:09.690 --> 22:16.210]  You had fucking Bam, you know, Bamboo, like you had the wrong group of dudes to be
[22:16.210 --> 22:19.690]  fucking with. So they're going to be, you know, in their face vocal about it and
[22:19.690 --> 22:20.690]  they're going to be reporting it.
[22:21.010 --> 22:25.850]  So I think a lot of other instances, people were just like, you know, kind of shook up.
[22:26.130 --> 22:29.090]  They're not going to record it or they're just like, oh, here, just take it.
[22:29.410 --> 22:31.730]  So I think it probably happened a lot more.
[22:32.210 --> 22:34.890]  We just didn't, you know, you're just not hearing about it.
[22:35.730 --> 22:41.130]  So. Like my buddy, James, you know, James being he.
[22:42.690 --> 22:49.290]  He you know, he gave me kind of a rundown on what it was like, and I was like, you
[22:49.290 --> 22:55.330]  know, it doesn't doesn't really surprise me, you know, but, you know, when you start
[22:55.330 --> 22:59.050]  getting agencies like that, you know, that's what they're that's what they're tasked to
[22:59.050 --> 23:04.650]  do. You know, taxpayers money, you know, is, you know.
[23:04.890 --> 23:08.050]  Paying for these people to come and bust your balls.
[23:08.410 --> 23:13.410]  And just like with, you know, any other agency, I know you see a lot of cops go out
[23:13.410 --> 23:16.010]  there and do unconstitutional shit, right?
[23:16.530 --> 23:17.970]  And get away with it.
[23:18.370 --> 23:22.010]  And sometimes people call them out on it and shit like a lot of cops don't even know
[23:22.010 --> 23:24.930]  the law. You know, they're just doing what they want to do.
[23:25.330 --> 23:29.090]  So like with these people, I'm sure, you know, the same thing, same thing is going to
[23:29.090 --> 23:33.170]  happen with them. They're just going to kind of go through, hassle people, bust balls
[23:33.730 --> 23:37.650]  and, you know, it's a sad state of affairs.
[23:37.650 --> 23:39.890]  You know, this is what it is, I guess, at this point.
[23:43.290 --> 23:49.170]  Do you think that the the Emerald Cup themselves is kind of pushing that, enforcing
[23:49.170 --> 23:53.050]  that? Did you feel that when you were there or do you think this is just consequences of
[23:53.450 --> 23:56.290]  us versus them and they're allowed to walk around and harass?
[23:57.610 --> 24:02.250]  I think it's just the consequence, you know, I don't think because like, you know, deep
[24:02.290 --> 24:06.490]  down, like, you know, people with Emerald Cup, you know, they're running, they're running
[24:06.490 --> 24:10.050]  a business, you know, and their business is good times.
[24:10.210 --> 24:12.330]  So they want people to come.
[24:12.330 --> 24:13.450]  They want people to have fun.
[24:13.450 --> 24:16.810]  They want them to have a good time because naturally, you know, they're going to want
[24:16.810 --> 24:17.970]  them to come back next year.
[24:18.170 --> 24:21.650]  You know, they're not going to want to hold that bunch of bad shit online.
