[00:00.000 --> 00:02.000]  and
[02:48.740 --> 02:52.300]  So I'm excited. Those are the ones you're going right? Is that what you got?
[02:52.820 --> 02:56.220]  Yeah, these are the ice cream cakes and I was gonna talk them now
[02:56.780 --> 02:59.780]  Yeah, which it looks like that. It looks like them
[03:00.500 --> 03:02.900]  With that shorter rounder fatter leaf like that
[03:03.740 --> 03:10.120]  Like that heavy overlap on some of these where's this there's one that's like almost round on the leaf
[03:10.120 --> 03:12.340]  It's like this one. Yeah, here it is
[03:13.260 --> 03:19.900]  I'll show you this one. This is beautiful. This is something like I you don't see that like oh short those are
[03:21.060 --> 03:23.060]  Love that. Yeah, those are killer
[03:24.500 --> 03:30.660]  Those always come with those delicate like in that beautiful hours to you know, and I mean those really kind of
[03:31.460 --> 03:34.380]  That's a that's an interesting I like that I like that overlay
[03:37.100 --> 03:41.540]  They're starting to have a nice aroma to them as well, which is pretty good I've been running like
[03:42.340 --> 03:48.580]  What's everybody running for their day and night temps you guys like if we could go around the room and kind of talk about what?
[03:48.580 --> 03:50.660]  Our climate is for this period of time
[03:50.660 --> 03:57.380]  Maybe that'd be a good point of conversation and I'll start it is I'm indoor outdoor greenhouse type of fucking deal
[03:57.380 --> 04:00.300]  So it's it's a little bit of a of a swing
[04:00.300 --> 04:05.940]  I probably I've been touching as low as 10 degrees Celsius over the last couple nights here in there
[04:06.700 --> 04:11.740]  and usually hit like around 27 on a on a
[04:12.460 --> 04:18.180]  Medium cloudy day and on a sunny day. I get up to 30. So there's some pretty heavy swings that are in there
[04:18.180 --> 04:20.180]  so that's what I'm thinking a lot of the
[04:20.340 --> 04:25.940]  You can't you can see some of the internode spacing especially like this guy right here is a little bit longer a little bit more
[04:26.060 --> 04:30.940]  Extended I'm pretty sure that's kind of why I'm seeing that that happens with a lot of my plants
[04:30.940 --> 04:34.100]  So this time here they all kind of they get this little leap in them
[04:34.540 --> 04:38.180]  But what's everybody else running? Do you want to maybe start their coastal grown? I?
[04:42.000 --> 04:44.880]  Usually try to keep everything at a constant 75
[04:45.720 --> 04:49.680]  during veg and and propagation stages
[04:50.200 --> 04:52.080]  it's just
[04:52.080 --> 04:57.200]  Really easy to just keep it right there and not let the fluctuations go especially because it's indoors
[04:58.160 --> 04:59.840]  but then in
[04:59.840 --> 05:04.160]  flowering especially during the winter time I take advantage of the cold and
[05:04.480 --> 05:09.160]  I'll let it fluctuate down into the high 30s low 40s
[05:10.240 --> 05:12.560]  And I'm talking Fahrenheit about this
[05:13.040 --> 05:13.760]  but yeah
[05:13.760 --> 05:21.040]  just to just to hit those like real real shock values on the plant and to try to drive the plant and distress to where
[05:21.040 --> 05:22.840]  it really really
[05:22.840 --> 05:26.160]  puts out those real nice anthocyanins and
[05:26.440 --> 05:27.720]  And
[05:27.720 --> 05:34.240]  And starts to try to put out more res especially with that dry cold air just like just really pulling at it
[05:34.240 --> 05:38.900]  So that's what I try to do is try to keep it consistent except in flowering
[05:48.440 --> 05:50.440]  What about you Cory?
[05:51.960 --> 05:53.360]  So
[05:53.360 --> 05:55.360]  I've got my veg in the basement
[05:56.080 --> 06:01.320]  I don't really have a lot of control over it. It's typically somewhere between
[06:02.320 --> 06:08.720]  75 and 78 during the day my boilers in the next room over so I you know
[06:08.720 --> 06:10.880]  I get a little little extra heat from there
[06:11.640 --> 06:13.640]  and then
[06:14.360 --> 06:17.600]  Typically, unfortunately my my my humidity is low
[06:19.640 --> 06:21.640]  Because the boil is in the next room but
[06:22.280 --> 06:27.360]  You know as far as as far as the veg is concerned, that's how I you know, that's how I'm at right now
[06:27.360 --> 06:30.720]  I'd like to get another tent to try to you know, keep it more dialed in but
[06:31.640 --> 06:36.480]  Yeah, that's that's kind of out of control riding down the hill with a bicycle and no brakes
[06:40.080 --> 06:45.560]  So you kind of use the advantage of the really dry furnace room and just pull that dry air in
[06:48.040 --> 06:53.000]  It kind of just does its own thing, you know, it's it's this time of year
[06:53.000 --> 06:57.640]  It's really really dry just simply for the fact that the heat's running constantly
[06:58.240 --> 07:02.080]  But you know, I'd like to get a little bit more control here
[07:02.760 --> 07:07.480]  Before next winter skins, you know comes around try to get a little more control of the humidity. I
[07:15.500 --> 07:18.100]  Think Nick's wouldn't Nick would be next
[07:20.320 --> 07:22.160]  Well, man
[07:22.160 --> 07:24.160]  to be honest, I would love to
[07:25.320 --> 07:31.320]  Keep it where I want it, you know 75 and veg high humidity. I can keep
[07:31.960 --> 07:33.600]  the humidity
[07:33.600 --> 07:35.600]  Yeah
[07:38.680 --> 07:42.360]  I'm gonna a little bit what I got going on
[07:45.160 --> 07:46.480]  So
[07:46.480 --> 07:53.720]  This is some stuff. I'm running through right now. I got some Casey Jones and some black dog by Humboldt Cico
[07:56.320 --> 08:02.720]  Did your phone go landscape, all right, can you turn it landscape for me it just opens up the screen a bit more
[08:03.960 --> 08:05.600]  Yeah
[08:05.600 --> 08:09.400]  Yeah, that's beautiful. Thank you. So yeah. Yeah. Yeah, I got
[08:11.320 --> 08:18.280]  Stickered the door out cuz I got bored and I'm dude. I just really love stickers. I got my sticker right there and
[08:18.880 --> 08:21.080]  We're straight out of composting man
[08:24.000 --> 08:29.960]  Anyway some stuff I'm messing with dude, I've been neglecting everything so don't judge guys
[08:30.200 --> 08:34.480]  I've been so busy with the commercial stuff and this is just some side
[08:36.360 --> 08:39.440]  That I got and I got some stuff with my dad
[08:40.160 --> 08:46.720]  man, it just gets crazy, but so anyway what I was getting at is I can shut this door and
[08:47.280 --> 08:52.460]  With the AC on in here and this door shut and both of these lights running
[08:52.460 --> 08:59.320]  I can keep the humidity up, but I'm probably spiking about like 85 man with probably like 70 70 percent humidity
[08:59.960 --> 09:02.920]  And then in here I can keep it about 75
[09:03.880 --> 09:06.840]  70% humidity if it gets too high and flower
[09:06.840 --> 09:12.000]  I just throw a D D home right over there over here and and rock it out, man
[09:15.750 --> 09:22.810]  They said they're pretty happy looking plants man. I mean like I'm notorious for keeping plants in small pots for two
[09:22.810 --> 09:24.810]  And
[09:31.290 --> 09:33.290]  I have to find the right ones, too
[09:40.580 --> 09:44.580]  Nice that was awesome. So what do you what do you ideally run? Mr.
[09:48.820 --> 09:52.300]  Appreciate y'all sharing do what I'm lucky
[09:53.300 --> 09:57.660]  You know I got Southern California weather so I can run open room
[09:57.660 --> 10:01.580]  You know concepts where I use just the ambient temperature from outside
[10:02.220 --> 10:07.540]  You know with some fans and some different things I can kind of I can kind of jump around pretty good
[10:07.540 --> 10:13.140]  I've run so yeah, I was actually going to do a little transplanting while I was
[10:14.420 --> 10:21.780]  With you guys today and kind of just show you which one like I told you I had some some blacks and some greens
[10:21.780 --> 10:24.820]  I really don't think I have the Reds and I was gonna
[10:25.500 --> 10:29.100]  You know just show you like why I think I have the black and green
[10:29.540 --> 10:33.620]  Variations and then show you which ones the where the Pam is actually
[10:37.670 --> 10:45.110]  Well, yeah, oh no you went and mute there Nick you gotta unmute yourself, I think it's um you're some dead. Oh, sorry sorry
[10:46.190 --> 10:51.310]  So yeah, I'm gonna just show you guys which ones the Pam's have kind of like you know been
[10:54.670 --> 10:56.750]  Her dominant with
[10:57.190 --> 11:00.830]  this or black leaning and then
[11:01.350 --> 11:06.830]  Cuz I don't I think I may have one variation of the red in there, but you know you never know till you flower
[11:11.760 --> 11:17.040]  Exactly so mr.. Trees. Did you want to go go back on it?
[11:18.160 --> 11:20.160]  Yeah, no so
[11:20.320 --> 11:26.720]  I'm lucky with temperatures and stuff so I run LEDs so I have to run things a little hotter in general
[11:26.720 --> 11:30.120]  So I'm on my temperatures are usually in the 80s. I'm like 82
[11:30.600 --> 11:36.440]  You know eight somewhere between 79 and 85 during the day somewhere in that realm
[11:38.080 --> 11:43.960]  It night temperatures can drop down to 60 65 70 degrees something like that
[11:45.560 --> 11:48.160]  You know with the with the drop of climate and stuff like that
[11:48.160 --> 11:51.880]  It's the the humidity stays good the way I design my rooms and stuff like that
[11:51.880 --> 11:53.600]  I can kind of take advantage of
[11:53.600 --> 11:59.400]  You know the outside air and push things through nice and clean, and I don't usually have too much of an issue
[11:59.400 --> 12:05.400]  I always had more issues with heat and running running different types of electronics and things to cool the room and
[12:05.800 --> 12:11.660]  You know humidify the room and all that stuff before I switch to my LED setup and after I got LEDs my biggest problem
[12:11.660 --> 12:14.960]  Is in the winter time is trying to get more heat inside the room
[12:14.960 --> 12:19.120]  You know because they don't put out as much heat as the the old-fashioned stuff, so
[12:20.080 --> 12:25.000]  I'm usually somewhere between 80 80 and 85 and
[12:26.200 --> 12:27.680]  60
[12:27.680 --> 12:30.920]  65 and 72 somewhere in there at night, so
[12:31.800 --> 12:38.360]  Pretty cool humidity is usually pretty you know it's always above always above 60% so that's always good
[12:38.360 --> 12:40.440]  You know I can be somewhere, but I can be as low as as
[12:41.080 --> 12:45.360]  55 you know you know in some of the some of the summer days
[12:46.000 --> 12:50.280]  I could be as high as 90% in some some capacity
[12:50.280 --> 12:55.620]  You know some foggy foggy weeks and stuff like that, but just depends kind of how much
[12:55.620 --> 12:57.760]  I'm pushing how many plants are in there how big they are
[12:58.680 --> 13:03.300]  How much they're breathing you know stuff like that, but I got I got temperature control
[13:03.300 --> 13:07.800]  You know exhaust fans and things like that all over the place as soon as certain certain things hit
[13:08.080 --> 13:11.440]  Certain temperatures and parameters fans kick on things move off
[13:12.280 --> 13:14.680]  Moves the air evacuate stuff out so
[13:15.440 --> 13:19.860]  But I run a little hotter. You know in the 80s most of the time which is pretty cool
[13:20.920 --> 13:23.340]  So like that would be like late 20s
[13:23.920 --> 13:27.960]  So and so you're probably pushing in like 75 humidity
[13:33.320 --> 13:38.340]  You know but like I said as soon as soon as it hits certain temperatures depending on the time of year
[13:38.860 --> 13:44.660]  The air pretty pretty frequently you know what I mean with outside air so everything comes in and I get clean fresh air
[13:44.940 --> 13:46.220]  You know
[13:46.220 --> 13:48.220]  multiple times a day
[13:48.780 --> 13:53.120]  Which is pretty nice, so I don't have to like control the actual room
[13:53.120 --> 13:55.420]  I just got to keep the room from getting too fucked up
[13:55.420 --> 13:58.860]  You know what I mean, and I can I can refresh you with outside. You know what I mean
[13:58.860 --> 14:05.860]  It's it's pretty it's it's awesome because I go home back home to Arizona or we go to New York back to New York
[14:06.140 --> 14:09.300]  It's like man, there's a whole nother ballgame we got to turn on different things
[14:09.300 --> 14:12.900]  We got a you know we really got to take take a little extra. You know
[14:14.100 --> 14:19.660]  Extra precautions, and you know spend a little extra money, but here I can get away with it. Which is really nice
[14:19.660 --> 14:21.300]  It's one of the
[14:21.300 --> 14:26.140]  One of the godsands for having a good climate to live in you know never too hot never too cold
[14:26.780 --> 14:33.260]  Yeah, I mean, I'm jealous of you Americans being able to move to move to anywhere on that sunshine belt, man
[14:33.260 --> 14:36.540]  It's like it's cold here up in Canada
[14:43.940 --> 14:45.140]  Good
[14:45.140 --> 14:51.260]  But yeah, that's that and like I said, I just pushed some some of those ice cream cake Canada hearts into flour
[14:52.020 --> 14:55.100]  So you know maybe next week or so we'll pull one out
[14:55.100 --> 14:58.940]  Well, we'll take a look at a couple of those and see see how they're developing
[14:58.940 --> 15:05.340]  They had a nice little cakey smell those rounder leaves kind of like you have going on there a little bit tighter tighter
[15:05.340 --> 15:11.060]  No, it's really tight. You know really stout for most for the most part the males were all already
[15:11.060 --> 15:14.260]  You know those were the ones that jumped up. You know I mean like as per usual
[15:15.460 --> 15:21.820]  But yeah, that's that's kind of where I'm at with those and getting prepped and ready for the outdoor year
[15:22.700 --> 15:27.420]  Here and getting all the vegetable beds ready. I got all these which reminds me
[15:28.940 --> 15:30.940]  cheap little thing
[15:30.940 --> 15:32.940]  How many of you guys do this?
[15:34.820 --> 15:36.820]  But
[15:37.020 --> 15:39.620]  Old milk jugs old water bottles
[15:40.140 --> 15:44.660]  Old shit like this. I'm constantly you know over over the month period
[15:44.660 --> 15:49.460]  I have like little benches, and they're all full of these little jugs stacked stack butt to butt
[15:49.460 --> 15:50.220]  You know what I mean?
[15:50.220 --> 15:54.980]  They'll just be stacked up butt to butt all the way over they got a little label with their duct tape on there
[15:55.060 --> 16:00.180]  And it's like bell peppers the sweet pointy bell peppers you know the popping corn
[16:00.780 --> 16:03.300]  the you know here's here's some of the
[16:04.060 --> 16:08.660]  Here's some of the mulberry cuttings that are in the mulberry one here on this table here
[16:08.660 --> 16:10.860]  But I got hundreds of these little things
[16:10.860 --> 16:14.180]  And I don't know if anybody else can't sprout seed like this
[16:14.180 --> 16:19.500]  But some my outdoor stuff especially like when it's cold out, and I'm just coming out of winter
[16:19.500 --> 16:22.380]  We still got frosty days. You know ahead of us and stuff like that
[16:22.380 --> 16:25.500]  I'll crack open some milk jugs or some water bottles
[16:25.500 --> 16:30.020]  And I'll cut their heads almost off so I can fold them open fill them with a little bit of moist soil
[16:31.020 --> 16:34.060]  Plant my seeds right now. I'm gonna plant these little
[16:36.980 --> 16:41.460]  Sweet pointy bells you know there's some label inside the cup there sweet pointy bell
[16:42.300 --> 16:44.300]  These are orange and yellow
[16:44.540 --> 16:48.780]  Peppers they're they're like bell peppers except. They're pointy and long and they're delicious
[16:49.780 --> 16:55.220]  But yeah, I always do this and as soon as you get this get them planted you pull the top back on throw a piece
[16:55.220 --> 17:00.820]  Of duct tape around it or whatever tape around it throw this outside, and then as soon as there's no droplets
[17:01.380 --> 17:04.340]  On here after the first day or so there'll be a bunch of droplets
[17:04.340 --> 17:09.980]  It'll be like that you know a dome a friggin clone dome bunch of droplets will collect on the on the outside right there
[17:09.980 --> 17:11.140]  And when there's no more droplets
[17:11.140 --> 17:16.100]  That's when you know you need to water right and then as soon as they're you know soon as they're starting to poke out of
[17:16.100 --> 17:20.260]  The top or you got some good plant growth in there, and there's no more frosty nights
[17:20.700 --> 17:24.020]  Ahead of you you just crack this puppy back open peel open the tape
[17:24.140 --> 17:28.500]  And you can break off the little plants that are in here and just plant those or
[17:28.660 --> 17:32.060]  Plant this or whatever you want to do, but you can start all kinds of stuff
[17:32.060 --> 17:35.920]  Just using the old milk jugs or the old water bottles and the old duct tape method
[17:35.920 --> 17:40.480]  But I've got tons of old tables because they're perfect squares with those water bottles
[17:40.700 --> 17:44.400]  And I just got tons of tables. It's just like watermelons cucumbers
[17:44.760 --> 17:51.320]  You know cantaloupes, you know whatever so I've been I've been making a bunch of those lately and making sure I had a new breed your
[17:51.320 --> 17:52.640]  own peppers
[17:52.640 --> 17:56.240]  Yeah, I do. Yeah, I do corn corn is what I've been working on last couple years
[17:57.280 --> 17:59.080]  There was a period in time
[17:59.080 --> 18:03.040]  Several years back where I did a lot of different pepper projects and pepper breedings
[18:03.040 --> 18:04.720]  You know I used to work at a nursery
[18:04.720 --> 18:11.280]  And I got a question I ever people always keep for me is like how do you because peppers are all all?
[18:12.080 --> 18:14.080]  Self-propagating
[18:16.200 --> 18:18.200]  How the fuck do you cross
[18:19.600 --> 18:25.640]  Like it sounds like so one likely to happen how do you cross it if it's already right like right next to itself
[18:25.640 --> 18:29.560]  It's just like there's some sort of science involved like what do you do?
[18:30.880 --> 18:34.580]  Well like peppers and other things it's about I mean
[18:35.480 --> 18:37.160]  planting multiple
[18:37.160 --> 18:43.320]  Different types of peppers close together and letting them kind of co-mingle in that in that environment something
[18:43.320 --> 18:49.240]  That's like the easy way. You don't really you don't really know like like your exact success rates
[18:49.400 --> 18:51.400]  but in planning the offspring of
[18:51.800 --> 18:52.780]  situations like that
[18:52.780 --> 18:58.040]  You know where you plant two different kinds like a few of each kind plant really close together like in the same pot
[18:58.040 --> 19:00.040]  Other things like that there
[19:00.480 --> 19:02.480]  You're getting breeding
[19:03.240 --> 19:05.240]  So if you just want to do it like on a fun
[19:05.240 --> 19:12.760]  Like you know scale like mixing things that way and not really worrying about it is an easy way to do it
[19:13.080 --> 19:17.760]  Just plant the seeds of everything that you like the ones that you that you really enjoy eating
[19:18.280 --> 19:23.360]  planting those those ones and making sure that you're kind of doing that that type of selection, but like
[19:24.000 --> 19:26.000]  corn and you know or
[19:27.200 --> 19:31.720]  Citrus or any of those other things you got to do a little bit. You know more
[19:32.680 --> 19:38.320]  Collected and tossing pollen on things and isolating stuff and being a little bit more
[19:38.560 --> 19:43.080]  you know hands-on breeding breeding wise you know what I mean, but usually with the peppers and
[19:44.560 --> 19:45.920]  Like the
[19:45.920 --> 19:49.240]  Zucchinis and all those other things you know you plant things close together
[19:49.240 --> 19:52.840]  And you're planting the offspring of those and you do that for a couple generations
[19:53.000 --> 19:57.760]  You know what I mean of getting those offspring out, and you've you've come out with something
[19:58.280 --> 20:03.080]  That you can kind of take the seeds from and that you've kind of mutated in some some form or fashion
[20:03.080 --> 20:06.160]  You know what I mean, which is kind of cool, but I just keep a lot of the seeds around
[20:06.920 --> 20:08.600]  Just so that I can grow food
[20:08.600 --> 20:12.520]  You know what I mean and all the all the best food that I eat you know throughout the year
[20:12.520 --> 20:18.120]  I save the seeds from that and I continue on and then like the popping corn is something that I was like a
[20:18.680 --> 20:22.200]  That's a project that I've been making you know the last several years
[20:22.760 --> 20:24.760]  Just making a multicolored
[20:25.040 --> 20:30.000]  Popping corn you know there's reds and purples and there's white and
[20:30.480 --> 20:37.040]  There's the gold and then there's like these kind of mixed colors of all those you know you can almost get some pinks in there
[20:37.040 --> 20:40.740]  And some other kind of like you know mcgreen you can get green to come out in there
[20:40.740 --> 20:44.440]  Which is kind of cool so over the last few years. I've been working on a mixed kernel
[20:44.960 --> 20:49.280]  Popping corn so you pull out that you got you got a colorful bag of popping corn
[20:49.280 --> 20:53.600]  You know and you have some that you isolate down to single colors red
[20:54.160 --> 21:00.080]  You know purple and white and whatever so that you can kind of you know have the individuality
[21:00.600 --> 21:05.880]  But I'd love to have you know just a cool cob of multicolored popping corn that just went in the bag
[21:05.880 --> 21:10.040]  I think that's cool. You know some rainbow corn my kids like it everybody you
[21:10.040 --> 21:12.640]  I don't know if anybody's ever grown their own popping corn and like
[21:13.040 --> 21:18.600]  it's like it's the same thing as regular corn a little smaller smaller kernels, or I mean smaller cobs and
[21:19.000 --> 21:24.000]  You know you just you let them dry on the vine instead of harvest them early
[21:24.000 --> 21:28.500]  And then you shuck them when they're really dry and you put them in a pot with some friggin
[21:28.720 --> 21:34.000]  Oil and cover it up and pop that pop that shit and then put some fucking butter on it, man
[21:34.000 --> 21:36.000]  It's the best shit in the world you know I mean so
[21:36.560 --> 21:41.720]  Once you pop your own corn you never go back, so I've been I've been doing that with some Maryland popping corn
[21:42.520 --> 21:43.880]  directionally, but
[21:43.880 --> 21:48.360]  Yeah, man every year. We do something. You know guys got to get planted. You know
[21:48.600 --> 21:50.600]  I'm
[21:53.680 --> 21:55.680]  Had this obsession
[22:00.960 --> 22:02.480]  Popcorn
[22:02.480 --> 22:06.800]  Popping corn like what you get on the shelf like your regular everyday
[22:07.320 --> 22:10.520]  Popping corn the only reason why that specific
[22:11.200 --> 22:15.520]  Variety is on the shelf is because of the yield the amount of
[22:15.920 --> 22:22.600]  Pop per piece and the quality that they get per square foot it has nothing to do with the actual quality
[22:23.240 --> 22:24.640]  taste
[22:24.640 --> 22:29.920]  Like it's only to do with the yield. That's it. It's got nothing to do with it being enjoyable at all
[22:29.920 --> 22:35.160]  Which is just mind-bendingly up in my mind to think about because it's a food
[22:35.160 --> 22:38.800]  Yeah, you consume right so I thought it'd be so like ten years ago
[22:38.800 --> 22:41.960]  I was like it'd be so cool to do like a multi color popping because they all
[22:42.400 --> 22:47.560]  The different colors can actually influence different shape of the pop to you get longer yes
[22:48.640 --> 22:50.640]  It's
[22:53.120 --> 22:55.120]  There's a specific type of like
[22:55.600 --> 23:02.040]  Like caramel corn the the stuff you make caramel corn out of that you would eat would put caramel on it is a denser
[23:02.040 --> 23:06.680]  Current popped once it's popped out. It's a denser kernel that comes out of there
[23:06.680 --> 23:10.360]  That's just harder rounder and then just more of a meaty
[23:10.960 --> 23:16.840]  Beautiful you know type kernel, and then there's things like the baby white kernels where they just barely a pop
[23:16.840 --> 23:19.740]  And it's just like this busted open little white thing
[23:19.740 --> 23:21.200]  You know I mean it doesn't have any shape
[23:21.200 --> 23:27.040]  And it's very light and airy and has its other type of you know flavors and complexities that it that it acts
[23:27.040 --> 23:29.840]  It just like cannabis. You know what I mean you're gonna have some dense buds
[23:29.840 --> 23:33.280]  You're gonna have some open bud structure. You're gonna have some smaller buds
[23:33.280 --> 23:38.040]  You're gonna have some giant buds cool cool thing and the variability in those different types of kernels
[23:38.040 --> 23:44.440]  Especially when they're popped out there. They're they're used for different purposes. You know just like that caramel corn is the good example
[23:44.440 --> 23:47.040]  It's a specific one that pops this way
[23:47.400 --> 23:52.280]  That is great for caramel corn and holds the holds the processing and all that stuff
[23:52.280 --> 23:55.340]  It doesn't break down and all that other stuff. You know which is kind of neat so
[23:55.880 --> 23:57.880]  Yeah, that plants plants rule. I
[23:58.800 --> 24:00.960]  Got a question for you, mr.. Trees
[24:01.960 --> 24:03.960]  so
[24:04.480 --> 24:07.760]  So you know I like to switch between
[24:08.520 --> 24:10.520]  you know like me I use a
[24:11.200 --> 24:14.640]  Neem and Karanja you know for my outdoor
[24:16.200 --> 24:19.560]  IPM and do you use like em5 or
[24:20.760 --> 24:23.400]  Just sulfur anything like that like
[24:24.160 --> 24:26.400]  Just wondering what kind of regimens you use
[24:27.280 --> 24:32.160]  Yeah, I don't I stop I don't use any any neem oils or anything outside
[24:32.160 --> 24:37.000]  I don't usually use anything like that. I use less oils outside because
[24:37.920 --> 24:42.320]  Once I'm above 85 degrees or 80 degrees. It's just it's just more dangerous
[24:43.960 --> 24:49.480]  You know it's just it's just something that I don't like to like to do as much so while they're young
[24:49.920 --> 24:54.080]  You know I'll use things like sulfur like I like sulfur. I like soap
[24:54.280 --> 24:59.800]  There's like you know potassium salt fatty acids, you know like you know for products that have it in it
[24:59.800 --> 25:02.200]  There's various other things you can make it
[25:02.960 --> 25:07.200]  Just it's like a soap. You know it did hydrates things, but I like the sulfur
[25:07.840 --> 25:11.040]  Like a liquid sulfur or something while they're all young growing them up
[25:11.840 --> 25:13.920]  Because it does everything you know what I mean
[25:15.800 --> 25:18.080]  It takes care of it takes care of business
[25:18.840 --> 25:24.960]  Sulfurs a safe element it's used by it can be used by the plant a lot of different ways. It's like I use
[25:26.120 --> 25:28.120]  for the most part and then
[25:28.600 --> 25:34.280]  Every once and again if I don't have any sulfur or I'm out of something I use the I'll use this
[25:34.880 --> 25:40.720]  It's like an organist. It's called organoside or something like that, and it's just it's like a sesame oil
[25:41.360 --> 25:43.360]  fish oil mixture
[25:43.480 --> 25:47.680]  And it's yeah, the oil or you know mineral oil
[25:48.560 --> 25:52.440]  You know any type of oil? Yeah, that's just used as a suffocant, and you know
[25:53.480 --> 25:57.920]  So sometimes I'll use that but if you're using sulfur you don't want to use oils together
[25:58.240 --> 26:01.520]  So usually right right usually I'm using sulfur you know
[26:02.800 --> 26:07.360]  Spraying all the time. I'm pretty I'm pretty proactive like while they're young and
[26:07.800 --> 26:13.000]  While they're getting going and as soon as I get close to entering flower. I mean before I enter flowers
[26:14.000 --> 26:16.400]  You know they get they get one last spray
[26:16.400 --> 26:19.200]  You know a week or two before they're gonna go go into flower
[26:19.200 --> 26:24.440]  And then I take my cuttings to go inside for the winter and then they flatten and they go into flower
[26:24.440 --> 26:27.120]  And then I don't never spray them again
[26:27.120 --> 26:31.880]  Then the mosquito nets go up in on the on the person if you don't if you don't have a hoop
[26:32.080 --> 26:34.080]  Or they're not in the greenhouse
[26:34.200 --> 26:36.440]  And you got them out in the open open air
[26:36.960 --> 26:42.000]  Then bud worms are gonna be your problem. That's my biggest best my biggest nemesis to hell
[26:43.160 --> 26:48.880]  Yeah, I hate spraying stuff on the flowers like I just I don't like using me too even though that's I won't do it
[26:48.880 --> 26:50.880]  You can use is BT
[26:51.160 --> 26:55.440]  Spin a sad yeah, I rather just pick them out nothing else you can do it you pick them out
[26:55.440 --> 26:58.960]  You're still gonna get friggin bud rot. You're still gonna be throwing buds away at the end
[26:58.960 --> 27:00.960]  I mean if you're picking out worms you've already lost
[27:01.920 --> 27:04.920]  Yeah, I lost that battle for the most part so
[27:05.440 --> 27:12.060]  There's these things called dyna dyna tap or dyna lights, and I got one yeah electric bug lights you hang them out all year
[27:13.060 --> 27:14.540]  Down and
[27:14.540 --> 27:17.540]  Then and then as soon as they go into flower I put up hoops
[27:17.540 --> 27:19.020]  I get PVC hoops
[27:19.020 --> 27:25.700]  And I put hoops yo and then I and I cover the most important ones with the mosquito netting and the mosquito netting lets everything
[27:25.700 --> 27:27.700]  Breathe keeps light through
[27:27.740 --> 27:32.480]  Protects them gives them a little and gives them everything that they need as long as I keeping them up high on hoops
[27:32.480 --> 27:36.540]  It's like the best thing in the world and I can keep those up all the way through flower till they finish
[27:36.540 --> 27:41.700]  And I never have to spray a goddamn thing on the flowers, and I get the fire to come out which is killer
[27:42.380 --> 27:44.380]  It's kind of a pain
[27:46.380 --> 27:48.380]  Make sure you go do you get it from
[27:50.500 --> 27:56.260]  Fabric stores like there's different fabric stores like Joanne fabrics and like Walmart order it for you
[27:58.340 --> 28:03.620]  Amazon's probably the best way you know unless you're you know against the you know the Amazon
