[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[16:05.680 --> 16:09.800]  now they're also tacking on like $10 per gram of product,
[16:09.800 --> 16:13.360]  whether it's flour, concentrate and $100 per plant.
[16:14.440 --> 16:16.160]  So it just becomes more and more
[16:16.160 --> 16:20.640]  of an extraction method for finances.
[16:20.640 --> 16:24.680]  The email that was sent out by Ben Rice's law office
[16:24.680 --> 16:26.920]  was saying that in one case,
[16:26.920 --> 16:30.520]  a grower had almost a million dollars in fines.
[16:32.240 --> 16:34.400]  And so they're spending all this money on enforcement
[16:34.400 --> 16:37.320]  trying to collect money from people that don't have money.
[16:37.320 --> 16:40.480]  So on the books, they can report the issue
[16:41.400 --> 16:43.160]  multimillion dollars worth of fines.
[16:43.160 --> 16:45.480]  I'd like to see how many people are actually
[16:45.480 --> 16:47.640]  going to cough up that sum of money
[16:47.640 --> 16:49.280]  and where they're gonna get it from
[16:49.280 --> 16:51.520]  becomes a whole other question.
[16:51.520 --> 16:54.160]  So this year, the tactics have changed a little bit more.
[16:54.160 --> 16:57.400]  Aside from raising all the fees
[16:57.400 --> 17:01.880]  that they are able to leverage in terms of citations,
[17:01.880 --> 17:03.320]  they've also edited all the rules
[17:03.320 --> 17:07.520]  about the appeals process
[17:07.520 --> 17:11.000]  and just turned it into a bigger kangaroo court.
[17:11.000 --> 17:14.200]  Now they get to decide what is evidence
[17:14.200 --> 17:15.720]  and what isn't evidence.
[17:15.720 --> 17:20.720]  And they've narrowed the scope
[17:21.360 --> 17:23.640]  of what constitutes an appeal.
[17:23.640 --> 17:26.680]  It becomes this situation
[17:26.680 --> 17:28.880]  where you have to reach into your pockets
[17:28.880 --> 17:31.200]  deeper than ever to defend
[17:31.200 --> 17:33.640]  because in order to acquire justice,
[17:33.640 --> 17:36.560]  you need to spend a ton of money and lobby.
[17:36.560 --> 17:41.560]  And that becomes an injustice when you're running around
[17:41.960 --> 17:44.320]  and crippling people financially.
[17:44.320 --> 17:47.440]  And they've been doing so for a number of years
[17:47.440 --> 17:48.840]  and add to it.
[17:48.840 --> 17:53.040]  So in one of the cases that I know that took place
[17:53.040 --> 17:55.240]  the other day, they showed up on the property
[17:56.240 --> 17:59.080]  after going to serving warrants at other properties,
[17:59.080 --> 18:00.960]  and they knew that there was some guy
[18:00.960 --> 18:03.840]  who they claimed had a lot of infrastructure
[18:03.840 --> 18:04.920]  on this property.
[18:04.920 --> 18:07.240]  That was basically the evidence.
[18:07.240 --> 18:09.520]  He had a lot of infrastructure on this property.
[18:09.520 --> 18:11.920]  So they knew that he was cultivating
[18:11.920 --> 18:14.240]  and he had two options.
[18:14.240 --> 18:17.320]  One, he could self abate with them right now
[18:17.320 --> 18:18.640]  and let them onto his property
[18:18.640 --> 18:20.880]  and let them cut down all his plants,
[18:20.880 --> 18:24.000]  or they were just gonna go and get one of these
[18:24.000 --> 18:27.440]  kangaroo judges to sign off on these nonsensical
[18:27.440 --> 18:29.960]  search warrants and then come back
[18:29.960 --> 18:34.960]  and issue thousands and thousands of dollars in fines.
[18:36.120 --> 18:39.160]  So that was one of the stories that took place.
[18:39.160 --> 18:40.840]  That's why I was really being adamant
[18:40.840 --> 18:44.640]  about people not contemplating searches.
[18:44.640 --> 18:48.040]  So what, if they tell you that they're coming back,
[18:48.040 --> 18:49.720]  it's gonna take them like three to five days
[18:49.720 --> 18:52.520]  to get that search warrant, if it's even granted.
[18:52.520 --> 18:55.800]  And in that time, if you are out of compliance,
[18:55.840 --> 18:58.280]  use it wisely and get into compliance,
[18:58.280 --> 19:02.320]  but don't roll over and keep empowering them
[19:02.320 --> 19:07.320]  because every time they get to cut down a bunch of plants,
[19:07.360 --> 19:10.120]  they get to spend a bunch of tax dollars
[19:10.120 --> 19:12.840]  on their hazard pay or overtime hours
[19:12.840 --> 19:14.880]  or whatever fees they're getting
[19:14.880 --> 19:17.040]  to come out onto your property,
[19:17.040 --> 19:19.000]  which is just adding to their bottom line.
[19:19.000 --> 19:20.640]  And then they get to tell the story that,
[19:20.640 --> 19:23.680]  oh, we eradicated this, that, and the third
[19:23.680 --> 19:26.880]  and looked at all these bad actors.
[19:26.880 --> 19:29.720]  And based on the conversations with the people
[19:29.720 --> 19:31.920]  that I have spoken to that have been rated,
[19:33.320 --> 19:35.920]  they're not going anywhere and it's gonna get worse.
[19:35.920 --> 19:38.680]  And that's what I was warning people about last year,
[19:38.680 --> 19:40.200]  based on other conversations.
[19:40.200 --> 19:41.640]  A lot of the people that I know that settled
[19:41.640 --> 19:43.840]  with the county were told the same thing.
[19:43.840 --> 19:45.280]  Yeah, expect a visit next year.
[19:45.280 --> 19:46.560]  This is just gonna get worse.
[19:46.560 --> 19:47.560]  We're gonna turn up.
[19:47.560 --> 19:48.440]  They didn't call it worse,
[19:48.440 --> 19:49.680]  because for them it's better,
[19:49.680 --> 19:51.320]  but they said that we're going to be active
[19:51.320 --> 19:53.080]  and we're gonna be coming back.
[19:53.480 --> 19:54.320]  And that was the same message
[19:54.320 --> 19:56.000]  that was being sent out the other day,
[19:56.000 --> 19:58.400]  that like, this is just the start.
[19:58.400 --> 20:00.920]  And if you read a lot of the headlines
[20:00.920 --> 20:03.480]  and hear what comes out of their mouth,
[20:03.480 --> 20:04.760]  they're trying to say that,
[20:04.760 --> 20:06.920]  they're trying to blame a lot of their like,
[20:06.920 --> 20:09.600]  lack of a windfall financially
[20:09.600 --> 20:13.760]  on traditional market actors who are not licensed.
[20:13.760 --> 20:15.240]  Well, it's kind of a catch-22.
[20:15.240 --> 20:17.040]  If you're not gonna license anybody,
[20:18.040 --> 20:22.040]  you think that 40 old growers in the hill
[20:22.040 --> 20:26.160]  are gonna suddenly line up to get 15, $20 an hour jobs,
[20:26.160 --> 20:29.120]  working for some cannabis factory.
[20:30.120 --> 20:32.280]  That just doesn't happen.
[20:34.040 --> 20:37.320]  And so what I would like to see
[20:37.320 --> 20:42.320]  is a real concerted effort at the local level.
[20:42.320 --> 20:45.320]  And I wanna see a lot more grassroots organization
[20:45.320 --> 20:47.240]  amongst growers so that we can really work
[20:47.240 --> 20:52.000]  to achieve the change that we would like to see.
[20:52.960 --> 20:55.160]  And I think a lot of that is gonna begin with us first,
[20:55.160 --> 21:00.160]  just compiling a database and start to analyze the tools
[21:01.760 --> 21:04.720]  and the constructs of power that they are leveraging.
[21:04.720 --> 21:07.280]  Because if you look across the state,
[21:07.280 --> 21:10.400]  if I wanna talk to county growers from different counties,
[21:10.400 --> 21:12.280]  everybody has a different experience.
[21:12.280 --> 21:13.560]  Some people are mad at the state,
[21:13.560 --> 21:17.000]  some people are mad at the county.
[21:17.000 --> 21:20.560]  People are being frustrated at different points.
[21:20.560 --> 21:22.480]  And the stories aren't the same.
[21:23.520 --> 21:27.440]  What one county is using as a means of stonewalling
[21:27.440 --> 21:30.280]  and preventing any progress for growers
[21:30.280 --> 21:33.440]  isn't the same tool that is being deployed
[21:34.280 --> 21:35.280]  in other counties.
[21:35.280 --> 21:38.560]  And some people are mad at Prop 64.
[21:38.560 --> 21:39.960]  I don't like Prop 64,
[21:39.960 --> 21:43.520]  but the state's regulations have yet to stand in my way.
[21:44.800 --> 21:48.720]  And from my experience dealing with the Ag Department
[21:48.720 --> 21:49.800]  and with hemp licensing,
[21:49.840 --> 21:52.200]  which was the route that I went to in the meantime,
[21:53.120 --> 21:54.960]  it was pretty straightforward
[21:54.960 --> 21:59.560]  and it wasn't too onerous financially.
[21:59.560 --> 22:02.400]  I would like to see that sort of same type of policies
[22:02.400 --> 22:03.640]  being applied to cannabis
[22:03.640 --> 22:05.480]  and see cannabis treated as a crop
[22:07.000 --> 22:10.960]  rather than something special.
[22:10.960 --> 22:15.360]  It's a crop and it should be treated as such
[22:15.360 --> 22:20.360]  so that more economic opportunity can be had.
[22:20.400 --> 22:22.200]  And it really pisses me off when they say that,
[22:22.200 --> 22:26.160]  oh, this is gonna be great for the economy.
[22:26.160 --> 22:27.000]  Yeah, yeah.
[22:27.000 --> 22:28.720]  So let's take away a thousand,
[22:28.720 --> 22:30.720]  a hundred thousand dollar a year jobs
[22:30.720 --> 22:35.560]  and replace them with $2,015, $20 an hour jobs.
[22:37.280 --> 22:39.160]  How is that good for the economy?
[22:39.160 --> 22:41.720]  And I think that one of the things that bugs me too
[22:41.720 --> 22:43.800]  is that a lot of business owners
[22:43.800 --> 22:46.080]  who have for a long time benefited
[22:46.080 --> 22:50.600]  from the presence of grower populations remain silent.
[22:50.600 --> 22:53.160]  They're scared to rock the boat.
[22:53.160 --> 22:56.320]  They're scared to, and the ones that I've pressed about it,
[22:56.320 --> 22:59.840]  like, hey, your business is down huge
[22:59.840 --> 23:02.080]  because of the action of the county.
[23:04.080 --> 23:07.400]  They admit that they're scared to rock the boat.
[23:07.400 --> 23:10.120]  And the few times that they have broached the subject
[23:10.120 --> 23:13.640]  with the politicians is politicians just tell them
[23:14.640 --> 23:17.720]  to hold on, it's gonna get better, it's gonna change.
[23:17.720 --> 23:21.120]  But bad policy that continues to be enforced
[23:21.120 --> 23:22.680]  isn't what do they think?
[23:22.680 --> 23:26.080]  They're gonna keep fighting all like the mountain growers
[23:26.080 --> 23:27.320]  out of existence.
[23:27.320 --> 23:29.480]  And then suddenly everybody's gonna be lining up
[23:29.480 --> 23:34.160]  for $90, eights of commercial craft.
[23:34.160 --> 23:37.400]  Like, I don't see that.
