[00:00.700 --> 00:08.700]  All right, good morning. Welcome to the East Bay Sea Collective show.
[09:35.390 --> 09:41.390]  I mean, I've, you know, kind of stabilized that autoflower that I was given.
[09:42.390 --> 09:50.390]  And, you know, people hit mid 20s THC, sometimes upper 20s, you know, we hit like 3% terpenes on it.
[09:51.390 --> 09:53.390]  It's an incredible autoflower.
[09:53.390 --> 09:59.390]  And we use that to cross into other full-term genetics.
[10:00.390 --> 10:04.390]  And I bred those early and then cross them with some ones I got in seed trades.
[10:05.390 --> 10:17.390]  And, you know, now we have, I mean, I have just under 300 autoflowering seed lots and another 300 partial autoflowering seed lots.
[10:18.390 --> 10:30.390]  And it's also nice too, because people who can't grow a big full-term plant or they're older, they just need a smaller plant, they want an easier, quicker way to get their medicine or their smoke.
[10:31.390 --> 10:34.390]  I really love autoflowers. They're really fun. They're really unique.
[10:35.390 --> 10:41.390]  And, you know, unless you're trying to do commercial depths, you can find a way to, you know, fit them into your garden.
[10:42.390 --> 10:45.390]  Now, how would you recommend people fit them into their garden?
[10:46.390 --> 10:49.390]  Well, you know, I recommend all the time.
[10:50.390 --> 10:56.390]  I mean, even if you've got a little veggie garden in your backyard and you're afraid to grow cannabis, you know, put an autoflower back in there, you know.
[10:57.390 --> 11:08.390]  Or, you know, or if you've got your medical card or your rec card, wherever, if you're in a state where you can legally grow, they usually don't count your plant count.
[11:08.390 --> 11:11.390]  They usually don't count your plant count until they're flowering.
[11:12.390 --> 11:15.390]  So if you've got your big plants, you can grow an autoflower.
[11:16.390 --> 11:21.390]  It's already harvested before your big plants start flowering, and you can get that in with your plant count.
[11:22.390 --> 11:27.390]  Or, you know, if you're, let's say you're a commercial farmer and you're just doing outdoor, same thing.
[11:28.390 --> 11:31.390]  They don't, the metrics don't count your canopy until it's flowering.
[11:32.390 --> 11:35.390]  And flowering is like, I think it's like maybe a dime-sized bud on it.
[11:35.390 --> 11:46.390]  So you can get an autoflower harvest in before, or if you're new to growing, or if you have a balcony, you know, you can put an autoflower in a five-gallon pot in your balcony.
[11:47.390 --> 11:52.390]  You know, you could take them inside and outside if you were concerned about it.
[11:53.390 --> 11:56.390]  So they're really, yeah, what is it, the root world, they're really hardy.
[11:57.390 --> 12:01.390]  They can really grow anywhere under any low light conditions, shady conditions.
[12:02.390 --> 12:11.390]  You know, if you don't have a lot of sun in your backyard, or if you're in, you know, an area in the world where you've got that shorter season that ends, you know, in September.
[12:12.390 --> 12:18.390]  Or, and you can, you time that autoflower to finish in your best month, and you're going to get some quality herb.
[12:19.390 --> 12:20.390]  For sure.
[12:21.390 --> 12:29.390]  When, I mean, it sounds like the recommendation is just to kind of stagger and have them planted all the time.
[12:30.390 --> 12:37.390]  Is there like a specific, are there like certain times you really recommend like putting them in the ground, like those sorts of things for outdoor?
[12:38.390 --> 12:43.390]  Yeah, I mean, it really depends on where you are.
[12:43.390 --> 12:52.390]  I mean, I like to, for me too, it's, you know, there's also, I try to get like one good run of autos in so I don't start them too early.
[12:53.390 --> 12:54.390]  Okay.
[12:54.390 --> 12:57.390]  You know, so I kind of wait until it gets a little warmer in spring to start my seeds.
[12:58.390 --> 13:01.390]  Because then you're going to get that best, you know, 70 to 100 days out of it.
[13:02.390 --> 13:07.390]  But if you're, you know, some people that are trying, oh, I'm trying to replant with clones in July.
[13:08.390 --> 13:11.390]  Well, then you might want to start yours a little earlier if you're using the same space.
[13:12.390 --> 13:15.390]  I like to have my auto flowers on the farm have their own space.
[13:16.390 --> 13:24.390]  It's just, there's no, so I can just let them do their thing, not have to have that anxiety or worry, oh, I need to get these out of here so I can get the next thing into it.
[13:25.390 --> 13:30.390]  But if you do, you know, you just, if you have that sort of a setup, you want to start them earlier.
[13:31.390 --> 13:37.390]  I also like to start up sometimes late.
[13:38.390 --> 13:41.390]  Like I'll start them in August to finish in November.
[13:42.390 --> 13:51.390]  Because I can, you know, I can, and I usually do that in a greenhouse up here just, and I usually, you know, for research, but I try to, the fall, the late runs can do really, really pretty.
[13:52.390 --> 13:57.390]  If you have the weather or a greenhouse for it, like you can get more of the colors.
[13:58.390 --> 14:02.390]  Because the summer run, you don't really get that nice fade in the auto flower.
[14:03.390 --> 14:12.390]  I mean, I've even done winter runs in greenhouses, and I've done them for breeding, and I've had clones and autos together in there, and you can really tell which ones are the clones.
[14:13.390 --> 14:15.390]  Because they're the ones that aren't really forming nice buds.
[14:15.390 --> 14:24.390]  But the autos, even in winter with no supplemental lighting, with a little supplemental heating on the hard freeze nights, like the autos form buds.
[14:25.390 --> 14:26.390]  Interesting.
[14:27.390 --> 14:32.390]  Yeah, like people in LA, Southern California, you know, can grow autos year round in greenhouses.
[14:33.390 --> 14:46.390]  And so like when, let's say, to have some herb for August and September, what would you say the best time to start your autos would be?
[14:47.390 --> 14:51.390]  You know, probably for the 100 days, you know, April.
[14:52.390 --> 14:56.390]  And I focus a lot on 100-day autos.
[14:57.390 --> 15:00.390]  You know, because you get more yield from them.
[15:02.390 --> 15:04.390]  They transplant better.
[15:05.390 --> 15:09.390]  But we are breeding some, you know, 60- and 70-day autos as well.
[15:10.390 --> 15:14.390]  I mean, the 100-day, I'm 6'4", I've had autos as big as me in 90 days.
[15:15.390 --> 15:24.390]  Wow. Now, are those ones probably planted, like, the best part of the season, or can you get something like that and have it planted earlier in the year?
[15:25.390 --> 15:27.390]  That's usually the best part of the season, yeah.
[15:27.390 --> 15:34.390]  So, and it's also, autoflowers are not, you know, dependent on the photo period, but they are influenced by the photo period.
[15:35.390 --> 15:40.390]  So your, you know, your earlier runs might add a few days outdoors to their cycle.
[15:41.390 --> 15:46.390]  So, you know, in the summer ones, the ones that like finish in like the middle of summer where that light will be a little shorter.
[15:47.390 --> 15:49.390]  So that was a big part of the season.
[15:49.390 --> 15:56.390]  So, you know, in the summer ones, the ones that like finish in like the middle of summer where that light will be a little shorter.
[15:57.390 --> 16:05.390]  So that was that auto flower that was as tall as me, which was a lion claw, is normally 100 days, but it finished in 90 in the summer.
[16:06.390 --> 16:08.390]  I think I harvested that in August.
[16:09.390 --> 16:11.390]  So, July, June.
[16:12.390 --> 16:18.390]  Yeah, so I started that in May when it was like nice weather.
[16:19.390 --> 16:20.390]  Yeah, look at that.
[16:21.390 --> 16:26.390]  But you can, I mean, I've started them early. I've had these had snow on them and, you know, they're hardy.
[16:27.390 --> 16:33.390]  And it's, I mean, it sounds like one of the most, the cruxes of this, of autoflowers is the root zone.
[16:34.390 --> 16:40.390]  And getting this root zone as big as possible before the plant goes into flower, is that correct?
[16:41.390 --> 16:47.390]  Because I know like, you know, the root zone does not, you know, it has a certain amount of time that it's growing before it starts going into flower.
[16:48.390 --> 16:50.390]  And then that root zone is not going to be growing as vigorous.
[16:51.390 --> 17:02.390]  Is that a correct assumption as far as like getting these to be as big as possible, as quickly as possible, and possibly like vegging them inside for a certain amount of time and then transplanting it outside?
[17:03.390 --> 17:16.130]  Well, I mean, it's really, I just said, you know, it definitely, the root zone definitely affects the size of the plant, you know.
[17:17.130 --> 17:27.130]  So if you're growing in containers versus the ground, you know, and I wouldn't grow an auto in less than a five-gallon pot.
[17:28.130 --> 17:33.130]  Or in a hundred day, you know, you're better off in the 10-gallon pot.
[17:34.130 --> 17:39.130]  But we grow straight in the ground, except for certain breeding projects.
[17:40.130 --> 17:44.130]  And autos are transplant sensitive.
[17:45.130 --> 17:46.130]  They can be transplanted.
[17:47.130 --> 17:49.130]  You just can't miss the window on it.
[17:49.130 --> 18:04.130]  I've had the same results with direct sow in transtarting them in a four-inch pot, transplanting them into a one-gallon pot, and then one gallon into the ground.
[18:05.130 --> 18:08.130]  So that's another myth about autos, that they can't be transplanted.
[18:09.130 --> 18:11.130]  Well, they can, they're just transplant sensitive.
[18:12.130 --> 18:20.130]  And you have, you know, if you let them get root bound and they start flowering, well, yeah, you know, you gotta not let them get, which is tough to do.
[18:21.130 --> 18:22.130]  You gotta be on it.
[18:24.130 --> 18:25.130]  Interesting.
[18:26.130 --> 18:28.130]  So would you almost recommend direct sowing then?
[18:29.130 --> 18:34.130]  No, I mean, especially with a hundred, you know, that's why I also like the hundred day autos.
[18:35.130 --> 18:36.130]  They are more forgiving.
[18:37.130 --> 18:38.130]  You have a little bit more time on that.
[18:38.130 --> 18:51.130]  So, I mean, you know, if you wanted to get a really nice harvest with a hundred day auto, and your climate was, you know, colder, you could start them in a greenhouse or indoors.
[18:52.130 --> 18:56.130]  You know, we started ours in, I started them in a greenhouse.
[18:58.130 --> 18:59.130]  At least on that early run.
[19:04.720 --> 19:05.720]  Gosh.
[19:05.720 --> 19:06.720]  Here's a question.
[19:07.720 --> 19:16.720]  I feel like there is a, there is this common misconception that autos are not a good smoke.
[19:17.720 --> 19:18.720]  Yeah.
[19:18.720 --> 19:19.720]  Yeah.
[19:22.720 --> 19:23.720]  How is the smoke of autos?
[19:24.720 --> 19:27.720]  I mean, you can't tell the difference anymore.
[19:30.720 --> 19:31.720]  Yeah.
[19:32.720 --> 19:33.720]  Yeah.
[19:34.720 --> 19:44.720]  I remember when I was at a party in Covilo, and I had a fresh jar of the Lime Braw auto flower, and that was the first time I met Frenchie Canoli.
[19:45.720 --> 19:52.720]  And people were talking about autos, and I busted out the jar, and he took it from me, and he smelled it, and he rolled it up right then.
[19:53.720 --> 19:55.720]  And, you know, he was always advocating for my auto flowers.
[19:56.720 --> 20:04.720]  You know, if you took some of these newer autos, and you gave somebody a jar, no one would tell the difference.
[20:06.720 --> 20:07.720]  Interesting.
[20:07.720 --> 20:08.720]  That's awesome to hear.
[20:09.720 --> 20:18.720]  Now, if you, the one area where you were told that if you took all these auto flowers and you put them into pounds, you would tell the difference because of the variation in the seeds.
[20:18.720 --> 20:24.720]  But if you took like one auto flower, put it in a jar, you know, you're going to have a hard time telling the difference.
[20:25.720 --> 20:31.720]  Now, I know that like different plant morphologies lean themselves to different turf profiles.
[20:31.720 --> 20:37.720]  So I'm kind of curious if autos lean themselves to certain turf profiles, certain flavors, certain effects.
[20:41.720 --> 20:42.720]  No.
[20:42.720 --> 20:43.720]  No?
[20:44.720 --> 20:49.720]  Not after like, you know, the breeding goes into it.
[20:49.720 --> 21:01.720]  So, you know, like with our 300 partial auto hybrids that we took, and we selected, and we took the blueberry, you select the terpens you want, you breed for it, you get them.
[21:02.720 --> 21:17.720]  It's, you know, it's, there's, I find more of the underlying terpene from the terroir of the native soil where we are growing in all of our ganja versus this specific plant.
[21:17.720 --> 21:30.720]  You know, you can, that's one of the beautiful things about cannabis is that it's evolved to grow on every planet, or every, not every planet, I mean, every corner of this planet from, you know, Thailand to Siberia.
[21:30.720 --> 21:36.720]  Where we get the autos from and the creativeness, the ingenuity, you can take that anywhere you want.
[21:36.720 --> 21:43.720]  You can breed any flavor, any high, any effect of that into any, you know, version of cannabis.
[21:44.720 --> 21:48.720]  So, you know, we're seeing these new auto flower breeders doing that, myself included.
[21:51.720 --> 21:52.720]  That's super encouraging.
[21:54.720 --> 21:56.720]  That is really, really encouraging.
[21:57.720 --> 22:02.720]  Are there any other, like, myths of autos that you would like to address?
[22:05.720 --> 22:06.720]  Or that you hear?
[22:07.720 --> 22:11.720]  Yeah, I think it's hard because it's like social media, right?
[22:11.720 --> 22:13.720]  People just, there's trolls, you know?
[22:13.720 --> 22:18.720]  You know, people, no matter what, people are going to talk some sort of shirt about it, you know?
[22:18.720 --> 22:29.020]  Okay, so here's a question Peter asked, is to talk about breeding autos, like specific photo period, plant smells, tastes.
[22:29.020 --> 22:30.020]  Yeah, okay.
[22:32.020 --> 22:34.020]  Best practices for breeding autos?
[22:35.020 --> 22:36.020]  Yeah, let me grab some water.
[22:37.020 --> 22:38.020]  Sure.
[22:39.020 --> 22:43.960]  Yeah, Peter, my brain, thank you for the question.
[22:43.960 --> 22:48.960]  My brain is, is, it's still waking up.
[22:48.960 --> 23:04.960]  Yeah, so let's say you have auto flowers, but you don't like, and you're a breeder, a hobby breeder, and, you know, and you don't, you wanted to get a specific, you know, flavor or chirping profile.
[23:04.960 --> 23:08.960]  Let's just say you wanted to do like a, you wanted to make an auto blue ring.
[23:09.960 --> 23:15.960]  So, now, I guess it's harder if, you know, you can't find regular auto flowers, which we only breed.
[23:15.960 --> 23:20.960]  But, you know, it's easier if you can get a regular auto flower, it's not impossible if you can't.
[23:20.960 --> 23:22.960]  Because you could do it the other way around.
[23:22.960 --> 23:29.960]  You could take a male from a full term line, or photo period line, and cross it into an auto flower.
[23:30.960 --> 23:38.960]  So that, then F1 cross of the auto flower blue dream, because the auto flower trait is recessive, that F1 is going to be photo period.
[23:38.960 --> 23:46.960]  Now, some of them will be about a month earlier in the harvest, but they will start flowering in the autumn.
[23:47.960 --> 23:54.960]  You know, 99% of them, at least, will start flowering when the light changes, you know, at the end of the season.
[23:54.960 --> 24:01.960]  So, then you take any male and you put it on the best female that you like with that F1.
[24:01.960 --> 24:11.960]  You know, really, if you can get a female that's a little bit older, you know, and you can get a female that's a little bit younger, you know, and you can get a female that's a little bit older, you can get a female that's a little bit younger.
[24:11.960 --> 24:19.960]  You know, really, if you can, you know, if you start enough seeds, you'll find one that you're looking for.
[24:19.960 --> 24:25.960]  Like, oh, this looks just like the mother. This looks just like that blue dream I want to stabilize, or whatever other trait you want to stabilize.
[24:25.960 --> 24:35.960]  And if you're lucky enough, you find that. But if you don't find that, don't worry about it, because the F2 generation, you're going to see a lot more diversity come up in it, and you might find it in there.
[24:36.960 --> 24:55.960]  And you can keep, you keep going, even if you didn't quite find it, you can still keep going on the line to stabilize it, because there's other, because then when you get down to your F2 generation now, that autoflower trait is coming up 25% or less.
[24:55.960 --> 25:09.960]  So now you want to select a male and a female from that 25% or less population, you make that cross, then your F3 fully autoflower. But it's not, let's say it's not exactly what you're looking for.
[25:09.960 --> 25:19.960]  You like something better in that F1, or you're like, I want to go all the way back to that blue dream clone or whatever it was that cut that I had, I'm gonna go all the way back to that one.
[25:19.960 --> 25:31.960]  Now, if you go back to your F1 population, because you like something better in there, and you start some more seeds there, you do your back cross, and this is what you should use a back cross for when breeding cannabis is to stabilize traits.
[25:31.960 --> 25:49.960]  You're not going to stabilize the line by continuously back crossing it, but you can stabilize traits. So you go back to that F1, and now that back cross will have a population of autoflowering traits in it, I think it's 50% or less.
[25:49.960 --> 26:12.960]  But if you're like, you know what, I really want to go back to my clone or that cut of that, you go back to that and it will be a recessive trait again, and you'll have to start the whole process over again. And I've done that, I'm doing that as well. I've gone back to the F1 and back to the original cut, because sometimes you're looking for something a little more specific and it's easier to do that.
[26:13.960 --> 26:28.960]  And then you just go back down generations again, and three generations down from that, it's fully auto again, and it's going to resemble more of what you're looking for, for terpenes, highs, look, etc, etc, etc.
[26:28.960 --> 26:45.960]  Interesting. So I've always kind of been curious about combining an auto with a long flowering sativa, with the idea to get that long flowering sativa to trigger sooner and finish throughout the year.
[26:45.960 --> 26:46.960]  You can come in, Premma.
[26:49.960 --> 26:51.960]  Is that something that you've ever, that you've done before?
[26:52.960 --> 27:04.960]  So I, yeah, not with a long flowering sativa, but so in that second generation where you have that population of 25% or less auto flowering, you have that population of 75% photo period.
[27:05.960 --> 27:15.960]  So you would then select in that generation, something that would resemble a long flowering sativa and structure and high, but it's a month earlier. Yeah, you could easily do that.
[27:16.960 --> 27:17.960]  Interesting.
[27:18.960 --> 27:35.960]  And I am working, that is what, like if I really like one of these auto photo hybrids, I will go back to that second generation and breed for, I usually breed for early photo because it's nice to, you know, to stagger the harvest.
[27:36.960 --> 27:48.960]  Where I'm at, where my harvest is going in November. So my autos are in June, July, maybe August, into August are those early photo periods, then September, October, November.
[27:49.960 --> 27:55.960]  Yeah, I mean, that makes perfect sense. I mean, a lot of people, including myself, don't even have the space to dry all of their cannabis at once.
[27:56.960 --> 27:57.960]  Yeah, neither do I.
[27:59.960 --> 28:03.960]  So like, let's, so semi autos, or you're calling them early?
[28:03.960 --> 28:15.960]  I call them early photos because you're selecting the photo period traits in them. Some people call them semi autos or super autos, but they're, you know, they're photo period.
[28:16.960 --> 28:30.960]  Because you're just, you're selecting their breeding for that. And I've noticed with, you know, really heavy indica varieties, if you start, there's a good rule of thumb for outdoor growing.
[28:30.960 --> 28:46.960]  If you're starting with, you know, your natural lights, if it's harvested after October, you can start them earlier, like February, March. If it's started, if it's harvested before October, you know, start them April.
[28:47.960 --> 28:48.960]  Right.
[28:49.960 --> 29:08.960]  Because if you get a cloudy spring, mines will flower early. And yeah, heavy indicas are more susceptible to that, or the semi, you know, the super, the semi autos, you know, I call the early photos that you've read from them, those are susceptible to that too.
[29:09.960 --> 29:25.960]  And sure, you, I've seen it in lots of lines. Yeah, you are more likely to get an early throwback like, you know, our early sphinx, which is a lion claw Tahoe Kim that we bred to be both auto and early photo.
[29:30.190 --> 29:32.190]  Yeah, this is my little girl.
[29:34.190 --> 29:35.190]  Hey Prima, Prima!
[29:38.190 --> 29:39.190]  Dad's on the show.
[29:42.190 --> 29:43.190]  Go tell mom.
[29:45.190 --> 29:47.190]  Say hi. Hello.
[29:50.190 --> 29:51.190]  She have a little doll in her hand.
[29:52.190 --> 29:53.190]  Three of them, it looks like.
[29:57.190 --> 29:58.190]  That's awesome.
[29:59.190 --> 30:23.190]  So yeah, the early sphinx, um, you know, it's actually a Swami select group this last year and they really liked it and it kind of made a good hash for them. So, um, but yeah, you'll get most of them, they start coming in like in the August to mid September on the early female. And then you'll get like a couple in July.
[30:24.190 --> 30:28.190]  And those, and what time would you plant those?
[30:29.190 --> 30:30.190]  I'd start those in April.
[30:31.190 --> 30:32.190]  Okay.
[30:32.190 --> 30:46.190]  Yeah, just because, you know, with things in starting earlier with some varieties, you're going to get like more hermaphrodites by starting them too early. Like, you know, you'll get more problems, you know.
[30:47.190 --> 30:51.190]  But like the longer season stuff, like after October, yeah, you can, you can start those in October.
[30:52.190 --> 30:59.190]  Or you can start those in February. You know, I wouldn't really, outdoors in a greenhouse, I wouldn't start things any earlier than that.
[31:00.190 --> 31:20.190]  Being an outdoor farmer with more stuff than I could ever get done on the land and the farm, like I've never really been into starting so early. But when I got into like large nursery populations, it's nice to get around through. So, I don't know, the past couple of years I've done this February start, I'm not sure if I'm going to this year.
[31:21.190 --> 31:39.190]  No, I mean, I totally concur. Like the longer that I've grown, the later I like to start things. I feel like when things are started super early, I feel like the plants, veg makes them a little vulnerable.
[31:40.190 --> 32:06.190]  Like, you know, when you start them extra early, they become even more vulnerable to pests. And, you know, it's just even longer for them to be around. And often when you, when you plant, you know, when you have a plant that's not too big, and you plant it right at the right time, it stretches just fine and ends up, you know, being the right size as opposed to like when they're big, put out too high.
[32:07.190 --> 32:30.190]  I mean, I think this is also like, I would assume not really pertinent to you, but like to a lot of people, they don't have full sun gardens. You don't have full sun, vegging your plant, you know, starting a plant in February and putting it outside in May or June, often you get a lot of the stem action, you know what I mean? Where it's like the plant's tall, but a big percentage of it is just like stem.
[32:31.190 --> 32:40.190]  Yeah, on the ones we started earlier, you know, they're in five gallon pots by the time they go into the ground, then just to prevent that, you know.
[32:40.190 --> 32:43.190]  And you probably get full sun, I would assume. So they really get a chance to...
[32:43.190 --> 32:46.190]  No, we're, we're Northwest slope.
[32:46.190 --> 32:47.190]  Oh.
[32:47.190 --> 32:51.190]  Our farms, but we have like, you know, some sunnier areas, but yeah.
[32:52.190 --> 32:55.190]  Oh, so, so you're also making hash autos.
[32:55.190 --> 32:57.190]  Yes. Yeah.
[32:57.190 --> 32:59.190]  Let's, let's hear about that.
[32:59.190 --> 33:10.190]  Well, you know, the Lion Claw that we started with actually just, it washes in itself, you know, average yields does make good quality rosin as well.
[33:11.190 --> 33:16.190]  But, you know, average yield for an auto is, that's across the board. So, you know, some autos don't even wash.
[33:16.190 --> 33:19.190]  So again, just kind of luck of the draw that we started with.
[33:20.190 --> 33:28.190]  And stuff like that. And, you know, it's, it's definitely a breeding trend. I think maybe it's like the first one I've ever really gotten behind.
[33:28.190 --> 33:30.190]  It's like, oh, breeding for washing.
[33:31.190 --> 33:36.190]  That's a fun one to get behind and, you know, just, you know, feeling the, the texture of the resin glands on the plant.
[33:36.190 --> 33:39.190]  You're like, oh, this ones gonna, this one's gonna be good.
[33:39.190 --> 33:45.190]  It's a fun one to get behind and, you know, just, you know, feeling the, the texture of the resin glands on the plant.
[33:45.190 --> 33:48.190]  And, you know, it's, it's, it's definitely a breeding trend.
[33:48.190 --> 33:52.190]  I think maybe it's like the first one I've ever really gotten behind.
[33:52.190 --> 33:54.190]  And it's like, oh, breeding for washing.
[33:54.190 --> 33:57.830]  feeling the texture of the resin glands on the plant.
[33:57.830 --> 34:01.070]  You're like, oh, this one's gonna hash.
[34:02.030 --> 34:06.350]  And then getting the low down on the little jar test
[34:06.350 --> 34:08.110]  to get the cold water with the ice.
[34:09.910 --> 34:13.030]  And I think on the commercial aspect of things,
[34:13.030 --> 34:16.110]  as I do work with two licensed nurseries,
[34:16.110 --> 34:19.030]  I think breeding for high quality hash out
[34:19.030 --> 34:21.150]  has a good commercial viability.
[34:21.350 --> 34:22.630]  You know?
[34:22.630 --> 34:23.470]  For sure.
[34:25.190 --> 34:26.870]  Gosh, my brain, come on brain.
[34:28.150 --> 34:31.030]  So you do 100 day autos.
[34:33.790 --> 34:36.070]  Is that pretty much as long as it goes?
[34:36.070 --> 34:37.830]  And at that point after 100,
[34:37.830 --> 34:41.670]  it's considered like a semi or like a super auto
[34:41.670 --> 34:42.510]  at that point?
