[00:00.510 --> 00:01.510]  Twin Peaks.
[04:30.820 --> 04:34.220]  But yeah, that's how this all came about, to be honest.
[04:34.620 --> 04:38.980]  And it's well, you can see, oh, yeah, this is a good thing.
[04:39.260 --> 04:44.740]  You can click on like, for example, botanical classification, click on that and you go
[04:44.740 --> 04:46.420]  right to that part of the book.
[04:46.580 --> 04:47.780]  Oh, wow.
[04:47.780 --> 04:49.700]  I haven't even discovered that part yet.
[04:50.380 --> 04:51.060]  That's fun.
[04:52.060 --> 04:54.260]  Yeah. So you go right there.
[04:54.300 --> 04:55.540]  That's really a good deal.
[04:55.900 --> 05:00.020]  And then also there's a find search function.
[05:00.020 --> 05:05.620]  You know, you just go control F and then you can find anything you want.
[05:06.940 --> 05:13.140]  If you want, you know, you can search for a character string or a word or or all kinds
[05:13.140 --> 05:14.340]  of stuff. Yeah.
[05:14.820 --> 05:17.420]  So it's it's easy to navigate.
[05:18.260 --> 05:20.180]  That's that's a real good deal.
[05:20.620 --> 05:28.900]  And then another thing about it is I have two co-authors now that they came on later.
[05:28.900 --> 05:31.140]  But I'll tell you, it's really a good deal.
[05:31.700 --> 05:32.740]  You can see him up here.
[05:32.740 --> 05:35.740]  Yeah. In the middle, there's that's that's Gary.
[05:36.740 --> 05:38.700]  This is Scottish, right?
[05:39.380 --> 05:42.580]  Or he tones the language down for us.
[05:42.620 --> 05:46.060]  I mean, God, it's just hard as hell to understand.
[05:46.060 --> 05:48.340]  It starts doing that Scottish stuff.
[05:48.700 --> 05:53.700]  It's you know, you get him around people that aren't Scottish and he's OK.
[05:54.580 --> 05:59.860]  It takes a while, but I don't have to ask him to repeat a few times.
[06:00.380 --> 06:02.260]  He's really good with the written word, though.
[06:02.300 --> 06:05.220]  Really good. But man, yeah.
[06:05.220 --> 06:07.780]  But he's got a doctor's degree in microbiology.
[06:07.780 --> 06:10.500]  See, and he just one of those guys.
[06:10.740 --> 06:14.620]  He doesn't look like it, but he's like full on nerd science man.
[06:14.620 --> 06:17.020]  I mean, you know, inside out.
[06:17.460 --> 06:25.420]  And it's he's really a brilliant guy and very easygoing, easy to get along with.
[06:25.980 --> 06:29.860]  And yeah, and he works and he's up there in the UK.
[06:30.220 --> 06:32.980]  And then the guy on the right is Stefan Meyer.
[06:33.300 --> 06:36.420]  I've known him for oh, for a long, long time, for years.
[06:36.420 --> 06:38.580]  He's Swiss guy. OK.
[06:38.580 --> 06:44.660]  And he's been going to every every scientific conference.
[06:45.340 --> 06:49.260]  And God, for the last, I don't know, 15 years, probably.
[06:50.020 --> 06:52.340]  It's about when they started heavy.
[06:52.340 --> 06:55.860]  And also, well, he's in Colombia now.
[06:55.860 --> 06:58.220]  I mean, he went over to America.
[06:58.220 --> 06:59.060]  He was at that.
[07:00.620 --> 07:03.020]  Was that MJ BizCon
[07:04.340 --> 07:06.020]  for us? Yeah.
[07:06.020 --> 07:07.540]  Yeah. We're working together.
[07:07.540 --> 07:12.100]  And then now he's I don't know, he's in Bogota, I think right now.
[07:12.620 --> 07:16.340]  Yeah, he was because he was overseeing Mauricio and those guys.
[07:16.820 --> 07:22.060]  So, yeah. Anyway, that's always impressive.
[07:22.380 --> 07:25.380]  He he talks always also six languages.
[07:25.820 --> 07:28.740]  Oh, my gosh. That is really well.
[07:30.380 --> 07:34.060]  You know, when I went to the Netherlands, it's and talking with the people there.
[07:34.060 --> 07:36.900]  I mean, obviously in Amsterdam, English is all you need.
[07:36.900 --> 07:41.580]  But they learn three languages, you know, Dutch, American and German
[07:41.580 --> 07:43.140]  and as part of their school.
[07:43.140 --> 07:46.580]  And many of them speak more as a person who speaks
[07:46.580 --> 07:49.460]  one language and little bits of two others.
[07:49.820 --> 07:52.380]  Yeah. Yeah. It just blows my mind.
[07:52.380 --> 07:54.900]  Yeah. It kind of depends on where you grew up.
[07:55.380 --> 07:58.980]  See, if you if you grew up further south, you also taught French.
[07:59.580 --> 08:04.100]  And closer to the borders, you know, so if you're over close to the German border
[08:04.540 --> 08:07.700]  and then the television makes a big influence, too,
[08:07.700 --> 08:11.380]  because many programs are in English, the two big languages
[08:11.380 --> 08:14.140]  or the English and German. Yeah.
[08:16.180 --> 08:19.740]  Yeah. Oddly enough, when we were back there in May,
[08:20.140 --> 08:23.700]  it seems like Friends, the show Friends is making the rounds
[08:23.820 --> 08:24.820]  over in the Netherlands.
[08:24.820 --> 08:29.460]  Now we saw it was on like so many channels, like T-shirts, like merchandise.
[08:29.460 --> 08:31.500]  Friends is taken over.
[08:31.540 --> 08:34.060]  Oh, my God. Oh, I know.
[08:34.860 --> 08:36.260]  Too funny. Yeah. Yeah.
[08:36.260 --> 08:39.540]  The all of all of that's it's so different.
[08:40.700 --> 08:45.620]  But the American television's permeated a lot of stuff here. Yeah.
[08:45.860 --> 08:47.260]  Yeah. Yeah. By Jay.
[08:47.260 --> 08:50.740]  You know, I tried learning through the TV, but it's just too darn fast for me.
[08:50.740 --> 08:55.980]  So I got to resort back to my little tablet and do a lingo.
[08:56.460 --> 08:58.500]  Yeah. You can put the subtitles in.
[08:58.980 --> 09:01.500]  Oh, that works pretty well.
[09:01.500 --> 09:04.140]  And most everything has subtitles. Oh, yeah. Yeah. Yeah.
[09:04.180 --> 09:05.620]  Here's this. Yeah.
[09:05.620 --> 09:09.220]  And I did one just like this in Spanish.
[09:10.100 --> 09:13.140]  That's going to is talking about the translation.
[09:13.620 --> 09:15.780]  Yeah. Yeah. So
[09:17.340 --> 09:17.940]  this is it.
[09:17.940 --> 09:20.020]  We can show a little bit of the inside of the book.
[09:20.020 --> 09:22.620]  Is it is that possible? Yeah, absolutely.
[09:22.620 --> 09:25.300]  Let me I'll flip the screen here
[09:25.580 --> 09:30.300]  because, you know, one thing I've definitely I've read the encyclopedia.
[09:30.300 --> 09:33.300]  I've read the other books and I was able to skim through this the other night
[09:33.300 --> 09:35.340]  because I was just able to download it.
[09:37.260 --> 09:40.660]  And, you know, one thing that I cater to
[09:40.900 --> 09:44.860]  or like on my personal channel is I'm really about new growers.
[09:44.860 --> 09:46.420]  I want to get people growing.
[09:46.420 --> 09:51.180]  I don't necessarily care whether you're, you know, organic or salt
[09:51.660 --> 09:55.620]  salt based at the moment, because I'm very passionate about the plant,
[09:55.620 --> 09:58.100]  what it's done for my life and what it can do for other people.
[09:58.500 --> 10:01.100]  So getting people growing is awesome.
[10:01.820 --> 10:04.500]  A lot of people on this channel, they're past that.
[10:04.500 --> 10:07.980]  They're, you know, the intermediate to actual like commercial growers,
[10:07.980 --> 10:10.380]  people who do this on a professional level.
[10:10.380 --> 10:14.300]  One thing that I, you know, do enjoy about your book is you're able to hit
[10:14.300 --> 10:18.340]  both of these people or both of these statements because they are different,
[10:18.420 --> 10:20.540]  but similar enough.
[10:20.820 --> 10:23.100]  But yeah, I'll pull the book up here for you.
[10:23.100 --> 10:24.540]  Right. Thank you.
[10:24.540 --> 10:27.900]  Yeah, it's pretty hard to write to two audiences like that.
[10:27.900 --> 10:33.100]  It really is because you've got to keep everybody right with you.
[10:35.260 --> 10:38.300]  Yeah, it's a table of contents here for you.
[10:38.860 --> 10:40.220]  But yeah, you know, there's
[10:41.740 --> 10:43.580]  the depth of it again.
[10:43.580 --> 10:46.460]  It's nice that your co-authors, you know, they they look like,
[10:46.660 --> 10:50.180]  you know, party hardy good people, but in reality,
[10:50.180 --> 10:53.860]  we're all just kind of soil nerds and doing our thing.
[10:54.740 --> 10:57.700]  You know, and actually both those guys, they're real good guys.
[10:57.700 --> 10:59.700]  They're you know, they hit it hard.
[10:59.700 --> 11:04.740]  Don't get me wrong, but but the deal is there's just smart guys.
[11:04.740 --> 11:08.380]  And, you know, they like what they're doing.
[11:09.740 --> 11:11.740]  That's really what it comes down to.
[11:11.740 --> 11:14.180]  And they're hard workers of.
[11:15.180 --> 11:16.180]  Yeah.
[11:16.180 --> 11:17.100]  Yeah.
[11:17.100 --> 11:21.380]  And Gary is really good with the with the science and chemistry
[11:21.380 --> 11:24.900]  in the chemistry is like, you know, like it's one of those guys
[11:24.900 --> 11:27.140]  knows that stuff upside down and backwards.
[11:27.140 --> 11:29.260]  He understands all the little details.
[11:30.620 --> 11:32.740]  Yeah. Mind baffling to me.
[11:32.740 --> 11:35.260]  Oh, yeah. Also quite the musician.
[11:36.340 --> 11:37.900]  Yeah. OK. Me.
[11:37.900 --> 11:41.180]  That's actually my background is audio engineering.
[11:41.180 --> 11:43.700]  And I spent, you know, many years in music.
[11:43.700 --> 11:46.300]  And I've kind of transitions.
[11:47.100 --> 11:49.420]  Well, cannabis has always been a part of my life.
[11:49.420 --> 11:53.220]  But, you know, the music side is a little less these days
[11:53.220 --> 11:55.660]  and the cannabis side a little bit more.
[11:55.660 --> 11:58.220]  So good. Yeah.
[11:58.260 --> 11:59.060]  That's how we're doing it.
[11:59.060 --> 12:01.380]  So, you know, it doesn't surprise me again.
[12:02.100 --> 12:05.220]  Something that I love about music and gardening all the same
[12:05.460 --> 12:07.340]  is you're never going to know it all.
[12:07.340 --> 12:09.180]  There's always something new that you could do.
[12:09.180 --> 12:11.460]  You just have to figure out that you can do it.
[12:11.460 --> 12:12.980]  Always learning. Always.
[12:13.100 --> 12:14.740]  Always. Yeah. Yeah.
[12:14.740 --> 12:18.740]  And so, you know, it's really important that people get a good botanical
[12:19.060 --> 12:21.740]  background, just really basic stuff.
[12:22.060 --> 12:26.380]  But it's really important that, you know, the base and how stuff classified
[12:26.740 --> 12:29.180]  because it keeps you from getting confused later
[12:29.180 --> 12:32.980]  because people are pretty good at confusing you.
[12:33.380 --> 12:37.780]  You know, I mean, just because usually they don't mean to.
[12:37.780 --> 12:40.100]  They just don't understand themselves.
[12:40.100 --> 12:42.780]  So that's why it's confusing.
[12:42.780 --> 12:45.740]  It is. And we get a lot of the terminology wrong.
[12:45.740 --> 12:48.620]  I was you know, I've said this on different shows.
[12:48.620 --> 12:49.860]  This will be the third day in a row.
[12:49.860 --> 12:54.220]  But you have, you know, regular botany and then you have cannabis botany.
[12:54.860 --> 12:58.460]  You know, it's like stigma versus pistol, brack versus calyx.
[12:58.900 --> 13:03.020]  But if you say the one or the other, everybody knows what you're talking about,
[13:03.020 --> 13:05.740]  which is good, but also the problem at the same time.
[13:05.740 --> 13:11.540]  So bringing in clarification like this is great, especially as we advance,
[13:11.540 --> 13:15.820]  you know, and as the industry advances, there's a lot of smart people
[13:15.820 --> 13:19.380]  who may have never touched the plant, but they know all about it.
[13:19.620 --> 13:22.020]  We need to be able to use the same words.
[13:22.420 --> 13:23.260]  Yeah, exactly.
[13:23.260 --> 13:25.980]  Everybody should use the same terms to mean the same thing.
[13:26.300 --> 13:28.980]  That's it. That's what makes the language precise.
[13:30.420 --> 13:30.980]  Yes.
[13:32.700 --> 13:35.620]  Yeah, that photo that was taken in Thailand.
[13:35.620 --> 13:37.500]  Yeah, I think Thailand. OK.
[13:38.660 --> 13:40.100]  Now that that's one thing.
[13:40.140 --> 13:41.420]  Somewhere else I can't remember.
[13:41.420 --> 13:42.140]  I don't know where.
[13:43.180 --> 13:44.900]  I'll have to look twice.
[13:44.900 --> 13:47.020]  That's one thing that I always,
[13:48.180 --> 13:53.140]  you know, every picture of you is just in this like field of dreams
[13:53.140 --> 13:57.100]  is what I would call it, because you're surrounded by these towering plants
[13:57.100 --> 14:00.500]  around you, predominantly outdoors.
[14:00.500 --> 14:03.660]  Is that what you you go and look at or study?
[14:03.780 --> 14:07.580]  Well, you know, I live here in Spain and
[14:07.620 --> 14:14.220]  we just don't have as much cannabis growing as you guys do over there in America.
[14:14.700 --> 14:20.700]  And this summer I went to to Washington, Oregon, California.
[14:20.940 --> 14:25.020]  Yes. And so just I mean, more cannabis than you.
[14:25.060 --> 14:26.660]  I mean, it was amazing.
[14:26.660 --> 14:28.860]  I never saw so much in my life, really.
[14:28.980 --> 14:30.540]  And I've seen a lot.
[14:30.540 --> 14:36.140]  Trust me. And, you know, in Latin America and also also in Switzerland.
[14:36.620 --> 14:39.540]  But never so much as in the United States.
[14:40.460 --> 14:47.140]  You know, a few years ago I saw fields of of canoe and do you know the him him?
[14:47.380 --> 14:51.700]  But I didn't see this much drug cannabis.
[14:52.380 --> 14:56.260]  And one of my friends is managing the Los Alamos farms.
[14:56.740 --> 15:01.420]  It's a hundred acres, a hundred acres of cannabis.
[15:01.420 --> 15:04.260]  Yeah, it's most of it's a raised bed,
[15:04.260 --> 15:08.620]  raised beds, a little bit of it's small portions in containers.
[15:09.180 --> 15:10.100]  But that's a lot.
[15:10.100 --> 15:13.980]  You know, it takes a long time just to drive through that drive.
[15:13.980 --> 15:15.740]  Not one. Yeah.
[15:16.260 --> 15:19.140]  Yeah. And so I'm just not used to that.
[15:20.380 --> 15:24.900]  But I'll tell you, up in up in northern or over in northern
[15:24.900 --> 15:29.260]  California and Humboldt County, more specifically in southern Oregon,
[15:30.100 --> 15:34.620]  they were growing really big plants, have been for a long, long time.
[15:35.980 --> 15:39.820]  And now everybody just loves big plants.
[15:39.820 --> 15:42.100]  So I would hang out with those guys a lot.
[15:44.900 --> 15:46.020]  Big plants are great.
[15:46.020 --> 15:48.060]  And these are some of the coolest photos.
[15:48.060 --> 15:50.340]  They're from a Gunzo photo.
[15:51.620 --> 15:55.500]  Man, this this guy is really, really good.
[15:55.940 --> 15:58.540]  His name, you can get his name in the credits and stuff.
[15:58.540 --> 16:01.020]  But it's just unbelievable work.
[16:01.060 --> 16:03.140]  Very, very incredible close up stuff.
[16:03.540 --> 16:06.820]  There's some really good, really good photography in this book.
[16:07.820 --> 16:11.180]  That's something that has definitely been advancing,
[16:11.180 --> 16:15.660]  you know, along with the technology we use, you know, the technology
[16:15.900 --> 16:19.540]  like Jeff Lowenfelds, a lot of the people that he reports on
[16:19.540 --> 16:22.860]  and the gardening practices he reports on
[16:23.300 --> 16:25.420]  is because of advancements in technology.
[16:25.420 --> 16:27.660]  We're able to see smaller. We're able to see deeper.
[16:27.660 --> 16:30.460]  We can see inside the tissue cell walls now.
[16:31.500 --> 16:33.460]  I love seeing these things.
[16:34.060 --> 16:37.300]  Right. He says Jeff's a real good friend.
[16:37.900 --> 16:41.220]  And he's he's so funny.
[16:41.220 --> 16:43.860]  He's really interesting guy. Super interesting.
[16:44.940 --> 16:48.500]  I mean, he's another one of those people with just a passion for it.
[16:48.500 --> 16:50.900]  I had the honor of talking with him a couple of months ago
[16:51.220 --> 16:52.740]  before his new book came out.
[16:52.740 --> 16:54.180]  And you know what?
[16:54.180 --> 16:57.260]  If you can't be excited about it after listening to him,
[16:57.260 --> 16:59.460]  I don't know what is wrong with you.
[16:59.460 --> 17:01.220]  Now, the guy is amazing.
[17:01.220 --> 17:05.020]  He's see, we know each other from like from 20 years
[17:05.340 --> 17:08.340]  from the Garden Writers Association.
[17:08.660 --> 17:10.220]  That's how we met.
[17:10.220 --> 17:12.980]  We met at the Garden Writers Association.
[17:12.980 --> 17:18.420]  Yeah. Kim and Tom Alexander from Cintamia Tips.
[17:18.540 --> 17:20.580]  Yes. Yeah. We would always all hang.
[17:20.580 --> 17:22.420]  All three of us hang out together.
[17:22.420 --> 17:24.420]  Los tres amigos somos que amamos.
[17:24.460 --> 17:26.380]  And yeah, we'll see.
[17:26.380 --> 17:28.100]  Three, three sermones.
[17:28.100 --> 17:29.220]  Yeah, yeah, yeah.
[17:29.220 --> 17:32.620]  And well, three amigos, those little anyway.
[17:33.820 --> 17:36.340]  Yeah. Oh, yeah.
[17:37.340 --> 17:40.540]  He used to be the the
[17:41.700 --> 17:44.380]  assistant attorney general, assistant
[17:44.380 --> 17:48.500]  attorney general of Alaska, the state of Alaska.
[17:49.220 --> 17:53.900]  And yeah, he's got an incredible history, but he's he's got a really good
[17:54.940 --> 17:57.420]  science background.
[17:57.420 --> 18:00.180]  Incredibly good. Yeah. Yeah.
[18:00.180 --> 18:02.500]  And he's like a lifetime gardener.
[18:02.940 --> 18:06.300]  He grew up on the East Coast and they had like
[18:06.740 --> 18:10.340]  I was about a half an acre of vegetable garden.
[18:10.700 --> 18:12.580]  That's good. Yeah.
[18:12.580 --> 18:16.180]  Oh, the guy is like a total junkie garden junkie.
[18:17.460 --> 18:19.980]  It's crazy like that.
[18:19.980 --> 18:21.180]  Yeah, yeah.
[18:21.700 --> 18:24.060]  I, you know, I definitely like his style.
[18:24.060 --> 18:26.500]  And that's cool because I was curious about that.
[18:26.500 --> 18:29.780]  You know, there's, you know, Tom Alexander,
[18:30.900 --> 18:34.460]  Seattle, Greg and folks like him and
[18:36.260 --> 18:37.100]  Tom Hill.
[18:37.100 --> 18:40.500]  There's there's, you know, like 10, 20 people names that,
[18:40.500 --> 18:44.100]  you know, pretty much a lot of us people coming into it
[18:44.100 --> 18:47.820]  after you guys have made your impression that we all know these names.
[18:47.820 --> 18:50.380]  And I always wondered, it's like, how did you guys meet?
[18:50.380 --> 18:53.900]  Because I imagine at the time it wasn't like, hey, this is what I do
[18:53.900 --> 18:56.060]  as a hobby. What do you do?
[18:56.060 --> 18:58.540]  But it was all through everything.
[18:58.700 --> 19:01.380]  Everything was underground kind of like,
[19:02.020 --> 19:04.420]  but you could get together with a few people.
[19:04.420 --> 19:06.780]  There was smaller amount.
[19:06.780 --> 19:08.740]  There was a lot fewer people.
[19:08.740 --> 19:11.380]  And it's kind of like everybody knew everybody else.
[19:11.980 --> 19:15.220]  Back then we had hydroponic
[19:15.740 --> 19:18.300]  hydroponic association conventions.
[19:18.900 --> 19:19.980]  That was what we did.
[19:19.980 --> 19:21.340]  Yeah, we all had.
[19:21.340 --> 19:26.780]  And then we had the the Merchants Association later,
[19:27.180 --> 19:29.260]  hydroponic Merchants Association.
[19:29.740 --> 19:34.860]  So those but, you know, like the fucking DEA infiltrated those two.
[19:35.180 --> 19:37.380]  You know, they would come to the meetings. Yeah, sure.
[19:38.100 --> 19:41.540]  You know, they didn't.
[19:41.620 --> 19:42.660]  They didn't.
[19:42.660 --> 19:44.140]  They were there. They were there.
[19:44.140 --> 19:47.020]  But they didn't you didn't see them long term.
[19:47.020 --> 19:49.140]  They'd come and then go and come and go.
[19:49.940 --> 19:52.220]  But so that's what we had.
[19:52.860 --> 19:56.260]  But a lot there was a lot of paranoia,
[19:56.900 --> 19:58.780]  a heck of a lot of paranoia.
[19:58.780 --> 20:01.940]  See, there was. Oh, yeah.
[20:04.220 --> 20:07.300]  Because you couldn't talk about it in public.
[20:08.620 --> 20:10.620]  It was very it was it was dangerous.
[20:10.620 --> 20:12.620]  Yeah. Yeah. Dangerous.
[20:13.500 --> 20:18.180]  First, like in the early 80s, nobody really knew what it was.
[20:18.740 --> 20:25.300]  And then about the about mid to late 80s, late 80s, late 80s.
[20:25.300 --> 20:26.620]  Yeah, they figured it out.
[20:26.620 --> 20:30.660]  And by the 90s, the cops knew all about growing inside
[20:31.780 --> 20:33.780]  because before they really didn't.
[20:33.780 --> 20:36.300]  There was a time when they didn't.
[20:36.300 --> 20:39.980]  And that's everybody would use how light lights,
[20:40.020 --> 20:42.100]  how light lights and those Chinese
[20:43.660 --> 20:45.580]  reflect China, China,
[20:45.700 --> 20:47.980]  say column or cone reflectors.
[20:48.020 --> 20:49.860]  Yeah. Yeah.
[20:50.340 --> 20:54.740]  And since Amelia tips was really kind of from what I understand
[20:54.740 --> 20:57.980]  was like pushing the the advancement of knowledge
[20:57.980 --> 21:01.460]  kind of in an underground way to these growers, bringing things
[21:01.460 --> 21:04.340]  kind of like see if green and a few other techniques.
[21:04.340 --> 21:09.740]  But that was, you know, that was different than high times at that point.
[21:10.260 --> 21:13.820]  Oh, much different. It was more grow in oriented.
[21:14.340 --> 21:18.020]  High Times had the advertising strength
[21:18.020 --> 21:22.540]  and they were on the National Register, you know, I mean, for the
[21:23.220 --> 21:25.500]  they were distributed nationwide.
[21:26.060 --> 21:28.660]  So it was a much larger magazine.
[21:30.100 --> 21:33.580]  Yeah. But the growing agency, that was
[21:33.980 --> 21:38.940]  it was mainly on the West Coast because everything else.
[21:39.060 --> 21:41.100]  I mean, they just didn't have the growers
[21:41.420 --> 21:45.380]  to be open that would actually could buy a magazine.
[21:45.780 --> 21:48.420]  Right. Yeah.
[21:48.860 --> 21:51.220]  You pay cash and not on your card for it.
[21:52.340 --> 21:54.100]  Or, yeah. Oh, man.
[21:54.100 --> 21:56.220]  There was all kinds of stuff that happened.
[21:57.660 --> 22:01.980]  Yeah. But see, Alex or, you know, Tom, Alexandra, Alex, as I know him,
[22:02.900 --> 22:07.340]  he would make a run every every it was every two months.
[22:07.340 --> 22:09.820]  It would come out, I think every two months.
[22:09.820 --> 22:12.220]  Yeah. Or four times a year, maybe.
[22:12.220 --> 22:13.900]  I can't remember now.
[22:13.900 --> 22:17.460]  But yeah, four times a year and then later every two months.
[22:18.060 --> 22:20.460]  But and then later every month.
[22:20.580 --> 22:24.500]  Yeah. But they he would drive it
[22:25.220 --> 22:29.940]  from Corvallis, Oregon, where his his office was in a home
[22:30.540 --> 22:34.460]  down to northern California, down through Humboldt.
[22:35.500 --> 22:38.860]  Not all the way, maybe not to Santa Rosa, but
[22:39.500 --> 22:43.700]  oh, yeah. And just and distribute it personally, distribute it there.
[22:44.340 --> 22:45.660]  Yeah, yeah, yeah.
[22:45.660 --> 22:47.980]  I went on the trip a bunch.
[22:47.980 --> 22:49.300]  Yeah, that'd be fun.
[22:49.300 --> 22:52.700]  And he was you know, you're talking about the DEA and the raids.
[22:52.700 --> 22:55.860]  I believe he or his store was one of the ones caught up
[22:55.860 --> 22:57.860]  in the Operation Green Merchant.
[22:57.860 --> 23:00.380]  Yeah, well, in the 80s. OK.
[23:00.380 --> 23:06.340]  Which was, yeah, it was a big deal because Corvallis is a university town.
[23:06.860 --> 23:10.580]  It's a land grant school, so it's the agricultural school
[23:11.300 --> 23:13.020]  and or university.
[23:13.020 --> 23:17.220]  And he was the only one in the town
[23:17.220 --> 23:19.540]  that was caught up like this, you know, and it's a
[23:21.260 --> 23:23.460]  white, white bread town.
[23:24.660 --> 23:28.580]  And the DEA was there and they had a semi truck
[23:28.780 --> 23:33.180]  backed up to a store which was on the street downtown.
[23:33.820 --> 23:37.580]  Yeah. And so he got his kids, got a lot of flack.
[23:37.580 --> 23:39.580]  It was just it was really horrible.
[23:40.820 --> 23:43.580]  Yeah. Yes. He really suffered a lot.
[23:44.420 --> 23:49.860]  And then after that, though, he started Growing Edge magazine
[23:50.740 --> 23:53.980]  because all these advertisers,
[23:54.140 --> 23:55.340]  they they they quit it.
[23:55.340 --> 23:57.500]  They couldn't, you know, advertise.
[23:57.700 --> 23:59.820]  Yeah. And so it was all arrested.
[24:00.060 --> 24:04.860]  And that's yeah, that's one of the crazy things about this.
[24:05.300 --> 24:08.900]  There was a lot of shop owners that got caught up in it.
[24:08.900 --> 24:12.340]  And it's you know, it's it was a bad thing.
[24:12.540 --> 24:13.620]  The worst part.
[24:13.620 --> 24:18.780]  120 people, 120 people were charged.
[24:19.580 --> 24:21.740]  Yeah. Oh, it was horrible.
[24:21.820 --> 24:23.060]  Yeah, yeah, yeah.
