[00:28.410 --> 00:31.650]  How's it going, everybody?
[04:17.120 --> 04:22.120]  I saw you on the cover of High Times when I was just out of high school in 1995
[04:22.120 --> 04:25.120]  with long hair, just like the picture you showed us.
[04:25.120 --> 04:28.120]  So, how did you get started in the cannabis industry?
[04:28.120 --> 04:30.120]  And take us back to the beginning.
[04:31.120 --> 04:37.120]  Well, I was traveling 82, 83, 84 a lot as I grew up in Africa and Asia.
[04:37.120 --> 04:40.120]  And yeah, it's of course a famous story.
[04:40.800 --> 04:45.800]  I bumped into a mountain village up in the north of Thailand
[04:45.800 --> 04:49.800]  where I encountered a heroin rehab situation,
[04:49.800 --> 04:53.800]  which I was not familiar at all with, but I was just a pot smoker.
[04:53.800 --> 04:55.800]  And I was just looking for a sleeping place.
[04:55.800 --> 04:57.800]  Stayed there one day, two days.
[04:57.800 --> 04:59.800]  In the end, I stayed six days.
[04:59.800 --> 05:05.800]  And the man who really intrigued me at that time was really 78, old Thai man.
[05:06.800 --> 05:07.800]  And he gave me a bunch of seeds.
[05:08.480 --> 05:10.480]  And he said to me, when you go back to Europe,
[05:10.480 --> 05:17.480]  do something with these seeds and it will overthrow governments in the future.
[05:17.480 --> 05:20.480]  I thought, yeah, you know, overthrow government in the future.
[05:20.480 --> 05:22.480]  But at that time I was 16, 17.
[05:22.480 --> 05:24.480]  I don't even exactly remember.
[05:25.480 --> 05:28.480]  Unfortunately, those seeds never made it,
[05:28.480 --> 05:31.480]  but the guy planted the seed in my brain.
[05:31.480 --> 05:34.480]  And from there on, I started growing.
[05:35.160 --> 05:38.160]  And I think in 83, 84, I started growing.
[05:38.160 --> 05:40.160]  85, I started making my first seeds.
[05:40.160 --> 05:45.160]  And in 92, I opened the famous Tolstrat coffee shop in the pipe in Amsterdam.
[05:45.160 --> 05:47.160]  Yeah, and the rest is history, of course.
[05:50.160 --> 05:51.160]  Right.
[05:51.160 --> 05:53.160]  And then, Dust, what about you?
[05:53.160 --> 05:55.160]  How did you get started in the industry?
[05:55.160 --> 05:57.160]  And when did you and Arian meet?
[05:57.840 --> 06:03.840]  Well, originally I encountered Greenhouse when I was looking for seeds to buy,
[06:03.840 --> 06:05.840]  you know, for my first growth.
[06:05.840 --> 06:09.840]  And then by coincidence, I bought the Great White Shark.
[06:10.840 --> 06:12.840]  So I started looking into greenhouse seeds, you know,
[06:12.840 --> 06:14.840]  and they had a super nice forum at that time.
[06:14.840 --> 06:16.840]  So I just started to participate there.
[06:16.840 --> 06:19.840]  So I was just very active on the forum for a few years,
[06:19.840 --> 06:21.840]  you know, sharing my growth and helping people.
[06:22.520 --> 06:24.520]  And so there was the fair in Jeroen.
[06:24.520 --> 06:27.520]  I believe it was the first expo grow in Jeroen.
[06:27.520 --> 06:31.520]  And that was like three, four hours from where I was living in France.
[06:32.520 --> 06:35.520]  So one night, you know, I was smoking with friends and we thought of a night.
[06:35.520 --> 06:37.520]  We said, let's go tomorrow to Jeroen.
[06:37.520 --> 06:39.520]  You know, we wake up at six in the morning, drive there,
[06:39.520 --> 06:41.520]  and we can meet Franco and Arian.
[06:42.520 --> 06:44.520]  And that's how we met for the first time.
[06:44.520 --> 06:47.520]  And I just on the smoking joints on the night.
[06:47.520 --> 06:49.520]  And I went there and Franco got me some tickets.
[06:49.520 --> 06:51.520]  And we spent the whole weekend together.
[06:52.200 --> 06:56.200]  And I met Oscar also, that's my partner in the club, Mr. X.
[06:56.200 --> 06:59.200]  And yeah, the rest also is history now for me.
[06:59.200 --> 07:02.200]  You know, it's unbelievable, but I'm super grateful for everything.
[07:04.200 --> 07:06.200]  Yeah, it's awesome.
[07:06.200 --> 07:09.200]  Yeah, so things have changed a lot since the 90s, the 80s and 90s.
[07:09.200 --> 07:11.200]  And, you know, I think we've really evolved.
[07:12.200 --> 07:16.200]  96, when they legalized cannabis for medicine in California,
[07:16.200 --> 07:20.200]  I kind of predicted that it was going to happen in my lifetime.
[07:20.880 --> 07:23.880]  But, you know, it's actually here and even on an international scale
[07:23.880 --> 07:25.880]  with stuff like Strain Hunters,
[07:25.880 --> 07:27.880]  you guys have traveled all around the world.
[07:29.880 --> 07:31.880]  So as far as like you guys,
[07:31.880 --> 07:34.880]  I would assume have the largest collection of land-raised strains.
[07:36.880 --> 07:40.880]  What stood out over the last 15 years of collecting seeds?
[07:40.880 --> 07:42.880]  And how did that actually get started?
[07:42.880 --> 07:44.880]  We can even go there, Arian,
[07:44.880 --> 07:46.880]  with the Strain Hunters concept, you know,
[07:46.880 --> 07:48.880]  it's pretty amazing what you've done.
[07:49.560 --> 07:51.560]  Well, I started, of course, the King of Cannabis concept.
[07:51.560 --> 07:55.560]  This started in 95, when we came under pressure
[07:55.560 --> 07:59.560]  internationally and locally, especially of the Dutch government,
[07:59.560 --> 08:03.560]  because, you know, coffee shops were getting quite popular in Europe
[08:03.560 --> 08:07.560]  and in the United Nations, the French and the Swedes
[08:07.560 --> 08:11.560]  and the American were complaining about the Dutch drugs policy
[08:11.560 --> 08:14.560]  and making statements against us.
[08:14.560 --> 08:17.560]  And we came under pressure of the Amsterdam mayor at that time.
[08:18.240 --> 08:20.240]  He was the spokesman for the Cannabis Retailers Association.
[08:20.240 --> 08:23.240]  And I thought, you know what, we need to create the King of Cannabis.
[08:23.240 --> 08:25.240]  So when celebrities come over to Amsterdam,
[08:26.240 --> 08:30.240]  we can inform them and try to help them a lot
[08:30.240 --> 08:32.240]  and tell them to go back to America
[08:32.240 --> 08:34.240]  and, you know, advocate our case,
[08:34.240 --> 08:37.240]  which of course already was happening through high times
[08:37.240 --> 08:41.240]  and many people like Woody Harrison and Bill Maher
[08:41.240 --> 08:44.240]  and a lot of musicians and all those kind of people, you know.
[08:44.920 --> 08:47.920]  But I thought, you know, King of Cannabis
[08:47.920 --> 08:49.920]  and the people, Americans really like that kind of stuff
[08:49.920 --> 08:53.920]  and it really worked because, yeah, as you probably know now,
[08:53.920 --> 08:56.920]  you know, we have more than 150 A-list people
[08:56.920 --> 08:58.920]  and five royal families as customers
[08:58.920 --> 09:01.920]  and they really, really helped us a lot
[09:01.920 --> 09:04.920]  by, you know, moving forward in California and in Canada
[09:04.920 --> 09:05.920]  and all those places.
[09:05.920 --> 09:07.920]  That's why we still exist.
[09:07.920 --> 09:09.920]  Unfortunately, now we have a new mayor again,
[09:09.920 --> 09:13.920]  who wants to kick out all the tourists of the coffee shops
[09:14.600 --> 09:18.600]  because she considers the tourists a lower grade of tourists.
[09:18.600 --> 09:23.600]  Yeah, it's astonishing basically what she's doing,
[09:23.600 --> 09:25.600]  but this is the situation now.
[09:25.600 --> 09:26.600]  But that was the King of Cannabis.
[09:26.600 --> 09:28.600]  I have to give you a little intro
[09:28.600 --> 09:32.600]  because at one point, I think 2004, 2005,
[09:32.600 --> 09:35.600]  I went to the office and I was a little bit fed up
[09:35.600 --> 09:37.600]  and of course, you know, as you know my background
[09:37.600 --> 09:39.600]  from Africa and Asia, I thought, you know what?
[09:39.600 --> 09:43.600]  I would like to show the world what I'm really doing
[09:44.280 --> 09:46.280]  and go to the bush and hang out with my friends
[09:46.280 --> 09:48.280]  and look for seeds and stuff like that
[09:48.280 --> 09:50.280]  and go look for plants and have a nice smoke
[09:50.280 --> 09:52.280]  in countries like Morocco and India and the Philippines
[09:52.280 --> 09:53.280]  and everywhere.
[09:53.280 --> 09:55.280]  So I went back to the office and said,
[09:55.280 --> 09:57.280]  okay guys, let's go film it, you know?
[09:57.280 --> 09:58.280]  And then everybody thought, okay,
[09:58.280 --> 10:00.280]  this is going to be the end of our company
[10:00.280 --> 10:02.280]  because this is such a crazy idea.
[10:02.280 --> 10:04.280]  This is impossible, you know?
[10:04.280 --> 10:06.280]  Well, make a long story short,
[10:06.280 --> 10:10.280]  it was 2006 or 2008, I don't even remember it.
[10:10.280 --> 10:13.280]  I pulled Franco out of the coffee shop
[10:13.960 --> 10:15.960]  and Simon I encountered on the road
[10:15.960 --> 10:17.960]  and we created Strain Hunters
[10:17.960 --> 10:19.960]  and what I wanted to show was
[10:19.960 --> 10:23.960]  that how many people are depending economically wise
[10:23.960 --> 10:25.960]  on marijuana around the equator.
[10:25.960 --> 10:28.960]  We think it's 200 million poor farmers
[10:28.960 --> 10:31.960]  all around the equator, around the world
[10:31.960 --> 10:32.960]  that are depending on this crop.
[10:32.960 --> 10:34.960]  This is how important it is.
[10:34.960 --> 10:36.960]  Also the health part, you know,
[10:36.960 --> 10:38.960]  they treat all the young babies when they have no medicine
[10:38.960 --> 10:40.960]  and no money with the seeds, you know,
[10:40.960 --> 10:42.960]  with the oil for their stomach.
[10:43.640 --> 10:45.640]  They pull those teas and all that kind of stuff.
[10:45.640 --> 10:47.640]  So we start documenting that
[10:47.640 --> 10:49.640]  and in the beginning it was only me
[10:49.640 --> 10:53.640]  and Franco and Simon and it was Franco's uncle filming us
[10:53.640 --> 10:55.640]  until Vice got a hold of it
[10:55.640 --> 10:57.640]  and then National Geographic, you probably know
[10:57.640 --> 11:01.640]  and then now in the last one was Vice on HBO
[11:01.640 --> 11:02.640]  with a great episode.
[11:02.640 --> 11:04.640]  I think we hit like 80 million people.
[11:04.640 --> 11:08.640]  So that's a little bit the history of the Strain Hunters.
[11:08.640 --> 11:11.640]  And then, yeah, then unfortunately four years ago
[11:12.320 --> 11:14.320]  we had a drama with Franco.
[11:14.320 --> 11:17.320]  So one of our missions, he contracted
[11:17.320 --> 11:21.320]  celebrile malaria and he unfortunately passed away.
[11:21.320 --> 11:25.320]  But yeah, I had 19 years of craziness with this guy.
[11:25.320 --> 11:28.320]  And we had three, four years of mourning
[11:28.320 --> 11:31.320]  and now Dust is going to take over his position
[11:31.320 --> 11:35.320]  because we already planned one last year in September
[11:35.320 --> 11:37.320]  but you can understand due to COVID
[11:37.320 --> 11:39.320]  it was impossible to go on a mission,
[11:40.000 --> 11:42.000]  because we're coming from four or five countries, the crew.
[11:42.000 --> 11:46.000]  And so we are now focusing on April, May.
[11:46.000 --> 11:48.000]  And if that's technically not possible
[11:48.000 --> 11:50.000]  we will do one in September
[11:50.000 --> 11:53.000]  because technically we can do two a year if we would like.
[11:53.000 --> 11:56.000]  We always make one a year because it's a lot of work.
[11:56.000 --> 11:58.000]  But of course you have the Northern Hemisphere
[11:58.000 --> 11:59.000]  and the Southern Hemisphere
[11:59.000 --> 12:00.000]  which is different harvest season.
[12:00.000 --> 12:02.000]  So, you know, we can go to both places.
[12:02.000 --> 12:05.000]  So that's where we stand right now with Strain Hunters.
[12:05.000 --> 12:07.000]  So I'm very, very much looking forward
[12:07.680 --> 12:09.680]  to get the boots back on the ground
[12:09.680 --> 12:12.680]  and go into the bush and have a good time with friends
[12:12.680 --> 12:15.680]  and find some great stuff, you know?
[12:16.680 --> 12:18.680]  Yeah, it's awesome.
[12:18.680 --> 12:21.680]  So you've collected seeds in each place
[12:21.680 --> 12:24.680]  that you've gone from all around the world.
[12:24.680 --> 12:28.680]  So you're preserving these, you use them for breeding
[12:28.680 --> 12:31.680]  and, you know, preservation.
[12:31.680 --> 12:34.680]  I think you've done an immense job
[12:34.680 --> 12:36.680]  of going around the world
[12:37.360 --> 12:38.360]  and Colombia.
[12:38.360 --> 12:40.360]  So you want to tell us something?
[12:40.360 --> 12:41.360]  Yeah, Punta Roja.
[12:41.360 --> 12:42.360]  Yeah.
[12:42.360 --> 12:46.360]  We mixed it up in a new variety that maybe Das can explain.
[12:46.360 --> 12:49.360]  We found a one keeper in that big field.
[12:49.360 --> 12:50.360]  It was amazing.
[12:50.360 --> 12:53.360]  Yeah, the Punta Roja actually is the first land race
[12:53.360 --> 12:56.360]  that we are using in one of the crosses.
[12:56.360 --> 12:59.360]  So that's really exciting and super vigorous.
[12:59.360 --> 13:01.360]  It was a really, really nice plant.
[13:01.360 --> 13:04.360]  You know, like really compact birds and full of resin.
[13:05.040 --> 13:08.040]  It was really nice, fruity, like strawberry.
[13:08.040 --> 13:11.040]  I don't know, it was kind of not strawberry haze,
[13:11.040 --> 13:14.040]  but it had a hazy note with strawberry and like red fruit.
[13:14.040 --> 13:17.040]  It smells, you know, like super, super intense,
[13:17.040 --> 13:20.040]  like a little bit like the old school shizuka, but different.
[13:20.040 --> 13:24.040]  And yeah, we crossed it with a selection of mandelbrot we did.
[13:24.040 --> 13:26.040]  That was a really amazing plant.
[13:26.040 --> 13:28.040]  Also, it was a really nice plant.
[13:28.040 --> 13:30.040]  And the cloudwalker came out from this.
[13:30.040 --> 13:33.040]  And I'm super happy with the result, you know,
[13:33.720 --> 13:35.720]  super, super nice sativa effect.
[13:35.720 --> 13:38.720]  The yield is really good and you get those nice compact birds.
[13:38.720 --> 13:39.720]  It's full of resin.
[13:39.720 --> 13:42.720]  Pretty soon we're probably going to do some hash with it,
[13:42.720 --> 13:43.720]  so we'll see how it's doing.
[13:43.720 --> 13:46.720]  But I'm pretty confident it's going to be really good for hash also.
[13:46.720 --> 13:47.720]  So that's nice.
[13:47.720 --> 13:49.720]  Yeah, and also a great yielder, eh?
[13:49.720 --> 13:51.720]  Yeah, yeah, the buds are huge.
[13:51.720 --> 13:54.720]  Nice, nice long color, like the old school sativas,
[13:54.720 --> 13:55.720]  but really compact.
[13:55.720 --> 13:56.720]  It's super nice.
[13:56.720 --> 13:57.720]  Really nice.
[13:57.720 --> 13:59.720]  Yeah, the thing is, you know, Steve,
[13:59.720 --> 14:01.720]  we have to get to America and Canada bigger.
[14:02.400 --> 14:04.400]  But the problem is everything is so commercial.
[14:04.400 --> 14:06.400]  What we need is big outdoor spaces.
[14:06.400 --> 14:08.400]  If you want to select these plants, you know,
[14:08.400 --> 14:10.400]  you need to put out thousands of plants, you know,
[14:10.400 --> 14:12.400]  to select the proper one and then work.
[14:12.400 --> 14:15.400]  And don't forget here in Europe everything is like super illegal, yeah?
[14:15.400 --> 14:19.400]  So our situations are much more complicated than for you guys in America,
[14:19.400 --> 14:22.400]  you know, where you got a red carpet from the police.
[14:22.400 --> 14:23.400]  Right.
[14:23.400 --> 14:25.400]  We have a black carpet.
[14:25.400 --> 14:28.400]  Yeah, I mean, I feel like, green carpet, yeah.
[14:28.400 --> 14:30.400]  No green carpet.
[14:31.080 --> 14:32.080]  Black carpet.
[14:32.080 --> 14:33.080]  Go prison.
[14:33.080 --> 14:34.080]  You know, monopoly?
[14:34.080 --> 14:36.080]  Yeah, right.
[14:36.080 --> 14:39.080]  Yeah, it's amazing because, you know,
[14:39.080 --> 14:43.080]  I think we've been just kind of a thorn in the side of the government
[14:43.080 --> 14:45.080]  for a long time here in the United States.
[14:45.080 --> 14:47.080]  They're starting to come around to it.
[14:47.080 --> 14:50.080]  But going, you know, down in Colombia, and I was in Colombia last year,
[14:50.080 --> 14:54.080]  and, you know, in the Caribbean, they're very excited to have us on board.
[14:54.080 --> 14:58.080]  I'm really excited about Colombia and the potentials in Mexico
[14:58.760 --> 15:02.760]  and places like that where we have, there's a lot of space, you know,
[15:02.760 --> 15:04.760]  because I still feel like, you know, we have space in America
[15:04.760 --> 15:07.760]  and we can do a lot of stuff, but the labor is so much cheaper
[15:07.760 --> 15:14.760]  down in places like that and access to land is just,
[15:14.760 --> 15:17.760]  I mean, you're working down in Colombia, Mexico as well, or?
[15:18.760 --> 15:19.760]  Well, we have friends that work.
[15:19.760 --> 15:20.760]  You're kind of all over the world.
[15:20.760 --> 15:21.760]  You're working with people.
[15:21.760 --> 15:22.760]  Yeah.
[15:22.760 --> 15:23.760]  We've been working there.
[15:23.760 --> 15:26.760]  We have friends that work there that have license.
[15:27.440 --> 15:28.440]  We have a lot of seeds to them.
[15:28.440 --> 15:31.440]  There's some groups doing really, really well.
[15:31.440 --> 15:33.440]  Other groups still have to start.
[15:33.440 --> 15:38.440]  But, yeah, of course, as many other countries, it's a great country to grow, you know?
[15:39.440 --> 15:40.440]  Right.
[15:40.440 --> 15:41.440]  How's the Congo?
[15:41.440 --> 15:43.440]  I know you were in the Congo for a long time.
[15:43.440 --> 15:47.440]  In fact, you want to talk about the legislation that you helped pass in the Congo?
[15:48.440 --> 15:49.440]  Yeah.
[15:49.440 --> 15:53.440]  Well, what we did was one of our biggest programs ever, you know?
[15:54.120 --> 15:58.120]  We created a whole factory there, which until today still is going.
[15:59.120 --> 16:03.120]  We not have been there anymore since beginning of last year,
[16:03.120 --> 16:06.120]  because we also want them to do it on their own, you know?
[16:06.120 --> 16:11.120]  But we are still mentally behind them and supporting them in all the ways we can.
[16:11.120 --> 16:19.120]  But Congo is an extremely complicated country with, I think, 700 languages
[16:19.120 --> 16:22.120]  and 500 tribes, and it's huge.
[16:22.800 --> 16:23.800]  It's the size of Europe.
[16:23.800 --> 16:27.800]  So you can imagine how big it is.
[16:27.800 --> 16:30.800]  And then, of course, there's all these issues with different tribes
[16:30.800 --> 16:32.800]  and mining and all that kind of stuff.
[16:33.800 --> 16:37.800]  But, yeah, as I was from Africa, we made a movie there with Vice and HBO.
[16:38.800 --> 16:40.800]  We went back there with Frank also.
[16:40.800 --> 16:42.800]  Okay, this is the most difficult area in the world,
[16:42.800 --> 16:45.800]  and here they need this medicine the most.
[16:46.800 --> 16:48.800]  So we did basically the impossible.
[16:49.480 --> 16:52.480]  We have 40 glasshouses, and it's running there.
[16:53.480 --> 16:56.480]  But it's a very difficult process with governments,
[16:56.480 --> 16:58.480]  because governments keep changing.
[16:58.480 --> 17:02.480]  I think in the meantime, even the president changed after 22 years.
[17:03.480 --> 17:08.480]  And also the Minister of Health changes like every 8 or 12 months, you know?
[17:09.480 --> 17:11.480]  So it's very difficult to get things organized.
[17:11.480 --> 17:17.480]  It's a very slow machine, but it's running.
[17:19.480 --> 17:21.480]  Well, and you guys made it out relatively okay.
[17:21.480 --> 17:24.480]  As far as safety, I would be concerned with my safety down there.
[17:25.480 --> 17:27.480]  Everything we hear in America about the Congo is like,
[17:27.480 --> 17:28.480]  man, it sounds so dangerous.
[17:29.480 --> 17:31.480]  Look, there's many countries very dangerous,
[17:31.480 --> 17:33.480]  and this is for sure one of the most dangerous countries in the world.
[17:33.480 --> 17:38.480]  You probably saw on Instagram, we had a huge crash on the highway
[17:39.480 --> 17:44.480]  one night when our driver, our partner, fell asleep with Heiko next to him.
[17:44.480 --> 17:47.480]  And we really went to the right, luckily, and not to the left,
[17:48.160 --> 17:51.160]  because this is the road from Matadi to Kinshasa,
[17:51.160 --> 17:56.160]  which is like a 400k road, where all these huge 20 and 40 tons
[17:57.160 --> 17:59.160]  just crush over you and you're just done, you know?
[18:00.160 --> 18:02.160]  Then, of course, you have snakes, you have war.
[18:04.160 --> 18:06.160]  We have a lot of crazy stuff.
[18:07.160 --> 18:11.160]  But having said all those things, even more dangerous is diseases.
[18:11.160 --> 18:13.160]  You can see that with Franco, you know?
[18:13.160 --> 18:14.160]  There's Ebola there.
[18:15.160 --> 18:16.160]  There's all kinds of stuff.
[18:16.840 --> 18:17.840]  So, yeah.
[18:18.840 --> 18:21.840]  But also, we also find that a company,
[18:23.840 --> 18:27.840]  it was also our responsibility to leave some legacy in some countries left and right.
[18:27.840 --> 18:29.840]  Like in India, we built a house for a family.
[18:30.840 --> 18:34.840]  And here we said, okay, let's try to do the most impossible job in the world,
[18:35.840 --> 18:38.840]  in the most remote area, where there's war, where there's all kinds of stuff.
[18:39.840 --> 18:42.840]  Let's try to build a facility here for marijuana,
[18:42.840 --> 18:44.840]  and let's see how it goes, and let's see how difficult it is.
[18:45.520 --> 18:49.520]  And also, don't forget, there's 50,000 Rastafarians in Congo.
[18:50.520 --> 18:53.520]  It's the biggest Rastafarian community in the world, I think.
[18:54.520 --> 18:57.520]  And so, also, there's a big legacy there, you know?
[18:58.520 --> 18:59.520]  This is where it all originated.
[19:00.520 --> 19:02.520]  We call it the deep sea of Africa.
[19:03.520 --> 19:07.520]  It's a beautiful country, beautiful people, but just extremely complicated.
[19:08.520 --> 19:10.520]  But, you know, what do I have to say about complicated?
[19:11.520 --> 19:13.520]  Look at your elections the last two months, you know?
[19:14.200 --> 19:15.200]  It's crazy.
[19:16.200 --> 19:19.200]  So, you know, there's problems everywhere.
[19:19.200 --> 19:23.200]  There's problems in Turkey, there's problems in so many countries in Europe, you know?
[19:24.200 --> 19:26.200]  And in America, and in South America, and all over the world.
[19:28.200 --> 19:30.200]  That's because people don't smoke enough pot.
[19:31.200 --> 19:32.200]  Yeah, that's for sure.
[19:33.200 --> 19:36.200]  They should all smoke a lot and then chill out, you know?
[19:37.200 --> 19:39.200]  The government should give it out to people.
[19:39.880 --> 19:44.880]  Yeah, so we had this whole plan there, which we still hope one day they can implement, you know?
[19:45.880 --> 19:48.880]  And then just spread free oil to sick people and try to help them.
[19:49.880 --> 19:50.880]  And we can do a lot of good things there, you know?
[19:51.880 --> 19:56.880]  Because Africa is an area where people really depend on local medicine a lot.
[19:57.880 --> 20:00.880]  Because, you know, they don't have money to buy medicine.
[20:01.880 --> 20:05.880]  As a matter of fact, people don't really know, but the reason many kids in Africa don't go to school
[20:06.880 --> 20:07.880]  is because they have to guard the cattle.
[20:08.560 --> 20:11.560]  And most very poor families have like three fields.
[20:12.560 --> 20:14.560]  So one is for the millies, the corn, as you call it.
[20:15.560 --> 20:17.560]  One is for the vegetables, to eat themselves.
[20:18.560 --> 20:19.560]  And the millie is for the cattle and also for themselves.
[20:20.560 --> 20:21.560]  And they have a little marrow anfield.
[20:22.560 --> 20:24.560]  But they don't have money to buy fences.
[20:25.560 --> 20:31.560]  So the only job of the kids is to make sure the cattle, the few cows they have and goats,
[20:32.560 --> 20:36.560]  don't go into the fields and eat the crop, because then they literally die.
[20:37.240 --> 20:40.240]  So this is a big reason that kids don't go to school in Africa.
[20:43.240 --> 20:44.240]  Wow.
[20:45.240 --> 20:46.240]  Yeah.
[20:47.240 --> 20:48.240]  Pretty amazing.
[20:49.240 --> 20:52.240]  And then you come into the Western world and then your kids can't go to a really expensive school
[20:53.240 --> 20:54.240]  because you don't have money.
[20:55.240 --> 20:56.240]  Right.
[20:57.240 --> 20:58.240]  Yeah.
[20:59.240 --> 21:00.240]  Yeah.
[21:00.240 --> 21:01.240]  I mean, the whole world is so volatile.
[21:02.240 --> 21:05.240]  So and then cannabis is just evolving so much, too.
[21:05.920 --> 21:08.920]  From land races to these, you know, like Durban poison is a great example.
[21:09.920 --> 21:15.920]  And I use the example because for silver, which is one of your varieties, was bred into it.
[21:16.920 --> 21:20.920]  You know, we have Malawi, we have Durban, some of these popular land race varieties.
[21:21.920 --> 21:23.920]  Red Congolese is another one that we see here.
[21:24.920 --> 21:25.920]  But they're not the original version.
[21:26.920 --> 21:28.920]  Like the Durban poison that we see here is not the Durban land race.
[21:29.920 --> 21:30.920]  And I think there's a lot of confusion on it.
