[00:00.000 --> 00:01.280]  good connectivity there, Nick.
[04:58.760 --> 05:00.560]  a bunch of projects with him, this is
[05:00.840 --> 05:02.880]  pre-98 Bubba times skunk
[05:02.880 --> 05:03.880]  18.
[05:04.080 --> 05:06.480]  This one is a one leaf variety.
[05:06.480 --> 05:07.800]  I sprayed him a sulfur
[05:08.720 --> 05:10.200]  because it's too hot to be spraying
[05:10.200 --> 05:12.320]  neem and Kranja, but I do
[05:12.320 --> 05:14.400]  rather spray neem and Kranja.
[05:14.840 --> 05:16.400]  But yeah, this one leaf for man,
[05:16.640 --> 05:17.640]  there's something about it.
[05:17.640 --> 05:19.000]  I think it's really special.
[05:21.040 --> 05:22.320]  But yeah, this is my garden.
[05:22.320 --> 05:23.600]  This is my side deal.
[05:23.640 --> 05:25.400]  My dad and I, I'm teaching
[05:25.400 --> 05:26.720]  my dad how to grow.
[05:27.040 --> 05:28.840]  And we do a giant
[05:28.840 --> 05:30.000]  tomato garden.
[05:30.000 --> 05:31.720]  I got like, hmm.
[05:31.960 --> 05:33.960]  Well, I told you I grow like almost
[05:33.960 --> 05:36.000]  a thousand pounds of tomatoes, but
[05:38.080 --> 05:40.160]  few of them didn't get cages.
[05:44.770 --> 05:46.330]  But they're about nine foot tall
[05:46.330 --> 05:47.330]  right now.
[05:48.130 --> 05:50.210]  Nice. My my my outside
[05:50.210 --> 05:51.690]  tomatoes are doing terrible, but I
[05:51.690 --> 05:53.170]  got I got some pretty good good
[05:53.490 --> 05:55.330]  long straight vines and tomatoes
[05:55.330 --> 05:56.410]  right now that are killing it.
[05:56.770 --> 05:57.770]  I'm super pumped.
[06:00.530 --> 06:02.370]  They're all heirloom varieties.
[06:02.370 --> 06:04.370]  I breed my own tomatoes,
[06:05.010 --> 06:06.850]  so I take Baker Creek
[06:07.690 --> 06:09.570]  seeds and I'll just, you
[06:09.570 --> 06:11.410]  know, get them close
[06:11.410 --> 06:13.410]  and then run through different
[06:13.770 --> 06:15.730]  tomatoes that I've kept kind
[06:15.730 --> 06:17.690]  of particularly ones
[06:17.690 --> 06:19.490]  that may have a little rot spot on
[06:19.490 --> 06:21.450]  them or guy eating on a little
[06:21.450 --> 06:22.450]  bit and
[06:23.450 --> 06:25.010]  I run them and then I'll pick the
[06:25.010 --> 06:26.650]  best from the years before this
[06:26.650 --> 06:28.450]  early grow variety
[06:28.450 --> 06:30.170]  is just I know
[06:30.170 --> 06:31.490]  we're talking about pot, but look at
[06:31.490 --> 06:33.410]  this thing like.
[06:35.730 --> 06:36.730]  No, I do.
[06:36.770 --> 06:38.450]  I can love to me, I love tomatoes,
[06:38.450 --> 06:39.610]  I love getting into all the other
[06:39.610 --> 06:41.370]  stuff. I mean, it's there's as
[06:41.370 --> 06:42.930]  much many different varieties and
[06:42.930 --> 06:44.530]  fun stuff to get into with that, too.
[06:45.370 --> 06:46.410]  Do you guys have anything?
[06:46.410 --> 06:47.690]  Peter's like, oh, I got
[06:47.690 --> 06:48.730]  caterpillar, but we've got some
[06:48.730 --> 06:49.730]  outdoor growers here.
[06:50.090 --> 06:51.610]  Like so I mean,
[06:51.970 --> 06:53.250]  what's your how do you deal
[06:53.570 --> 06:55.210]  with preventative prevention of
[06:55.210 --> 06:56.530]  caterpillar? What you get one like?
[06:56.530 --> 06:58.050]  I mean, like these guys,
[06:59.210 --> 07:00.890]  you know, I really didn't get to it
[07:00.890 --> 07:02.890]  this year because I've been having
[07:02.890 --> 07:04.690]  a bunch of breeding projects.
[07:04.690 --> 07:06.250]  But normally I do.
[07:06.250 --> 07:08.010]  These are just things that popped up
[07:08.010 --> 07:10.290]  that my dad kind of did mow over,
[07:10.610 --> 07:12.490]  but a bunch of sunflowers, man.
[07:12.490 --> 07:14.450]  Normally we have about five
[07:14.450 --> 07:16.410]  hundred sunflowers
[07:16.410 --> 07:18.330]  we plant and then I go through
[07:18.330 --> 07:20.130]  and I'll dry them out, set them
[07:20.130 --> 07:21.130]  on a rock,
[07:21.890 --> 07:23.690]  take bamboo and beat the seeds
[07:23.690 --> 07:24.690]  out of them.
[07:26.210 --> 07:28.010]  But this one, they're all giants.
[07:28.210 --> 07:29.810]  But this one in particular
[07:30.570 --> 07:32.570]  is a giant, but
[07:33.050 --> 07:34.650]  it's got a little head compared to
[07:34.650 --> 07:36.650]  the rest. It's I'm actually
[07:36.650 --> 07:38.250]  definitely going to keep this one to
[07:38.250 --> 07:40.170]  the side and then I'm going
[07:40.170 --> 07:42.010]  to buy some more from Baker
[07:42.010 --> 07:43.850]  Seeds. But yeah, we'll we'll
[07:43.850 --> 07:45.370]  line this thing up.
[07:45.370 --> 07:47.090]  It's normally like I wish
[07:47.090 --> 07:48.890]  I could have sent you some pictures,
[07:48.890 --> 07:50.330]  but we'll
[07:51.530 --> 07:53.450]  just outline the whole garden
[07:53.450 --> 07:55.250]  and sunflowers and then we'll plant
[07:55.250 --> 07:57.130]  the marigolds in the corners right
[07:57.130 --> 07:57.890]  here.
[07:57.890 --> 07:59.690]  Watermelons grew up just kind of
[07:59.690 --> 08:00.690]  randomly, but
[08:02.130 --> 08:04.290]  man, just beneficial plants.
[08:04.290 --> 08:05.530]  So, you know, you got to have your
[08:05.530 --> 08:07.010]  mulch, you got to have your cover
[08:07.010 --> 08:09.010]  crops. It's you're not going to win
[08:09.010 --> 08:10.410]  if you think that you're going to
[08:10.410 --> 08:12.010]  win with sprays.
[08:12.850 --> 08:14.810]  You know, you can only keep
[08:14.810 --> 08:15.810]  them at bay.
[08:17.250 --> 08:19.090]  And I firmly believe that you're
[08:19.090 --> 08:21.010]  building an ecosystem and
[08:21.010 --> 08:22.410]  you're just going to have to thrive
[08:22.410 --> 08:24.090]  by the ones that thrive off the
[08:24.090 --> 08:25.090]  others.
[08:26.050 --> 08:28.050]  And so, you
[08:28.050 --> 08:30.490]  know, you plant your rosemary
[08:30.490 --> 08:33.250]  and stuff for your spider
[08:33.250 --> 08:35.610]  mites and get that out of the garden
[08:35.610 --> 08:37.650]  and you get up with your sunflowers
[08:37.650 --> 08:40.250]  and it brings in those parasitic
[08:40.250 --> 08:42.450]  wasps and they do a number
[08:42.450 --> 08:44.250]  on all the caterpillars.
[08:44.250 --> 08:46.250]  But look, I got caterpillars.
[08:47.410 --> 08:48.410]  Well.
[08:48.850 --> 08:50.490]  All over those.
[08:51.170 --> 08:53.090]  And I'd way rather have them over
[08:53.090 --> 08:54.570]  here on these.
[08:55.730 --> 08:57.650]  Then all my plants, but
[08:57.650 --> 08:59.530]  for a secondary thing,
[08:59.530 --> 09:01.530]  man, them dynatraps, you know,
[09:01.530 --> 09:02.810]  I got one right here.
[09:02.810 --> 09:04.850]  It's on the edge of the garden
[09:04.850 --> 09:06.970]  with these sunflowers
[09:06.970 --> 09:07.970]  and
[09:09.090 --> 09:11.250]  this little dynatrap is
[09:11.250 --> 09:13.330]  made for about one acre
[09:13.330 --> 09:14.330]  and
[09:15.770 --> 09:17.650]  it I've when you
[09:17.650 --> 09:19.330]  empty this out, you can actually
[09:19.330 --> 09:21.410]  empty this out on a full moon night
[09:22.410 --> 09:24.610]  and cast it over your plants
[09:24.610 --> 09:26.250]  like a it's
[09:26.250 --> 09:27.770]  kind of some witchery stuff, but you
[09:27.770 --> 09:29.930]  can cast it over your plants and
[09:29.930 --> 09:32.090]  just like some insect frass and
[09:32.090 --> 09:34.170]  it really deters them.
[09:34.170 --> 09:36.130]  If you do it biodynamically,
[09:38.210 --> 09:40.290]  I really firmly believe that.
[09:40.290 --> 09:42.170]  And I and then, you know, I do
[09:42.170 --> 09:44.810]  use insect frass with my compost.
[09:44.810 --> 09:45.810]  It's a great
[09:46.570 --> 09:48.410]  a great element to use in
[09:48.410 --> 09:49.410]  the garden. I
[09:51.490 --> 09:52.970]  can't get enough of it, actually.
[09:54.170 --> 09:55.610]  But you can only use it like once
[09:55.610 --> 09:57.130]  every eight weeks because it's high
[09:57.130 --> 09:59.090]  in nitrogen and you don't
[09:59.090 --> 10:01.210]  want to do too much foliar, you
[10:01.210 --> 10:02.210]  know.
[10:05.660 --> 10:06.660]  But yeah, I really like this
[10:06.660 --> 10:07.460]  strawberry variety.
[10:07.460 --> 10:08.700]  It's it's my favorite.
[10:08.700 --> 10:09.900]  It's the only thing that I've kept
[10:09.900 --> 10:11.940]  around for like six
[10:11.940 --> 10:12.940]  years now.
[10:14.340 --> 10:16.340]  You know, this is one of the plants
[10:16.340 --> 10:17.900]  that I risked my life for growing
[10:17.900 --> 10:20.140]  before it was before it was legal.
[10:20.140 --> 10:21.140]  This one right here.
[10:22.740 --> 10:24.380]  And now that I'm able to sift
[10:24.380 --> 10:26.140]  through enough genetics to breed
[10:26.140 --> 10:28.100]  back to it and maybe find something
[10:28.100 --> 10:30.140]  that'll pair well with it
[10:30.140 --> 10:31.420]  and do what I want.
[10:33.660 --> 10:35.740]  You know, for what I want it like
[10:35.740 --> 10:37.380]  I have a few things I'm doing and
[10:37.380 --> 10:39.300]  one is for MS, the other ones
[10:39.300 --> 10:40.300]  for
[10:41.140 --> 10:43.460]  a fungal and bacteria dominant,
[10:43.460 --> 10:45.620]  like people that have parasitic
[10:45.620 --> 10:47.780]  problems and
[10:47.820 --> 10:50.340]  or irrelevant bowel movements.
[10:52.860 --> 10:54.700]  So there's a few that I've just
[10:54.700 --> 10:56.780]  selected and I'm I
[10:56.780 --> 10:58.500]  have people that come to me and they
[10:58.500 --> 11:00.340]  have problems and they and I
[11:00.340 --> 11:02.100]  if I think that I have something
[11:02.100 --> 11:03.900]  that might work for them, I
[11:03.900 --> 11:05.460]  I just try it.
[11:05.460 --> 11:06.740]  Give them some weed to smoke.
[11:07.900 --> 11:09.300]  See if it works for them.
[11:13.260 --> 11:15.140]  Are you are you running a
[11:15.140 --> 11:17.580]  strawberry cough based
[11:17.620 --> 11:18.620]  strain, right?
[11:20.700 --> 11:22.460]  Yeah, that's that was
[11:22.460 --> 11:24.460]  the the mother of all mothers
[11:24.460 --> 11:25.500]  with strawberry cough.
[11:25.500 --> 11:27.540]  That's my favorite strain.
[11:27.540 --> 11:28.700]  It's fun.
[11:28.700 --> 11:30.500]  Oh, it's fucking hilarious because
[11:30.500 --> 11:33.100]  the first medical marijuana
[11:33.100 --> 11:35.540]  I ever smoked to actual
[11:35.540 --> 11:37.260]  first like medical.
[11:37.260 --> 11:39.540]  I'd smoke weed before, but
[11:39.540 --> 11:42.780]  the first medical was
[11:42.780 --> 11:45.300]  some strawberry.
[11:45.300 --> 11:47.540]  It was strawberry haze from
[11:48.540 --> 11:50.740]  the greenhouse.
[11:50.740 --> 11:52.500]  So it was strawberry cross
[11:52.500 --> 11:54.180]  strawberry cough
[11:54.180 --> 11:56.340]  cross with NL five haze
[11:56.340 --> 11:57.340]  mist.
[11:58.100 --> 11:59.100]  And
[12:00.780 --> 12:02.860]  it was like the most
[12:02.860 --> 12:05.260]  like absolutely
[12:05.260 --> 12:07.260]  like lightning
[12:07.260 --> 12:09.540]  like medicine fucking just
[12:09.540 --> 12:11.540]  open your eyes
[12:11.540 --> 12:13.740]  like fucking amazing ****
[12:13.740 --> 12:14.740]  in the world.
[12:18.340 --> 12:20.260]  Sorry, there's like a slasher
[12:20.260 --> 12:22.100]  bit thing going on right now, and I
[12:22.100 --> 12:23.860]  just like
[12:23.860 --> 12:25.540]  if there was a field that I would
[12:25.540 --> 12:27.180]  like to be chased by a murderer
[12:27.180 --> 12:28.300]  through, it's this one.
[12:28.300 --> 12:30.260]  I'm just going to say that right now.
[12:33.940 --> 12:35.380]  You're going to hide right now,
[12:35.380 --> 12:36.380]  London.
[12:38.500 --> 12:39.980]  Sorry, I totally cut you off,
[12:39.980 --> 12:40.980]  Coastal Grown.
[12:40.980 --> 12:42.180]  My apologies.
[12:42.180 --> 12:43.180]  You were saying.
[12:43.180 --> 12:44.460]  It's cool. It's cool.
[12:44.460 --> 12:46.860]  I was like, yeah, I way
[12:46.860 --> 12:48.700]  back in like 2007,
[12:48.700 --> 12:50.020]  like the first time I fucking
[12:50.020 --> 12:51.980]  smoked some like strawberry haze,
[12:51.980 --> 12:54.100]  it was which was like basically
[12:54.100 --> 12:55.940]  a strawberry cough, fucking
[12:55.940 --> 12:57.980]  client, a clone cross
[12:57.980 --> 12:59.820]  with it was
[12:59.820 --> 13:01.140]  an L five haze mist.
[13:03.060 --> 13:05.020]  It basically it's this very
[13:05.020 --> 13:06.940]  similar fucking cross,
[13:06.940 --> 13:09.740]  and it was it was this like so
[13:09.740 --> 13:11.940]  like medical.
[13:11.940 --> 13:13.500]  It was very medical.
[13:13.500 --> 13:15.060]  And it's funny that he mentions
[13:15.060 --> 13:17.180]  that it's medical because
[13:17.180 --> 13:19.340]  like it really
[13:19.340 --> 13:21.180]  had that was the fucking first
[13:21.180 --> 13:23.140]  thing that I felt like made me
[13:23.140 --> 13:25.540]  feel like we actually
[13:25.540 --> 13:27.620]  made me feel
[13:27.620 --> 13:29.340]  medically better because
[13:29.340 --> 13:30.820]  the rest of the time I was just
[13:30.820 --> 13:33.580]  smoking weed to just get high
[13:33.580 --> 13:35.580]  and get fucked up and
[13:35.580 --> 13:37.500]  and not so much to feel
[13:37.500 --> 13:38.660]  like better.
[13:38.660 --> 13:40.620]  And then that actually like
[13:40.620 --> 13:42.380]  made me feel like, wow,
[13:42.380 --> 13:44.260]  like something actually happened in
[13:44.300 --> 13:44.980]  my brain.
[13:44.980 --> 13:47.220]  And it does.
[13:47.220 --> 13:49.140]  Yeah, so I understand
[13:49.140 --> 13:50.860]  what he's saying and what he's
[13:50.860 --> 13:51.700]  talking about.
[13:51.700 --> 13:54.020]  And it's just like it really
[13:54.020 --> 13:55.100]  that strawberry
[13:56.060 --> 13:57.900]  it really, really, really
[13:57.900 --> 13:59.780]  has a thing to it.
[13:59.780 --> 14:01.820]  And they use it in GW,
[14:01.820 --> 14:03.260]  I think, pharmaceuticals.
[14:05.260 --> 14:06.980]  For some of their fucking
[14:06.980 --> 14:09.260]  hybrids, but they
[14:09.260 --> 14:11.140]  they've kind of tried to hide what
[14:11.140 --> 14:12.700]  they're doing now.
[14:12.700 --> 14:13.700]  They don't.
[14:14.940 --> 14:16.820]  But you kind of talk
[14:16.820 --> 14:19.140]  a little bit more, especially
[14:19.140 --> 14:21.060]  when Franco and.
[14:22.820 --> 14:25.220]  Ariane were more involved,
[14:25.220 --> 14:26.220]  but yeah.
[14:30.500 --> 14:32.620]  I don't want to get too
[14:32.620 --> 14:33.620]  far into that.
[14:40.060 --> 14:41.220]  Inside plants, too.
[14:42.780 --> 14:44.580]  Yeah, OK, shit, I got to read,
[14:44.580 --> 14:46.020]  I got to read up the screen here.
[14:46.020 --> 14:47.020]  My apologies.
[14:47.620 --> 14:57.710]  So yeah, I got a bunch of.
[15:00.910 --> 15:01.910]  Varieties.
[15:04.070 --> 15:06.910]  This one, it's actually
[15:06.910 --> 15:09.110]  Russ Brandon's TK, TK,
[15:09.110 --> 15:11.510]  LB or TK, TK
[15:11.510 --> 15:14.030]  times NL five
[15:14.030 --> 15:16.310]  times on Hayes and then
[15:16.310 --> 15:18.830]  we have a line one BX
[15:18.830 --> 15:20.830]  that was Jackson's from.
[15:20.830 --> 15:23.110]  Can you do me a favor and just
[15:23.110 --> 15:24.310]  slow down?
[15:24.310 --> 15:26.350]  Slow down on camera as
[15:26.350 --> 15:27.350]  much as you can.
[15:27.350 --> 15:29.350]  Take some nice big pauses
[15:29.350 --> 15:31.430]  like right in a couple good zones.
[15:31.430 --> 15:33.230]  Don't try and like
[15:33.230 --> 15:34.950]  slow it down a little bit.
[15:37.830 --> 15:39.550]  Everybody gets so excited to show
[15:39.550 --> 15:41.150]  everything so quickly that it kind
[15:41.150 --> 15:42.950]  of like we get a little jumpy back
[15:42.950 --> 15:43.950]  and forth.
[15:44.990 --> 15:46.870]  Yeah, like just like pause
[15:46.870 --> 15:47.870]  right there.
[15:48.710 --> 15:50.630]  And then like tell me all about
[15:50.630 --> 15:51.630]  it, baby.
[15:52.630 --> 15:53.630]  I'm sorry,
[15:53.630 --> 15:54.630]  that's just so lame.
[15:58.630 --> 16:00.630]  Can you tell me about it, Nick?
[16:02.030 --> 16:03.870]  Yeah, you're breaking up a little bit.
[16:03.870 --> 16:05.670]  Am I am I lagging?
[16:06.390 --> 16:07.390]  A little bit.
[16:09.510 --> 16:11.030]  How am I coming through, guys?
[16:12.270 --> 16:13.270]  Better now.
[16:13.310 --> 16:14.310]  I think it was me.
[16:17.230 --> 16:18.230]  That was gorgeous.
[16:18.230 --> 16:19.230]  What you got going?
[16:19.350 --> 16:21.350]  So this is Russ
[16:21.350 --> 16:23.350]  Brandon's TKTK
[16:23.390 --> 16:24.390]  times
[16:25.230 --> 16:27.150]  Northern Lights number five
[16:27.150 --> 16:29.510]  times on Hayes times
[16:30.390 --> 16:32.230]  Jackson's line one back
[16:32.230 --> 16:34.230]  cross Jackson from
[16:34.230 --> 16:36.230]  Mean Gene, you know,
[16:36.230 --> 16:37.230]  freeborn selection.
[16:38.230 --> 16:40.230]  That's this is his
[16:40.230 --> 16:42.230]  and Russ Brandon's
[16:44.910 --> 16:45.910]  are seeds right here.
[16:45.910 --> 16:47.910]  So this is his
[16:48.030 --> 16:50.150]  are seeds right here
[16:50.150 --> 16:52.150]  that are Brandon's.
[16:55.590 --> 16:56.910]  And here's another
[16:56.910 --> 16:57.910]  horrible.
[17:00.750 --> 17:02.430]  Was I coming through creepy?
[17:04.150 --> 17:05.430]  Am I cleaner now?
[17:05.430 --> 17:06.430]  Yeah.
[17:07.870 --> 17:09.390]  All right, I had two mics on.
[17:09.390 --> 17:10.390]  That was my fault.
[17:15.190 --> 17:16.710]  And these are just plants, brother.
[17:16.710 --> 17:17.710]  So this is a.
[17:19.110 --> 17:21.110]  Thank you. This is nine pound hammer
[17:21.150 --> 17:22.350]  and it's not a very great.
[17:22.350 --> 17:23.350]  You.
[17:24.630 --> 17:25.750]  Elder, but.
[17:28.590 --> 17:30.390]  Is that James Ruth nine pound
[17:30.390 --> 17:31.390]  hammer?
[17:32.630 --> 17:34.430]  Yes, these are my Finos
[17:34.430 --> 17:36.110]  through about fifteen
[17:36.110 --> 17:37.110]  hundred seeds.
[17:37.750 --> 17:39.350]  Do I have six?
[17:40.830 --> 17:41.830]  This is so when
[17:42.790 --> 17:43.790]  I bought.
[17:47.530 --> 17:48.410]  Whose was it?
[17:48.410 --> 17:49.410]  Emerald
[17:50.450 --> 17:52.210]  Emerald Mountain seeds, I had
[17:52.210 --> 17:54.290]  a spice cream that I was doing
[17:54.290 --> 17:56.090]  to breed with the
[17:56.090 --> 17:57.290]  lime or from
[17:57.290 --> 17:58.290]  Russ Brandon.
[17:59.050 --> 18:00.050]  And I was gifted
[18:01.090 --> 18:02.850]  some green cauliflower
[18:02.850 --> 18:03.650]  seeds.
[18:03.650 --> 18:05.490]  And then I was gifted
[18:05.490 --> 18:07.610]  this mango cookies
[18:07.610 --> 18:09.610]  and out of the six seeds
[18:09.610 --> 18:10.810]  that came from Daga.
[18:13.170 --> 18:14.170]  That was a gift.
[18:14.970 --> 18:17.010]  There was two that made it one male,
[18:17.010 --> 18:18.210]  one female.
[18:18.210 --> 18:19.850]  Look at this plant, man.
[18:20.850 --> 18:21.850]  It's just phenomenal.
[18:21.850 --> 18:23.650]  It smells just like
[18:23.650 --> 18:24.490]  mango cookies.
[18:24.490 --> 18:25.490]  So what did I do?
[18:27.610 --> 18:29.290]  I bred it back
