[00:32.700 --> 00:34.700]  Well
[04:20.560 --> 04:25.320]  To help them to adapt to this changing so fast
[04:26.920 --> 04:28.920]  Do you select
[04:29.200 --> 04:31.200]  You're selecting for
[04:31.320 --> 04:35.080]  Drought resistance is in your hemp I saw on your website
[04:35.080 --> 04:39.240]  You've got six different varieties of hemp on there and they're all
[04:39.680 --> 04:46.840]  less than point three three on the the THC and around eight or ten on the
[04:48.040 --> 04:50.040]  THC with some CBG in there
[04:50.320 --> 04:56.640]  Do you do you select for chemotype or do you select for drought resistance or structure?
[04:57.000 --> 05:01.400]  How do you go about your selection because you have to have a goal a
[05:02.040 --> 05:07.760]  Yellow is just one. Oh, the goal is changed many times during the years
[05:08.320 --> 05:13.920]  in the sense that in the first two or three years our main
[05:14.880 --> 05:21.480]  focus one was on structure and structure of the root in order to
[05:22.240 --> 05:28.440]  Make the variety with that are able to resist to all these eat and
[05:29.520 --> 05:36.400]  To grow well without large amount of water not without water without large amount of water
[05:37.000 --> 05:39.840]  Then we moved on on the chemotype
[05:40.320 --> 05:41.640]  obviously
[05:41.640 --> 05:47.080]  because this was a selection for a pre-base variety and
[05:48.080 --> 05:55.320]  The work goes on in in the direction of having a chemotype with those
[05:56.640 --> 06:01.480]  Characteristic that we have decided to have in structure and taproot system
[06:03.800 --> 06:11.680]  That was the idea now the results are quite good because we have developed
[06:12.360 --> 06:16.120]  Fields of production all around in Italy and also in Europe
[06:17.360 --> 06:19.680]  sometimes also in United States and
[06:20.360 --> 06:24.160]  we have got very good data about the
[06:25.640 --> 06:29.640]  Capability of the variety to adapt to those different weather
[06:30.520 --> 06:35.960]  So one example is in West Virginia where there is a lot of water instead of us
[06:36.000 --> 06:42.400]  But the idea was always to try to test the worst case
[06:43.400 --> 06:50.000]  scenario and then we will have better results and better data in good conditions
[06:50.000 --> 06:55.800]  Of course, the chemotype is very important for me, especially on a population base
[06:57.040 --> 06:59.560]  Maybe my idea was to improve and maintain
[07:01.040 --> 07:03.040]  Once I get through the chemotype
[07:03.080 --> 07:08.880]  I understood that they were two different roads, you know
[07:09.640 --> 07:14.240]  Because maintain an heirloom races. It means maintain the
[07:14.920 --> 07:20.280]  Diversity and the fitness of the variety the capability to adapt
[07:21.120 --> 07:23.120]  instead improve
[07:23.920 --> 07:29.480]  for commercial purposes, it means use bottleneck and
[07:29.840 --> 07:31.840]  Lose these
[07:32.560 --> 07:40.880]  Capability of adapt and also the variability of inside the strain because customer obviously need
[07:42.080 --> 07:45.320]  Something that is stable and reliable, you know
[07:45.840 --> 07:52.080]  So I understood that those two things that I put in the title, you know at the starting
[07:53.000 --> 07:55.000]  They were two different things
[07:55.480 --> 07:57.480]  They were two different things
[07:57.760 --> 08:04.840]  But I'm very happy of that because the thing that moved me every day in my farm and what I do is the passion
[08:05.440 --> 08:07.720]  for the work and for the study I
[08:10.920 --> 08:17.040]  Think that is putting in simple in a simple way is more
[08:19.000 --> 08:23.680]  Interesting the travel, you know, then the place where we are going
[08:24.480 --> 08:26.480]  So right
[08:26.920 --> 08:32.360]  In your name says sativa creations and I know generally I find the thin leaf
[08:33.080 --> 08:40.480]  Cannabis has a specific chemotype that it's tending tend it tends to be less sedative on the medicinal side
[08:40.560 --> 08:42.560]  and more
[08:42.640 --> 08:43.680]  Oh
[08:43.680 --> 08:46.260]  I don't know uplifting and it has a
[08:46.640 --> 08:51.760]  It can tend to make people feel paranoid and stuff when it's the THC varieties
[08:51.760 --> 08:54.960]  But I haven't done a lot of work with hemp varieties. I've done some
[08:55.920 --> 08:59.680]  Testing to see how how well they hold to their point three three
[08:59.680 --> 09:05.400]  And I found that if I take anything and just run it a little bit long. It's up around 1%
[09:06.120 --> 09:12.840]  With the tea. Yeah, that is true. That is absolutely true. That is absolutely true because this is
[09:14.280 --> 09:17.000]  The parameter where the population
[09:17.800 --> 09:19.800]  Stay in the wild
[09:19.840 --> 09:22.640]  Okay, so we could definitely say
[09:23.440 --> 09:29.480]  that mostly of the variety get to 1% naturally in the sense that if the
[09:30.320 --> 09:35.000]  cross-pollination of course the genetics get to that point so
[09:35.960 --> 09:40.520]  Trying to stay under this level. It means making a lot of work
[09:41.480 --> 09:44.480]  Because we have to make a selection
[09:44.920 --> 09:46.920]  Not
[09:49.720 --> 09:51.720]  On the middle results
[09:53.280 --> 10:00.480]  On the on the middle results of the of the curve, but we have to select just a small fraction
[10:01.400 --> 10:04.880]  of the code that not only naturally occur and
[10:06.680 --> 10:08.680]  So could be or
[10:08.680 --> 10:10.680]  a
[10:12.400 --> 10:14.400]  Selection that goes in a direction
[10:15.320 --> 10:16.640]  You know
[10:16.640 --> 10:24.040]  Right. So you're you're trying to basically select out the THC synthase gene and only keep
[10:24.720 --> 10:26.720]  something that would produce
[10:26.760 --> 10:34.240]  CBD a and CBGA and then you watch how it's converting to the CBG or C CBD
[10:34.520 --> 10:40.280]  Close to the end and then you you cut it at a particular time before you your key
[10:40.280 --> 10:43.760]  It's a bum but no absolutely not
[10:44.320 --> 10:45.720]  Absolutely not
[10:45.720 --> 10:50.280]  After many generation is possible to count cut away
[10:50.720 --> 10:59.160]  All the results that are negative in your selection. So our idea was to my idea was to select
[11:00.160 --> 11:02.160]  The
[11:02.480 --> 11:10.120]  BT gene more dysfunctional as possible in order to have something that at full ripen
[11:12.520 --> 11:14.520]  Stay under
[11:14.560 --> 11:18.320]  Those levels, you know in Italy we have 0.6
[11:18.840 --> 11:25.120]  So it's already better. It's better. It's much better because give us the chance
[11:26.000 --> 11:30.520]  To try and try and to make a lot of mistakes, you know, right
[11:31.240 --> 11:34.800]  Yeah, and you get fluctuations one plant to another plant
[11:34.800 --> 11:42.120]  If you're how many seeds a year like if you're producing a million seeds a year and you grow all million of those seeds out
[11:42.120 --> 11:44.640]  They're gonna test some will test a little hotter or lower
[11:45.640 --> 11:51.160]  As you make batches, so each batch probably has a different overall collective chemotype
[11:51.840 --> 11:58.800]  Absolutely, absolutely. Absolutely is like you say but the the point was is to
[12:00.960 --> 12:02.960]  Use this bottleneck
[12:02.960 --> 12:05.080]  That is this founder effect
[12:05.840 --> 12:09.040]  in order to get down to
[12:10.120 --> 12:16.000]  The synthesis of Delta 90 HC and total THC. This is very difficult
[12:16.000 --> 12:18.960]  This is very hard and takes a lot of generation, you know
[12:19.560 --> 12:23.600]  But it's something it could be done and you think
[12:27.360 --> 12:28.560]  What
[12:28.560 --> 12:34.760]  Is that as the market there for you for that many seeds because I don't I my my daughter
[12:35.200 --> 12:41.520]  Works in cannabis and they grew huge amounts of good CBD flower
[12:41.920 --> 12:44.520]  That that tested right it was perfect
[12:44.640 --> 12:49.720]  But there was just there's just zero market in the United States for it right now and
[12:50.560 --> 12:52.560]  CBD is coming from so many directions
[12:53.000 --> 12:59.920]  Do you think that the future for because I work on strains that are balanced? They're like 8%
[13:00.800 --> 13:01.800]  CBD
[13:01.800 --> 13:04.800]  well one to five percent CBG and
[13:05.680 --> 13:11.280]  11 percent THC so I have some balanced ones. I work with that that grow outside
[13:11.280 --> 13:16.640]  I don't ever use trellises or anything on them because I want to take and have their genetics
[13:17.440 --> 13:19.400]  Like you say you're working for structure
[13:19.400 --> 13:25.580]  I want my genetics so that people can machine plant it with a vacuum seeder. They can walk away let the rain hit it
[13:25.580 --> 13:32.000]  it's drought tolerant and then they come back and machine harvest it and it goes for concentrates for pins or something and
[13:32.360 --> 13:35.960]  And at that point they probably can separate the CBD
[13:36.400 --> 13:41.840]  On one side and the THC on another if they want if you can grow huge amounts of field grown
[13:42.040 --> 13:45.260]  Why would they want to grow stuff with no THC?
[13:46.520 --> 13:51.280]  If they could in the exact same spot get eight over eight percent
[13:51.920 --> 13:55.480]  CBD and then 11 percent THC and another 4%
[13:56.360 --> 13:58.360]  CBG
[13:58.360 --> 14:02.640]  You know I don't know that I'm wondering what what if there's a huge market
[14:02.640 --> 14:09.080]  And I don't even know that the markets out there for for CBD hemp. I know that a lot of people are wanting it but
[14:10.400 --> 14:16.600]  What kind of what kind of volumes do you see out there worldwide because I my world's kind of small I?
[14:17.480 --> 14:19.480]  Think that there is a good market
[14:20.160 --> 14:26.880]  Definitely because you have to think about that those variety that don't have any psychoactive effect
[14:29.200 --> 14:32.360]  Will be more commonly used because
[14:32.640 --> 14:37.920]  It's the alternative of tobacco. Okay. We are we are trying these
[14:39.520 --> 14:43.760]  Having locked up the THC possibility and
[14:44.720 --> 14:49.560]  It's a shame because I love the 101 as you are saying
[14:50.160 --> 14:55.160]  Right and this put us on a new road to try to do something different
[14:56.040 --> 15:00.240]  Also with the some reluctance as you are saying before
[15:00.840 --> 15:02.840]  Right was the same for us
[15:03.080 --> 15:09.680]  But was the unique unique thing that we could do so we try and try and try and we understood that
[15:09.760 --> 15:15.320]  There are two different things that we could do to take down THC level. It's very easy
[15:15.360 --> 15:23.240]  We take down the quantitative side of the variety in order to have at the beginning of the chain of reaction
[15:23.560 --> 15:24.560]  a
[15:24.560 --> 15:30.600]  Small amount of CBG in order to let at the end with not so much CBD
[15:30.760 --> 15:34.000]  But with a very low THC level
[15:34.760 --> 15:41.280]  On the other side after years of work, you know, I think perfectly what I mean
[15:43.400 --> 15:49.480]  You find new directions you find new opportunities new possibilities
[15:50.440 --> 15:52.520]  for example this year
[15:53.520 --> 15:58.360]  Many batch from clients around the world show up show up
[15:59.520 --> 16:01.520]  some really interesting ratio
[16:02.800 --> 16:07.240]  That I don't have advertised so much because I need a much more
[16:08.080 --> 16:09.560]  complete
[16:09.560 --> 16:11.080]  distribution of data
[16:11.080 --> 16:13.320]  Where we get to the point to have?
[16:14.880 --> 16:16.000]  1290
[16:16.000 --> 16:22.240]  So a THC level close to zero point two and more than forty percent
[16:22.520 --> 16:28.120]  Of CBD that was something that I thought was impossible to do
[16:28.760 --> 16:30.760]  so now we are
[16:31.080 --> 16:32.240]  4-0
[16:32.240 --> 16:34.000]  40% or
[16:34.000 --> 16:36.000]  14 14 percent. Oh
[16:36.920 --> 16:42.920]  14-1 to 90 that it's something really really good that we never expect I
[16:43.640 --> 16:49.400]  Cannot say that that in all the population you will find these kind of parameters
[16:49.720 --> 16:56.520]  But we have got strong results on this on some of our mother plant
[16:58.200 --> 17:03.840]  And and this is connected to what I was saying before the founder effect
[17:04.520 --> 17:06.520]  It's something that I understood
[17:07.760 --> 17:09.760]  during the work
[17:09.960 --> 17:16.680]  You choose a single individuals to goes on this reduce genetical variability
[17:16.920 --> 17:20.400]  So in somehow you are destroying the variety
[17:20.920 --> 17:22.400]  but
[17:22.400 --> 17:28.800]  Give you the opportunity if you use the proper techniques of maintaining the equilibrium and the homozygosis
[17:28.800 --> 17:35.600]  So in breeding techniques and out crossing inside the same line in order to have the same
[17:36.040 --> 17:42.200]  vigor of the variety and we get to this point after four or five generation of
[17:42.840 --> 17:47.480]  Double up double the ratio and the cannabinoid content
[17:49.520 --> 17:54.240]  As I said before I wake up every morning because I like what I do and
[17:55.160 --> 18:01.480]  I like to study I like to understand what I'm what I'm doing and what I'm trying to do
[18:02.160 --> 18:04.000]  and
[18:04.000 --> 18:07.000]  How do you do your testing like your sift?
[18:07.720 --> 18:14.280]  As we bring you know breeders know that we do we sift we select and if you say you're selecting for chemotype
[18:14.480 --> 18:20.840]  Do you grow a mature plant and you breed that plant and then do you test that plant and keep the seed on that plant?
[18:21.000 --> 18:23.920]  Separate from every other one or yeah
[18:23.920 --> 18:29.040]  yeah, I do a little bit difference in the sense that I run a small population and
[18:30.160 --> 18:33.800]  I cross it separately with an ancestor
[18:34.800 --> 18:38.360]  Then I look on the results having the seeds already
[18:39.960 --> 18:42.840]  Made in order to choose which are
[18:44.040 --> 18:51.360]  The lines that have to go on in the improvement instead all the other lines that are
[18:53.840 --> 18:58.280]  Part of the original population and keep inside all the variability
[18:58.400 --> 19:04.040]  Have to be reproduced in order to don't destroy the original variety
[19:04.760 --> 19:07.600]  So the maintenance of the variety
[19:08.760 --> 19:10.120]  obviously
[19:10.120 --> 19:12.120]  The test is very difficult
[19:13.040 --> 19:15.040]  especially with this time
[19:15.400 --> 19:18.520]  level of THC because we have a lot of
[19:19.560 --> 19:21.560]  also analytic issue and
[19:22.200 --> 19:24.200]  Better understand also the
[19:25.000 --> 19:27.960]  relationship between the growing condition
[19:28.760 --> 19:35.080]  Respect to the data that we have at the end. It's very important to make a curve of
[19:36.320 --> 19:40.480]  the rising up of the cannabinoids and the secondary
[19:41.240 --> 19:42.720]  metabolites
[19:42.720 --> 19:46.600]  during the flowering period to understand in which
[19:47.960 --> 19:49.960]  situation we are and
[19:50.120 --> 19:52.120]  Situation we are as
[19:53.720 --> 19:56.920]  Chemotype genotype, you know because
[19:58.200 --> 20:05.120]  all those genotypes have a frequency that is a frequency that is in equilibrium with
[20:05.680 --> 20:07.680]  genetic the genome
[20:08.080 --> 20:15.320]  Frequency. Yeah, do you do you test then when you say a small population when I say a small population?
[20:15.520 --> 20:17.840]  I'm talking about a hundred. What?
[20:19.960 --> 20:21.160]  Huh?
[20:21.160 --> 20:24.920]  also 200 or 300 of individuals
[20:25.520 --> 20:27.520]  This is a small
[20:28.160 --> 20:34.280]  Pollinate or are you are you doing only feminized in that breeding? No, I use
[20:36.440 --> 20:39.640]  For I used for many generation a
[20:40.400 --> 20:45.680]  unique a unique or a couple of male and Chester that have certain characteristics
[20:46.680 --> 20:48.680]  That I want to carry on
[20:49.960 --> 20:54.000]  I went on for four or five generation
[20:56.600 --> 20:58.600]  Without making feminized
[20:58.880 --> 21:05.800]  then I made the feminization at the last step in order to separate all the chemotypes and
[21:06.280 --> 21:09.360]  Make something more reliable and more
[21:11.320 --> 21:13.320]  Stable
[21:13.760 --> 21:20.920]  So you have a male a male that's your go-to mother and you basically got a male
[21:20.920 --> 21:24.800]  Mother plant that you cut all your pollinate pollen donors from
[21:25.320 --> 21:27.880]  Yeah, yeah, something like that is not easy
[21:28.920 --> 21:33.440]  Mostly of the time when I'm able to carry them for long period
[21:34.000 --> 21:36.840]  The first thing that I do is to make a major
[21:38.040 --> 21:39.680]  pollen
[21:39.680 --> 21:46.480]  Pickup and to freeze it up in the proper condition in order to have it for a long time
[21:47.880 --> 21:54.000]  Mm-hmm, and then I try to keep it alive, but mostly of the time is very difficult year after year
[21:54.600 --> 22:00.480]  It's possible. I can't keep pollen more than six months and have it. Yes. It's not worth it to me
[22:00.480 --> 22:02.480]  I just make new feminized all the time
[22:03.320 --> 22:07.960]  Yeah, this is what I'm doing now, but to stabilize the variety and
[22:08.520 --> 22:14.380]  separate all the chemotype or all the genotype or the chemotype in order
[22:15.920 --> 22:17.920]  To have something more restrained
[22:19.520 --> 22:22.960]  I've got to do this on regular basis
[22:24.480 --> 22:26.480]  So when you do a batch of seeds
[22:27.800 --> 22:30.220]  Let's say you're doing a batch of feminized seeds
[22:30.900 --> 22:35.900]  You use would I would imagine one one mother and and
[22:36.220 --> 22:38.980]  Reverse that one make a bunch of clones from that one
[22:39.460 --> 22:44.340]  Reverse it and put it on another and then make that a big big batch of seeds
[22:44.340 --> 22:50.100]  And then you do like a small population out of that batch so that you can test overall
[22:50.260 --> 22:52.660]  What you're what you'll get right?
[22:53.180 --> 22:55.180]  Absolutely five thousand at least
[22:56.020 --> 22:59.620]  Five thousand that's a pretty that's like one plant at my house
[23:02.100 --> 23:08.740]  One plant in your house yeah, I get I can get like two to four thousand seeds off a big plant
[23:09.660 --> 23:16.760]  If I do a batch of seeds, and I got you know like I did I'll do like four hundred thousand seeds
[23:17.580 --> 23:23.360]  You know at least I we did a whole bunch of sixty one hundred and twenty thousand runs
[23:23.360 --> 23:29.560]  But you know usually not small runs unless I'm just stair-stepping a line breeding program
[23:29.800 --> 23:31.860]  You know but if I go to sell something
[23:32.820 --> 23:37.880]  With it so much work to have to test it all out. You'd think you'd want to have really big batches
[23:38.680 --> 23:44.520]  Yeah, yeah is what I'm trying to do is what I'm trying to do, but in any case
[23:45.120 --> 23:50.680]  To be reliable on a market of zero point three. It's necessary to make a big test
[23:50.680 --> 23:54.520]  I have the opportunity to work with many farmers
[23:55.240 --> 23:57.240]  That join me in this
[23:57.520 --> 23:59.400]  journey of
[23:59.400 --> 24:04.840]  testing so the testing for us is not so heavy in the sense that
[24:05.720 --> 24:09.240]  Me or those farmers that do the test for me
[24:10.200 --> 24:13.600]  It's running a cultivation with 5,000 you know
[24:14.360 --> 24:20.160]  But we could get the enough data to say something that is clear. You know right
[24:21.200 --> 24:25.020]  I would think if I was spending a buck a seed and buying
[24:25.960 --> 24:31.780]  150 or half a million seeds you know I would want them all out of one batch you know and
[24:34.680 --> 24:38.260]  Monster batches and then test those monster batches
[24:38.260 --> 24:41.480]  And then if you run it and you run a little bit long and it tests hot
[24:41.680 --> 24:47.860]  Then you're gonna have to trash that whole batch and just keep working until you can do monster batches that are within your parameters
[24:48.380 --> 24:51.060]  Exactly exactly it's a long work
[24:53.180 --> 24:55.180]  Long work and you
[24:56.140 --> 24:58.620]  Lose 95% of the time
[24:59.740 --> 25:06.740]  Yeah, I know I know I I work 50 lines at any one time. I've got 50 lines working right now and
[25:07.940 --> 25:10.460]  But I work mainly on THC
[25:11.420 --> 25:13.340]  medicinal CBG
[25:13.340 --> 25:15.420]  THC V different lines like that
[25:15.980 --> 25:22.180]  For commercial quality that they grow mass production that they don't get mold and mildew and bud rot
[25:23.020 --> 25:24.340]  water
[25:24.340 --> 25:29.980]  Retention I guess is an issue now that I'm finding so I we have one that's being studied in a Quebec
[25:30.980 --> 25:33.980]  University that is uses 35% water
[25:34.300 --> 25:38.340]  Then than any other one and it does have some hemp in it from way back
[25:38.340 --> 25:43.780]  I think just looking at it, so it makes sense that some helps with and boy does it grow a taproot?
[25:43.780 --> 25:46.660]  I can grow a three inch stump on it outside
[25:46.660 --> 25:51.640]  And and when you you can't get the taproot out without digging two feet down and getting it out
[25:51.640 --> 25:54.780]  and it's just got layer after layer after layer of
[25:56.180 --> 26:00.860]  Like roots it puts a taproot out and then it sends a layer all the way around the surface
[26:00.860 --> 26:02.060]  And then it goes down a little farther
[26:02.060 --> 26:08.460]  Then there's another layer of it and it's just layer after layer after layer and I never use trellis netting
[26:08.460 --> 26:12.180]  I saw a picture on your website where you had trellis netting and
[26:12.380 --> 26:16.780]  When I was doing my outside strains, I've got some really really long autos
[26:16.780 --> 26:20.540]  I remind me to ask you about autos if you only do photo Ramos
[26:20.540 --> 26:25.000]  But I put them outside and I let them live in the wind. I don't water them
[26:25.000 --> 26:29.460]  I can grow a plant from planting a seed in the ground right here in Edmonton, Alberta
[26:29.460 --> 26:36.060]  Which is like the living on the moon, right? It's very very cold right now. We're below zero. We're gonna drop below zero
[26:36.060 --> 26:38.260]  We're gonna stay that way for the next six months
[26:38.260 --> 26:44.700]  So it's a very unforgiving place and I can plant seed outside. I can grow it all the way up to seven or eight feet
[26:44.940 --> 26:47.540]  It'll it'll produce a big crop and it won't blow over
[26:47.820 --> 26:54.660]  It's got strong stems good and it's still test in the 20s of for THC. And so
[26:55.300 --> 26:57.720]  You know, I wouldn't probably it
[26:58.380 --> 27:05.700]  When the plant is under certain stresses it can open up other genes that it has in it sleeping when you pressure
[27:06.180 --> 27:12.780]  Like so if you run it really dry or let's say you have a lot of pest pressures that plant will turn on defenses
[27:14.300 --> 27:21.180]  Human body if we poison our liver will try to try to change the DNA in a way where it can filter that poison out
[27:21.180 --> 27:23.180]  easier what
[27:24.340 --> 27:31.620]  Absolutely, you're right 100% for example, we have this issue of a leak of air pot there if the plant if the crops is
[27:32.540 --> 27:34.540]  attacked by a cover pads a
[27:35.540 --> 27:37.540]  THC level will rise up
[27:38.060 --> 27:43.140]  Absolutely, because it's not the fan system. It's obvious we try always to
[27:44.020 --> 27:51.500]  For doing this job properly to test the worst condition cases, but there are some condition that I don't accept
[27:51.660 --> 27:57.020]  You know in the sense if you have your crop that is full of a leak of air pads
[27:57.020 --> 28:00.540]  Yeah that are eating flowers like a hell, you know
[28:00.780 --> 28:04.460]  Yeah, you cannot rely on me on THC level because
[28:06.100 --> 28:12.460]  It's not possible for me to do something that work in all the possible conditions
[28:12.700 --> 28:15.300]  It's it's possible to do a good
[28:16.820 --> 28:23.480]  Variety that express in herself at the best in a certain type of conditions
[28:23.900 --> 28:25.900]  Condition are very relevant
[28:26.260 --> 28:28.260]  Yeah
[28:28.260 --> 28:32.140]  It's very relevant it's very relevant to understand
[28:33.740 --> 28:38.180]  That is not possible to don't do nothing in your grow, you know and
[28:38.820 --> 28:42.240]  Pretend to have something that goes right, you know
[28:44.180 --> 28:51.980]  It is possible people plant potatoes and people plant tomatoes and people plant a lot of stuff that they plant outside and they get
[28:52.540 --> 28:58.140]  In an area where it can grow and they don't have to do anything to it except for amend the soil
[28:58.740 --> 29:00.220]  Yeah
[29:00.220 --> 29:06.300]  It's true, but it's something very very very difficult to find because I don't know your expertise
[29:06.940 --> 29:11.020]  But I'm an agronomist and they work in many different
[29:11.820 --> 29:13.220]  fields of
[29:13.220 --> 29:15.220]  production here in Europe and in Italy
[29:16.220 --> 29:22.820]  In the last 10 years things have changed so fast think about just a tiny thing
[29:24.220 --> 29:29.680]  In the area where I am 600 meter to the sea level 10 kilometer far to the sea
[29:31.060 --> 29:32.540]  10 years ago
[29:32.540 --> 29:40.540]  There are some disease that are never came here in all the history, you know, but now things are changing so fast, you know
[29:41.260 --> 29:44.060]  That what's your what's the latitude there?
[29:45.060 --> 29:46.940]  43
[29:46.940 --> 29:48.940]  43 Sal
[29:48.940 --> 29:55.060]  Nor no, yeah. Yeah, so we're set. We're similar latitudes. It seems like
[29:56.100 --> 30:02.660]  You've got a lot. You're a lot hotter though. Wow. Yeah, because we have the mountain on the back
[30:02.740 --> 30:06.820]  that are the maritimes Alps that is a part of
[30:07.900 --> 30:10.460]  the chain of mountain that
[30:11.300 --> 30:15.740]  Separate Italy to the rest of the Europe in the north side of Italy
[30:16.740 --> 30:18.740]  those Alps are
[30:19.860 --> 30:22.320]  Big mountain that get to
[30:23.500 --> 30:29.760]  2,000 3,000 meter high and we are in these unique territory because we have
[30:30.900 --> 30:32.700]  those mountain
[30:32.700 --> 30:38.300]  2,000 3,000 meter high on our back on the north side of us and
[30:38.900 --> 30:45.860]  In the south side we have the Mediterranean Sea so we have something that keep the temperature
[30:46.900 --> 30:51.460]  Really stable that is the big Mediterranean Sea and on the north side
[30:51.460 --> 30:58.060]  We have those high mountain that cover us from the north stream of wind
[30:59.580 --> 31:04.180]  So Italy mostly of the time not always but in many cases
[31:05.820 --> 31:07.900]  Is a
[31:07.900 --> 31:13.220]  Climate, you know, it's something unusual in the soil only soil only or do you use?
[31:14.260 --> 31:16.260]  So what's your soil?
[31:16.660 --> 31:22.300]  I hear that here. We do a lot of talk about natural soil and amendments and
[31:23.780 --> 31:27.500]  Stuff I up here I start with a clay base
[31:27.500 --> 31:31.260]  I mainly have a clay soil and I've amended it and I use a lot of
[31:32.100 --> 31:37.020]  Composted alfalfa and compost and I do organic growing I don't use
[31:37.780 --> 31:39.780]  chemicals
[31:40.100 --> 31:46.260]  What starting soil do you have I I was in Italy before and I saw a lot of red dirt like a dirt with iron
[31:47.260 --> 31:50.860]  Silica and the clay and not a lot of clay like we have
[31:51.700 --> 31:57.140]  No, we have we have clay but is just in some specific area
[31:57.500 --> 32:01.900]  We could say that our soil come from the destruction the
[32:03.100 --> 32:10.420]  Disaggregation of mountains that goes down to the sea. So there is under the surface in the deep soil
[32:11.260 --> 32:13.700]  there is clay obviously then
[32:14.460 --> 32:16.540]  the the upper part
[32:17.260 --> 32:20.260]  Is made of more organic?
[32:21.940 --> 32:23.300]  Soil
[32:23.300 --> 32:26.980]  In my specific case I work on terraces
[32:27.740 --> 32:31.940]  built in the Middle Ages so that those mountain that were
[32:33.180 --> 32:40.340]  That are destroyed and goes down to the sea were contained in this wall of made of stones
[32:41.500 --> 32:45.860]  the soil in my case is a medium
[32:47.420 --> 32:50.780]  Quality soil in the sense that have inside
[32:51.420 --> 32:58.060]  Sand also clay in a part. I don't know how it's called in English. We call it Franco
[32:58.060 --> 33:00.700]  I'm quick. It's a kind of soil
[33:02.460 --> 33:06.820]  That is a good mix between sand clay
[33:07.740 --> 33:09.740]  Yeah, sandy loam
[33:10.220 --> 33:12.220]  sound
[33:12.260 --> 33:14.260]  For for cannabis
[33:14.420 --> 33:17.100]  Absolutely. This was the place where the cannabis was
[33:17.740 --> 33:19.300]  grown for
[33:19.300 --> 33:20.780]  100 years
[33:20.780 --> 33:25.740]  In all my valley where we grow mostly vineyard and olive trees
[33:26.460 --> 33:28.460]  all the
[33:28.700 --> 33:31.220]  bottom side of the valley close to the river
