[00:00.000 --> 00:02.000]  We just started
[06:38.000 --> 06:40.000]  When's the t-shirts coming out?
[06:40.000 --> 06:42.000]  But you've got them out now, right?
[06:42.000 --> 06:44.000]  Made it happen, man.
[06:44.000 --> 06:45.000]  Made it fucking happen.
[06:45.000 --> 06:47.000]  Shirts and hoodies, man.
[06:47.000 --> 06:49.000]  Next, I got to do beanies, man.
[06:49.000 --> 06:51.000]  I got to get the beanies and the hats ready.
[06:51.000 --> 06:55.000]  And like a thicker hoodie too, you know, for the winter winter.
[06:55.000 --> 06:56.000]  Yeah.
[06:56.000 --> 06:57.000]  You're an East Coast winner.
[06:57.000 --> 06:59.000]  Yeah, yeah, exactly.
[06:59.000 --> 07:03.000]  You need like the pull over fucking the solid thick hoodie for that shit, man.
[07:03.000 --> 07:04.000]  Yeah.
[07:04.000 --> 07:08.000]  Well, I, you know, that last episode, I'm actually kind of faux pawing too.
[07:08.000 --> 07:10.000]  I wore the shirt two episodes in a row.
[07:10.000 --> 07:15.000]  But again, I wanted to wear the t-shirt of the band I was going to see tonight.
[07:15.000 --> 07:16.000]  But Dave didn't have it.
[07:16.000 --> 07:23.000]  So I was going to help you out here, Dave, and anybody who's watching too.
[07:23.000 --> 07:25.000]  RVA threads.
[07:25.000 --> 07:26.000]  This is where, let me scroll.
[07:26.000 --> 07:27.000]  Let me scroll.
[07:27.000 --> 07:28.000]  This is what you got here.
[07:28.000 --> 07:33.000]  You got your t-shirts, your hoodie zip.
[07:33.000 --> 07:35.000]  I love that it's a zip up too.
[07:35.000 --> 07:36.000]  That's important.
[07:36.000 --> 07:39.000]  And then the shirt that I'm sporting right here.
[07:39.000 --> 07:41.000]  And that was just the RVA threads website.
[07:41.000 --> 07:45.000]  If anybody wants to check that out, definitely go hit that up.
[07:45.000 --> 07:49.000]  And I just put that up there because I'm pretty damn stoked with this.
[07:49.000 --> 07:51.000]  I've already gotten compliments on it.
[07:51.000 --> 07:55.000]  And I'm like, I know you don't know, but you just liked it anyway.
[07:55.000 --> 07:56.000]  So that's cool.
[07:56.000 --> 07:57.000]  Exactly.
[07:57.000 --> 08:00.000]  And I used to tell my friends, be like, yeah, they'll get you laid or whatever.
[08:00.000 --> 08:03.000]  And it actually happened in a few cases.
[08:03.000 --> 08:07.000]  And then my other friends are married, and they're like, but I already get laid.
[08:07.000 --> 08:09.000]  I'm like, but did you stop getting laid?
[08:09.000 --> 08:10.000]  No.
[08:10.000 --> 08:11.000]  No, you didn't.
[08:11.000 --> 08:12.000]  No.
[08:12.000 --> 08:18.000]  So is that a money back guarantee thing in the fine print there?
[08:18.000 --> 08:21.000]  On the laid action?
[08:21.000 --> 08:22.000]  Yeah.
[08:22.000 --> 08:25.000]  No, I can't work miracles in all cases.
[08:25.000 --> 08:26.000]  You know what I mean?
[08:26.000 --> 08:29.000]  60% of the time it works every time.
[08:29.000 --> 08:30.000]  That's right, man.
[08:30.000 --> 08:31.000]  That's right.
[08:31.000 --> 08:33.000]  Yeah, you know the deal.
[08:33.000 --> 08:34.000]  Oh, shit.
[08:34.000 --> 08:40.000]  Well, Dave, I see you've already got a couple of those logos lurking down there too.
[08:40.000 --> 08:47.000]  And I want to know or let everybody in chat know too, if you guys have some of your favorite Dominion Seed Company seeds,
[08:47.000 --> 08:52.000]  and you got some questions, definitely let us know, and I'll be keeping track of that.
[08:53.000 --> 08:57.000]  Maybe we get some inside knowledge or information from you, Duke.
[08:57.000 --> 08:59.000]  Oh, yeah, of course.
[08:59.000 --> 09:00.000]  That would be awesome.
[09:00.000 --> 09:06.000]  You know, honestly, and Dave can probably show it off here, but a lot of times on the back of your packs,
[09:06.000 --> 09:12.000]  you give some pretty good details and some pretty good information about the strains, kind of what to expect,
[09:12.000 --> 09:16.000]  kind of how to treat them, if they're going to be picky bitch or not.
[09:16.000 --> 09:18.000]  That I absolutely love.
[09:18.000 --> 09:21.000]  One, it's a big help to growers.
[09:23.000 --> 09:26.000]  But, you know, it also shows, I mean, right there, the top thing, morphology.
[09:26.000 --> 09:29.000]  It also shows that you've grown these out.
[09:29.000 --> 09:35.000]  So can you maybe speak to the importance of doing that kind of stuff with seeds as a breeder?
[09:36.000 --> 09:42.000]  Yeah, it's pretty important for like a variety of reasons.
[09:42.000 --> 09:54.000]  One, you don't want to put something out there that's going to be shit, you know, because that's just not cool.
[09:54.000 --> 10:04.000]  And two, not everything always works out, you know, so you could have a real hermaphroditic mess going on.
[10:04.000 --> 10:07.000]  Totally uncool as well.
[10:08.000 --> 10:13.000]  Also, it's good to be able to pass on that information to who's growing it,
[10:13.000 --> 10:19.000]  because whether they've been growing a hundred years or this is their very first grow,
[10:19.000 --> 10:28.000]  any added data to help them get to know that plant before they get to grow it is going to be a big help.
[10:28.000 --> 10:33.000]  And it might dictate whether or not they're going to buy it or not.
[10:33.000 --> 10:39.000]  They might be so limited on vertical space, you know, and these things are like real stretchers.
[10:39.000 --> 10:42.000]  So they might say, well, maybe that's not right for me.
[10:42.000 --> 10:51.000]  Or they might say, yeah, I'll get the females here and then I'll take cuttings and force flower cuttings or something,
[10:51.000 --> 10:53.000]  you know, to make it work in their space.
[10:53.000 --> 11:01.000]  But to go in totally blind like that, you know, it could potentially ruin some good times, you know.
[11:01.000 --> 11:07.000]  And I'm trying to make good times, not fuck them up, you know.
[11:07.000 --> 11:12.000]  No, dude, totally a good point, because I do that as well.
[11:12.000 --> 11:16.000]  I try to keep everything like around 60 days.
[11:16.000 --> 11:22.000]  That's just my rotation. And, you know, if something's a 12 week or it may be amazing,
[11:22.000 --> 11:25.000]  but it just doesn't necessarily have a place in my garden.
[11:26.000 --> 11:33.000]  So knowing those things, especially, you know, on a smaller level like myself, that helps because you're trying to just constantly flip.
[11:33.000 --> 11:39.000]  And if the rotation gets fucked up, then all of a sudden you got plants that are in lights and, you know.
[11:39.000 --> 11:41.000]  Yeah, it's no good, man.
[11:41.000 --> 11:46.000]  And like I was always like trying to get the right thing to the right people for what they need.
[11:46.000 --> 11:49.000]  And like I'll totally talk somebody out of getting something.
[11:49.000 --> 11:55.000]  They might be ready to buy it, but I know that's not going to necessarily fit in their schedule or something.
[11:55.000 --> 11:58.000]  And I'll totally talk them out of buying it.
[11:58.000 --> 12:05.000]  You know, I'll refer them elsewhere, you know, if I know something better exists, you know, for what they're trying to achieve.
[12:07.000 --> 12:11.000]  It's kind of I appreciate that. It's kind of crazy in a sense.
[12:11.000 --> 12:17.000]  It's like it's that honesty of losing a sale is actually in my mind what makes me go back to a person.
[12:17.000 --> 12:19.000]  Just because they were actually looking out for me.
[12:19.000 --> 12:22.000]  So, you know, I like to support those kind of people.
[12:23.000 --> 12:26.000]  So that's cool, man. That's good to see.
[12:26.000 --> 12:33.000]  And I know a lot of people have been able to reach out to you and see you at some of these shows and get the inside scoop.
[12:33.000 --> 12:35.000]  So hats off to that.
[12:35.000 --> 12:38.000]  Dave, have you ever reached out? Have you ever had questions?
[12:38.000 --> 12:44.000]  What are you growing here? Are any of these actually popped or are these still in the bank?
[12:44.000 --> 12:46.000]  They're all still in the bank currently.
[12:46.000 --> 12:48.000]  This would be the first one that's going to be popped.
[12:48.000 --> 12:53.000]  Although I did want to pop this Lone Star White Widow Cindy 99 that I got from you.
[12:53.000 --> 12:57.000]  But I really think that the Dominion should be the first pop.
[12:58.000 --> 13:10.000]  OK, now, one thing that I kind of, you know, just overall consensus is there's a lot of strength in your strains, cultivars.
[13:10.000 --> 13:12.000]  We could go either way with this.
[13:13.000 --> 13:15.000]  And there's also a lot of gas.
[13:15.000 --> 13:19.000]  Is that where does Dominion skunk kind of fall into that?
[13:19.000 --> 13:24.000]  Maybe I don't know if you could tell us a little backstory about the parents or how it kind of came to be.
[13:25.000 --> 13:30.000]  Yeah, I was I was making it for like further, further projects.
[13:30.000 --> 13:37.000]  And I'd gone to the Emerald Cup and I didn't have a whole lot of the seeds anyway.
[13:37.000 --> 13:40.000]  Not the precursors to all that.
[13:40.000 --> 13:42.000]  And people were going to shit over it.
[13:42.000 --> 13:45.000]  And I was like, well, you know, only got so much and they're gone.
[13:45.000 --> 13:47.000]  And like, I'm sorry.
[13:47.000 --> 13:56.000]  So I'm going through my dominion skunk on doing everything and finding the right boy to further these these projects along.
[13:57.000 --> 13:59.000]  And people would not stop bugging me.
[14:00.000 --> 14:04.000]  Like and I was like, well, I don't really necessarily want to put that out there.
[14:05.000 --> 14:06.000]  You know, it's for a stop.
[14:06.000 --> 14:08.000]  But people wouldn't leave me alone.
[14:08.000 --> 14:13.000]  And I got talked into it by a good 20 people that were just like, you know, the fucker.
[14:14.000 --> 14:16.000]  So it's like, all right, you know, put it put it out there.
[14:17.000 --> 14:31.000]  That one you got you got more of a range from like you're like you're burnt rubber, like a skunk spray to even like a like a sweet sour chem, you know, and like blends of all the above and everything.
[14:32.000 --> 14:35.000]  So super good, real potent, real potent.
[14:36.000 --> 14:39.000]  Real good outdoor growing plant to good strong branching and all.
[14:41.000 --> 14:51.000]  That's another thing that I always look for that's important to sometimes those finicky ones, you know, if I have to do a lot of work to keep them strong or, you know, they need a lot of special attention.
[14:52.000 --> 14:54.000]  They can never be that plant in the back.
[14:54.000 --> 15:00.000]  So, yeah, big, strong, robust frame definitely goes a long way in my tent as well.
[15:00.000 --> 15:12.000]  Yeah, man. Yeah, I'm a big, you know, if that's something that's achievable, I definitely want it to be able to hold itself up and very minimal, you know, staking supporting or whatnot.
[15:13.000 --> 15:15.000]  You know, I always like to shoot for that if I can.
[15:16.000 --> 15:19.000]  Yeah. So so which ones, Dave, have you popped?
[15:19.000 --> 15:21.000]  Have you popped any of the Dominion gear?
[15:22.000 --> 15:30.000]  The only thing of Duke's I've ever had the chance to pop so far yet was the Cindy 99 to Cindy 99 S1s.
[15:31.000 --> 15:32.000]  That was that was really nice.
[15:33.000 --> 15:36.000]  That was just killer pineapple, rotten fruit, rotten tropical fruit.
[15:37.000 --> 15:39.000]  Just a really pleasant uplifting high.
[15:40.000 --> 15:41.000]  Definitely a real winner.
[15:42.000 --> 15:45.000]  It was something that made me have to pop on those.
[15:46.000 --> 15:48.000]  The Lone Star, White Widow, Cindy 99 Femmes.
[15:48.000 --> 15:50.000]  That's the reason I went so hog wild for those.
[15:51.000 --> 15:55.000]  But I am a fan of the gas, the cam, the rank, the nasty.
[15:56.000 --> 16:01.000]  So that's kind of what had my eyes on Duke's gear for the for the longest time.
[16:02.000 --> 16:06.000]  So just using that building block of his, I think, would be a good starting point.
[16:07.000 --> 16:08.000]  Not that these wouldn't be as well.
[16:09.000 --> 16:10.000]  Everything here is going to be a killer.
[16:11.000 --> 16:13.000]  But I think I just think that would be the best.
[16:14.000 --> 16:15.000]  Yeah. Yeah.
[16:15.000 --> 16:18.000]  That one and that burnout, those are nasty.
[16:19.000 --> 16:20.000]  Very, very nasty for sure.
[16:21.000 --> 16:22.000]  You're going to be happy, dude, Dave.
[16:23.000 --> 16:24.000]  That's what I like to hear.
[16:25.000 --> 16:30.000]  And a lot of your gear, is it regular seeds or do you...
[16:31.000 --> 16:32.000]  The majority of it is.
[16:33.000 --> 16:36.000]  Yeah, I've dealt into some Feminaz projects.
[16:38.000 --> 16:42.000]  And, you know, it's like for everything that you see getting released, you know,
[16:42.000 --> 16:43.000]  there's a lot of stuff that doesn't.
[16:44.000 --> 16:47.000]  And reason being is like it didn't cut the mustard.
[16:48.000 --> 16:49.000]  It doesn't didn't work as intended.
[16:50.000 --> 16:52.000]  Like it was good, but it wasn't great.
[16:53.000 --> 16:54.000]  You know, right. Yeah.
[16:55.000 --> 16:58.000]  Yeah. So it just goes goes the way side, you know,
[16:59.000 --> 17:01.000]  Feminaz was like that, too.
[17:02.000 --> 17:06.000]  You know, some things work out exceptional, other things, you know, not so much.
[17:07.000 --> 17:10.000]  But those they share in 99s, man.
[17:10.000 --> 17:16.000]  They were like the one, man, it has a C-99 fucking structure of it.
[17:17.000 --> 17:21.000]  Doubles in height, high, high bractol leaf ratio.
[17:22.000 --> 17:25.000]  The leaves will turn almost black looking, you know,
[17:26.000 --> 17:30.000]  and the resin has like that silver sheen on it, like nice fat fucking colors.
[17:31.000 --> 17:36.000]  And it'll smell like fucking like remember the ice, the high C ecto cooler.
[17:37.000 --> 17:38.000]  Yeah.
[17:38.000 --> 17:39.000]  You know what I'm talking about?
[17:40.000 --> 17:42.000]  Yeah. Smells and tastes like that shit.
[17:43.000 --> 17:45.000]  How do you feel on a fucking weird, dude?
[17:46.000 --> 17:47.000]  All weirded out.
[17:48.000 --> 17:49.000]  I still look for that.
[17:50.000 --> 17:52.000]  The ecto cooler from I see, man.
[17:53.000 --> 17:56.000]  They brought it back for a minute, but it was one of those stupid like people
[17:57.000 --> 17:59.000]  hoarded it type shit and sold it for like 200 a case on eBay.
[18:00.000 --> 18:01.000]  Oh, shit.
[18:02.000 --> 18:03.000]  Dave's got the weed, man.
[18:04.000 --> 18:05.000]  So he's he's the plug for it.
[18:05.000 --> 18:06.000]  Nice.
[18:07.000 --> 18:08.000]  Get a clone from him.
[18:09.000 --> 18:10.000]  I'll find it for you.
[18:12.000 --> 18:15.000]  So so where did you pick up a lot of these Dave?
[18:16.000 --> 18:18.000]  Were they auctions?
[18:19.000 --> 18:20.000]  Seed banks?
[18:21.000 --> 18:22.000]  Where where did you find a lot of the Dominion gear?
[18:23.000 --> 18:27.000]  Because you've I'm assuming this is more than just kind of one one come up.
[18:28.000 --> 18:32.000]  A lot of them came through auctions all over the place.
[18:32.000 --> 18:36.000]  This one was actually on an auction on Duke's discord, which people here we
[18:37.000 --> 18:40.000]  should at some some point maybe try and post a link or something because that's
[18:41.000 --> 18:42.000]  a killer discord.
[18:43.000 --> 18:44.000]  Probably one of my favorites.
[18:45.000 --> 18:46.000]  Just a great hangout spot.
[18:47.000 --> 18:48.000]  Great place to shoot the shit.
[18:49.000 --> 18:52.000]  Talk about Dominion seeds and get the chance to talk to Duke because he's
[18:53.000 --> 18:54.000]  he does some giveaways on Friday nights.
[18:55.000 --> 18:56.000]  It's good.
[18:57.000 --> 19:00.000]  Nice awesome hot sauce and seeds every Friday night.
[19:00.000 --> 19:01.000]  Sauce and seeds.
[19:02.000 --> 19:03.000]  Fuck yeah.
[19:04.000 --> 19:05.000]  That's a t shirt.
[19:06.000 --> 19:07.000]  Yeah.
[19:07.000 --> 19:10.000]  No, I will find that and I will post that here while in the course of our
[19:11.000 --> 19:12.000]  talking.
[19:12.000 --> 19:16.000]  I guess, you know, we were on the actually I'm stoned and I was so excited by
[19:17.000 --> 19:18.000]  playing that video earlier.
[19:19.000 --> 19:23.000]  I forgot to do the shout out that I was going to do because usually on
[19:24.000 --> 19:27.000]  Wednesdays right here on Teacher Cannabis Project, it's the butterfly sessions.
[19:27.000 --> 19:32.000]  PJ West and London helping but PJ West interviews a lot of the females within
[19:33.000 --> 19:36.000]  the industry who are making moves making things happen.
[19:37.000 --> 19:40.000]  Very smart individuals and they need to be highlighted.
[19:41.000 --> 19:45.000]  So she's on here every Wednesday at seven o'clock Pacific Standard Time doing
[19:46.000 --> 19:47.000]  that.
[19:47.000 --> 19:51.000]  But they graciously said, OK, once a month we'll let you do your seed thing.
[19:52.000 --> 19:53.000]  Come on.
[19:53.000 --> 19:55.000]  Now they're going to be doing that.
[19:55.000 --> 19:56.000]  Come on.
[19:56.000 --> 19:58.000]  Now they graciously did that.
[19:59.000 --> 20:04.000]  So I wanted to just mention that in case you showed up expecting that and you're
[20:04.000 --> 20:05.000]  getting this.
[20:06.000 --> 20:07.000]  Thank you.
[20:07.000 --> 20:11.000]  Thank you, ladies, for making the time so we could get in there and do this
[20:12.000 --> 20:16.000]  thing. But yeah, like they definitely need their shout outs and, you know, their
[20:17.000 --> 20:21.000]  highlights and everything, too, because like there's so many of them out there.
[20:21.000 --> 20:26.000]  Yeah. So bad ass at what they do and they just get overlooked all the time and
[20:26.000 --> 20:28.000]  shit man. All like the best growers I ever knew.
[20:29.000 --> 20:33.000]  They were all they were all ladies, you know, and a lot of the hard work.
[20:34.000 --> 20:35.000]  I'm sorry.
[20:35.000 --> 20:37.000]  I said that ain't no shit neither.
[20:37.000 --> 20:38.000]  I can.
[20:39.000 --> 20:40.000]  Yeah.
[20:40.000 --> 20:43.000]  It's kind of fucked up how the whole game is real.
[20:43.000 --> 20:45.000]  But, you know, a lot of the harder.
[20:46.000 --> 20:48.000]  Yeah. A lot of you know, a lot of the hard workers, too.
[20:48.000 --> 20:52.000]  You often don't see from them because they're so fucking busy just grinding like
[20:52.000 --> 20:53.000]  that. That's what they do.
[20:53.000 --> 20:58.000]  So, you know, it is cool to pull some of these people from out out in the light.
[21:01.000 --> 21:03.000]  Awesome. Thanks, Dave, for the discord link.
[21:03.000 --> 21:07.000]  I'll drop this in the chat for everybody and then I'll get it in the show
[21:07.000 --> 21:08.000]  description, too.
[21:09.000 --> 21:14.000]  But I also I also since since I started off last last show with the shirt that
[21:14.000 --> 21:16.000]  that was kind of my collector item for the week.
[21:16.000 --> 21:19.000]  I got kind of another collector item here and it's another shirt.
[21:19.000 --> 21:22.000]  So I'm going to start out with this instead of seeds this month.
[21:22.000 --> 21:25.000]  But this came in from Kazoo Kazoo.
[21:26.000 --> 21:28.000]  And it's it's one of my friends, Eagle Gardens.
[21:28.000 --> 21:29.000]  He does a show.
[21:30.000 --> 21:32.000]  He's got his YouTube channel, Eagle Gardens.
[21:32.000 --> 21:38.000]  But this is a new weed nerd world logo that he had designed and he threw it on
[21:38.000 --> 21:40.000]  a tie dye.
[21:40.000 --> 21:43.000]  And I'm like, dude, I fucking want that shirt.
[21:43.000 --> 21:48.000]  And Kazoo being not only where is it where my wife hadn't stole it yet.
[21:48.000 --> 21:50.000]  I told her I have to have it for a picture.
[21:50.000 --> 21:52.000]  Not only did he send me a T-shirt.
[21:53.000 --> 21:54.000]  Let me go full screen again for this.
[21:54.000 --> 21:57.000]  You guys are just going to be mind blown.
[21:58.000 --> 21:59.000]  Fucking fanny pack.
[22:00.000 --> 22:02.000]  And it's one of those reversible ones, bro.
[22:02.000 --> 22:05.000]  I could do this all day to it.
[22:06.000 --> 22:09.000]  Kazoo knows how to hook a brother up, doesn't he?
[22:10.000 --> 22:11.000]  Yeah. Yeah.
[22:11.000 --> 22:12.000]  Yeah.
[22:12.000 --> 22:18.000]  Fanny packs really come come in handy to men like it can be clutch.
[22:20.000 --> 22:24.000]  Amazingly, I'm going to an Elton John show Sunday and it might actually work.
[22:24.000 --> 22:29.000]  But now my wife practically fucking I'm opening the I'm opening a package.
[22:29.000 --> 22:33.000]  The carrier pigeon brought and I almost got elbowed out of the way when she saw
[22:33.000 --> 22:34.000]  the sequence.
[22:34.000 --> 22:35.000]  So it's spoken for.
[22:35.000 --> 22:36.000]  But I got it.
[22:36.000 --> 22:40.000]  I get to keep the T-shirt and I got something else to show.
[22:40.000 --> 22:44.000]  A little bit later, but I wanted to bring that one in today.
[22:45.000 --> 22:46.000]  That's awesome.
[22:46.000 --> 22:48.000]  Tiny dancer in your fanny pack, man.
[22:50.000 --> 22:51.000]  Not touching that.
[22:54.000 --> 22:55.000]  I think that's for life.
[22:55.000 --> 22:56.000]  Did a great job.
[22:57.000 --> 22:58.000]  He did. I love the design.
[22:59.000 --> 23:00.000]  It's, you know, it's strong.
[23:00.000 --> 23:01.000]  It's bold.
[23:02.000 --> 23:03.000]  It's going to stick out.
[23:03.000 --> 23:04.000]  So I really dig it.
[23:05.000 --> 23:08.000]  And, you know, to quote the man himself, fanny packs for life.
[23:08.000 --> 23:09.000]  Thank you, Kazoo.
[23:10.000 --> 23:11.000]  Much love, brother.
[23:12.000 --> 23:13.000]  Very stoked for that.
[23:14.000 --> 23:15.000]  Yeah.
[23:15.000 --> 23:17.000]  So, all right.
[23:18.000 --> 23:19.000]  Let's let's see.
[23:19.000 --> 23:21.000]  I saw that, you know, the big, big bag earlier there.
[23:22.000 --> 23:25.000]  What do you got to what do you want to show us?
[23:25.000 --> 23:29.000]  What's what's something in there that you're like, this was I.
[23:30.000 --> 23:31.000]  This is cool.
[23:31.000 --> 23:32.000]  Well, this would is reach in, man.
[23:33.000 --> 23:34.000]  Yeah.
[23:34.000 --> 23:35.000]  What is up in here?
[23:36.000 --> 23:38.000]  Oh, paper bag.
[23:38.000 --> 23:40.000]  That's what everybody on the news is imagining.
[23:42.000 --> 23:44.000]  Cannabis people do to kids when they come to their door.
[23:44.000 --> 23:46.000]  They just open up the big bag of seeds.
[23:46.000 --> 23:47.000]  Here's your candy kids.
[23:48.000 --> 23:49.000]  Right.
[23:49.000 --> 23:50.000]  Yeah, man.
[23:50.000 --> 23:54.000]  Well, I know it's a fucking chumo fucking neighbor and shit trying to roof
[23:54.000 --> 23:55.000]  you may need to be worrying about.
[23:56.000 --> 23:58.000]  I'm worried about some potheads and shit.
[23:59.000 --> 24:03.000]  I love how they warn you, warn you like, oh, warning parents about the
[24:03.000 --> 24:04.000]  children receiving edibles.
[24:04.000 --> 24:05.000]  For Halloween candy.
[24:05.000 --> 24:07.000]  It's like, who's going to give away their amazing edibles?
[24:07.000 --> 24:09.000]  Like, nobody likes your kid that much.
[24:09.000 --> 24:10.000]  Come on.
[24:10.000 --> 24:11.000]  Yeah, they're not.
[24:11.000 --> 24:12.000]  They're not that cool, man.
[24:13.000 --> 24:14.000]  No.
[24:14.000 --> 24:15.000]  No.
[24:15.000 --> 24:16.000]  All right.
[24:17.000 --> 24:18.000]  So this.
[24:19.000 --> 24:22.000]  So I'm going to revisit some old stuff.
