[00:00.000 --> 00:01.000]  How you doing?
[05:08.910 --> 05:11.110]  thing. Most people learn how to grow in a closet.
[05:11.270 --> 05:15.870]  And when they built a big operation, they just made that closet module bigger.
[05:16.790 --> 05:22.550]  And when you're talking about these large operations, the investor groups had to sink
[05:22.550 --> 05:25.350]  in, say, some of these ops, you know, 40, 50 million dollars.
[05:25.910 --> 05:29.430]  So when you've when you've got 40 million dollars of someone else's money that you're
[05:29.430 --> 05:34.630]  responsible for, they always move slowly because they can't make mistakes and come
[05:34.630 --> 05:40.950]  back from it. It damages their reputations, but it creates a situation where they have
[05:40.950 --> 05:45.070]  to get people that are competent at running operations that are acre level and above
[05:45.390 --> 05:49.230]  undercover. And that's extremely rare for the old cannabis industry.
[05:49.230 --> 05:52.790]  There was nobody running operations that big, period.
[05:53.350 --> 05:57.510]  And so that's where these problems are, is that when I get brought into jobs, a lot of
[05:57.510 --> 06:01.750]  times it's just take a look at the project and we realize that the people that they
[06:01.750 --> 06:05.950]  brought in were competent for, you know, 5000 square feet, but they're most definitely
[06:05.950 --> 06:08.350]  not competent for 300000 square feet.
[06:09.830 --> 06:14.870]  And that's that's that's a that's a real problem in the industry, and that's why you're
[06:14.870 --> 06:16.790]  seeing so many of these big ops fail.
[06:16.790 --> 06:18.270]  It isn't because anybody's stupid.
[06:18.790 --> 06:26.070]  It's that the approach to it isn't appropriate where the individuals who are running the
[06:26.070 --> 06:30.550]  facility have to have acre level operational experience.
[06:30.830 --> 06:35.590]  And then the individuals that integrate how you grow cannabis in terms of what the market
[06:35.590 --> 06:39.790]  wants and how do we position it price wise and how do we position it in its sale points.
[06:40.470 --> 06:44.630]  There's this disconnect between the three groups, the commercial operator who's used to
[06:44.630 --> 06:49.190]  running tomato, who knows how to run a facility, knows how to run injections, knows how
[06:49.190 --> 06:53.350]  to maintain your your diff so that you're not having environmental fluctuations.
[06:53.830 --> 06:59.550]  The person who knows her and a cat that has the money, that process is not quick like it
[06:59.550 --> 07:02.150]  used to be for us when we were in self more self-control.
[07:03.430 --> 07:07.310]  And so when I go into these operations, too, I trip out because you think it's going to
[07:07.310 --> 07:12.310]  be a quick decision, but it's a long, laborious, dragged out process.
[07:12.950 --> 07:15.950]  And there's only so many guys like, you know, we use Erica as an example because I
[07:15.950 --> 07:19.590]  respect the shit. There's only so many of them in the industry where they have
[07:19.590 --> 07:23.350]  commercial level knowledge, but they understand cannabis as a product.
[07:24.350 --> 07:27.750]  So I say, yeah, that's what I run into all the time.
[07:31.510 --> 07:35.990]  Go ahead. Is that. Yeah, Kevin's exactly right.
[07:35.990 --> 07:40.150]  And that that's exactly what I'm seeing a lot is that, yeah, there's people that know
[07:40.150 --> 07:44.110]  the shit out of cannabis, but moving at big scale and keeping it efficient.
[07:44.630 --> 07:48.630]  A lot of times the cost of production really goes up because people bring a lot of the.
[07:48.870 --> 07:52.420]  What I think we lost.
[07:54.940 --> 07:57.540]  Hold on, Eric, you there.
[07:58.660 --> 08:00.900]  Only if I can hear me.
[08:01.540 --> 08:06.140]  Yeah. So you cut out at the cost of production, the cost of production goes up.
[08:06.180 --> 08:07.340]  So can you start back there?
[08:08.300 --> 08:12.940]  Yeah. The cost of production really goes up as people start to try to bring in the
[08:12.980 --> 08:17.580]  original nutrients or programs that they had before, because now you're working at
[08:17.620 --> 08:20.660]  a lot bigger commercial ag level and you need.
[08:22.500 --> 08:31.540]  Eric, you you cut out again.
[08:34.340 --> 08:36.780]  Well, let me let me see about switching.
[08:37.020 --> 08:42.740]  Can you hear me now? I'm going to stop the video and see if that makes it easier on
[08:42.740 --> 08:45.460]  the system there. Yeah, that's better.
[08:45.500 --> 08:48.300]  OK, so. So, yeah, maybe you start at the top again.
[08:48.420 --> 08:53.300]  OK, so, yeah, basically what's happening is, is there's only a fraction of big
[08:53.300 --> 08:58.100]  greenhouse guys that want to get into cannabis and a lot of them that have gotten
[08:58.100 --> 09:02.180]  into cannabis aren't really interested in hanging out with the cannabis people, if
[09:02.180 --> 09:06.900]  that makes sense. And so we had a big disconnect where big ag tried to come in
[09:06.900 --> 09:10.260]  that didn't know cannabis lost their ass because they didn't know the cannabis
[09:10.260 --> 09:14.300]  aspect. And then you have the cannabis people that didn't have the big ag guys
[09:14.340 --> 09:18.340]  to help them along. And there's only a small fraction of big ag guys that even
[09:18.340 --> 09:22.700]  want to be involved in cannabis and make friends, I guess, with the cannabis people,
[09:22.700 --> 09:25.660]  so to speak. And so it's really a culture thing.
[09:25.700 --> 09:27.300]  It's always been a culture thing.
[09:27.300 --> 09:31.780]  But now on this big level, there's also the culture of cannabis people getting
[09:31.780 --> 09:36.780]  together with the big ag people and everybody getting along and having the same
[09:36.780 --> 09:43.580]  goals. And, you know, this this big, big, big, big, big, big, big, big, big, big
[09:43.820 --> 09:46.740]  this go forward approach, we're going to win type of thing.
[09:46.740 --> 09:51.380]  It's really turns into an ego battle of these guys know this, these guys know that
[09:51.380 --> 09:55.220]  and nobody really actually vibes together on these jobs.
[09:55.220 --> 09:59.260]  And so when you finally get the vibes right and you have these big ag guys that
[09:59.260 --> 10:02.820]  really love cannabis and really love what they're doing and are really interested in
[10:02.820 --> 10:07.020]  what you have to say a lot of times, whether you're right or wrong, they're open to
[10:07.020 --> 10:08.060]  the conversation.
[10:09.460 --> 10:12.260]  You get so many more things done and those are the ones that are going to make it,
[10:12.260 --> 10:15.780]  unfortunately, like Kevin was saying, there's not a lot of those.
[10:16.100 --> 10:18.340]  I can't believe it.
[10:18.340 --> 10:22.020]  I'm starting to really pay attention to this more and I'm kind of shocked at how
[10:22.020 --> 10:27.660]  many people are running big stuff but aren't doing it from the experience of the
[10:27.660 --> 10:29.980]  ag and running big greenhouses.
[10:29.980 --> 10:33.580]  It's it's it's it's kind of surprising.
[10:33.580 --> 10:36.940]  But at the same time, if you look at all the pot stocks and the way Canada was going
[10:36.940 --> 10:41.460]  and these big, massive greenhouses, how popular extractions are and things like
[10:41.460 --> 10:43.700]  that, a lot of these people are getting by.
[10:43.700 --> 10:46.940]  But I mean, they're bleeding out pretty good.
[10:46.940 --> 10:51.380]  And so, you know, we're starting to see a lot of, you know, especially up in Canada,
[10:51.380 --> 10:54.220]  the bankruptcies and different things moving to outdoor.
[10:54.540 --> 10:58.460]  You know, it's like all of a sudden everybody's going to be a big outdoor grower.
[10:58.460 --> 11:03.180]  And it's like, fuck, that's what we started with, you know, and it's kind of coming
[11:03.180 --> 11:04.140]  full circle now.
[11:04.140 --> 11:09.620]  So, I mean, it's really important to get these things dialed in and work with the
[11:09.620 --> 11:12.620]  right people and knowing who the right people are.
[11:12.620 --> 11:13.460]  That's the other thing.
[11:13.460 --> 11:14.660]  It's just like the consumers.
[11:14.660 --> 11:16.460]  They don't all know what good quality is.
[11:16.700 --> 11:20.820]  And a lot of the people that are involved in this don't know who the good people are
[11:20.820 --> 11:25.180]  either because there's so many people on LinkedIn and all over the place that come
[11:25.180 --> 11:26.380]  off like professionals.
[11:26.380 --> 11:29.580]  But it's really hard to vet people these days.
[11:29.580 --> 11:34.220]  I mean, I've been lucky enough to have been around the community and knowing Kevin and
[11:34.220 --> 11:35.900]  Scott and all these different people.
[11:35.900 --> 11:39.780]  And so, we actually do pull from each other from time to time.
[11:39.780 --> 11:43.460]  You know, a lot of us will reach out to each other and say, you know, I got this
[11:43.460 --> 11:44.180]  situation.
[11:44.180 --> 11:46.420]  Who's the best person to talk to about this?
[11:46.740 --> 11:48.180]  And it could be irrigation.
[11:48.180 --> 11:49.380]  It could be genetics.
[11:49.380 --> 11:52.300]  It could be, you know, pinpointing one or two things.
[11:52.300 --> 11:57.660]  But we try to source and deal with the best of the best in those particular categories
[11:57.860 --> 12:00.100]  in order to make a lot of these big things work.
[12:01.100 --> 12:02.100]  No, totally.
[12:02.100 --> 12:08.100]  I don't do consulting as a business, so to speak, because I have my own businesses.
[12:08.100 --> 12:13.100]  What I do, though, is I get brought in by people that ask and say, hey, can you come
[12:13.100 --> 12:14.340]  in and take a look at this?
[12:14.340 --> 12:18.220]  And then I try to figure out where I see the evident problems.
[12:18.220 --> 12:21.100]  And then I try to get the people together to see where there's friction.
[12:21.100 --> 12:28.100]  And then I can try to figure out from my, you know, pool of professionals that I know
[12:28.500 --> 12:32.820]  in the industry who might be someone that we could bring in, who might be looking for
[12:32.820 --> 12:34.300]  a new career opportunity.
[12:34.940 --> 12:38.060]  And it's to create a success.
[12:38.740 --> 12:42.740]  And the thing is that when you're building an industry, everyone at first was so hyper
[12:42.740 --> 12:45.420]  competitive that each person was going to be the top of the food chain.
[12:45.420 --> 12:46.540]  Everybody went huge.
[12:46.580 --> 12:48.060]  They were going to take over the industry.
[12:48.140 --> 12:51.900]  They all got the shit kicked out of them, which just makes me fucking overjoyed.
[12:52.460 --> 12:56.740]  Because what it does is it allows there to be a pace of development that lets
[12:56.740 --> 13:01.180]  stratification for all operators to fit in where these mega operations, they need to
[13:01.180 --> 13:04.420]  succeed. They need to satisfy the low cost markets.
[13:04.420 --> 13:07.020]  They need to satisfy globalism.
[13:07.300 --> 13:12.700]  And then it creates the awareness of what small scale is because you have a comparison.
[13:13.540 --> 13:18.260]  And a lot of it is just trying to source through the industry that we know from being in
[13:18.260 --> 13:21.820]  the industry and just saying, hey, this is the right person for the job.
[13:22.220 --> 13:27.100]  I know my limitations and I'm not afraid to admit them because that's not where I'm
[13:27.100 --> 13:30.340]  trying to make my my win in the things that I'm good at.
[13:30.340 --> 13:31.900]  I try to be very good at them.
[13:32.380 --> 13:38.340]  And what I've seen so much is that everyone lied through their fucking teeth and no one
[13:38.340 --> 13:40.660]  told the truth about their limitations.
[13:40.660 --> 13:47.700]  And so these investors are coming in to do business and they get lied to by operators
[13:47.700 --> 13:51.780]  and you go into these places and you're like, who the hell designed this shit?
[13:52.700 --> 13:57.020]  And you realize that the direction was steered from the initial wrong.
[13:57.860 --> 14:01.100]  And what it does is it makes all of us look stupid.
[14:01.420 --> 14:05.660]  And that's the problem is that it diminishes us as cannabis operators because we all look
[14:05.660 --> 14:06.700]  like we're charlatans.
[14:07.020 --> 14:11.660]  So instead of telling somebody that you're a fucking virologist when really you know how
[14:11.660 --> 14:16.300]  to use a pump sprayer, it would it would help because then you can actually hire a
[14:16.300 --> 14:20.700]  virologist and you can guide the investment and you can guide the project.
[14:20.700 --> 14:25.020]  And in the success of it, you develop your reputation, you develop your success.
[14:25.460 --> 14:26.820]  But that's not what happened.
[14:27.180 --> 14:30.260]  Man, like this is a train wreck and it'll clear itself up.
[14:30.260 --> 14:32.740]  But some of the stuff I've seen is just crazy.
[14:33.340 --> 14:37.140]  And it's the teething of a new industry.
[14:37.300 --> 14:40.860]  You know, whatever we did prior is irrelevant to a couple of years ago.
[14:40.900 --> 14:42.700]  It really is this point forward.
[14:43.180 --> 14:48.220]  And it requires all of us to be a little bit more honest about what we're good at, what
[14:48.220 --> 14:53.420]  we're not good at. And don't be ashamed to reach out for assistance and don't be afraid
[14:53.420 --> 14:54.980]  to say, look, I know what I'm talking about.
[14:54.980 --> 14:55.900]  And that's just what it is.
[14:56.860 --> 15:00.220]  Can each of you just give us a couple of more kind of.
[15:01.900 --> 15:07.740]  So just quickly, can each of you give a couple of kind of like bad news, there's things
[15:07.900 --> 15:12.100]  witness houses that you've seen fairly frequently.
[15:13.540 --> 15:17.340]  Oh, hell yeah. Yeah, actually, Kevin's
[15:18.820 --> 15:23.060]  photo was exactly right in the sense that who's designing these things.
[15:23.060 --> 15:28.500]  And that's one of my starting points for the war stories is like, who thought this up,
[15:28.500 --> 15:31.140]  who designed it and who said OK to all these things?
[15:31.140 --> 15:34.820]  Because nine times out of 10, when you get in there with the cultivator or somebody that
[15:34.820 --> 15:40.220]  knows what's up, the greenhouse facility isn't designed for working smarter, not harder,
[15:40.220 --> 15:45.820]  basically. And what it is, is a lot of the greenhouse companies design them, the builders
[15:45.820 --> 15:48.060]  that build them, sell them and design them.
[15:48.300 --> 15:52.660]  And what I found is, is sometimes these guys will sprinkle in a little bit of everything
[15:52.660 --> 15:55.900]  that they've done at one of these jobs to make this one masterpiece.
[15:55.900 --> 16:00.260]  It's got a little a little bell and whistle of all these different little tricks.
[16:00.540 --> 16:04.420]  And at the end of the day, we didn't need all those bells and whistles or little tricks
[16:04.420 --> 16:07.180]  or maybe we need the whole trick and not part of the trick, you know.
[16:07.180 --> 16:10.900]  And and we get into these situations where the workflow isn't right.
[16:10.900 --> 16:12.340]  And you go, who the fuck thought of this?
[16:12.340 --> 16:16.540]  And then it's like, well, we went with this, you know, company that's been designing
[16:16.540 --> 16:19.900]  greenhouses for 40 years, but they've never grown anything one time.
[16:19.900 --> 16:25.180]  And all their knowledge for growing comes from the people that have grown in them before,
[16:25.180 --> 16:27.740]  you know, the other vegetable growers and things like that.
[16:27.740 --> 16:32.580]  It's not the cannabis growers in specific regions and states that, you know, have these
[16:32.580 --> 16:36.420]  certain climates that everybody's only grown primarily in the summertime.
[16:36.780 --> 16:38.620]  You know, it's just a whole different deal.
[16:38.620 --> 16:43.660]  And that's where I kind of get up, you know, a lot of calls or situations in is like the
[16:43.660 --> 16:46.180]  designing and the spending of the money.
[16:46.180 --> 16:47.700]  It's like that's the easy part.
[16:47.700 --> 16:49.780]  And then they got to have somebody actually go grow it.
[16:49.980 --> 16:54.900]  And none of these guys in these big, scalable facilities were designed by who's running
[16:54.900 --> 16:59.220]  it. Like I haven't ran into one yet that is designed by the guy that's running it.
[16:59.220 --> 17:05.660]  That guy's usually gone before the fucking shovels even, you know, the start the job.
[17:05.900 --> 17:11.380]  And how many times is a cultivator asked to operate something or use nutrients that they
[17:11.380 --> 17:13.300]  weren't involved in any of those decisions?
[17:13.300 --> 17:15.700]  Like this guy here, by the way, I just got in.
[17:15.700 --> 17:22.820]  Sorry. But a lot of times we get brought into a facility and a bunch of boardroom members
[17:22.820 --> 17:27.980]  decided facility layout, nutrient considerations, whether they're doing cocoa buckets,
[17:27.980 --> 17:32.620]  what have you. And then they throw a cultivator in there and say, all right, here's what we
[17:32.620 --> 17:33.620]  got for you. Go.
[17:34.780 --> 17:36.780]  Yeah, that's the worst.
[17:37.300 --> 17:42.620]  That's that's probably 80 percent of the cultivator, though, the cultivator is going to
[17:42.620 --> 17:47.660]  say, listen, you're you're putting me over a fucking barrel and I'm going to look like I'm
[17:47.660 --> 17:49.460]  an idiot if I do this.
[17:49.700 --> 17:54.020]  And you have to be able to have faith in yourself to say I need to leave the job.
[17:54.540 --> 17:59.180]  And the problem is, is that you see the potential so greatly, at least from my experiences
[17:59.180 --> 18:03.220]  with when I talk to the operators that are running these projects that were created by
[18:03.460 --> 18:09.300]  five or six people before them, like the chain of failure isn't just one person made a
[18:09.300 --> 18:10.660]  mistake and everyone else pays.
[18:11.100 --> 18:14.540]  You're talking multiple CEOs that got canned because they couldn't.
[18:14.740 --> 18:17.020]  The investors canned the management group.
[18:17.540 --> 18:20.540]  Everyone that the management group brought in got canned.
[18:20.700 --> 18:24.660]  And a lot of times they can the guys that was smart because they were argumentative,
[18:24.660 --> 18:26.740]  because they disagreed with the approach.
[18:27.500 --> 18:31.260]  And so the people that had intelligence got weeded out.
[18:31.500 --> 18:34.860]  People that were basically able to tell a good story remained.
[18:35.260 --> 18:37.660]  They design a system that's don't fuck up.
[18:38.220 --> 18:41.260]  And then the cultivator that's supposed to be there to run it gets screwed.
[18:41.260 --> 18:42.260]  But that's in life.
[18:42.460 --> 18:47.300]  When you're in a situation that doesn't pay off for you, it's best if you leave and find
[18:47.300 --> 18:52.220]  another operation. Or what happens is you struggle, you fail, you emotionally get wiped
[18:52.220 --> 18:56.140]  out because you want to succeed and then you're attached to that operation.
[18:56.860 --> 18:58.220]  And that's part of it, too.
[18:58.420 --> 19:03.300]  My thing with cultivators is you need to vet the owners, the operators, the designers as
[19:03.300 --> 19:05.460]  much as you do you.
[19:05.580 --> 19:10.020]  It's both. You have to look at each other or otherwise there's no way you can do these
[19:10.020 --> 19:16.260]  projects. It's not so simple, but it's the way that it's been laid out.
[19:17.500 --> 19:21.220]  And I think that for cultivators, I get hit up constantly saying, hey, I'm in this
[19:21.220 --> 19:22.740]  position and I think it sucks.
[19:22.740 --> 19:24.020]  And they said, what do you think I should do?
[19:24.020 --> 19:25.900]  And I tell them, tell them, fuck off and get another job.
[19:26.420 --> 19:30.180]  Because if they're going to if they're going to break your balls over every detail that
[19:30.180 --> 19:34.300]  they want you to execute, that doesn't make any sense because it's the motion that they
[19:34.300 --> 19:35.260]  set in play.
[19:36.140 --> 19:38.820]  That's ego and you can't win there.
[19:38.860 --> 19:41.660]  So cultivators with egos that won't listen can't win.
[19:42.140 --> 19:45.820]  CEOs, investment groups with egos can't win.
[19:45.820 --> 19:51.180]  So that's the part that's getting cleaned out right now to where eventually as we go
[19:51.180 --> 19:55.580]  forward, you'll have cannabis operators that have success in operation being involved
[19:55.580 --> 19:59.220]  with the design, just like a good builder is involved with the architect.
[19:59.580 --> 20:03.300]  The architect creates a project, but the builder who builds it is part of the
[20:03.300 --> 20:05.700]  integration. So he can say, look, I see problems.
[20:06.300 --> 20:09.340]  And that's the thing is I see people making changes constantly.
[20:09.380 --> 20:12.580]  I don't see anything built and then ran as built.
[20:12.980 --> 20:15.740]  It gets completely modified over and over and over.
[20:15.740 --> 20:18.980]  By the time you come in, you just like you don't understand what anybody's doing.
[20:19.500 --> 20:20.900]  And salespeople are good, man.
[20:20.900 --> 20:25.460]  They're going off on you go to LinkedIn, anything you post, God help you.
[20:25.460 --> 20:30.100]  But anything you post, every reply is someone trying to sell you a product to go along
[20:30.100 --> 20:31.380]  with that thing you're doing.
[20:31.860 --> 20:34.860]  And so the thing is, you're getting bombarded nonstop with stuff.
[20:35.660 --> 20:38.260]  How do you even know what anyone's using?
[20:38.260 --> 20:39.580]  How do you know where there's success?
[20:39.580 --> 20:40.820]  We don't have a database.
[20:40.820 --> 20:42.140]  You don't have a blacklist.
[20:42.700 --> 20:44.220]  You know, it's tough.
[20:45.500 --> 20:50.540]  So, by the way, just quickly, Scott, the guy who ran the
[20:50.540 --> 20:55.580]  carpentry facility into the ground is now the CEO of said company.
[20:58.180 --> 20:59.500]  I just that's amazing.
[21:00.300 --> 21:01.300]  That's amazing.
[21:01.940 --> 21:02.940]  That's amazing.
[21:03.140 --> 21:04.420]  I got in the wrong business.
[21:06.060 --> 21:07.060]  I know.
[21:07.780 --> 21:08.940]  How are they still in business?
[21:08.940 --> 21:09.940]  That's what's remarkable.
[21:10.180 --> 21:11.180]  That gives me hope.
[21:11.180 --> 21:12.180]  But to go back to a.
[21:12.180 --> 21:13.660]  They're not really still in business.
[21:13.660 --> 21:14.660]  But anyway, go ahead.
[21:14.660 --> 21:15.660]  Yeah.
[21:15.660 --> 21:20.620]  But to go back to a point that Kevin made that I think was really spot on is, you know,
[21:20.620 --> 21:25.420]  a lot of times we come into a facility under, you know, unfortunate circumstances trying
[21:25.420 --> 21:26.220]  to make them better.
[21:26.220 --> 21:32.860]  And a really common pattern we see is there's an investment group that built what they
[21:32.860 --> 21:37.900]  believe to be a state of the art facility that's actually maybe, you know, some range
[21:37.900 --> 21:40.620]  of a pile of shit to moderately successful.
[21:41.340 --> 21:46.540]  And they don't want to admit that they built a bad facility or they don't want to
[21:46.540 --> 21:50.060]  admit that they made a wrong decision or maybe they don't want to admit that one of
[21:50.060 --> 21:52.220]  these sales people lied to them.
[21:52.220 --> 21:55.820]  So there's a lot of that ego factor that really leads to prolonged failure.
[21:57.140 --> 22:00.660]  And a lot of times these facilities, like Kevin said, they might, you know, they might
[22:00.660 --> 22:04.340]  have a cultivator that ran a four lighter and eight lighter and they try and put.
[22:04.780 --> 22:06.260]  What we just lost you.
[22:08.260 --> 22:10.180]  You there, Scott.
[22:12.220 --> 22:13.620]  For the job.
[22:14.100 --> 22:16.100]  And there seems to be like these remarkably.
[22:16.100 --> 22:21.540]  Scott, Scott, can you take it back to somebody who ran a four lighter, an eight lighter
[22:21.540 --> 22:22.980]  and then whatever you said after that?
[22:24.700 --> 22:30.300]  In essence, what I was saying is the common patterns are you have investment groups that
[22:30.300 --> 22:33.220]  maybe don't want to admit that they made bad decisions along the way that they built
[22:33.220 --> 22:37.420]  bad decisions along the way that's leading to their failure or they don't want to admit
[22:37.420 --> 22:43.380]  that they have the wrong cultivator in position and they just get really, really married
[22:43.380 --> 22:46.100]  to those things and just write them off into the ground.
[22:46.140 --> 22:51.900]  And I would say, you know, probably the top three reasons for failure of a facility that
[22:51.900 --> 22:55.140]  we see are investment group that doesn't want to admit that they built the wrong
[22:55.140 --> 22:59.020]  building investment group that doesn't want to admit they've got the wrong cultivator
[22:59.180 --> 23:02.980]  or a cultivator that doesn't want to admit that he doesn't have the skills and doesn't
[23:02.980 --> 23:04.820]  seek the help needed to be successful.
[23:06.500 --> 23:07.380]  Straight up.
[23:07.780 --> 23:09.700]  Yeah, I'd say those are the numbers.
[23:10.060 --> 23:11.540]  Yeah. So a couple.
[23:12.140 --> 23:16.020]  No, no, no. I was just going to say a couple of specificity questions between the three
[23:16.020 --> 23:22.540]  of you. What percentage of the greenhouses you're going into are retrofit versus new
[23:22.540 --> 23:27.140]  state of the art? And then when you're talking about the new buildings that they build the
[23:27.140 --> 23:32.620]  wrong way, what are some common things that they do that like examples of things they
[23:32.620 --> 23:34.620]  did wrong, even though it's a brand new building?
[23:37.340 --> 23:39.420]  I think I see earlier on.
[23:41.900 --> 23:43.260]  They go, you know, Scott.
[23:44.700 --> 23:45.700]  Oh, sorry.
[23:47.180 --> 23:50.020]  You know, earlier on when I wasn't here, I was listening to what you guys were saying.
