[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[05:34.860 --> 05:37.620]  these minor cannabinoids, there's really nothing
[05:37.620 --> 05:41.340]  that's so minor about them, because we shouldn't really
[05:41.460 --> 05:43.860]  be looking at them and care about what they do.
[05:45.580 --> 05:48.260]  So, why should we care exactly?
[05:48.260 --> 05:52.980]  Well, we shouldn't care because we have this very important
[05:52.980 --> 05:56.580]  system called the endocannabinoid system.
[05:56.580 --> 06:00.660]  And the endocannabinoid system is a system
[06:00.660 --> 06:03.620]  that has been not very well studied yet,
[06:03.620 --> 06:06.820]  and it's pretty new, it was discovered about 20 years ago,
[06:06.820 --> 06:11.820]  and it really has revolutionized the field of medicine
[06:12.660 --> 06:14.780]  for those of you who are studying it.
[06:14.780 --> 06:17.260]  Unfortunately, in medical school,
[06:17.260 --> 06:19.780]  only 10% of our nation in medical school
[06:19.780 --> 06:22.940]  really teaches about this system that's so important.
[06:22.940 --> 06:25.460]  It's located in the mid-central nervous system,
[06:25.460 --> 06:28.140]  and it has these two major receptors in there
[06:28.140 --> 06:30.860]  that are called CB1 and CB2.
[06:30.860 --> 06:33.820]  And the cannabinoids, the major as well as the minor
[06:33.860 --> 06:38.860]  cannabinoids directly act on these CB1 and CB2 receptors.
[06:40.180 --> 06:43.460]  Now, there's tons of other receptors in our bodies,
[06:43.460 --> 06:45.540]  but these are the ones that the cannabinoids
[06:45.540 --> 06:48.820]  actually target, because these are also the receptors
[06:48.820 --> 06:53.460]  that our internal cannabinoids, we have actually
[06:53.460 --> 06:56.020]  naturally occurring cannabinoids in our body
[06:56.020 --> 06:57.860]  that we call endocannabinoids,
[06:57.860 --> 07:00.820]  and these bind to those receptors,
[07:00.820 --> 07:03.220]  and that's how we even discover that system.
[07:04.820 --> 07:11.860]  All right, so the question is, that I get a lot,
[07:14.140 --> 07:18.580]  well, what do these minor cannabinoids actually do?
[07:18.580 --> 07:22.660]  And to answer that question is not just a very simple,
[07:22.660 --> 07:24.340]  well, they do this and they do that,
[07:24.340 --> 07:27.220]  but here's the issue with that.
[07:27.220 --> 07:31.900]  Now, we have learned a lot about CBD, right?
[07:31.900 --> 07:34.420]  We have learned a lot about THC,
[07:34.420 --> 07:37.300]  because we actually have clinical data,
[07:37.300 --> 07:40.140]  clinical trials, research.
[07:40.140 --> 07:45.140]  We have FDA-approved drugs that use THC or CBD,
[07:46.860 --> 07:49.020]  or a combination thereof.
[07:49.020 --> 07:54.020]  But what's still pretty rare is to have clinical trials
[07:54.180 --> 07:58.140]  that are placebo-controlled, double-blind,
[07:58.140 --> 08:01.260]  and for the minor cannabinoids.
[08:01.300 --> 08:06.060]  So what we have to do right now is almost lean
[08:06.060 --> 08:10.780]  on anecdotal evidence of what these minor cannabinoids do.
[08:10.780 --> 08:13.380]  And there's nothing wrong with anecdotal evidence,
[08:13.380 --> 08:17.140]  because let's not forget, the way how we figured out
[08:17.140 --> 08:20.700]  that CBD works with seizures is because of anecdotal
[08:20.700 --> 08:23.580]  evidence, when it was used for childhood,
[08:23.580 --> 08:27.100]  and then on childhood.
[08:27.100 --> 08:30.500]  Now, let's, for example, CBN.
[08:30.540 --> 08:33.340]  CBN is one of the biggest sellers right now
[08:33.340 --> 08:37.940]  in the hemp market, on the consumer-facing product market.
[08:37.940 --> 08:42.940]  And anecdotally, people say CBN is great for rest,
[08:43.060 --> 08:48.020]  for sleep, for insomnia, anxiety, things like that.
[08:48.020 --> 08:51.180]  But we don't have a full-blown human study,
[08:51.180 --> 08:52.620]  a clinical trial.
[08:52.620 --> 08:56.140]  What we do have is a clinical trial taken in CBN
[08:56.140 --> 08:59.060]  on a very rare skin condition.
[08:59.060 --> 09:04.060]  So the studies are really just slowly emerging now.
[09:04.260 --> 09:07.260]  And if you think about it, you have to ask yourself,
[09:07.260 --> 09:08.420]  well, why is that?
[09:08.420 --> 09:12.860]  Well, number one, we are just now really discovering
[09:12.860 --> 09:15.900]  these minor cannabinoids and learning about them.
[09:15.900 --> 09:19.460]  Number two, the access to these compounds
[09:19.460 --> 09:22.260]  is still pretty difficult, especially before the whole
[09:22.260 --> 09:25.940]  farm bill, when universities really had a tough time
[09:25.980 --> 09:29.820]  getting funding for these types of research projects,
[09:29.820 --> 09:32.740]  or there was a lot of stigma that was attached
[09:32.740 --> 09:36.340]  for academicians to engage in this field.
[09:36.340 --> 09:40.900]  And so that's the reason why research is still
[09:40.900 --> 09:43.460]  at this infancy right now.
[09:43.460 --> 09:47.380]  But the good news is that the federal funding agencies,
[09:47.380 --> 09:49.300]  like the National Institutes of Health
[09:49.300 --> 09:51.580]  and the National Science Foundation,
[09:51.580 --> 09:54.020]  they're actually paying attention,
[09:54.020 --> 09:56.220]  and they're recognizing something,
[09:56.220 --> 09:58.580]  that there's a lot of potential in this field.
[09:58.580 --> 10:01.460]  And they're putting up major funding opportunities,
[10:01.460 --> 10:06.460]  a lot of money to fund projects that are so relevant
[10:06.900 --> 10:10.820]  that will bring us data so we can learn
[10:10.820 --> 10:15.020]  about these cannabinoids that are giving us
[10:15.020 --> 10:16.980]  a lot of analytical evidence.
[10:17.900 --> 10:21.300]  So the NIH is funding right now that has not even
[10:21.300 --> 10:22.900]  expiration dates listed.
[10:22.900 --> 10:25.460]  So you can just apply.
[10:25.460 --> 10:28.180]  And in trying to research plant molecules,
[10:28.180 --> 10:31.940]  we're collaborating with the University of South Carolina,
[10:31.940 --> 10:33.980]  the medical school, and the project in which
[10:33.980 --> 10:36.140]  they're using myocannabinoids,
[10:36.140 --> 10:40.340]  and doing cell signaling studies in collaboration.
[10:40.340 --> 10:43.340]  So things like that are now starting to come up,
[10:43.340 --> 10:45.100]  and I'm super excited about them,
[10:45.100 --> 10:48.580]  because that's what we need to validate our data.
[10:51.530 --> 10:53.890]  I apologize for being over here,
[10:54.570 --> 10:55.570]  because I don't know what's like.
[10:55.570 --> 10:57.250]  We're on, it's like,
[10:58.530 --> 11:00.650]  I can't really see what's like.
[11:09.330 --> 11:11.210]  Talking about isolates now.
[11:11.210 --> 11:16.210]  So isolates are compounds that are very pure.
[11:16.250 --> 11:21.250]  I consider an isolate a compound that is 99% purity
[11:21.290 --> 11:22.370]  or higher.
[11:22.370 --> 11:27.370]  So let's talk about why we want to give isolates
[11:28.370 --> 11:33.370]  sort of a really, really great reputation.
[11:34.130 --> 11:37.010]  Because a lot of the myocannabinoids that we make
[11:37.010 --> 11:41.850]  at precision plant molecules are highly pure
[11:41.850 --> 11:46.050]  and rare cannabinoids in a newly isolate format.
[11:46.050 --> 11:50.290]  Now, number one, isolates are pure.
[11:51.370 --> 11:55.010]  They are inexpensive.
[11:55.050 --> 11:59.610]  They are free of any kind of like pesticides,
[11:59.610 --> 12:01.850]  fungicides, herbicides.
[12:01.850 --> 12:05.650]  And what's really great is a lot of these
[12:05.650 --> 12:06.970]  are nice and simple.
[12:06.970 --> 12:11.570]  So like, really, they're being collected,
[12:11.570 --> 12:13.970]  and they share the same everything.
[12:13.970 --> 12:17.050]  They're all the same, same ingredients.
[12:17.050 --> 12:19.930]  And they're all formulated the same way,
[12:19.930 --> 12:21.490]  and to do a microdosing.
[12:21.490 --> 12:24.330]  And the great thing about isolates as well,
[12:24.850 --> 12:27.250]  I don't want to sound too pro-isolate here
[12:27.250 --> 12:29.370]  because I also like the full-length extracts
[12:29.370 --> 12:30.770]  because of the entourage effect.
[12:30.770 --> 12:35.770]  But isolates can be put into various types
[12:36.490 --> 12:38.130]  of delivery mechanisms.
[12:38.130 --> 12:39.810]  So you can put them in gummies.
[12:39.810 --> 12:41.210]  You can put them in gel caps.
[12:41.210 --> 12:43.090]  You can put them in tinctures.
[12:43.090 --> 12:47.370]  You can put them in topicals, transdermal patches.
[12:47.370 --> 12:51.610]  But what I consider to be most relevant
[12:51.650 --> 12:54.370]  when it comes to the overall global space
[12:54.370 --> 12:59.370]  is that isolates are supposed to be 100% THC-free.
[13:01.650 --> 13:03.970]  And that is an important implication
[13:03.970 --> 13:06.370]  because a lot of countries around the world
[13:06.370 --> 13:10.410]  just don't allow any THC due to legalities.
[13:10.410 --> 13:14.690]  So isolates are good to make THC-free products
[13:14.690 --> 13:18.130]  as well as you can add them into any kind of
[13:18.170 --> 13:21.330]  like full-spectrum extract to enhance
[13:21.330 --> 13:23.330]  or to reinforce the profile,
[13:23.330 --> 13:26.970]  and to also do custom types of formulations.
[13:30.570 --> 13:31.650]  So Ursprung.
[13:33.330 --> 13:36.850]  Ursprung is another German word meaning origin.
[13:36.850 --> 13:41.850]  Where do we get these minor terminamins from?
[13:42.170 --> 13:44.810]  To my knowledge, there's three ways.
[13:44.810 --> 13:48.170]  Number one is directly from the plant,
[13:48.170 --> 13:50.010]  which basically means,
[13:50.010 --> 13:52.890]  I would almost say it's closest to nature
[13:52.890 --> 13:56.050]  because we're extracting minor cannabinoids
[13:56.050 --> 13:58.290]  directly out of the plant.
[13:58.290 --> 14:01.970]  Now, the challenge there is that
[14:01.970 --> 14:04.130]  since the minor cannabinoids are present
[14:04.130 --> 14:06.250]  in such small concentration,
[14:06.250 --> 14:09.810]  it takes a lot of extract and a lot of isolation
[14:09.810 --> 14:12.890]  to get a reasonable amount of these.
[14:12.930 --> 14:15.090]  The other way to get to minors
[14:15.090 --> 14:18.570]  is by a process called conversions.
[14:18.570 --> 14:22.210]  So the conversions can occur either directly
[14:22.210 --> 14:26.970]  from the plant to my molecule as a starting material,
[14:26.970 --> 14:31.970]  or they can be made with individual starting materials
[14:32.090 --> 14:34.330]  like terpenes that can react together
[14:34.330 --> 14:36.650]  to make minor cannabinoids.
[14:36.650 --> 14:40.410]  And then finally, there's also bioengineered fermentation
[14:40.570 --> 14:44.410]  that you can use in order to express these minor cannabinoids
[14:44.410 --> 14:46.850]  in either yeast or bacteria.
[14:46.850 --> 14:50.330]  So the perfect analogy that I like to use
[14:50.330 --> 14:51.770]  in order to understand this,
[14:51.770 --> 14:54.850]  because plant-derived cannabinoids,
[14:54.850 --> 14:55.970]  that's easy to understand.
[14:55.970 --> 14:58.690]  You squeeze the plant and you get the new cannabinoid.
[14:58.690 --> 15:03.090]  But conversions, I like to use the word,
[15:03.090 --> 15:05.010]  for example, vitamin C.
[15:05.010 --> 15:07.890]  All of us know that we don't squeeze vitamin C
[15:07.930 --> 15:10.690]  out of oranges and lemons anymore, right?
[15:10.690 --> 15:12.570]  We know that vitamin C is produced
[15:12.570 --> 15:14.290]  in the pharma-type environment
[15:15.170 --> 15:19.090]  in a converging, in a synthetic pathway.
[15:19.090 --> 15:23.210]  And so that's how you can also get cannabinoids.
[15:23.210 --> 15:25.370]  In this case, minor cannabinoids.
[15:25.370 --> 15:29.610]  And then with bioengineered fermentation techniques,
[15:29.610 --> 15:32.690]  I like to use the example of insulin.
[15:32.690 --> 15:34.610]  So it used to be that you had to take
[15:34.610 --> 15:36.730]  a whole bunch of pancreases
[15:36.730 --> 15:38.970]  and squeeze out the pancreatic material
[15:38.970 --> 15:40.850]  to get all this insulin.
[15:40.850 --> 15:45.850]  But now, we can just enhance the gene in yeast or bacteria
[15:46.890 --> 15:48.890]  and that expresses insulin.
[15:48.890 --> 15:52.410]  And now, you know, millions of people around the world
[15:52.410 --> 15:55.210]  are being helped with diabetes.
[15:55.210 --> 15:58.930]  So that's how I like to think about these different ways
[15:58.930 --> 16:00.930]  of sourcing cannabinoids.
[16:04.010 --> 16:06.210]  All right, now we're getting to a topic
[16:06.690 --> 16:10.810]  that I actually see Matt from Delta-8 Science here.
[16:10.810 --> 16:11.650]  Hello.
[16:12.570 --> 16:14.610]  Now we're getting into the big boom
[16:14.610 --> 16:18.810]  that happened last year and even a bigger boom this year,
[16:18.810 --> 16:21.730]  which is Delta-8 THC.
[16:21.730 --> 16:26.730]  So Delta-8 THC is making a gigantic impact
[16:27.170 --> 16:29.010]  right now on the market.
[16:30.050 --> 16:31.530]  Right around the corner back there,
[16:31.530 --> 16:34.690]  I saw somebody showing their amazing Delta-8 shadow,
[16:34.690 --> 16:35.890]  for example.
[16:36.450 --> 16:41.130]  Now, why is that molecule grabbing our attention?
[16:41.130 --> 16:44.850]  Why is that molecule dominating
[16:44.850 --> 16:47.210]  everything we're talking about right now?
[16:47.210 --> 16:51.810]  Why is it in this central stage of attention?
[16:51.810 --> 16:56.370]  Well, number one, it's pretty inexpensive.
[16:56.370 --> 17:01.050]  Number two, and this comes always back to
[17:01.050 --> 17:03.370]  what do you actually feel
[17:03.370 --> 17:06.330]  when you take something into your body, right?
[17:07.450 --> 17:11.050]  CBD, we know, can help you a lot with pain, with pain.
[17:11.050 --> 17:15.730]  At least some people report, I can feel CBD,
[17:15.730 --> 17:18.370]  but some people report, I cannot feel CBD.
[17:18.370 --> 17:20.570]  It doesn't really do anything for me.
[17:20.570 --> 17:24.210]  But most people should know that THC, Delta-9,
[17:24.210 --> 17:25.930]  does something to them, right?
[17:25.930 --> 17:28.290]  It definitely makes people high.
[17:28.290 --> 17:30.210]  We know that as a fact.
[17:30.210 --> 17:34.530]  Delta-8 has a small structural change,
[17:34.530 --> 17:37.730]  and it's also a molecule that can make you high.
[17:37.730 --> 17:40.650]  And so the reason why people are so interested in it,
[17:40.650 --> 17:41.810]  in purchasing it,
[17:41.810 --> 17:44.610]  because it actually allows you to feel something.
[17:44.610 --> 17:47.370]  And in this case, it allows you to feel barraged,
[17:47.370 --> 17:50.570]  which is the German word I want to teach you today.
[17:50.570 --> 17:53.170]  And barraged means it makes you high.
[17:53.170 --> 17:56.090]  And it might not make you as high as Delta-9,
[17:56.090 --> 17:59.570]  but it definitely has a psychotropic effect.
[18:01.210 --> 18:02.050]  Oh.
[18:07.130 --> 18:09.850]  Oh yeah, okay, so like I said, it's inexpensive,
[18:09.850 --> 18:14.850]  and it can also be easily converted from hemp-derived CBD
[18:15.610 --> 18:18.050]  or marijuana-derived THC.
[18:18.050 --> 18:23.050]  So it's a very simple process to convert into Delta-8.
[18:23.610 --> 18:26.130]  So this is a great opportunity right now
[18:26.130 --> 18:31.130]  for people who are risking enough
[18:31.970 --> 18:36.970]  to slide through the uncertain legal landscape.
[18:38.090 --> 18:39.690]  It's an opportunity for people
[18:39.690 --> 18:43.450]  to bring a product to the market that is amazing.
[18:44.330 --> 18:47.570]  But also, we have to pay attention to the fact
[18:47.570 --> 18:52.570]  that right now, we're in this cloud of unknown regulations.
[18:53.530 --> 18:58.530]  So anybody who is now making great Delta-8 THC,
[18:58.530 --> 19:00.210]  it's not just bad, right?
[19:01.330 --> 19:02.170]  Or TPM.
[19:03.850 --> 19:08.290]  At one point, some of the three-letter regulating agencies
[19:08.290 --> 19:10.490]  might put the kaboom on it.
[19:13.490 --> 19:16.210]  So let me talk a little bit about the science,
[19:16.210 --> 19:18.090]  and I'm not making it too complex,
[19:18.090 --> 19:23.090]  but Delta-8 THC is just a wealth of a treasure trove
[19:23.290 --> 19:28.290]  that still needs to be opened and discovered.
[19:31.210 --> 19:34.450]  And the reason why is Delta-8,
[19:34.450 --> 19:37.290]  when it enters the market,
[19:37.290 --> 19:39.490]  it can actually enter the market
[19:39.490 --> 19:43.290]  not at a very high 99-cent purity level
[19:43.290 --> 19:46.930]  that I was talking about with regards to isolate earlier.
[19:46.930 --> 19:49.450]  So oftentimes, what you see on the market right now
[19:49.490 --> 19:54.330]  is about a 90 to 95% Delta-8,
[19:54.330 --> 19:58.770]  and then there's a bunch of other little things in there,
[19:58.770 --> 20:02.090]  and these other little things are the isomers.
[20:02.090 --> 20:05.850]  And these isomers are complex,
[20:05.850 --> 20:10.650]  and it opens up a whole new area of research and testing
[20:10.650 --> 20:15.650]  and questions like, do we know what these isomers do?
[20:15.650 --> 20:19.250]  Do we know what Delta-7, Delta-8, Delta-10 exact is?
[20:20.050 --> 20:22.530]  There's two types of Delta-10s there.
[20:22.530 --> 20:23.570]  Do we know what they do?
[20:23.570 --> 20:24.810]  Well, we don't.
[20:24.810 --> 20:27.330]  Do they work really great together,
[20:27.330 --> 20:29.650]  or do they not work great together?
[20:29.650 --> 20:30.690]  Are they good?
[20:30.690 --> 20:33.370]  Could they be bioactive or not?
[20:33.370 --> 20:36.250]  These are just things that we need to really be
[20:36.250 --> 20:38.010]  paying attention to right now.
[20:45.240 --> 20:50.240]  All right, and this slide brings me to a very important,
[20:50.240 --> 20:51.080]  thank you.
[20:51.080 --> 20:54.480]  This slide brings me to a very important message
[20:54.480 --> 20:59.320]  for all of you who are in the cannabis space,
[20:59.320 --> 21:01.640]  making major or minor campaigns.
[21:01.640 --> 21:05.160]  Make sure that you have a testing partner,
[21:05.160 --> 21:09.120]  a testing lab that you can very well converse with,
[21:09.120 --> 21:12.720]  work together, scientific exchanges.
[21:12.720 --> 21:14.720]  Just make sure that the testing partner
[21:14.720 --> 21:17.480]  is able to do a lot of the things
[21:17.480 --> 21:19.120]  that you're asking them to do.
[21:19.120 --> 21:23.080]  So for example, everybody knows right now,
[21:23.080 --> 21:24.560]  we send something to this lab,
[21:24.560 --> 21:26.880]  it's a different result than when we send it to this lab.
[21:26.880 --> 21:30.120]  So there's right now some challenges we have to overcome,
[21:30.120 --> 21:32.200]  such as inconsistencies.
[21:32.200 --> 21:34.120]  We don't have all of the standards yet
[21:34.120 --> 21:35.840]  for all of these different isomers.
[21:35.840 --> 21:37.640]  And sometimes some of these isomers
[21:37.640 --> 21:40.280]  can actually mispick and for Delta-9,
[21:40.280 --> 21:42.640]  and then everybody is up in arms saying,
[21:42.640 --> 21:44.880]  oh, I wouldn't want to have all of this
[21:44.880 --> 21:47.320]  non-compliant product, Delta-9.
[21:47.360 --> 21:50.160]  Well, it might not be Delta-9,
[21:50.160 --> 21:52.080]  it might just be a doppelganger, right?
[21:52.080 --> 21:54.440]  One of those other cannabinoids.
[21:58.560 --> 22:00.680]  This brings me to my,
[22:02.520 --> 22:05.160]  not the last German word that I'm gonna teach you today,
[22:05.160 --> 22:06.560]  but the last before the last.
[22:06.560 --> 22:09.040]  So the Zukunft means the future,
[22:09.040 --> 22:13.520]  but there's actually a better word of the future.
[22:13.560 --> 22:18.240]  And that is a word that my colleague actually,
[22:18.240 --> 22:20.480]  co-founder of Precision and Molecules,
[22:20.480 --> 22:22.800]  just reminded me of yesterday.
[22:22.800 --> 22:27.000]  And this word is called the fingerschmiedzinkerfinger.
[22:27.000 --> 22:29.800]  And it's a long word,
[22:29.800 --> 22:33.240]  but it has a meaning that I can't really capture
[22:33.240 --> 22:34.680]  in the English language.
[22:34.680 --> 22:38.560]  But what it means is finger means fingers,
[22:38.560 --> 22:41.120]  and you can feel it in your fingers.
[22:41.240 --> 22:46.240]  In wartime, the generals, when they were in combat,
[22:46.240 --> 22:49.760]  there were generals that were put out there
[22:49.760 --> 22:52.440]  to feel when there was a combat coming,
[22:52.440 --> 22:56.000]  or to feel when it was just perfect to do the attack.
[22:56.000 --> 22:58.560]  And this is my fingerschmiedzinkerfinger
[22:58.560 --> 23:00.080]  for the future.
[23:00.080 --> 23:03.320]  Number one, in the next couple of years,
[23:03.320 --> 23:05.320]  we will still be confused.
[23:05.320 --> 23:07.840]  We will still not know if Delta-8
[23:07.840 --> 23:10.040]  or some of the other compounds
[23:10.040 --> 23:12.200]  that are emerging in the market,
[23:12.200 --> 23:14.360]  are they legal, are they illegal?
[23:14.360 --> 23:16.640]  Well, it really depends on who you talk to.
[23:16.640 --> 23:18.960]  These lawyers interpret the law this way.
[23:18.960 --> 23:21.280]  These lawyers interpret the law this way.
[23:21.280 --> 23:23.280]  It's just gonna be still a very much
[23:23.280 --> 23:26.040]  of a confusing legal landscape.
[23:26.040 --> 23:27.520]  The other thing that I predict
[23:27.520 --> 23:29.480]  when fingerschmiedzinkerfinger is,
[23:30.480 --> 23:34.040]  we are now on the perfect path
[23:34.040 --> 23:39.040]  for increasing research and clinical trials.
[23:39.920 --> 23:43.840]  And just this week, I hope some of you saw
[23:43.840 --> 23:45.280]  these amazing headlines,
[23:45.280 --> 23:48.120]  Frontpage News with valid care.
[23:48.120 --> 23:51.200]  They just published their studies.
[23:51.200 --> 23:54.200]  12 companies participated in this trial,
[23:54.200 --> 23:55.760]  this research study,
[23:55.760 --> 23:59.520]  that basically the data was submitted to the FDA,
[23:59.520 --> 24:00.880]  and it came back really great,
[24:00.880 --> 24:02.760]  and showed that none of these products
[24:02.800 --> 24:04.960]  that are in the market have any kind of
[24:04.960 --> 24:09.520]  liver toxicity, and now it's happening with testosterone.
[24:09.520 --> 24:12.040]  And there's other contract research labs out there
[24:12.040 --> 24:13.840]  that are not doing very similar things,
[24:13.840 --> 24:15.480]  like Sanjay Labs.
[24:15.480 --> 24:18.360]  And so I think that this is exciting times
[24:18.360 --> 24:20.240]  that we're actually getting data,
[24:20.240 --> 24:25.240]  and this will help us make formulations
[24:25.360 --> 24:28.160]  that are actually specific to an individual person,
[24:28.160 --> 24:30.160]  because we're not all the same, right?
[24:30.160 --> 24:32.000]  I'm a female, you're a male.
[24:32.000 --> 24:33.360]  I'm old, you're young.
[24:33.360 --> 24:34.880]  I live there, you live there.
[24:34.880 --> 24:37.800]  So we all have very individual needs,
[24:37.800 --> 24:41.080]  and these are the times where we can cater
[24:41.080 --> 24:43.920]  to this personalized and bespoke
[24:43.920 --> 24:46.480]  cannabinoid-based healthy wellness.
[24:51.290 --> 24:54.290]  So up here you see my contact information.
[24:55.290 --> 24:58.850]  Andrea Holmes, Precision Plant Molecules.
[24:59.690 --> 25:03.410]  Typically when you just go on Google,
[25:04.290 --> 25:06.770]  you can check in on Andrea Holmes,
[25:06.770 --> 25:07.850]  Precision Plant Molecules,
