[00:00.000 --> 00:00.840]  Damn it.
[02:00.290 --> 02:02.810]  And it's cool to meet new people
[02:02.810 --> 02:04.210]  cause we all have a passion, dude.
[02:04.770 --> 02:05.610]  We all got a passion for it.
[02:05.610 --> 02:07.970]  The plant, you know, this plant's a magical plant.
[02:07.970 --> 02:11.210]  And I think this platform really provides
[02:11.210 --> 02:14.610]  a really cool network with, you know,
[02:14.610 --> 02:16.650]  people like-minded people linking up
[02:16.650 --> 02:18.530]  all kind of surrounded around the plant
[02:18.530 --> 02:20.970]  and the spiderweb effect that, you know,
[02:20.970 --> 02:23.570]  she has on my life for sure.
[02:24.430 --> 02:27.370]  Yeah, she definitely does have a spiderweb effect.
[02:27.370 --> 02:30.450]  We were just talking about making a connection I made
[02:30.450 --> 02:34.850]  like 20, 30 odd years later, almost 25 years later
[02:34.850 --> 02:37.610]  of two people that we had met.
[02:37.610 --> 02:41.290]  So it's been kind of a long journey and for me,
[02:41.290 --> 02:43.090]  and you know, I guess, you know,
[02:43.090 --> 02:47.090]  I'd love to hear about kind of your journey with cannabis.
[02:47.090 --> 02:50.090]  You know, I started young, but how about yourself?
[02:50.090 --> 02:52.090]  When did you kind of come across it?
[02:52.090 --> 02:53.810]  Do you remember how you came across it?
[02:53.810 --> 02:55.370]  Was it peer pressure?
[02:55.370 --> 02:58.650]  Oh, it was, I wouldn't say it was peer pressure at all.
[02:58.650 --> 03:03.650]  I mean, I was, I think 11 or 12, sorry, mom.
[03:04.970 --> 03:07.610]  I remember it was at my best friend, Brandon's house.
[03:07.610 --> 03:11.490]  What up, if you see this, we were just playing video games.
[03:11.490 --> 03:15.330]  I think it was like Madden or NHL or something.
[03:15.330 --> 03:16.570]  And I just kind of looked around
[03:16.570 --> 03:18.490]  and nobody was in the room.
[03:18.490 --> 03:20.450]  And I was like, huh, I wonder where everyone's at.
[03:20.450 --> 03:21.850]  And I kind of go check around
[03:21.850 --> 03:25.010]  and there I'm his sister's balcony
[03:25.010 --> 03:27.050]  smoking out of this cool glass pipe.
[03:27.050 --> 03:28.250]  And I'm like, what's that?
[03:28.890 --> 03:29.730]  And they're like, it's weed.
[03:29.730 --> 03:30.930]  I'm like, that's weed?
[03:30.930 --> 03:32.570]  You know, that looks interesting.
[03:32.570 --> 03:35.010]  And they're like, you don't have to try it.
[03:35.010 --> 03:36.010]  Like, it's all good.
[03:36.010 --> 03:38.610]  Like, you know, it's, you know,
[03:38.610 --> 03:39.690]  and I was like, no, I'll try it.
[03:39.690 --> 03:40.570]  Yeah, I'll try it.
[03:40.570 --> 03:43.010]  And so I remember taking a hit
[03:43.010 --> 03:44.650]  and just coughing my lungs out
[03:44.650 --> 03:47.490]  and not really feeling anything.
[03:47.490 --> 03:49.850]  You know, the bowl went around a few times, I was coughing.
[03:49.850 --> 03:52.010]  And then I took another hit and that's like,
[03:52.010 --> 03:53.330]  that's the one that kind of rocked me.
[03:53.330 --> 03:56.530]  And then I remember going back into the room
[03:56.530 --> 03:57.730]  and just kind of laying there
[03:58.250 --> 04:01.250]  and just kind of like having this weird energy fit,
[04:01.250 --> 04:02.810]  you know, just kind of just sitting there,
[04:02.810 --> 04:05.810]  but just being like, what's this is,
[04:05.810 --> 04:07.490]  you know, just kind of turned on, you know,
[04:07.490 --> 04:09.930]  as some people say, it was just really interesting.
[04:09.930 --> 04:13.410]  So that was the spark that ignited my journey.
[04:13.410 --> 04:16.170]  And it was very enjoyable, memorable,
[04:16.170 --> 04:18.690]  because it was just so interesting and new.
[04:20.050 --> 04:23.730]  And I wasn't really a daily user for a while.
[04:23.730 --> 04:26.970]  I mean, I would say probably a daily user too young,
[04:27.490 --> 04:28.610]  I started using,
[04:31.090 --> 04:32.490]  you know, I was just young and dumb,
[04:32.490 --> 04:34.970]  misguided youth drinking and smoking
[04:34.970 --> 04:36.570]  and probably way too young.
[04:36.570 --> 04:39.250]  And, you know, my parents,
[04:39.250 --> 04:41.050]  God bless them, did everything they could,
[04:41.050 --> 04:44.530]  but I got kicked out as a teenager
[04:44.530 --> 04:49.530]  and just kind of finished high school and moved to Tahoe.
[04:51.610 --> 04:56.330]  And it was funny because I moved to Squaw.
[04:56.330 --> 05:01.330]  And it says in their employee handbook that they drug test.
[05:04.330 --> 05:06.290]  And I was like, well, shit, you know,
[05:06.290 --> 05:08.730]  I might either be homeless with no job
[05:08.730 --> 05:10.890]  or get, you know, move into employee housing
[05:10.890 --> 05:13.690]  and snowboard, you know?
[05:13.690 --> 05:15.650]  So I mean, like that was, might as well,
[05:15.650 --> 05:17.010]  I'll be sober for a while, you know?
[05:17.010 --> 05:19.970]  And so I moved into this employee housing
[05:19.970 --> 05:24.570]  and everybody there was burning tough.
[05:24.570 --> 05:25.410]  So I was like.
[05:26.290 --> 05:27.370]  Yeah, wait a minute.
[05:27.370 --> 05:29.490]  Was this like pre-employment testing?
[05:29.490 --> 05:32.770]  I was like, fuck, do they not care that they have a secret?
[05:32.770 --> 05:35.170]  And then like, they, everyone thought it was a square.
[05:35.170 --> 05:37.370]  Cause I was just, you know, in my area,
[05:37.370 --> 05:38.930]  just reading or something, you know,
[05:38.930 --> 05:41.130]  just waiting for the snow to fall and work to go.
[05:41.130 --> 05:43.170]  And then, you know, everyone's like,
[05:43.170 --> 05:44.130]  oh, this guy's a square.
[05:44.130 --> 05:45.050]  What's up, you don't burn?
[05:45.050 --> 05:46.250]  I was like, don't they drug test?
[05:46.250 --> 05:47.650]  And they're like, no, dude,
[05:47.650 --> 05:49.610]  they just say that to kind of ward off people.
[05:49.610 --> 05:50.890]  You know, if you, if you fuck up,
[05:50.890 --> 05:52.650]  they'll drug test you, but not.
[05:52.650 --> 05:53.490]  There you go.
[05:53.490 --> 05:54.330]  And so I was like, I'm done, you know?
[05:54.330 --> 05:56.170]  So it was definitely a very heavy user
[05:56.170 --> 05:57.930]  all throughout high school.
[05:57.930 --> 06:01.690]  I actually, in high school had a scoliosis
[06:01.690 --> 06:06.490]  and a very bad scoliosis to where they wanted to operate.
[06:06.490 --> 06:07.330]  Wow.
[06:08.210 --> 06:10.810]  I didn't want to, my mom was a nurse.
[06:10.810 --> 06:13.050]  She was kind of like, that's the gnarly surgery.
[06:13.050 --> 06:13.970]  Is there anything else?
[06:13.970 --> 06:16.050]  You know, she was really looking out for me
[06:16.050 --> 06:19.690]  and I had to wear like a doctor prescribed back brace.
[06:19.690 --> 06:21.730]  Like, you know, like, yep.
[06:22.290 --> 06:23.130]  Yeah.
[06:23.130 --> 06:24.130]  Keep the chest back.
[06:24.130 --> 06:26.170]  Yeah. My, my posture is not the best, but.
[06:26.170 --> 06:27.810]  You know, like, I mean, I was bad.
[06:27.810 --> 06:29.810]  I was like noticeably, you know, bad.
[06:29.810 --> 06:33.050]  It was in like, cry, you know, pain, you know, very bad.
[06:33.050 --> 06:33.890]  Yeah.
[06:33.890 --> 06:38.730]  You know, I, I got, was given like opiates to help
[06:38.730 --> 06:41.770]  as a youth and definitely misuse those, you know?
[06:41.770 --> 06:45.570]  So like in anybody in those opiates, be careful,
[06:45.570 --> 06:47.650]  be very careful.
[06:47.650 --> 06:48.490]  Yeah.
[06:48.490 --> 06:51.210]  So yeah, you know, just definitely, and that, you know,
[06:51.730 --> 06:53.570]  I used cannabis to get me out of that hole, you know,
[06:53.570 --> 06:55.850]  there was a, there was a definitely dark time in my life
[06:55.850 --> 07:00.050]  and I just leaning on cannabis to get me out of that gnarly,
[07:00.050 --> 07:00.890]  you know.
[07:00.890 --> 07:02.610]  Did your, did your parents know?
[07:02.610 --> 07:05.250]  Were you open with like the cannabis use at that point?
[07:05.250 --> 07:06.490]  And how it helped?
[07:06.490 --> 07:07.330]  They hated it.
[07:07.330 --> 07:10.570]  They, I mean, I was grounded all the time.
[07:10.570 --> 07:11.490]  I would sneak out.
[07:11.490 --> 07:13.730]  I was a wild youth, you know, like,
[07:13.730 --> 07:16.130]  I'm grateful for my journey, but you know, my,
[07:16.130 --> 07:18.050]  I definitely gave my parents a hard time.
[07:18.050 --> 07:22.330]  Like it was, it was, I was, I was a lucky kid and,
[07:22.330 --> 07:26.930]  you know, barely graduated and it wasn't,
[07:26.930 --> 07:29.730]  I just didn't want to be there, you know, it was just like.
[07:29.730 --> 07:30.730]  Yeah, I get it, man.
[07:30.730 --> 07:31.570]  I was.
[07:31.570 --> 07:33.770]  You know, you were talking about how, you know,
[07:33.770 --> 07:35.850]  my, it was a little bit of rough road, you know.
[07:35.850 --> 07:38.250]  Yeah. I got kicked out, you know, I was 16.
[07:38.250 --> 07:39.090]  I was on my own.
[07:39.090 --> 07:40.650]  I, you know, I got kicked out of school.
[07:40.650 --> 07:43.250]  So I like went to a couple of different alternative schools,
[07:43.250 --> 07:44.370]  got kicked out.
[07:44.370 --> 07:47.170]  And then finally I landed at this, this school.
[07:47.170 --> 07:49.970]  And, you know, you had to have like a B average
[07:49.970 --> 07:53.810]  to stay there, but they had got a grant the year before
[07:53.810 --> 07:55.570]  to build a music studio.
[07:55.570 --> 07:56.810]  That kept my interest.
[07:56.810 --> 07:59.810]  And the history teacher let me write reports about like,
[07:59.810 --> 08:02.050]  ACLU, like your rights and the cops.
[08:02.050 --> 08:03.770]  Like I got credit for that shit.
[08:03.770 --> 08:04.610]  So.
[08:04.610 --> 08:05.450]  Yeah. So that's badass.
[08:05.450 --> 08:07.530]  You know, like, you know, the struggles.
[08:07.530 --> 08:09.330]  I was like, I mean, you were,
[08:09.330 --> 08:11.210]  were you consuming at that age?
[08:11.210 --> 08:12.050]  Yeah, definitely.
[08:12.050 --> 08:13.850]  I was, you know, I was consuming
[08:13.850 --> 08:15.890]  and I was trying to think of it before we started.
[08:15.890 --> 08:19.330]  I was either like 13 or 14 is when I probably started.
[08:19.330 --> 08:22.170]  Like I wasn't open about it with my parents.
[08:22.170 --> 08:26.010]  Like, I honestly don't think they knew, but you know,
[08:26.010 --> 08:28.290]  I was kind of a handful in many other ways anyways,
[08:28.290 --> 08:31.290]  punk rock skateboarder in like a suburbia.
[08:31.290 --> 08:33.130]  So that didn't go too well.
[08:33.130 --> 08:34.090]  And yeah, I can relate.
[08:34.090 --> 08:35.530]  You know, I was a hip hop head
[08:35.530 --> 08:38.010]  and I kind of low frequency music at the time
[08:38.010 --> 08:42.650]  and like low frequency media, you know, all of it.
[08:42.650 --> 08:45.330]  Just kind of, I'm grateful, you know,
[08:45.770 --> 08:47.570]  I'm grateful I dealt with that as a youth, you know,
[08:47.570 --> 08:50.210]  cause like I do have a family that was like looking
[08:50.210 --> 08:52.090]  out for me as much as they could, you know,
[08:52.090 --> 08:55.810]  and it was just like, I, yeah, I'm just grateful, you know.
[08:55.810 --> 08:58.330]  Yeah. Well, I'm glad that you had it around
[08:58.330 --> 08:59.530]  or at least that you found it
[08:59.530 --> 09:00.850]  and maybe voiced your opinion too.
[09:00.850 --> 09:02.570]  Cause opiates at a young age, man.
[09:02.570 --> 09:05.570]  Yeah. I mean, I was the age where they were giving Ritalin
[09:05.570 --> 09:07.730]  to every kid and you know, they'd be crushing it up
[09:07.730 --> 09:10.130]  and snorting it as basically prescription speed.
[09:10.130 --> 09:13.650]  So there's so many things that they just pushed
[09:13.650 --> 09:17.010]  onto kids that I don't, maybe they don't know
[09:17.010 --> 09:18.970]  or they don't care about the consequences
[09:18.970 --> 09:23.610]  but cannabis has helped a lot of people make that move away
[09:23.610 --> 09:24.450]  from opioids.
[09:24.450 --> 09:26.290]  So, yeah.
[09:26.290 --> 09:27.110]  I'll be real.
[09:27.110 --> 09:29.610]  Like my, you know, my mom was just worried about me.
[09:29.610 --> 09:32.090]  So I was just like in and out of the doctors all the time
[09:32.090 --> 09:35.130]  just because she was concerned and they were like,
[09:35.130 --> 09:37.610]  give them Adderall, you know, give them opiates.
[09:37.610 --> 09:39.610]  So he's depressed, give him antidepressants.
[09:39.610 --> 09:42.970]  I was in high school being forced to take opiates,
[09:42.970 --> 09:45.250]  antidepressants and Adderall with it.
[09:45.250 --> 09:46.490]  You know what the fuck that is?
[09:46.490 --> 09:47.330]  That's so.
[09:47.330 --> 09:48.150]  Yeah. Oh yeah.
[09:48.150 --> 09:51.210]  So I mean like my chemistry was all,
[09:51.210 --> 09:52.490]  all over the place, you know?
[09:52.490 --> 09:56.050]  So it was just, cannabis was the only thing to help.
[09:56.050 --> 09:59.210]  Like cannabis was the only thing that was like,
[09:59.210 --> 10:01.890]  all right, like I can finally chill.
[10:01.890 --> 10:05.530]  Like, and yeah, I mean, it was kind of cool
[10:05.530 --> 10:08.210]  that I kind of got out on my own at young
[10:08.210 --> 10:10.290]  because I mean, cannabis was all I leaned on.
[10:10.290 --> 10:12.690]  It's kind of what put food in my pocket.
[10:13.410 --> 10:14.490]  Cause being a lift op.
[10:16.530 --> 10:18.250]  You do it for the love.
[10:18.250 --> 10:19.330]  I mean, yeah, exactly.
[10:19.330 --> 10:22.450]  You do it for pre powder runs that you couldn't pay for.
[10:22.450 --> 10:24.610]  I mean, I'll get paid pennies and, you know,
[10:24.610 --> 10:28.530]  hustle on the side and get powder runs every day.
[10:28.530 --> 10:29.370]  You know what I mean?
[10:29.370 --> 10:30.190]  I used to get.
[10:30.190 --> 10:31.030]  Yeah, it's worth it.
[10:31.030 --> 10:34.290]  150 days a season on the mountain.
[10:34.290 --> 10:36.010]  And like, it was worth it.
[10:36.010 --> 10:37.410]  It was definitely worth it at the time.
[10:37.410 --> 10:40.210]  If you're young and you have nothing to do
[10:40.210 --> 10:42.610]  and you're really confused and not sure what's up,
[10:43.490 --> 10:44.330]  go shred.
[10:44.330 --> 10:45.570]  Like if you want, if you're a beach dude, go surf,
[10:45.570 --> 10:47.370]  you know, like go figure it out.
[10:47.370 --> 10:49.770]  Go be in nature, you know, like go bike ride,
[10:49.770 --> 10:51.770]  you know, go do something until you figure it out.
[10:51.770 --> 10:52.610]  Cause that's what I did.
[10:52.610 --> 10:57.170]  Like I just, you know, snowboarded and grew herb,
[10:57.170 --> 11:00.410]  you know, moving on the side and just got by until like,
[11:01.770 --> 11:03.250]  I kind of figured it was my passion
[11:03.250 --> 11:06.010]  and it was my, it was the direction that I was going.
[11:06.010 --> 11:09.130]  Cause snowboarding just beats you up as fun as it is.
[11:09.130 --> 11:11.070]  And like broken bones.
[11:11.070 --> 11:13.870]  I've had five major concussions where you wake up
[11:13.870 --> 11:15.910]  with people surrounding you, like you okay?
[11:15.910 --> 11:17.690]  And I'm like, I mean, one of my,
[11:17.690 --> 11:21.110]  I woke up to being gurneyed on a helicopter
[11:21.110 --> 11:22.150]  and got all combative.
[11:23.070 --> 11:23.910]  Oh yeah, man.
[11:23.910 --> 11:27.110]  I've been, I used to go hard when I was a kid.
[11:27.110 --> 11:28.310]  I was a junkie.
[11:28.310 --> 11:32.470]  I was like, you know, like let's go big.
[11:32.470 --> 11:34.430]  Never took a helicopter ride though.
[11:34.430 --> 11:36.190]  Never took a helicopter, knock on wood, man.
[11:36.190 --> 11:37.490]  I'm not done yet, but.
[11:38.830 --> 11:40.350]  Yeah, I mean, I just pushed it.
[11:40.790 --> 11:44.550]  I hit the big 60, 80 foot jumps at Swall Valley Park
[11:44.550 --> 11:45.710]  where they used to film.
[11:45.710 --> 11:47.790]  I mean like, I wouldn't be doing huge,
[11:47.790 --> 11:49.630]  like McTwists and shit on them,
[11:49.630 --> 11:52.670]  but I'd at least, you know, sack up and try and hit them.
[11:52.670 --> 11:54.950]  And it was definitely big boy shit.
[11:54.950 --> 11:56.750]  Just, yeah, just going off it, man.
[11:56.750 --> 12:00.510]  Committing like the whole, the physics behind snowboarding,
[12:00.510 --> 12:02.830]  like how everything is mapped out these days
[12:02.830 --> 12:03.650]  and they're getting, you know,
[12:03.650 --> 12:08.650]  like 250 foot like launches is just insane.
[12:08.690 --> 12:10.690]  Respect, like, yeah.
[12:10.690 --> 12:12.370]  Yeah, the physics of it.
[12:12.370 --> 12:15.210]  Humans aren't meant to do these things and yet they do it.
[12:15.210 --> 12:18.130]  But there was an era where it's like,
[12:18.130 --> 12:20.730]  that looks steep, think I can make it.
[12:20.730 --> 12:22.010]  Just go fast.
[12:22.010 --> 12:23.410]  That's how it was.
[12:23.410 --> 12:24.530]  I mean, that was my era.
[12:24.530 --> 12:26.810]  Squalor, I mean, before it got bought out,
[12:26.810 --> 12:29.010]  I mean, back when it was privately,
[12:29.010 --> 12:31.650]  it was one of the last privately owned resorts in Tahoe
[12:31.650 --> 12:33.970]  when I was there and it was a bad-ass mountain.
[12:33.970 --> 12:36.130]  I mean, if you know, you know, it's big boy shit.
[12:36.130 --> 12:41.130]  And I mean, I went 100 plus feet to my back
[12:41.730 --> 12:44.210]  and bruised both my kidneys
[12:44.210 --> 12:45.930]  and was peeing blood for a week.
[12:45.930 --> 12:46.770]  You know what I mean?
[12:46.770 --> 12:48.450]  Like, I just, that was just like,
[12:48.450 --> 12:51.050]  hey, have you hit that?
[12:51.050 --> 12:51.890]  No?
[12:51.890 --> 12:54.410]  All right, I'll point it, you know, like go for it.
[12:54.410 --> 12:55.250]  You know what I mean?
[12:55.250 --> 12:58.370]  Most of the time it was good, but nine out of, you know,
[12:58.370 --> 13:01.490]  that one time is the one time and I'm grateful, you know?
[13:01.490 --> 13:05.570]  I mean, I've woken up in tree wells and yeah, it's scary.
[13:05.570 --> 13:08.810]  I mean, the passion that, you know, even with cannabis,
[13:08.810 --> 13:10.490]  I mean, cannabis back in the day can get you
[13:10.490 --> 13:13.450]  into some scary situations, but that passion drove you,
[13:13.450 --> 13:14.290]  you know what I mean?
[13:14.290 --> 13:16.610]  That's that passion that makes you do some weird shit
[13:16.610 --> 13:18.010]  sometimes, you know?
[13:18.010 --> 13:19.610]  Send it, send it.
[13:19.610 --> 13:23.530]  Yes, now I look before I leap, but yeah, no, I've never,
[13:23.530 --> 13:25.690]  I mean, in all honesty, I've never gone that big at all,
[13:25.690 --> 13:27.410]  but I've been around the people.
[13:27.410 --> 13:31.530]  I'm the one at the bottom being like, all right, go, send it.
[13:31.530 --> 13:34.290]  So the town I'm talking about, if you know Squaw Valley,
[13:34.330 --> 13:37.890]  it was the Far East chairlift on a powder day.
[13:37.890 --> 13:40.610]  If you send the Far East chairlift, Lookers Right,
[13:40.610 --> 13:44.090]  directly to Red Dog, under chair and send it,
[13:44.090 --> 13:45.850]  you can go far.
[13:45.850 --> 13:46.690]  Like, send it.
[13:46.690 --> 13:48.530]  You can go far.
[13:49.330 --> 13:50.770]  As well said.
[13:51.850 --> 13:55.490]  So with the cannabis, when you were young, you know,
[13:55.490 --> 13:59.410]  did you, you know, I was just, I didn't know anybody
[13:59.410 --> 14:01.290]  who grew for like the longest time.
[14:01.290 --> 14:03.410]  It was always just scoring off of somebody
[14:03.410 --> 14:05.770]  and then buying the big sacks and breaking that up.
[14:05.770 --> 14:09.490]  But it was a long time before I knew anybody that grew.
[14:09.490 --> 14:11.730]  I mean, I was always a third party,
[14:11.730 --> 14:13.330]  really when I was younger.
[14:13.330 --> 14:16.010]  I was, I gotta say, I was pretty lucky
[14:16.010 --> 14:17.930]  with the quality I had back in the day.
[14:17.930 --> 14:20.850]  I mean, hearing some of the stories on, you know,
[14:20.850 --> 14:22.410]  this platform, I feel blessed.
[14:22.410 --> 14:24.890]  I mean, I grew up smoking really good herb.
[14:24.890 --> 14:27.370]  I grew up in the Sacramento area.
[14:27.370 --> 14:31.050]  And I feel like with all the high grade outdoor coming down
[14:31.050 --> 14:34.210]  from Northtown and all the high grade indoor
[14:34.210 --> 14:38.130]  all over California, I mean, I remember just good,
[14:38.130 --> 14:40.410]  good herb, like good, sticky high grade.
[14:40.410 --> 14:42.130]  And I was just lucky.
[14:42.130 --> 14:45.090]  And I definitely always had more than enough around.
[14:45.090 --> 14:47.290]  And, you know, it was just kind of a thing.
[14:47.290 --> 14:50.210]  And it was, I never knew growers until I was probably,
[14:50.210 --> 14:54.210]  growers until I was out of high school.
[14:54.210 --> 14:58.010]  And my first year out of Squaw Valley,
[14:58.050 --> 15:01.530]  like my first summer out of working at Squaw Valley,
[15:01.530 --> 15:04.130]  I was dating a chick and she knew a crew
[15:04.130 --> 15:06.810]  out on the coast in NorCal and we went out and trimmed.
[15:06.810 --> 15:08.730]  And that was the scene.
[15:08.730 --> 15:10.810]  That was where I first was like,
[15:10.810 --> 15:13.810]  and they were growing perpy manca balls.
[15:13.810 --> 15:15.570]  And it was beautiful.
[15:15.570 --> 15:19.130]  It was like my first time seeing over a hundred plants
[15:19.130 --> 15:21.890]  and really high grade, high grade.
[15:21.890 --> 15:23.250]  They had, you know, they were doing it.
[15:23.250 --> 15:25.490]  They had greenhouse, they had gorilla patches.
[15:25.490 --> 15:30.130]  They, I was, they were feeding, they were old time.
[15:30.130 --> 15:33.250]  You know, they had organic outdoor garden,
[15:33.250 --> 15:34.770]  food garden that they ate from.
[15:34.770 --> 15:38.770]  They only went to town like every other week,
[15:38.770 --> 15:40.650]  maybe once a month, you know, they were,
[15:40.650 --> 15:41.730]  we were out of cuts.
[15:41.730 --> 15:46.050]  It was a beautiful, beautiful introduction to the scene.
[15:46.050 --> 15:48.170]  I mean, that crew, that crew, I think,
[15:48.170 --> 15:50.090]  pick up and left when it got legal.
[15:50.090 --> 15:52.530]  I think they were there because they were just old timer.
[15:52.530 --> 15:55.450]  I mean, like they were gray and old when I met them.
[15:56.290 --> 16:00.370]  And they were respect to them, like big ups, like, yeah.
[16:00.370 --> 16:04.490]  And so that was my first time seeing herb was big time.
[16:04.490 --> 16:06.970]  And, you know, I've always, when I was younger,
[16:06.970 --> 16:08.170]  I saw a lot of dried herb.
[16:08.170 --> 16:09.610]  I just never seen it growing.
[16:10.450 --> 16:11.530]  Me, yeah, me too.
[16:11.530 --> 16:13.730]  The first, the first time you walk into a room,
[16:13.730 --> 16:17.850]  especially a room or, you know, a facility of that size,
[16:17.850 --> 16:19.410]  I still remember it, dude.
[16:19.410 --> 16:22.250]  I still remember like the feeling, my eyes going like this,
[16:22.290 --> 16:25.490]  I've been smoking for a long time.
[16:25.490 --> 16:27.210]  And then, oh God, yeah.
[16:28.210 --> 16:31.530]  In high school, I'd seen garbage bags or, you know, like,
[16:31.530 --> 16:35.810]  I move, I, yeah, we were young and dumb, you know,
[16:35.810 --> 16:38.570]  like I seen a lot and like, when I,
[16:38.570 --> 16:40.410]  but when I saw the plants,
[16:40.410 --> 16:42.490]  when I saw plants the size of me,
[16:42.490 --> 16:44.690]  like a few hundred plants the size of me,
[16:44.690 --> 16:48.130]  and I'm like, oh wow.
[16:48.130 --> 16:49.290]  I love you.
[16:49.290 --> 16:51.210]  Yeah, like, and it was funny
[16:51.210 --> 16:53.930]  because it was my first time trimming and I was just like.
[16:53.930 --> 16:55.410]  Yep, me too.
[16:55.410 --> 16:56.890]  That was my first experience.
[16:56.890 --> 16:59.690]  A friend of a friend was like, we need help.
[16:59.690 --> 17:01.170]  We need help trimming.
[17:01.170 --> 17:02.850]  Like, it was funny, you know,
[17:02.850 --> 17:04.210]  because I was just in awe, you know,
[17:04.210 --> 17:05.810]  they were like, yo, speed it up, kid.
[17:05.810 --> 17:06.650]  Like.
[17:06.650 --> 17:11.650]  Yes, I, dude, I seriously probably took two hours
[17:11.770 --> 17:12.850]  on one plant.
[17:12.850 --> 17:15.490]  Like, they just let me do it.
[17:15.490 --> 17:17.890]  And every now and then I'd cut off like a big nugget,
[17:17.890 --> 17:19.250]  oh, I'm sorry, what did I do with this?
[17:19.250 --> 17:20.210]  Toss it over there.
[17:21.090 --> 17:23.330]  They humored me, but yeah.
[17:23.330 --> 17:26.090]  Yeah, so yeah, that was my first time seeing a lot of herb,
[17:26.090 --> 17:28.730]  you know, it was 18, yeah.
[17:28.730 --> 17:30.770]  And I mean, that was kind of my thing though.
[17:30.770 --> 17:34.330]  Every summer hit the festival tour, you know,
[17:34.330 --> 17:38.570]  dig some holes for a friend, get some product, move around,
[17:38.570 --> 17:43.130]  come trim time, go trim, winter time, go shred,
[17:43.130 --> 17:45.290]  get repeat, you know, I did that for years,
[17:45.290 --> 17:46.930]  like many, many years, 10 years.
[17:46.930 --> 17:51.930]  So like I've hit 14 festivals
[17:52.210 --> 17:54.170]  with a lot of music shows in between, you know,
[17:54.170 --> 17:57.570]  hip hop shows, reggae shows, Northwest string fest,
[17:57.570 --> 18:01.970]  Northwest reggae fest, like reggae rising.
[18:03.330 --> 18:05.010]  Did you ever go to reggae on the river?
[18:05.010 --> 18:06.610]  Yeah, reggae on the river.
[18:06.610 --> 18:08.330]  My favorite, I did that a lot,
[18:08.330 --> 18:11.050]  but my favorite was the Northwest.
[18:11.050 --> 18:11.970]  String summit?
[18:11.970 --> 18:13.530]  No, yeah, that was dope.
[18:13.530 --> 18:16.250]  And that was actually the first time I found Chemdog
[18:16.290 --> 18:19.290]  when I was like 20, I was like, that was some high grade.
[18:19.290 --> 18:20.970]  Yes, that was memorable.
[18:20.970 --> 18:22.890]  I love that, that just ended the other year,
[18:22.890 --> 18:23.730]  but sorry, go on.
[18:23.730 --> 18:28.650]  High Sierra world music festival in right in Boonville,
[18:28.650 --> 18:30.810]  big ups back to that whole crew.
