[00:01.720 --> 00:16.000]  Hello, everyone.
[05:24.170 --> 05:27.370]  I want to add a little bit to the idea of strains.
[05:27.370 --> 05:33.130]  So I know that strain names are very near and dear to the breeders out there that have
[05:33.130 --> 05:36.530]  worked to perfect their favorite ones and the ones that are the best sellers.
[05:36.570 --> 05:37.570]  This is going to be fun.
[05:37.570 --> 05:44.370]  But one of the things that we're going to advocate for as part of this industry is that
[05:44.370 --> 05:49.610]  strain names, so there's a reliance on strain names from regulators, from our marketing
[05:49.610 --> 05:55.810]  campaigns that I think does patients a disservice because strain names do not always capture
[05:55.810 --> 05:57.810]  the active ingredients that are in the plant.
[05:57.810 --> 05:59.530]  And ultimately it will be the active ingredients.
[05:59.530 --> 06:01.450]  And I don't mean single active ingredients.
[06:01.450 --> 06:07.170]  I mean the whole collection out of the potential 480 active ingredients in a cannabis strain.
[06:07.170 --> 06:08.170]  It's energy.
[06:08.170 --> 06:09.170]  Yeah.
[06:09.170 --> 06:10.170]  Yeah.
[06:10.170 --> 06:11.170]  So we need to keep track of that.
[06:11.170 --> 06:14.770]  And patients, it's hard because humans want things to be simple, right?
[06:14.770 --> 06:17.010]  It's like part of human nature.
[06:17.010 --> 06:22.090]  But cannabis as a plant, part of its power is it isn't simple.
[06:22.090 --> 06:28.690]  So we've got to find a way to communicate the complexity of active ingredients in plant-based
[06:28.730 --> 06:34.130]  products with our consumers, with patients in a way that they can understand.
[06:34.130 --> 06:35.130]  Okay?
[06:35.130 --> 06:38.930]  So, and that is the big divide we've got to get across because right now what they're
[06:38.930 --> 06:42.890]  relying on when they go into a dispensary is a well-meaning bud tender who's going to
[06:42.890 --> 06:47.090]  tell them about Indicauch and Sativa, right?
[06:47.090 --> 06:51.490]  And some other like lore, right?
[06:51.490 --> 06:54.930]  But one of the things that we try to do is we're data driven.
[06:54.930 --> 06:55.930]  I'm a scientist, right?
[06:55.930 --> 06:58.130]  So we did two studies.
[06:58.130 --> 07:03.730]  One of the studies we did in 2014 in California in conjunction with a third party testing
[07:03.730 --> 07:10.410]  lab and what we were asking the question of, we took over 20,000 strain profiles that,
[07:10.410 --> 07:14.890]  you know, the potency analysis of the cannabinoids and terpenes and we put it through a program
[07:14.890 --> 07:19.650]  where you're looking for clusters that will define something called a chemobar or a chemical
[07:19.650 --> 07:20.650]  variation.
[07:20.650 --> 07:21.650]  Okay?
[07:21.650 --> 07:23.450]  So remember, cannabis isn't one thing.
[07:23.450 --> 07:28.850]  There are certain cannabis strains that fall into these different chemical variations.
[07:28.850 --> 07:33.450]  In 2014 in California when we did it, there were 25 chemobars.
[07:33.450 --> 07:39.970]  We did the same thing in Nevada, which is the state that our primary location is in
[07:39.970 --> 07:44.490]  and we tested, we also partnered with a third party independent testing lab there and there
[07:44.490 --> 07:48.890]  we were looking at, I believe, don't quote me on this, something like 40,000, sorry,
[07:49.490 --> 07:51.690]  something like 4,000 strain records.
[07:51.690 --> 07:55.610]  And we published the second study, the one in Nevada, in the journal called Cannabis
[07:55.610 --> 07:57.650]  and Cannabinoid Research back in May.
[07:57.650 --> 08:04.330]  And what it showed was during the medical only period in Nevada, there were 396 different
[08:04.330 --> 08:09.250]  strain names, but when you did the chemical variation analysis, there were three.
[08:09.250 --> 08:13.770]  And 90% of all the samples tested were in a single chemical variation that was high
[08:13.970 --> 08:20.130]  THC and almost, and very little in the way of minor cannabinoids and terpenes.
[08:20.130 --> 08:21.130]  Okay?
[08:21.130 --> 08:24.810]  We did this, we took the same samples, we sent them off to have genetic analysis done
[08:24.810 --> 08:28.370]  because, you know, it's possible that because in Nevada you have to grow in a greenhouse
[08:28.370 --> 08:30.850]  and there's a lot of convergence in how we grow.
[08:30.850 --> 08:34.050]  We were trying to give people the benefit of the doubt that maybe the chemicals were
[08:34.050 --> 08:36.970]  aligned because we were growing under the same conditions.
[08:37.010 --> 08:45.530]  But on the genetic level, there are 396 strain names correlated with 12 genetic variations.
[08:45.530 --> 08:52.930]  And Blue Dream, which is an incredibly popular strain name, was present in all 12 genetics.
[08:52.930 --> 08:59.210]  So I think that if in a system where we rely on strain names to sell things to patients
[08:59.210 --> 09:04.370]  who are looking for the same results, strain names are doing them a disservice because
[09:04.450 --> 09:08.610]  if you're in Nevada during that medical only period and you picked up Blue Dream off the
[09:08.610 --> 09:12.130]  shelf somewhere, you had a 1 in 12 chance that it was the same thing as you got last
[09:12.130 --> 09:13.130]  time you bought it.
[09:13.130 --> 09:14.130]  So, anyway.
[09:14.130 --> 09:17.130]  You tossed it right over to me.
[09:17.130 --> 09:21.010]  Okay, so this is where I'm going to come from.
[09:21.010 --> 09:26.930]  Because where I'm at in Humboldt County, we are, I mean pridefully so, you ask anyone
[09:26.930 --> 09:32.310]  that's growing pot in Humboldt County, we are organic, we're biodynamic, we're focused,
[09:32.310 --> 09:37.310]  we are proud of our strains, we are proud of our cultivars or variety of cannabis.
[09:37.310 --> 09:40.310]  We know what we're doing or they know what they're doing.
[09:40.310 --> 09:44.190]  I don't grow any longer, but they know what they're doing and they've been doing it for
[09:44.190 --> 09:46.230]  generations and generations.
[09:46.230 --> 09:52.230]  Now as a naturopath, when a client comes to me asking for something, I love the idea of
[09:52.230 --> 09:56.630]  saying, okay, you need this, this, this, this, and this fingerprint, this particular cannabinoid
[09:56.630 --> 09:59.470]  system, like combination.
[09:59.470 --> 10:01.350]  But you give that to the average client.
[10:01.390 --> 10:03.790]  You give that to the average person.
[10:03.790 --> 10:05.790]  They're not going to know what to do with that.
[10:05.790 --> 10:10.990]  So to break it down, I get what you're saying and I get where we're going, but for the average
[10:10.990 --> 10:15.710]  person, not even in this room, they don't know what they're doing and they're going
[10:15.710 --> 10:17.710]  to have to find a direction.
[10:17.710 --> 10:19.790]  Strain name is the best thing we can do right now.
[10:19.790 --> 10:24.550]  Now testing those, making sure that those plants are truly that before the dispensary
[10:24.550 --> 10:27.250]  gets that, that's a whole nother topic, right?
[10:27.250 --> 10:28.990]  And that's what we want to happen.
[10:28.990 --> 10:30.870]  But we have to trust our growers.
[10:30.910 --> 10:34.750]  That's another reason why we go organic and we know our farmers that we're getting our
[10:34.750 --> 10:36.070]  cannabis from.
[10:36.070 --> 10:40.910]  And boutique straining is, for me, being from Humboldt County, that's the way we're pushing
[10:40.910 --> 10:41.910]  it.
[10:41.910 --> 10:44.750]  That's what we're seeing and we're seeing it happen all the time and it's phenomenal.
[10:44.750 --> 10:48.910]  And I think that's what really gives this panel, no, the panel of the two of us, sort
[10:48.910 --> 10:52.990]  of a difference in perspective, because I don't think we disagree.
[10:52.990 --> 10:53.990]  Yeah, I'm coming from Humboldt.
[10:53.990 --> 10:55.030]  You're coming from Nevada.
[10:55.030 --> 10:59.310]  In Nevada, you know, it's a commodity, okay?
[10:59.310 --> 11:05.430]  We're fully into adult use and, you know, I can't swear and we grow ourselves and we're
[11:05.430 --> 11:06.870]  really proud of our Jenny Kush.
[11:06.870 --> 11:07.870]  Thank you very much.
[11:07.870 --> 11:08.870]  There's your strain.
[11:08.870 --> 11:11.870]  You know what that strain's good for too, don't you?
[11:11.870 --> 11:12.870]  There you go.
[11:12.870 --> 11:13.870]  There's a point for it.
[11:13.870 --> 11:15.470]  There's a valid reason for it.
[11:15.470 --> 11:19.630]  But that said, I still can imagine, I can imagine something different than what we have
[11:19.630 --> 11:20.630]  right now.
[11:20.630 --> 11:26.270]  I can imagine a way to break down the complexity of the active ingredients into a way that
[11:26.270 --> 11:29.630]  there's a simple pattern recognition that patients can help.
[11:29.630 --> 11:32.750]  Yeah, I definitely agree with you on that for certain.
[11:32.750 --> 11:38.070]  It's going to take a shift for people to recognize we need to talk about the minor cannabinoids
[11:38.070 --> 11:42.750]  and that's what we're starting to really educate, at least in my field, particular clients who
[11:42.750 --> 11:47.230]  are needing things, say, for their nervous system, which of those particular minor cannabinoids
[11:47.230 --> 11:48.590]  work best from that.
[11:48.590 --> 11:52.750]  And then we can refer them off to strain dosage use, whether they're going to be juicing,
[11:52.750 --> 11:56.830]  whether they're going to non-psychoactive tincture, whether they're going to do a concentrate,
[11:56.830 --> 11:57.830]  then we kind of do that.
[11:57.830 --> 12:02.190]  But right now, it's just like piecing that all together, at least from where I'm standing,
[12:02.190 --> 12:04.430]  because I'm doing it as a private practice.
[12:04.430 --> 12:10.990]  Yeah, so to our first point about the cannabis active ingredients, I think right now, because
[12:10.990 --> 12:16.430]  there's been the most research on THC and CBD, that's where people feel the most comfort
[12:16.430 --> 12:20.230]  and where I think people can understand the significance better.
[12:20.230 --> 12:25.470]  So right now, there is a reliance on information about THC and CBD and I think that's appropriate
[12:25.470 --> 12:30.010]  given where we are in our research, but this is where I see the future and the future will
[12:30.010 --> 12:33.270]  include information about minor cannabinoids and terpenes.
[12:33.270 --> 12:36.310]  And I'm going to give you a little, just a little case study of why that's important.
[12:36.310 --> 12:42.950]  Okay, so a study that I was not involved in, but that I heard at CanMed two years ago,
[12:42.950 --> 12:49.070]  there was a trial happening in Israel where they had patients, they were all children
[12:49.150 --> 12:56.150]  who had epilepsy and they were being given whole plant extract from a cannabis strain
[12:56.150 --> 13:00.890]  that naturally had a 20 to 1 CBD to THC ratio.
[13:00.890 --> 13:04.770]  And because they didn't want to be reliant on a single farmer, they gave two farmers
[13:04.770 --> 13:10.990]  the original strain and they told the farmers, we're going to test this and if the THC to
[13:10.990 --> 13:15.950]  CBD ratios aren't the same when you hand over the products, we won't accept it.
[13:15.950 --> 13:17.670]  That will be our quality control step.
[13:17.670 --> 13:19.390]  So everything was going good.
[13:19.390 --> 13:24.930]  The first part of the trial, the children were having fewer episodes.
[13:24.930 --> 13:29.670]  There was no huge behavioral problems or adverse events, but then something happened midway
[13:29.670 --> 13:35.630]  through and there was suddenly a huge amount, like one part of the patients were suddenly
[13:35.630 --> 13:41.570]  having an increased amount of behavioral events, like just really dramatic, like punching people
[13:41.570 --> 13:47.550]  and just really off the rails to the point where they ended up shutting the trial down.
[13:47.630 --> 13:51.790]  And when they did the backwards analysis, they found that all of the samples that were
[13:51.790 --> 13:56.750]  provided to the children had that right ratio of 20 to 1.
[13:56.750 --> 14:01.430]  But when they did a deeper analysis and they looked at the profiles of ingredients beyond
[14:01.430 --> 14:08.830]  THC and CBD in one farmer's crop, it was equal to what was in the original strain.
[14:08.830 --> 14:13.830]  And one, there was completely different profile of minor cannabinoids and terpenes.
[14:13.830 --> 14:16.270]  And so most people would have said, well, why would that matter?
[14:16.590 --> 14:19.830]  And clearly, I don't think this farmer was trying to hurt children, right?
[14:19.830 --> 14:22.990]  But it's much like if you're babysitting for someone's goldfish and they die, you go to
[14:22.990 --> 14:26.830]  the store and you look for the closest match of goldfish that you can find, unless you're
[14:26.830 --> 14:30.030]  a better human being than me and you have children.
[14:30.030 --> 14:35.190]  And they found something that matched, you know, they couldn't tell from looking at the
[14:35.190 --> 14:38.270]  CBD to THC ratio that it was any different.
[14:38.270 --> 14:42.350]  But you better believe when they did the profiles beyond that, they were incredibly different.
[14:42.350 --> 14:47.830]  So what that shows is that while it's important that we're monitoring the THC and CBD, down
[14:47.830 --> 14:52.830]  the road as our understanding becomes more complete, those other compounds are incredibly
[14:52.830 --> 14:54.750]  important in whole plant extracts.
[14:54.750 --> 15:00.470]  And it is my belief, and I think we share this, that whole plant medicine has potentially
[15:00.470 --> 15:03.510]  greater clinical value than these individualized compounds.
[15:03.510 --> 15:04.510]  But we got to be careful.
[15:04.510 --> 15:06.550]  It's a double-edged sword.
[15:06.550 --> 15:11.430]  More molecules can mean potentially better effects or unexpected effects.
[15:12.150 --> 15:13.830]  I think, thank you for all that.
[15:13.830 --> 15:17.870]  I think that cannabis itself, what we need to remember is that it creates homeostasis
[15:17.870 --> 15:23.350]  in the body, which then allows the body's systems to regulate and heal themselves.
[15:23.350 --> 15:28.310]  So whether you're getting it across the board, I don't think it's going to, I mean, it matters,
[15:28.310 --> 15:30.630]  obviously, and to where you're at.
[15:30.630 --> 15:36.350]  But I think that's the most important part is to focus on cannabis as a whole plant and
[15:36.350 --> 15:37.550]  getting it in that direction.
[15:38.150 --> 15:41.710]  And I can go off on tangents about that, but that's not in our topics today.
[15:41.710 --> 15:42.710]  So let's get back on.
[15:42.710 --> 15:47.710]  We're going to talk about terpene and why terpenes are so important and the terpene
[15:47.710 --> 15:55.510]  canopy, which is so very important for patients and clients and all of us to recognize.
[15:55.510 --> 15:57.430]  It's not just about the cannabinoids.
[15:57.430 --> 16:00.750]  It's also about the terpenes that are in that particular plant.
[16:00.750 --> 16:06.670]  So for example, if you have particular terpenes, a particular cannabinoids, those two together
[16:06.790 --> 16:09.790]  will isolate and be best for a particular body system.
[16:09.790 --> 16:12.350]  That's the direction I'm going specifically.
[16:12.350 --> 16:14.030]  And of course, they're going to be good for everything.
[16:14.030 --> 16:17.950]  But if you're really dialing it in, if you're really needling in a haystack like I've been
[16:17.950 --> 16:21.870]  doing for the last eight years, those are the kind of things that I'm looking for in
[16:21.870 --> 16:25.390]  a cannabis strain or variety or cultivar.
[16:25.390 --> 16:30.990]  And so back to what I was talking about before, where we did the data analysis to try to define
[16:31.150 --> 16:33.070]  the chemical variations.
[16:33.070 --> 16:38.990]  For the study that we did in California, those 25 different chemovars that we identified
[16:38.990 --> 16:42.470]  were all distinguished based on a major and a minor terpene.
[16:42.470 --> 16:46.990]  The CBD and THC levels were actually sort of insignificant to the analysis.
[16:46.990 --> 16:52.550]  And that even holds true in the Nevada analysis we did, that the differences that we're going
[16:52.550 --> 16:56.510]  to see in between the different strains are really in the terpenes.
[16:56.510 --> 17:00.350]  And I believe that's also true from a clinical side.
[17:00.350 --> 17:01.830]  And it also is what naturally...
[17:01.830 --> 17:06.510]  So for people who love whole plant in the raw form, those terpenes are also what adds
[17:06.510 --> 17:07.630]  to your enjoyment, right?
[17:07.630 --> 17:13.590]  So I think terpenes are an undervalued resource that we have in cannabis.
[17:13.590 --> 17:16.310]  And it's something that we are also looking at on the research side.
[17:16.310 --> 17:20.670]  So one of the things that was known for a long time is that cannabinoids have interactions
[17:20.670 --> 17:21.670]  in your body with receptors.
[17:21.670 --> 17:25.310]  Well, in our research, we found that it's the same is true for terpenes.
[17:25.310 --> 17:29.230]  We've identified specific terpenes and the specific receptors in our bodies where they're
[17:29.230 --> 17:30.230]  interacting.
[17:31.110 --> 17:37.270]  So they have just as great a potential for being real effective medicines as the other
[17:37.270 --> 17:41.550]  components in the plant that we've been studying more extensively over time.
[17:41.550 --> 17:42.550]  Yeah.
[17:42.550 --> 17:45.910]  And cannabis farmers in Humboldt County and around the world, I'm sure, but we geek out
[17:45.910 --> 17:47.470]  on that stuff up there.
[17:47.470 --> 17:51.910]  We've been doing it for generations and generations of finding this particular plant that has
[17:51.910 --> 17:56.510]  this particular minor cannabinoid with this particular terpene and this works for this.
[17:56.510 --> 17:58.950]  I mean, they are intense up there.
[17:58.990 --> 18:01.230]  It's really great to be a part of that community.
[18:01.230 --> 18:02.830]  Okay, so let's talk.
[18:02.830 --> 18:08.070]  We had this discussion about sativa and indica and how to, you know, currently this has been
[18:08.070 --> 18:11.430]  like the hot button thing for a while now.
[18:11.430 --> 18:14.310]  Most people think either sativa or indica.
[18:14.310 --> 18:20.310]  Now about five years or more, there was so much hybriding happening that it didn't really
[18:20.310 --> 18:22.150]  make that much sense.
[18:22.150 --> 18:27.110]  And so a big, huge, like a huge group of people are staying away from sativa and indica.
[18:27.150 --> 18:31.070]  But those people who are coming, you know, from the very ground up, the consumers that
[18:31.070 --> 18:34.910]  have never used cannabis or have been afraid to use cannabis, this is the terminology.
[18:34.910 --> 18:36.990]  This is the language that they're using.
[18:36.990 --> 18:40.830]  Even though we're trying to stay away from that and explain to them, it is more about
[18:40.830 --> 18:43.870]  the cannabis fingerprint than anything else.
[18:43.870 --> 18:47.790]  The main consumer, this is what they're looking for.
[18:47.790 --> 18:51.950]  They're going into the dispensary and saying, I want something that's indica dominant.
[18:51.950 --> 18:54.390]  Well, where are we going from that?
[18:54.390 --> 18:56.130]  Now that's an issue.
[18:56.130 --> 18:58.890]  So it's more about really educating people.
[18:58.890 --> 18:59.890]  You're shaking your head.
[18:59.890 --> 19:00.890]  What do you got?
[19:00.890 --> 19:08.330]  So, and so, so, so adding to that, so I've had the opportunity to go to these conferences,
[19:08.330 --> 19:13.410]  including one by the International Cannabinoid Research Society, which is the longest running
[19:13.410 --> 19:17.050]  cannabis research, you know, geek fest that you could think of.
[19:17.050 --> 19:21.890]  And, but the cool thing about going is that these are, these, I got to hear botanists
[19:21.890 --> 19:26.290]  who've been studying cannabis for like 45 years, talk about indica and sativa, and they've
[19:26.290 --> 19:28.490]  done a lot of genetic analysis.
[19:28.490 --> 19:32.850]  And so because they're hearing feedback, like, you know, patients get told indica, indi couch
[19:32.850 --> 19:33.850]  and things like that.
[19:33.850 --> 19:35.290]  They know that that's out there.
[19:35.290 --> 19:38.530]  They decided to go ahead and try to address that using science.
[19:38.530 --> 19:44.490]  So I just saw a talk recently where they, they were looking at samples from the United
[19:44.490 --> 19:46.690]  States, Canada and across the world.
[19:46.690 --> 19:51.610]  And they were trying to say, is indica sativa a real phenotype?
[19:51.610 --> 19:55.170]  Can you actually use that as a way to recommend to patients?
[19:55.170 --> 19:59.330]  And unfortunately what they found that from genetic level, most of the things were specifically
[19:59.330 --> 20:01.930]  in the United States are mostly hybrid.
[20:01.930 --> 20:07.690]  So it's really hard to lean on those, those old paradigms about indica and sativa.
[20:07.690 --> 20:11.770]  But I think that there is something that we can take away from the indica sativa myth,
[20:11.770 --> 20:18.050]  which is, I think that indica and sativa are sort of correlating with profiles of terpenes.
[20:18.050 --> 20:22.290]  So I think that if we can certainly just reimagine that there's still some truth to
[20:22.290 --> 20:23.290]  it.
[20:23.290 --> 20:27.290]  It's just that rather than ascribing it to the word sativa or indica, it's really about
[20:27.290 --> 20:28.290]  the profile of terpenes.
[20:28.290 --> 20:30.810]  Cause I think that there's almost a one-to-one correlation there.
[20:30.810 --> 20:32.810]  Yeah, I definitely agree with you on that.
[20:32.810 --> 20:33.810]  Absolutely.
[20:33.810 --> 20:38.690]  Now it's about educating the student, the client, the community that you're in on looking
[20:38.690 --> 20:42.730]  for a particular terpene that works with your body system, right?
[20:42.730 --> 20:45.730]  Linolol being in lavender, which is calming and relaxing.
[20:45.730 --> 20:50.490]  You're going to look for a fruity, purpley, yummy cannabis that you smell that has that
[20:50.490 --> 20:53.450]  same entire terpene profile.
[20:53.450 --> 20:55.530]  It's going to do the same thing for you.
[20:55.530 --> 21:00.690]  So it's about educating people on a much, much deeper level than just like, Hey, let
[21:00.690 --> 21:06.730]  me grab that one jar that says indica, which from what you're saying might not be.
[21:06.730 --> 21:08.890]  So let's move on.
[21:08.890 --> 21:14.250]  There is something that I want to talk with you about, about hemp and cannabis.
[21:14.250 --> 21:16.810]  This is happening a lot in our communities.
[21:16.810 --> 21:21.690]  It's been happening for a very long time with the explosion of CBD that we started to see
[21:21.690 --> 21:23.290]  a few years ago.
[21:23.290 --> 21:27.410]  It's really interesting whenever I talk to patients and I talk to clients and I talk
[21:27.410 --> 21:32.290]  to students, I talk to people around the world on what they believe that is.
[21:32.290 --> 21:38.330]  Can you, from your perspective of being a grower and focusing in that direction in science,
[21:38.330 --> 21:42.650]  more clinical, I want that described very clearly for our audience.
[21:42.650 --> 21:43.650]  Okay.
[21:44.050 --> 21:46.810]  So I'm sure that for a lot of people, what I'm going to say is not new, but we'll just
[21:46.810 --> 21:47.810]  get it out there.
[21:47.810 --> 21:50.770]  So we have a platform, a common sort of place to start talking from.
[21:50.770 --> 21:55.810]  So hemp and cannabis are the same plant scientifically.
[21:55.810 --> 21:59.090]  It was the government who created two buckets for them, right?
[21:59.090 --> 22:06.210]  And it's based on an artificial designation of the level of THC makes one hemp and one
[22:06.210 --> 22:08.130]  cannabis, but they're the same thing.
[22:08.130 --> 22:12.250]  But that said, that doesn't mean there's not phenotypic differences, much like among dogs
[22:12.290 --> 22:16.890]  and varieties of dogs, you have your large dogs, your small dogs, working dogs and lap
[22:16.890 --> 22:19.890]  dogs and you know, all, everything in between.
[22:19.890 --> 22:20.890]  Cannabis is the same.
[22:20.890 --> 22:26.890]  So breeders of industrial hemp have over time moved the properties of industrial hemp so
[22:26.890 --> 22:30.290]  that they have long fibers and so that they are good at what they're supposed to do, which
[22:30.290 --> 22:31.850]  is be building materials and such.
[22:31.850 --> 22:32.850]  Right.
[22:32.850 --> 22:36.690]  But that's where I'm at because the consumers are looking at CBD based products from that
[22:36.690 --> 22:39.090]  type of hemp, industrial hemp.
[22:39.090 --> 22:40.090]  Exactly.
[22:40.090 --> 22:42.410]  Because that makes me mad.
[22:42.410 --> 22:48.650]  In general, cannabis has been used more medically, we'll say, and as a product for consumption.
[22:48.650 --> 22:52.170]  So therefore the properties that the breeders were looking for were different.
[22:52.170 --> 22:55.290]  They were looking for higher production of oil and things that, you know, higher THC
[22:55.290 --> 22:57.330]  levels, let's just be real.
[22:57.330 --> 23:03.290]  And so there's been a drift between what is classically called industrial hemp and classically
[23:03.290 --> 23:07.130]  called cannabis, but they're still the same plant and they will still breed.
[23:07.130 --> 23:08.130]  Right.
[23:08.170 --> 23:10.650]  So that shows you that they're the same.
[23:10.650 --> 23:15.730]  But that said, what we're finding is that in the world there are pockets of germplasm
[23:15.730 --> 23:22.570]  or people who still have in plant repositories, ancient strains of cannabis and that are sort
[23:22.570 --> 23:24.770]  of not as differentiated.
[23:24.770 --> 23:30.570]  And there are people in the world like the Colorado Hemp Project, that people who are
[23:30.570 --> 23:38.170]  trying to really nurture cannabis strains that have THC below that limit that makes
[23:38.170 --> 23:42.810]  them hemp, but that are still good producers of oil.
[23:42.810 --> 23:45.490]  But these are really isolated people in the world.
[23:45.490 --> 23:49.810]  In general, if you're talking about stuff you order off the internet, it could be industrial
[23:49.810 --> 23:52.090]  hemp from China or it could be, you know.
[23:52.090 --> 23:56.330]  And so what I think most of the people who order these products don't understand is that
[23:57.330 --> 24:02.770]  CBD within the industry is more controlled than out there in the marketplace.
[24:02.770 --> 24:03.770]  Absolutely.
[24:03.770 --> 24:10.490]  And I see people come to me all the time with convenience store CBD and it drives me absolutely
[24:10.490 --> 24:13.010]  nuts as I travel around the country.
