[00:00.000 --> 00:15.100]  Cheers, everybody.
[06:24.340 --> 06:28.340]  And I've run out of T-shirts from new places.
[06:28.340 --> 06:30.340]  So I finally did it.
[06:30.340 --> 06:32.340]  I finally had to do it.
[06:32.340 --> 06:34.340]  I'm wearing my own shirt today, guys.
[06:34.340 --> 06:36.340]  But we got the Twin Peaks cannabis shirt this week.
[06:36.340 --> 06:38.340]  This episode.
[06:38.660 --> 06:40.660]  That's my shirt.
[06:40.660 --> 06:42.660]  But we definitely do.
[06:42.660 --> 06:44.660]  I'm going to put myself big in.
[06:44.660 --> 06:46.660]  We definitely do have some seeds to go through.
[06:46.660 --> 06:48.660]  But we also have some seeds to give away.
[06:48.660 --> 06:50.660]  We've got Mirror Seeds.
[06:50.660 --> 06:52.660]  They sent us out a bunch of packs.
[06:52.660 --> 06:54.660]  So we're going to give away some packs at some point.
[06:54.660 --> 06:56.660]  Probably a little bit later this evening.
[06:56.660 --> 06:58.660]  So stay tuned and tell a friend.
[06:58.660 --> 07:00.660]  Or maybe don't tell a friend.
[07:00.660 --> 07:02.660]  And you'll have better chances.
[07:02.660 --> 07:04.660]  Who knows?
[07:04.660 --> 07:06.660]  Come on.
[07:06.980 --> 07:08.980]  With packs.
[07:08.980 --> 07:10.980]  Let's go with something new.
[07:10.980 --> 07:12.980]  And again, chat.
[07:12.980 --> 07:14.980]  I'll be looking to you guys.
[07:14.980 --> 07:16.980]  If you want to take it any direction, let us know.
[07:16.980 --> 07:18.980]  Tell us what we should pull out.
[07:18.980 --> 07:20.980]  It's a family show, guys.
[07:20.980 --> 07:22.980]  Maybe Joshua can tell them about this 13 Ghost of his.
[07:22.980 --> 07:24.980]  This beautiful fire rosin.
[07:24.980 --> 07:26.980]  That we first met him at the Hashishin Workshop with Kimberly.
[07:26.980 --> 07:28.980]  And we were talking about it.
[07:28.980 --> 07:30.980]  And we were talking about it.
[07:30.980 --> 07:32.980]  And we were talking about it.
[07:32.980 --> 07:34.980]  And we were talking about it.
[07:35.060 --> 07:37.060]  And we were talking about it.
[07:37.060 --> 07:39.060]  And we were talking about it.
[07:39.060 --> 07:41.060]  So we met up with Kimberly,
[07:41.060 --> 07:43.060]  Madame Cannoli and Cherryblossom Belle.
[07:43.060 --> 07:45.060]  Oh, wow.
[07:45.060 --> 07:47.060]  And that meeting was the rest is history.
[07:47.060 --> 07:49.060]  Yeah, let's hear about that.
[07:49.060 --> 07:51.060]  So this was one of the
[07:51.060 --> 07:53.060]  Madame Cannoli Workshops?
[07:53.060 --> 07:55.060]  Or was this with Frenchie?
[07:55.060 --> 07:57.060]  Was this at one of the movie premieres?
[07:57.060 --> 07:59.060]  This was in Long Island.
[07:59.060 --> 08:01.060]  Go on.
[08:01.060 --> 08:03.060]  No, I want to let you talk.
[08:03.060 --> 08:09.060]  I wanted to bring you guys to showcase all these wonderful vibrant people out there in this space that are really like doing it and
[08:09.060 --> 08:12.460]  With heart and with with the planet and patient in mind
[08:14.020 --> 08:17.180]  Yeah, okay, so I'm happy to be here
[08:17.180 --> 08:23.900]  Thank you, everybody that has put my name out there to bring me on the show and to the host really grateful
[08:23.900 --> 08:25.900]  so what a pleasure I
[08:26.620 --> 08:30.140]  Didn't understand the context of the conversation
[08:30.140 --> 08:38.020]  but I've been I've been in farming my whole life with both sides of my family and I've been in cannabis farming for
[08:40.060 --> 08:42.060]  15 years and
[08:42.500 --> 08:44.500]  like at scale and
[08:46.700 --> 08:50.140]  I've been collecting seeds for a long time and tonight
[08:50.140 --> 08:54.500]  I even picked up my seed vault and was like, I'm gonna go photograph it upstairs
[08:54.500 --> 08:56.860]  And I was like, why am I gonna do that?
[08:57.860 --> 09:03.020]  Pack of seeds from a friend of mine that I have access to the kind of the back doors or speed jump
[09:03.740 --> 09:05.020]  so
[09:05.020 --> 09:13.140]  Into that conversation. Why kind of brought that up was that was just a conversation today. I went to go purchase like a
[09:13.660 --> 09:17.940]  lot of seeds like maybe a few hundred seeds from a seed junkie contact and
[09:18.740 --> 09:23.300]  The person was really sick and I was like, oh man, I'm really sorry. I gave him half the money
[09:23.300 --> 09:25.100]  I was like, can we please do this another time?
[09:25.100 --> 09:30.180]  So I can go through the seeds with you when you're feeling better and I can actually count them with you and talk about the
[09:30.180 --> 09:32.420]  genetics more but my
[09:33.580 --> 09:40.740]  Those 13 ghosts are from years ago. I hang out with like the cherry blossom and
[09:41.740 --> 09:44.220]  Frenchie speaking to that community Leo
[09:46.020 --> 09:50.140]  Stone shout out to Leo and a fishing Otto and
[09:50.420 --> 09:58.300]  He's a great contributor in my opinion to the genetic bank of Mendocino and now to Los Angeles and
[09:59.020 --> 10:06.100]  I had been working with him on and off and those seeds in particular came from
[10:06.620 --> 10:13.260]  and a really late night run down to humble and arcade and when he was living down there and I picked them up at a
[10:14.100 --> 10:17.460]  God, we're probably hanging out at like 11 o'clock at night smoking
[10:18.220 --> 10:20.220]  Barely made it in and
[10:20.620 --> 10:22.620]  the 13 ghost is
[10:23.180 --> 10:27.540]  Something that they've been working for a long time. They like the ghost OG line and
[10:29.500 --> 10:36.660]  It just like it's the ghost OG on the creme brulee from archive and that's a one of my favorites and
[10:39.100 --> 10:46.340]  It's something that I'd grown years past it had like beautiful cookie spears and gas beers and it's a
[10:47.780 --> 10:49.780]  cookies on an OG and
[10:49.940 --> 10:52.040]  It's then on the Louis the eighth
[10:52.900 --> 10:59.460]  OG which I don't have very much experience with and so that that was the 13 ghosts the plant
[10:59.540 --> 11:01.540]  I've grown maybe like
[11:01.700 --> 11:09.420]  30 females at this point and I still hold the one cut that I grow. It's like a very cream gas strong
[11:10.340 --> 11:13.620]  phenotype the highs like very electric and it's
[11:14.620 --> 11:20.900]  It's in the mid 20s like 23 to 25 percent and it makes about 3%
[11:21.500 --> 11:26.460]  rosin, so I really have always really enjoyed the cultivar and
[11:27.100 --> 11:34.100]  that's the 13 ghosts and just like a quick story of how I got to those genetics and
[11:34.500 --> 11:37.240]  I always like to grow out phenos
[11:37.240 --> 11:44.280]  I've got a seed vault of like thousands of seeds from some of the top breeders in the industry that I've been collecting over the
[11:44.280 --> 11:46.280]  last decade
[11:47.960 --> 11:53.440]  That's awesome man, thank you for sharing that story I appreciate it and that's definitely what we're here to do
[11:54.480 --> 11:56.120]  you know a
[11:56.120 --> 11:58.760]  Lot of people are interested in that history
[11:58.760 --> 12:05.020]  So that's something that we tried to do through the show now you mentioned seed junkies and that you you collected a lot of the
[12:05.140 --> 12:09.600]  Seedjunkie stuff. What is it maybe about them that kind of drew you in?
[12:13.340 --> 12:15.340]  Straw Nana papaya
[12:23.380 --> 12:25.380]  Someone's got through there's faster
[12:25.900 --> 12:32.500]  Yeah, it's delicious. It's mouth. It's lip-smacking. Thank you so much for the stewardship of your land Joshua
[12:32.860 --> 12:34.860]  But phenomenal
[12:34.980 --> 12:37.940]  Appreciate the support you guys makes me
[12:45.100 --> 12:47.100]  What was the question again
[12:47.420 --> 12:52.020]  It's just you know, you mentioned seed junkies and you were gonna pick up, you know go through
[12:52.660 --> 12:59.940]  Selections. What what is it that you kind of like about them or the particular, you know strains that you were going for?
[13:00.580 --> 13:06.300]  Well, if I want to be sneaky about it man, and if I just wanted to like just have an easy career
[13:06.300 --> 13:08.900]  I would just grow wedding cake. Okay
[13:09.380 --> 13:13.900]  the special rare kind of wedding cake that does very well
[13:14.660 --> 13:22.140]  produces hash and grown correctly and my area has always sold really really really well and still does to this day and
[13:22.340 --> 13:27.220]  all forms rosin hashish and in flower or
[13:27.660 --> 13:32.700]  So I just was always a fan because I saw wedding cake is like a benchmark of the decade
[13:32.700 --> 13:36.220]  I don't think there's been a lot of weed that is bread
[13:36.940 --> 13:44.020]  Then said it's stronger. I think that the terpenes have improved with the introduction of skittles and
[13:44.660 --> 13:51.540]  Yeah with the introduction of skittles, but the wedding cake itself. I've just always seen as like one of the true
[13:54.860 --> 13:56.620]  Legacy
[13:56.620 --> 14:00.740]  cuts out of the emerald triangle out of the emerald cup and
[14:01.300 --> 14:07.140]  so I still grow that cut of the wedding cake from seed junkie in it, I
[14:08.140 --> 14:14.580]  Don't think I have anything yet. That's better. I do think that they have stuff out there that has come close
[14:15.700 --> 14:18.660]  So I'm always surfing the front of their catalog
[14:19.380 --> 14:23.100]  catching new cultivars in hope of like
[14:23.820 --> 14:28.220]  Finding something like that wedding cake cut that's just somewhat unique as well
[14:28.540 --> 14:33.860]  The reason why like growing wedding cake at scale with that cut can be challenging
[14:34.500 --> 14:41.360]  It's an old cut. It really needs to be revitalized. It doesn't cut. Well, it just kind of has issues
[14:41.980 --> 14:44.020]  It's always been that way for us
[14:44.020 --> 14:49.700]  but this is a cut out of the rosin community out of the original third gen community and
[14:50.300 --> 14:51.900]  that was a
[14:51.900 --> 14:57.620]  Wedding cake cut from that origin that it's a hat. It's a rosin cut and I really really like it
[14:57.620 --> 15:02.660]  so now I've pulled a few cut sense like a a
[15:04.980 --> 15:06.140]  Secret mince
[15:06.140 --> 15:10.000]  That's a really beautiful cultivar from seed junkie
[15:10.000 --> 15:14.300]  And I've just now started purchasing back into their catalog
[15:14.620 --> 15:20.180]  so I like their varieties because they're strong because of their strength and
[15:21.140 --> 15:23.140]  Because they make good Rosson a
[15:25.100 --> 15:29.260]  Lot of people that is their primary and goal these days
[15:29.660 --> 15:35.220]  Well, yeah potency and rosin. So rosin you kind of tend to get that. I mean
[15:35.900 --> 15:40.940]  Regardless of starting material, but this is the cherry mints you gave me when I first met you
[15:40.940 --> 15:42.940]  I smoked all the
[15:42.940 --> 15:48.100]  Remember you gave me this look at how I look or look at how it still looks dude
[15:49.100 --> 15:51.100]  How old is that
[15:55.900 --> 16:03.060]  Yeah, I mean that was made over a year ago and it's rosin
[16:09.060 --> 16:11.060]  From the season before last
[16:12.060 --> 16:18.020]  Yeah, that's right, I think that that's truly the beauty of living soil is it's
[16:18.620 --> 16:21.860]  everything in the product stays more vital and
[16:22.420 --> 16:24.420]  lives like
[16:24.420 --> 16:27.360]  Longer the flower it cures and ages
[16:27.820 --> 16:29.100]  to
[16:29.100 --> 16:34.900]  Perfection like months later than other varieties. So it gets like more time to build that complexity
[16:34.900 --> 16:39.940]  I work in a basement and in a cellar. So I'm very focused on the cure and
[16:41.060 --> 16:45.700]  It's the same in the hash and the rosin you see its longevity
[16:46.020 --> 16:52.300]  and I know that now after years of watching this to be the the living soil and
[16:54.620 --> 16:56.620]  This farm is a
[16:56.660 --> 16:59.340]  It's a 20 year cannabis farm
[17:00.140 --> 17:03.880]  Maybe 17 year cannabis farm and I've had it
[17:03.880 --> 17:09.900]  It's a organic cannabis farm for 17 years and then I've been operating it no till for the last seven years
[17:10.420 --> 17:12.420]  And with
[17:12.500 --> 17:19.940]  Not closed loop all the time last year. I was closed loop the whole time. I'd say it's 30 years. I'm fully closed loop and
[17:21.540 --> 17:23.540]  Utilizing KNF permaculture
[17:24.220 --> 17:25.700]  and also
[17:25.700 --> 17:29.500]  biodynamic practices along with like the Northern California
[17:29.500 --> 17:33.060]  Well the California organic movement practices and Hawaii
[17:33.900 --> 17:40.980]  Organic movement practices of the seven you and Richie need to hang out because you guys are like, that's why it's like
[17:41.540 --> 17:43.820]  Amazing. I just want to say like I love you guys
[17:50.940 --> 17:55.340]  Getting into FCP, but he wishes he could be in here and he said he'd try as well
[17:55.340 --> 17:57.580]  But he also, you know, he definitely
[17:58.380 --> 18:00.380]  Says much. Love y'all
[18:00.900 --> 18:03.700]  Right on that's Cape Neddick sun-grown
[18:05.220 --> 18:07.220]  Sun-grown on the East Coast that would be
[18:08.500 --> 18:10.140]  station as well
[18:10.140 --> 18:13.100]  but yeah, I want to stay on the wedding cake real quick because
[18:13.660 --> 18:15.220]  You know wedding cake
[18:15.220 --> 18:21.180]  There's a lot of new markets and for a lot of people wedding cake is brand new like this is the hot stuff
[18:21.180 --> 18:25.100]  That's just here. You mentioned this came out of the triangle now
[18:25.100 --> 18:31.300]  It's amazing how things tend to be around sometimes for it's almost like music stars, man
[18:31.300 --> 18:36.420]  You're around for like 10 years and all of a sudden you get a hit and people are like you're the hottest new artist
[18:37.020 --> 18:42.500]  When did this wedding cake like come around to you or how long or how long do you remember it?
[18:42.500 --> 18:47.020]  And then since I've never I've never had the you know, the wedding cake cut special cut
[18:47.500 --> 18:51.420]  Can you maybe tell us what it is that just like stands out about that?
[18:52.220 --> 18:58.740]  Yeah to some of the other ones yeah, yeah, yeah, yeah, so I think it's like seven years about
[18:59.260 --> 19:01.460]  I'm trying to recall I've been
[19:04.020 --> 19:07.220]  I've been around the cut for probably five
[19:08.260 --> 19:10.260]  years or so
[19:10.500 --> 19:14.700]  Growing up in a community at Southern Oregon in the Northern Triangle
[19:15.380 --> 19:17.740]  As kids we grew up smoking all the weed
[19:17.740 --> 19:21.420]  We always had options to try different stuff
[19:21.420 --> 19:25.780]  then we went to the farmers and trim for the farmers as teenagers and
[19:26.740 --> 19:32.220]  so like certain people that I grew up with developed palates and
[19:34.020 --> 19:39.560]  You knew that they knew the flavor you knew that they knew the strength of something so like when the wedding cake
[19:40.560 --> 19:47.560]  Don't drain your battery to we can go like National Geographic like I did a crime mode
[19:52.560 --> 20:00.040]  So when the wedding cake first like showed up all those years ago that one of those people that had that
[20:00.720 --> 20:03.880]  That had that really kind of that fine palette
[20:03.880 --> 20:06.480]  And you heard the whispers and I knew it was true
[20:07.680 --> 20:13.320]  And what made these variety these cultivars so special when they were first introduced is like
[20:14.640 --> 20:17.880]  It reintroduced like a new genetic
[20:19.520 --> 20:21.520]  Profile that
[20:21.880 --> 20:27.040]  Was so strong and so unique in terpenes and in characteristics that
[20:27.200 --> 20:33.080]  Those are the really memorable qualities that became those benchmark those those
[20:34.280 --> 20:40.400]  Lemon kush those blue dream varieties like they had beautiful resin beautiful terpenes beautiful
[20:40.400 --> 20:44.300]  Hi, they all have strong cannabinoids the Jaeger
[20:44.840 --> 20:46.840]  I have to say the Jaeger
[20:47.640 --> 20:51.600]  I'm not gonna say it again. I'm not gonna say it again. I'm not gonna say it again
[20:51.600 --> 20:53.600]  I
[20:53.600 --> 20:59.000]  Have to say the Jaeger that's for my area and so the wedding cake was very special in that way
[20:59.000 --> 21:01.640]  but she was very finicky like 10 week variety and
[21:02.640 --> 21:07.440]  The clones were hard to take like she's always been a little more difficult
[21:07.760 --> 21:09.760]  But now getting back to the genetics
[21:09.760 --> 21:15.960]  So when you have the original batch of seed and you have these varieties that like the very first skittles
[21:15.960 --> 21:20.480]  First off we couldn't get to skittles for the for the when it was first introduced to the at the cup
[21:20.480 --> 21:24.880]  They were guarding the genetics. They had bred it in but it wasn't easy to crack
[21:24.880 --> 21:29.480]  Yeah, like it is a lot easier to get today. But with the wedding cake and
[21:30.280 --> 21:32.280]  You get the first batch of those seeds
[21:32.400 --> 21:39.440]  So now that's the genetics that won that cup and what will happen then is maybe that breeder made
[21:39.440 --> 21:42.560]  I can't say but like a thousand seeds
[21:42.560 --> 21:49.840]  No matter what they sell out and now they're breeding the lineage again to keep that variety on the market
[21:49.840 --> 21:52.720]  so that wedding cake now in order for it to
[21:53.240 --> 22:01.040]  Continually stay as a viable seed on the open market because like we're not dealing with organized genetics where you know
[22:01.040 --> 22:05.440]  We're following stuff out ten years twenty years and then introducing it to market
[22:05.440 --> 22:09.640]  Like the vegetable farmers have to do it. So it's a little bit more complicated
[22:09.640 --> 22:16.680]  Introducing it to market like the vegetable farmers have to do to introduce an heirloom to a vegetable catalog, right?
[22:16.680 --> 22:19.480]  We're just taking this like who knows f1 whatever
[22:20.160 --> 22:24.860]  Random that comes and then that becomes that genetic benchmark for that wedding cake
[22:25.060 --> 22:31.600]  So now to keep it they keep breeding it and the longer it's continually bred
[22:31.920 --> 22:37.920]  It will start losing its quality and so you'll get some seed companies that will buy those original batches
[22:37.920 --> 22:41.120]  Then they'll do their own breeding and you can purchase into those as well
[22:41.760 --> 22:45.320]  however that original that origin point where that
[22:45.960 --> 22:47.960]  cultivar what became
[22:48.480 --> 22:51.400]  No, no to rot became like notice
[22:52.040 --> 22:56.000]  it's a rid that genetic origin is really important and
[22:56.920 --> 22:58.760]  that cut that I
[22:58.760 --> 23:01.040]  Like to farm and I love to smoke
[23:01.680 --> 23:04.440]  Like really a lot. It's probably my favorite
[23:05.040 --> 23:07.000]  That
[23:07.000 --> 23:08.280]  cultivar
[23:08.280 --> 23:13.040]  that's what I consider to be like the true pedigree cut and
[23:14.120 --> 23:20.280]  That's what out here out west in that in the Emerald Triangle at that genetic level
[23:20.680 --> 23:26.840]  That's what we're really obsessed with and that's what the breeders like. No 100%
[23:27.560 --> 23:34.300]  Did were those ever available as like regular seeds or was it a femme
[23:34.940 --> 23:38.380]  Only or was it just kind of clone only and then it got turned
[23:38.380 --> 23:38.900]  No
[23:38.900 --> 23:45.900]  I think that there was it was clone only at first and then the seeds became available as far as I recall
[23:46.300 --> 23:49.260]  But I don't I don't remember exactly
[23:52.780 --> 23:54.940]  Yeah, you said triangle the triangle up
[23:55.100 --> 24:00.860]  Triangle mints, I believe is the pack that it came out of it's the triangle cush to animal mints
[24:01.900 --> 24:03.900]  Yeah, that's what they say. Okay
[24:05.340 --> 24:07.340]  Like cookies on cookies to the team
[24:07.980 --> 24:13.580]  It's funny because that's why I grin when you said that I was like, oh man TK is like
[24:13.900 --> 24:20.220]  That's one of my favorite ogs because of exactly how you're describing that and it was like music to my ears
[24:21.020 --> 24:23.020]  But yeah, I think it was like a triangle
[24:23.100 --> 24:28.460]  About maybe four years five years ago. I saw it for the first time and
[24:29.340 --> 24:33.420]  I got it and ran it out and I was floored by the
[24:34.860 --> 24:38.860]  Resin quality. It was incredible right off the bat. It stood out or
[24:39.820 --> 24:42.140]  Just coated it was beautiful. I remember
[24:43.820 --> 24:46.380]  Going to the store and I was like, oh, I want to buy this
[24:47.340 --> 24:49.340]  And
[24:49.340 --> 24:51.340]  I handed some to
[24:51.900 --> 24:58.460]  Another mask guy at the time hotel herb and I remember he was just pumped about it. It was great
[24:58.460 --> 25:00.860]  Um, it was the first time I met him
[25:00.860 --> 25:06.220]  So that was about through the my the cut I had of the wedding cake at the time and I remember
[25:06.780 --> 25:08.780]  I was like, oh, I want to buy this
[25:09.420 --> 25:11.420]  And I was like, oh, I want to buy this
[25:11.420 --> 25:14.380]  So
[25:41.900 --> 25:47.740]  It is tricky and I ended up losing the cut, um trying to juggle too many things and um
[25:48.060 --> 25:50.060]  I don't have that anymore
[25:50.380 --> 25:54.300]  but uh in a seat order that I recently made to um
[25:54.940 --> 26:01.980]  Csi humble he was happy or cool enough to send in a bunch of free stuff and a couple of them were uh,
[26:02.620 --> 26:03.980]  nice
[26:03.980 --> 26:09.580]  Wedding cake times apple fritter. Oh snaps and uh, one of my favorite
[26:10.220 --> 26:12.860]  Um turf profiles is sherbert
[26:13.900 --> 26:15.900]  Sure times wedding cake
[26:16.380 --> 26:17.740]  so
[26:17.740 --> 26:21.420]  I already popped the wedding cake times apple fritters because I heard
[26:22.460 --> 26:24.460]  uh the apple fritter
[26:24.540 --> 26:30.620]  I'm, just really interested in that apple fritter and all it has to offer. I haven't had a chance to get into it yet
[26:30.700 --> 26:32.940]  But anyways the wedding cake. Yeah, um
[26:33.500 --> 26:34.860]  so
[26:34.860 --> 26:37.260]  We I have those seeds as well from um
[26:38.220 --> 26:45.420]  From uh, c junkie the apple fritter on the wedding cake. Oh nice. Yeah, this is uh,
[26:46.380 --> 26:47.740]  um
[26:47.740 --> 26:49.740]  inspectors version of that
[26:49.900 --> 26:51.500]  cross yeah
[26:51.500 --> 26:52.620]  cool
[26:52.620 --> 26:54.620]  and that's awesome because
[26:54.940 --> 27:01.180]  He gets he gets the cuts and really is able to do those things with a blessing, you know
[27:01.260 --> 27:04.940]  And that's very important because that helps me at least feel better
[27:05.580 --> 27:12.540]  That it is what it is when I get it and he is generous boy and with it's really great. He's quite uh,
[27:13.260 --> 27:15.260]  uh a resource for all of us
[27:16.540 --> 27:18.540]  Yes, I love those
[27:19.180 --> 27:24.060]  Yep, I ended up um, I only bought it. I bought one pack of seeds which was to um,
[27:24.700 --> 27:27.020]  Get down a bubble gum
[27:27.500 --> 27:30.220]  Um rabbit hole I was trying to explore again
