[00:00.000 --> 00:05.760]  Make the connection.
[04:35.880 --> 04:40.200]  seen more and more of these lesser known Colombian ones
[04:40.200 --> 04:42.520]  that I haven't tried yet that I've heard of.
[04:42.520 --> 04:44.520]  And even that one I'd heard of a long time ago,
[04:44.520 --> 04:47.880]  but never ever came across it.
[04:47.880 --> 04:48.520]  Oh, totally.
[04:48.520 --> 04:50.720]  I've seen it in pictures even on Instagram and stuff.
[04:50.720 --> 04:55.520]  So there's people that have it, but it's rare.
[04:55.520 --> 04:57.360]  I can't say anything about it.
[04:57.800 --> 04:59.600]  I haven't even tried it myself.
[04:59.600 --> 05:01.680]  Yeah, no, I got to go back over to,
[05:01.680 --> 05:04.120]  I got some friends in Cali.
[05:04.120 --> 05:06.560]  And there's a cluster of guys there
[05:06.560 --> 05:08.440]  that are older that have been really preserving
[05:08.440 --> 05:11.040]  some lines for time.
[05:11.040 --> 05:13.760]  And when I get some free time after the season,
[05:13.760 --> 05:16.280]  I'd love to go over to Columbia again so I can kind of hang out
[05:16.280 --> 05:17.000]  in that area.
[05:17.000 --> 05:19.280]  And then I can take a look at all the different stuff
[05:19.280 --> 05:20.720]  that they've worked with for years,
[05:20.720 --> 05:24.800]  just because our access to those things
[05:24.800 --> 05:28.480]  ended so long ago that a lot of the stuff is memory to me.
[05:28.480 --> 05:31.480]  And then from what I see when I travel over to Columbia now,
[05:31.480 --> 05:35.760]  but we just, the US just drug ward,
[05:35.760 --> 05:37.520]  most of that stuff right out of existence.
[05:37.520 --> 05:40.120]  Yeah, it's very sad.
[05:40.120 --> 05:41.880]  Very sad.
[05:41.880 --> 05:47.160]  So Kevin, what's the plant in the background on your TV?
[05:47.160 --> 05:50.520]  This one is just a little bonsai plant.
[05:50.520 --> 05:51.240]  I thought so.
[05:51.240 --> 05:52.880]  I was like, that thing's hysterical looking.
[05:52.880 --> 05:54.320]  Yeah, yeah, that's right.
[05:55.800 --> 05:59.480]  I just, you know what I do is these cheater bonsais is that
[05:59.480 --> 06:03.320]  I did some light that plants because we're doing the pandemic
[06:03.320 --> 06:06.800]  at home and I've got the plants around the pool.
[06:06.800 --> 06:10.240]  So I had enough space in the pool shed to do light up
[06:10.240 --> 06:11.400]  with four of them.
[06:11.400 --> 06:15.280]  So I would stick them in and do light up every 7.30 a.m.
[06:15.280 --> 06:18.600]  and p.m. all summer just for something to do.
[06:18.600 --> 06:22.120]  And at the end, I took them out, trimmed them down
[06:22.120 --> 06:26.520]  into bonsai pots and just had some fun with the stumps of them.
[06:26.520 --> 06:29.840]  And I've actually been giving them away to friends.
[06:29.840 --> 06:32.160]  The rare friend that comes for a visit and likes them,
[06:32.160 --> 06:34.360]  I'm like, here, this one's yours.
[06:34.360 --> 06:36.000]  Oh, that's great.
[06:36.000 --> 06:37.520]  Just for joy, you know.
[06:37.520 --> 06:38.000]  Yeah, yeah.
[06:38.000 --> 06:39.400]  A little flowered plant to bring home.
[06:39.400 --> 06:40.840]  Freshens up the living room, you know.
[06:47.040 --> 06:51.120]  People have to enjoy cannabis from a decorative perspective, too.
[06:51.640 --> 06:53.640]  They should have it in public gardens.
[06:53.640 --> 06:55.920]  It drives me nuts to the business.
[06:55.920 --> 06:57.520]  You have four plants in Canada.
[06:57.520 --> 07:00.080]  If your neighbors can see them instantly, they're illegal.
[07:00.080 --> 07:01.360]  Like, what the fuck is that?
[07:01.360 --> 07:03.640]  They're legal or they're not, you know?
[07:04.240 --> 07:07.920]  Yeah, see, we have it where the neighbors can see it,
[07:08.280 --> 07:12.240]  but there has to be a specific distance set back from their property line
[07:12.800 --> 07:17.360]  based off of how much acreage your home site is and theirs.
[07:18.160 --> 07:21.720]  So it's fucking nuts.
[07:22.680 --> 07:24.640]  And it's tedious, man.
[07:26.440 --> 07:30.520]  It's impossible for people to really enjoy cannabis on a four plant max.
[07:31.760 --> 07:35.160]  You can't you can't you can't hold anything in your library for preservation
[07:35.160 --> 07:38.720]  because you only have what you call three plants and you can flower one a year.
[07:39.040 --> 07:42.320]  You got to grow a 26 pound plant.
[07:42.320 --> 07:44.400]  Not up here, especially.
[07:44.920 --> 07:46.920]  Where are you located?
[07:46.920 --> 07:48.920]  I'm in British Columbia right now.
[07:48.920 --> 07:50.920]  BC.
[07:50.920 --> 07:52.920]  Yeah.
[07:52.920 --> 07:54.920]  What's that mean?
[07:54.920 --> 07:56.920]  How far inland?
[07:56.920 --> 07:58.920]  Four hours from the coast.
[07:58.920 --> 08:00.920]  Ooh.
[08:00.920 --> 08:02.920]  Drive.
[08:02.920 --> 08:04.920]  That's a good drive.
[08:04.920 --> 08:06.920]  British Columbia goes deeper.
[08:06.920 --> 08:08.920]  I have to go take a look at a map.
[08:08.920 --> 08:10.920]  It goes deeper than I thought.
[08:10.920 --> 08:12.920]  Four hour drive.
[08:13.440 --> 08:16.640]  Well, just quickly, speaking of maps,
[08:16.640 --> 08:18.640]  hold on, I just lost it.
[08:18.640 --> 08:22.640]  I had pulled up
[08:22.640 --> 08:24.640]  there we go,
[08:24.640 --> 08:26.640]  Manizales, so people can see where it is.
[08:26.640 --> 08:28.640]  So Medellin
[08:28.640 --> 08:30.640]  and then it's just it's about
[08:30.640 --> 08:33.640]  how many hours between Medellin and Bogota.
[08:35.640 --> 08:37.640]  Yep. So hi, Kevin.
[08:37.640 --> 08:39.640]  My name is Ryan Douglas.
[08:39.640 --> 08:41.640]  We've never met.
[08:42.360 --> 08:44.360]  I'm a cultivation consultant,
[08:44.360 --> 08:46.360]  but I've spent the last four years
[08:46.360 --> 08:48.360]  living and consulting in Colombia.
[08:48.360 --> 08:50.360]  So Peter yesterday, last night
[08:50.360 --> 08:52.360]  invited me on and I've heard you
[08:52.360 --> 08:54.360]  speak a lot.
[08:54.360 --> 08:56.360]  I've seen some of your recordings
[08:56.360 --> 08:58.360]  and it's a pleasure to meet you.
[08:58.360 --> 09:00.360]  You too, man.
[09:00.360 --> 09:02.360]  It's so interesting because
[09:02.360 --> 09:04.360]  living in Colombia for four years,
[09:04.360 --> 09:06.360]  you've seen some crazy changes.
[09:06.360 --> 09:08.360]  Yeah. I mean, I love it.
[09:08.360 --> 09:10.360]  It's a great place to be.
[09:11.080 --> 09:13.080]  You take advantage of
[09:13.080 --> 09:15.080]  a humanitarian flight organized
[09:15.080 --> 09:17.080]  by the U.S. Embassy
[09:17.080 --> 09:19.080]  because in Colombia, once COVID hit,
[09:19.080 --> 09:21.080]  they closed the international airport.
[09:21.080 --> 09:23.080]  They closed all airports from April through September.
[09:23.080 --> 09:25.080]  Yeah, they locked it down
[09:25.080 --> 09:27.080]  because the guys that I was talking to
[09:27.080 --> 09:29.080]  that were running the projects
[09:29.080 --> 09:31.080]  over in Vichada next to
[09:31.080 --> 09:33.080]  the Venezuela border
[09:33.080 --> 09:35.080]  and then there was another operation
[09:35.080 --> 09:37.080]  about six hours from Bogota.
[09:37.080 --> 09:39.080]  Both of those guys are Canadian nationals originally,
[09:39.800 --> 09:41.800]  but they've been in Colombia for a long time
[09:41.800 --> 09:43.800]  and we were talking and they said,
[09:43.800 --> 09:45.800]  man, we're about to get locked into the country
[09:45.800 --> 09:47.800]  and they were kind of scared
[09:47.800 --> 09:49.800]  and it's funny because they're not scared kind of guys.
[09:49.800 --> 09:51.800]  They were just like, Colombia's not prepared
[09:51.800 --> 09:53.800]  to lock the country down in this form.
[09:53.800 --> 09:55.800]  They don't have the support system.
[09:55.800 --> 09:57.800]  And I see that with a lot of places
[09:57.800 --> 09:59.800]  where the government shuts down
[09:59.800 --> 10:01.800]  the borders and controls the thing
[10:01.800 --> 10:03.800]  but they don't support the people
[10:03.800 --> 10:05.800]  in the survival process.
[10:05.800 --> 10:07.800]  And so you kind of leave everyone
[10:08.520 --> 10:10.520]  to their own
[10:10.520 --> 10:12.520]  and it's just strange times.
[10:12.520 --> 10:14.520]  It's tricky.
[10:14.520 --> 10:16.520]  And the lockdown is pretty intense.
[10:16.520 --> 10:18.520]  You had one day a week where you could leave
[10:18.520 --> 10:20.520]  and that was dependent
[10:20.520 --> 10:22.520]  on the last digit of your identification card.
[10:22.520 --> 10:24.520]  So one day a week
[10:24.520 --> 10:26.520]  you could leave to go to the pharmacy,
[10:26.520 --> 10:28.520]  the bank, the grocery store.
[10:28.520 --> 10:30.520]  So I had a Colombian ID and I had my US passport
[10:30.520 --> 10:32.520]  so at least I could leave two days a week
[10:32.520 --> 10:34.520]  but it's pretty strictly enforced
[10:34.520 --> 10:36.520]  and they even said I think
[10:37.240 --> 10:39.240]  anyone over 70 years old just could not leave the house.
[10:39.240 --> 10:41.240]  So you have a lot of elderly folks
[10:41.240 --> 10:43.240]  that live in the country without permission to leave
[10:43.240 --> 10:45.240]  and they literally have no way to get any food.
[10:45.240 --> 10:47.240]  So just to what you're saying,
[10:47.240 --> 10:49.240]  they implement the law
[10:49.240 --> 10:51.240]  but then they don't support
[10:51.240 --> 10:53.240]  the people to abide by it.
[10:53.240 --> 10:55.240]  But about a month ago
[10:55.240 --> 10:57.240]  I snuck out on a humanitarian flight
[10:57.240 --> 10:59.240]  so I finished up
[10:59.240 --> 11:01.240]  with the final consulting project
[11:01.240 --> 11:03.240]  I had just outside of Cali
[11:03.240 --> 11:05.240]  with one of my clients
[11:05.960 --> 11:07.960]  so I've been in Maine ever since.
[11:07.960 --> 11:09.960]  But hopefully...
[11:09.960 --> 11:11.960]  I'm from Maine originally
[11:11.960 --> 11:13.960]  and I usually spend the summers here.
[11:13.960 --> 11:15.960]  So I'm here now.
[11:15.960 --> 11:17.960]  Where's your family from?
[11:17.960 --> 11:19.960]  Up in Brooklyn?
[11:19.960 --> 11:21.960]  Yeah, up heading towards Canada area.
[11:21.960 --> 11:23.960]  You know, right across from
[11:23.960 --> 11:25.960]  the coastal
[11:25.960 --> 11:27.960]  but up on the top of Maine.
[11:27.960 --> 11:29.960]  What's the name of the town did you say?
[11:29.960 --> 11:31.960]  Brooklyn.
[11:31.960 --> 11:33.960]  Oh wow.
[11:34.680 --> 11:36.680]  We still have the same homes and stuff.
[11:36.680 --> 11:38.680]  I lived in Rhode Island and my family had settled there
[11:38.680 --> 11:40.680]  but we used to go up to Maine and visit
[11:40.680 --> 11:42.680]  and we were sea traders.
[11:42.680 --> 11:44.680]  And so all the old stone piers
[11:44.680 --> 11:46.680]  going out to sea was still there
[11:46.680 --> 11:48.680]  and the homes and they had just been
[11:48.680 --> 11:50.680]  passed on for hundreds of years.
[11:50.680 --> 11:52.680]  And Maine's gorgeous.
[11:52.680 --> 11:54.680]  And I think about moving back sometimes
[11:54.680 --> 11:56.680]  because I just love the coast.
[11:56.680 --> 11:58.680]  And then it's just tough though
[11:58.680 --> 12:00.680]  because Humboldt County just really grabbed me.
[12:00.680 --> 12:02.680]  Yeah.
[12:03.400 --> 12:05.400]  I can't give it up
[12:05.400 --> 12:07.400]  but I go out at night and I zillow down
[12:07.400 --> 12:09.400]  and I look at all the real estate
[12:09.400 --> 12:11.400]  on the coast of Maine and Maryland
[12:11.400 --> 12:13.400]  and I'm like, oh I'd be happy right there.
[12:13.400 --> 12:15.400]  Outstanding.
[12:15.400 --> 12:17.400]  No, it's beautiful in the summer but I think
[12:17.400 --> 12:19.400]  Humboldt County probably has better weather
[12:19.400 --> 12:21.400]  the rest of the year.
[12:21.400 --> 12:23.400]  Yeah, Humboldt's nice and you know
[12:23.400 --> 12:25.400]  the thing with Humboldt is that
[12:25.400 --> 12:27.400]  even with the fires right now
[12:27.400 --> 12:29.400]  the way the heat wave worked
[12:29.400 --> 12:31.400]  the offshore push
[12:32.120 --> 12:34.120]  under us and then over us and then down
[12:34.120 --> 12:36.120]  and so Humboldt didn't get the same
[12:36.120 --> 12:38.120]  intensity
[12:38.120 --> 12:40.120]  that we
[12:40.120 --> 12:42.120]  should have received compared to the rest of the valley
[12:42.120 --> 12:44.120]  that's burned into down.
[12:44.120 --> 12:46.120]  And ironically it's like
[12:46.120 --> 12:48.120]  a miracle because we received that same
[12:48.120 --> 12:50.120]  situation this winter and it shunted
[12:50.120 --> 12:52.120]  all the rain away from us.
[12:52.120 --> 12:54.120]  So we had a really, really dry year up here
[12:54.120 --> 12:56.120]  which is terrifying for fires
[12:56.120 --> 12:58.120]  because I mean if you've been in one you just like
[12:58.120 --> 13:00.120]  it changes
[13:00.840 --> 13:02.840]  your whole perception on you're trapped.
[13:02.840 --> 13:04.840]  And it didn't give us any water
[13:04.840 --> 13:06.840]  at all and it moved the water north
[13:06.840 --> 13:08.840]  heading towards Oregon
[13:08.840 --> 13:10.840]  and it moved the water south down
[13:10.840 --> 13:12.840]  into Southern California
[13:12.840 --> 13:14.840]  and we didn't get any.
[13:14.840 --> 13:16.840]  And now that same weird weather pattern
[13:16.840 --> 13:18.840]  is moving the heat away
[13:18.840 --> 13:20.840]  from us and so I mean I'm grateful
[13:20.840 --> 13:22.840]  because this place had just burned to the ground.
[13:24.840 --> 13:26.840]  But Humboldt's gorgeous. Once you're here
[13:26.840 --> 13:28.840]  and you can experience it
[13:29.560 --> 13:31.560]  you're just like wow.
[13:31.560 --> 13:33.560]  It's just like Columbia though.
[13:33.560 --> 13:35.560]  When you're in Columbia you're just overwhelmed.
[13:37.560 --> 13:39.560]  It's funny because you Zillow places
[13:39.560 --> 13:41.560]  in Maine and I Zillow places in Rhode Island
[13:41.560 --> 13:43.560]  where I'm like 60 acres
[13:43.560 --> 13:45.560]  for $300,000
[13:45.560 --> 13:47.560]  because my parents are in Arganza right now
[13:47.560 --> 13:49.560]  and my brother
[13:49.560 --> 13:51.560]  just got a place in Hope Valley
[13:51.560 --> 13:53.560]  which is like 20-30
[13:53.560 --> 13:55.560]  minutes inland on a lake.
[13:55.560 --> 13:57.560]  Oh nice.
[13:58.280 --> 14:00.280]  Rhode Island's a good place to live too.
[14:00.280 --> 14:02.280]  It's got a really nice
[14:02.280 --> 14:04.280]  the way the freeways move through it
[14:04.280 --> 14:06.280]  everything's pretty close to movement
[14:06.280 --> 14:08.280]  and the bay
[14:08.280 --> 14:10.280]  carves up the whole middle of the state
[14:10.280 --> 14:12.280]  so you have this really
[14:12.280 --> 14:14.280]  interesting ocean type life
[14:14.280 --> 14:16.280]  but it's the same thing
[14:16.280 --> 14:18.280]  I left Rhode Island
[14:18.280 --> 14:20.280]  and now that cannabis
[14:20.280 --> 14:22.280]  is all normalized there people always ask
[14:22.280 --> 14:24.280]  am I going to move back but I'm like man
[14:24.280 --> 14:26.280]  I built a whole life here in Humboldt
[14:27.000 --> 14:29.000]  and so this is my home
[14:29.000 --> 14:31.000]  but I'm in New England
[14:31.000 --> 14:33.000]  down deep and
[14:33.000 --> 14:35.000]  on the surface still too
[14:35.000 --> 14:38.340]  so I think about it.
[14:42.340 --> 14:44.340]  So Sjoerd was going to join us
[14:44.340 --> 14:46.340]  but he's actually dealing with the fires
[14:46.340 --> 14:48.340]  so he can't make it today
[14:48.340 --> 14:50.340]  but he said
[14:50.340 --> 14:52.340]  sometime in the future.
[14:52.340 --> 14:54.340]  Smash in Sonoma.
[14:54.340 --> 14:56.340]  Well in Salinas too.
[14:57.060 --> 14:59.060]  Santa Cruz
[14:59.060 --> 15:01.060]  I can't keep track
[15:01.060 --> 15:03.060]  there's too many of them
[15:03.060 --> 15:05.060]  we're supposed to get another series of them this weekend
[15:05.060 --> 15:07.060]  we're supposed to have another lightning storm
[15:07.060 --> 15:09.060]  the lightning storm came in and lit up like 200 fires
[15:09.060 --> 15:11.060]  so dry lightning
[15:11.060 --> 15:13.060]  no rain just lightning
[15:13.060 --> 15:15.060]  and we're supposed to get another one of those storms
[15:15.060 --> 15:17.060]  I think like Sunday up here
[15:17.060 --> 15:19.060]  and so
[15:19.060 --> 15:21.060]  all the reports are out
[15:21.060 --> 15:23.060]  but there's nothing you can do
[15:23.060 --> 15:25.060]  you can't escape this shit
[15:25.780 --> 15:27.780]  it's dry with wind like this
[15:27.780 --> 15:29.780]  it moves like crazy
[15:29.780 --> 15:31.780]  and anyone that's in that central strip
[15:31.780 --> 15:33.780]  they're just getting decimated
[15:33.780 --> 15:35.780]  Lake County
[15:35.780 --> 15:37.780]  Lake County's had over
[15:37.780 --> 15:39.780]  50-55% of the entire county
[15:39.780 --> 15:41.780]  has burned over the last 6 years
[15:41.780 --> 15:43.780]  and Lake County's beautiful
[15:43.780 --> 15:45.780]  but when your odds of having everything
[15:45.780 --> 15:47.780]  burned to the ground
[15:47.780 --> 15:51.630]  are at that level
[15:51.630 --> 15:53.630]  you can't live there
[15:53.630 --> 15:55.630]  not safely.
[15:56.350 --> 15:58.350]  What's your frosty beverage of choice right now?
[16:00.350 --> 16:02.350]  I'm having an IPA from
[16:02.350 --> 16:04.350]  a little BC brewery
[16:04.350 --> 16:06.350]  called Kind Brewing
[16:06.350 --> 16:08.350]  What's it called?
[16:08.350 --> 16:10.350]  It's an IPA
[16:10.350 --> 16:12.350]  he was calling Kind of Hoppy
[16:12.350 --> 16:14.350]  I don't think it even has a real name
[16:14.350 --> 16:16.350]  but it's an India Pale Ale
[16:16.350 --> 16:18.350]  it's quite
[16:18.350 --> 16:20.350]  hoppy
[16:20.350 --> 16:22.350]  It looks hoppy
[16:22.350 --> 16:24.350]  it's got a head on it
[16:25.070 --> 16:27.070]  It's not a drop in that bowl
[16:27.070 --> 16:29.070]  It's gone down a little
[16:29.070 --> 16:31.070]  I've been drinking it down slowly
[16:31.070 --> 16:33.070]  I think I've got to top it up again
[16:33.070 --> 16:35.070]  before too long
[16:35.070 --> 16:37.070]  it is Saturday I think
[16:37.070 --> 16:39.070]  and that seems like a good reason
[16:39.070 --> 16:41.070]  to send you
[16:43.070 --> 16:45.070]  No time, it's Saturday summer in the world
[16:45.070 --> 16:47.070]  Right
[16:47.070 --> 16:49.070]  It's Sunday
[16:49.070 --> 16:51.070]  I was going to say in Australia
[16:51.070 --> 16:53.070]  but maybe it's almost Sunday
[16:53.790 --> 16:55.790]  It's probably Sunday morning
[16:57.790 --> 16:59.790]  Do we have anyone tuning in from Australia right now?
[16:59.790 --> 17:01.790]  I know we probably have South Africa
[17:01.790 --> 17:03.790]  One of the
[17:03.790 --> 17:05.790]  initial things
[17:07.790 --> 17:09.790]  Kevin, you've been in
[17:09.790 --> 17:11.790]  Columbia for the past four years
[17:11.790 --> 17:13.790]  Steve, you've spent time there
[17:13.790 --> 17:15.790]  Can you talk about
[17:15.790 --> 17:17.790]  some stuff that you have experienced
[17:17.790 --> 17:19.790]  growing in the northern hemisphere
[17:19.790 --> 17:21.790]  that you planted down there
[17:22.510 --> 17:24.510]  and how it expresses itself
[17:24.510 --> 17:26.510]  either surprisingly, similarly
[17:26.510 --> 17:28.510]  or totally differently
[17:28.510 --> 17:30.510]  For me the biggest surprise
[17:30.510 --> 17:32.510]  was everything
[17:32.510 --> 17:34.510]  was finishing a lot faster
[17:34.510 --> 17:36.510]  than it would inside
[17:36.510 --> 17:38.510]  I've been growing
[17:38.510 --> 17:40.510]  and it is actually still
[17:40.510 --> 17:42.510]  northern hemisphere but it's about
[17:42.510 --> 17:44.510]  3.5 degrees north
[17:44.510 --> 17:46.510]  so it's pretty darn close to the equator
[17:46.510 --> 17:48.510]  I think we have about 6 minutes
[17:48.510 --> 17:50.510]  variation in the year off
[17:51.230 --> 17:53.230]  It's very little
[17:53.230 --> 17:55.230]  but things that you might think
[17:55.230 --> 17:57.230]  would take 8 weeks inside
[17:57.230 --> 17:59.230]  are literally coming down
[17:59.230 --> 18:01.230]  6 or 7
[18:01.230 --> 18:03.230]  ridiculously fast stuff finishes
[18:03.230 --> 18:05.230]  So I just say generally speaking
[18:05.230 --> 18:07.230]  take a week off stuff
[18:07.230 --> 18:09.230]  and often it's even 2
[18:09.230 --> 18:11.230]  It's really shocking
[18:11.230 --> 18:13.230]  but I think it's just
[18:13.230 --> 18:15.230]  the intensity of the conditions
[18:15.230 --> 18:17.230]  like the light is really hard
[18:17.230 --> 18:19.230]  you feel it like a weight on you
[18:19.950 --> 18:21.950]  The flowers I've had finish there
[18:21.950 --> 18:23.950]  were some really good ones
[18:23.950 --> 18:25.950]  and I just do field grown
[18:25.950 --> 18:27.950]  like it's straight organic
[18:27.950 --> 18:29.950]  in the field
[18:29.950 --> 18:31.950]  and there's no roof over it
[18:31.950 --> 18:33.950]  keeping the rain off
[18:33.950 --> 18:35.950]  and they're finishing rock hard
[18:35.950 --> 18:37.950]  stunning tight buds if that's their type
[18:37.950 --> 18:39.950]  you know if they're
[18:39.950 --> 18:41.950]  fingery long flowered
[18:41.950 --> 18:43.950]  things that's what they'll look like
[18:43.950 --> 18:45.950]  but they really exhibit what they're supposed
[18:45.950 --> 18:47.950]  to look like and the difference
[18:48.670 --> 18:50.670]  between the rainy season and the dry season
[18:50.670 --> 18:52.670]  in the dry season you can finish
[18:52.670 --> 18:54.670]  anything like literally
[18:54.670 --> 18:56.670]  anything and in the rainy
[18:56.670 --> 18:58.670]  season I found 80%
[18:58.670 --> 19:00.670]  of everything I've tried is finished
[19:00.670 --> 19:02.670]  you know there'd be some
[19:02.670 --> 19:04.670]  that were just not a hope
[19:04.670 --> 19:06.670]  you'd say that's never getting planted down here again
[19:06.670 --> 19:08.670]  or never in the
[19:08.670 --> 19:10.670]  rainy season at least
[19:10.670 --> 19:12.670]  but a surprising number
[19:12.670 --> 19:14.670]  pushed through and were finishing
[19:14.670 --> 19:16.670]  in the rainy season and traditionally
[19:17.390 --> 19:19.390]  in the eastern plains where I've set up
[19:19.390 --> 19:21.390]  is 80%
[19:21.390 --> 19:23.390]  of the annual rainfall in May
[19:23.390 --> 19:25.390]  so pretty good the rest
[19:25.390 --> 19:27.390]  of the year you're not getting
[19:27.390 --> 19:29.390]  it's not like a rain forest
[19:29.390 --> 19:31.390]  where you're constantly getting wet
[19:31.390 --> 19:33.390]  everyday it seems
[19:33.390 --> 19:35.390]  it would definitely be
[19:35.390 --> 19:37.390]  a bigger problem with grass fires
[19:37.390 --> 19:39.390]  in half the year
[19:39.390 --> 19:41.390]  and more than half so we'd get
