[00:00.000 --> 00:06.480]  In one week.
[08:18.160 --> 08:21.200]  hey, everybody, I flew over to Amsterdam to get seeds.
[08:21.240 --> 08:21.480]  Okay.
[08:22.080 --> 08:22.360]  Got it.
[08:23.360 --> 08:27.560]  I smuggled them back and, uh, yeah, started the process.
[08:31.320 --> 08:36.760]  And what was, okay, so that's what you're growing in New York.
[08:36.840 --> 08:40.760]  And then you moved out to Seattle.
[08:41.040 --> 08:41.960]  I moved to Seattle.
[08:42.360 --> 08:49.400]  Uh, basically any of these underground operations that I've had haven't really
[08:49.400 --> 08:55.680]  lasted more than three years and there's no good time for a bad thing to happen.
[08:55.720 --> 09:00.640]  So when it happens, you're not necessarily prepared for something like that to go
[09:00.640 --> 09:03.720]  wrong, but then you have to deal with the consequences.
[09:04.400 --> 09:05.680]  So did something happen in New York?
[09:06.040 --> 09:06.320]  Yeah.
[09:06.600 --> 09:12.320]  The warehouse that I had, which was my major source of income was broken into.
[09:13.320 --> 09:20.600]  And the police showed up and arrested the thieves and then put the grow on them.
[09:21.680 --> 09:25.840]  So I was able to come out of that unscathed.
[09:25.880 --> 09:31.200]  So they got the double whammy of breaking in and then being accused of it being their
[09:31.200 --> 09:32.040]  grow operation.
[09:32.040 --> 09:32.320]  Yeah.
[09:34.760 --> 09:36.600]  And so you just never went back to that space?
[09:36.600 --> 09:37.160]  Exactly.
[09:37.480 --> 09:37.720]  Yeah.
[09:37.880 --> 09:38.560]  Wash my hands.
[09:38.640 --> 09:39.000]  I didn't.
[09:39.040 --> 09:43.280]  Were they trying to steal the flower or the flower, trying to find money or?
[09:43.880 --> 09:45.880]  Usually, you know, you keep those two separate.
[09:46.360 --> 09:46.440]  Right.
[09:46.520 --> 09:50.120]  There's no reason to keep finished product in your grow or money.
[09:51.280 --> 09:54.800]  And did they know, so they knew that you had just harvested or?
[09:55.400 --> 09:57.600]  No, it was right before I was going to harvest too.
[09:57.600 --> 10:03.280]  It was really hard blow and the smells weren't entirely contained at that point
[10:03.320 --> 10:05.560]  because they were really, really stinky at that point.
[10:05.560 --> 10:10.000]  And so you think someone smelled it, told their friends and their friends came in?
[10:10.480 --> 10:14.560]  Yeah, I mean, as large as New York is, it's also a small, tight knit community,
[10:14.840 --> 10:16.920]  especially in that arena.
[10:17.320 --> 10:21.320]  And the warehouse that I had was a grow before.
[10:22.200 --> 10:24.120]  So the.
[10:26.360 --> 10:30.920]  I guess the nuance is that if it was a grow then, then it's a grow now.
[10:30.920 --> 10:31.480]  So let's see.
[10:31.480 --> 10:33.320]  So if they were arrested, they were arrested.
[10:33.320 --> 10:34.600]  I found out I knew who it was.
[10:34.640 --> 10:36.840]  And were you like, oh, I know those guys.
[10:36.880 --> 10:37.760]  I knew who they were.
[10:37.800 --> 10:37.960]  Yeah.
[10:38.000 --> 10:38.320]  Okay.
[10:38.360 --> 10:40.000]  Were you like, you guys are assholes?
[10:40.040 --> 10:40.720]  No question.
[10:40.760 --> 10:41.000]  Right.
[10:42.840 --> 10:43.600]  And then, okay.
[10:43.600 --> 10:45.080]  So that's why you left New York.
[10:45.760 --> 10:47.840]  That was the beginning of the end.
[10:47.880 --> 10:51.080]  So after that, it was that warehouse.
[10:51.840 --> 10:55.720]  It's about, there were two levels or about 25 to.
[10:57.560 --> 10:58.880]  22 on each floor.
[10:58.880 --> 11:00.760]  So one floor was 25 to 22.
[11:00.760 --> 11:02.200]  And both were going.
[11:03.720 --> 11:04.560]  On opposite.
[11:04.600 --> 11:09.600]  And you were getting like four turns out of each room.
[11:09.600 --> 11:16.560]  I had a vegetative room, so they were popping every four to five weeks.
[11:16.760 --> 11:18.640]  I was harvesting one or the other.
[11:19.760 --> 11:20.080]  Okay.
[11:20.080 --> 11:24.240]  Then, then you go to Seattle and you kind of go to New York and you go to New York.
[11:24.240 --> 11:26.760]  And then you go to New York and you go to New York and you go to New York.
[11:26.760 --> 11:28.520]  And then you go to New York and you go to New York.
[11:28.520 --> 11:29.480]  And then you go to New York.
[11:29.480 --> 11:33.320]  And then you go to Seattle and you kind of like, did you know people there or you just.
[11:33.400 --> 11:33.600]  Yeah.
[11:33.600 --> 11:39.400]  So then when the warehouse closed down before I moved to Seattle, I bought a
[11:39.400 --> 11:42.240]  house upstate and then grew upstate.
[11:42.440 --> 11:42.760]  New York.
[11:43.040 --> 11:43.280]  Yeah.
[11:43.320 --> 11:43.600]  Okay.
[11:43.880 --> 11:45.120]  Now right outside of Albany.
[11:45.640 --> 11:51.320]  And that was a commute of about an hour and 45 minutes, two hours each way.
[11:52.000 --> 11:54.240]  And I did that for about two years.
[11:54.880 --> 11:59.360]  And then during a storm, the transformer blew.
[12:00.480 --> 12:08.240]  And when the power company came to replace it and I was obviously paying for power, I
[12:08.240 --> 12:14.280]  wasn't stealing it, but they saw that there was a lot of usage in that area.
[12:14.760 --> 12:20.360]  And so they visited my house and on paper, my house was listed as a farm.
[12:20.920 --> 12:24.800]  So it wasn't out of source that a farm would be using that sort of power.
[12:25.200 --> 12:29.200]  But then when they saw it was just a residence, they investigated further.
[12:29.520 --> 12:33.520]  And then alerted the authorities and then closed it down.
[12:35.360 --> 12:36.040]  That was.
[12:36.120 --> 12:38.640]  And how many square feet do you have going up there?
[12:39.160 --> 12:42.480]  I had about 30 lights in that house.
[12:43.840 --> 12:48.440]  And so the cops come and like, did you take off or did you.
[12:49.520 --> 12:55.720]  I had somebody working for me at that point and they were going back and forth and they
[12:56.160 --> 12:57.560]  followed that person.
[12:58.960 --> 12:59.840]  And then.
[13:03.200 --> 13:09.480]  They arrested them, they detained them and they sung, they were terrified at the
[13:09.480 --> 13:15.920]  prospect of being locked up, they were green green card holder and they scared them
[13:15.920 --> 13:17.640]  into telling them what was going on.
[13:18.080 --> 13:23.200]  And so they were arrested and then they put out a warrant for my arrest and then I
[13:23.200 --> 13:25.320]  surrendered and.
[13:26.800 --> 13:27.800]  Started that whole.
[13:29.200 --> 13:31.360]  Horrible process, so what was the outcome of that?
[13:32.120 --> 13:40.040]  They wanted to give me a felony and give me jail time, but the land that I was on was
[13:40.040 --> 13:46.000]  privately owned and they were on my property dressed as the power company.
[13:46.120 --> 13:49.800]  So there were a bunch of holes in the way that they approached it.
[13:50.160 --> 13:55.800]  And I just held Pat and my lawyer told them that I wasn't willing to take a plea.
[13:56.600 --> 14:02.080]  And at the end of that, I accepted a misdemeanor charge with time served.
[14:03.120 --> 14:05.680]  So it was basically a slap on the wrist.
[14:05.680 --> 14:07.120]  I didn't even really have to pay a fine.
[14:07.360 --> 14:11.000]  So basically they like didn't do the warrant process properly.
[14:11.000 --> 14:11.600]  Exactly.
[14:12.240 --> 14:13.840]  You got off on technicalities.
[14:13.840 --> 14:14.080]  Yep.
[14:15.280 --> 14:16.800]  Thank God for technicalities.
[14:17.600 --> 14:19.600]  All right. So so then you move out west.
[14:20.120 --> 14:23.040]  Then I asked buddies, you know, like, what can I do?
[14:23.040 --> 14:24.680]  You know, I've got to recreate myself.
[14:24.680 --> 14:26.760]  You know, do you have any opportunities for me?
[14:27.200 --> 14:32.360]  And so I moved out to Seattle and worked with some people that I had known from New
[14:32.360 --> 14:35.320]  York and started growing for them.
[14:35.320 --> 14:40.280]  They had a small underground network and they were on the cusp of going legal.
[14:41.000 --> 14:51.560]  And they had a really genuine genetic that they were working with that was highly
[14:51.560 --> 14:53.000]  touted, it was it was an O.G.
[14:53.000 --> 14:59.640]  strain. And I grew that for them and I increased their production and all their
[14:59.640 --> 15:05.480]  various grows and taught the people that they had in their underground network how
[15:05.480 --> 15:07.120]  to get more out of the plants.
[15:07.920 --> 15:11.240]  And then they opened their dispensary.
[15:11.280 --> 15:12.400]  All right. So two things.
[15:12.400 --> 15:17.360]  Tell me about the genetics and like everything from how it grew to how it looked as
[15:17.360 --> 15:20.240]  a cola, to how it smelled, to how it smoked.
[15:20.240 --> 15:25.560]  And then also what were some of the things they were or were not doing that you were
[15:25.560 --> 15:29.320]  like, oh, let's do X, Y and Z and increase yield.
[15:29.320 --> 15:29.560]  And.
[15:31.280 --> 15:35.120]  Well, the genetics that they were working with was an O.G.
[15:35.200 --> 15:41.440]  I guess I don't necessarily want to be too specific as to which one, but they had an
[15:41.440 --> 15:42.480]  original O.G.
[15:43.040 --> 15:44.600]  and O.G.
[15:44.600 --> 15:45.920]  is a notoriously finicky.
[15:46.280 --> 15:51.280]  And so you have to provide the correct environment for them to thrive.
[15:51.880 --> 15:55.400]  And so they like a high humidity and vegetative state.
[15:55.680 --> 16:00.680]  And then that humidity has to drop off at a certain stage in order to get the most out
[16:00.680 --> 16:04.240]  of the plant. Also, the plant was kind of
[16:05.360 --> 16:11.880]  spindly in that if you didn't train it, then the branches wouldn't be strong enough to
[16:11.880 --> 16:14.920]  hold the buds that you actually would want out of that.
[16:15.360 --> 16:22.120]  And so I set up trellis systems for them, controlled their environment and then not
[16:22.120 --> 16:30.840]  so much super crop as actually training the plants, giving them stress along their
[16:31.040 --> 16:34.240]  growing period in order to make them stronger.
[16:35.840 --> 16:45.400]  OK. And so that was Seattle, and then from there you came out here from Seattle, I
[16:45.400 --> 16:47.480]  moved to Oakland.
[16:47.760 --> 16:54.160]  OK. And then I lived in Oakland with a buddy of mine and he had to grow underneath his
[16:54.160 --> 16:59.680]  house and we grew a great ape and.
[17:01.360 --> 17:03.760]  The ballpark, what year was this?
[17:04.200 --> 17:05.400]  This was.
[17:06.560 --> 17:13.880]  At this point, about eight years ago, so 2011, 2010 to 2011, I lived in Oakland.
[17:15.600 --> 17:22.240]  And we grew grape ape and the shatter scene was just burgeoning, so we would sell our
[17:22.240 --> 17:25.040]  flower and then turn all the waste into shatter.
[17:25.520 --> 17:29.120]  And we were working with different dispensaries in the area.
[17:29.720 --> 17:36.320]  And the problems that I ran into there was that my partner had one way of doing things
[17:36.320 --> 17:39.800]  and I had another. And so too many cooks in the kitchen.
[17:40.280 --> 17:42.800]  So the hearts weren't always uniform.
[17:43.200 --> 17:46.920]  And so at the end of the day, it wasn't as profitable as it could have been.
[17:47.440 --> 17:52.080]  And he didn't want to acquiesce as to his control.
[17:52.520 --> 17:59.320]  And I had my way of doing things, problem beings that I was going back and forth from
[17:59.520 --> 18:05.200]  Oakland to the East Coast to visit my children because I hadn't saved enough money in
[18:05.200 --> 18:08.560]  order to move them and I hadn't narrowed down a place where I was willing to move my
[18:08.560 --> 18:13.480]  family. Oakland is an armpit, not a place that I wanted to raise my children.
[18:14.480 --> 18:17.760]  So at some point, our relationship became untenable.
[18:17.800 --> 18:21.040]  And a buddy of mine who lived in L.A.
[18:21.120 --> 18:25.520]  had an opportunity for me to take over a grow that wasn't doing well.
[18:25.800 --> 18:27.440]  And so I moved to Los Angeles.
[18:28.960 --> 18:32.600]  And then what what were you growing there?
[18:33.520 --> 18:36.560]  And when I first came to L.A., the blue dream.
[18:38.200 --> 18:39.280]  It's a popular stream.
[18:39.280 --> 18:41.480]  Popular stream. I can't go wrong with that.
[18:41.680 --> 18:42.720]  So talk to me.
[18:42.720 --> 18:48.120]  I mean, New York, upstate New York, New York City, upstate New York, Seattle, Oakland,
[18:48.120 --> 18:52.600]  down to L.A. like what are some of the differences you noticed in each market, like in
[18:52.600 --> 18:56.920]  terms of what what's hot, what's selling, what people want?
[18:58.240 --> 19:06.480]  On the East Coast at that point, there was a big cry for sour diesel and purple haze.
[19:07.040 --> 19:12.840]  And I guess a lot of the sour diesel was coming from the West Coast and the purple haze
[19:12.840 --> 19:15.360]  was coming from basically Florida.
[19:16.240 --> 19:19.120]  And I had a niche market.
[19:19.640 --> 19:25.880]  I was growing strawberry cough at that point, right before everything went haywire.
[19:26.400 --> 19:35.840]  And that was a sativa indica cross, mostly sativa, which had a really nice effect in
[19:35.840 --> 19:38.320]  that you could smoke it and not be couched.
[19:39.440 --> 19:42.480]  And then it would let you off nicely.
[19:43.840 --> 19:45.560]  Could be creative on it and whatnot.
[19:45.560 --> 19:51.720]  And so I was supplying the underground to spend, I mean, delivery services at that
[19:51.720 --> 20:02.720]  point. I think that once I moved to Seattle, then that being a West Coast market, the
[20:02.720 --> 20:08.200]  OGs were really what the public was crying for and really wanted.
[20:08.560 --> 20:13.160]  And I found that to be consistent from there down to down here.
[20:14.400 --> 20:23.400]  So the the blue dream, I think, didn't have a big hold in the East Coast.
[20:23.600 --> 20:24.720]  They call it pretend to go.
[20:27.040 --> 20:31.600]  You know, it smells nice, it looks nice, but it doesn't, you know, wacky over the head.
[20:32.080 --> 20:38.160]  You know, it's not for the streets and it did very well in dispensaries.
[20:38.440 --> 20:39.560]  They couldn't get enough of it.
[20:40.160 --> 20:47.640]  But the the market here also feeds the market over there.
[20:47.960 --> 20:53.840]  So you kind of have to, especially in the underground market at that point, had to.
[20:54.840 --> 21:01.040]  Focus on where your market was and where you were getting the most money for your end
[21:01.040 --> 21:08.760]  product, and it seemed that everybody who was working in New York in the industry had a
[21:08.760 --> 21:09.920]  friend in California.
[21:10.760 --> 21:13.880]  So a lot a lot of times the.
[21:15.120 --> 21:19.480]  And product would go out of state, and I think that that's still true.
[21:20.480 --> 21:27.080]  And the dispensary market was not something that once I had my own operation, I was
[21:27.080 --> 21:31.520]  particularly interested in because of the way that the payout works.
[21:32.680 --> 21:33.800]  They weren't paying.
[21:35.760 --> 21:40.320]  Cash on a barrelhead, you had to go back and forth and have it on consignment.
[21:41.360 --> 21:44.920]  That's not necessarily the most attractive option.
[21:45.640 --> 21:48.200]  When you get paid upon delivery.
[21:50.440 --> 21:55.560]  Talk about kind of pricing trends over the past however many years.
[21:55.760 --> 21:56.840]  Oh, my goodness.
[21:56.920 --> 21:59.840]  Yeah. What was the best year per pound?
[22:01.640 --> 22:06.440]  In the early 90s, I was getting anywhere from fifty five hundred to six thousand a
[22:06.440 --> 22:12.480]  pound. And when I first started in the game, I was a middleman.
[22:13.480 --> 22:20.280]  And I would get my product from the Midwest where I went to school and sell it to the
[22:20.360 --> 22:21.920]  underground market in New York.
[22:23.160 --> 22:26.240]  There came a time where I was the stuff that was grown in the Midwest.
[22:26.240 --> 22:26.920]  Yeah. OK.
[22:28.600 --> 22:31.840]  And the and so tell me about the Midwest market.
[22:32.160 --> 22:33.440]  Like are we talking like Michigan?
[22:33.440 --> 22:36.200]  Like is what's kind of the dominant Midwest?
[22:38.000 --> 22:39.480]  Indiana, Ohio, Kentucky.
[22:39.920 --> 22:40.920]  OK. Area.
[22:42.200 --> 22:50.120]  The farmers out there, they grow corn basically and the secondary market is
[22:50.120 --> 22:53.200]  marijuana. So they're growing outdoors.
[22:53.240 --> 22:54.400]  Yeah. This is outdoor.
[22:55.120 --> 22:56.960]  And they're just kind of hiding it in the cornfield.
[22:57.000 --> 22:58.000]  Exactly that.
[22:58.480 --> 23:03.120]  Exactly that. So the the farmers out there.
[23:03.160 --> 23:04.640]  And this is like early 90s.
[23:04.840 --> 23:06.800]  This is late 80s, early 90s.
[23:07.240 --> 23:10.280]  And what were kind of the dominant like Midwestern?
[23:11.960 --> 23:17.800]  Back then, the strange, there weren't really anything, any real names that were
[23:17.800 --> 23:21.440]  attached to the product, it was either good or it wasn't.
[23:21.480 --> 23:22.480]  Right.
[23:24.080 --> 23:30.320]  Largely indica based, some sativas, but, you know, for on boats, you know, like
[23:30.640 --> 23:32.280]  healthy, healthy, outdoor.
[23:33.920 --> 23:34.920]  Excellent product.
[23:35.160 --> 23:36.160]  OK.
[23:39.080 --> 23:46.160]  There came a time, though, where the cocaine dealers in New York switched from
[23:46.160 --> 23:53.400]  that business to the marijuana business and the opportunities available for
[23:53.400 --> 23:56.840]  middlemen dried up unless you could speak Spanish.
[23:57.800 --> 24:04.880]  So I was getting squeezed out of that market and I adapted and became a producer.
[24:05.480 --> 24:06.560]  Rather than a middleman.
[24:06.840 --> 24:08.280]  And that's what drove me to start growing.
[24:08.280 --> 24:12.560]  So why is that? Because if you're sourcing from the Midwest, it's not Spanish
[24:12.560 --> 24:15.040]  speaking and you're selling in New York where.
[24:16.360 --> 24:18.640]  Is it because there was a lot of Mexican weed coming up?
[24:19.400 --> 24:21.720]  It came from everywhere, basically.
[24:22.320 --> 24:23.760]  Mexico, California.
[24:24.000 --> 24:25.000]  Right.
[24:26.480 --> 24:29.080]  But not speaking Spanish was a hindrance.
[24:30.000 --> 24:32.320]  To the underground market.
[24:32.320 --> 24:33.520]  Yeah. The.
[24:34.720 --> 24:37.280]  Major outlets for.
[24:38.920 --> 24:43.560]  Retail were basically the.
[24:44.880 --> 24:49.080]  Delivery services and corner street sellers.
[24:50.360 --> 24:51.800]  So like the Mr. Nice guys.
[24:52.640 --> 24:54.120]  Yeah, it's half baked.
[24:56.280 --> 24:58.600]  And there was a large.
[25:00.200 --> 25:01.480]  I guess marketplace.
[25:03.320 --> 25:06.200]  At the bridge and tunnel points.
[25:06.200 --> 25:10.120]  So across from the George Washington Bridge is Washington Heights.
[25:12.360 --> 25:18.160]  Very well known drug market and the out of staters will come over the bridge.
[25:19.080 --> 25:22.760]  Stop in that area to get there and then just go right and go right back.
[25:24.640 --> 25:28.560]  So I had connections up there, but that community is all Latin.
[25:28.800 --> 25:29.800]  OK, yeah.
[25:30.120 --> 25:33.560]  So it basically changed from the Harlem guys.
[25:35.800 --> 25:37.720]  To the Latin guys.
[25:39.200 --> 25:40.200]  Being the.
[25:42.600 --> 25:46.040]  Gangs that were controlling what industries?
[25:47.040 --> 25:52.920]  I lived on one hundred and forty second and Broadway for about a year and a half.
[25:52.920 --> 25:56.720]  Right. So that's like the middle ground between Washington Heights and Harlem.
[25:56.840 --> 26:01.800]  OK, so so that's when you were like, I need to be growing my own so I don't have to deal with.
[26:02.920 --> 26:06.000]  There was a lot more competition and the numbers started dropping.
[26:06.920 --> 26:14.240]  So the numbers went from five, five, six down to five and then from five down to forty five.
[26:14.680 --> 26:17.400]  At forty five, I'm, you know, I'm tripping out now.
[26:19.280 --> 26:21.760]  I was making so much more money just a minute ago.
[26:21.880 --> 26:22.880]  And so. All right.
[26:22.880 --> 26:25.960]  So and it's down to forty five around what year?
[26:28.520 --> 26:29.520]  That had to be.
[26:32.520 --> 26:34.320]  Two thousand, two thousand one.
[26:36.920 --> 26:42.120]  And maybe late 90s that late 90s, early 2000s.
[26:42.920 --> 26:48.120]  And then as you move to like six, seven, eight, nine, ten, you know,
[26:48.120 --> 26:49.280]  early 2000s.
[26:50.040 --> 26:54.080]  And then as you move to like Seattle, which was what, late.
[26:56.680 --> 26:58.160]  Almost like 10 years later.
[26:58.280 --> 27:02.640]  Yeah. At that point, it had dropped to about between twenty eight and thirty two.
[27:05.820 --> 27:09.300]  Oakland in 2011, it was around twenty eight.
[27:10.540 --> 27:11.540]  Then dropped to.
[27:12.740 --> 27:13.740]  Between.
[27:15.020 --> 27:19.340]  Twenty eight, sometimes twenty six, depending upon when the outdoors came down.
[27:20.500 --> 27:24.740]  And then when I moved to Los Angeles, it was pretty steady at twenty eight.
[27:26.300 --> 27:27.460]  And that went from twenty eight.
[27:28.060 --> 27:29.420]  And this is for all high end.
[27:29.900 --> 27:31.020]  Yeah. All high end indoor.
[27:31.460 --> 27:32.460]  That was my market.
[27:33.900 --> 27:42.460]  And then the bottom of the market was like late 2017 and the 2018.
[27:43.220 --> 27:46.940]  And down to like sixteen hundred, fourteen hundred.
[27:48.580 --> 27:49.580]  For.
[27:50.180 --> 27:51.700]  Bomb, bomb indoors.
[27:51.740 --> 27:52.740]  Right.
[27:54.140 --> 27:57.020]  And then now what are you kind of seeing it climbing back up to?
[27:57.780 --> 28:00.060]  Well, recently it's gone.
[28:02.060 --> 28:05.860]  Look, six, eight months ago, it was still around 16, 18.
[28:06.380 --> 28:09.100]  And right now it's twenty two to twenty eight.
[28:09.100 --> 28:10.100]  Nineteen.
[28:10.500 --> 28:13.860]  And now we're September, basically twenty nineteen.
[28:14.300 --> 28:15.460]  Twenty two to twenty eight.
