[00:00.000 --> 00:02.000]  Let's see
[03:51.640 --> 03:53.640]  You know the Southwest
[03:54.640 --> 03:57.960]  Southeast, you know like I love it all, you know, so
[03:59.080 --> 04:01.080]  really trying to
[04:01.240 --> 04:07.320]  Trying to step the game up and bring something to the table that you know, no one else really has so
[04:09.520 --> 04:11.520]  From a flame like
[04:11.720 --> 04:18.560]  Do you breed for your own palate or do you breed for like and Nick how would you describe his palate?
[04:20.160 --> 04:22.520]  Like what it is he like I mean, it's
[04:23.360 --> 04:25.040]  gas all day
[04:25.040 --> 04:27.040]  my god
[04:27.800 --> 04:33.800]  You know pink house a long time ago. We were kind of the first people to bring all the real ogs
[04:34.760 --> 04:37.400]  And those you know old-school
[04:38.360 --> 04:40.360]  gas only
[04:40.560 --> 04:41.840]  Flavors
[04:41.840 --> 04:43.840]  to the Colorado scene, so
[04:44.000 --> 04:46.000]  That's my pal. It's what like smoke
[04:46.320 --> 04:50.760]  And that's really, you know what? I like to continue in my breeding projects as well
[04:50.760 --> 04:56.680]  But you know, I'm I breed for everyone, you know, I'm not just trying to pump out gas and only gas, you know
[04:56.680 --> 05:02.400]  I want to you know make things that are great for you know for washing, you know good for
[05:02.720 --> 05:10.080]  Specifically for solvents extracts, you know stuff that's specifically, you know gonna do good in a you know hydrocarbon environment
[05:10.120 --> 05:15.040]  You know stuff that you know kind of fits other people's palates beside my own, you know
[05:15.040 --> 05:18.840]  But you know, I I tend to lean towards ogs and sours
[05:19.360 --> 05:24.480]  You know last couple years of the mess around the CBD game too. So lots of CBD
[05:25.640 --> 05:26.760]  kind of
[05:26.760 --> 05:34.880]  You know non cherry bland, you know kind of out of the box type stuff for you know for the high CBD
[05:36.240 --> 05:38.000]  industry as well, so
[05:38.000 --> 05:44.700]  What's some of the stuff like nicotine and I were involved with when you first won the home growers cup
[05:44.960 --> 05:48.200]  Let's talk about those. I actually wanted to touch on that real quick
[05:50.040 --> 05:54.800]  Yes, genome alchemy has been known for gas in fact when we live together
[05:54.800 --> 06:01.040]  We grew this og 18 cut from DNA. That was you know, one of the truest to og
[06:01.560 --> 06:03.040]  from seed
[06:03.040 --> 06:05.040]  Phenotypes really out there
[06:05.960 --> 06:14.080]  Gas gas gas gas but recently and the stream that he won the home growers cup with has that gas profile
[06:14.080 --> 06:18.240]  But also has something that I always kind of recognize as anise
[06:18.720 --> 06:25.440]  It has this serious unique floral nature to it. So why don't you tell them what that stream was? It's Fantasia
[06:25.920 --> 06:28.640]  so I crossed the Kerbal Fantasy with
[06:29.320 --> 06:34.920]  Platinum Tesla the platinum Tesla male that I used was a strain I made
[06:35.960 --> 06:38.360]  probably in 2014 with
[06:39.200 --> 06:42.660]  Platinum cookies which came from dark art nursery actually
[06:43.520 --> 06:46.760]  There was a OG kush breath mutant, you know
[06:46.760 --> 06:50.280]  They call it a dark art DHN mutant was the the cut that we had a pink house
[06:50.600 --> 06:56.000]  And it was straight up OG kush breath. Like I've never seen anything that was labeled
[06:56.520 --> 07:00.240]  Something else that you know was more like OG kush breath, you know
[07:00.240 --> 07:05.080]  It was called platinum cookies, but it's not kind of platinum cookies that I see around, you know
[07:05.080 --> 07:08.700]  It's like thin or one of those others, you know, it's very unique kind of
[07:09.320 --> 07:11.680]  growth structure and flavor to it
[07:12.120 --> 07:19.480]  So I crossed that platinum cookies with overflow from archive which is face up og crossed with Colorado flow
[07:20.280 --> 07:22.400]  Not DJ shorts flow but kind of the
[07:23.440 --> 07:25.440]  Temple flow and you know
[07:25.440 --> 07:32.560]  It's it's Colorado flow if you if you bought a bag of flow in the last five years in in Colorado
[07:32.560 --> 07:34.560]  Then it's back
[07:36.640 --> 07:43.480]  You know, I I've heard one way or the other I know I didn't hunt the seeds from the pack of DJ shorts flow
[07:43.480 --> 07:48.820]  So I was just kind of it was the tune to good. I mean, it's the same strain DJ short made it, you know
[07:49.100 --> 07:51.100]  but
[07:53.540 --> 07:58.140]  So the overflow I mean everything that Fletch does with archive is incredible
[07:58.900 --> 08:00.900]  so I selected this mail out of
[08:01.580 --> 08:04.740]  Six different mails. I liked it crossed it with
[08:05.200 --> 08:07.680]  The platinum cookies and that was the planet Tesla
[08:07.740 --> 08:12.480]  So that one got a lot of love a lot of people have it on the shelves here in Colorado
[08:13.200 --> 08:18.920]  And that became kind of one of my first my own mails that I started breeding with
[08:19.840 --> 08:22.120]  and I crossed out with a purple fantasy which
[08:23.160 --> 08:28.620]  For people that know the Kerbal fantasy it is what I know as purple gas. So
[08:35.160 --> 08:38.680]  The Kerbal fantasy is one of my favorites to smoke it hit all the notes
[08:39.280 --> 08:43.340]  Of you know, he says anise I definitely get that
[08:44.840 --> 08:47.200]  So that's that became the Fantasia
[08:47.840 --> 08:52.280]  Platinum Tesla counts Kerbal fantasy and our should say Kerbal fantasy times platinum Tesla
[08:52.880 --> 08:54.000]  and
[08:54.000 --> 08:59.080]  That was you know, several phenos of that are floating around in Colorado bunch of people pop those packs
[09:00.040 --> 09:02.040]  the main one
[09:02.800 --> 09:06.320]  That I'm on the homegrowers cup with as in a few dispensaries here
[09:06.320 --> 09:11.640]  I know you can find it the herbal cure at least used to you know, a few other dispensaries and stuff, but
[09:12.680 --> 09:16.560]  you know prohibition urban and miserable, you know, the
[09:17.200 --> 09:22.000]  The cut was just incredible. So, you know, I've cited enter it everyone loved it
[09:22.000 --> 09:25.480]  you know, I don't know if it was because it was living soil grown that it just you know,
[09:25.960 --> 09:31.800]  Blew out the the jar and you know, it's good out man's literally like everyone loved it
[09:31.800 --> 09:35.020]  So I was fortunate enough to win that contest the first year they had it
[09:35.380 --> 09:38.920]  I didn't do as well the second year, but you know
[09:39.660 --> 09:41.720]  there's some technical difficulties with the
[09:42.820 --> 09:45.900]  With the entries and stuff. So, you know, it may have something to do with it
[09:45.900 --> 09:50.780]  Who knows but that Fantasia is one of my favorite. I've actually continued to line. I just
[09:51.940 --> 09:54.660]  just I'm testing the F2s right now and
[09:55.820 --> 10:00.380]  Finding some serious heat in there and I'm gonna push another generation and probably
[10:01.300 --> 10:03.300]  release those
[10:03.940 --> 10:05.940]  Beginning of 2021
[10:06.660 --> 10:08.220]  Maybe
[10:08.220 --> 10:12.500]  Spring something like that. You can be looking out for that the Fantasia's and seed form again
[10:13.780 --> 10:19.740]  So, yeah, I love it. I'll continue to work that line. No, you know everyone smokes it loves it, too
[10:22.740 --> 10:26.380]  So if people want to get seats from either ask him here on IG live
[10:26.780 --> 10:30.780]  What's the best way to do? I mean just hit me up direct. That's the best way
[10:30.860 --> 10:34.340]  You know, I'm still kind of old-school like that I do direct
[10:35.420 --> 10:41.780]  Sales, you can just hit me up on Instagram at genome alchemy. My website's under construction at the moment
[10:42.700 --> 10:48.740]  Just like nicotine having some merchant processing issues and stuff like that with with getting seeds out
[10:48.740 --> 10:52.860]  But you know I have and you know, I ship wherever
[10:54.380 --> 11:00.000]  When it comes to the comes of the beans so hit me up Instagram genome alchemy
[11:01.060 --> 11:07.420]  That would be the place to do it. You can also hit me at my email if you want Greg at genome alchemy comm
[11:08.220 --> 11:10.220]  That's a good space to
[11:10.380 --> 11:14.900]  To get seize your hands. I always update my lists and get them out to people directly
[11:15.180 --> 11:17.740]  I'd like to be getting in some seed banks here at some point
[11:18.660 --> 11:23.740]  But you know as of right now, it's just hit me up. I'll get you some seeds
[11:25.500 --> 11:27.460]  So let's kind of talk more about
[11:27.500 --> 11:30.100]  You know, why would somebody want to go with your seats?
[11:30.100 --> 11:35.060]  I mean, I feel like you know, Nick and I've been able to enjoy your flower judge your flower
[11:35.060 --> 11:41.340]  I really feel like after that day kind of put you on the map you were smiling ear to ear at least here in Denver
[11:41.820 --> 11:43.460]  and then
[11:43.460 --> 11:45.980]  Yeah, kind of go into that. I mean I
[11:46.980 --> 11:54.780]  You know, I'm a living soil grower. I thoroughly believe that you know, I can express all the genetic traits that
[11:55.540 --> 12:00.900]  Are you know are important and that the plant really has to offer in a living soil system?
[12:01.580 --> 12:03.580]  and I try to
[12:03.820 --> 12:09.540]  you know do my all my selections all my breeding and everything and you know living organic soil and
[12:10.500 --> 12:14.540]  You know people that want to pump salts or whatever everybody has got their own thing
[12:14.540 --> 12:20.540]  You know for how to grow and you know, do your own thing. It's a magic of cannabis. It's like it's brings us together
[12:20.540 --> 12:24.220]  We don't I'm not trying to preach one way or the other but I will say that
[12:25.300 --> 12:28.740]  for me living soil has been the way to
[12:29.940 --> 12:32.820]  get the expression that I want out of the
[12:33.980 --> 12:38.260]  strains that I grow on the strains that I make and I'm really catering my
[12:40.100 --> 12:43.500]  You know my breeding towards living soil growers, you know
[12:43.500 --> 12:48.380]  So, you know that you can get a pack of my seeds and you know, if you're a living soil grower
[12:48.900 --> 12:51.380]  they were made for you, you know like and
[12:52.380 --> 12:54.620]  Even if you're not, you know, I know you're gonna
[12:55.380 --> 12:56.980]  You're gonna see
[12:56.980 --> 13:03.300]  amazing genetic expression one way or the other, you know, but you know, I I will say that
[13:03.980 --> 13:10.860]  You're definitely gonna see I mean not good about talking about myself a lot, but you know, you're gonna see a lot of strains
[13:12.140 --> 13:16.720]  That you're not see anywhere else out of my out of my gear, you know stuff
[13:16.720 --> 13:21.560]  If you're looking for old-school flavors, so you're looking for you know, the new hype whatever
[13:22.400 --> 13:24.400]  I've got lots of stuff that is
[13:25.320 --> 13:28.880]  Crush on the bill, you know, like whatever yours whatever your system is
[13:28.880 --> 13:33.080]  I got something for you, you know, if you want to team is if you want it because I mean whatever
[13:33.080 --> 13:38.680]  There's it's all hybrid but you're one-stop shop. We're yeah, we just pop in in Norco
[13:38.680 --> 13:44.400]  I went out there and we did an og 18. Yeah, I was og 18 cross with og 18 cross with Jedi Kush
[13:44.400 --> 13:49.160]  So there's Obi-Wan OG that I made a long time ago, which is og 18 Carson Jedi
[13:49.800 --> 13:53.600]  I got across that with a basement cup go G 18
[13:54.360 --> 13:56.360]  You know old-school gas
[13:57.880 --> 14:02.800]  OG so those are what's going several people's gardens out there
[14:03.440 --> 14:04.640]  and
[14:04.640 --> 14:10.200]  They're crushing it looks like, you know, like they've done well for me and in all my testing and you know
[14:10.800 --> 14:16.520]  Find some dough Finos we selected two females out there. Yeah, I said put in flour and he just keeps sending me photos
[14:18.960 --> 14:20.960]  You know, so, you know, that's
[14:21.600 --> 14:27.280]  You know gas is my palate and so, you know, and I generally give people seeds. That's a lot of
[14:27.840 --> 14:30.880]  It's a lot of what people are gonna get and you know
[14:31.440 --> 14:36.840]  Working some fruit lines here soon just because a lot of people love those, you know citrus herbs or you know
[14:36.880 --> 14:41.200]  Like kind of blueberry fruity, you know, I mean you pick your flavor
[14:41.360 --> 14:46.000]  I'm trying to work on some cherry and some strawberry type stuff to that are you know
[14:46.000 --> 14:50.640]  obviously got notes of og and sour in the back because that's what I love but
[14:51.200 --> 14:56.320]  You know got the you know trying to fit the bill for everyone. It's kind of my deal
[14:56.320 --> 15:02.880]  You even got like some you were the only person that I knew for a long time and probably still to this day that has
[15:03.000 --> 15:08.880]  The four columns cost. Oh, yeah, that's one of my favorite things to breed with two man is like I just loved it
[15:08.880 --> 15:11.160]  No five days. I mean people
[15:11.680 --> 15:13.680]  Never see there's out there
[15:15.960 --> 15:22.520]  Yeah, you know so yeah the four columns got me like that's such an old-school cut I mean I'm from Colorado
[15:22.520 --> 15:24.520]  so I grew up smoking that weed and
[15:24.600 --> 15:29.840]  You know, it was always something that I just had to have my garden and I still have my garden, you know
[15:30.080 --> 15:35.600]  15 years later. It's like it's a staple, you know, like it crushes you like we were
[15:36.000 --> 15:43.360]  Pretty tells what we're taking to an app at least. Yeah. Yeah. I mean it's it's definitely a crusher when it comes to yields
[15:43.360 --> 15:47.560]  And it's just got that old-school flavor, you know, it's not like anything else. I see on the shelf
[15:48.200 --> 15:52.280]  Anywhere, you know, so that's why I keep in the stable, you know
[15:52.440 --> 15:58.680]  Got that SFV and I got four columns cough and those are like the two that have never left my stable
[15:59.840 --> 16:02.560]  You know as far as that goes, so, you know
[16:03.120 --> 16:04.800]  I
[16:04.800 --> 16:07.280]  You know try to keep it old-school and you know
[16:07.280 --> 16:13.440]  Make the new shit for for you know, all the people that want something a little different
[16:13.440 --> 16:19.600]  You know, and you know, obviously trying to work on some some stuff to man trying to work on breeding
[16:19.600 --> 16:23.800]  You know a lot of my stuff washes well, but a lot of stuff doesn't does much better and hydrocarbon
[16:24.000 --> 16:28.840]  What was that that that's what I was gonna actually ask because you had mentioned hydrocarbon early on
[16:29.400 --> 16:35.280]  What what are they looking for and and you know in relation to what like Nick
[16:36.200 --> 16:38.200]  Washing would look for. I
[16:38.720 --> 16:42.880]  Think that's that's a good question for Nick. Well, you know, I'm not necessarily
[16:42.960 --> 16:50.200]  you know the the expert on what they are looking for but what we are looking for and we were actually talking about this is
[16:51.400 --> 16:52.960]  trichome density
[16:52.960 --> 16:56.560]  We're looking for something that doesn't have a super small stock
[16:56.560 --> 17:00.240]  but we're not all we're also not looking for something that has a really long stock and
[17:00.720 --> 17:04.040]  Things that we're noticing is like the OG's have a really small stock
[17:04.080 --> 17:11.040]  The blue dreams and hazes have a really long stock and so kind of those two variables don't really wash the best
[17:11.080 --> 17:18.120]  But when you find something that has trichome density that has a really thin waxy cuticle. It's also something that we look for
[17:18.840 --> 17:24.840]  And that has the terpene that we're really after and that's that's the washer right there
[17:25.320 --> 17:31.880]  Yeah, I mean in high terpenes, you know, you're gonna get it's just shown over and over living soils gonna pump terpenes
[17:32.680 --> 17:39.000]  And you know a lot of people that you know, either side of the extract game, you know
[17:39.000 --> 17:42.120]  You're gonna see higher terpene loads and you know
[17:43.040 --> 17:44.800]  expression with you know
[17:44.800 --> 17:50.600]  Living soil, you know, honestly, I've heard a lot of hash makers that are like outdoor
[17:51.120 --> 17:53.120]  Flower just you know sun-grown
[17:54.000 --> 18:00.000]  Or greenhouse grown but you know under the Sun specifically is gonna you know have serious terpene expression
[18:00.600 --> 18:07.440]  And that's what I think gonna be good, you know, whether you're hydrocarbon or solvency, you know
[18:07.440 --> 18:10.280]  But trichome structure definitely has a lot to do with it
[18:10.920 --> 18:13.200]  and you know, obviously the
[18:13.920 --> 18:15.520]  kind of
[18:15.520 --> 18:17.520]  the way that the Terps
[18:18.280 --> 18:25.280]  Really come out like in a mechanical extraction like in water or you know hydrocarbons they definitely
[18:25.600 --> 18:29.960]  It's different, you know and certain strains. They'll do better than others
[18:30.840 --> 18:35.680]  You know, everyone loves rosin and you know, so I'm kind of trying to push that
[18:36.640 --> 18:39.640]  You know side of things a little bit. I feel like
[18:40.480 --> 18:46.600]  Most people can do good in with a BHO extraction or something kind of across the board
[18:46.760 --> 18:50.840]  but solvency is a little different with you know, being able to
[18:51.640 --> 18:53.640]  get the high yields and
[18:54.760 --> 19:00.760]  Retain, you know kind of the the terpene profile that the flower has, you know, it's very specific
[19:01.520 --> 19:07.000]  Kind of structure of the trichome and then you know that comes from the genetics
[19:07.000 --> 19:12.680]  so and grow environment to you know, like there's a lot of a lot of things to do with VPD and
[19:13.320 --> 19:20.320]  You know kind of your grow room environment that'll that'll dictate the way your your trichome density and you know
[19:21.720 --> 19:25.960]  Trichome formation, you know, yeah, and that is and we were even talking about the nutrients
[19:25.960 --> 19:32.000]  You know if you're running a super salt heavy or carb heavy formulation bottle of nutrient formulation
[19:32.200 --> 19:32.880]  You know
[19:32.880 --> 19:37.880]  That's basically gonna create a lot more wax on the outside of your dry gum and less oil on the inside
[19:38.200 --> 19:42.040]  Waxes are lighter than oils waxes don't have as many terpenes as oils
[19:42.040 --> 19:46.200]  And so overall our yields are gonna suffer the quality is gonna suffer
[19:46.840 --> 19:49.160]  And it's really just not going to be viable. So
[19:49.920 --> 19:55.280]  If you are going that route of utilizing salt formations, you know AG salts
[19:56.600 --> 20:03.240]  Bottle nutrients and things of that nature just make sure you're flushing it out completely because when you're pumping it in there
[20:04.040 --> 20:07.200]  We're seeing it on the extraction side and it just doesn't work
[20:08.200 --> 20:12.320]  Also another reason why we really promote living soil you don't have to worry about that, you know
[20:12.920 --> 20:14.920]  It's gonna show the true
[20:15.520 --> 20:18.040]  Representation that that's that cultivar should show
[20:18.680 --> 20:21.400]  Agree, that's you know, that's the reason I
[20:22.040 --> 20:28.580]  Choose that system over other ones because you know, it really gives me an idea of what the genetic
[20:29.480 --> 20:31.240]  can do and
[20:31.240 --> 20:32.360]  You know
[20:32.480 --> 20:38.280]  The genetic potential yeah, whatever said and you can manipulate it one way or another with you know certain
[20:38.960 --> 20:46.080]  Environments and certain feeds but you know, if I just put it in living soil and I know the plant has everything that it needs
[20:46.800 --> 20:48.800]  Without me having to play chemist
[20:49.680 --> 20:56.200]  Then the plants gonna show what it wants to show, you know, and my system is pretty dialed
[20:56.200 --> 21:02.000]  It's not perfect by any means. I'm always learning and always, you know adopting things, you know to
[21:02.800 --> 21:04.800]  really increase
[21:05.800 --> 21:09.480]  You know productivity in my gardens, but you know the
[21:10.600 --> 21:14.000]  End all be all is you know, living soil is gonna give
[21:14.720 --> 21:18.880]  Everything it needs to the plant and I'm gonna be able to see what I need to see
[21:20.680 --> 21:26.880]  While I'm breeding, you know, and then also, you know when I'm doing my selections for what to push the next generation or
[21:27.360 --> 21:35.080]  You know, what is gonna be the best hash making strain versus the best flower yielder versus you know
[21:36.160 --> 21:41.680]  All the you know, all the different criteria that a breeder may have or that I have
[21:42.480 --> 21:48.240]  You know or hash maker may have you know, I can really see plants true true colors, you know
[21:50.560 --> 21:55.400]  For those of us outside Colorado what's kind of the dominant like is it
[21:56.400 --> 22:00.480]  Indoor greenhouse, I'm not even talking grow media but like
[22:01.960 --> 22:08.120]  Is Colorado predominantly indoor greenhouse outdoor evenly distributed?
[22:08.120 --> 22:15.820]  I would say predominantly indoor like again by far, you know, they don't make it and is that because of regulations?
[22:16.600 --> 22:22.240]  Has something to do with that? Yeah, and also our outdoor seasons like what very short two three months out here
[22:22.240 --> 22:28.000]  Yeah, I mean we depend on you know here in Denver, you know where we are. It's we got a decent, you know
[22:28.480 --> 22:33.640]  Decently long outdoor season on the front range here Western Slope, Colorado is a bit longer
[22:33.960 --> 22:38.240]  But you know you start to get up above, you know, we're we're at a mile
[22:38.240 --> 22:43.000]  I you know, you start to get above 7,000 feet and you're really limited on your full Sun
[22:43.800 --> 22:46.900]  You know kind of applications greenhouse
[22:47.700 --> 22:53.540]  You know, it's just greenhouses are expensive and the way that the regulations kind of developed here in Colorado
[22:53.620 --> 22:57.900]  it was just a lot easier for people to start indoors and just kind of
[22:58.700 --> 23:01.300]  Expand that way and I think there's a big
[23:02.540 --> 23:04.340]  kind of
[23:04.340 --> 23:07.980]  Misunderstanding that indoor flower is the end-all be-all
[23:08.820 --> 23:15.020]  I'm a firm believer and you know, it's sun-drawn cannabis and you know indoor
[23:15.660 --> 23:22.740]  LED, you know, there's lots of applications that can really really bring out the true colors and cannabis
[23:22.740 --> 23:27.280]  But no matter how good your lighting is like you can't you're not the Sun, you know
[23:27.280 --> 23:31.820]  so all other things considered an environment dialed in, you know, you're
[23:32.340 --> 23:37.860]  The Sun's gonna be the way to go. So I wish there was more greenhouse and more outdoor flower
[23:38.900 --> 23:41.500]  Colorado, you know, I know in California, it's probably
[23:42.180 --> 23:45.780]  You know, I would say outdoor and greenhouse is probably the more predominant
[23:46.620 --> 23:51.700]  Way to go only because you know power so expensive luckily in Colorado, you know
[23:52.020 --> 23:57.780]  Excel powers cheap, you know, so people can get away with a couple hundred five hundred lights, you know and not
[23:58.300 --> 24:00.300]  Literally break the bank
[24:00.820 --> 24:07.060]  Whereas, you know other places that might have more expensive utilities, you know, like they gotta adapt a little differently, but
[24:07.900 --> 24:12.740]  Yeah, I would say indoor is predominant in Colorado just just kind of at least in the
[24:13.420 --> 24:17.940]  You know the regulated industry and just even side market, you know, not a lot of people do
[24:18.740 --> 24:20.740]  big full Sun
[24:21.500 --> 24:23.500]  Grows gorilla grows
[24:23.860 --> 24:25.740]  Yeah, yeah
[24:25.740 --> 24:27.900]  Not a lot of people do that here, you know
[24:28.540 --> 24:35.660]  Which we just have more extreme conditions. Definitely. Yeah, definitely. I mean we got we get a early, you know, we get wild
[24:35.700 --> 24:40.820]  You know, I mean we got a hard freeze for a couple days and you know a couple feet of snow on
[24:41.380 --> 24:43.340]  Labor Day this year, you know
[24:43.340 --> 24:49.860]  so that's easily a month before most people will be pulling their outdoor even in Colorado and
[24:50.460 --> 24:54.540]  You know, we we go through the extremes, you know, so
[24:55.220 --> 24:57.700]  You gotta you gotta pick your genetics, right?
[24:57.700 --> 25:00.300]  You know when you're growing here and you're growing outdoors and you know
[25:00.300 --> 25:02.740]  I've definitely got to pick stuff that's gonna you know
[25:02.740 --> 25:07.660]  Be on the shorter finishing side of things if you're gonna do full Sun and also, you know
[25:07.660 --> 25:12.980]  We got strong strong Sun here like it gets hot and the UVs intense
[25:12.980 --> 25:19.100]  so you need stuff that'll really you know, the drought tolerant, you know, like there's very little rain and
[25:19.580 --> 25:23.740]  You know Sun just beats down on these plants pretty much all season. So
[25:24.460 --> 25:28.180]  You know, you really got a selector cultivars, right to be able to
[25:28.700 --> 25:32.660]  Be successful kind of in that range
[25:34.580 --> 25:41.220]  How many are you usually running if you're when you're trying to pick out cultivars to put in like when I do it selections
[25:42.140 --> 25:46.660]  You know depends on obviously like probably on the home grow. I'm limited on plant count
[25:47.220 --> 25:53.220]  So I generally I like to pop at least 24 seeds of a particular strain
[25:54.220 --> 25:57.060]  At home, you know just because that's what I can do
[25:57.380 --> 26:01.700]  But you know the more the better like if I'm in a you know
[26:02.180 --> 26:06.500]  Legal environment plant counts not an issue, you know hundreds, you know
[26:06.500 --> 26:10.300]  If you're really gonna find that winner, you know more seeds you can pop the better
[26:10.300 --> 26:16.300]  You know and a lot of these cultivars you can buy, you know, like it's hard to get a thousand seats
[26:16.540 --> 26:18.540]  You know like without spending
[26:19.060 --> 26:22.900]  10 15 grand, you know to find that one at least
[26:24.780 --> 26:30.860]  So, you know, I mean you're talking, you know, even at 50 bucks a pack you pop pop 100 seeds, you know
[26:30.860 --> 26:33.780]  You're you're out five racks real quick, you know, so it's like
[26:35.100 --> 26:40.060]  There's limiting factors obviously, but more seeds are better man. Like the more that
[26:40.860 --> 26:42.860]  genetic diversity that you can
[26:43.740 --> 26:46.420]  explore the the better off you are and
[26:47.260 --> 26:48.420]  Generally
[26:48.420 --> 26:50.420]  You'll find winners
[26:50.500 --> 26:53.020]  If you pop that many seeds, you know
[26:53.020 --> 26:57.860]  There's a lot of I mean you pop ten seeds and you have a regular pack of seeds
[26:57.860 --> 27:04.340]  You know, like you're gonna end up with five or six females, you know, assuming 100% germination rate, you know
[27:04.340 --> 27:06.340]  Which you know isn't always the case
[27:07.460 --> 27:09.460]  So, you know
[27:09.540 --> 27:12.900]  Selecting for through six plants to find a winner
[27:13.580 --> 27:15.740]  Keeper, you know like is is
[27:17.260 --> 27:21.660]  Harder than it seems, you know, there is the max of the world and there is lots of
[27:22.660 --> 27:27.820]  You know strains that got lucky, you know, and I'm fortunately for me a lot of my strains
[27:27.820 --> 27:31.700]  You know are heavy hitters in a you know, pack of 15 seeds
[27:31.700 --> 27:35.780]  You're gonna find something you want to keep and continue to grow but you know in general
[27:36.380 --> 27:38.380]  more seeds you can pop and
[27:38.540 --> 27:44.060]  Really really hone in what your selection is, you know, whatever it be whether it be to make saltless hash
[27:44.300 --> 27:50.020]  You know like whether it be something that's drought tolerant might resistant, you know pest resistant
[27:50.900 --> 27:55.180]  Does well and you know to whatever your climate is, you know
[27:55.180 --> 28:00.020]  Like you gotta pop a lot of seeds to really to really find that that winner, you know
[28:00.020 --> 28:05.620]  And also get all the you know, the criteria that you want, you know for smoking, you know, or whatever
[28:06.140 --> 28:09.380]  Flavor profile on that, you know bag of you and all that stuff
[28:11.980 --> 28:13.980]  So, you know
[28:15.140 --> 28:16.780]  That's
[28:16.780 --> 28:20.340]  That's why breeding so important, you know, you got to do it, right?
[28:20.340 --> 28:23.500]  You got to do well because no one's spend 150 bucks on a pack of seeds
