[00:00.640 --> 00:04.640]  This is a production of Cornell University.
[09:50.000 --> 09:54.000]  What kind of are what are problem leads of hemp. It's the same thing.
[09:54.000 --> 10:13.000]  Hemp does not necessarily have a strong or even an allele pathic effect on other weeds, it relies on its plant structure the biomass to shade out weeds and rob it rob weeds of the nutrients so the advantage comes when you can get ahead when the plant
[10:14.000 --> 10:28.000]  can certainly be issues where, where, you know, if the week competitions either head to head or we have a head start hemp will have a very difficult time getting through problem leads so again that's another sort of myth that we need to make sure that people are
[10:28.000 --> 10:42.000]  aware of and trash management and I shouldn't actually have trash manager and there's two things here I guess that you know it can be considered, you know, the one man's trash is another man's treasure so the fiber industry, how do we, you know, the grain
[10:42.000 --> 10:50.000]  industry was what was really moving the industry and forward in Canada for a number of years over the last five years we were moving more into.
[10:50.000 --> 11:08.000]  Again, turning that lemon into lemonade so that fiber obviously has an extremely high value. And if you're not, if you do not have an area where you can get rid of your fiber in an economic fashion or a way to to turn it into some cash for you.
[11:09.000 --> 11:16.000]  So that's a real issue as far as what crops come in next year so I shouldn't say trash management I should just say residue management.
[11:16.000 --> 11:32.000]  So what kind of soil properties are we looking for so again, we want to basically a, you know, kind of your best soil some moderate soil texture, loam or or clay loam sandy loam, it's not to say that hemp couldn't do well on heavy clays, but it really just
[11:33.000 --> 11:43.000]  And so that is the issue and and compaction, essentially actually any, any soil irregularity, sorry.
[11:43.000 --> 11:57.000]  In, in, in your field, you know if you think you got a perfectly good field that's from corner to corner, not going to cause you any problems then then hemp will be the one crop that will show you where your problems are so sandy soils are good because
[11:57.000 --> 12:10.000]  they actually, you know, you don't have the issue of sand standing water but it does need moisture needs upwards of 12 to 15 inches of moisture you know to reach it so you know genetic potential for yields.
[12:10.000 --> 12:18.000]  So non saline good tilth you know, in other words, some of your best land, you'd want to be planting hemp on.
[12:19.000 --> 12:39.000]  This is what happens when we don't have that internal drainage or, or if we get significant rain effect which seems to be just about every second rain event is a significant one so this was a section of hemp for seed production and you can see where the, you know, he was able to seed
[12:40.000 --> 12:57.000]  everything we had a significant rain event come when the crop was probably about, you know, probably about two weeks after, and you could definitely see anywhere where the water was ponding for a little while or sitting hemp did not take that very well, we've got weeds
[12:57.000 --> 12:59.000]  growing in there.
[12:59.000 --> 13:05.000]  You can see right in the bottom right hand corner that's the compaction issue that's where the trucks come into the field so.
[13:05.000 --> 13:15.000]  So, yeah, if there's anywhere in the field that you think has a soil type issue then hemp is going to give you an indicator of that.
[13:15.000 --> 13:27.000]  So variety selection and this is this is becoming more and more important we've got a number of breeding companies in the US now developing hemp varieties.
[13:28.000 --> 13:41.000]  So, you know, I've been in the business since about 2005 2006 with varieties but you can see just from this photo alone this again is from my good old days as they say so we've got a difference in height here we've got some male flowers in this bright
[13:41.000 --> 13:43.000]  you can see the white.
[13:43.000 --> 13:56.000]  We've got some money issues varieties, these are a diet, you know what yields better does a diet you should feel better than a money issues and why is there a money issue so we'll, we'll kind of tap into that a little bit here so when we're looking at variety selection
[13:56.000 --> 14:10.000]  out there, you know I was just kind of looking at all the shout outs and the hellos. We've got a lot of researchers, a lot of research institutes hemp research data is somewhat scarce, and this is, you know, again, dear to my heart as an agronomist
[14:11.000 --> 14:25.000]  I need to get that a good handle on what research is out there and it has to be in my mind it has to be replicated data that's analyzed localized data, obviously the more site years the better.
[14:25.000 --> 14:35.000]  It's just all of the things that we know that are important for making those decisions, the coefficient of variation etc. All of those things need to be addressed.
[14:35.000 --> 14:47.000]  But some of the things I guess just from an economic standpoint are obviously yield, if we're talking about grain fiber or cannabinoid CBD yield is is the king right.
[14:47.000 --> 15:04.000]  When it comes into both again fiber and brain height is very important we want more biomass for the fiber crops, we want less biomass more seed head for for the grain varieties that you can still easily harvest disease susceptibility, there are
[15:04.000 --> 15:19.000]  different cultivars that are more susceptible than others to the likes of the tritis or sclerotinia, a number of different things, herbicide tolerance.
[15:19.000 --> 15:37.000]  I chair the minor use committee for the CHTA and work with the IR4 program in the US and there are differences in herbicide tolerance and I'll just name one as a as a as a one that we have use for in Canada is called bromoxynil so not
[15:37.000 --> 15:40.000]  bromoxynyl but bromoxynil or bacterial.
[15:41.000 --> 15:55.000]  You know, a lot of all of the HDI varieties have a extremely high tolerance of bromoxynil, but there's some cultivars out there that if you drove by even with the herbicide in the back of your truck you're going to see some leaf browning and potentially
[15:55.000 --> 16:02.000]  some issues. Many times you get that and with hemp's aggressive growth nature it will grow through that but there are differences.
[16:03.000 --> 16:16.000]  maturity so a lot of the varieties there are photo period sensitive so it's not as it's not as a big a deal if you're at the same latitude but there certainly are differences between some varieties.
[16:17.000 --> 16:20.000]  Shelling is a big one again on the grain side of things.
[16:21.000 --> 16:28.000]  We'll show some pictures shortly but as hemp matures and dries down the brack material that's surrounding and protecting the seed
[16:28.000 --> 16:37.000]  basically opens up and that seed is exposed so whether it's birds and again birds is a huge one and I'm not sure if I got birds on here but
[16:38.000 --> 16:46.000]  shelling is associated also with birds and if you're doing any sort of research, make sure that you have a bird control measure in place of some sort.
[16:47.000 --> 16:58.000]  It's one thing to have a quarter section 160 acre field and have a few blackbirds circling it but you get a flock of blackbirds in a research plot and they'll do you some damage in a very short period of time.
[16:59.000 --> 17:07.000]  There was one question already about cannabinoid content and I'll put THC in that so there is a variance between
[17:09.000 --> 17:20.000]  there is a variance between varieties there too and seed size on the grain side of things it's quite important to as as a farmer, a smaller seed size ends up your
[17:21.000 --> 17:36.000]  your screenings, you know, that seed that when the seed cleaner takes it to get it ready for to clean it for a processor, you could be losing a lot of seed just due to seed size so a large seed size, but then what's the composition?
[17:37.000 --> 17:47.000]  And we'll get into that as far as the size of the hull and hearts and how we can utilize that so there's lots to talk about there, lots to know and we've kind of gone through that.
[17:48.000 --> 18:00.000]  So I mentioned the phototropic plants, I think for most of us we kind of understand that so as the days get shorter the plant detects that so it starts to go into its
[18:01.000 --> 18:12.000]  it's a reproductive cycles I guess or puts some of that energy into reproduction as opposed to just biomass growth and the issue that we have here is when we're moving some of the genetics from Canada
[18:13.000 --> 18:20.000]  further in latitude certainly that plant, you know, can't detect the sunlight difference like say if we moved
[18:21.000 --> 18:36.000]  one of our varieties into Texas or Florida, there just isn't enough of a difference in day length early in the season that the plant is tricked into thinking that it already has to start setting seed so we end up getting flowering happening way too early and stuff so
[18:37.000 --> 18:46.000]  so that's it has to be noted and there's genetics and there's ways that we can start to work around that but that's some of the issue.
[18:47.000 --> 18:53.000]  And then on the cannibal side, feminized seed, what is feminized seed? So feminized obviously is the female
[18:53.000 --> 19:11.000]  in a dioecious crop. Generally speaking, it favours a little bit more of the female than male so probably for most of us in the field, I guess we'll see about 60 to 60, 55 to 60% female versus 40 to 45%
[19:12.000 --> 19:31.000]  male plants in there and a monoecious variety, that ratio is essentially the same on a monoecious plant. So what I found in the past, there might be a slight yield advantage to a monoecious plant, but on a dioecious side, there doesn't seem to be as much of a difference for yield.
[19:31.000 --> 19:50.000]  Where it makes the differences on fibre quality because those male plants die off early and that fibre is much different than what the dioecious or the female plant is as it tends to live a little bit longer and do a little more work, just kind of like what happens in real life, I think, for most of us.
[19:50.000 --> 19:58.000]  But feminized, of course, on the CBD side, we just want to be growing. We don't want that energy spent on seed production, we want it spent on cannibal production.
[19:59.000 --> 20:17.000]  Autoflower is the opposite of phototropic, so there are some autoflower traits and some varieties have autoflower traits where they will be triggered more so on days after planting as opposed to day length and daylight intensity.
[20:18.000 --> 20:28.000]  So that seems to be much more, it came much more from the marijuana genetics side of things, not a lot of the straight hemp genetics have that autoflower trait in them.
[20:28.000 --> 20:41.000]  So that's, you know, it's of concern, it's of interest to breeders on how to trick the plant into being able to be adapted in different areas around the world.
[20:42.000 --> 20:53.000]  So this kind of gives you an idea. So this is what's called the list of approved cultivars in Canada and a variety has to be on this list for a grower to grow it commercially in Canada.
[20:53.000 --> 21:01.000]  And the requirements are Health Canada is part of the regulatory board, and so they basically they test for THC essentially.
[21:02.000 --> 21:14.000]  So all the varieties that are on this board have been tested numerous times, and they've been approved by Health Canada that they will consistently or predominantly stay below that 0.3% THC.
[21:14.000 --> 21:27.000]  The second part of that is the Canadian Seed Growers Association. So we have to grow nothing but certified pedigreed seeds, sorry. So at the very least the certified level registered or breeder.
[21:27.000 --> 21:38.000]  That's where the testing is done on the pedigree level. So a farmer, when he grows the crop, he doesn't even have to test at that point in time. The testing for that seed lot happens at the breeder stage of that.
[21:38.000 --> 21:52.000]  That breeder seed is planted to get registered seed, the registered seed is also tested. So again, as a registered or a pedigreed seed grower, that's my responsibility to test that and send that away for analysis.
[21:52.000 --> 22:06.000]  And then when it goes into certified seed and that certified seed is sold to a farmer, there's no longer a need for testing. And so it's something that, you know, I'm also on the HIA Seed and Grains Committee and I like this for that reason alone.
[22:06.000 --> 22:26.000]  There's extra regulations there. But, you know, for the farmer, he knows if it's a pedigreed, it's third party inspected, there's stability, uniformity and a difference between. So we know, he knows what's in that bag, he knows what the percentage or the germination percentage is.
[22:26.000 --> 22:44.000]  As a processor, if you're contracting to grow that, you know what you're getting to. So it's kind of, I think, a good risk mitigator in the industry as a whole. So when we're seeding with hemp, it's a small seed, a little bit, about three quarters the size of wheat, perhaps.
[22:44.000 --> 23:10.000]  But we want to seed shallow. A half inch is maybe, you know, that's kind of borderline. Half to an inch is probably as deep as you would like to go. On the grain side of things, we target a 25 to 30 pound per acre seeding rate. And of course, there's a difference in seed size. So we need to know what that, for us, the thousand kernel weight or how, you know, how many seeds are in a pound. So we need to make sure that we have that calculation done.
[23:11.000 --> 23:32.000]  The higher seeding rates for fiber, again, if we have a lower seeding rate, that plant has more time to spread out a little bit more, has more space. The internodes get closer together, it branches more. And when those internodes get closer together, and it's not reaching for the sun or not, you know, kind of competing for the sunlight, those internodes kind of get closer together.
[23:33.000 --> 23:41.000]  What we want for fiber are those longer internodes, so we have a more high quality fiber. Everywhere there's an internode, that's kind of a break in the fiber, essentially.
[23:43.000 --> 24:01.000]  Warm soils. Now this one, you know, we're getting a lot of, I wouldn't say pushback, but there's a lot of observations which are extremely true that when hemp is seeded, or sorry, when hemp is harvested and we've got some seed left on the ground, that seed, doesn't matter if you're in Manitoba, where I am right now,
[24:02.000 --> 24:09.000]  or anywhere, if it has an opportunity to germinate, it will, under a lot lower soil conditions. You will see that.
[24:10.000 --> 24:25.000]  50 to 55 is when the majority of seeds, so one of the biggest issues is mortality, plant mortality. So, what we're seeing, what I've seen in the past is anywhere from 20 to 70% seed mortality, predominantly because of cold, wet soils.
[24:25.000 --> 24:37.000]  And so we want to make sure that we have it, you know, give that seed every chance that it can, because it's going to have a natural mortality in there, you know, pythium, other things, root diseases can be an issue.
[24:38.000 --> 24:49.000]  But our target plant stand in doing so is about 10 to 12 plants per square foot for the grain side of things, and of course higher for fiber.
[24:49.000 --> 25:01.000]  Equipment, just about anything can be used, planters, double disc drills, air seeders, and for us, the predominant choice of equipment here on the prairies is our air seeders.
[25:02.000 --> 25:13.000]  And in that case, we just want to make sure that we lower the fan speed because they will get basically some, the manifold where that seed starts bouncing around turns into a little bit of a coffee grinder.
[25:14.000 --> 25:19.000]  And that's when you open up that cap, you'll see it just mushes the seed. It's a very sensitive seed.
[25:20.000 --> 25:35.000]  This is just, again, a little bit of a, to give you an idea, if we look at the maximum thousand kernel weight, so we've got, you know, Alissa here, which is a parkland variety at 19, down to, I believe, where can we see, you know,
[25:35.000 --> 25:46.000]  and, you know, finola is one that is a very, it's not even on here, no, here we are, finola at 14.6 grams per thousand kernels, so a much smaller seed.
[25:47.000 --> 25:55.000]  So that adjusts your seeding rate, so we can go anywhere from 18 pounds up to 24 or 25 pounds, so that's the importance of making sure that you do that calculation.
[25:56.000 --> 26:09.000]  So this is just a picture of our farm. This is our air seeder. We use predominantly anhydrous ammonia as our nitrogen source. The seed is in the tank, our phosphate fertilizer, potassium fertilizer is in there.
[26:10.000 --> 26:17.000]  If you can see my mouse over this manifold right here is where, you know, we've got to check that often, so make sure that we have the wind
[26:17.000 --> 26:24.000]  lowered more so than wheat or even canola, because as it comes off this primary
[26:25.000 --> 26:33.000]  distribution point here into these hoses, this is where the damage is done. So if that's not turned down, we have a heck of a mess there and the potential for
[26:34.000 --> 26:44.000]  clogging of the air hose. So a little bit on fertility. We did a fertility nutrient uptake study some time ago, I think it was about 2004 or 2005 again,
[26:44.000 --> 26:55.000]  with one of our taller varieties at that point. So you can see in comparison to canola is what we did because that was really our other cash crop.
[26:55.000 --> 27:05.000]  So when we're talking about total plant nutrient uptake, as we know, kilograms per hectare can be relatively switched over to pounds per acre,
[27:06.000 --> 27:14.000]  I think less than 10%, something like that. Not much of an issue, but you can, you know, relatively speaking, you can compare. So as far as nitrogen goes,
[27:14.000 --> 27:23.000]  we found that hemp was using up to 200 pounds of nitrogen in the growth cycle, of which we've got 40 pounds of nitrogen that was captured in the grain itself.
[27:23.000 --> 27:33.000]  So if you're taking that grain to a processor off the field, you know that on an average yield of say 2000 pounds, or sorry, 1000 pounds or 1500 pounds of grain,
[27:34.000 --> 27:42.000]  you're taking about 40 pounds per acre of nitrogen off with an uptake of about six and a half. You know, canola, we're taking more off.
[27:42.000 --> 27:56.000]  So we got to replace more nitrogen after the fact. So a lot of this nitrogen is tied up in the stock, which will leach back into the ground if we can make sure that we have some sort of a ready process or an opportunity for that straw to take on some moisture.
[27:57.000 --> 28:16.000]  Phosphate here, 47 pounds, very similar to canola. And in the grain, we're taking 19. The big one here too is potassium. So if we are into the fiber industry, taking off the crop green, not long, ready to happen, you know, we need to keep a good eye on those potassium levels because
[28:16.000 --> 28:35.000]  the total plant uptake, of course, is quite high. We're not taking much off in the grain. It's again tied up mostly in that stock. So it can be leached back in, but you do need to be aware of that. And of course, it needs that much potassium for, you know, for straw strength, which makes sense. It's a tall crop, once again.
[28:36.000 --> 28:54.000]  Some of the disease issues, you know, sclerotinia seems to be about one of the biggest ones. You can see the sclerotia body here within the stock. That's going to drop down and create those apothecia that, and there's so many hosts for sclerotinia, including soybeans, for us, canola.
[28:55.000 --> 29:05.000]  So that's another one that we have to make sure to keep an eye on. To date, we haven't seen, you know, I haven't seen an absolute catastrophe on this, but there's a certain percentage for sure.
[29:06.000 --> 29:22.000]  The other one, botrytis or white mold, we see this often also. It's kind of the same thing. It's for us on the prairies again. I think if we move sort of the northeast or eastern more humid areas in the US, that's going to become more of an issue.
[29:22.000 --> 29:36.000]  So again, there's some varieties that can handle or have a bit more of a resistance to these diseases, but on the grain side of things, these are some of the ones that are causing an issue in Canada, I guess, predominantly.
[29:37.000 --> 29:55.000]  Insects. We've got a European corn borer on the left here. We don't have a lot of corn where I'm at yet, but we did happen to find one of these in the stock, actually in the stem, starting to cause issues. So that one is of concern.
[29:55.000 --> 30:11.000]  The middle here is a Bertha armyworm, which basically the foliage feeders, like the grasshopper on the right here. I mean, there's so much biomass there, they just seem to eat a bunch of it and then hop away, and thus we have a very extensive, extensive infestation.
[30:11.000 --> 30:33.000]  And like Japanese beetle, I think is a huge one in the US too that I've seen hemp get basically stripped because of that. So I think for the most part, the seed heads are protected again from the trichomes. We see a lot of aphids in the greenhouse production is different when we're outside, not quite the same.
[30:34.000 --> 30:57.000]  Frost up here in Canada, you know, every second day we can get a frost. And in fact, in one summer we had a frost every month. But here was a seeding date study that I was trialing. So I had different seeding dates with crop at different plant stages. So we went right from the beginning of May, seeded right up to the first week of July, actually.
[30:58.000 --> 31:21.000]  So we got this frost May 30th minus 4.7. So that's just just below freezing, but you know, hard enough for a killing frost. You can see the smaller seedlings here, the yellowing, some corrosive there just from stress. Not as much of an effect on the larger ones, the earlier seeded. So if they can get established, again, we're okay, but it's just getting them out of the ground.
[31:22.000 --> 31:33.000]  In comparison, here's a soybean that was decimated and this is flax that had to be reseeded. So it seems to be able to handle frost on both sides of both spring and fall.
[31:34.000 --> 31:52.000]  Here's a picture of a halelope field. It was one of our customers. Believe it or not, he left this and this isn't the field that he has on the right hand side. But this is essentially what happens. This was a later event, whether it was wind or this could have been wind. But you see how we call this goosenecking.
[31:53.000 --> 32:10.000]  And essentially, you know, as hard as it is or hard as it seems to be to get the plant established, it's a resilient bugger too. It just wants to grow all the time. And you can see here, starts reaching for the sun again, trying to compete and will do anything it can to survive.
[32:10.000 --> 32:34.000]  So the field on the left, this is what there was. There was basically sticks and he ended up with about 60% of the yield potential of that. He left it. That hailstorm happened in the middle of July. There was nothing else that he could do. So just to give you an idea, if you get something like that and just wait a couple days, see if you've got anything once again growing up out of those internals.
[32:35.000 --> 32:46.000]  And this is what I was mentioning earlier, you can kind of see in the top left where the bracken material is slowly drying down and the seed is being exposed, particularly the one where if you can see my mouse is just sitting there.
[32:47.000 --> 33:06.000]  You know, if a bird happens to be coming by, they see that, that's pretty juicy for them. So, but this is kind of the same time that we want to start looking at harvest. So timing of harvest is a tough one to tell because what we want to do to limit the amount of wrapping, and I'll show you pictures of what wrapping will look like.
[33:06.000 --> 33:31.000]  We try to harvest the crop when the grain moisture is in that 10 to 20% moisture range. You want to slow everything down, your cylinder speed, your rotor speed, open things up as far as your concave, because you can crack the seed and that will affect not only the germination if it's a seed crop, but it will also create some oxidation within the seed and it's an issue with oil quality.
[33:32.000 --> 33:39.000]  And actually, if you ever have an open up a bag of hemp parts and you see browns in there, that's because it was the seed was cracked and it's oxidized.
[33:40.000 --> 33:44.000]  So you need to dry it down below 10% for safe storage.
[33:45.000 --> 33:56.000]  There are a couple different moisture meters that you can have that actually do have hemp as far as being able to determine what that moisture is so very important to have that in there.
[33:57.000 --> 34:12.000]  So this is the combine that I use now. I'll show you, I don't have my other combine, but I was used to most of my previous experience was in a small plot combine and I use an old, old hay bee because it was easy enough to just shove a summer student in the back if it ever got plugged.
[34:12.000 --> 34:31.000]  Now, this one, a different story, we, you know, a Macdon header, we like the fingers here flip up. It's got a nice space on the draper. So the objective is to feed the hemp as straight as possible to have it go through the combine once or one and a half turns around the rotor and then up the back.
[34:31.000 --> 34:45.000]  And so that's kind of the objective there. Basically, there is of course no hemp. So I just superimposed hemp over top of this barley setting, but these are my settings in the combine. So my cylinder, or sorry, rotor speed is at 470.
[34:45.000 --> 35:08.000]  My concave clearance is at 26 millimeters. My wind is about 870 RPM. My chaffer is set at 16 and my sieve is set at six. So these settings are maybe a little bit larger than wheat. We've got a good flow of air because we've got so much chaff material, but slow it down and open things up a little bit because it does show or harvest quite easily.
[35:09.000 --> 35:27.000]  This is some of the wrapping issues that I mentioned. This is just a spline on the, on the drive shaft of the front of the John Deere. And that's just from going over the headlands where you've harvested. If there's a place for it to pick up and wrap it will. This is the cleaning fan of that.
[35:27.000 --> 35:54.000]  Also starting to wrap in there. So you do have to kind of get out there and make sure that you don't have these problems and forward thinking. Basically, there's a show that used to be called Red Green and his favorite tool is duct tape. It makes a genius out of most of us. So we just took some PVC pipe here, put some duct tape around it. Hemp didn't have a chance. This is that same shaft. Didn't have a chance to wrap on there.
[35:55.000 --> 36:06.000]  This is in the back of the combine, the back beater. This is an issue too. So it starts to wrap on the shaft there. And this is where you start to get smoke from the inside of the combine, which really makes a person kind of sit up and take notice.
[36:07.000 --> 36:21.000]  But the same thing. We just use some baler belting here, bolted that onto that beater and rubbing the side of the wall kind of cleared that issue. So there's as farmers, they, you know, they figure this stuff out and we're happy to sort of pass on that knowledge.
[36:22.000 --> 36:32.000]  For grain production, this is a necessity to always have a fire extinguisher. Even if you're doing plots, it's not a matter of if you'll smell smoke, it's when. For sure. It's just the nature of working with this crop.
[36:33.000 --> 36:44.000]  This is the Labtronics, what is it, 919 I guess it is, that will test for, you can go to the Canadian Grains Commission. There is a chart there for hemp.
[36:46.000 --> 36:49.000]  Storage and handling. I'm not sure how I'm doing on time here.
[36:51.000 --> 36:52.000]  I have to sit on my feet.
[36:55.000 --> 37:02.000]  So we want to make sure that we have as little contamination as possible, especially for grain production.
[37:03.000 --> 37:14.000]  So cleaning your harvest and handling equipment, cleaning out the bins. There's really no kill stock within the process of hemp. You take the hemp from the farmer's bin, goes to a seed cleaner, from the seed cleaner it goes to the processor.
[37:15.000 --> 37:24.000]  Processor will either dehaul or cold press the oil. So there's an opportunity for a lot of micro toxins to form.
[37:25.000 --> 37:31.000]  So in Canada here, because of the canola industry, this is very prominent in our vineyards, dryers.
[37:32.000 --> 37:44.000]  These are just hopper bottom bins with aeration to make sure that as soon as we get, you know, even, we don't even fill semis anymore, we just use tandems.
[37:45.000 --> 38:01.000]  Get that product on air as quick as possible because if you're at 12% moisture, you know, those plate counts of micro toxins start to rise and that food quality can be in jeopardy.
[38:02.000 --> 38:06.000]  So a dryer can work, but again, low and slow is the idea there.
[38:07.000 --> 38:12.000]  You want to make sure that you don't toast the hemp, that if it's toasted hemp, it doesn't stun by the processor.
[38:12.000 --> 38:14.000]  So the take home message, dry low and slow.
[38:15.000 --> 38:19.000]  What are the issues? Bacterial mold growth, time, temperature, moisture.
[38:20.000 --> 38:26.000]  Time is the only one that we can really have an effect on. So we need to get that, again, that product on air as quick as possible.
