[00:04.280 --> 00:06.280]  This is a production of Cornell University.
[11:45.240 --> 12:03.240]  And ultimately I hope that that information will be used to develop very specific mapping populations that allow us to tease apart the genetic foundations of key hemp horticulture agronomic traits.
[12:04.240 --> 12:28.240]  So work that I see long term in the future, I would love to gain a deeper understanding of this wider pool of hemp genetic diversity and work with many collaborators to build that into a hemp magic population that segregates for many critical traits and captures the larger pool of hemp diversity.
[12:28.240 --> 12:40.240]  I think that would be an enormously valuable resource that I'd love to offer to public and private plant breeders as well as those working to map plant traits.
[12:40.240 --> 12:56.240]  So as far as what the future holds, first and foremost I just want to add more diverse hemp genetic materials to our collection while collecting as much phenotypic data to accompany those materials at the same time.
[12:56.240 --> 13:03.240]  So that's kind of goal number one is just to scale build our collection.
[13:03.240 --> 13:10.240]  I would also like to improve our ability to produce a lot of high quality seed.
[13:10.240 --> 13:22.240]  Hemp is a very challenging crop, it's dioecious, it's wind pollinated, so a lot of our typical greenhouse seed increase procedures are not applicable in the same way.
[13:22.240 --> 13:25.240]  Pollen control is of vital importance.
[13:25.240 --> 13:35.240]  So developing methods to handle those challenges will be an ongoing project.
[13:35.240 --> 13:40.240]  I'm also really interested in developing new collaborations and partnerships.
[13:40.240 --> 14:01.240]  I think it's exciting that hemp is such a diverse crop that's applicable to so many different industries and groups and stakeholders that I'd love to help harness the power of hemp's incredible genetic diversity to enable those diverse research projects.
[14:01.240 --> 14:05.240]  So please feel free to reach out to me if you have some great ideas.
[14:05.240 --> 14:11.240]  Another long term goal is to develop a core diversity collection.
[14:11.240 --> 14:25.240]  What's a reduced set of hemp germplasm that can be used to capture succinctly the range of population structure that exists within cannabis.
[14:26.240 --> 14:38.240]  So there's also many more things that I'm excited about and look forward to in the future, but that's probably enough to keep me busy for a few years.
[14:46.830 --> 14:52.830]  This has been a production of Cornell University, on the web at cornell.edu.
