[00:14.590 --> 00:18.410]  Like reggae till they bantz down a couple times. I swear it's fucking
[21:13.210 --> 21:18.410]  No drug felonies. Yeah, no drug felonies is their main one. Yeah, I should have had the list here
[21:18.410 --> 21:20.410]  But I didn't realize we're gonna have this conversation
[21:20.610 --> 21:24.730]  I mean all that's all that's there and it's basically
[21:25.610 --> 21:27.610]  Common sense at that point. Yeah
[21:28.010 --> 21:34.170]  So if you can if you're in another state or what just to clarify like this means like to work behind a counter
[21:34.530 --> 21:38.450]  Selling herb to people to selling cannabis legally, right?
[21:38.490 --> 21:44.290]  Now this doesn't mean you can't live in Colorado and can't have three plants or six plants, whatever the state
[21:46.130 --> 21:48.610]  You can still be a caregiver you can grow your own
[21:48.610 --> 21:53.130]  This is just to work in a regulated shop become part of the industry and right right now
[21:53.130 --> 21:58.090]  I hate saying this but it's what I feel and what I part of why I'm making the business decisions
[21:58.090 --> 21:59.250]  I'm making so I think that in the future
[21:59.410 --> 22:04.190]  I read genetics will be able to breed inside of this large facility that I've just been
[22:04.970 --> 22:08.130]  Became master grower of and right now if I don't make a move like that
[22:08.650 --> 22:13.130]  The way that I'm growing in the way that my business model works. I think the industry will squeeze me right out
[22:13.130 --> 22:17.750]  I either need to join it or get squeezed out of it. And this is my way to join it and not disappear
[22:17.750 --> 22:20.410]  I want to be here for the long haul. Well, I've thought about this
[22:20.410 --> 22:25.890]  I feel like I'm selling out a little bit, but I'd rather give then not exist at all. That's what I got to do
[22:26.730 --> 22:31.170]  Yeah, so alright guys if you get that application fill it out if you're not in Colorado
[22:31.330 --> 22:34.370]  You got to come to Colorado and you have to show initiative
[22:34.370 --> 22:37.130]  You have to go to a bunch of dispensaries and apply in person
[22:37.130 --> 22:42.490]  You have to be kind of persistent almost being an asshole about it because so many people apply every day if you're a hot chick
[22:42.490 --> 22:46.290]  You're gonna get in don't worry about it. You have to know a little bit about cannabis
[22:48.170 --> 22:49.450]  Come with some knowledge
[22:49.450 --> 22:54.970]  Showed and be willing to start at a shitty job be willing to clean the toilets and trim pot for eight hours a day
[22:55.250 --> 23:01.650]  Because that's what we need. Mostly. We need trimmers trimmers get paid decently here and be dependable, please. Yeah
[23:02.130 --> 23:06.010]  There's such a high turnover rate in this industry is ridiculous
[23:06.010 --> 23:10.010]  Don't bring that kind of looks bad about don't brag about your trimming ability
[23:10.010 --> 23:13.130]  Don't tell me you can trim a pound and show up and not be able to trim it all
