[00:15.480 --> 00:18.240]  Welcome back, Cannabis Community.
[08:41.900 --> 08:45.140]  Your friend with a with an iPhone and your other friend with an Android,
[08:45.360 --> 08:47.000]  you're going to have different internets.
[08:47.180 --> 08:49.080]  So you're not going to be able to see the same stuff.
[08:50.680 --> 08:53.560]  Imagine this, and this is just my small mind thinking this.
[08:53.560 --> 08:57.200]  I'm not a capitalist business person, but imagine when you go to a concert,
[08:57.200 --> 08:59.640]  if you go to the Verizon wireless center,
[08:59.880 --> 09:03.140]  the only internet that's going to work there will be Verizon internet.
[09:03.400 --> 09:07.560]  All the ads, anything from AT&T, Comcast, uh, cricket,
[09:07.920 --> 09:10.720]  whatever else phone companies are, I don't even know. Uh,
[09:10.720 --> 09:13.040]  all those other ads will be blocked.
[09:13.220 --> 09:16.820]  Everything will just be Verizon wireless approved content.
[09:17.380 --> 09:21.140]  So even, and then if you go to the AT&T or the Qualcomm center,
[09:21.220 --> 09:23.120]  everything's going to be filtered by them.
[09:23.120 --> 09:26.860]  The internet you're allowed to use on your phone while you were in the Verizon
[09:26.860 --> 09:29.580]  wireless center will be filtered. Even though you are an adult,
[09:30.180 --> 09:31.340]  I'm sure they will filter it.
[09:31.340 --> 09:36.340]  That way nobody can be looking at any adult shit or any band shit or
[09:36.340 --> 09:40.900]  something from a rivaling entity while you're in their facility.
[09:41.400 --> 09:43.960]  That's what this is going to do. This is just the start.
[09:44.200 --> 09:47.280]  I've got a very narrow mind when it comes to capitalizing on stuff like this.
[09:47.280 --> 09:51.440]  I can only imagine what some folks in some suits and some ivory towers with a
[09:51.440 --> 09:54.800]  bunch of money are trying to do to fuck us over a little bit more right now.
[09:55.480 --> 09:59.960]  So the internet may change you guys. Uh, I didn't grow up with the internet.
[09:59.960 --> 10:04.240]  So to see the internet happen, when you first heard about it, you're like, wait,
[10:04.240 --> 10:05.280]  you could put your computer,
[10:05.800 --> 10:08.280]  you plug a phone line into your computer and talk to other people on other
[10:08.280 --> 10:11.540]  computers. Sounds kind of weird, but sounds kind of fun also.
[10:11.540 --> 10:13.500]  But also at the same time I was like, I've got a phone.
[10:13.500 --> 10:15.020]  Why do I want to type out a bunch of shit?
[10:15.020 --> 10:15.380]  And they're like,
[10:15.380 --> 10:18.620]  because you can go in a chat room and talk to like 15 different people at once
[10:18.620 --> 10:22.080]  and learn a bunch of cool shit. Whoa. And I was like, Oh no, the internet.
[10:22.440 --> 10:26.420]  And then the internet went from just like simple chat rooms to like everybody
[10:26.420 --> 10:30.420]  had a website and then it got interactive and then social media happened.
[10:30.780 --> 10:33.900]  Uh, social media wasn't a thing when I was a kid, you guys, all you youngsters,
[10:34.100 --> 10:36.540]  it wasn't a real thing. I feel like grandpa telling stories right now,
[10:36.800 --> 10:40.440]  but social media wasn't a thing when I was young. If you wanted to find friends,
[10:40.480 --> 10:42.960]  you had to fucking go somewhere. If you wanted to know what your neighbor was
[10:42.960 --> 10:45.000]  doing, you had to go there and knock on the fucking door and find out what he
[10:45.000 --> 10:47.340]  was doing. If you wanted to know what your best friend was doing,
[10:47.340 --> 10:49.040]  you had to call him and go, Hey Chris, what are you doing, bro?
[10:49.520 --> 10:52.760]  Like you didn't just jump on Facebook and see what everybody was fucking
[10:52.760 --> 10:56.280]  bitching about all at once. It was way different. So I saw no internet.
[10:56.600 --> 11:00.240]  I saw chat rooms. I saw all of the companies get a website.
[11:00.240 --> 11:01.760]  And I saw everybody's websites suck.
[11:01.760 --> 11:04.440]  And then I saw everybody not have a compatible website.
[11:04.740 --> 11:06.300]  And then I saw websites get good.
[11:06.780 --> 11:10.540]  And then I saw everybody start openly talking about internet porn.
[11:10.540 --> 11:14.300]  It just became a thing. And then internet porn lost. It's funny. And it's stigma.
[11:14.340 --> 11:17.140]  Now everybody just talks about internet porn. Like it's just common.
[11:17.140 --> 11:20.060]  Now it went from like, Ooh, internet porn to now it's just internet porn.
[11:20.820 --> 11:23.220]  Then it went to all the social media got crazy.
[11:23.380 --> 11:27.140]  Then everybody had a YouTube channel and then the internet became what it is
[11:27.180 --> 11:30.380]  today. Uh, if you want to know something, if you have an idea, it's on the
[11:30.400 --> 11:32.220]  internet. If you want to watch a video about something,
[11:32.240 --> 11:34.960]  if you want to see somebody do something, if you want to learn about something,
[11:35.280 --> 11:36.480]  it's on the internet, all of it.
[11:37.260 --> 11:40.200]  And one of the best parts about it was there was no limit because there was no
[11:40.200 --> 11:40.920]  rules.
[11:40.920 --> 11:44.520]  So you could learn about things that you should probably not be learning about,
[11:44.600 --> 11:45.600]  but you're going to do it anyway.
[11:45.620 --> 11:48.320]  So it's best to learn it the best you can so you don't fuck up.
[11:48.600 --> 11:51.160]  But now you won't be able to find all those cool things.
[11:51.160 --> 11:52.920]  You won't be able to watch all that creepy shit.
[11:52.960 --> 11:56.160]  You may have to pay for a different package, but I saw it.
[11:56.280 --> 12:00.200]  I saw it when it was some creepy dark thing that had no rules.
[12:00.860 --> 12:04.620]  I remember overgrow the gov and a whole bunch of other cannabis related websites
[12:04.620 --> 12:08.020]  where we used to all go tell secrets and trade seeds and try to impress each
[12:08.020 --> 12:11.260]  other with our bud shots before it was safe to just go post your entire grow
[12:11.260 --> 12:14.860]  room up on Facebook and Instagram. I remember it. Ladies and gentlemen,
[12:14.860 --> 12:17.260]  the internet will forever be different. Now as a podcaster,
[12:17.940 --> 12:22.740]  it's my duty to do my best to make sure that my podcast is available in as many
[12:22.740 --> 12:24.740]  ways as possible, as many places as possible,
[12:24.740 --> 12:28.260]  as many formats as possible in case something does happen to where people are
[12:28.260 --> 12:29.180]  forced to pay for it.
[12:29.440 --> 12:32.720]  I want you to be able to access my podcast for free.
[12:32.960 --> 12:34.600]  So I'm going to try to stay on top of that.
[12:35.040 --> 12:37.800]  I don't know what's going on with net neutrality more than what I've told you.
[12:38.040 --> 12:39.800]  It's a lot of stuff to take in.
[12:40.320 --> 12:44.520]  If something does happen where you are not able to listen to my podcast for free,
[12:44.840 --> 12:47.040]  send me a message and we will figure something out.
[12:47.040 --> 12:49.880]  If I've got to send you the file, we'll do that.
[12:49.880 --> 12:52.200]  I want everyone to be able to listen to this podcast for free.
[12:52.200 --> 12:55.640]  I will figure out a way to get this show out to everybody.
[12:56.160 --> 12:58.960]  That's my commitment to you guys. I love podcasting. I love cannabis.
[12:58.960 --> 12:59.820]  I love my friends.
[13:00.060 --> 13:03.980]  I love helping my friends grow better cannabis through podcasting.
[13:04.180 --> 13:06.820]  So I'm going to keep at it. I'm going to make sure you guys are able to listen.
[13:07.780 --> 13:11.500]  There's always a way around some Babylon bullshit rules and I'll make sure my
[13:11.500 --> 13:12.980]  friends get to hear the podcast. All right.
[13:13.380 --> 13:15.780]  I feel like I've been talking about net neutrality for a long time.
[13:15.940 --> 13:19.060]  I'd like to hear your comments. I'd like your input. Send me an email.
[13:19.100 --> 13:24.100]  It's growfromyourheartathotmail.com or send me a tweet at GFYHpodcast
[13:24.180 --> 13:26.620]  on the tweeters. All right, let's move forward a little bit.
[13:26.840 --> 13:27.600]  Ladies and gentlemen,
[13:27.600 --> 13:32.400]  we are in the era of cannabis legalization and medical marijuana and recreational
[13:32.400 --> 13:33.240]  marijuana.
[13:33.520 --> 13:36.960]  But just because we have rules that allow us to dispense,
[13:36.960 --> 13:41.360]  consume and medicate and recreate and all of the above with cannabis does not
[13:41.360 --> 13:44.400]  mean that we can ignore the rules. The rules were made,
[13:44.600 --> 13:47.360]  the rules are in place and we have to follow the rules.
[13:47.360 --> 13:49.440]  I want to read an article that I found on the cannabis.
[13:49.480 --> 13:53.440]  This has been the talk of Colorado today. One of the most popular,
[13:53.700 --> 13:54.660]  can't say most popular,
[13:54.660 --> 13:59.340]  a very well known chain of dispensaries was raided this morning and eight
[13:59.340 --> 14:04.340]  locations were raided and 11 Denver area Sweet Leaf stores were closed and 26 of
[14:06.180 --> 14:10.020]  their licenses have been suspended. I wanted to tell you guys about it.
[14:10.040 --> 14:12.980]  I found the article well written on the cannabis.
[14:13.020 --> 14:17.100]  It is written by Alicia Wallace from the cannabis staff.
[14:17.580 --> 14:19.580]  I'm going to read the whole article. It goes like this.
[14:19.580 --> 14:23.360]  Police raid eight Sweet Leaf marijuana center locations in Denver and Aurora.
[14:23.360 --> 14:28.360]  All 11 Denver area Sweet Leaf stores are closed and it's 26 licenses have been
[14:28.640 --> 14:29.640]  suspended.
[14:29.920 --> 14:34.200]  Denver police on Thursday raided eight Sweet Leaf marijuana center locations in
[14:34.200 --> 14:38.920]  Denver and Aurora and arrested 12 people as part of a year long investigation
[14:38.920 --> 14:41.760]  into illegal marijuana sales. Yes,
[14:41.780 --> 14:45.960]  this dispensary was participating in allegedly, I have to say, allegedly,
[14:45.960 --> 14:48.760]  I'm not a lawyer. I wasn't there. I'm not part of the investigation.
[14:48.760 --> 14:50.300]  I can't prove shit. Allegedly,
[14:50.500 --> 14:53.420]  this dispensary was illegally selling cannabis,
[14:53.680 --> 14:55.500]  which could include a lot of things.
[14:55.580 --> 14:57.700]  If the article doesn't tell us what they may have been doing,
[14:57.740 --> 15:00.100]  I will let you guys know what I feel like may have been happening.
[15:00.460 --> 15:01.180]  It goes like this.
[15:01.180 --> 15:06.100]  The criminal activities alleged include sale of cannabis in violation of the one
[15:06.100 --> 15:09.780]  ounce per person per day limits established under Colorado marijuana law.
[15:10.060 --> 15:13.140]  Denver police officials said in a statement. All right,
[15:13.140 --> 15:18.140]  so in Colorado a recreational cannabis shopper is allowed to buy one ounce per
[15:18.400 --> 15:21.160]  person per day. Now,
[15:21.600 --> 15:24.560]  I did not know that it said per day because there are some dispensaries that
[15:24.560 --> 15:25.960]  will let you come back later.
[15:27.440 --> 15:30.440]  Obviously Sweet Leaf was letting too many people do that and they've gotten
[15:30.440 --> 15:32.640]  themselves in trouble. So I'm going to say it right here.
[15:32.840 --> 15:35.960]  If you work for a dispensary, it says clearly right here,
[15:35.960 --> 15:39.440]  one ounce per person per day. I don't know that Ricardo or let's see,
[15:39.440 --> 15:40.400]  who wrote this article again?
[15:40.400 --> 15:44.360]  I don't know that Alicia Wallace knows all of the laws and rules on cannabis,
[15:44.780 --> 15:47.120]  but it looks like that's what got this place in trouble.
[15:47.120 --> 15:51.100]  So if your dispensary is selling, is letting a customer shop,
[15:51.340 --> 15:54.740]  drive to another dispensary and then come back to your store or visit within the
[15:54.740 --> 15:57.820]  same day, you were breaking the rules. You're going to get in trouble.
[15:57.980 --> 15:59.340]  Check with your compliance officer,
[15:59.360 --> 16:02.060]  check with your management and see if this is a practice that should not be
[16:02.080 --> 16:06.080]  happening in your store. And if it is, you may want to consider cutting that off.
[16:06.780 --> 16:09.780]  I've seen it done. I'm not going to call out any dispensaries that have done it.
[16:10.420 --> 16:13.540]  But there are several recreational dispensaries that will allow you to come
[16:13.540 --> 16:17.000]  back multiple times in the day. And we're not going to do that anymore.
[16:17.000 --> 16:20.280]  You guys stop that one visit per day. Otherwise it looks sketchy.
[16:20.400 --> 16:23.200]  There are rules in place. These people are getting trouble for breaking them.
[16:23.480 --> 16:25.440]  So you're allowed to buy one ounce per person per day.
[16:25.680 --> 16:30.680]  And now the criminal activities allege that these folks were violating that rule.
[16:31.440 --> 16:35.120]  The Denver police department of excise and license in concert with the police
[16:35.200 --> 16:39.720]  action suspended 26 licenses for medical retail cultivation and extraction
[16:39.720 --> 16:42.300]  operations. They conduct business as sweet leave,
[16:42.300 --> 16:46.140]  said Dan Roland spokesman for the excise and license department.
[16:46.540 --> 16:50.700]  The suspension order stated reasonable grounds and probable cause exists to
[16:50.700 --> 16:54.500]  believe that respondents have engaged in deliberate and willful violations of
[16:54.500 --> 16:57.580]  state and local laws or regulations and, and,
[16:57.580 --> 17:02.100]  or that the public health safety and welfare requires emergency action.
[17:02.620 --> 17:04.380]  At this point in the articles, I'm scrolling through,
[17:04.380 --> 17:07.620]  there's a picture of the door at sweet leaf with a nice little handwritten note
[17:07.640 --> 17:11.880]  that says, sorry, we are closed. And then a very well printed letter from,
[17:11.920 --> 17:13.160]  it's hard to read because it's kind of small.
[17:13.160 --> 17:17.400]  It says city and County of Denver department of excise and taxes with the big
[17:17.400 --> 17:20.520]  Denver official logo notice of suspension and bright red.
[17:21.360 --> 17:22.800]  And then the following text is in black.
[17:22.800 --> 17:26.760]  It says medical and or retail marijuana licenses for these premises have been
[17:26.760 --> 17:31.120]  suspended by order of the Denver department of excise and licenses for alleged
[17:31.120 --> 17:34.920]  Colorado or for alleged violations of Colorado law.
[17:34.940 --> 17:38.260]  And that is prominently displayed on the front door at sweet leaf dispensary.
[17:38.260 --> 17:42.460]  And it is the location at 2609 Walnut street is where this photo came from.
[17:43.020 --> 17:45.140]  A shout out to Alex who took the photo. Sorry,
[17:45.140 --> 17:47.900]  I cannot pronounce your last name, but I'll give you some credit. Cool photo.
[17:47.940 --> 17:50.260]  That's going to be legendary. Good shot, Alex.
[17:51.580 --> 17:54.500]  So the article goes on to say like this, all sweet leaf stores in Colorado,
[17:54.500 --> 17:57.300]  10 in Denver and one in Aurora were closed. Thursday.
[17:57.840 --> 18:00.780]  Names of the 12 people arrested were not immediately released.
[18:00.820 --> 18:03.220]  They were being booked into the downtown detention center.
[18:03.640 --> 18:07.120]  Police said the operation was conducted after a criminal investigation into the
[18:07.120 --> 18:10.040]  illegal distribution of marijuana at eight locations.
[18:10.440 --> 18:14.120]  The alleged criminal violations were related to the sale of marijuana in excess
[18:14.140 --> 18:17.920]  of allowable amounts established by amendment 60, 64,
[18:18.200 --> 18:20.160]  which allows for the personal use of marijuana.
[18:20.160 --> 18:23.520]  According to police department news release,
[18:23.860 --> 18:26.040]  no other marijuana businesses were included in the rates.
[18:26.040 --> 18:29.760]  The police said sweet leaf representative said in an emailed statement that they
[18:29.760 --> 18:31.600]  were surprised by police raids.
[18:31.780 --> 18:35.620]  It is unclear at this point exactly what actions if any sweet leaf took to cause
[18:35.980 --> 18:38.260]  the city to issue this order. The statement said,
[18:38.380 --> 18:41.940]  sweet leaf is cooperating with the authorities to resolve this issue and hopes to
[18:41.960 --> 18:45.580]  have all of their stores back in operation as soon as possible.
[18:45.860 --> 18:49.780]  It was not immediately clear to what extent sweet leaves facilities were affected
[18:49.780 --> 18:53.700]  beyond Denver and Aurora. Although the Aurora store was a rated,
[18:53.860 --> 18:57.040]  was rated and no one answered the location's phone on Thursday.
[18:57.040 --> 19:01.100]  The city has not suspended sweet leafs business license for its east sixth
[19:01.100 --> 19:04.440]  Avenue store said Julie Patterson and Aurora sports spokeswoman.
[19:04.920 --> 19:08.840]  We are waiting to receive more information from police investigators to determine
[19:09.080 --> 19:11.080]  whether we need to take any action. Oh man.
[19:11.400 --> 19:15.040]  Imagine being an employee at that store. You're just a sitting duck,
[19:15.040 --> 19:18.440]  shaking all day. Like, fuck, are they coming? Are they coming? Are they coming?
[19:18.440 --> 19:20.880]  I bet some people are not going to work tomorrow. They're like, yeah,
[19:20.880 --> 19:24.120]  we might be open, but I'm not showing the fuck up for my shift.
[19:24.440 --> 19:27.320]  I wouldn't go to work tomorrow. Fuck that. No,
[19:27.320 --> 19:30.840]  I'm done with like worrying about police raids and shit and worrying about cops
[19:30.840 --> 19:34.920]  and someone kicking in the door, going to jail, doing shit legit.
[19:34.940 --> 19:38.660]  I work for a legitimate company that doesn't do stuff like this. Uh,
[19:38.880 --> 19:41.900]  I would not fucking show up for work tomorrow if I worked at the, uh,
[19:42.220 --> 19:44.620]  east sixth Avenue location. Fuck that.
[19:44.620 --> 19:46.980]  I would be taking a sick day like a motherfucker.
[19:48.020 --> 19:49.660]  You can already tell my throat sounds like shit.
[19:49.680 --> 19:52.260]  I would not be at work tomorrow if this was me. All right,
[19:52.260 --> 19:53.340]  now let's continue with the article.
[19:53.340 --> 19:56.300]  It says sweet leaves dispensary in Portland, Oregon remained open.
[19:56.500 --> 19:59.780]  A person who answered the store's phone said the employee said store officials
