[00:03.840 --> 00:31.220]  Welcome back, podcast world!
[03:33.450 --> 03:34.690]  that just eats up odor.
[03:34.690 --> 03:38.890]  It doesn't put out an odor, but it eats up the odors in the room.
[03:38.890 --> 03:39.890]  You open the jar.
[03:39.890 --> 03:43.490]  I used to just set a jar of it behind a house plant or behind a picture.
[03:43.490 --> 03:46.210]  You got a picture of your daughter up on the coffee table or up on the end table.
[03:46.210 --> 03:50.010]  You just stick one of these Ona jars opened right behind it, and that just starts sucking
[03:50.010 --> 03:51.890]  up all the odor out of the room.
[03:51.890 --> 03:55.730]  Put those by the doors and the entryways of your house where people may come in, and
[03:55.730 --> 03:57.770]  that way you're sucking up that odor.
[03:57.770 --> 04:04.250]  And then also, if you can't do the Ona gels, maybe do something stronger to cover the smell.
[04:04.250 --> 04:05.250]  It's going to be hard.
[04:05.250 --> 04:09.130]  If you're spraying lilac air freshener, you're going to smell lilac and weed.
[04:09.130 --> 04:12.930]  The Ona gels are going to be your best bet, something to neutralize the odor would be
[04:12.930 --> 04:14.810]  your best bet.
[04:14.810 --> 04:18.570]  Another good idea, if you can afford it, would be a carbon scrubber.
[04:18.570 --> 04:22.550]  Most of us have a carbon filter that blows air out of the grow room.
[04:22.550 --> 04:25.850]  Keep that running because that's going to keep filtering the air and make it smell good,
[04:25.850 --> 04:31.850]  but also get a carbon filter with a blower on top of it and just plug it in and let that
[04:31.850 --> 04:33.410]  air run through the carbon filter.
[04:33.410 --> 04:37.130]  And now you're just sucking stink out of the air, cleaning up that environment.
[04:37.130 --> 04:38.130]  So be prepared.
[04:38.130 --> 04:39.130]  It's going to stink.
[04:39.130 --> 04:40.410]  That is something we need to start with.
[04:40.410 --> 04:42.570]  It will be stinky.
[04:42.570 --> 04:46.570]  Now before we even start chopping down, there's a few more things to talk about.
[04:46.570 --> 04:49.730]  Where are all of these plants going to go once you cut them down?
[04:49.730 --> 04:52.890]  Let's plan this before we even get to harvest time.
[04:52.890 --> 04:56.850]  Are you going to use those circular racks that they sell at the grow store, the multi-tiered
[04:56.850 --> 04:58.130]  circle racks?
[04:58.130 --> 05:01.290]  Are you going to be able to make a line somewhere with string and hang them?
[05:01.290 --> 05:02.790]  That's what I prefer.
[05:02.790 --> 05:07.010]  Do you have a space that you're going to be able to control the temperature and the humidity
[05:07.010 --> 05:11.490]  and hopefully keep the aroma under control and hopefully keep light out and also keep
[05:11.490 --> 05:13.070]  people away?
[05:13.070 --> 05:17.110]  Start thinking about that around week six or seven, guys.
[05:17.110 --> 05:21.190]  Let's not wait until week nine to start figuring out where these plants are going.
[05:21.190 --> 05:22.190]  Start thinking about that early.
[05:22.190 --> 05:26.270]  So you need a place for them to hang that you can control the temperature, a place you
[05:26.270 --> 05:30.790]  can control the humidity and a place you can keep people out of there.
[05:30.790 --> 05:33.390]  And also you're going to have to control that aroma.
[05:33.390 --> 05:35.630]  So have a place prepared.
[05:35.630 --> 05:39.810]  And keep in mind that if you're going to dry your buds, if these buds hang in your dingy
[05:39.810 --> 05:44.610]  funky basement, they're going to taste like funky dingy basement.
[05:44.610 --> 05:48.010]  You've tasted that smell on buds before and you probably didn't realize why does this
[05:48.010 --> 05:49.650]  taste like the damn basement?
[05:49.650 --> 05:50.650]  You know why?
[05:50.650 --> 05:55.530]  Because it was dried and cured and hung for seven days in somebody's funky, damp, dirty
[05:55.530 --> 05:56.610]  fucking basement.
[05:56.610 --> 05:57.610]  That's exactly why.
[05:57.610 --> 06:02.890]  So have some air exchange, have some temperature control and have a good environment, you guys.
[06:02.890 --> 06:04.450]  Create a good environment for your plants.
[06:04.450 --> 06:06.070]  You've gotten them this far.
[06:06.070 --> 06:07.590]  Let's not ruin them.
[06:07.590 --> 06:12.370]  If you're growing in a grow hut and you don't have another crop coming up right behind it,
[06:12.370 --> 06:15.030]  why not just use that grow hut as your drying space?
[06:15.030 --> 06:16.790]  That would not be a bad idea.
[06:16.790 --> 06:18.850]  You're controlling that environment already anyway.
[06:18.850 --> 06:21.190]  So that is always an option.
[06:21.190 --> 06:22.470]  Create a good environment, you guys.
[06:22.470 --> 06:24.590]  And we'll talk more about the space in a minute.
[06:24.590 --> 06:26.310]  You can just use the grow room if you need to.
[06:26.310 --> 06:29.730]  If you don't have another crop coming up, just use your flower room or move the plants
[06:29.730 --> 06:31.530]  into flower, use the bedroom.
[06:31.530 --> 06:33.070]  That's always an option, but we'll get back to that.
[06:33.070 --> 06:34.190]  Don't worry, you guys.
[06:34.190 --> 06:38.950]  Let's talk more about the things we need to prepare for before harvest time comes.
[06:38.950 --> 06:41.070]  You're going to need a few tools.
[06:41.070 --> 06:43.870]  I highly recommend gloves.
[06:43.870 --> 06:46.590]  The black or the blue thin nitrile gloves.
[06:46.590 --> 06:47.590]  They don't have to be super thick.
[06:47.590 --> 06:49.510]  You're just trying to not get sticky.
[06:49.510 --> 06:53.550]  You guys, when you're trimming weed and when you're harvesting and handling this amount
[06:53.550 --> 06:55.430]  of weed, you're going to get sticky.
[06:55.430 --> 06:56.950]  You might want to wear long sleeves.
[06:56.950 --> 06:59.870]  You might want to wear just a long sleeve over shirt that you could take off when you're
[06:59.870 --> 07:00.870]  done.
[07:00.870 --> 07:01.950]  You're going to get sticky.
[07:01.950 --> 07:03.670]  You are going to stink.
[07:03.670 --> 07:06.790]  Some people have an allergy to cannabis.
[07:06.790 --> 07:10.030]  I've got a friend, if she rubs up against a blue dream plant, she's going to break out
[07:10.030 --> 07:11.910]  into a giant rash.
[07:11.910 --> 07:13.070]  Maybe cover yourself up.
[07:13.070 --> 07:14.790]  Certainly wear gloves.
[07:14.790 --> 07:22.430]  Also, if your eye itches, do never rub your eye with a trichome-laden finger.
[07:22.430 --> 07:26.030]  If your eye itches and you're trimming weed, take off your gloves and then itch your eye
[07:26.030 --> 07:28.390]  with a clean hand.
[07:28.390 --> 07:31.670]  If you've been trimming and not wearing gloves, go wash your hands before you itch your eye
[07:31.670 --> 07:37.030]  or scratch your eye because if you get resin in your eye, it is one of the most painful
[07:37.030 --> 07:39.950]  experiences you will ever endure.
[07:39.950 --> 07:41.510]  It hurts and it won't stop.
[07:41.510 --> 07:43.310]  I don't know what makes it stop.
[07:43.310 --> 07:47.190]  It just burns and burns and burns and it's sticky and when you blink, you expect it to
[07:47.190 --> 07:49.790]  feel better, but it's just stickier.
[07:49.790 --> 07:51.750]  It's so fucking miserable.
[07:51.750 --> 07:55.490]  Gloves, a long sleeve shirt.
[07:55.490 --> 07:57.590]  You're also going to need some scissors.
[07:57.590 --> 08:00.110]  I recommend quality scissors.
[08:00.110 --> 08:02.830]  You can buy some cheap, shitty scissors, but they're going to break.
[08:02.830 --> 08:06.830]  I also recommend using a different pair of scissors for cutting down the plants than
[08:06.830 --> 08:08.850]  you use for trimming the plants.
[08:08.850 --> 08:11.470]  When you're trimming, you're getting in there and getting the fine details.
[08:11.470 --> 08:15.070]  When you're cutting them down, you're using brute force and cutting down tough plants.
[08:15.070 --> 08:18.410]  You may need some thicker pruners.
[08:18.410 --> 08:20.990]  You may need some choppers to cut down a big plant.
[08:20.990 --> 08:24.230]  I don't know how big your stock is, but you want to be able to get in there and cut it
[08:24.230 --> 08:27.990]  down easily without hurting your wrist, without breaking your scissors.
[08:27.990 --> 08:33.230]  I like something that has got a metal solid piece to it for cutting them down.
[08:33.230 --> 08:35.630]  Not the plastic scissors for cutting them down, metal.
[08:35.630 --> 08:38.550]  Two solid pieces of metal from the handle to the blade.
[08:38.550 --> 08:43.550]  Then also for trimming, that's when I like the little fiskers, the diamond tips or something
[08:43.550 --> 08:45.190]  similar to that.
[08:45.190 --> 08:47.070]  Something to cut down the plants with.
[08:47.070 --> 08:50.950]  Scissors, shears, whatever you're going to use, be prepared.
[08:50.950 --> 08:55.670]  If you're going to have more than one person doing the chopping down, get more than one
[08:55.670 --> 08:57.150]  fucking pair of shears.
[08:57.150 --> 09:00.550]  There's nothing more frustrating than watching people stand around and not able to do work
[09:00.550 --> 09:03.310]  because you don't have enough scissors or you don't have the right tools.
[09:03.310 --> 09:06.910]  If you're going to have a group of people doing it, get a group of shears.
[09:06.910 --> 09:08.910]  I know most of you guys probably have a small garden.
[09:08.910 --> 09:13.310]  It's probably one or two of you and you don't need giant bolt cutter style shears or giant
[09:13.310 --> 09:16.910]  fiskers shears or anything, but I've been in that situation before where I'm watching
[09:16.910 --> 09:21.390]  five guys wait for work because it's just me with a set of shears chopping down every
[09:21.390 --> 09:22.390]  plant.
[09:22.390 --> 09:24.550]  So, have enough shears, have enough gloves.
[09:24.550 --> 09:26.590]  Maybe get a few different sizes of gloves.
[09:26.590 --> 09:29.350]  If you're going to go buy a box of gloves, buy two, maybe three.
[09:29.350 --> 09:32.870]  Get small, medium, and larges or maybe small, large, and extra large.
[09:32.870 --> 09:35.790]  It depends on who's coming over to help you out, but if you're going to have people helping,
[09:35.790 --> 09:39.870]  if they're going to be harvesting and trimming with you, maybe you want a few different size
[09:39.870 --> 09:40.870]  gloves.
[09:40.870 --> 09:42.630]  Here's something I should mention.
[09:42.630 --> 09:46.070]  If you have applied any pesticides to your cannabis plants and you're going to cut them
[09:46.070 --> 09:49.790]  down and have other people work with them, maybe you should politely let those people
[09:49.790 --> 09:53.710]  know what pesticides were applied to your plants so that they can wear long sleeves,
[09:53.710 --> 09:58.470]  they can wear a mask, they can dress appropriately based on their decisions, based on what pesticides
[09:58.470 --> 09:59.550]  you have applied.
[09:59.550 --> 10:00.950]  Some things don't bother me.
[10:00.950 --> 10:05.310]  Some things I would want to put on some long sleeves for and not get that on my arms.
[10:05.310 --> 10:07.310]  Just personal preferences, safety.
[10:07.310 --> 10:08.590]  It's always polite anyway.
[10:08.590 --> 10:13.230]  So the next thing we should talk about is how are we going to hang these plants?
[10:13.230 --> 10:16.390]  Because the next thing you got to buy is something to hang them on.
[10:16.390 --> 10:17.390]  Are you going to use...
[10:17.390 --> 10:20.230]  So the growth store sells this really nice hanger.
[10:20.230 --> 10:23.990]  It's about three feet around and it hangs in the middle and then it's got four or five
[10:23.990 --> 10:26.790]  shelves on it that you can just fill with buds.
[10:26.790 --> 10:30.070]  That's acceptable if you want to cut your buds into small pieces or your branches into
[10:30.070 --> 10:32.470]  small pieces and hang it on there.
[10:32.470 --> 10:35.910]  That's just fine, but that's not the way I would prefer to do it.
[10:35.910 --> 10:39.630]  I prefer to hang the branches so that the buds aren't touching anything so that they
[10:39.630 --> 10:43.790]  don't get a flat spot so that there's not a spot where air can't flow around it.
[10:43.790 --> 10:45.710]  I just prefer to hang them.
[10:45.710 --> 10:47.910]  So in Colorado, we're allowed to grow six plants.
[10:47.910 --> 10:49.790]  Let's say we've got a six plant harvest.
[10:49.790 --> 10:53.870]  I would get six coat hangers or clothes hangers and then I would get some fishing line or
[10:53.870 --> 10:58.510]  some thick hemp twine and I would anchor that to two opposite ends of the room.
[10:58.510 --> 11:01.430]  So I've just got a nice piece of string hanging across the room.
[11:01.430 --> 11:05.950]  Now you can hang the plants on that string if you want to, but if you're using multiple
[11:05.950 --> 11:11.390]  strains maybe you've got six different plants, maybe you've got giant plants, that's when
[11:11.390 --> 11:15.230]  you can cut the plant into smaller pieces and put it on the coat hanger and you can
[11:15.230 --> 11:19.150]  label the coat hanger, this is all sour tangy, this one is all black cherry.
[11:19.510 --> 11:22.550]  That way you don't have one long line of buds that get confused.
[11:22.550 --> 11:24.590]  Also it makes more space.
[11:24.590 --> 11:27.430]  Another thing you're going to need is some sort of labels.
[11:27.430 --> 11:29.310]  You might want to get just some white duct tape.
[11:29.310 --> 11:32.510]  You can always just peel off a piece of duct tape, write on that, stick it wherever you
[11:32.510 --> 11:36.790]  want it or you can get some real labels or you can improvise however you need to, but
[11:36.790 --> 11:40.030]  you're going to want labels if you've got more than one strain.
[11:40.030 --> 11:43.090]  There's nothing worse than getting shit confused right at the end.
[11:43.090 --> 11:44.470]  That's really frustrating.
[11:44.470 --> 11:48.330]  So you've got some way to control the odor.
[11:48.330 --> 11:53.290]  You've got a place thought of and prepared where you can control the temperature, the
[11:53.290 --> 11:57.890]  humidity, the lights, the airflow, the aroma, and the security.
[11:57.890 --> 12:00.550]  You've got that all prepared and you've got the proper tools.
[12:00.550 --> 12:01.650]  You've got gloves.
[12:01.650 --> 12:03.450]  You've got something to cut it down with.
[12:03.450 --> 12:05.490]  You've got something to hang it on.
[12:05.490 --> 12:08.330]  Now let's talk about the room just a little bit.
[12:08.330 --> 12:14.410]  You're going to need, I would recommend, a humidifier and a dehumidifier and also some
[12:14.410 --> 12:17.370]  sort of exhaust fan to get the stale air out of the room.
[12:17.410 --> 12:20.930]  If it's a small space, you can probably just crack the door open, but if you've got a lot
[12:20.930 --> 12:23.050]  of plants in there, you're going to need to exchange some air.
[12:23.050 --> 12:27.170]  You're going to need to get that humid air out of there or the plants will never dry.
[12:27.170 --> 12:29.250]  They'll just get stagnant and funky.
[12:29.250 --> 12:32.190]  Also I may recommend a small fan.
[12:32.190 --> 12:36.250]  You don't want air blowing directly onto the buds, but you want to move that air around.
[12:36.250 --> 12:38.510]  You just don't want it stagnant and funky in there.
[12:38.510 --> 12:40.850]  You really want to be able to control the climate.
[12:40.850 --> 12:44.210]  Also you're going to need something to tell you what's going on in there.
[12:44.210 --> 12:49.610]  A thermometer, a hygrometer, perhaps a PL grow unit.
[12:49.610 --> 12:53.410]  You want something in there so you know what the temperature is and what the humidity is
[12:53.410 --> 12:56.010]  so you can adjust accordingly.
[12:56.010 --> 13:00.190]  Now it feels like we've talked a lot about what to buy and how to prepare, so let's talk
[13:00.190 --> 13:04.170]  a little bit about the settings in the room since we're talking about all this equipment.
[13:04.170 --> 13:09.650]  I like to put a humidifier and a dehumidifier in the room and I set them both at 50%.
[13:09.650 --> 13:13.250]  That way I know that that room is staying right around 50%.
[13:13.290 --> 13:17.810]  If you can set them up to something like a PL grow unit or if you can set them up to
[13:17.810 --> 13:22.370]  something that will trigger them to go off and on based on certain parameters, put them
[13:22.370 --> 13:24.090]  both at 50%.
[13:24.090 --> 13:29.850]  Have the dehumidifier work to 50%, have that humidifier work to 50% and keep that room
[13:29.850 --> 13:34.250]  at 50% humidity as consistently as possible.
[13:34.250 --> 13:37.850]  Now it may be a good idea to have some sort of exhaust fan in the room.
[13:37.850 --> 13:40.630]  Nothing major, just maybe a little four inch exhaustor.
[13:40.630 --> 13:44.330]  If you can do it, if you can just suck the air out of that room occasionally, that would
[13:44.330 --> 13:45.330]  help you out.
[13:45.330 --> 13:47.810]  That would get that old stagnant funky air out of there.
[13:47.810 --> 13:52.670]  If that is not an option, open the door, put a fan by the door, just make sure that air
[13:52.670 --> 13:56.350]  exchanges occasionally so you don't get old air in there.
[13:56.350 --> 14:01.030]  Now inside this room where you've got your dehumidifier, your humidifier and some air
[14:01.030 --> 14:05.830]  exhaust, try to keep it somewhere around 70 degrees in that room.
[14:05.830 --> 14:08.550]  65 to 75 degrees will be ideal.
[14:08.550 --> 14:10.630]  If it gets any hotter, you're going to speed up the drying.
[14:10.630 --> 14:13.350]  It's also going to get funky, it's going to increase humidity.
[14:13.350 --> 14:19.190]  Any cooler, the room will start getting too dry and your buds will get crispy too quickly.
[14:19.190 --> 14:21.990]  So you've got your temperature, you've got your humidity under control, you've got some
[14:21.990 --> 14:23.110]  air exchange.
[14:23.110 --> 14:28.270]  Let's put a small fan in the room, perhaps on the floor just to keep the air moving around
[14:28.270 --> 14:29.630]  or up high in the room.
[14:29.630 --> 14:33.110]  You don't want it right in the middle blowing on the plants too much.
[14:33.110 --> 14:36.870]  That's going to create a dry spot and just dry out some of those buds too quickly.
[14:36.870 --> 14:39.550]  We just want to move the air around so it doesn't get stale.
[14:39.550 --> 14:43.350]  I usually get one of those fans that would sit on your computer desk, just a desk fan.
[14:43.350 --> 14:45.870]  It's a little tiny, like a 12 or 14 inch fan.
[14:45.870 --> 14:47.150]  Put that in the corner on the floor.
[14:47.150 --> 14:48.870]  If you've got a small room, that is plenty.
[14:48.870 --> 14:50.190]  Just move the air around.
[14:50.190 --> 14:55.030]  All right, so that sounds like we've got a pretty good idea of a dry and cure space.
[14:55.030 --> 15:00.110]  Basically a small room or a grow tent that you can control the environment in and you
[15:00.110 --> 15:03.910]  can hang those plants in safely, securely and in the dark.
[15:03.910 --> 15:06.470]  If you need to use a small closet, you can do that.
[15:06.470 --> 15:10.630]  Just make sure that door gets opened and those buds don't get stale in there.
[15:10.630 --> 15:14.470]  Also, like I mentioned earlier, if you don't have sufficient drying space, go ahead and
[15:14.470 --> 15:17.310]  use the flowering room that you flowered the buds in.
[15:17.310 --> 15:21.390]  Or maybe move your next round of plants from the bedroom into that flower and use your
[15:21.390 --> 15:22.390]  bedroom.
[15:22.390 --> 15:25.430]  Grow tents always make nice dry and cure areas.
[15:25.430 --> 15:29.790]  If you're growing in a five by five tent, you could easily dry your whole harvest in
[15:29.790 --> 15:32.030]  maybe a three by three tent.
[15:32.030 --> 15:33.350]  That wouldn't be a problem at all.
[15:33.350 --> 15:36.710]  You don't need that much room to dry your harvest.
[15:36.710 --> 15:37.710]  Well, hopefully you do.
[15:37.710 --> 15:40.950]  Shit, hopefully you need a 10 by 10, but that's not going to be logical.
[15:40.950 --> 15:42.790]  All right, now we know what to buy.
[15:42.790 --> 15:44.550]  We know what supplies we're going to need.
[15:44.550 --> 15:47.430]  We've got a safe space set up for our plants.
[15:47.430 --> 15:50.910]  Hopefully you've been flushing your plants for 10 to 14 days.
[15:50.910 --> 15:53.990]  There's one more thing we should do before we get to chopping these plants.
[15:53.990 --> 15:58.070]  While they are still standing up, we should go and take off all of the big leaves.
[15:58.070 --> 16:01.710]  Any leaf that you can break off with your hand now, just go ahead and take it off.
[16:01.710 --> 16:03.430]  The plants don't need leaves.
[16:03.430 --> 16:04.670]  You're about to harvest them.
[16:04.670 --> 16:07.950]  You can do this seven, five, three days before harvest.
[16:07.950 --> 16:10.230]  You could do it right up before the moment you harvest.
[16:10.230 --> 16:12.470]  Just start taking off all those big leaves.
[16:12.470 --> 16:13.470]  Those leaves are unnecessary.
[16:13.470 --> 16:16.270]  I like to just go in and throw them right on the floor.
[16:16.270 --> 16:18.750]  Just start tearing leaves off, throw them right on the floor and sweep up when you're
[16:18.750 --> 16:20.870]  done because there's going to be a lot of them.
[16:20.870 --> 16:23.030]  Just tear off all of the leaves you can get.
[16:23.030 --> 16:24.070]  You don't need those.
[16:24.070 --> 16:27.430]  This is going to save you time when it comes harvest time.
[16:27.430 --> 16:30.030]  We're going to cut these plants down and let them dry.
[16:30.030 --> 16:34.190]  All those long leaves are just going to dry on there and be in the way and smell funky
[16:34.190 --> 16:37.230]  and they're a sticky bitch to work through once they dry.
[16:37.230 --> 16:38.670]  They're much easier to get off now.
[16:38.670 --> 16:40.830]  So just snap them right off of there.
[16:40.830 --> 16:45.550]  De-leaf this shit out of the entire room before you cut down any of the plants.
[16:45.550 --> 16:50.430]  Once they are all pre-defoliated, that's what I call it, the pre-harvest defoliation, then
[16:50.430 --> 16:53.630]  it is time to start chopping down these plants.
[16:53.630 --> 16:58.670]  Now I don't know how big your plants are, but this is basically how I chop down a plant.
[16:58.670 --> 17:01.310]  I kneel down or if it's on a table, whatever, I walk to it.
[17:01.310 --> 17:05.390]  I usually kneel down to one knee and I grab the plant right above where I'm going to cut.
[17:05.390 --> 17:07.950]  So I've got the stock just a couple inches above the dirt.
[17:07.950 --> 17:12.030]  I get my loppers or whatever you want to call them, your pruners, your shears, and get in
[17:12.030 --> 17:15.550]  there and cut right above the dirt, right below my hand, chop.
[17:15.550 --> 17:16.630]  And now it's going to fall over.
[17:16.630 --> 17:17.870]  It's going to timber on me.
[17:17.870 --> 17:19.710]  If I got a little plant, no problem.
[17:19.710 --> 17:22.110]  If I'm in a three or five gallon pot, I got this by myself.
[17:22.110 --> 17:25.070]  If I've got a bigger plant, I will ask somebody to help me.
[17:25.070 --> 17:27.910]  Hey dude, hold the top of this because when I cut it, it's going to fucking timber down
[17:27.910 --> 17:28.910]  on us.
[17:28.910 --> 17:32.790]  So I would get in there and cut it right at the base.
[17:32.790 --> 17:38.430]  If you have got maybe a tomato cage or some trellising or something like that, maybe figure
[17:38.430 --> 17:41.470]  out how to get the plant out of there by cutting from the top down.
[17:41.470 --> 17:45.910]  I like to cut the whole plant out in one piece and hang the whole thing upside down and let
[17:45.910 --> 17:48.390]  it all dry in one piece.
[17:48.390 --> 17:49.930]  That's the way I like to do it.
[17:49.930 --> 17:54.310]  If you put the plant in a screen of green or a tomato cage, you may have to start at
[17:54.310 --> 17:57.470]  the top and cut out individual branches.
[17:57.470 --> 17:58.970]  That is just fine.
[17:58.970 --> 18:04.190]  Make sure that you keep each branch of each strain together so that you don't mix anything
[18:04.190 --> 18:05.190]  up.
[18:05.190 --> 18:07.170]  I mentioned earlier how frustrating that shit is.
[18:07.170 --> 18:08.790]  Don't mix stuff up.
[18:08.790 --> 18:12.910]  So separate your plant, free your plant from its tomato cage, free the plant from the trellis
[18:12.910 --> 18:16.030]  however you need to, then chop it down.
[18:16.030 --> 18:20.110]  Now if you've got the whole plant chopped down in one piece, just get a ... I get a
[18:20.110 --> 18:21.650]  fuzzy stick is what they're called.
[18:21.650 --> 18:25.950]  They sell them at Hobby Lobby or you can use the twisty ties that come with your trash
[18:25.950 --> 18:28.610]  bags because I never use the twisty ties in the trash bags anyway.
[18:28.610 --> 18:30.270]  They always end up for this purpose.
[18:30.270 --> 18:32.750]  Wrap the twisty tie around the base of the plant.
[18:32.750 --> 18:34.110]  Do it securely.
[18:34.110 --> 18:38.710]  Put a branch in there because it may slide off and then tie that to either your coat
[18:38.710 --> 18:41.470]  hanger or the line that you're going to hang it from.
[18:41.470 --> 18:45.030]  If you've got the line hanging across the room, attach it to that securely.
[18:45.030 --> 18:48.430]  Hang it on there in a way that you know it's not going to fall.
[18:48.430 --> 18:54.150]  If you've got to cut it down into branches, try to cut to where you create little V-shaped
[18:54.150 --> 18:55.150]  intersections.
[18:55.350 --> 18:58.710]  If you lay the plant upside down, you'll see the little wishbone shaped intersections that
[18:58.710 --> 19:03.790]  you can use perfectly to hang your branches on your coat hanger or on your line.
[19:03.790 --> 19:08.590]  Cut the plant, flip it upside down and just hang it in the size of sections that you need
[19:08.590 --> 19:09.590]  to.
[19:09.590 --> 19:10.590]  Here's some advice.
[19:10.590 --> 19:14.910]  If you have to cut your plant down into smaller sections to make it fit, make the sections
[19:14.910 --> 19:16.990]  similar sizes.
[19:16.990 --> 19:19.310]  That way they dry at similar speeds.
[19:19.310 --> 19:22.790]  If you've got one big piece and one little piece, that big piece is going to take longer
[19:22.790 --> 19:23.790]  to dry than the little piece.
[19:23.790 --> 19:27.590]  It's going to cause unevenness and you're going to be confused on what to do.
[19:27.590 --> 19:28.590]  Chop everything.
[19:28.590 --> 19:31.030]  If you're going to chop it, let it all hang in one big piece if you're going to let it
[19:31.030 --> 19:33.430]  hang in one big piece.
[19:33.430 --> 19:35.950]  Cut the plant at the base or pull out the branches.
[19:35.950 --> 19:40.110]  Hang them on the coat hanger either by using the twisty ties and securing it to the coat
[19:40.110 --> 19:44.790]  hanger there or just by using the V-shaped intersections and hanging it like a little
[19:44.790 --> 19:47.030]  hook on the V-shaped intersection.
[19:47.030 --> 19:50.310]  Just get everything hanging safely in your dry and cure room.
[19:50.310 --> 19:52.670]  Chop everything down and just go hang it all up.
[19:52.750 --> 19:55.310]  You're going to be super excited now.
[19:55.310 --> 19:58.310]  You're going to want to go post to all your social media about how you just took down
[19:58.310 --> 20:01.350]  your first harvest, but do not do that.
[20:01.350 --> 20:03.310]  Here is some old school advice.
[20:03.310 --> 20:07.910]  Don't post any pictures or talk about your harvest until it's gone.
[20:07.910 --> 20:12.510]  If it's going out for retail, if it's going into your jar, into your safe, that's when
[20:12.510 --> 20:13.950]  you talk about it.
[20:13.950 --> 20:16.650]  Don't talk about it while that shit is hanging in a room.
[20:16.650 --> 20:18.630]  Don't talk about it while you're trimming it.
