[00:00.000 --> 00:01.000]  Here we go.
[05:54.560 --> 05:58.400]  I think you've chosen the right size pot for the length of which you were growing that
[05:58.400 --> 05:59.400]  plant.
[05:59.400 --> 06:03.600]  But what is happening is some of your roots are so happy and so excited that they're just
[06:03.600 --> 06:05.400]  outgrowing their space.
[06:05.400 --> 06:08.320]  They want to see what's on the other side of that wall.
[06:08.320 --> 06:10.760]  And that wall is just a little thin fabric line.
[06:10.760 --> 06:12.840]  So they were able to wiggle their way right through there.
[06:12.840 --> 06:15.520]  And now the roots are simply on the other side.
[06:15.520 --> 06:19.040]  Now the roots that I saw sticking out of the bottom of the pot were at the very bottom
[06:19.040 --> 06:23.960]  corner of the pot, where I would assume when you water that plant, a little bit of water
[06:23.960 --> 06:25.640]  stands in that area.
[06:25.640 --> 06:27.700]  You get some runoff out of the bottom of the pot.
[06:27.700 --> 06:31.320]  You probably have an inch, maybe a half inch deep worth of water just chilling there for
[06:31.320 --> 06:35.320]  a short duration of time until you either suck it up with a shop vac or it drains somehow
[06:35.440 --> 06:37.440]  or maybe you just let it evaporate.
[06:37.440 --> 06:39.240]  Whatever works in your environment works.
[06:39.240 --> 06:44.120]  But I'm thinking that those nutrients, that little puddle of water, that moisture, and
[06:44.120 --> 06:45.560]  then that dries up.
[06:45.560 --> 06:47.760]  You've got that very thin boundary for the roots.
[06:47.760 --> 06:50.680]  The roots just say, hey, this is a really cool direction for us to go.
[06:50.680 --> 06:52.600]  And they just start going that way.
[06:52.600 --> 06:55.240]  From the pictures I saw, it looked like these plants are very healthy.
[06:55.240 --> 06:56.240]  They're very happy.
[06:56.240 --> 06:59.160]  And it looks like that grow room is very well taken care of.
[06:59.160 --> 07:03.080]  So I don't think you're going to see any problems because of that root growing out of the bottom
[07:03.080 --> 07:04.080]  of that pot.
[07:04.080 --> 07:07.680]  So that is actually a sign that you were doing a very good job.
[07:07.680 --> 07:11.960]  Now if you were still in veg and the pot was smaller and the plant were larger and we knew
[07:11.960 --> 07:16.240]  that you had much more time to go in that container, that could be a concern.
[07:16.240 --> 07:20.320]  But since you were as far along as you are and those roots are that size, I think you
[07:20.320 --> 07:22.600]  were timing it just perfectly.
[07:22.600 --> 07:27.560]  When you were growing cannabis, part of your goal is to select the appropriate size container
[07:27.560 --> 07:29.520]  to be completely efficient.
[07:29.520 --> 07:31.680]  Too small of a container, you'll get root bound.
[07:31.680 --> 07:33.520]  You'll have to water way too frequently.
[07:33.520 --> 07:34.520]  It becomes difficult.
[07:34.520 --> 07:37.720]  If you're running like a one gallon pot and your plant gets big, you may have to water
[07:37.720 --> 07:39.320]  multiple times a day.
[07:39.320 --> 07:42.000]  If you've got an auto watering system, that's awesome.
[07:42.000 --> 07:45.360]  If you're a home grower and you've got to water by hand and you've got multiple plants,
[07:45.360 --> 07:47.160]  that can be a pain in the ass.
[07:47.160 --> 07:50.680]  So selecting the appropriate size pot is very important.
[07:50.680 --> 07:54.080]  When you're growing in a home grow without an auto watering system and you're running
[07:54.080 --> 07:59.720]  in a soilless mix or even in cocoa, the idea is to choose the size of container to where
[07:59.720 --> 08:05.600]  when those plants are getting harvested, you want them to just achieve root bound status.
[08:05.600 --> 08:07.360]  You got to go, oh man, they're root bound now.
[08:07.360 --> 08:08.360]  Oh, it's okay.
[08:08.360 --> 08:09.360]  They're harvesting tomorrow.
[08:09.360 --> 08:10.600]  That's how you want that to time out.
[08:10.600 --> 08:15.200]  You want to fill that bottom container at the same time that the top part finishes.
[08:15.200 --> 08:19.080]  I feel like too many people overlook the importance of the root zone.
[08:19.080 --> 08:20.600]  The roots are where it all starts.
[08:20.600 --> 08:25.000]  Healthy roots, healthy fruits, fat roots, fat fruits, it all translates.
[08:25.000 --> 08:26.000]  It all makes sense.
[08:26.000 --> 08:27.800]  The root zone is where it's all happening.
[08:27.880 --> 08:31.760]  If you have a healthy active root zone that you're probably hopefully inoculating with
[08:31.760 --> 08:37.440]  some sort of beneficial funguses, some sort of root inoculant, that will help you reduce
[08:37.440 --> 08:40.680]  the risk of pathogens and pests.
[08:40.680 --> 08:45.440]  Those things want to go to weaker plants and healthy plants start at a healthy root zone
[08:45.440 --> 08:50.560]  that moves up through the plant and those plants don't get diseases and pests.
[08:50.560 --> 08:54.040]  And plants with a big fat healthy root system are much more forgiving.
[08:54.040 --> 08:58.120]  If you make a mistake as a grower and your plants have little shitty roots, they may
[08:58.120 --> 09:00.380]  die from a very simple mistake.
[09:00.380 --> 09:04.280]  If you've got plants with big fat lush healthy roots, you might be able to abuse them a little
[09:04.280 --> 09:09.400]  bit and they can still recover because they've got enough life source to survive.
[09:09.400 --> 09:11.960]  Now I do have a little bit of a follow up to this question.
[09:11.960 --> 09:16.840]  Somebody else said, are these mushrooms in my soilless mix a problem?
[09:16.840 --> 09:21.240]  Now I'm sure there are a lot of growers out there who have grown with sunshine mix number
[09:21.240 --> 09:27.800]  four or Fox Farms Ocean Forest, or maybe some of that 707 stuff or that roots organic stuff.
[09:27.800 --> 09:33.200]  And you have all seen those gold cap mushrooms pop up either on the top of the soil or they
[09:33.200 --> 09:35.840]  come out of the bottom of the pots where you got the little drainage holes.
[09:35.840 --> 09:39.080]  You just get a couple of smurfy looking mushrooms growing out of there.
[09:39.080 --> 09:42.640]  In my experience, those mushrooms usually pop up late in veg.
[09:42.640 --> 09:45.940]  It seems like they like the late veg environment.
[09:45.940 --> 09:48.540]  Something about the temperature, something about the humidity.
[09:48.540 --> 09:52.320]  Maybe it's something to do with the nutrients, but that is usually when I discover those
[09:52.320 --> 09:56.400]  little golden mushrooms popping up in the soilless mix.
[09:56.400 --> 10:00.180]  In my experience, those mushrooms have never been a problem.
[10:00.180 --> 10:05.300]  Those mushrooms have always appeared when my garden was at its peak optimal state.
[10:05.300 --> 10:08.820]  So if you were getting those mushrooms, you were probably doing something right.
[10:08.820 --> 10:11.660]  You have probably got a nice healthy root zone.
[10:11.660 --> 10:13.740]  You were probably watering properly.
[10:13.740 --> 10:15.220]  You're probably getting enough drainage.
[10:15.220 --> 10:17.120]  You've probably got enough oxygen.
[10:17.120 --> 10:19.440]  Your VPD is probably just right.
[10:19.440 --> 10:24.560]  I have always taken those golden mushrooms as a sign that I am doing a good job.
[10:24.560 --> 10:28.640]  I also like to let those mushrooms fall back into that soil and decompose.
[10:28.640 --> 10:31.600]  I feel like they give life back to that soil.
[10:31.600 --> 10:35.160]  And now that I'm watching that cycle happen in my head, that is probably where the mushrooms
[10:35.160 --> 10:36.160]  came from.
[10:36.160 --> 10:37.960]  There were probably just spores in that soil.
[10:37.960 --> 10:39.800]  We gave them the perfect environment.
[10:39.800 --> 10:42.160]  They decided to develop into mushrooms.
[10:42.160 --> 10:47.360]  And they are going to decompose and fall back into the soil and give our plants life.
[10:47.360 --> 10:52.600]  There is no competition between our cannabis plant and the mushroom that is growing on
[10:52.600 --> 10:53.600]  that soilless mix.
[10:53.600 --> 10:56.560]  They are using completely different things to survive.
[10:56.560 --> 10:59.600]  That mushroom will not cause any harm to your plant.
[10:59.600 --> 11:04.020]  In fact, that mushroom may actually help speed up the breakdown of some of the things that
[11:04.020 --> 11:09.080]  are in that soilless mix and make those elements more bioavailable to our plants.
[11:09.080 --> 11:14.240]  So they work sort of similarly to our little wiggler worm friends in a very different way.
[11:14.240 --> 11:18.840]  So if you've got those golden mushrooms, there is not a problem in your container.
[11:18.840 --> 11:20.040]  It is probably a good sign.
[11:20.040 --> 11:21.880]  It means that you are doing a good job.
[11:21.880 --> 11:25.160]  And those spores probably came free in your bag of soil.
[11:25.160 --> 11:26.680]  They're nothing to worry about.
[11:26.680 --> 11:29.200]  Let them keep growing until they fall over and die.
[11:29.200 --> 11:30.840]  Let them decompose.
[11:30.840 --> 11:33.440]  Then they will provide even more nutrition to your plants.
[11:33.440 --> 11:35.080]  While they're alive, they break down things.
[11:35.080 --> 11:39.040]  And once they die, they fall back into your soil, they decompose, and they continue the
[11:39.040 --> 11:40.280]  cycle of life.
[11:40.280 --> 11:43.760]  So if you've got some roots sticking out of the bottom, you're probably doing a good job.
[11:43.760 --> 11:47.040]  If you've got some golden mushrooms growing out of the top or growing out of your drainage
[11:47.040 --> 11:50.480]  holes, you are probably doing a good job with your soil.
[11:50.480 --> 11:51.480]  Keep it up.
[11:51.480 --> 11:54.180]  Now, here's another thing I should talk about while I'm on this subject.
[11:54.180 --> 11:55.220]  This was not on my notes.
[11:55.220 --> 11:58.760]  This is just something that popped into my head while I was ranting about this.
[11:58.760 --> 12:03.880]  A lot of people have begun making super soil or some sort of a living soil or a premix
[12:03.880 --> 12:07.720]  soil that doesn't require nutrients at every watering.
[12:07.720 --> 12:11.320]  Something that you just give it water and an occasional tea, and it keeps the plant
[12:11.320 --> 12:13.040]  sustained through most of its life.
[12:13.040 --> 12:15.120]  You may have to top dress at some point.
[12:15.120 --> 12:19.960]  It may be beneficial to give it specific teas to support specific phases of growth.
[12:19.960 --> 12:25.200]  But the main idea that a lot of people are heading for is a super soil mix that you premix.
[12:25.200 --> 12:29.680]  And then the idea is that you put a bunch of amendments and a base soil together.
[12:29.680 --> 12:34.500]  You mix it up and you put some water in there and you store it in a warm place.
[12:34.500 --> 12:39.360]  And that water, the air, all of those amendments and that warmth create life inside of that
[12:39.360 --> 12:43.360]  container where all of your stuff is mixed up and it becomes alive.
[12:43.360 --> 12:45.560]  That is called the cooking process.
[12:45.560 --> 12:49.160]  So when you make a super soil, basically you throw a big tarp on the floor, you'll put
[12:49.160 --> 12:53.880]  down a few bags of your base soilless mix, and then you will mix in various amendments
[12:53.880 --> 12:57.200]  based on what you want to do with your super soil.
[12:57.200 --> 13:00.700]  So whatever amendments you have chosen, we mix them up in the appropriate ratios along
[13:00.700 --> 13:02.800]  with that base soilless mix.
[13:02.800 --> 13:06.800]  Then you may sprinkle a little bit of water on it now, or you may scoop it into containers.
[13:06.800 --> 13:10.840]  Depending on how much mix you have made, some people will scoop it right into a large trash
[13:10.840 --> 13:11.840]  can.
[13:11.840 --> 13:15.160]  Some people scoop it into some of those like rubbermaid shipping or storage containers.
[13:15.160 --> 13:17.440]  Whatever container you put it in, that's up to you.
[13:17.440 --> 13:20.320]  You may need to add a little bit of water in there just to get it activated, just to
[13:20.320 --> 13:21.500]  get it moving.
[13:21.500 --> 13:23.200]  Then you want to seal it up.
[13:23.200 --> 13:25.460]  Then you want to put it in a warm place.
[13:25.460 --> 13:30.640]  The combination of the water, those live amendments, that warmth, the air in there, they all start
[13:30.640 --> 13:31.820]  creating life.
[13:31.820 --> 13:36.160]  That soil, all of those amendments start doing a process that we call cooking.
[13:36.160 --> 13:40.020]  All of the organic amendments start breaking down naturally and making themselves more
[13:40.020 --> 13:44.900]  bioavailable to our plants so that when we put a plant in this soil, we've got organic
[13:44.900 --> 13:46.620]  soil that is ready to go.
[13:46.620 --> 13:47.620]  It is enriched.
[13:47.620 --> 13:50.520]  It is well balanced, and the plants will love it.
[13:50.520 --> 13:51.900]  So you've got your stuff all mixed up.
[13:51.900 --> 13:52.940]  You throw it in your containers.
[13:52.940 --> 13:55.200]  You got just enough moisture in there to get everything alive.
[13:55.200 --> 13:56.200]  You put a lid on it.
[13:56.200 --> 13:59.880]  You throw it in a warm place, and you just leave it for a few days.
[13:59.880 --> 14:03.460]  Depending on your goal, depending on your mix, some people will let it sit for seven.
[14:03.460 --> 14:04.500]  Some will go 14.
[14:04.500 --> 14:06.000]  Some people like to go 30.
[14:06.000 --> 14:09.520]  Some people like as much as a 60-day cook on their super soil.
[14:09.520 --> 14:11.400]  That is all about your preference.
[14:11.400 --> 14:12.880]  That is all about your goal.
[14:12.880 --> 14:14.240]  That is all about your amendments.
[14:14.240 --> 14:15.320]  There are many ways to do it.
[14:15.320 --> 14:17.820]  There's no wrong way unless your plants die.
[14:17.820 --> 14:19.080]  Do what works for your plants.
[14:19.080 --> 14:20.340]  Do what works for you.
[14:20.340 --> 14:21.600]  That is not the point here.
[14:21.600 --> 14:28.160]  My point is, during that cooking process, you need to check on your super soil occasionally
[14:28.160 --> 14:29.840]  to see the progress.
[14:29.840 --> 14:31.500]  Some people like to stir it.
[14:31.500 --> 14:33.360]  Some people prefer not to disturb it.
[14:33.360 --> 14:38.120]  I am not a super soil expert or a maker, so I don't have a preference on that for you.
[14:38.120 --> 14:39.680]  You have to learn that yourself.
[14:39.680 --> 14:41.200]  Read the recipe that you're working with.
[14:41.200 --> 14:45.800]  Maybe start at buildasoil.com and work your way from there, or check out Subcool SuperSoil
[14:45.800 --> 14:47.800]  Recipe and work your way from there.
[14:47.800 --> 14:49.200]  See what you want to do with it.
[14:49.200 --> 14:53.400]  Add, subtract as you feel necessary, but whip up your super soil.
[14:53.400 --> 14:55.080]  Then check on it in a few days.
[14:55.080 --> 14:59.080]  Here is where people make a crucial fucking mistake.
[14:59.080 --> 15:06.480]  Your super soil should begin to grow a nice, fuzzy, white layer of funky, weird shit across
[15:06.480 --> 15:07.480]  the top of it.
[15:07.480 --> 15:09.880]  It should start off looking like maybe a little bit of a spider web.
[15:09.880 --> 15:14.960]  Then it should look like you almost have maybe powdery mildew or almost trichomes or powdered
[15:14.960 --> 15:17.880]  donuts growing across the top of your soil.
[15:17.880 --> 15:21.240]  A lot of people will freak the fuck out when they see that.
[15:21.240 --> 15:22.840]  They'll say, oh God, it's all moldy.
[15:22.840 --> 15:24.080]  What do I do?
[15:24.080 --> 15:25.200]  You fucking celebrate.
[15:25.200 --> 15:26.520]  That was the goal.
[15:26.520 --> 15:28.000]  That is mycelium.
[15:28.000 --> 15:32.000]  That is the life source that we have been trying to create in that container.
[15:32.000 --> 15:33.240]  You did it.
[15:33.240 --> 15:34.480]  Good job.
[15:34.480 --> 15:38.240]  The problem is a lot of people see that and they think that they have created a problem.
[15:38.240 --> 15:42.520]  They don't realize that that was the exact goal we were trying to achieve.
[15:42.520 --> 15:47.120]  If you are making a super soil, please do not freak out when you get that fuzzy white
[15:47.120 --> 15:48.120]  stuff.
[15:48.120 --> 15:51.040]  That is the magic we were trying to make happen.
[15:51.040 --> 15:52.040]  Ta-da.
[15:52.040 --> 15:53.040]  You did it.
[15:53.040 --> 15:54.040]  Good job.
[15:54.040 --> 15:58.120]  I know it sounds silly that I should even be talking about this, but you would be surprised
[15:58.120 --> 16:02.600]  at how many people I've heard say it in person, how many times I've read it in forums, and
[16:02.600 --> 16:07.880]  how many stories I've heard about people dumping out large containers of soil mix that they
[16:07.880 --> 16:12.320]  have made that they had intended on using for the next four or five runs in their garden.
[16:12.320 --> 16:14.520]  They spent an entire day mixing it up.
[16:14.520 --> 16:17.400]  They spent 30 days letting it cook.
[16:17.400 --> 16:19.280]  Then they opened it up and went, oh, I ruined it.
[16:19.280 --> 16:22.900]  They simply threw it all away or they just dumped it in the yard because they wanted
[16:22.900 --> 16:24.560]  to mix it out with yard dirt.
[16:24.560 --> 16:29.280]  They did not realize they had just created super soil, which was the goal.
[16:29.280 --> 16:30.420]  Don't be that guy.
[16:30.420 --> 16:31.420]  Don't freak out.
[16:31.420 --> 16:33.840]  If you see the mycelium, that is what you were trying to do.
[16:33.840 --> 16:36.440]  Boy, that really took longer than it was supposed to.
[16:36.440 --> 16:39.760]  Let's move forward with more grow questions.
[16:39.760 --> 16:44.200]  Another question somebody asked me about growing was, when I cut clones, why do I cut the
[16:44.560 --> 16:48.520]  tips of the leaves off of my freshly cut clones?
[16:48.520 --> 16:53.120]  When I'm taking clones to make fresh plants, I'll probably cut a six to eight inch section
[16:53.120 --> 16:54.120]  off.
[16:54.120 --> 16:56.120]  I'll get a bunch of those in a cup with some water in it.
[16:56.120 --> 16:58.520]  Then I will carry those to my cloning station.
[16:58.520 --> 17:03.480]  I will take one cutting out of the water and I give that cutting what I call a haircut.
[17:03.480 --> 17:06.360]  I will take the leaves and I will trim them down.
[17:06.360 --> 17:11.600]  The leaves are shaped like they get skinnier and then they get fatter and they get skinnier
[17:11.600 --> 17:12.600]  again.
[17:12.600 --> 17:16.720]  I cut them at the very thickest point is where I like to cut them, to where they get fat
[17:16.720 --> 17:19.800]  and then I cut them right there, to where they don't have a chance to taper back to
[17:19.800 --> 17:20.800]  skinny.
[17:20.800 --> 17:21.800]  It tapers really wide.
[17:21.800 --> 17:23.200]  I cut it at the widest point.
[17:23.200 --> 17:27.160]  Now the leaves are only about half the length that they were when we started.
[17:27.160 --> 17:30.360]  Then I will cut the base of my stem at a 90 degree angle.
[17:30.360 --> 17:34.400]  I will trim that up a little bit, shave it just a little bit with my scissors.
[17:34.400 --> 17:37.680]  My point is to open up that outside flesh.
[17:37.680 --> 17:41.760]  Anything that is going to get dipped into cloning solution, if you're trying to stay
[17:41.920 --> 17:46.440]  all organic and you want to use aloe or if you're going to use olivias or if you're going
[17:46.440 --> 17:51.280]  to use clonex, whatever you choose, however far you are going to dip that clone into your
[17:51.280 --> 17:55.760]  cloning solution, I like to take my knife blade and just kind of scrape that edge of
[17:55.760 --> 17:57.640]  that clone up just a little bit.
[17:57.640 --> 18:02.440]  What I'm trying to do is open up that outside layer, open up that fiber so the roots can
[18:02.440 --> 18:04.320]  grow out of that more easily.
[18:04.320 --> 18:05.940]  They're going to grow from the inside.
[18:05.940 --> 18:09.720]  I just want to lightly scrape that outside skin off just a little bit.
[18:09.720 --> 18:12.960]  I don't want to go fucking it up and make it real rough and messy.
[18:12.960 --> 18:17.520]  That's going to give it an opportunity for problems, but I do want to scrape it and rub
[18:17.520 --> 18:21.720]  it just a little bit with my blade just to take that outside fleshy layer off.
[18:21.720 --> 18:25.000]  So I like to give them that haircut, cut them at the fattest part of the leaf, flip them
[18:25.000 --> 18:28.960]  upside down, give them a nice 90 degree angle, give them a little scraping.
[18:28.960 --> 18:30.840]  Then I put it in my clone solution.
[18:30.840 --> 18:36.720]  I use clonex most of the time in most facilities, in most applications that works for me.
[18:36.720 --> 18:39.080]  You do what works for you.
[18:39.080 --> 18:42.000]  Somebody's going to send me an email and tell me, I prefer this.
[18:42.000 --> 18:43.000]  Good job.
[18:43.000 --> 18:44.400]  You use the product that is working for you.
[18:44.400 --> 18:48.200]  I love it that people have different options and that different things work for different
[18:48.200 --> 18:49.200]  people.
[18:49.200 --> 18:50.320]  You use whatever works.
[18:50.320 --> 18:52.120]  You dip your clone into that.
[18:52.120 --> 18:56.920]  Then you put that clone into, in this situation, we're going to go into a rapid rooter and
[18:56.920 --> 19:00.520]  that rapid rooter or a root riot or whatever type of plug you're going to use, they're
[19:00.520 --> 19:01.720]  all very similar.
[19:01.720 --> 19:03.380]  They will all work in my opinion.
[19:03.380 --> 19:04.380]  Whatever works for you.
[19:04.380 --> 19:05.600]  Again, you do that.
[19:05.600 --> 19:10.960]  I've got 50 rapid rooters in a tray and that tray has an insert that keeps the rapid rooters
[19:10.960 --> 19:11.960]  in place.
[19:11.960 --> 19:14.080]  They're in 10 rows of five.
[19:14.080 --> 19:18.200]  I like that amount of clones per tray because I can fill up two trays.
[19:18.200 --> 19:19.720]  I know that's a hundred clones.
[19:19.720 --> 19:21.760]  That's a really efficient amount of space.
[19:21.760 --> 19:23.080]  It works really well.
[19:23.080 --> 19:27.880]  The problem is those trays are designed to have those plugs really closely so they can
[19:27.880 --> 19:30.840]  fit 50 of them into one tray.
[19:30.840 --> 19:34.440]  The roots, the cubes work really well that closely together.
[19:34.440 --> 19:39.400]  The leaves up top kind of make a mess when you have too many of them that leafy that
[19:39.400 --> 19:40.800]  closely together.
[19:40.800 --> 19:42.500]  You get humidity issues.
[19:42.500 --> 19:45.680]  You get transpiration and respiration issues.
