[00:00.000 --> 00:01.000]  Let's do it.
[08:21.100 --> 08:25.700]  They're great things. I actually use it almost as a I wipe my dabber off on it
[08:25.700 --> 08:27.700]  That's why it's all sticky on this edge near me
[08:28.060 --> 08:30.380]  So I take another dab wipe it off on there
[08:30.380 --> 08:35.380]  My next dad doesn't have residue of my last dab on there every dab is fresh and not only that but I've you know
[08:35.380 --> 08:41.460]  You have seen you use them to set pipes down on just for I usually try to have it like a coaster because the tables
[08:41.460 --> 08:46.340]  Would and I think it's just a little better than fucking dropping my glass onto the table have that little pad underneath it
[08:46.340 --> 08:50.340]  Not all the glass is heavy and thick right and my domes for my domed rigs
[08:50.340 --> 08:54.300]  I know I don't there's one dome drag on the table now that the dome sits on there because you leave
[08:54.300 --> 09:00.180]  I made an ad that said stop leaving sticky rings in your mom's table because everybody's tables got those little rings
[09:00.180 --> 09:02.340]  You could tell who's a dabber and who tries to hide it. Yeah
[09:02.900 --> 09:05.440]  So that's a huge shout out to our friends at oil slick
[09:05.980 --> 09:11.020]  Man oil slicks been a huge sponsor. I totally represent that shit all day long. So thanks guys. Thanks for sponsoring us
[09:11.780 --> 09:15.920]  Seriously go to their website. Did I say it already? Where is it written? It's on here
[09:17.060 --> 09:20.980]  Oil slick pad calm. There we go. Yeah go there. I also have to give
[09:21.500 --> 09:26.340]  One more ad shout out to tree thugger calm this episode is brought to you in part by tree thugger calm
[09:26.780 --> 09:33.200]  Live music lifestyle magazine check out tree thugger calm for concert festival news and reviews
[09:33.820 --> 09:40.180]  www.tree thugger calm somebody was like tree hugger, huh? Sounds like you and I was like tree thugger, bro. This is the revolution
[09:40.460 --> 09:45.460]  This is the revolution. I just got seven Facebook messages in a row. I
[09:46.100 --> 09:47.180]  I
[09:47.180 --> 09:52.540]  Guess the Internet's back. Huh? I think your phone was not working earlier because the Internet was down. I think that's
[09:53.220 --> 09:57.580]  Yes, the Internet is back on. Yay. We might be able to read some news since the Internet's back
[09:57.580 --> 10:01.120]  I wasn't able to research much news because the Internet was crooked
[10:01.300 --> 10:04.580]  But uh, so we got the ads out of the way much respect to all those sponsors
[10:04.580 --> 10:09.780]  I do want to give a big shout out to our friends at natural mystic cannabis caregivers and Colorado Springs
[10:10.380 --> 10:15.240]  Shelly you're awesome big digital hug to you. I'm not sure if you get to listen to the show, but either way
[10:15.240 --> 10:18.000]  I'm sending out a big digital a thoughtful hug
[10:18.700 --> 10:23.320]  Also, Joey, what's up, bro? Thanks for that clone. I don't know if I should say that on the show
[10:23.320 --> 10:26.120]  He didn't give me a clone, but man, thanks for that clone
[10:26.120 --> 10:30.640]  I really needed that that helps me out in a big big way huge. Shout out to natural mystic cannabis caregivers
[10:30.960 --> 10:37.800]  I think that's all the ads. I'm responsible for this week. I've got this thing open. Let's eat an edible
[10:37.960 --> 10:40.160]  This is where we all started ten minutes ago
[10:40.160 --> 10:45.040]  This is six ounces 168 grams of chocolate and peanut butter is what it looks like to me
[10:45.560 --> 10:50.320]  350 milligrams active cannabis medicinal product keep out of reach of children
[10:51.160 --> 10:52.480]  The packaging is quite fancy
[10:52.480 --> 10:56.560]  I'm gonna read you the back just because this is a really they did a hell of a good job on the packaging
[10:56.560 --> 10:58.320]  This is the outer box
[10:58.320 --> 11:02.240]  This product is infused with medical marijuana and was provided without regular
[11:02.920 --> 11:07.840]  regulatory oversight for health safety or efficacy and there may be health risks as well as
[11:07.840 --> 11:13.960]  Efficacy and there may be health risks associated with the consumption of the product keep out of the reach of children
[11:14.120 --> 11:16.920]  Processed in a facility that make may contain nuts. I
[11:17.520 --> 11:19.120]  Hope so there's peanut butter in it
[11:19.120 --> 11:25.920]  There may be additional health risks associated with the consumption of this product for women who are pregnant breastfeeding or planning on becoming pregnant
[11:26.120 --> 11:31.240]  It's pretty much anyone in Pueblo. This product is unlawful outside the state of Colorado
[11:31.480 --> 11:36.160]  The intoxicating effects of this product may be delayed by two or more hours
[11:36.160 --> 11:41.220]  Do not drive a motor vehicle or operate heavy machinery while using medical marijuana
[11:41.880 --> 11:47.560]  It's got a phone number and an OPC license like it should the ingredients caught my attention
[11:48.160 --> 11:54.520]  Eggs flour baking soda salt cocoa powder. I'm reading all the whole fucking wrapper. I know but I've got a point peanut butter
[11:55.040 --> 11:57.640]  butter powdered sugar chocolate hash butter
[11:58.640 --> 12:04.680]  Point five grams cannabis weight point five grams dosage 50 milligrams, so this is supposed to be a seven dose
[12:05.680 --> 12:11.000]  Edible here is what they're they have intended. I'm gonna eat the whole damn thing. This is what I have planned right now
[12:11.000 --> 12:17.000]  I've got a napkin. I got a drink. I think this is gonna go down. Well. What's got my attention is it lists other ingredients?
[12:17.000 --> 12:18.600]  it has P
[12:18.600 --> 12:21.680]  51 point nine percent K thirty eight point one percent and
[12:22.360 --> 12:25.360]  Eleven point sorry I should back up nitrogen phosphorus
[12:26.000 --> 12:28.440]  I didn't in the wrong order, but that's you know what I mean now
[12:28.440 --> 12:31.880]  Those are the nutrients used in the plant phosphorus potassium and nitrogen
[12:32.880 --> 12:39.400]  Calcium magnesium sulfur, I don't know what that one means I should but I'm I don't know the table of
[12:41.520 --> 12:45.360]  Yeah, you can't do it either the table of elements I had the periodic table of elements
[12:45.360 --> 12:48.480]  I couldn't say it I was reading these five sugar all texture
[12:48.480 --> 12:51.920]  So they list also what it was grown with and on the bottom here organic neem oil
[12:52.600 --> 12:56.480]  So they also list some of the stuff that was used to treat the plants
[12:57.360 --> 12:59.320]  That's pretty interesting that they list that on there
[12:59.320 --> 13:03.640]  So I know almost everything that went into this product that I'm gonna eat which is kind of kind of nice to know
[13:04.160 --> 13:08.040]  So let's get down to the fucking point. I'm gonna put this edible in my mouth
[13:08.040 --> 13:12.200]  I'm gonna turn up some task rocks. You don't have to hear me chewing it stinks like it
[13:12.800 --> 13:17.440]  I bit it open and as soon as my mouth my teeth broke the seal it smelled like
[13:17.960 --> 13:24.440]  Old school pot food it really smells like cannabis like it's in a smell proof vacuum sealed wrapper
[13:24.440 --> 13:26.200]  I can't tear this wrapper
[13:26.200 --> 13:29.880]  I'm trying to open it up a little more to slide this out easily and it fucking won't rip
[13:29.880 --> 13:32.000]  It's bulletproof you can make parachutes out of this shit
[13:32.880 --> 13:34.880]  greenhouse material
[13:34.920 --> 13:39.560]  I'm almost to the first bite. Oh, man. It's green
[13:42.680 --> 13:44.680]  Holy crap
[13:45.680 --> 13:47.680]  So
[13:49.400 --> 13:51.640]  350 it's gonna have 350
[13:53.640 --> 13:57.720]  It's delicious, yeah, it's a chocolatey and peanut buttery
[13:58.480 --> 14:01.120]  So is it is it almost like an ice cream type of bar?
[14:02.320 --> 14:06.680]  Or does it have a softer? It's like texture, you know, it's not like hard
[14:06.680 --> 14:10.400]  The top layer is straight creamy peanut butter. The bottom layer is soft
[14:11.160 --> 14:13.160]  It's like a almost a soggy brownie
[14:13.680 --> 14:19.840]  But better already, I don't know what that texture is. It's almost a fudge like a nougat. No, it's not than that
[14:19.840 --> 14:22.160]  Okay, I want to give you something. I want to know
[14:22.920 --> 14:28.880]  I want to fucking experience this as I said, I think they have these down here at the shop and speaking of shops
[14:30.680 --> 14:34.240]  It's a peanut butter bar, so whatever they make a penis nature mystic is
[14:35.400 --> 14:38.040]  dude, Publin is a step their game up because
[14:38.840 --> 14:41.160]  You know their bud down there
[14:41.680 --> 14:42.840]  I
[14:42.840 --> 14:44.240]  Feel like driving to Springs
[14:44.240 --> 14:44.760]  Yeah
[14:44.760 --> 14:49.760]  We went to natural mystic cannabis caregivers to pick up some shatter because we were low on shatter and we were just waiting for things
[14:49.760 --> 14:50.800]  to happen
[14:50.800 --> 14:56.080]  And I took Adam Adam doesn't get to go to a lot of dispensaries. I took Adam with me. He's been shopping at Pueblo shops
[14:56.720 --> 15:04.840]  So natural mystic cannabis caregivers blew your mind, huh? It's yeah their bud quality. They were big hard nuggets of
[15:05.680 --> 15:11.120]  Joy, you know like they love those plants there. It wasn't oh, let's see how quickly we can turn this out
[15:12.040 --> 15:14.680]  For number one, I think it was still only medical, right?
[15:15.160 --> 15:21.040]  Yes, that's only medical. Okay, so that's that's one of the you know, one of the reasons but then again
[15:21.040 --> 15:23.600]  There's still medical shops that don't give a damn
[15:23.640 --> 15:25.560]  This is a lot of chocolate and peanut butter
[15:25.560 --> 15:30.800]  If you're like if you're actually sick and have like cancer or something, I don't know that this I'm not knocking the product
[15:30.800 --> 15:34.960]  It's fucking delicious. I get acne from chocolate. Yeah, this would
[15:36.160 --> 15:38.560]  Like while you're eating it it's rich
[15:38.560 --> 15:40.560]  I had a bag of
[15:40.560 --> 15:46.000]  It's supposed to be seven doses and if that's supposed to be seven doses, I'm a good four doses in by now
[15:46.000 --> 15:50.840]  Yeah, yeah and see that last drink that I bought that's what I thought too. You know, I was like
[15:50.840 --> 15:53.160]  I was like I marked lines on it
[15:53.160 --> 15:58.080]  I was like and then I was down to here and I was like, oh well, you know here you're talking about the chai
[15:58.080 --> 16:02.400]  Hi, it wasn't a chai. It may have been that chai. Hi. What's that? What it was called?
[16:02.400 --> 16:05.840]  I don't you showed me the bottle in a picture. Yeah, I don't I don't remember it was so worthless
[16:06.080 --> 16:09.800]  Our little trimmer friend that was here earlier, huh who used to work at a shop
[16:09.800 --> 16:15.080]  She said she used to drink those and sometimes it would wrecker and sometimes it wouldn't do anything to her
[16:15.080 --> 16:18.040]  She said and it may have been that's what she was saying. The lady at the shops
[16:18.040 --> 16:21.960]  He said next time try a fruit flavor and that's what I wanted. I wanted it
[16:21.960 --> 16:26.880]  They had like an apple cider type. Oh, and I was yeah, I was like, yeah, that's me dude all day
[16:27.600 --> 16:29.600]  Southern boy and then they
[16:30.160 --> 16:37.320]  Went all they had was some cappuccino and I like I said, it was like watered-down you who dude there was no cannabis at all
[16:37.320 --> 16:38.880]  like I just
[16:38.880 --> 16:42.640]  When he said watered-down you who did anybody else think of the Beastie Boys song?
[16:44.040 --> 16:49.360]  Professor booty has a song. Yeah, if anybody else knows what I'm talking about tweet me about it. That'd be really cool
[16:49.360 --> 16:56.640]  Just tweet me a hashtag professor booty at agriculture. I'll send you stickers. Yeah, I'll send you an irie genetic sticker or two. Yeah
[16:57.080 --> 16:59.600]  I just like the interaction begging for attention
[17:01.560 --> 17:08.020]  This thing's delicious it reminds me of remember the little Debbie nutty bars. Oh, yeah, it tastes like we're a peanut butter bar
[17:11.280 --> 17:13.280]  Yeah
[17:13.960 --> 17:17.000]  It's better it did the hippie made this I would bet a hippie man
[17:17.000 --> 17:21.920]  This is one of those snacks up. So I was gonna buy another brand because they're delicious
[17:22.680 --> 17:24.520]  I'm
[17:24.520 --> 17:27.560]  Reluctant to say the brand I was opting to buy that I chose this over
[17:27.560 --> 17:32.320]  I was going I asked for a monkey bar because the monkey bars. I love a monkey bar, dude
[17:32.320 --> 17:36.260]  I love from Incredibles. So shout out Incredibles. The monkey bar is delicious
[17:36.260 --> 17:40.600]  I was gonna buy one of those and the girl that works at the lady that works at the dispensary is a friend of mine
[17:40.600 --> 17:46.520]  And also a patient she's a cancer survivor and she uses these products and she said I know you like the Incredibles
[17:47.520 --> 17:53.240]  They're $10 this Mountain Medicine peanut butter bar is $11 and it's got
[17:53.680 --> 17:57.160]  350 milligrams, so it's like three and a half of those for a dollar more and
[17:58.040 --> 18:01.960]  You know the businessman in me didn't take a lot of convincing to say it's three for one
[18:01.960 --> 18:05.800]  I'm gonna do that and I just handed her money and thanked her for being such a great person
[18:07.280 --> 18:10.040]  The flavor so far I am happy with my decision
[18:10.720 --> 18:13.760]  That's cool. I I know that I'm gonna be wrecked
[18:13.880 --> 18:16.480]  So we better get anything out of the way that we need to
[18:17.360 --> 18:20.440]  I'm gonna eat all right. All right be a man. That's it. Yeah, that's what I'm saying
[18:20.440 --> 18:24.000]  Well, cuz you don't know high five and everything. We don't know if it got melted and all
[18:24.520 --> 18:30.120]  350 ran to this bite and all three 50 brandy here as you're saying there's a it's it's almost like a different kind of chocolate
[18:30.120 --> 18:33.400]  I would almost kind of imagine that it you see how right there
[18:33.400 --> 18:38.800]  There's like a big splatches like that's like a chocolate chip or something inside of some peanut butter batter stuff
[18:39.120 --> 18:41.440]  It's got the works dude. It's a layer of
[18:41.440 --> 18:45.480]  Semi dark chocolate over peanut butter with this peanut butter chocolate
[18:46.320 --> 18:51.360]  It's a thick mousse a light fudge sort of a texture. It's uh, I
[18:52.160 --> 18:55.800]  Can eat it quickly and it does it's not so peanut buttery that I'm stuck while I'm trying to talk
[18:55.800 --> 19:00.600]  But it does take a little effort to clean up the face while you're grubbing it and in the summertime eat this in the air
[19:00.600 --> 19:04.880]  Conditioner don't try to take this out anywhere because she told you to kind of put it in the fridge
[19:04.880 --> 19:09.640]  Yeah for five or ten minutes beforehand or she said actually put it in the microwave or warm it up first
[19:09.640 --> 19:13.080]  Oh, yeah, she did. No, this would have been that I don't know that I'd recommend
[19:13.600 --> 19:18.240]  This would just be a puddle. She didn't say long. She said like one second two seconds, you know, but
[19:18.840 --> 19:24.720]  Yeah, take a couple more bites. I think going maybe just put in the refrigerator would be even better
[19:24.720 --> 19:29.400]  Just was there a strain at natural mystic cannabis caregivers that got your attention because they had some great-looking
[19:30.040 --> 19:31.800]  herbs, I
[19:31.800 --> 19:35.800]  Smelled a couple of them. There was only one of them that I really knew what the smell was
[19:35.800 --> 19:38.440]  So, you know, that was my only comparison
[19:39.200 --> 19:44.760]  They had Harlequin there. That was I haven't smelled that yet. And it was wow. It was really potent. What was the
[19:45.320 --> 19:47.320]  What was the other one that we got?
[19:47.880 --> 19:53.000]  Are that you got that day that they had the strain there the Tora Bora? No, no, not the Tora Bora
[19:53.000 --> 19:58.480]  The super lemon haze. No, I can't remember which one they had one. They just stunk to high hell. Yeah, great. Yeah
[19:58.480 --> 20:02.840]  Yeah, that's that's what I'm talking about the one where it's that's what we got some of the shadow of the guava
[20:02.840 --> 20:08.440]  That really impressed me dude that she opened the jar and it was like a punch in the face before she handed it to me
[20:08.440 --> 20:13.000]  Yeah, and I mean, like I said, there was no small nugs in the jar and everything was frosty
[20:13.880 --> 20:19.800]  Everything was right to that point where I feel like I could have brought it home and kept it in my jar for a couple
[20:19.800 --> 20:21.800]  Days and it would have been like, you know
[20:21.800 --> 20:27.440]  I could have judged where how dry or how you tend to like Adam tends to like his weed a little
[20:27.560 --> 20:32.800]  Crispier than most folk. Yeah, I would have been like, you know, I could have judged where how dry or how wet?
[20:32.840 --> 20:38.560]  I'm likes it a little drier. We'd like so we'll cure it perfectly and then give it to Adam to destroy for us. Yeah, exactly, but
[20:39.400 --> 20:44.920]  Still it's it's nice to have that option instead of you where I'm from. It's always dry. So
[20:45.480 --> 20:49.240]  You know you get something wet. You're like, what is this? I'm all in now
[20:49.240 --> 20:50.960]  I just put the rest of this thing in my mouth up
[20:50.960 --> 20:58.000]  I wasn't shitting about that final thing filled with butter because that last bite tastes like butter not even like chocolate or pie butter
[20:58.000 --> 21:01.520]  No, like butter. Oh just butter. Paula Dean made that huh? Yeah
[21:02.400 --> 21:05.760]  So I've never had a chance to say this on like a public platform, but fuck Paula Dean
[21:07.200 --> 21:12.800]  Hey here here. Um, no fuck her before her racism, but extra fucking for her racism
[21:13.680 --> 21:16.320]  I'm trying to get this chocolate. She was always kind of
[21:17.640 --> 21:19.320]  one time
[21:19.320 --> 21:22.880]  so I had an Italian girlfriend and we would watch Giada de Laurentiis and
[21:23.240 --> 21:27.040]  Paula Dean back-to-back and I think Alton Brown was on in the mix
[21:28.240 --> 21:31.160]  Sorry, I'm wiping my face. I got fucking chocolate peanut butter butter
[21:31.520 --> 21:35.040]  All over the place chocolate peanut butter butter. It's good. I could feel the butter on my lips
[21:35.040 --> 21:37.560]  They're like it's tastes like movie theater popcorn in that last bite
[21:38.120 --> 21:42.520]  So Paula Dean one day she's making a meal and she's like this meal got a little some for everybody
