[00:01.920 --> 00:03.800]  What's up, Podcast World?
[04:02.960 --> 04:05.120]  Big, huge shout out to the Grimy Gatsby.
[04:06.160 --> 04:07.640]  All right, this podcast is also brought to you
[04:07.640 --> 04:09.680]  by highly educated titanium.
[04:09.680 --> 04:13.040]  I said educated, that's from Cottonmouth and Dabs.
[04:13.040 --> 04:14.320]  Highly educated titanium.
[04:14.320 --> 04:15.840]  If you're using a high-grade concentrate,
[04:15.840 --> 04:17.880]  you deserve a high-quality titanium nail.
[04:17.880 --> 04:20.000]  Don't trust a Chinese nail or an American knockoff
[04:20.000 --> 04:21.160]  made of crappy metal.
[04:21.160 --> 04:22.560]  Trust the industry leader.
[04:22.560 --> 04:24.720]  Trust highly educated titanium.
[04:24.720 --> 04:26.480]  Big old shout out to TaskRock.
[04:26.480 --> 04:28.320]  If you guys wanna grab a highly educated nail,
[04:28.320 --> 04:30.840]  check out AqualabTechnologies.com.
[04:30.840 --> 04:33.480]  If you wanna learn how to season, care for,
[04:33.480 --> 04:35.320]  and take care of your highly educated nail
[04:35.320 --> 04:39.760]  and how to clean it, check out highlyeducatedti.com.
[04:39.760 --> 04:41.640]  Got one more big ad, two more, sorry.
[04:41.640 --> 04:43.000]  This podcast is brought to you by our friends
[04:43.000 --> 04:44.600]  at Hygro Indoor Growing Supplies.
[04:44.600 --> 04:46.920]  Hygro Indoor Growing Supplies has two locations
[04:46.920 --> 04:48.480]  to serve Colorado.
[04:48.480 --> 04:51.880]  Visit the Denver store, 6271 Beach Street,
[04:51.880 --> 04:55.120]  or come say hello in Pueblo, 618 East 4th Street,
[04:55.120 --> 04:56.000]  Pueblo, Colorado.
[04:56.000 --> 04:58.240]  Check out Hygro for competitive pricing
[04:59.160 --> 05:00.600]  and a great selection of indoor grow supplies.
[05:00.600 --> 05:02.880]  Dude, I use Botanicare and they just stocked up
[05:02.880 --> 05:03.720]  on Botanicare.
[05:03.720 --> 05:05.080]  It looks sweet in there.
[05:05.080 --> 05:06.040]  I use OGT.
[05:06.040 --> 05:08.240]  They just got some OGT in there.
[05:08.240 --> 05:09.200]  They're killing it.
[05:09.200 --> 05:11.040]  You guys have Hygrozyme on the shelf yet?
[05:11.040 --> 05:11.880]  Yeah.
[05:11.880 --> 05:13.720]  See, I ordered that once and now they've got it
[05:13.720 --> 05:15.360]  on the shelf for me all the time.
[05:15.360 --> 05:16.200]  Heck yeah.
[05:16.200 --> 05:17.040]  Loving it.
[05:17.040 --> 05:22.040]  We also have a big old bag of Roots 707 for $25 this month.
[05:22.160 --> 05:24.880]  That's a steal and I might need to go stock up on that.
[05:24.880 --> 05:26.900]  That space right there along that wall that's empty,
[05:26.900 --> 05:29.060]  we can just fill that right up with soil.
[05:29.060 --> 05:32.700]  And also this month, if you mention agriculture,
[05:32.700 --> 05:35.860]  you get commercial pricing on everything.
[05:35.860 --> 05:37.300]  That's the month of November?
[05:37.300 --> 05:38.120]  Yeah.
[05:38.120 --> 05:38.960]  You hear that guys?
[05:38.960 --> 05:40.100]  All the month of November,
[05:40.100 --> 05:42.060]  go to Hygro Indoor Growing Supplies in Pueblo.
[05:42.060 --> 05:42.900]  When you're paying,
[05:42.900 --> 05:44.460]  tell them I listened to the Agriculture Podcast.
[05:44.460 --> 05:46.300]  You will get commercial pricing.
[05:46.300 --> 05:48.100]  You're gonna pay what Rasta Jeff pays.
[05:48.100 --> 05:50.760]  You can get that in Denver too.
[05:52.420 --> 05:53.900]  They may have to make a phone call.
[05:53.900 --> 05:55.500]  Tell them to call.
[05:55.500 --> 05:57.340]  Tell them to call Jesse or Burn in Pueblo.
[05:57.340 --> 05:58.180]  And they'll get you straight down.
[05:58.180 --> 05:59.000]  They'll explain it all.
[05:59.000 --> 05:59.840]  Yeah.
[05:59.840 --> 06:00.660]  Yeah.
[06:00.660 --> 06:01.500]  Right on guys.
[06:01.500 --> 06:02.340]  Thank you.
[06:02.340 --> 06:03.160]  I didn't even know that was gonna happen.
[06:03.160 --> 06:04.060]  So I just learned about that at the same time
[06:04.060 --> 06:04.900]  the listeners did.
[06:04.900 --> 06:05.860]  That is really cool.
[06:05.860 --> 06:07.700]  If we have a good response,
[06:07.700 --> 06:09.300]  we'll just probably keep it that way.
[06:09.300 --> 06:10.140]  There we go.
[06:10.140 --> 06:11.540]  Guys go in there and use that coupon code
[06:11.540 --> 06:14.060]  or that discount code so that we can keep it going.
[06:14.060 --> 06:14.900]  The more of you that use it,
[06:14.900 --> 06:15.900]  they'll see the response.
[06:15.900 --> 06:17.220]  They'll keep doing it.
[06:17.220 --> 06:18.060]  Awesome.
[06:18.060 --> 06:19.660]  Thank you guys for listening and going there.
[06:19.660 --> 06:20.500]  We got one more ad.
[06:20.500 --> 06:22.420]  Big love to TreeThugger.com.
[06:22.420 --> 06:23.980]  Of course the show is brought to you by our friends
[06:23.980 --> 06:26.540]  at TreeThugger.com, live music lifestyle magazine.
[06:26.540 --> 06:29.620]  Check out TreeThugger.com for concert and festival
[06:29.620 --> 06:31.300]  news and reviews.
[06:31.300 --> 06:35.380]  www.treethugger.com.
[06:35.380 --> 06:37.300]  I think I actually just confirmed
[06:37.300 --> 06:39.020]  that I'm gonna check out the string cheese incident
[06:39.020 --> 06:40.220]  in Denver on New Year's Eve.
[06:40.220 --> 06:41.140]  That's gonna be kind of cool.
[06:41.140 --> 06:42.020]  Kind of random for me.
[06:42.020 --> 06:44.260]  I haven't seen the cheese in years.
[06:44.260 --> 06:47.500]  Got a friend who needs a cheese buddy for New Year's.
[06:47.500 --> 06:49.420]  And I think I'm gonna be the cheese buddy.
[06:49.420 --> 06:50.500]  Quite a cheesy buddy.
[06:50.500 --> 06:52.100]  I think that's enough ads for the show.
[06:52.100 --> 06:53.480]  I think that covered everybody.
[06:54.000 --> 06:55.400]  Also check out naturesgreenremedies.com.
[06:55.400 --> 06:56.840]  I didn't do a big ad for them.
[06:56.840 --> 06:59.040]  They are sold out of iRegenetics products right now,
[06:59.040 --> 07:00.880]  but you can get Gage Green Genetics,
[07:00.880 --> 07:02.640]  La Plata Labs and Sin City.
[07:02.640 --> 07:04.800]  I do not have a coupon code for them this month.
[07:04.800 --> 07:07.320]  Once I give them a refill, they'll get a sweet coupon code.
[07:07.320 --> 07:09.400]  You guys will get hooked up.
[07:09.400 --> 07:11.040]  So currently what's been going on.
[07:11.040 --> 07:13.280]  We had an election last night.
[07:13.280 --> 07:16.360]  Colorado did not have much cannabis initiative
[07:16.360 --> 07:20.880]  on the ballots, but we did have number 105
[07:20.880 --> 07:23.040]  regarding non-GMO food.
[07:23.560 --> 07:25.520]  This was the labeling of GMO foods.
[07:25.520 --> 07:28.680]  Colorado, dude, you failed, bro.
[07:28.680 --> 07:29.520]  What the hell?
[07:29.520 --> 07:30.880]  This was supposed to pass.
[07:30.880 --> 07:34.020]  This was, we're not gonna get too much into it
[07:34.020 --> 07:35.280]  because it's already happened.
[07:35.280 --> 07:38.160]  This was, we wanted them to have to mark
[07:38.160 --> 07:39.800]  genetically modified food products
[07:39.800 --> 07:41.140]  with some sort of indication
[07:41.140 --> 07:42.740]  that it is genetically modified.
[07:43.760 --> 07:45.280]  Enriched with GMOs.
[07:45.280 --> 07:46.800]  We did not pass this.
[07:46.800 --> 07:48.940]  What the hell is going on, Colorado?
[07:50.640 --> 07:51.720]  All right.
[07:51.720 --> 07:52.960]  And it failed by landslide.
[07:52.960 --> 07:54.520]  That's the really disappointing part.
[07:54.520 --> 07:56.880]  I liked your, Jesse brought a really good Facebook post.
[07:56.880 --> 07:58.240]  He said something to the effect of,
[07:58.240 --> 07:59.360]  that's okay, Colorado.
[07:59.360 --> 08:02.800]  I didn't wanna share my organic produce with you anyway.
[08:02.800 --> 08:04.880]  Jesse's tomatoes are delicious.
[08:04.880 --> 08:05.720]  I am addicted.
[08:05.720 --> 08:07.440]  There's only one other place I've eaten recently
[08:07.440 --> 08:10.440]  that's got tomatoes nearly as tasty as Jesse's.
[08:10.440 --> 08:11.600]  I know where that place is.
[08:11.600 --> 08:13.320]  Dude, they get so many shout outs on this podcast.
[08:13.320 --> 08:14.400]  I'm addicted to that place.
[08:14.400 --> 08:16.000]  I eat there a lot.
[08:16.000 --> 08:19.840]  We went up there with Burn and Burn's cousin
[08:19.840 --> 08:22.400]  and they made customers.
[08:22.400 --> 08:23.240]  Yeah.
[08:23.240 --> 08:24.200]  Yeah, and they made friends.
[08:24.200 --> 08:25.040]  Yeah.
[08:25.040 --> 08:26.080]  They treat you like your family when you're there.
[08:26.080 --> 08:27.000]  They know my name by now.
[08:27.000 --> 08:29.120]  They start writing down my order when they see me in line.
[08:29.120 --> 08:30.320]  They're like, you want the same thing, dude?
[08:30.320 --> 08:31.760]  And I'm like, yep.
[08:31.760 --> 08:32.600]  Yeah.
[08:32.600 --> 08:37.600]  It's, I've never seen that many Mare different drinks.
[08:38.240 --> 08:39.080]  Yeah.
[08:39.080 --> 08:42.160]  So like I was a little overwhelmed at first.
[08:42.160 --> 08:43.200]  It is, it's a little strange.
[08:43.200 --> 08:44.040]  The first time you walk in,
[08:44.040 --> 08:45.960]  well, the vibe there is very unique.
[08:45.960 --> 08:48.280]  So when you walk in, you're almost in a new world.
[08:48.280 --> 08:51.080]  Turn your cell phone off when you go in there, please.
[08:51.080 --> 08:53.520]  I agree, but there are so many people in there.
[08:53.520 --> 08:55.960]  I go, I've gone late at night and midday.
[08:55.960 --> 08:56.800]  And if you go during the day,
[08:56.800 --> 08:59.640]  it's like a 20 somethings with their Mac books
[08:59.640 --> 09:01.720]  and their iPhones all over the place.
[09:01.720 --> 09:03.880]  But you're right around, around 11 or 12.
[09:03.880 --> 09:05.880]  I wish we could get everyone to put their phones away
[09:05.880 --> 09:06.720]  and chill out.
[09:06.720 --> 09:07.560]  Cause it's really chill in there.
[09:07.560 --> 09:09.200]  There were some people playing chess
[09:09.200 --> 09:11.440]  and a couple of people who looked like
[09:11.440 --> 09:12.280]  they were on a date or something.
[09:12.280 --> 09:13.720]  It was just real chill.
[09:13.720 --> 09:16.280]  The guys playing chess in there look like robots.
[09:16.280 --> 09:18.120]  They're so good at chess, dude.
[09:18.960 --> 09:21.680]  The one guy, I swear he was playing chess
[09:21.680 --> 09:23.200]  with the guy in front of him.
[09:23.200 --> 09:25.400]  And then he was also playing it on his iPad.
[09:27.400 --> 09:28.760]  Is predicting what could happen.
[09:28.760 --> 09:29.840]  Or something, yeah.
[09:29.840 --> 09:31.680]  I was like, man.
[09:31.680 --> 09:32.920]  So I've got a funny joke
[09:32.920 --> 09:34.560]  that only a few listeners are going to get.
[09:34.560 --> 09:36.400]  We were at, we're talking about a place
[09:36.400 --> 09:38.480]  called the Mate Factor and they make Yerba Mate.
[09:38.480 --> 09:41.160]  It's a Brazilian energizing tea.
[09:41.160 --> 09:42.120]  They have two different kinds.
[09:42.120 --> 09:45.240]  They have the dark Yerba Mate, which is what I prefer.
[09:45.240 --> 09:48.280]  And then they have got the green Yerba Mate,
[09:48.280 --> 09:51.920]  which I prefer the green iced and I like the dark hot.
[09:51.920 --> 09:52.840]  That's just my preference.
[09:52.840 --> 09:55.200]  So if I need a cool drink, I'll get the green one.
[09:55.200 --> 09:58.480]  The guy was describing the differences to a customer
[09:58.480 --> 09:59.960]  who it's in a really touristy area.
[09:59.960 --> 10:01.640]  So you get a lot of touristy kind of people
[10:01.640 --> 10:03.580]  that are describing this drink to a tourist.
[10:03.580 --> 10:06.400]  And he said that the dark roast is the dried leaves
[10:06.400 --> 10:08.880]  that have been sat out and they've dried and they crumble it
[10:08.880 --> 10:10.120]  and then they brew it or they grind it
[10:10.120 --> 10:11.480]  and then they brew it together.
[10:11.480 --> 10:13.760]  And he said, the green is more the fresh leaf
[10:13.760 --> 10:16.640]  that hasn't been dried and set out for as long.
[10:16.640 --> 10:18.360]  And I heard him say that and I looked at the girl
[10:18.360 --> 10:19.280]  that was with me and I said,
[10:19.280 --> 10:21.040]  he's talking about that live res.
[10:21.040 --> 10:21.880]  Yeah.
[10:21.880 --> 10:22.720]  Nice.
[10:24.840 --> 10:26.520]  Only a few listeners are gonna laugh at that,
[10:26.520 --> 10:29.840]  but that's exactly the description that worked perfectly.
[10:29.840 --> 10:31.720]  It's all about that live resin.
[10:31.720 --> 10:33.640]  The dark roast is the dried and cured
[10:33.640 --> 10:35.880]  and then the fresh green is the live res.
[10:35.880 --> 10:36.920]  And you can taste the difference.
[10:36.920 --> 10:39.400]  It's such a huge difference.
[10:39.400 --> 10:42.440]  I had only ever had the green before I went up there
[10:42.440 --> 10:45.720]  and I got the dark and was like, yeah, this is the shit.
[10:45.720 --> 10:46.560]  All right.
[10:46.560 --> 10:47.440]  They don't know that this is gonna happen,
[10:47.440 --> 10:49.480]  but if anybody that listens to this podcast
[10:49.480 --> 10:52.480]  goes to the Mate Factor in Manitou Springs,
[10:52.480 --> 10:54.120]  say something about, you heard about,
[10:54.120 --> 10:56.920]  say I heard about this place from the I Grow Culture podcast
[10:56.920 --> 10:58.680]  and they told me to say hi.
[10:58.680 --> 10:59.920]  And then maybe they'll catch on
[10:59.920 --> 11:00.760]  because they know who I am.
[11:00.760 --> 11:02.840]  I've said that I'm the host of a show.
[11:02.840 --> 11:03.680]  Nice.
[11:03.680 --> 11:04.520]  Yeah.
[11:04.520 --> 11:05.600]  So maybe one day they'll,
[11:05.600 --> 11:08.440]  maybe I just want a free veggie wrap out of the deal.
[11:08.440 --> 11:09.880]  I got a free muffin from them the other night.
[11:09.880 --> 11:12.720]  They were really kind to give me a fresh, warm, free muffin.
[11:12.720 --> 11:13.560]  All right.
[11:13.560 --> 11:15.360]  That's a lot of talk about the Mate Factor.
[11:15.360 --> 11:17.040]  That place is so good, bro.
[11:17.040 --> 11:19.480]  If you go up there, go hike on Rainbow Falls.
[11:19.480 --> 11:21.440]  I never said nothing about the secret Rainbow Falls.
[11:21.440 --> 11:22.280]  That place is awesome.
[11:22.280 --> 11:23.280]  If you can find it, go hike it.
[11:23.280 --> 11:24.120]  It's cool.
[11:24.120 --> 11:25.720]  Graffiti Falls.
[11:25.720 --> 11:30.720]  So we're talking about the votes that happened last night.
[11:31.840 --> 11:34.280]  Oregon, Alaska, and Washington DC
[11:34.280 --> 11:37.360]  have legalized recreational cannabis.
[11:37.360 --> 11:38.960]  Welcome to the cool kids club.
[11:38.960 --> 11:40.000]  Yeah.
[11:40.000 --> 11:41.360]  Florida, on the other hand,
[11:43.720 --> 11:46.400]  you're just old people in Disney World still.
[11:46.400 --> 11:48.400]  How many people in Florida
[11:49.440 --> 11:51.440]  do you think could actually reduce
[11:51.440 --> 11:56.440]  their pain medication consumption drastically?
[11:56.560 --> 11:59.360]  So do you think that maybe some of those pain companies,
[11:59.360 --> 12:01.920]  the pain clinics kind of lobbied against
[12:01.920 --> 12:04.080]  all of this medical cannabis or cannabis?
[12:04.080 --> 12:05.200]  No, surely not.
[12:05.200 --> 12:08.520]  I mean, I would think a big major corporation
[12:09.080 --> 12:10.200]  would have a lot more integrity than that.
[12:10.200 --> 12:12.080]  Good honest company that would need to do something
[12:12.080 --> 12:13.880]  like that because that would be kind of cheating
[12:13.880 --> 12:14.880]  and dishonest.
[12:16.120 --> 12:17.560]  Poisoning their citizens.
[12:18.600 --> 12:19.680]  Come on, big pharma.
[12:19.680 --> 12:20.520]  Yeah.
[12:20.520 --> 12:21.360]  Yeah.
[12:21.360 --> 12:23.720]  So if you did not go out and vote,
[12:23.720 --> 12:25.320]  you can't bitch about what happened in Florida,
[12:25.320 --> 12:26.960]  but if you voted in Florida,
[12:26.960 --> 12:29.240]  and I'm sorry you did not get your cannabis rights there.
[12:29.240 --> 12:31.680]  Oregon, Alaska, and Washington DC, however,
[12:31.680 --> 12:33.800]  congratulations, like that's awesome.
[12:33.800 --> 12:34.640]  Yeah.
[12:34.640 --> 12:35.480]  What were we gonna say?
[12:35.480 --> 12:36.320]  I kind of cut you off.
[12:36.320 --> 12:37.160]  I was gonna say,
[12:37.160 --> 12:38.320]  unless for some reason they're listening to this
[12:39.120 --> 12:39.960]  and they voted against it,
[12:39.960 --> 12:41.640]  then go fuck yourself.
[12:41.640 --> 12:44.840]  I will second that,
[12:44.840 --> 12:46.240]  but I will not pay the fine.
[12:48.080 --> 12:50.560]  Nobody's tallied up how many times I said the F word
[12:50.560 --> 12:51.480]  on so many episodes.
[12:51.480 --> 12:53.680]  So whoever was paying attention,
[12:53.680 --> 12:55.040]  you gotta go math that up for me.
[12:55.040 --> 12:56.640]  And we're gonna discontinue that actually.
[12:56.640 --> 12:58.600]  We're gonna stop doing it because I haven't said that
[12:58.600 --> 12:59.760]  in quite a long time on the show.
[12:59.760 --> 13:00.600]  So it's kind of cool.
[13:00.600 --> 13:02.360]  Somebody let me know what I owe and I'll pay it.
[13:02.360 --> 13:04.320]  I hit you on two for one episode.
[13:04.320 --> 13:05.160]  Yeah.
[13:06.160 --> 13:09.600]  I don't remember which one or when or where or anything.
[13:09.600 --> 13:10.840]  Dreadful J, where are you girl?
[13:10.840 --> 13:11.800]  He always listened to the show
[13:11.800 --> 13:13.320]  and remind me of funny stuff that I said.
[13:13.320 --> 13:15.520]  So count up those F words.
[13:15.520 --> 13:16.760]  What else was I gonna say?
[13:16.760 --> 13:19.640]  Washington DC, our nation's capital,
[13:19.640 --> 13:22.320]  now has legalized cannabis.
[13:22.320 --> 13:25.480]  Why doesn't the rest of the nation just follow suit
[13:25.480 --> 13:26.920]  with what the capital has done?
[13:26.920 --> 13:28.080]  Yeah.
[13:28.080 --> 13:31.640]  I guess there are intelligent people in DC.
[13:31.640 --> 13:33.880]  Contrary to popular belief.
[13:33.920 --> 13:37.200]  Hopefully they'll change some of their habits.
[13:37.200 --> 13:38.800]  Like while they're up there doing what they do
[13:38.800 --> 13:40.240]  instead of just droning on, they'll be like,
[13:40.240 --> 13:44.120]  yo bro, I think that these GMOs are a crock of shit.
[13:44.120 --> 13:47.440]  I think we need to knock this shit out bro.
[13:47.440 --> 13:48.840]  Can I get a I?
[13:48.840 --> 13:50.680]  And then everyone will be like, yeah.
[13:51.840 --> 13:54.440]  This just made getting a,
[13:54.440 --> 13:56.520]  smoking a joint in front of the White House photo op
[13:56.520 --> 13:57.560]  a lot easier.
[13:59.920 --> 14:01.360]  Well, that's, there was actually,
[14:01.360 --> 14:02.640]  I was at Garden of the Gods
[14:02.640 --> 14:05.360]  and I think I saw a sign that reminded you
[14:05.360 --> 14:06.280]  that that's a state park
[14:06.280 --> 14:08.320]  and you cannot bring your cannabis there.
[14:09.200 --> 14:11.000]  Yeah, because it's still federal land.
[14:11.000 --> 14:12.640]  So I'm pretty sure that that White House land
[14:12.640 --> 14:15.320]  is federal land and you can't have your cannabis there.
[14:16.360 --> 14:17.200]  Good point.
[14:17.200 --> 14:19.160]  Yeah, if you go to a state park right now in Colorado,
[14:19.160 --> 14:21.280]  people that are not from Colorado, this is a random,
[14:21.280 --> 14:23.080]  we did not prepare this part at all.
[14:23.080 --> 14:27.080]  If you're not, if you were in a state park in Colorado,
[14:27.080 --> 14:29.080]  like Red Rocks is a state park.
[14:30.080 --> 14:33.840]  Most the reservoirs, like the Pueblo Reservoir,
[14:33.840 --> 14:35.760]  all the big reservoirs where you'd wanna go hang out,
[14:35.760 --> 14:37.480]  most of the cool shit is a state park.
[14:37.480 --> 14:39.840]  You cannot take, you can.
[14:39.840 --> 14:41.520]  I mean, you can, they're not stopping everybody
[14:41.520 --> 14:42.360]  from checking you.
[14:42.360 --> 14:43.200]  We've been doing it for years.
[14:43.200 --> 14:45.640]  Yeah, we do, but we're not gonna say we do,
[14:45.640 --> 14:46.480]  but you can take it.
[14:46.480 --> 14:47.320]  We're not encouraging it.
[14:47.320 --> 14:49.520]  It's illegal to actually have cannabis at a state park.
[14:49.520 --> 14:51.760]  So yeah, even if it's legal in DC,
[14:51.760 --> 14:53.200]  smoking a joint at the White House
[14:53.200 --> 14:54.720]  is still gonna be a little sketchy.
[14:54.720 --> 14:55.920]  Although shout out to Snoop Dogg.
[14:55.920 --> 14:58.000]  Snoop claims that he smoked that weed
[14:58.080 --> 14:59.560]  at the White House there.
[14:59.560 --> 15:00.720]  And also a big shout out to Willie.
[15:00.720 --> 15:02.760]  We know Willie smoked at the White House.
[15:02.760 --> 15:04.640]  So, all right.
[15:04.640 --> 15:05.480]  So-
[15:05.480 --> 15:07.440]  Bill Clinton smoked something there.
[15:07.440 --> 15:09.200]  Monica Lewinsky smoked something there.
