[00:00.000 --> 00:01.720]  Hey, welcome back everyone!
[07:01.360 --> 07:03.400]  Now we know that it tastes and smells like oranges.
[07:03.400 --> 07:04.400]  I've said that enough.
[07:04.400 --> 07:06.740]  Let's talk about growing orange gasm.
[07:06.740 --> 07:09.320]  Orange gasm is very easy to grow.
[07:09.320 --> 07:13.240]  It has a very nice growth structure and shape.
[07:13.240 --> 07:17.520]  One good thing about the orange gasm in comparison to most of the crosses I make is it does not
[07:17.520 --> 07:19.560]  get ridiculously tall.
[07:19.560 --> 07:25.160]  It will get tall, but it will not be a gigantic, stretchy plant like most of my other crosses.
[07:25.160 --> 07:27.020]  This one stays a little bit shorter.
[07:27.020 --> 07:31.100]  It takes on a very nice Christmas tree type of a shape, but then it creates what I call
[07:31.100 --> 07:32.100]  a menorah.
[07:32.100 --> 07:34.060]  It makes a lot of even length branches.
[07:34.060 --> 07:36.380]  You don't have one big tall top glory bud.
[07:36.380 --> 07:38.980]  You get a nice even canopy out of the orange gasm.
[07:38.980 --> 07:40.420]  I really enjoy that.
[07:40.420 --> 07:42.860]  It makes it great for sea of green type of growing.
[07:42.860 --> 07:48.060]  It makes it great for large commercial production, and it is a wonderful plant for outdoor growing.
[07:48.060 --> 07:51.100]  I really love the structure and the shape.
[07:51.100 --> 07:53.220]  It also is really stout.
[07:53.220 --> 07:56.140]  It makes thick stalks and branches.
[07:56.260 --> 08:00.420]  I like to do a lot of popping and twisting and super cropping, and this one really takes
[08:00.420 --> 08:04.820]  it well because the branches start off very thick and very stout.
[08:04.820 --> 08:07.980]  If you're growing in windy conditions or if you need to put some plants at the end of
[08:07.980 --> 08:12.660]  a row where a fan kind of beats them up a little bit, orange gasm may be a perfect candidate
[08:12.660 --> 08:14.180]  for that type of environment.
[08:14.180 --> 08:18.480]  The stalks are so big, the branches are so stout that I don't worry about the wind whipping
[08:18.480 --> 08:20.380]  the shit out of this plant.
[08:20.380 --> 08:24.180]  If it does whip the shit out of it, if it does get beat up a little bit, orange gasm
[08:24.180 --> 08:26.020]  can take a lot of abuse.
[08:26.020 --> 08:27.820]  It's a very hardy plant.
[08:27.820 --> 08:30.700]  The platinum tangy that I used is a very hardy plant.
[08:30.700 --> 08:34.720]  We have beat the shit out of it in many different ways in commercial environments, and it never
[08:34.720 --> 08:35.940]  shows me any stress.
[08:35.940 --> 08:37.700]  It's always just like, hey, I'm over here growing.
[08:37.700 --> 08:40.100]  I'm doing exactly what you need me to do.
[08:40.100 --> 08:41.660]  And then golden goat is the same.
[08:41.660 --> 08:42.660]  It is very vigorous.
[08:42.660 --> 08:44.340]  It has a lot of energy.
[08:44.340 --> 08:48.020]  So crossing these two created a very energetic plant.
[08:48.020 --> 08:51.060]  So it grows quite quickly in veg and in flower.
[08:51.060 --> 08:52.060]  You'll see a lot of growth.
[08:52.060 --> 08:54.880]  It'll get very robust, fat stalks.
[08:54.880 --> 08:58.480]  You may want to transplant more early than you were used to if you were growing the orange
[08:58.480 --> 08:59.760]  gasm.
[08:59.760 --> 09:04.720]  It does, like I said before, it likes being popped and twisted and it enjoys being topped.
[09:04.720 --> 09:09.520]  However, you may not need to top it too much because it does grow that menorah type of
[09:09.520 --> 09:12.760]  a shape where it's got a bunch of arms that all reach up to the same level.
[09:12.760 --> 09:17.780]  It may get one kind of one dominant bud, but it's not going to get a big giant glory cola
[09:17.780 --> 09:19.440]  in many phenotypes.
[09:19.440 --> 09:23.520]  The golden goat dominant phenotype will show you that glory cola, but more of your platinum
[09:23.520 --> 09:28.560]  tangy dominant phenotypes aren't going to have that giant stretch on the top bud.
[09:28.560 --> 09:33.080]  That perfect growth structure makes orange gasm really easy to trellis.
[09:33.080 --> 09:36.600]  If you're going to throw her in a large commercial facility or if you're going to put her in
[09:36.600 --> 09:39.280]  a tent, she likes to be worked into a net.
[09:39.280 --> 09:42.800]  A lot of times people like to really work the branches into the net and spread them
[09:42.800 --> 09:43.800]  out.
[09:43.800 --> 09:45.720]  Orange gasm doesn't need a lot of help to spread.
[09:45.720 --> 09:47.880]  It kind of spreads wide on its own.
[09:47.880 --> 09:50.200]  What you will need is a little bit of support.
[09:50.320 --> 09:54.440]  Both of these parents are heavy producers, so the offspring are obviously going to be
[09:54.440 --> 09:55.960]  large producing plants.
[09:55.960 --> 09:59.520]  You're going to get big buds throughout the entire grow room.
[09:59.520 --> 10:03.280]  So be ready, have some supports, have some tomato cages, have some sort of trellising
[10:03.280 --> 10:08.240]  going on, but these plants really do appreciate some trellising and some scrogging and some
[10:08.240 --> 10:09.320]  sort of supports.
[10:09.320 --> 10:12.720]  They also take very well to defoliating.
[10:12.720 --> 10:17.320]  The platinum tangy dominant phenotypes won't require heavy defoliation, but the golden
[10:17.320 --> 10:22.840]  goat phenotypes will take very well to semi-heavy defoliation.
[10:22.840 --> 10:26.920]  That brings us to another good point, the calyx to leaf ratio.
[10:26.920 --> 10:30.160]  Many phenotypes of the orange gasm are not very leafy.
[10:30.160 --> 10:34.520]  A lot of them will have a very long petiole with a very big fan leaf coming off of it
[10:34.520 --> 10:36.920]  and not a lot of small leaves.
[10:36.920 --> 10:39.920]  That is known as a good calyx to leaf ratio.
[10:39.920 --> 10:40.920]  That makes it easy to trim.
[10:40.920 --> 10:42.640]  It makes it easy to defoliate.
[10:42.640 --> 10:47.600]  And while the plant is growing, that gives less opportunity and potential for pests and
[10:47.600 --> 10:48.600]  mildew.
[10:48.600 --> 10:52.280]  There are less places for bugs to hide and less places for powdery mildew to cling on,
[10:52.280 --> 10:55.120]  so it gives us less potential for problems.
[10:55.120 --> 10:59.280]  That does make orange gasm a great strain for beginners.
[10:59.280 --> 11:02.880]  If you were a new grower, I highly recommend orange gasm.
[11:02.880 --> 11:05.280]  The platinum tangy is really easy to grow.
[11:05.280 --> 11:11.200]  The golden goat is very easy to grow, and the orange gasm is even simpler to grow, in
[11:11.200 --> 11:12.680]  my opinion.
[11:12.680 --> 11:16.700]  Orange gasm is only available in female seeds, so that saves one more step.
[11:16.700 --> 11:21.600]  You don't have to search out the males, making it even easier for beginner growers.
[11:21.600 --> 11:26.880]  Orange gasm is also a great strain for outdoor growers in some locations.
[11:26.880 --> 11:32.020]  Some phenotypes of orange gasm will finish as early as 56 to 60 days.
[11:32.020 --> 11:35.360]  Some phenotypes will take as long as 70 days.
[11:35.360 --> 11:39.440]  If you've got one of those earlier finishing phenotypes, they do beautifully outside.
[11:39.440 --> 11:43.520]  They don't have a lot of problems because of that wonderful calyx to leaf ratio.
[11:43.520 --> 11:48.920]  I've noticed that the orange gasm does very well in high heat conditions.
[11:48.920 --> 11:53.440]  So if you're growing in a hot outdoor environment, orange gasm will do very well for you.
[11:53.440 --> 11:55.840]  It tolerates high heat.
[11:55.840 --> 12:00.260]  Another great thing about the orange gasm is it takes errors very well.
[12:00.260 --> 12:04.900]  If you make a mistake, orange gasm is not going to show you immediately that it is completely
[12:04.900 --> 12:05.900]  pissed off.
[12:05.900 --> 12:09.940]  If you're growing some sour diesel type stuff, if you're growing an OG Kush plant and you
[12:09.940 --> 12:13.300]  mess up with one feeding, you are going to pay for that in the end.
[12:13.300 --> 12:15.260]  Your harvest will not be what you expected.
[12:15.260 --> 12:17.460]  The quality may not be what you expected.
[12:17.460 --> 12:21.540]  When you are growing orange gasm, you have a lot of room for mistakes.
[12:21.540 --> 12:23.740]  She is a very forgiving plant.
[12:23.740 --> 12:27.580]  Now that is a good way to segue into talking about feeding orange gasm.
[12:27.580 --> 12:30.500]  She is very easy to feed and get dialed in.
[12:30.500 --> 12:33.220]  She likes a lot of nutrients.
[12:33.220 --> 12:39.460]  She will go macro nutrient deficient early in flower if you don't boost up the NPK.
[12:39.460 --> 12:44.500]  Most of our cannabis plants do absorb 90% of their nitrogen through their veg phase.
[12:44.500 --> 12:48.500]  Make sure you do not let these plants get nitrogen deficient.
[12:48.500 --> 12:50.180]  You will not catch up.
[12:50.180 --> 12:54.100]  So the main thing to look for when you're growing orange gasm is to watch for nutrient
[12:54.100 --> 12:58.140]  deficiencies or nutrient burns and get that dialed in.
[12:58.140 --> 13:02.680]  The thinner leaved golden goat phenotypes are going to show you that they are experiencing
[13:03.140 --> 13:08.200]  nutrient burn before you see it pop up in the larger leaved platinum tangy dominant
[13:08.200 --> 13:09.200]  phenotypes.
[13:09.200 --> 13:11.160]  So pay attention to that skinny leaf.
[13:11.160 --> 13:14.880]  If you see it starting to get its nails done, you can tell that you're probably giving it
[13:14.880 --> 13:16.780]  a little bit too much nutrient.
[13:16.780 --> 13:21.120]  If that skinny leaf phenotype is starting to get a little bit pale, it probably needs
[13:21.120 --> 13:22.200]  more nutrients.
[13:22.200 --> 13:24.680]  Pay attention to those skinny leaved phenotypes.
[13:24.680 --> 13:28.880]  They are going to give you hints before the larger leaved phenotypes.
[13:28.880 --> 13:34.280]  I've mentioned it briefly before, but most phenotypes of orange gasm are going to flower
[13:34.280 --> 13:38.200]  from somewhere between 60 and 70 days.
[13:38.200 --> 13:39.740]  Some of them may finish earlier.
[13:39.740 --> 13:42.560]  Some of them may finish closer to the 56 day mark.
[13:42.560 --> 13:44.720]  I would rather not set that expectation.
[13:44.720 --> 13:48.700]  I would rather say 60 to 70 days to be honest with you.
[13:48.700 --> 13:53.260]  You may get some outliers that go two to four days longer each direction, but you can generally
[13:53.260 --> 13:56.360]  rely on that 60 to 70 day timeline.
[13:56.360 --> 14:01.000]  It may be easier to tell early in flower with the orange gasm, which phenotypes will
[14:01.000 --> 14:03.680]  go longer because of the two parents I used.
[14:03.680 --> 14:07.920]  The skinnier leafed phenotypes are going to take closer to 70 days.
[14:07.920 --> 14:09.560]  That is a golden goat dominant phenotype.
[14:09.560 --> 14:11.480]  It is more sativa dominant.
[14:11.480 --> 14:13.580]  That will need to go a little bit longer.
[14:13.580 --> 14:19.160]  The wider platinum tangy dominant leaves, that phenotype will probably finish closer
[14:19.160 --> 14:20.840]  to the 60 day mark.
[14:20.840 --> 14:23.320]  So pay attention to the leaf size, the leaf shape.
[14:23.320 --> 14:25.800]  That will indicate to you how long to go.
[14:25.800 --> 14:31.720]  The first time you run these, I suggest going 70 full days in flower if you've got the opportunity.
[14:31.720 --> 14:36.440]  Now that feels like a good way to segue into talking about expected phenotypes.
[14:36.440 --> 14:41.560]  I've seen several different phenotypes pop up from the orange gasm.
[14:41.560 --> 14:48.120]  Most of them very closely resemble the platinum tangy and the golden goat, but I do feel like
[14:48.120 --> 14:53.940]  I have seen some island sweet skunk dominant phenotypes pop up in the mix.
[14:53.940 --> 14:58.820]  Some of the common phenotypes you can expect to see are the golden goat dominant phenotype.
[14:58.820 --> 15:01.220]  This one grows very much like golden goat.
[15:01.220 --> 15:07.620]  It has got very long, skinny and pointy leaves, and it makes very pine cone shaped top buds.
[15:07.620 --> 15:13.000]  It's got a very tropical kind of a pineapple-y and citrus sort of aroma to it.
[15:13.000 --> 15:15.960]  Sometimes that one will bring out a little bit of a grapefruit smell.
[15:15.960 --> 15:19.700]  That does come from the island sweet skunk, which we'll talk about in a minute.
[15:19.700 --> 15:23.460]  There is another phenotype that obviously is platinum tangy dominant.
[15:23.480 --> 15:26.860]  That is the one with big, wide, fat leaves.
[15:26.860 --> 15:32.340]  Sometimes the platinum tangy dominant phenotype will produce purple stems.
[15:32.340 --> 15:36.980]  It does not make a lot of purple leaf and purple bud, but it will make purple stems.
[15:36.980 --> 15:42.620]  That is a great way to see the platinum tangy dominant phenotype early in your growth.
[15:42.620 --> 15:47.100]  A really great phenotype that you are going to find in packs of orange gasm is a phenotype
[15:47.100 --> 15:50.100]  that I have named the mean girl or the jagged girl.
[15:50.340 --> 15:54.340]  A long time ago, I made another cross called heart of gold, and it had a phenotype that
[15:54.340 --> 15:55.820]  I called the mean girl.
[15:55.820 --> 15:57.580]  It was another golden goat cross.
[15:57.580 --> 16:01.260]  I see this same trait coming up in the orange gasm.
[16:01.260 --> 16:05.300]  Some of these phenotypes produce a bud that just looks mean.
[16:05.300 --> 16:06.740]  The buds are really jagged.
[16:06.740 --> 16:08.340]  The leaves are really serrated.
[16:08.340 --> 16:12.700]  It's got a really tight structure to it, and it just looks like it would be really mean,
[16:12.700 --> 16:14.220]  or it looks like it could be weaponized.
[16:14.220 --> 16:16.040]  I just call it the mean girl phenotype.
[16:16.040 --> 16:18.660]  It looks like it's probably got a switchblade.
[16:18.660 --> 16:23.540]  That phenotype grows a little bit more like the golden goat, but it carries that delicious,
[16:23.540 --> 16:28.660]  sweet platinum tangy aroma, so I really love the mean girl phenotype.
[16:28.660 --> 16:30.700]  It is a little bit airier.
[16:30.700 --> 16:36.300]  The buds aren't as tight and compact and dense as some of the platinum tangy dominant phenotypes,
[16:36.300 --> 16:39.540]  but if you've listened to the podcast for a while, I'm sure you've heard me say that
[16:39.540 --> 16:44.300]  I think airy buds are going to be the future for concentrate production.
[16:44.300 --> 16:46.740]  I feel like you have more surface area for trichomes.
[16:46.820 --> 16:51.500]  I feel like it's a little bit easier to extract something off of a fluffier, airier bud than
[16:51.500 --> 16:57.580]  it is a tighter, more dense bud, so I feel like this one is great for concentrate production.
[16:57.580 --> 17:02.260]  Sometimes you will see that the mean girl phenotype creates what I call a taco leaf.
[17:02.260 --> 17:05.860]  The leaf will curl up, kind of looks like a canoe, kind of looks like a taco shell.
[17:05.860 --> 17:07.060]  It just folds in half.
[17:07.060 --> 17:11.540]  A lot of times, people will think that that is a result of excessive heat.
[17:11.540 --> 17:15.620]  Sometimes that is the issue, but that is just a common trait that you will see happen in
[17:15.620 --> 17:18.700]  the mean girl phenotype of orangegasm.
[17:18.700 --> 17:22.260]  That phenotype is going to extract very well.
[17:22.260 --> 17:27.320]  That phenotype is going to have one of the most intense orange flavors and aromas that
[17:27.320 --> 17:29.020]  I have ever bred.
[17:29.020 --> 17:31.020]  So that is the mean girl phenotype.
[17:31.020 --> 17:34.580]  That is probably the one I would look for if you're making concentrates.
[17:34.580 --> 17:39.780]  If you are going for potency, you may go for more of the golden goat dominant leaning phenotypes.
[17:39.780 --> 17:43.380]  If you're going for that orange flavor, of course, go for those wider-leaved platinum
[17:43.380 --> 17:45.500]  tangy dominant phenotypes.
[17:45.580 --> 17:49.220]  Now there is one phenotype that I call the outlier.
[17:49.220 --> 17:50.220]  She is ugly.
[17:50.220 --> 17:51.700]  It is really tall.
[17:51.700 --> 17:53.380]  It is really thin.
[17:53.380 --> 17:54.800]  It's a little bit wispy.
[17:54.800 --> 17:56.560]  It's kind of stretchy.
[17:56.560 --> 18:00.260]  She produces fairly well, but not as well as the other phenotypes.
[18:00.260 --> 18:04.100]  But what she does do is she is encrusted in trichomes.
[18:04.100 --> 18:07.980]  There is no room for more resin on those tiny buds.
[18:07.980 --> 18:14.700]  And when you dry it and cure it and smoke it, the flavor is like disgusting, sour, tart
[18:14.900 --> 18:15.900]  grapefruit.
[18:15.900 --> 18:20.700]  And it is so pungent and weird that it made my mouth pucker just thinking about it right
[18:20.700 --> 18:21.700]  now.
[18:21.700 --> 18:27.740]  If you are into pink grapefruit or pink lemonade and grapefruit sort of aromas, that phenotype
[18:27.740 --> 18:29.380]  may be the one for you.
[18:29.380 --> 18:34.420]  I feel like that phenotype came from the island sweet skunk parent from the golden goat.
[18:34.420 --> 18:38.560]  So we are seeing things way down the line pop out in this cross.
[18:38.560 --> 18:42.220]  When this phenotype pops up, if you've paid attention, you will know it.
[18:42.220 --> 18:44.620]  It is immediately the tallest phenotype.
[18:44.660 --> 18:48.140]  It is the one with the branches that are trying to all keep up with each other and they are
[18:48.140 --> 18:50.460]  all stretching in competition.
[18:50.460 --> 18:53.980]  A lot of people may want to cull this phenotype immediately.
[18:53.980 --> 18:56.940]  If you are into grapefruits, this is the one for you.
[18:56.940 --> 19:02.980]  It will produce okay, but the potency and the flavors are going to be off the charts.
[19:02.980 --> 19:06.540]  So if you're growing just for yourself and you're into that sweet grapefruit sort of
[19:06.540 --> 19:12.500]  a flavor, I really hope that you are the one that finds this semi-rare ugly phenotype of
[19:12.500 --> 19:13.500]  the orange chasm.
[19:13.820 --> 19:16.100]  Now let's talk about the one that everybody is going to want.
[19:16.100 --> 19:18.140]  I call it the 50-50.
[19:18.140 --> 19:19.860]  It's probably obvious why I call it that.
[19:19.860 --> 19:23.780]  It is 50% golden goat and it is 50% platinum tangy.
[19:23.780 --> 19:27.600]  And we got the best half of each one for this phenotype.
[19:27.600 --> 19:30.540]  It carries a tremendous sweet orange flavor.
[19:30.540 --> 19:35.300]  It has got that perfect, the golden goat stretch, but then it's also got that platinum tangy
[19:35.300 --> 19:36.500]  menorah shape.
[19:36.500 --> 19:39.260]  And then it carries the potency of the golden goat.
[19:39.260 --> 19:42.740]  That phenotype tends to finish up right around 63 days.
[19:42.740 --> 19:46.860]  If you were growing this strain in a commercial facility, that is the phenotype that you want.
[19:46.860 --> 19:47.860]  That is perfect.
[19:47.860 --> 19:48.860]  It puts out great weight.
[19:48.860 --> 19:51.000]  It puts out great flavors and aromas.
[19:51.000 --> 19:54.900]  And the bag appeal on the finished dried and cured buds is beautiful.
[19:54.900 --> 19:59.460]  The buds are bright green, the pistils dry up and they stay bright orange and it creates
[19:59.460 --> 20:00.520]  great bag appeal.
[20:00.520 --> 20:05.060]  So that 50-50 phenotype is perfect if you were growing for commercial production.
[20:05.060 --> 20:06.060]  All right.
[20:06.060 --> 20:09.940]  Another thing I should mention about the orange chasm is temperature.
[20:09.940 --> 20:14.760]  Many growers like to lower the temperature of their flowering room late in flower to
[20:14.760 --> 20:18.060]  bring out the colors of their flowers.
[20:18.060 --> 20:21.860]  This is not necessary with orange chasm.
[20:21.860 --> 20:27.660]  I have not seen any benefits to reducing the temperatures of the grow room late in flower
[20:27.660 --> 20:30.040]  when growing orange chasm.
[20:30.040 --> 20:35.220]  Orange chasm seems to prefer higher temperatures and I have not seen any advantage to reducing
[20:35.220 --> 20:37.140]  the temperature late in flower.
[20:37.140 --> 20:39.140]  I have not seen any improved color.
[20:39.140 --> 20:41.740]  I have not seen any speed up in flowering time.
[20:41.740 --> 20:45.860]  I really think that it is best just to leave the room just like it is and continue flowering
[20:45.860 --> 20:48.080]  until the end with orange chasm.
[20:48.080 --> 20:49.080]  Don't make it cooler.
[20:49.080 --> 20:50.080]  Don't reduce the lights.
[20:50.080 --> 20:51.080]  Don't do any tricks.
[20:51.080 --> 20:52.540]  Just keep it just like it is.
