[00:00.960 --> 00:03.200]  Welcome back cannabis community.
[04:31.490 --> 04:34.330]  And to be honest, that's really how the company came about.
[04:35.290 --> 04:39.490]  We solved the problem and realized that there were others that wanted the same
[04:39.490 --> 04:40.970]  solution at an affordable price.
[04:41.210 --> 04:45.170]  The one thing about it was the remote access and making it easy to set up.
[04:46.210 --> 04:51.210]  And we've both got decades of IT support
[04:51.650 --> 04:53.570]  within the financial world.
[04:55.330 --> 04:59.290]  So trying to make this thing as easy as possible to reduce the number of support
[04:59.290 --> 05:00.130]  calls.
[05:00.730 --> 05:04.250]  I've made the fatal mistake of offering my father IT support in the past.
[05:04.250 --> 05:04.690]  And so yeah,
[05:04.690 --> 05:08.770]  trying to make things as simple as possible to keep the number of calls to a
[05:08.770 --> 05:13.090]  minimum is part of what we try to do.
[05:13.650 --> 05:15.250]  If it's not simple,
[05:15.570 --> 05:18.690]  then we realize it's going to be a problem for a lot of people. You know,
[05:18.690 --> 05:20.370]  not everybody is a techie.
[05:20.730 --> 05:21.970]  That is absolutely the truth.
[05:21.970 --> 05:25.930]  So that's key to what we do. I mean, our devices, you literally,
[05:26.130 --> 05:28.290]  you connect them to your wifi network. That's it.
[05:28.290 --> 05:30.370]  You don't have to configure anything else.
[05:30.610 --> 05:33.050]  Everything happens super simply through the website.
[05:33.050 --> 05:35.410]  That's one of my favorite parts about it is the simplicity.
[05:35.850 --> 05:38.890]  And also that I didn't have to add anything to my computer system.
[05:39.370 --> 05:41.050]  Everything I need is happening for me.
[05:42.730 --> 05:43.330]  Yeah.
[05:43.330 --> 05:44.170]  The best part.
[05:44.170 --> 05:45.650]  And then you can access it from anywhere in the world.
[05:45.690 --> 05:46.010]  Yes.
[05:46.010 --> 05:49.770]  That's my favorite part that I can see my grow at home while I am at work.
[05:49.770 --> 05:53.450]  I don't have to drive home and check on anything. It is completely simple.
[05:53.650 --> 05:56.970]  That's my favorite part is that I don't have to come here to look at the plants.
[05:56.970 --> 05:59.650]  I could just check right on the phone. I can look at the cameras on one app.
[05:59.930 --> 06:02.890]  I can look at the minder on the other app and I know everything is safe.
[06:03.050 --> 06:05.210]  That's my favorite part. And the simplicity,
[06:06.010 --> 06:09.410]  the other units I've tried to use, I've had problems and this one,
[06:09.490 --> 06:12.290]  I plugged it in and it works. So I think that is amazing.
[06:14.250 --> 06:18.290]  Yeah. And then we've tried to keep it nice and modular as well. So, you know,
[06:18.290 --> 06:21.810]  the first unit that we've brought out is the one with the sensors with does
[06:21.810 --> 06:25.090]  ambient temperature and humidity and another temperature sensor that's
[06:25.090 --> 06:28.330]  waterproof that you can drop into your, your reservoir for instance,
[06:28.330 --> 06:30.330]  or you can put it into your grow medium.
[06:31.170 --> 06:33.930]  I was using it out in the greenhouse to check that the soil temperature was up
[06:33.930 --> 06:37.170]  to the right temperature before planting the chilies in the greenhouse
[06:38.770 --> 06:43.770]  to prevent root shock for instance. And then because it's modular and,
[06:44.410 --> 06:44.650]  you know,
[06:44.650 --> 06:48.170]  you tend to find that most people's just one temperature and humidity.
[06:48.170 --> 06:49.930]  CO2 is a nice to have,
[06:49.930 --> 06:54.290]  but only really if you're running in a sealed environment and your average home
[06:54.970 --> 06:59.530]  enthusiast and home grower is not necessarily doing CO2 enriched environments.
[07:00.970 --> 07:03.850]  So we can, well, we are, we do have a CO2 sensor coming out.
[07:03.850 --> 07:07.450]  That is another modular piece that you just add in. It's not,
[07:07.930 --> 07:09.410]  you don't have to change anything on your setup.
[07:09.450 --> 07:13.290]  You don't have to buy a whole new piece of kit to do this. Well,
[07:13.330 --> 07:14.170]  we just need to buy the sensor,
[07:14.170 --> 07:17.170]  but you don't have to upgrade anything software wise or anything like that.
[07:17.530 --> 07:20.930]  Which is great for people who just want to add something later.
[07:20.930 --> 07:23.370]  So if maybe they can't afford the system right at the beginning,
[07:23.410 --> 07:26.610]  they can add on instead of having to invest in the high price unit right away.
[07:26.650 --> 07:28.330]  So that's a great, a great addition there.
[07:29.330 --> 07:30.170]  Build it up slowly.
[07:30.730 --> 07:33.730]  Is there to make it as accessible to everybody as possible really?
[07:34.010 --> 07:37.530]  Is there a vapor pressure deficit reading available?
[07:38.850 --> 07:43.810]  Yeah. I mean, we do that as a calculation. We, uh, so on the, on the website,
[07:44.610 --> 07:46.850]  um, one of the outputs that you get,
[07:46.850 --> 07:51.130]  which is calculated on the fly is the VPD readings. Excellent. Uh,
[07:51.210 --> 07:53.970]  and that you can then look at for free,
[07:53.970 --> 07:57.010]  what we give to everybody that comes with each unit. When you buy it,
[07:57.290 --> 08:01.210]  you get free access to your current readings. Um,
[08:01.250 --> 08:05.810]  and then two hours, four hours, six, 12, 24, 48,
[08:05.810 --> 08:09.010]  and seven days worth of historical data charted.
[08:09.010 --> 08:13.130]  So you can look at over time what's actually going on in the environment.
[08:14.250 --> 08:16.210]  Um, and we take a reading every 30 seconds.
[08:16.210 --> 08:19.210]  So it's fairly granular as to what's going on in the environment.
[08:19.210 --> 08:21.370]  You can see if somebody has opened the door and closed it again,
[08:21.770 --> 08:23.690]  because you'll see temperature spikes up and down.
[08:23.730 --> 08:26.370]  You can see when the fan came on. If you pay enough attention,
[08:26.370 --> 08:28.090]  you can see when each fan kicks on.
[08:29.850 --> 08:33.570]  I we've had a number of clients who've actually said that being able to see
[08:33.570 --> 08:37.610]  that has one of them identified that the fan had sucked some plastic up
[08:38.370 --> 08:41.010]  because they knew the fan was supposed to be on and they couldn't see the
[08:41.010 --> 08:44.850]  temperature drop. So they went to see what was wrong with the fan. Um,
[08:45.250 --> 08:48.730]  and others have realized, Oh, hang on. I haven't turned the heater on. Yes.
[08:48.730 --> 08:50.450]  They can see when the heater was supposed to kick in.
[08:50.450 --> 08:53.090]  Suddenly they don't see the temperature actually coming up.
[08:53.170 --> 08:54.930]  I actually had an air conditioning.
[08:55.690 --> 08:58.090]  Oh, I had an air conditioner. I had an air conditioner fail.
[08:58.130 --> 09:00.090]  And I would not have known without the minder unit.
[09:00.130 --> 09:02.890]  I checked to see what the temp was and it was really high in there.
[09:02.930 --> 09:06.410]  So I knew something's wrong. I need to get over there. And if I hadn't looked,
[09:06.690 --> 09:09.970]  I wasn't coming home from work for another four or five hours and four or five
[09:09.970 --> 09:12.130]  hours at that temperature, I would have not had a crop.
[09:12.330 --> 09:14.650]  So it was worth the investment already.
[09:16.170 --> 09:19.290]  Exactly. And I mean, and that's something that people don't re I mean, you know,
[09:19.290 --> 09:23.650]  when we come onto sort of the whole environment control and monitoring of the
[09:23.650 --> 09:27.290]  environment, we listen to lots of podcasts and they often talk about all the
[09:27.290 --> 09:30.970]  nutrients and the lighting and all of that, which is all good and well,
[09:30.970 --> 09:34.970]  but if the environment is off, it doesn't matter how good the lighting is,
[09:35.050 --> 09:38.970]  how good the nutrients are. Um, if it's, you know,
[09:39.490 --> 09:43.290]  45 degrees centigrade and 10% humidity, everything's dead. Absolutely.
[09:44.570 --> 09:49.010]  Unless you're growing cacti. It's not surviving that.
[09:49.410 --> 09:54.410]  And the problem with your run of the mill hygrometer is that it gives you the
[09:55.050 --> 09:56.970]  maximum temperature that it was at.
[09:56.970 --> 10:01.050]  And the minimum temperature was at with no indication as to how long you were at
[10:01.050 --> 10:03.490]  the maximum and the minimum temperature. Was it just a blip?
[10:04.010 --> 10:07.930]  Were you there for 10 minutes or was it four hours? Um,
[10:08.730 --> 10:13.730]  and so that's the extra information that we provide and it gives people that real
[10:14.290 --> 10:16.610]  insight into what's actually going on.
[10:17.210 --> 10:21.330]  I've noticed that most of the swings happen right when the lights go on or right
[10:21.330 --> 10:24.930]  when the lights go off within the next hour is when things really go different
[10:25.170 --> 10:26.730]  and you're never there for that time.
[10:26.730 --> 10:29.530]  You don't know what's happening in that grow room when those lights go off for
[10:29.530 --> 10:33.130]  that hour. It's really neat to find out what happens with your lights,
[10:33.210 --> 10:37.250]  your temperature, your humidity, your vapor pressure deficit in that hour swing.
[10:37.290 --> 10:39.570]  That's the most interesting part in my opinion.
[10:39.890 --> 10:42.730]  So it's really neat to get something like this and be able to chart what's
[10:42.770 --> 10:43.610]  happening.
[10:44.490 --> 10:49.490]  And then you can start to do things like plan to actually have fans come on 15
[10:49.610 --> 10:53.730]  minutes before the lights come on to sort of reduce that bump as the lights kick
[10:53.970 --> 10:58.890]  in and give everything an opportunity to start up before the lights come on.
[10:59.250 --> 11:00.450]  And the same with the lights go off.
[11:00.450 --> 11:03.170]  You can actually stop things extracting 10 minutes before if you're running in a
[11:03.170 --> 11:06.530]  really small space where if it carries on extracting,
[11:08.290 --> 11:11.730]  after the lights have gone off, it cools down too quickly. So you might say,
[11:11.730 --> 11:13.570]  well before just before the lights turn off,
[11:13.610 --> 11:15.410]  turn the fans off and we'll stop extracting.
[11:15.410 --> 11:19.530]  And then just that general sort of ambient cooling that happens can reduce that
[11:19.530 --> 11:20.370]  drop off.
[11:21.370 --> 11:23.850]  So you've already mentioned several ways that these things are going to improve
[11:23.850 --> 11:25.850]  our gardens. I've already mentioned one great way.
[11:26.250 --> 11:29.530]  I bet getting into the States has been a huge jump for you guys.
[11:31.850 --> 11:32.850]  Well, precisely. I mean,
[11:32.850 --> 11:37.410]  that's where we see there being a really big market and that's,
[11:37.530 --> 11:39.330]  you know, it's not kidding ourselves. You know,
[11:39.330 --> 11:43.410]  if you look at it as the gold rush equivalent, as it has been named, you know,
[11:43.410 --> 11:47.450]  the green rush. Absolutely. During that time,
[11:47.850 --> 11:51.050]  everybody, all the gold miners had to have mining equipment,
[11:51.530 --> 11:54.730]  whether they were successful or not at the end of the day, that's the reality.
[11:56.410 --> 11:57.290]  And you know,
[11:57.290 --> 12:01.530]  this is basic equipment that gives somebody the edge in the green rush that
[12:01.530 --> 12:05.650]  allows you to be able to have a much finer view and control of the environment.
[12:06.170 --> 12:09.490]  And with that market there, the fact is
[12:11.290 --> 12:14.210]  it's all the homey growers and they're all missing out.
[12:14.330 --> 12:16.050]  They can go and spend three, 4,000,
[12:16.050 --> 12:19.130]  which was really pricing them out of the market for, you know,
[12:19.130 --> 12:20.810]  an equivalent ish system.
[12:22.290 --> 12:26.250]  Ours comes in at just trying to do the exchange rate conversion. Well,
[12:26.250 --> 12:30.450]  our basic entry unit, the minder, which doesn't have a screen on it,
[12:30.770 --> 12:33.730]  which is ideal for like large, but for really small home users,
[12:33.730 --> 12:37.290]  as well as all the way through to large growth spaces that need to have lots of
[12:37.290 --> 12:39.490]  sensors hanging in, you don't want to screen on all of them.
[12:40.090 --> 12:43.090]  So these are just small units, got the sensors hanging off them.
[12:44.210 --> 12:47.650]  We retail them for 70 pounds. Oh, well that's affordable.
[12:48.210 --> 12:51.970]  So that's what about $120? That's about 120 us dollars.
[12:51.970 --> 12:55.570]  So that's definitely affordable. Yeah. And if you're going, and you know,
[12:55.570 --> 12:59.170]  and then you get all that data on the website and we can,
[12:59.330 --> 13:00.770]  and we add analytics over time.
[13:01.010 --> 13:04.170]  If we have enough customers who say we'd like to see this,
[13:04.210 --> 13:06.690]  we can just add it to the website and everybody gets it.
[13:07.890 --> 13:11.090]  It doesn't require applications or software on people's phones, et cetera,
[13:11.090 --> 13:11.930]  to be updated.
[13:12.690 --> 13:15.290]  And that's, what's beautiful about it. I have seen in the short time,
[13:15.290 --> 13:18.250]  I've been working with you guys. I've seen vast improvements to the website.
[13:18.250 --> 13:21.410]  It was a little, it was very new when I was introduced to it.
[13:21.410 --> 13:23.810]  And now it looks like a professional website.
[13:23.810 --> 13:26.330]  It looks like one of the major companies. It looks like NASA now.
[13:26.330 --> 13:29.770]  I think it's really great. It's come a long way since we first started.
[13:31.090 --> 13:33.850]  Yeah, it has come a long way. I mean, it started off, yeah,
[13:33.850 --> 13:38.170]  the approach is the same as we've done with the product range is it starts off.
[13:39.010 --> 13:42.610]  It has to do what it needs to do and then worry about making it look pretty
[13:42.610 --> 13:46.010]  afterwards. There you go. So, you know,
[13:46.010 --> 13:48.930]  that's the first step is, is making sure it is what it is.
[13:48.970 --> 13:50.970]  I think in this industry, what it says on the tin,
[13:51.090 --> 13:53.610]  in this industry, too many people did that backwards.
[13:53.610 --> 13:56.450]  They tried to make it pretty and then figure out how to make it work.
[13:57.450 --> 13:58.290]  Yeah. Yeah.
[13:58.850 --> 14:02.290]  So you make a solution and then try and find a problem for it. Yes.
[14:02.490 --> 14:03.330]  That's the other.
[14:04.250 --> 14:07.170]  What you've told us about the, the 70 pound unit.
[14:07.170 --> 14:09.170]  What's the other unit you've got available for us?
[14:10.330 --> 14:14.330]  Well, the other one that we have is the Minder Plus and that has a screen on it.
[14:15.050 --> 14:20.610]  And that retails for 90 pounds. So about a hundred and 50 dollars,
[14:20.610 --> 14:22.050]  I guess. You're still very affordable.
[14:22.210 --> 14:24.450]  That's nice. Yeah.
[14:25.290 --> 14:27.770]  And the nice thing about that one is if you've got a sealed environment,
[14:27.770 --> 14:28.130]  for instance,
[14:28.130 --> 14:31.010]  you can mount it on the outside and then have the leads running into,
[14:31.170 --> 14:32.010]  into the environment.
[14:32.450 --> 14:36.170]  So you could have one on the outside that you can see what's going on.
[14:36.210 --> 14:40.130]  And then you could hang a couple of the other Minder units without screens
[14:40.530 --> 14:44.570]  within the space. If you wanted to monitor more, more areas.
[14:45.210 --> 14:48.770]  Now, how, how many square feet would you recommend?
[14:48.770 --> 14:51.170]  I hang each unit, how far apart would I need them?
[14:51.170 --> 14:53.330]  If I've got a large room, how many would I,
[14:53.370 --> 14:57.770]  would you recommend per square foot or so? Or I guess you do a meter there.
[14:57.770 --> 14:58.610]  I apologize.
[15:00.330 --> 15:04.650]  Oh, that's a good question. Actually. I mean, each sensor by default,
[15:04.690 --> 15:09.010]  I mean, each unit by default comes with two and a half meter leads,
[15:09.010 --> 15:10.890]  which is six,
[15:12.250 --> 15:13.330]  about seven or eight feet.
[15:15.370 --> 15:19.970]  Yeah. And we do them up to much longer leads as well. We do up to 10 meters,
[15:19.970 --> 15:21.850]  which is about 30 feet. Okay.
[15:24.330 --> 15:28.450]  So it really comes down to how tight somebody wants to be measuring it.
[15:28.450 --> 15:29.610]  I guess each one,
[15:31.570 --> 15:35.410]  I hang two in the house that's three meters wide,
[15:35.450 --> 15:38.370]  but that's two of the ambient ones and one at just each end of the greenhouse.
[15:38.770 --> 15:42.250]  A certain amount of that's going to depend on how much airflow you've got moving
[15:42.250 --> 15:45.330]  around the, the room as well. I mean,
[15:45.330 --> 15:48.450]  I've got one in a five meter by four meter area,
[15:48.450 --> 15:52.130]  and that gives me a relatively good, a good consistent reading.
[15:52.730 --> 15:55.450]  So probably five meters square would probably be good.
[15:55.450 --> 15:57.090]  You could possibly go a bit larger, but as I say,
[15:57.090 --> 15:59.570]  it depends on how much airflow you've got going around the room as well.
[16:00.090 --> 16:02.090]  That's quite a large space to monitor. That's a,
[16:02.090 --> 16:05.210]  that's pretty impressive for one unit. I like that. I expected less space.
[16:08.090 --> 16:09.050]  Yeah. I mean, I would, yeah.
[16:09.690 --> 16:13.170]  So most homegrows are going to be able to, would get away with just one unit.
[16:14.370 --> 16:17.970]  Exactly. I mean, and I say most of the customer base does.
[16:18.650 --> 16:20.370]  That is excellent. That's excellent.
[16:20.370 --> 16:21.850]  I could probably get away with one,
[16:21.850 --> 16:24.650]  maybe two and almost all of my larger grow rooms.
[16:27.090 --> 16:30.450]  And then what you can also do with them, I mean, a little sort of a nice bit,
[16:31.170 --> 16:33.650]  which is probably more relevant to the U S actually,
[16:33.650 --> 16:38.650]  cause you've got multiple time zones, which we don't have here.
[16:39.930 --> 16:43.050]  Is you can actually set each device to be in its own time zone.
[16:43.050 --> 16:44.330]  So when you're looking at the data,
[16:44.330 --> 16:46.690]  you're actually seeing it relevant to the local time.
[16:46.890 --> 16:47.730]  Oh, that's excellent.
[16:47.730 --> 16:50.530]  You're not having to do a mental calculation. So if you had grow facilities,
[16:50.530 --> 16:53.410]  if you, if you own, you know,
[16:53.410 --> 16:56.850]  multiple facilities and you want it to be actually keep an eye centrally on what
[16:56.850 --> 17:01.210]  was going on in each one of them locally in local time, you know,
[17:01.210 --> 17:04.650]  we support that straight away. And then that's something that
[17:05.770 --> 17:09.330]  I haven't necessarily seen on others, but I can't really comment too much.
[17:09.690 --> 17:10.530]  Well, that's a great feature.
[17:10.530 --> 17:15.530]  Sounds like when he has a plane flying overhead.
[17:18.210 --> 17:20.290]  Indeed. There's plenty of that each hour.
[17:21.610 --> 17:22.450]  Yeah.
[17:23.690 --> 17:28.370]  And then the, what are these two products,
[17:28.370 --> 17:33.170]  the minder and the minder plus there are entry level products and that's the
[17:33.170 --> 17:35.610]  ones that we've gone to market with to start.
[17:36.330 --> 17:40.930]  But the real sort of the crown jewel is, is the controller unit,
[17:40.970 --> 17:45.570]  which allows you to control humidifiers,
[17:45.570 --> 17:50.170]  dehumidifiers, fans, AC units, heaters,
[17:50.170 --> 17:51.010]  et cetera.
[17:51.930 --> 17:56.210]  By in response to readings from the sensors.
[17:58.010 --> 18:00.290]  So it comes with four, four sockets.
[18:01.370 --> 18:04.530]  And we're close to launching this in the UK.
[18:06.610 --> 18:10.450]  We've had a number of early adopters who've taken this up and this is where we
[18:10.450 --> 18:12.890]  also the U S market. And that's where, um,
[18:13.810 --> 18:16.810]  it gets really interesting is now the ability to automate the controlling of an
[18:16.810 --> 18:17.650]  environment.
[18:17.650 --> 18:20.970]  So when the humidity gets too low, then it'll fire up my humidifier.
[18:21.010 --> 18:23.130]  And then when it gets to the right temp, it'll turn that off.
[18:23.130 --> 18:25.570]  And then if it gets too high, it'll put my dehumidifier for me.
[18:26.970 --> 18:29.970]  Correct. Correct. Excellent. That's we can all use stuff like that.
[18:30.050 --> 18:32.090]  Automation is key and commercial grows.
[18:33.490 --> 18:35.410]  Yeah. And again, for the home grower,
[18:35.410 --> 18:38.570]  where, um, which is, you know,
[18:38.570 --> 18:42.730]  the target market with the technology being able to scale up in terms of what it
[18:42.730 --> 18:46.370]  can control in size and, um, magnitude,
[18:47.130 --> 18:51.730]  you know, a, a dehumidifier, a probably in the States, like a $50, you know,
[18:51.730 --> 18:56.130]  there's three humidifiers that only turn on. I mean,
[18:56.130 --> 18:59.050]  it's switch it on. You tell it how fast it needs to run.
[18:59.050 --> 19:01.050]  And that's about the only control you have over it.
[19:01.450 --> 19:04.170]  You can't tell it to cut off at different humidities. Right.
[19:04.410 --> 19:09.170]  If you want that you're spending like $500 on a humidifier that will know to turn
[19:09.170 --> 19:11.850]  off at 75% humidity, for example,
[19:12.770 --> 19:16.970]  there's a huge price difference in those systems. But with ours,
[19:17.330 --> 19:22.370]  this now allows somebody to take their 30 or $50 humidifier and make it perform
[19:22.530 --> 19:26.530]  like in terms of functionality, like a $500 humidifier,
[19:26.850 --> 19:29.450]  that's how it turned on and off only when it needs to come on and off.
[19:29.610 --> 19:30.490]  That's going to be helpful.
[19:30.810 --> 19:33.250]  Do you have a price point in mind for that unit when it's ready?
[19:35.170 --> 19:39.250]  In the UK, we're looking at 400 pounds for that unit.
[19:39.370 --> 19:42.530]  Okay. And that's worth it. That's may, it may sound like a high number,
[19:42.530 --> 19:45.250]  but for something that's going to turn on and off my devices,
[19:45.730 --> 19:47.010]  well worth the price there.
[19:47.050 --> 19:51.050]  That's more affordable than a major controller from a lot of the larger brands
[19:51.050 --> 19:53.090]  here. Will that,
[19:53.170 --> 19:55.970]  will that also be controlling the lights and all of the HVAC?
[19:57.370 --> 20:00.650]  Yes. You can tell it to control. It'll operate.
[20:00.650 --> 20:02.410]  It operates as a standalone unit as well.
[20:02.410 --> 20:06.690]  If you just had it completely standalone, it is like an agricultural timer.
[20:06.730 --> 20:08.250]  So it will do lights, pumps.
[20:09.890 --> 20:14.890]  It's when you then link it to one or more of the minor units that
[20:14.970 --> 20:17.930]  you get the additional functionality of, okay,
[20:18.090 --> 20:21.330]  I understand that's the humidity in that space. And it's connected to,
[20:21.610 --> 20:24.170]  this plug is connected to the humidifier that runs over there.
[20:24.210 --> 20:25.530]  I need to turn it on or turn it off.
[20:27.130 --> 20:29.330]  Excellent. This is going to be a great unit. You guys,
[20:29.410 --> 20:30.850]  I'm excited to get one of these.
[20:32.610 --> 20:37.010]  Yeah. Well, I mean, that's what we're looking for. We're looking for, you know,
[20:37.010 --> 20:41.330]  the interest from the, from the, from the US market. Yeah,
[20:41.330 --> 20:43.970]  there are from a purely, from a business perspective,
[20:43.970 --> 20:47.210]  there are opportunities clearly over there.
[20:47.210 --> 20:52.050]  We're looking to work with whoever we can to make it happen.
[20:52.130 --> 20:54.210]  There's different regulations in terms of
[20:56.930 --> 21:00.330]  electrical and all sorts of fun and fun and games. I must say it's a,
[21:00.370 --> 21:02.970]  it's great fun starting your own business.
[21:03.090 --> 21:04.210]  Oh, I'm sure you get to recommend it.
[21:04.250 --> 21:07.050]  You get to design a product and then master it there.
[21:07.050 --> 21:08.090]  And then before you send it to us,
[21:08.090 --> 21:10.930]  you have to redesign it because you have to redo a few things. I'm sure.
[21:13.290 --> 21:17.650]  Yeah. And there are 37 different plugs all around the world.
[21:17.850 --> 21:22.410]  So you could have find something. If you're going for a truly global market,
[21:22.450 --> 21:24.730]  you're going to have one that's 37 different plugs.
[21:24.890 --> 21:28.850]  How far into it were you before you realized 37 plugs were the option?
[21:31.330 --> 21:33.010]  Oh, I think we were fairly committed
[21:35.050 --> 21:38.370]  at that point. Yes. You had to buy all 37 plugs and figure them out.
[21:38.370 --> 21:41.090]  That's great. Well, I appreciate the work you've put into it. You guys,
[21:41.370 --> 21:42.290]  when do we,
[21:42.290 --> 21:46.730]  when can we expect the controller unit to be available for the U S market?
[21:50.330 --> 21:53.410]  Well, if everything goes according to plan over the next few months,
[21:53.410 --> 21:55.850]  we're probably looking towards,
[21:56.730 --> 22:01.010]  hopefully around about early next year. Okay. But that's, you know,
[22:01.410 --> 22:06.050]  I would much rather err on the side of caution than overly optimistic.
[22:06.610 --> 22:09.930]  Hey, if there's any of the right investors who happen to listen to this podcast,
[22:11.330 --> 22:12.650]  plug, you get in contact.
[22:16.330 --> 22:18.330]  Tell them since you're plugging yourself, Tom,
[22:18.330 --> 22:20.250]  how they can find you if they do want to reach out at you.
