[00:11.200 --> 00:20.520]  Welcome back, cannabis community.
[02:50.020 --> 02:51.020]  Yes.
[02:51.020 --> 02:52.020]  Someone who is from California.
[02:52.020 --> 02:53.020]  Yeah, it's Santa Ana, California.
[02:53.020 --> 02:55.520]  So Mike tweeted this the other day.
[02:55.520 --> 02:58.520]  If you guys follow Mike or the show on Twitter or my personal Twitter.
[02:58.520 --> 03:02.020]  Possibly my most popular tweet ever.
[03:02.020 --> 03:05.020]  Yeah, dude. I got a lot of Twitter notifications because of this.
[03:05.020 --> 03:08.020]  So Mike is at Nemopunk15 on Twitter.
[03:08.020 --> 03:12.020]  I am at RastaJeff420 and the show is at GFYH Podcast.
[03:12.020 --> 03:16.020]  All of our Twitter started blowing up when this video came out.
[03:16.020 --> 03:21.020]  The title of the video is Santa Ana Pot Shop Raid Sparks Investigation.
[03:21.020 --> 03:22.020]  So I want to play the video.
[03:22.020 --> 03:25.020]  I'm pretty sure I can play this video and no one's going to get mad at me.
[03:25.020 --> 03:26.020]  This comes from YouTube.
[03:26.020 --> 03:27.020]  I'm going to play it here on the show.
[03:27.020 --> 03:30.020]  We're going to watch it and I'm going to kind of narrate it.
[03:31.020 --> 03:34.020]  It's going to be a little like a Doug Benson interruption sort of a thing here.
[03:34.020 --> 03:38.020]  We're just going to interrupt this thing and talk a bunch of shit over it and explain what's going on.
[03:38.020 --> 03:43.020]  It starts off with, I'll just, before we even hit play, it starts off with a disclaimer.
[03:43.020 --> 03:44.020]  And I want to read that to you guys.
[03:44.020 --> 03:52.020]  It says, the following video shows a raid by Santa Ana police at the Sky High Medical Marijuana Dispensary on May 27, 2015.
[03:52.020 --> 03:55.020]  The footage has been edited by the dispensary's attorneys.
[03:55.020 --> 04:01.020]  The text that appears in the portions of the video also were inserted by the attorneys to explain what they believe was occurring.
[04:01.020 --> 04:06.020]  After reviewing the photo, Santa Ana's police chief says he plans to investigate the officer's actions.
[04:06.020 --> 04:10.020]  So now I'm going to hit play and I may have to adjust the volume a couple times.
[04:10.020 --> 04:12.020]  Oh, I still got the reggae playing from the intro.
[04:12.020 --> 04:15.020]  I'm going to have to adjust the volume because it's a YouTube video and it gets choppy.
[04:15.020 --> 04:19.020]  All right, before you hit play, man, just a little background for everybody listening.
[04:19.020 --> 04:28.020]  So the city in question here decided that they were going to ban all dispensaries, at least for now.
[04:28.020 --> 04:37.020]  And there were several that had opened up already or opened up in the face of the ban and continued to operate.
[04:37.020 --> 04:46.020]  So I'm not exactly sure what steps were taken before the video starts playing by the city, but yeah, the video's nuts.
[04:46.020 --> 04:51.020]  I'm not trying to defend anything in it just to give you guys a little heads up as to what led up to the video hitting.
[04:51.020 --> 04:54.020]  True starting. All right, so I'm going to hit play now.
[04:54.020 --> 05:02.020]  And here we go. I apologize if the volume is wonky, you guys. I'll be on it quickly.
[05:02.020 --> 05:07.020]  All right. So what's happening is that's the battering ram on the front door.
[05:07.020 --> 05:12.020]  So let's hit pause and talk about this. They're battering, battering, ramming the front door.
[05:12.020 --> 05:16.020]  They're busting in the front door, right? They're hitting it with the battering ram inward.
[05:16.020 --> 05:21.020]  It is an outward pulling door. If the dude would have grabbed the handle and pulled, right, it would have opened.
[05:21.020 --> 05:24.020]  It was unlocked. It's a business that's open for business.
[05:24.020 --> 05:28.020]  The view that we're seeing is coming from a hidden camera and security cameras.
[05:28.020 --> 05:34.020]  The law enforcement tore down all the cameras during the raid, but there were hidden cameras in here at the advice of the attorney.
[05:34.020 --> 05:38.020]  So if you own a dispensary, put up some hidden cameras so that you can catch this shit if it goes on.
[05:38.020 --> 05:41.020]  But all they had to do is pull that door open and walk in.
[05:41.020 --> 05:44.020]  They were they are slam the door with the battering ram. So, all right.
[05:44.020 --> 05:48.020]  Then they finally realize, oh, we can pull. They pull the door open and they come in.
[05:51.020 --> 05:53.020]  So they're now rushing in and clearing everywhere.
[05:57.020 --> 06:00.020]  Some of them are carrying pistols. Some of them are carrying assault rifles.
[06:00.020 --> 06:04.020]  They're all in body armor. Most of them are wearing masks.
[06:04.020 --> 06:07.020]  They bust open the door of what would be the bud room.
[06:07.020 --> 06:09.020]  And the noise is just so noisy in here.
[06:09.020 --> 06:12.020]  But they start yelling, get on the fucking ground to people.
[06:12.020 --> 06:14.020]  And all these people are just customers, just shopping here.
[06:14.020 --> 06:18.020]  And they look a little confused, like, wait, we're shopping. We're not doing anything wrong.
[06:18.020 --> 06:23.020]  So I'm gonna hit play again. And the volume, the sound is terrible on this video, but it's just a security cam footage.
[06:23.020 --> 06:24.020]  So that's what we get. Here we go.
[06:27.930 --> 06:30.930]  So you're hearing, get on the fucking ground. They're throwing everybody on the ground.
[06:31.930 --> 06:35.930]  These cops got guns on everybody. Cops got masks. This one cop's got his helmet on.
[06:36.930 --> 06:38.930]  This one dude's not wearing a mask or anything.
[06:38.930 --> 06:41.930]  So then they're getting everybody out.
[06:44.930 --> 06:49.930]  They're telling the employees to turn off the music, turn off that radio, because the music's pretty loud in the shop.
[06:49.930 --> 06:56.930]  Right. I love it that all the giant guy cops are in masks and there's like a 160 pound female officer.
[06:57.930 --> 07:00.930]  And she's not in a mask. Like, what's the mask for, fellas?
[07:00.930 --> 07:03.930]  Yeah, right. She seems, the masks will come off soon.
[07:03.930 --> 07:05.930]  Yeah, they come off when all the cops, the cameras are destroyed.
[07:05.930 --> 07:09.930]  Right now, sorry, Mike can't see the screen right now, so he doesn't know what's going on, but he's seen the video enough times.
[07:10.930 --> 07:16.930]  Now they are escorting a lady out who is in a wheelchair, who I found out later after the video was posted, she is blind.
[07:16.930 --> 07:21.930]  She is blind and in a wheelchair. And they're just making them follow. They're like, follow me.
[07:21.930 --> 07:27.930]  Yeah, she has one leg and she, and yeah, she's just at the shop as a patient.
[07:28.930 --> 07:30.930]  So then it gets worse.
[07:30.930 --> 07:34.930]  Here's what, here's what they had to say about the lady with the amputated leg.
[07:34.930 --> 07:36.930]  Here's here, I'm going to make sure you guys can hear it.
[07:36.930 --> 07:41.930]  Here's what the cops are saying about it. And I've got some sound equipment trying to process it to make it sound better also.
[07:41.930 --> 07:44.930]  And this is maybe a 50 or 60 year old woman.
[07:52.100 --> 07:55.100]  So the one cop asked, did you punch that old Benita?
[07:55.100 --> 07:59.100]  And the lady cop replied, I was about to kick her in her fucking nub.
[07:59.100 --> 08:01.100]  These are the people that we pay to protect and serve us.
[08:01.100 --> 08:03.100]  These are the people that think they're doing us a service.
[08:03.100 --> 08:05.100]  In the land of the free and the home of the brave.
[08:05.100 --> 08:08.100]  These are the people that are serving and protecting the community.
[08:08.100 --> 08:11.100]  And they're talking about, did you punch that old Benita?
[08:12.100 --> 08:15.100]  It's like a 60 year old woman in a wheelchair with one leg.
[08:15.100 --> 08:16.100]  A handicapped lady.
[08:16.100 --> 08:24.100]  Yeah. Why? What law enforcement action would require you to ever physically assault a 60 year old woman in a wheelchair?
[08:24.100 --> 08:27.100]  And why would she want to kick her in her fucking nub?
[08:27.100 --> 08:30.100]  That's not any sort of law enforcement tactic.
[08:30.100 --> 08:35.100]  I'm pretty sure if we look up any law enforcement manual, kick her in her fucking nub is not in there ever.
[08:35.100 --> 08:37.100]  Nope. No. All right. I'm gonna hit play again.
[08:37.100 --> 08:39.100]  We'll find more bullshit in this.
[08:40.100 --> 08:41.100]  No, it just gets worse.
[08:43.100 --> 08:44.100]  They keep repeating it.
[08:44.100 --> 08:46.100]  Oh no, they just keep playing it from different angles.
[08:53.300 --> 08:58.300]  So then the next part is the officers climbing up onto the display cases.
[08:58.300 --> 09:01.300]  Oh, now first he's trying to pull it down with like his crowbar.
[09:01.300 --> 09:04.300]  Yeah, they're swinging at the cameras on the ceiling with a crowbar and stuff.
[09:04.300 --> 09:10.300]  Just smashing security equipment because they don't want what's about to take place to be recorded.
[09:10.300 --> 09:12.300]  Yeah, exactly.
[09:13.300 --> 09:15.300]  And they didn't realize that they were on a hidden camera, which is funny.
[09:15.300 --> 09:17.300]  This guy looked right into it one time.
[09:17.300 --> 09:19.300]  They didn't realize it was a hidden camera.
[09:19.300 --> 09:25.300]  Well, the dispenser had two layers of cameras, so cops completely missed layer number two.
[09:26.300 --> 09:28.300]  It's a nice looking shop too, wherever this place was.
[09:28.300 --> 09:30.300]  They had several jars. It's a well set up place.
[09:30.300 --> 09:32.300]  They got a nice looking menu. It's painted well. Nice hardwood floors.
[09:32.300 --> 09:34.300]  They were killing it. Looks like a good shop.
[09:34.300 --> 09:37.300]  The lobby doesn't look totally different from the one I work in.
[09:38.300 --> 09:39.300]  We, we.
[09:39.300 --> 09:40.300]  Yep.
[09:40.300 --> 09:42.300]  Shout out to the spa dispensary while this video plays.
[09:42.300 --> 09:45.300]  So the cops are now tearing down the cameras.
[09:45.300 --> 09:46.300]  It's a seven minute video, guys.
[09:46.300 --> 09:49.300]  And we're probably gonna watch the majority of it here while we talk about it.
[09:49.300 --> 09:54.300]  Now the cops are in the offices climbing up on top of the desks and the saves.
[09:54.300 --> 09:57.300]  And now they've got bolt cutters so they can cut the wires on all the shit.
[09:57.300 --> 09:59.300]  And they pull the TV down and just start cutting wires.
[09:59.300 --> 10:02.300]  And they're watching the monitor to see where the cameras are.
[10:02.300 --> 10:04.300]  Then they're sending the dudes to go cut it.
[10:04.300 --> 10:07.300]  This dude's in like full on. He looks like fucking GI Joe, bro.
[10:07.300 --> 10:09.300]  He's in full on SWAT gear. He's got a mask on.
[10:09.300 --> 10:12.300]  He's got more guns than you need for a fucking army.
[10:12.300 --> 10:16.300]  These dudes went into a dispensary where people were shopping and doing business like,
[10:16.300 --> 10:18.300]  and raided them like fucking SWAT style.
[10:18.300 --> 10:19.300]  Yep.
[10:19.300 --> 10:21.300]  Isn't there a crack house or somewhere that needed to be raided?
[10:21.300 --> 10:23.300]  Apparently not.
[10:23.300 --> 10:24.300]  Yeah.
[10:24.300 --> 10:27.300]  At this point in the video, all the furniture has been smashed.
[10:27.300 --> 10:31.300]  Desks are flipped over. The display cases are all broken open.
[10:31.300 --> 10:33.300]  They're carrying out the DVRs as evidence.
[10:33.300 --> 10:35.300]  So now here's where the video gets funny, guys.
[10:38.300 --> 10:42.300]  So they think they've broken all the cameras and disconnected the DVR.
[10:42.300 --> 10:45.300]  So they don't think anybody can see them now.
[10:45.300 --> 10:48.300]  So now all the masks come off.
[10:48.300 --> 10:49.300]  Yes. Nobody is masked.
[10:49.300 --> 10:53.300]  They are opening each jar and smelling the jars.
[10:53.300 --> 10:56.300]  One of the officers has the buds pressed up against his face,
[10:56.300 --> 10:58.300]  just like you or I would do it and smelling it.
[10:58.300 --> 11:00.300]  And then, um,
[11:03.300 --> 11:04.300]  I got to turn it down a little bit.
[11:04.300 --> 11:08.300]  And then one of the officers, that's one officer asking another for one edible, please.
[11:08.300 --> 11:11.300]  So one of the guys, I'm going to pause it right now.
[11:11.300 --> 11:13.300]  Officer that I don't know his name.
[11:13.300 --> 11:17.300]  He's wearing a white shirt with green sleeves.
[11:17.300 --> 11:20.300]  He's got a shaved head, a beard and a mustache.
[11:20.300 --> 11:21.300]  He just unwrapped a product.
[11:21.300 --> 11:24.300]  I cannot tell you that it was certainly an edible infused with cannabis,
[11:24.300 --> 11:27.300]  but his friend just said, please.
[11:27.300 --> 11:31.300]  And he unwrapped this food product and put it directly into his mouth and
[11:31.300 --> 11:37.300]  offered the second half to his other buddy who is wearing fucking cop uniform,
[11:37.300 --> 11:41.300]  dude, green pants, greenish gray pants, black police shirt,
[11:41.300 --> 11:46.300]  and a bald fucking head and some sunglasses kind of, kind of muscular handed.
[11:46.300 --> 11:47.300]  The other part to him.
[11:47.300 --> 11:48.300]  Let me see if he eats that part.
[11:49.300 --> 11:50.300]  Cut away the video cutaway.
[11:50.300 --> 11:51.300]  Yeah.
[11:51.300 --> 11:53.300]  The lawyers edited it kind of funny,
[11:54.300 --> 11:56.300]  but they just showed this fucking cop.
[11:56.300 --> 12:01.300]  That's rating the dispensary, eating the edibles from the dispensary that he's rating.
[12:01.300 --> 12:03.300]  How does that uphold the law?
[12:03.300 --> 12:04.300]  How is that justice?
[12:04.300 --> 12:05.300]  Right.
[12:05.300 --> 12:11.300]  In theory, all of these officers are on duty and they're consuming edibles and they're all contributing to each other.
[12:12.300 --> 12:13.300]  Right.
[12:13.300 --> 12:14.300]  They're all high five in and having fun.
[12:14.300 --> 12:16.300]  One of them starts playing darts at one point.
[12:16.300 --> 12:19.300]  So, so now they're just hanging out, throwing darts.
[12:20.300 --> 12:23.300]  The guy that ate the edible doesn't show any signs of being high right now yet,
[12:23.300 --> 12:26.300]  but I don't know how much time has passed.
[12:28.300 --> 12:31.300]  And they're just sitting around playing darts, texting each other.
[12:31.300 --> 12:32.300]  I don't know who they're texting, but they're all texting.
[12:32.300 --> 12:33.300]  They've got their phones out.
[12:33.300 --> 12:34.300]  They're just dicking around.
[12:34.300 --> 12:36.300]  They're all on the clock laughing.
[12:36.300 --> 12:37.300]  You can hear the giggles.
[12:37.300 --> 12:39.300]  So I think I've mostly proven my point.
[12:39.300 --> 12:42.300]  You guys, these cops rated a dispensary.
[12:42.300 --> 12:52.300]  They were complete disrespectful cunts to handicapped people, a lady in a wheelchair, a blind lady, medical marijuana patients, regular customers, employees of this business.
[12:52.300 --> 12:54.300]  They belittled all these people.
[12:54.300 --> 12:55.300]  They disrespected these people.
[12:55.300 --> 12:57.300]  They violated their civil rights.
[12:57.300 --> 13:00.300]  Then they come in and destroy this place's business.
[13:00.300 --> 13:02.300]  They probably cost them so much money.
[13:02.300 --> 13:04.300]  The store looks like shit now.
[13:04.300 --> 13:06.300]  It was beautiful when I started.
[13:06.300 --> 13:08.300]  Then to add insult to fucking injury.
[13:09.300 --> 13:12.300]  These guys are the people that we pay to protect us, to keep us safe.
[13:12.300 --> 13:19.300]  They came in and they basically robbed this place because now they're eating the products that they were supposed to destroy on camera.
[13:19.300 --> 13:20.300]  They're munching them.
[13:20.300 --> 13:21.300]  It's like laughing in our faces.
[13:21.300 --> 13:26.300]  Oh, wait, this other cop is full on, just unwrapped an edible and is grubbing it, dude.
[13:26.300 --> 13:28.300]  Just sitting at the counter, grubbing it, reading the label.
[13:28.300 --> 13:32.300]  Yeah, carrying it around with them and just munching on it like it's fucking a banana.
[13:32.300 --> 13:36.300]  If they just went balls in like that and ate these edibles and didn't get stupid high, they're pot consumers.
[13:36.300 --> 13:37.300]  They're regular consumers.
[13:37.300 --> 13:39.300]  Regular, regular consumers.
[13:39.300 --> 13:43.300]  There's so much disturbing behavior packed into such a short video.
[13:43.300 --> 13:46.300]  He's just munching it and he gave a thumbs up to somebody like, this is good.
[13:46.300 --> 13:47.300]  Yeah.
[13:47.300 --> 13:49.300]  Oh, they're bagging shit up to take home it looks like.
[13:49.300 --> 13:51.300]  Let's see if he does.
[13:51.300 --> 13:54.300]  I'm assuming that that's about what's about to happen, but I can't promise you.
[13:54.300 --> 13:56.300]  That's my presumption.
[13:56.300 --> 13:59.300]  He put something in a bag and he's walking off a camera with it.
[13:59.300 --> 14:01.300]  That doesn't look like an evidence bag to me.
[14:01.300 --> 14:03.300]  No, it was a bag from the dispensary.
[14:03.300 --> 14:06.300]  It looks like a checkout bag that I fill all day long.
[14:06.300 --> 14:08.300]  Yeah, that's ridiculous.
[14:08.300 --> 14:12.300]  You guys will try to keep you updated on what happens with the Santa Ana police.
[14:12.300 --> 14:16.300]  After that, there's definitely going to be some sort of definitely going to be.
[14:16.300 --> 14:19.300]  There's an investigation going on right now.
[14:19.300 --> 14:22.300]  The mayor is has made public comments.
[14:22.300 --> 14:23.300]  It's blowing up.
[14:23.300 --> 14:26.300]  So find the video people and share it around.
[14:26.300 --> 14:27.300]  Make sure everybody sees.
[14:27.300 --> 14:31.300]  I mean, how often do you hear, hey, it's practically legal in California, right?
[14:31.300 --> 14:33.300]  Just get your medical card, man.
[14:33.300 --> 14:36.300]  Everybody in that shop had a medical card.
[14:36.300 --> 14:38.300]  Hopefully they just sent the customers home.
[14:38.300 --> 14:41.300]  A long time ago, Mike and I, I was the manager.
[14:41.300 --> 14:43.300]  I fucking had the keys, bro.
[14:43.300 --> 14:46.300]  I used to run the only dispensary in Pueblo.
[14:46.300 --> 14:48.300]  It's pretty much my shop for a little while.
[14:48.300 --> 14:51.300]  And then Mike was my backup bud tender because I couldn't handle it all by myself.
[14:51.300 --> 14:55.300]  I was working fucking 12 hour days, six days a week and killing it.
[14:55.300 --> 14:56.300]  So I got Mike in there to help.
[14:56.300 --> 15:00.300]  And then one day they decided to come in and close us while we had customers in the building.
[15:01.300 --> 15:07.300]  Just to prove a point, Mike, do you want to tell us how they chose to come in and close our medical marijuana dispensary?
[15:08.300 --> 15:09.300]  I can't remember.
[15:09.300 --> 15:11.300]  I think it was just a regular random police officer.
[15:11.300 --> 15:16.300]  And then the city manager at the time walked up to the front door, knocked on the door.
[15:17.300 --> 15:18.300]  Security let him in.
[15:18.300 --> 15:20.300]  They asked to speak to a manager.
[15:20.300 --> 15:23.300]  The manager walked up and asked, you know, hi, what can I do for you?
[15:23.300 --> 15:27.300]  They said, hi, we're from the city of Pueblo and we've got to deliver this letter.
[15:27.300 --> 15:28.300]  Have a nice day.
[15:28.300 --> 15:29.300]  And then they turned around and left.
[15:30.300 --> 15:34.300]  The letter said, we haven't passed regulations for dispensaries yet.
[15:34.300 --> 15:35.300]  You have to close.
[15:36.300 --> 15:37.300]  And that was the end of it.
[15:37.300 --> 15:39.300]  Nobody wanted to kick any old Bonita?
[15:39.300 --> 15:40.300]  Nope.
[15:40.300 --> 15:42.300]  Yeah, no, nothing was smashed.
[15:42.300 --> 15:44.300]  They didn't have to break out the SWAT team.
[15:44.300 --> 15:50.300]  Nobody needed to protect their identity while they destroyed property in a random business.
[15:50.300 --> 15:51.300]  They didn't need to feel intimidating.
[15:51.300 --> 15:53.300]  They didn't need to waste 12 officers time.
[15:53.300 --> 15:55.300]  They didn't need to fuck up our days.
[15:55.300 --> 15:56.300]  They came in and said, you guys are fired.
[15:57.300 --> 15:59.300]  Basically, they walked in and said, you're fired.
[16:00.300 --> 16:02.300]  You need to find a new job soon is what they all walked in and said.
[16:03.300 --> 16:04.300]  And that was the end of it.
[16:04.300 --> 16:07.300]  I mean, they didn't raid or smash or steal anything.
[16:07.300 --> 16:11.300]  And yeah, there's no, absolutely no need for this on behalf of the city.
[16:11.300 --> 16:15.300]  And now we've got dispensaries 10 miles away, every direction, but not in our city.
[16:15.300 --> 16:16.300]  Right.
[16:16.300 --> 16:17.300]  Pretty stupid.
[16:17.300 --> 16:18.300]  Right on Pueblo.
[16:18.300 --> 16:19.300]  Good move there.
[16:19.300 --> 16:20.300]  So Santa Ana, what the fuck, dude?
[16:20.300 --> 16:21.300]  I want to see how this turns out.
[16:21.300 --> 16:22.300]  Don't let these cops get away with this.
[16:22.300 --> 16:32.300]  Those guys, if you sent them there to take down this dispensary because cannabis is federally illegal by eating the evidence there, they definitely committed a huge crime.
[16:32.300 --> 16:39.300]  If I had done that, if you caught me destroying evidence on camera, I'd be fucked.
[16:39.300 --> 16:47.300]  The part of the video that really pissed me off and I knew I had to share it like everywhere I possibly could was right at the end of the video.
[16:48.300 --> 16:55.300]  The fire department shows up and one of the cops shouts nice and loud and clear for the microphones fires here.
[16:55.300 --> 16:56.300]  Everybody watch your mouth.
[16:57.300 --> 16:59.300]  It's the police department and the fire department.
[16:59.300 --> 17:02.300]  They're essentially the like Batman and fucking Robin, right?
[17:03.300 --> 17:04.300]  Why?
[17:04.300 --> 17:11.300]  Why would the fire department seeing and hearing the police doing police work or business be a bad thing?
[17:11.300 --> 17:12.300]  Why?
[17:12.300 --> 17:14.300]  Why would they have to watch their mouth around the fire department?
[17:14.300 --> 17:15.300]  What's with that?
[17:15.300 --> 17:17.300]  Maybe there's something because you're stealing.
[17:17.300 --> 17:19.300]  Is it because you're eating edibles on the job?
[17:20.300 --> 17:21.300]  You can't drink on the job.
[17:21.300 --> 17:23.300]  I'm pretty sure you can't consume cannabis on the job.
[17:24.300 --> 17:31.300]  If you're a if you're a cop raiding a place, you shouldn't be consuming anything there because then you're a Hippocratic prick.
[17:31.300 --> 17:32.300]  Well, no, it's theft.
[17:33.300 --> 17:34.300]  Well, yeah, but then you're also a prick.
[17:34.300 --> 17:37.300]  Like if I punch, if I was like, Mike, you're an asshole because you smoke weed.
[17:37.300 --> 17:39.300]  I want to turn you into the police.
[17:39.300 --> 17:41.300]  And you're like, dude, you just took four dabs with me.
[17:41.300 --> 17:42.300]  I'm a Hippocratic prick.
[17:42.300 --> 17:44.300]  You're a definite hypocrite for sure.
[17:44.300 --> 17:45.300]  Yeah.
[17:45.300 --> 17:50.300]  So these cops that are going in and ruining people's lives and then they're like, oh, well, I'm going to take some of the product that I just ruined your life over.
[17:51.300 --> 17:52.300]  Right.
[17:52.300 --> 17:53.300]  That's such a fucking piece of shit person move.
[17:54.300 --> 17:56.300]  I mean, it doesn't matter what they're rating.
[17:56.300 --> 17:58.300]  They can't take or eat anything there.
[17:58.300 --> 18:01.300]  Yeah, that's I mean, no one's been convicted of a crime.
[18:02.300 --> 18:04.300]  Like they're just destroying stuff for fun.
[18:05.300 --> 18:06.300]  They're stealing for fun.
[18:06.300 --> 18:11.300]  They're sitting there eating infused cannabis, fucking candy on the job.
[18:12.300 --> 18:15.300]  What happens when a call comes in because the bank of the streets getting robbed?
[18:16.300 --> 18:23.300]  Now we've got a cop on a fucking decadose Chiba Choo stone went through the fucking streets and full body armor with a semi-automatic assault rifle.
[18:24.300 --> 18:25.300]  Please.
[18:25.300 --> 18:28.300]  Like that's the last thing anyone needs is a bunch of cops on edibles.
[18:29.300 --> 18:30.300]  That's the truth.
[18:30.300 --> 18:31.300]  All right.
[18:31.300 --> 18:32.300]  We've got almost 20.
[18:32.300 --> 18:33.300]  We've got 20 minutes right now.
[18:33.300 --> 18:34.300]  So Mike put together some notes.
[18:35.300 --> 18:36.300]  I've been asking him to do it.
[18:36.300 --> 18:39.300]  I want to get more people involved in cannabis activism.
[18:39.300 --> 18:41.300]  This video is a nice little spark.
[18:41.300 --> 18:45.300]  If you're not getting involved and you've kept your head down to this point.
[18:45.300 --> 18:48.300]  I mean, this is in California where weeds basically legal.
[18:49.300 --> 18:55.300]  They're arresting people threatening to kick an old woman in a wheelchair because she didn't hustle the fuck up fast enough.
[18:55.300 --> 18:56.300]  I mean, come on.
[18:57.300 --> 18:58.300]  It's just absolutely ludicrous.
[18:58.300 --> 19:01.300]  Everybody needs to say enough is enough and stand up.
[19:01.300 --> 19:03.300]  And we're about to tell you how to do that.
[19:03.300 --> 19:04.300]  Yeah.
[19:04.300 --> 19:05.300]  All right, guys.
[19:05.300 --> 19:09.300]  This is my good buddy, Mike, and he's going to help you guys learn how to stand up for cannabis.
[19:10.300 --> 19:11.300]  You need another drink, bro?
[19:11.300 --> 19:12.300]  I see you over there shaking your half empty bottles.
[19:13.300 --> 19:14.300]  You want a water or one of these cans?
[19:15.300 --> 19:16.300]  I'm good.
[19:16.300 --> 19:17.300]  This one's fresh.
[19:17.300 --> 19:18.300]  All right.
[19:18.300 --> 19:19.300]  We got you.
[19:19.300 --> 19:20.300]  So, all right.
[19:20.300 --> 19:23.300]  So it's time to stand up and get involved, folks.
[19:23.300 --> 19:25.300]  So how do you go about doing that?
[19:26.300 --> 19:31.300]  The first thing I would say is figure out what about cannabis you're really passionate about.
[19:32.300 --> 19:34.300]  Do you love how it relaxes you at the end of the day?
