[00:17.850 --> 00:20.410]  Welcome back cannabis community.
[01:26.490 --> 01:28.450]  So much love and respect to the Black Sheep
[01:28.450 --> 01:29.770]  in Colorado Springs.
[01:29.770 --> 01:30.690]  Big shout out to the bands.
[01:30.690 --> 01:31.810]  Big shout out to Catchafaya.
[01:31.810 --> 01:33.090]  They came all the way from New Zealand
[01:33.090 --> 01:34.530]  to play in the States.
[01:34.530 --> 01:35.370]  That band is pretty cool.
[01:35.370 --> 01:37.290]  I had a good time checking those guys out.
[01:37.290 --> 01:38.250]  But I really had a good time
[01:38.250 --> 01:40.010]  getting down to the Mystic Roots.
[01:40.010 --> 01:40.850]  I hope I saw you there.
[01:40.850 --> 01:42.210]  I hope we got a high five together.
[01:42.210 --> 01:43.050]  I hope we got a dab.
[01:43.050 --> 01:44.330]  I hope I got to shake your hand.
[01:44.330 --> 01:45.730]  I hope we saw each other and had a great time.
[01:45.730 --> 01:47.610]  Big shout out to Smiles and the crew.
[01:47.610 --> 01:48.970]  Big shout out to Jessica.
[01:48.970 --> 01:50.170]  All the wooks that I hung out with.
[01:50.170 --> 01:52.330]  I had a great time with you guys.
[01:52.330 --> 01:53.650]  All right, you guys, in this podcast,
[01:53.650 --> 01:56.210]  I have my friend Will, the Barefoot Grower over.
[01:56.210 --> 01:58.170]  And we also had Rob from Sour Seeds over.
[01:58.170 --> 02:00.970]  And we talked a whole bunch about breeding.
[02:00.970 --> 02:03.130]  My friend Fred Garvin sent me an email.
[02:03.130 --> 02:05.970]  And he asked about harvesting his first seed crop.
[02:05.970 --> 02:08.530]  Fred is halfway through his first breeding project.
[02:08.530 --> 02:09.890]  And he wanted a little bit of guidance
[02:09.890 --> 02:12.530]  on how to properly take down his seeded plants.
[02:12.530 --> 02:13.730]  How to get the seeds out of there.
[02:13.730 --> 02:15.690]  How to store them and how to care for them.
[02:16.530 --> 02:18.330]  So we're gonna give a long discussion
[02:18.330 --> 02:21.210]  on pulling the seeds out of your seeded plants.
[02:21.210 --> 02:22.250]  Before we get that far, you guys,
[02:22.250 --> 02:23.530]  I wanna give a huge shout out to my friends
[02:23.530 --> 02:25.290]  at Elevate Glass in Colorado Springs.
[02:25.290 --> 02:28.170]  If you need a new rig, if you need a new nail,
[02:28.170 --> 02:29.170]  if you need a new dabber,
[02:29.170 --> 02:30.810]  if you're trying to buy a brand new e-nail,
[02:30.810 --> 02:32.570]  you can check out my friends at Elevate Glass.
[02:32.570 --> 02:34.810]  They're located at 517 South Cajon
[02:34.810 --> 02:37.090]  in beautiful Colorado Springs, Colorado.
[02:37.090 --> 02:38.930]  Make sure you let them know Ross and Jeff sent you.
[02:38.930 --> 02:40.090]  And let them know that you're listening
[02:40.090 --> 02:41.490]  to the Grow From Your Heart podcast.
[02:41.490 --> 02:43.050]  We would both appreciate it.
[02:43.050 --> 02:44.490]  So make sure you check out Elevate Glass,
[02:44.490 --> 02:47.650]  517 South Cajon in Colorado Springs.
[02:47.650 --> 02:48.850]  You guys, I'm gonna let this music play
[02:48.850 --> 02:49.690]  for a couple of seconds.
[02:49.690 --> 02:51.410]  And when we get back, we will be joined
[02:51.410 --> 02:54.750]  by the Barefoot Grower and Rob from Sour Seeds.
[03:00.040 --> 03:02.000]  All right, podcast world, we are back.
[03:02.000 --> 03:04.000]  Joining me at the table is my good buddy, Will,
[03:04.000 --> 03:05.440]  also known as the Barefoot Grower.
[03:05.440 --> 03:06.600]  Welcome to the table, bro.
[03:06.600 --> 03:07.440]  What's going on, man?
[03:07.440 --> 03:09.120]  Hey, are you still blowing glass?
[03:09.120 --> 03:11.080]  Unfortunately, I kinda had to put that on hiatus for a while.
[03:11.080 --> 03:11.920]  Okay, I was just curious.
[03:11.920 --> 03:14.720]  I saw you change from Barefoot Blower or Glass,
[03:14.720 --> 03:15.560]  Barefoot Glass to Barefoot Grower.
[03:15.560 --> 03:16.640]  That's the Barefoot Blower.
[03:17.120 --> 03:20.720]  That's another podcast.
[03:20.720 --> 03:22.360]  That's a whole different type of podcast.
[03:22.360 --> 03:23.200]  Welcome to the show, man.
[03:23.200 --> 03:24.020]  Thanks for joining us.
[03:24.020 --> 03:24.860]  Thanks for having me, man.
[03:24.860 --> 03:26.360]  Also across the table from me is my good buddy,
[03:26.360 --> 03:27.440]  Rob from Sour Seeds.
[03:27.440 --> 03:28.280]  How you doing today, bro?
[03:28.280 --> 03:29.100]  What's going on?
[03:29.100 --> 03:29.940]  Good to be back.
[03:29.940 --> 03:30.780]  Man, we got Rob a little bit too high.
[03:30.780 --> 03:31.920]  He's got a funny look on his face,
[03:31.920 --> 03:33.280]  but I think he's gonna be all right in a minute.
[03:33.280 --> 03:35.280]  I got that Bill Cosby grin.
[03:35.280 --> 03:36.440]  Oh, shit.
[03:36.440 --> 03:38.640]  Oh, man, so you might be the Barefoot Blower.
[03:42.360 --> 03:43.640]  We're off to a good start.
[03:43.640 --> 03:44.760]  What do you say to that?
[03:44.760 --> 03:47.440]  This is not gonna turn into the Colorado podcast.
[03:48.520 --> 03:51.520]  I will get this back on the rails very quickly.
[03:51.520 --> 03:52.880]  So thanks for coming to the table, guys.
[03:52.880 --> 03:54.920]  Both these guys, we've been talking about how busy we are.
[03:54.920 --> 03:56.600]  We sat here for an hour and talked about
[03:56.600 --> 03:58.160]  how we don't have time for shit.
[04:00.480 --> 04:01.800]  Which is kind of funny if you ask me.
[04:01.800 --> 04:03.360]  So we're gonna talk about,
[04:03.360 --> 04:05.240]  our friend Fred Garvin sent me an email,
[04:05.240 --> 04:08.320]  and he is halfway through a seed breeding project.
[04:08.320 --> 04:10.960]  This is his first run trying to make seeds.
[04:10.960 --> 04:14.240]  He wants some guidance on how to harvest the seeds,
[04:14.600 --> 04:17.120]  maybe when to pull the seeds and things to look for.
[04:17.120 --> 04:20.360]  So I thought, shit, my buddy Rob breeds a lot of seeds.
[04:20.360 --> 04:21.240]  I breed a lot of seeds.
[04:21.240 --> 04:23.040]  We'll get Rob over to talk about it.
[04:23.040 --> 04:24.720]  Will was coming over to hang out and take some dabs.
[04:24.720 --> 04:25.960]  He brought a dope ass mothership.
[04:25.960 --> 04:28.320]  So I was like, hang out, we'll put you on a podcast.
[04:28.320 --> 04:31.680]  So we're gonna talk a little bit about seed breeding.
[04:31.680 --> 04:33.640]  Rob's got a bunch of notes.
[04:33.640 --> 04:35.120]  Is there anywhere you'd like to start with, bro?
[04:35.120 --> 04:37.560]  Because you were looking at that thing pretty intently.
[04:39.040 --> 04:40.520]  I think we should start from the beginning.
[04:40.520 --> 04:41.360]  Okay.
[04:41.640 --> 04:45.040]  Right, the moment, the conception basically.
[04:45.040 --> 04:47.120]  When the seed starts, when to pollinate,
[04:47.120 --> 04:50.600]  and how to pollinate the timing wise,
[04:50.600 --> 04:52.200]  Indica's versus Sativa's versus hybrid.
[04:52.200 --> 04:54.000]  So hopefully you've got yourself a solid male
[04:54.000 --> 04:55.120]  that we've talked about before.
[04:55.120 --> 04:57.200]  Actually, you came and talked about that with me.
[04:57.200 --> 04:58.440]  So hopefully you've got a solid male.
[04:58.440 --> 05:00.280]  You've got your females chosen,
[05:00.280 --> 05:03.880]  and now it is time to actually breed some plants.
[05:03.880 --> 05:07.880]  So if you're gonna pick some Indica plants,
[05:07.880 --> 05:10.920]  when should we start to pollinate our Indica plants?
[05:11.480 --> 05:12.520]  I would say between week three and four,
[05:12.520 --> 05:14.400]  when your bud sets really start to form up
[05:14.400 --> 05:15.400]  for the first time.
[05:16.400 --> 05:18.000]  I would say when they get about,
[05:18.880 --> 05:20.720]  you know, good nickel to quarter size.
[05:20.720 --> 05:21.560]  Okay.
[05:21.560 --> 05:23.280]  That way you got plenty of,
[05:23.280 --> 05:25.160]  because what it's really gonna determine down on
[05:25.160 --> 05:26.120]  is how many hairs you have,
[05:26.120 --> 05:27.840]  basically how many pistols you have.
[05:27.840 --> 05:30.720]  And they're what carry the pollen down
[05:30.720 --> 05:32.320]  to actually make the progress happen.
[05:32.320 --> 05:34.640]  So when you see the pistols nice and thick,
[05:34.640 --> 05:36.720]  it kind of looks like you got some little spiders going on.
[05:36.720 --> 05:39.320]  When those dandelions, when the hairs in the dandelions,
[05:39.360 --> 05:41.360]  I know that's such obvious terms,
[05:41.360 --> 05:43.360]  but when those pistols get thick and ready,
[05:43.360 --> 05:44.880]  that's when that plant is ovulating
[05:44.880 --> 05:46.760]  and it wants to receive that male pollen.
[05:46.760 --> 05:49.240]  So in your Indica plants, you're absolutely right.
[05:49.240 --> 05:52.360]  About three weeks-ish, about day 21 to about day 28-ish
[05:52.360 --> 05:54.120]  is usually when I try to hit an Indica plant.
[05:54.120 --> 05:55.240]  Indica-Domina hybrid,
[05:55.240 --> 05:56.960]  you can get away with maybe sometime week four,
[05:56.960 --> 05:59.360]  if it's bred out with a sative or something like that,
[05:59.360 --> 06:01.120]  has slightly longer flowering time.
[06:01.120 --> 06:03.520]  You know, you just really have to use your best judgment,
[06:03.520 --> 06:04.840]  you know, but typically week three
[06:04.840 --> 06:07.680]  is about the money for it, in my opinion.
[06:07.680 --> 06:10.400]  How about if we're working with a more sativa-dominant plant?
[06:10.400 --> 06:11.720]  Do you want to go a little bit later, you think?
[06:11.720 --> 06:14.360]  You do, you really do want to get a little bit later.
[06:14.360 --> 06:15.200]  And the reason being,
[06:15.200 --> 06:17.840]  because if you do a pollination too early,
[06:17.840 --> 06:20.100]  you're not going to get the seed stock you want.
[06:20.100 --> 06:21.800]  And then they also might be sitting in the plant
[06:21.800 --> 06:23.520]  for too long and the plant might not be ripe,
[06:23.520 --> 06:25.000]  but the seeds will be.
[06:25.000 --> 06:27.280]  So the seeds will overripen,
[06:27.280 --> 06:29.720]  just like any fruit or anything else out there,
[06:29.720 --> 06:31.080]  it can overripen.
[06:31.080 --> 06:33.600]  I've seen them pop inside the bud before.
[06:33.600 --> 06:34.720]  I've seen all kinds of things.
[06:34.720 --> 06:36.340]  I've actually seen a seed germinate itself
[06:36.340 --> 06:37.180]  inside of a bud.
[06:37.660 --> 06:38.740]  That's fucking amazing.
[06:38.740 --> 06:39.580]  That is cool.
[06:39.580 --> 06:41.620]  When you guys say indica and sativa,
[06:41.620 --> 06:43.140]  you talking about the female you're using
[06:43.140 --> 06:45.140]  or the cross that you're trying to get?
[06:45.140 --> 06:46.620]  The female that we're starting with.
[06:46.620 --> 06:48.460]  Yeah, the girl that's going to receive the pollen.
[06:48.460 --> 06:49.280]  Yeah, the girl.
[06:49.280 --> 06:51.020]  That's why Will's here, to keep us on track.
[06:51.020 --> 06:51.860]  That's exactly it.
[06:51.860 --> 06:53.700]  That's a great question.
[06:53.700 --> 06:55.260]  Yeah, yeah, we're always,
[06:55.260 --> 06:56.620]  with that word, we're definitely referring
[06:56.620 --> 06:58.100]  to the female for sure.
[06:58.100 --> 06:58.940]  Okay, cool.
[07:00.060 --> 07:01.660]  Yeah, sativa-dominant plants,
[07:01.660 --> 07:03.880]  you can usually do week four, week five,
[07:03.880 --> 07:05.220]  usually typically a week or two later
[07:05.220 --> 07:06.420]  than you would an indica.
[07:06.580 --> 07:08.020]  You really have to judge the flowering period
[07:08.020 --> 07:09.900]  if it's a nine, 10 week sativa.
[07:09.900 --> 07:12.500]  You want to leave, basically what you're leaving
[07:12.500 --> 07:15.260]  and looking for is about a four to five week gap
[07:15.260 --> 07:17.580]  of just the plants going through growth,
[07:17.580 --> 07:21.620]  normal, regular, solid growth for about four to five weeks.
[07:21.620 --> 07:23.780]  That's going to make that seed go from start to finish
[07:23.780 --> 07:26.900]  and really finish out nicely from start to embryo
[07:26.900 --> 07:28.820]  to seed to harvest.
[07:28.820 --> 07:30.820]  All right, so we've got pollen.
[07:30.820 --> 07:33.700]  When should we put our males and females
[07:33.740 --> 07:35.900]  into the flowering room at the same time?
[07:37.260 --> 07:39.460]  I think it really depends on your situation.
[07:40.500 --> 07:42.140]  The easiest way to do it if somebody's worried
[07:42.140 --> 07:45.500]  about getting cross-pollination with other females
[07:45.500 --> 07:48.340]  and things like that is to bring the female out of the room
[07:48.340 --> 07:51.820]  or use a smaller room, maybe like a small two by two
[07:51.820 --> 07:53.340]  or three by three grow tent.
[07:53.340 --> 07:55.900]  I've seen people even go down and use something as cheap
[07:55.900 --> 07:58.360]  as a very large cardboard box,
[07:58.360 --> 08:00.180]  like something for a refrigerator
[08:00.180 --> 08:02.260]  or like the largest box you can get at U-Haul.
[08:02.580 --> 08:05.180]  Put a CFL in it for your males and stuff like that
[08:05.180 --> 08:07.060]  and just let them go and then throw the female in there
[08:07.060 --> 08:09.540]  just for the day or two it needs to do its thing.
[08:09.540 --> 08:11.740]  And then pull it back out.
[08:11.740 --> 08:14.540]  And then the deed is done, let it sit,
[08:14.540 --> 08:15.860]  spray it down with tap water,
[08:15.860 --> 08:17.340]  introduce it back into the flower room
[08:17.340 --> 08:19.540]  so you don't cross-pollinate.
[08:19.540 --> 08:22.620]  The way I do it, when I pollinate, I do the whole room.
[08:22.620 --> 08:23.860]  I don't even fuck around.
[08:23.860 --> 08:25.940]  I know that I'm going to do the entire room.
[08:25.940 --> 08:27.900]  So I'll get that male nice and beefy.
[08:27.900 --> 08:29.180]  And when he's full of pollen,
[08:29.180 --> 08:30.980]  and hopefully I've got him timed up to where my girls
[08:30.980 --> 08:32.100]  are about three to four weeks in,
[08:32.940 --> 08:33.940]  I just take him in there and put him in front of the fan
[08:33.940 --> 08:36.460]  and give him a good shake, smack the sticks a little bit.
[08:36.460 --> 08:39.100]  And that pollen goes everywhere, everywhere.
[08:39.100 --> 08:41.700]  But that's only if you're trying to do the whole room.
[08:41.700 --> 08:43.460]  If you're trying to time it and you don't know
[08:43.460 --> 08:45.380]  how long your male plant is going to take
[08:45.380 --> 08:47.040]  to start busting a nut,
[08:47.040 --> 08:49.260]  that's when it's time to flower him early
[08:49.260 --> 08:51.740]  and take pollen from him and collect the pollen
[08:51.740 --> 08:53.020]  into a container.
[08:53.020 --> 08:55.700]  And then you can apply pollen to the branches you want,
[08:55.700 --> 08:57.460]  or you can walk in there and hold that jar of pollen
[08:57.460 --> 08:59.340]  in front of a fan and shake it.
[08:59.340 --> 09:00.500]  You can kind of salt and pepper,
[09:00.500 --> 09:02.420]  sprinkle the plants if you'd like.
[09:02.420 --> 09:03.980]  There are several ways to apply the pollen.
[09:03.980 --> 09:05.700]  That's exactly how I do it as a breeder.
[09:05.700 --> 09:10.020]  I harvest pollen first and then choose females secondly.
[09:10.020 --> 09:10.860]  Okay.
[09:10.860 --> 09:11.700]  So I always harvest pollen.
[09:11.700 --> 09:13.020]  I keep good storage of pollen.
[09:13.020 --> 09:15.560]  A good way to store pollen is a good question.
[09:16.780 --> 09:20.020]  I get asked all the time, how do you store your pollen?
[09:20.020 --> 09:22.020]  I just use a very clean container.
[09:22.020 --> 09:25.020]  I wipe it out with alcohol first, let it dry really good,
[09:25.020 --> 09:26.140]  and then wipe it out with water
[09:26.140 --> 09:27.500]  to make sure there's no alcohol left
[09:27.500 --> 09:29.140]  that's going to kill the pollen.
[09:29.140 --> 09:30.540]  And I don't use tap water.
[09:30.540 --> 09:32.420]  I use an RO water or distilled water.
[09:32.420 --> 09:33.860]  That way there's no chlorine present,
[09:33.860 --> 09:35.460]  so it won't destroy the pollen.
[09:35.460 --> 09:36.820]  Right. Let it dry real well.
[09:36.820 --> 09:38.300]  That's it. Let it dry really well.
[09:38.300 --> 09:41.780]  You can use a dried rice is a really good thing to use.
[09:41.780 --> 09:43.260]  I've seen growers use dried rice,
[09:43.260 --> 09:45.740]  but the main thing is when you go to store pollen
[09:45.740 --> 09:47.940]  is to make sure there's no green material left over
[09:47.940 --> 09:50.220]  or any kind of bud material or leaf material
[09:50.220 --> 09:52.780]  present in the pollen whenever you're going through there
[09:52.780 --> 09:53.700]  after harvesting it.
[09:53.700 --> 09:55.220]  Because there's going to be little pieces here and there.
[09:55.220 --> 09:56.580]  And what that's going to do is it's going to create
[09:56.580 --> 09:59.100]  a moisture spot inside of that pollen.
[09:59.100 --> 10:00.340]  And it's going to start molding.
[10:00.340 --> 10:02.660]  And that's where you can, because water breeds bacteria.
[10:02.660 --> 10:04.060]  That's basically what it boils down to.
[10:04.060 --> 10:05.380]  And the bacteria is going to take over
[10:05.380 --> 10:07.460]  and it's going to render your pollen useless.
[10:07.460 --> 10:09.300]  I do a very similar method.
[10:09.300 --> 10:11.460]  I'll collect the pollen from the male
[10:11.460 --> 10:13.060]  and then I will have a clone of that male
[10:13.060 --> 10:15.380]  and I'll flower him right alongside my ladies
[10:15.380 --> 10:17.820]  so that I'm sure that right around the proper day,
[10:17.820 --> 10:19.720]  I know that each of my ladies will get dusted
[10:19.720 --> 10:21.780]  with the proper amount of pollen.
[10:21.780 --> 10:23.860]  So I'm double teaming it a little bit.
[10:23.860 --> 10:25.020]  And I'm kind of a weirdo.
[10:25.020 --> 10:26.460]  I might be a cannabis hoarder
[10:26.460 --> 10:28.740]  because I always like to keep a little bit of pollen.
[10:29.420 --> 10:30.260]  Like just in case something goes wrong,
[10:30.260 --> 10:31.660]  I've still got some of that pollen.
[10:31.660 --> 10:32.700]  That's what I love to do.
[10:32.700 --> 10:33.540]  Keep it back.
[10:33.540 --> 10:34.860]  You never know when you're going to come across something
[10:34.860 --> 10:36.180]  and say, you know,
[10:36.180 --> 10:38.220]  that one male would be really good with that female.
[10:38.220 --> 10:39.060]  Right.
[10:39.060 --> 10:40.300]  And it'd be a new cut that you just got
[10:40.300 --> 10:41.220]  and ran for the first time.
[10:41.220 --> 10:43.180]  And you realize, hey, wait a minute.
[10:43.180 --> 10:45.260]  If I would have had that male or if I had that pollen,
[10:45.260 --> 10:46.860]  I could have just made a masterpiece.
[10:46.860 --> 10:47.700]  Yeah.
[10:47.700 --> 10:48.520]  You know?
[10:48.520 --> 10:49.360]  Yeah.
[10:49.360 --> 10:50.200]  So I've got that pollen.
[10:50.200 --> 10:51.020]  Like you were saying,
[10:51.020 --> 10:51.860]  keep it in a clean jar or a container.
[10:51.860 --> 10:53.980]  I keep mine in a clean, those little tiny Mason jars,
[10:53.980 --> 10:55.900]  like a baby food size Mason jar.
[10:55.900 --> 10:57.720]  And then I keep that in a brown paper bag.
[10:57.720 --> 10:58.880]  So there's no light getting to it.
[10:58.880 --> 11:01.920]  And then I actually put that in my spare refrigerator
[11:01.920 --> 11:04.200]  right next to my silver thiosulfate solution.
[11:04.200 --> 11:05.040]  Yeah.
[11:05.040 --> 11:06.560]  That's where it's next to the STS in the fridge.
[11:06.560 --> 11:07.400]  Exactly.
[11:07.400 --> 11:09.360]  Is there a reason to keep it in the fridge
[11:09.360 --> 11:12.440]  other than just like the light and protection thing?
[11:12.440 --> 11:14.360]  I think cold is more preservative than heat.
[11:14.360 --> 11:15.200]  Exactly.
[11:15.200 --> 11:17.120]  I think things will deteriorate and degrade
[11:17.120 --> 11:19.000]  and shit goes wrong more quickly in heat.
[11:19.000 --> 11:21.080]  In nature, cold slows everything down.
[11:21.080 --> 11:23.320]  So that's, you keep your food and your meats and shit.
[11:23.320 --> 11:24.840]  I don't keep any meat, but I mean,
[11:24.840 --> 11:27.080]  if you do, you keep that shit in a fridge, keep it cool.
[11:27.800 --> 11:29.680]  It'll keep your pollen viable for longer.
[11:29.680 --> 11:30.520]  Yeah.
[11:30.520 --> 11:32.400]  I also keep some seeds in a cooler
[11:32.400 --> 11:34.680]  and I haven't seen any difference in the seeds
[11:34.680 --> 11:37.220]  that I have kept not in a cooler and in a cooler.
[11:37.220 --> 11:38.440]  My other seeds go in a safe.
[11:38.440 --> 11:40.660]  I've got a big gun safe filled with seeds.
[11:40.660 --> 11:42.000]  The seeds that were in the cooler,
[11:42.000 --> 11:44.600]  I've germinated those with the same exact success rate
[11:44.600 --> 11:45.920]  as non-cooled seeds.
[11:45.920 --> 11:46.760]  Absolutely.
[11:46.760 --> 11:47.920]  Yeah.
[11:47.920 --> 11:48.760]  All right.
[11:48.760 --> 11:50.880]  So we know when to pollinate the plants.
[11:50.880 --> 11:53.520]  We know it's going to take about five to six weeks
[11:53.520 --> 11:54.360]  for those plants.
[11:54.360 --> 11:55.520]  Once the pollination happens,
[11:55.520 --> 11:57.880]  you'll see the pistils curl up.
[11:57.880 --> 11:59.700]  Right now they'll be clear looking, they're white.
[11:59.700 --> 12:02.000]  They're kind of like clear, veiny, white tips.
[12:02.000 --> 12:02.920]  Once that pollen hits,
[12:02.920 --> 12:04.560]  they're going to crinkle up like claws,
[12:04.560 --> 12:06.520]  like arthritis fingers.
[12:06.520 --> 12:08.280]  They're going to start turning brown.
[12:08.280 --> 12:09.880]  That's how you know the pollination has happened.
[12:09.880 --> 12:14.240]  Now the pollen is moving up the pistil and into the ovule
[12:14.240 --> 12:16.880]  and you're now actually making a seed.
[12:16.880 --> 12:18.880]  Let's talk a little bit about what to feed plants
[12:18.880 --> 12:21.800]  that we're putting seeds into.
[12:21.800 --> 12:23.160]  I like to give them a lot of carbs.
[12:23.160 --> 12:24.640]  I like to give them a lot of carbs and sugars.
[12:24.640 --> 12:25.480]  Lots of energy.
[12:25.480 --> 12:26.320]  And a good little bloom booster.
[12:26.320 --> 12:28.480]  That's about all I really do to them other than that.
[12:28.480 --> 12:30.320]  I do give them a little extra nitrogen or flour
[12:30.320 --> 12:32.080]  than I normally would because the plant's going to use
[12:32.080 --> 12:33.160]  a little bit of extra everything.
[12:33.160 --> 12:34.000]  Just like a mom would.
[12:34.000 --> 12:34.920]  Absolutely.
[12:34.920 --> 12:36.200]  Create a baby inside of her.
[12:36.200 --> 12:37.480]  She's going to try to, she's going to eat,
[12:37.480 --> 12:38.720]  she's got to eat too.
[12:38.720 --> 12:40.400]  So you got to take that concept
[12:40.400 --> 12:41.600]  and relay that into your plan.
[12:41.600 --> 12:43.560]  You know, you're creating thousands of seeds
[12:43.560 --> 12:44.920]  so those offspring you have,
[12:44.920 --> 12:47.720]  they need nutrients, they need food
[12:47.720 --> 12:49.680]  to be able to grow healthy and strong,
[12:49.680 --> 12:52.000]  just like a baby would or anything else would.
[12:52.000 --> 12:54.720]  Completely use as much light as possible
[12:54.720 --> 12:55.560]  when you're breeding.
[12:55.560 --> 12:57.480]  Light is definitely helpful.
[12:57.480 --> 12:59.000]  You'll multiply your amounts of seeds.
[12:59.000 --> 13:02.200]  If you step up from a 400 to a 600 to a 1,000,
[13:02.200 --> 13:03.660]  you'll see the amount of seeds you produce
[13:03.660 --> 13:04.840]  and the quality of the seeds.
[13:04.840 --> 13:07.240]  Those little white seeds won't happen if you use 1,000.
[13:07.240 --> 13:09.040]  You only get those with a four or a six.
[13:09.040 --> 13:09.880]  That's it.
[13:09.880 --> 13:11.720]  Yeah, I actually use sixes.
[13:11.720 --> 13:14.840]  I do a 12-12 regimen when I go into flower
[13:14.840 --> 13:15.720]  for a breeding project.
[13:15.720 --> 13:16.560]  Yeah.
[13:16.560 --> 13:17.400]  Yeah.
[13:17.400 --> 13:19.240]  But I actually, I use 600s,
[13:19.240 --> 13:20.760]  but even like you were saying,
[13:20.760 --> 13:24.040]  it will help mature faster with a brighter light source
[13:24.040 --> 13:25.280]  or a hotter light source.
[13:25.280 --> 13:28.080]  And so typically what I do like this time of year,
[13:28.080 --> 13:30.520]  I take them and put them outside for the last week to ripen,
[13:30.520 --> 13:32.240]  let the UV rays really take an over.
[13:32.240 --> 13:35.360]  And not only does it increase the THC
[13:35.360 --> 13:37.400]  and bombard the plant at all at one time,
[13:37.400 --> 13:40.000]  it really looks good on the charts after it's cut down.
[13:40.000 --> 13:40.840]  Oh, I bet.
[13:40.840 --> 13:41.680]  Yeah.
[13:41.680 --> 13:44.440]  There's something about making oil out of plants
[13:44.440 --> 13:45.800]  that were seeded.
[13:45.800 --> 13:46.640]  Once those plants,
[13:46.640 --> 13:47.820]  so we'll talk about this in a minute,
[13:47.820 --> 13:49.800]  but once the plants are finished,
[13:49.840 --> 13:50.840]  you take the seeds out
[13:50.840 --> 13:52.520]  and you've got a bunch of material left.
[13:52.520 --> 13:54.500]  I like to take that material to one of my good friends,
[13:54.500 --> 13:56.320]  like Will, that makes hash for me.
[13:56.320 --> 13:58.200]  And the concentrates that come out of that,
[13:58.200 --> 13:59.960]  you get such an amazing high.
[13:59.960 --> 14:02.160]  There's some, it's all, there's more of a,
[14:02.160 --> 14:04.200]  and you know, I don't get a psychedelic high,
[14:04.200 --> 14:06.200]  but it is more of a psychedelic feeling.
[14:06.200 --> 14:07.780]  You get more of a mind trip from it.
[14:07.780 --> 14:09.160]  You get more body high from it.
[14:09.160 --> 14:10.840]  It does something to the oil.
[14:10.840 --> 14:12.480]  It certainly does.
[14:12.480 --> 14:13.400]  All right.
[14:13.400 --> 14:15.960]  So we know what to feed the plants.
[14:15.960 --> 14:17.200]  Now we want to give them lots of carbs,
[14:17.200 --> 14:19.160]  a little more nitrogen.
[14:19.360 --> 14:20.440]  You're still going to have to flush
[14:20.440 --> 14:22.320]  just like you normally would before you cut down the plants.
[14:22.320 --> 14:23.440]  You guys keep that in mind.
[14:23.440 --> 14:24.280]  Always flush.
[14:24.280 --> 14:27.740]  I wanted to interrupt with something that I saw on Facebook.
[14:27.740 --> 14:28.700]  I won't call them out,
[14:28.700 --> 14:30.440]  but hopefully they listen to the podcast.
[14:30.440 --> 14:31.800]  They posted to Facebook,
[14:31.800 --> 14:33.560]  I found this stud male,
[14:33.560 --> 14:35.440]  time to put him outside for the season
[14:35.440 --> 14:38.820]  and see what he can do so that I can collect some pollen
[14:38.820 --> 14:40.640]  is essentially what he said.
[14:40.640 --> 14:42.480]  So many bells went off in my head.
[14:42.480 --> 14:43.560]  I saw that post.
