[00:00.000 --> 00:09.960]  Yeah, welcome back podcast world. I'm your host my friends call me Rasta Jeff and this is episode
[05:03.820 --> 05:05.380]  They don't know that you're 21
[05:05.380 --> 05:09.940]  So when you call the dispensary and you say do you have this product and they say we can't tell you over the phone
[05:10.060 --> 05:15.340]  That's because you've got to be 21 to shop in the dispensary and they don't want to tell you anything if you're not 21
[05:15.340 --> 05:19.380]  They're trying to protect themselves. So don't think they're being a dick. Don't think they're being mean to you
[05:19.380 --> 05:22.740]  We're trying to keep our licenses. It costs a million bucks for that license
[05:22.740 --> 05:28.180]  We're not gonna give it away by giving dumb information over the phone. So don't feel like they're being disrespectful
[05:28.180 --> 05:31.220]  They're trying to cover their own ass. You may have to check a website. You may have to go there
[05:31.700 --> 05:37.180]  So trench town in Denver sometimes carries my products not my products my strains
[05:37.180 --> 05:41.980]  They have acquired either seeds or clones. I had nothing to do with it after that. They've grown it
[05:41.980 --> 05:45.540]  They have done their stuff with it. So that may be on the shelf
[05:45.540 --> 05:48.740]  They may have lemon Jeffrey at trench town in Denver
[05:48.980 --> 05:55.020]  Once again, check before you drive if you can kind love sometimes has lemon Jeffrey. It may be the same cut
[05:55.020 --> 05:59.120]  They may be sharing the same cut between trench town and kind love
[05:59.620 --> 06:04.040]  Also a long time ago three rivers in Pueblo had a rise
[06:04.040 --> 06:09.620]  I don't know if they've still got that it may have been removed. It may have still be that I don't know honestly
[06:09.620 --> 06:11.300]  But at one point in time it was there
[06:11.300 --> 06:15.300]  So check the website check the apps all those services before you go
[06:15.740 --> 06:20.300]  There are other spots in Colorado that may have my stuff, but really I don't know where to tell you to look
[06:20.860 --> 06:24.540]  Wherever you are if you're in Michigan, I know my stuff is available there if you're in, New Mexico
[06:25.220 --> 06:30.620]  Check out organ to cut they have got a lot of my products if you are in, New Mexico. Check out Everest
[06:31.660 --> 06:37.540]  Everest grew the shit out of some arise they won best sativa in the Chronicle magazine
[06:37.940 --> 06:44.140]  The bud bowl or something like that so the sativa first place was arise grown by Everest
[06:44.140 --> 06:47.700]  So check them out that light is bugging my left eye. It's making my eye twitch. I may edit that part out
[06:47.700 --> 06:48.780]  I may not
[06:48.780 --> 06:52.700]  So if you're in, New Mexico check out Everest, they've got the arise quite often
[06:52.700 --> 06:56.300]  I know that a lot of places across the country have got my product
[06:56.300 --> 07:00.220]  So just do the research you can check the websites check the apps again
[07:00.260 --> 07:04.860]  Don't rely on my advice because I'm telling you straight up. I can't promise you anything. I don't know
[07:05.460 --> 07:08.820]  Once it's like once I've sold the seed. I don't know where that seed goes
[07:08.820 --> 07:10.940]  You can grow it you can do whatever you want with it
[07:10.940 --> 07:15.380]  And then you can take thousands of clones from one plant, so I don't know where all of those clones end up
[07:15.380 --> 07:16.740]  I have no idea
[07:16.740 --> 07:19.380]  All right now to follow up on that a little bit
[07:19.740 --> 07:24.460]  Seeds here now calm should have a restock very soon by the time this episode drops
[07:24.540 --> 07:27.300]  There should be a restock at seeds here now calm
[07:27.820 --> 07:33.460]  They were running very very low on I read genetics products. I apologize that we let them get that low
[07:33.820 --> 07:38.700]  They were doing a website update they were doing some inventory updates. We were kind of in a holding position
[07:39.980 --> 07:44.980]  No more holding we have got them a restock by the time this episode comes out everything should be on the website
[07:45.500 --> 07:49.940]  Honestly a lot of the stuff will be resold out and we will be restocking it again
[07:50.100 --> 07:56.660]  We're going to do our best to keep the stock updated and in stock some things are honestly sold out. I have to make things
[07:58.120 --> 08:00.340]  Yeah, but we're gonna do our best to keep things updated
[08:00.340 --> 08:03.120]  I apologize for the low stock on seeds here now
[08:03.120 --> 08:08.300]  Make sure you do use coupon code GF why h10 while checking out at seeds here now that'll save you a 10%
[08:08.300 --> 08:11.360]  That may save you the cost of shipping if you're buying multiple packs
[08:11.540 --> 08:17.380]  They may buy you another pack of seeds so check out seeds here now calm. They should have a restock all right now
[08:17.380 --> 08:20.180]  Let's move forward to the main topics of today's podcast
[08:20.700 --> 08:25.940]  This section of the show is brought to you by my friend Billy podunk big shout out to my buddy Billy podunk for always
[08:25.940 --> 08:29.440]  Supporting the podcast. Thank you, bro. It's always good to see you in the discord
[08:29.440 --> 08:34.360]  I've got a couple of great messages here. I printed some stuff out the first one came from our friend
[08:34.360 --> 08:39.280]  They want their name said we're gonna say their name this one came from newbie nugs big up to newbie nugs
[08:39.640 --> 08:43.160]  Got a couple of things in this message. It says hey Rasta Jeff first of all
[08:43.160 --> 08:49.280]  Thank you for the amazing work. You do not only in your breeding, but also in the knowledge you share. Thank you
[08:49.280 --> 08:54.980]  I appreciate that I always say that those compliments are like recharge. It's like nutrients for my soul, so thank you
[08:54.980 --> 08:57.520]  I appreciate it, then it says I have a question
[08:58.480 --> 09:02.720]  Also says I've included a picture, but we don't know we don't need the picture here because I can explain this
[09:03.120 --> 09:07.120]  He explains to grow it says I'm running auto flowers for this setup. I got a 5x5
[09:07.680 --> 09:13.560]  He does talk about to grow he says so I filled this run with some bag of peel red and purples
[09:13.660 --> 09:19.320]  Now that I've been talking forever. Let's get into the question and all the environmentals that you care about I did skip some stuff there
[09:19.320 --> 09:23.760]  But it says this is an auto flower named red poison. It's from sweet seeds
[09:23.760 --> 09:29.560]  I says I know this breeder has many strains bred for the sole purpose of being red or purple. That's really cool
[09:29.560 --> 09:30.560]  We've got a breeder
[09:30.560 --> 09:36.440]  Breeding for the purpose of making a color if you're breeding have a purpose if they're starting out looking for color
[09:36.480 --> 09:40.660]  That's a great goal a great purpose great bag appeal that will make you stand out
[09:40.880 --> 09:46.400]  If you set three bags of herb on the table and yours is fucking bright red or bright purple someone's gonna grab that they're gonna
[09:46.400 --> 09:48.400]  Want to buy that shit it gets attention
[09:49.120 --> 09:53.800]  So you're hitting the bag appeal on nailing that one right on the are hitting that nail on the head
[09:54.000 --> 10:00.720]  Then it says these are almost five weeks old and as I popped into the tent to make an update for YouTube
[10:00.720 --> 10:05.460]  I see that two of these babies are pre flowering and I mean they're just hitting pre flowers
[10:05.460 --> 10:12.360]  The pistols are barely poking out and the color is wild and it's got exclamation points by the word color is wild
[10:12.520 --> 10:13.800]  Now here's the question
[10:13.800 --> 10:20.640]  It says my question is do you know what causes this or the reason that plants make colors and how it spreads into the veins?
[10:20.640 --> 10:27.080]  Of the leaves I've had many purplish strains, but this one looks like it is bleeding into the leaves fast
[10:27.080 --> 10:32.760]  Is it a chlorophyll type of chemical and then it says it could be genetic and then he lists his environment which
[10:33.640 --> 10:39.480]  We don't need to go too much further because you've already answered the question yourself. It is basically
[10:40.400 --> 10:44.120]  Similar to chlorophyll, but this is known as an antho cyan
[10:44.120 --> 10:46.080]  I had to print that word out because I've been saying it wrong
[10:46.080 --> 10:49.720]  I've just been calling it anthos because I wasn't sure how to say the last part because
[10:50.000 --> 10:52.940]  I've never had to say it out loud before honestly until today
[10:52.940 --> 10:58.360]  But what you're seeing is anthocyanin and is basically the purple version of chlorophyll
[10:58.360 --> 11:04.800]  It's the chlorophyll is what makes the leaves green anthocyanin is what is making that purple reddish color a lot of other
[11:05.400 --> 11:07.840]  Things have that pigment is what we're gonna call it
[11:08.520 --> 11:13.480]  Carrots were actually purple when they first started that's what gives beats that color. I think from what I've read
[11:14.000 --> 11:18.640]  They've got antho cyanin. It's blue violet or a red
[11:19.160 --> 11:23.280]  Flavonoid pigment found in plants is the definition of that. So that's what you're seeing
[11:23.880 --> 11:29.920]  And it's easy not easy. It's I guess it's easy to breed for that because it's visually
[11:30.600 --> 11:32.720]  Identifiable when you're breeding when you're growing plants
[11:32.720 --> 11:37.840]  That is a very easy visual indicator to identify like potency pest resistance
[11:39.320 --> 11:43.560]  Hermaphroditism, those are all traits. You've got to wait and find out for her mafra tism tism
[11:43.560 --> 11:48.960]  You will see that but you got to wait that orange purple different colors. That's a very visual thing
[11:48.960 --> 11:52.460]  You can definitely breed for that. You can select for that find those very early
[11:52.460 --> 11:57.440]  You know, if you're hitting your goal find breeding plants, that is very cool. So that's a really cool goal
[11:57.920 --> 12:03.740]  He's hitting the goal if you're getting plants with that many colors, so that is a successful breeding project in my opinion
[12:03.760 --> 12:08.760]  All right newbie nugs what you've got going on. There is antho cyanin. They're hitting their goal
[12:08.760 --> 12:14.920]  They bred for that red and purple color. It's popping up. That is exactly what you're seeing. Thank you for the great question, bro
[12:14.920 --> 12:20.080]  Thank you for the patreon support. If you've got any more questions, I do look forward to hearing from you
[12:20.080 --> 12:25.800]  All right. This one actually came from YouTube. I don't generally answer questions from the YouTube comments
[12:25.800 --> 12:30.200]  I happen to notice this one. It's not that I'm ignoring the YouTube comments
[12:30.200 --> 12:32.260]  there are just a lot of them and as a
[12:32.880 --> 12:34.880]  content creator
[12:35.040 --> 12:37.440]  we are taught not to read a lot of the comments because
[12:37.920 --> 12:40.560]  The comments are fucking where all the savagery
[12:40.840 --> 12:45.360]  Happens the comments are where the savagery happens that sentence wasn't as hard to say as it looked
[12:46.040 --> 12:49.340]  People aren't kind in the comments people don't give a shit in the comments
[12:49.340 --> 12:54.080]  So we don't read a lot of them because we just don't want to just why even delve into the negativity
[12:54.080 --> 12:58.560]  But I saw this one pop up. I actually got the email and it says just like this
[12:58.560 --> 13:03.580]  It's from our friend big Mike from Canada and it says great show as usual and it says question
[13:03.800 --> 13:10.440]  What are your smoke test processes once you have created a new strain? How long into curing it? Do you wait?
[13:10.800 --> 13:15.560]  Do you have smoke testers? Do you test the flowers only or to the concentrates?
[13:15.560 --> 13:18.160]  Also, do you wait for lab results?
[13:18.160 --> 13:19.240]  I would appreciate it
[13:19.240 --> 13:24.040]  If you could elaborate during a show for these important steps to choose for your keepers many
[13:24.040 --> 13:30.880]  Thanks in advance. Keep up the great work. You can mention my name. I'm big Mike from Canada big Mike from Canada
[13:30.880 --> 13:37.400]  These are great questions. Let's just get right to it. What are your smoke test processes once you've created a new strain?
[13:38.400 --> 13:41.820]  Basically chop it down dry and cure it and smoke it my favorite ways
[13:41.820 --> 13:47.680]  I would roll a fat joint of it pack a bowl of it pack a bong load of it. Then I'm gonna smoke it
[13:47.880 --> 13:50.960]  How long into curing do you wait
[13:52.080 --> 13:55.800]  Generally, I dry it. I cure it for maybe a week. Maybe two
[13:55.800 --> 13:59.160]  I am NOT one of those guys that does the ridiculously long cure
[13:59.160 --> 14:04.920]  I don't find it necessary to go a long time the chemical process. I'm looking for happened in about two weeks
[14:04.920 --> 14:10.080]  That's all I need out of that. Then I start smoking it. Sometimes. I don't wait that long. Um
[14:11.240 --> 14:15.760]  Do you have smoke testers? Yeah, everybody around here loves to be a smoke tester
[14:15.760 --> 14:18.900]  All I have to do is say hey, I got some new herb and the couches will be full
[14:19.480 --> 14:24.760]  People will invite me over I get really popular when they know that it is almost time to do some testing
[14:25.000 --> 14:27.400]  Some phenotype selections. Yeah, I've got a crew
[14:28.280 --> 14:31.440]  Shout out to the crew. They know who they are. By the way, Doug. I miss you, bro
[14:31.440 --> 14:36.680]  We need to get you back on the smoke testing team. If you still watch the show got to get you smoking again. Um
[14:37.480 --> 14:41.680]  Smoke testers. Yeah, shout out to all the test crew. They know who they are. Mike is one of the number one testers
[14:42.520 --> 14:43.840]  It's always up to me though
[14:43.840 --> 14:49.160]  I am I'm the fucking head motherfucker in charge if I decide that number six is the best and other people said that number three
[14:49.160 --> 14:53.720]  Was the best guess what number six is the winner because I'm the one that fucking I've got the goal
[14:53.720 --> 14:54.400]  I know the plan
[14:54.400 --> 14:59.740]  So I also know that that plant is gonna get bred to in the future and I've got other ulterior motives anyway
[15:00.160 --> 15:02.160]  Test crew. Yes. There is a test crew
[15:03.120 --> 15:08.200]  What's the next part? Do you test the flowers only or the concentrates? It depends on
[15:09.000 --> 15:12.140]  The timing if there's somebody around that can make concentrates for me
[15:12.140 --> 15:17.080]  Sometimes getting somebody to make some diamonds for me to make some sauce or batter is time-consuming and it does
[15:17.360 --> 15:23.160]  They do charge me for that. Sometimes it's not cost-effective. Sometimes there's not enough product to make it worth it
[15:23.240 --> 15:28.660]  sometimes I just grew a bunch of tiny tiny plants and we're just gonna smoke the flowers and see because that's really what matters if
[15:28.660 --> 15:30.200]  The flowers are no good
[15:30.200 --> 15:35.020]  Most of the customers are going to smoke it as a flower when they buy seeds from me
[15:35.180 --> 15:41.400]  Most of them are only gonna smoke as a flower only a small percentage of them will continue to make concentrates out of it
[15:41.620 --> 15:44.460]  I know most of what I make is going to make amazing
[15:44.740 --> 15:50.760]  Concentrates just because the potency and the turps that I've chosen for my breeding palette always make great concentrates
[15:51.360 --> 15:56.400]  So if it's available if it's an option, I do have concentrates made. Do you wait for lab results?
[15:56.400 --> 15:57.300]  That's a good question
[15:57.300 --> 16:02.380]  A lot of people are hyped up on lab results and I've started to care less and less about lab results. Um,
[16:03.380 --> 16:08.460]  I've never had a high-pressure liquid chromatography machine buy seeds from me
[16:08.460 --> 16:14.980]  I've never had a fucking lab device smoke weed with me and say that it was really good or really bad
[16:14.980 --> 16:21.740]  I don't smoke weed with machines. I don't grow weed for test results. I grow weed for fucking human results human consumers
[16:21.740 --> 16:25.620]  That's who is going to smoke it. Humans are gonna grow it humans are gonna smoke it
[16:25.620 --> 16:30.140]  I I appreciate what the lab says, but I'd rather hear what you've got to say
[16:30.140 --> 16:33.500]  I'd rather hear what Mike's got to say. I'd rather hear what Doug's got to say
[16:33.820 --> 16:37.180]  I'd rather hear what everybody in the smoke circles got to say about it
[16:37.300 --> 16:41.300]  Compared to what a fucking machine has to say about it. The machines are awesome. The testing is cool
[16:41.740 --> 16:49.660]  But what difference does it make if I smoke it Mike smokes it Kevin smokes it fucking Matt smokes it
[16:50.380 --> 16:54.380]  Everybody smokes it and we all say that sample number three is the winner
[16:54.380 --> 16:59.500]  But the lab tests show that sample number six has higher numbers who cares what the lab test said
[16:59.500 --> 17:03.500]  We all enjoyed number three better. We're the humans that are going to be consuming it
[17:03.900 --> 17:07.860]  I've never smoked a joint with a machine pretty sure I have I'm pretty sure I fucking
[17:07.980 --> 17:12.900]  Blew weed into a machine at the bowling alley when it wouldn't fucking work right one time and it worked it fixed that son-of-a-bitch
[17:12.900 --> 17:18.120]  But anyway, I don't worry too much about lab results in lab tests. I do love seeing a high number
[17:18.120 --> 17:21.980]  It definitely it works for marketing. I think the numbers are more for marketing
[17:21.980 --> 17:26.300]  We put the numbers on there people want to buy the seeds when they see a higher number at the dispensary
[17:26.460 --> 17:29.780]  People just straight-up say what's your concentrate with the highest THC?
[17:29.780 --> 17:34.980]  So those numbers are good for marketing good for advertising for me. It doesn't make a difference. I want
[17:35.500 --> 17:40.000]  I want more turps if the numbers super high in THC then where did the turps go?
[17:40.000 --> 17:43.860]  We need just lower the THC and put some turps in there for me and I'll be okay
[17:43.860 --> 17:48.200]  Um, there is more for this. I would appreciate if you could elaborate on this during a show
[17:48.200 --> 17:51.660]  I think I elaborated bro on these important steps for choosing keepers
[17:52.100 --> 17:56.260]  Choosing keepers, it's a lot of it is the smoke report, but a lot of it is how does it grow?
[17:56.260 --> 17:59.060]  Did it give me any problems any stress during the grow?
[17:59.060 --> 18:01.980]  Do I think that it's got traits that it's going to pass on?
[18:01.980 --> 18:06.620]  In the offspring if I breed to it that are going to give you problems as a consumer
[18:06.620 --> 18:11.580]  I want to make sure that you've got seeds that will be successful a lot of my decision making in
[18:12.140 --> 18:14.140]  Selection is for you
[18:15.060 --> 18:21.580]  You may not be the people purchasing the seeds may not be as experienced as you are
[18:21.660 --> 18:27.740]  You may not be as experienced of a grower as myself. You may not have thousands of hours thousands of crops under your belt
[18:27.740 --> 18:33.060]  You may not be a commercial grower with resources and space and fucking money for products
[18:33.060 --> 18:38.300]  This may be the only pack of seeds you can buy. This may be the first pack of seeds you bought
[18:38.300 --> 18:41.580]  This may be your first and last run at growing weed if you're not successful
[18:41.580 --> 18:46.460]  So I do my best to select plants that I know are going to make seeds
[18:46.460 --> 18:51.620]  They give you a good opportunity to grow. That's my main goal as a seed producer
[18:51.620 --> 18:57.580]  I'm not going to sell you the seed that you never get because it's kind of bread for me. That's my secret stash
[18:57.580 --> 19:03.740]  I kind of know that if I put like some chem 91 and some old OG kush shit together
[19:03.740 --> 19:06.060]  There's an opportunity for intersex traits there
[19:06.060 --> 19:11.260]  There's an opportunity for pain in the ass plants that stuff won't go anywhere that stays for me
[19:11.260 --> 19:16.420]  But the stuff that I'm breeding for you that I know is going to be commercially viable that I know I want to release to
[19:16.420 --> 19:18.980]  The masses I make sure that it's going to be successful
[19:18.980 --> 19:24.340]  Intergrower and then I know that the commercial grower the pro grower that my crew my friends are going to kill it
[19:24.340 --> 19:29.420]  They're gonna hit the numbers. They're gonna hit bonuses. Everyone's gonna eat fat. We're gonna get good concentrates
[19:29.460 --> 19:34.560]  So that's what I put out as my commercial seed line. I know you're gonna have success
[19:35.380 --> 19:39.220]  So that's a part of my selection for keepers then does it work?
[19:39.220 --> 19:43.980]  Well in my grow because I'm the one growing it. I got to keep it in my grow. Does it show me any problems?
[19:44.500 --> 19:49.580]  Does it breed well with other things it's got to be able to breed well with multiple different crosses
[19:49.580 --> 19:53.660]  Maybe can I reverse it that also helps me select a keeper as a breeder?
[19:53.660 --> 20:00.140]  I think my criteria for selecting keepers may be a little bit different than some people a lot of people are just looking for smoke
[20:00.140 --> 20:04.100]  a lot of people are looking for something that smokes well smells good looks good in the bag and
[20:04.660 --> 20:06.660]  Bottom line is does it pay the bills?
[20:06.660 --> 20:10.660]  So that's we're growing for different things. Our bottom line is a different thing
[20:10.660 --> 20:16.260]  So my selection may be a little bit different but as the breeder creating a product for you
[20:16.260 --> 20:18.060]  I understand your main goal
[20:18.060 --> 20:24.500]  So I think that helps a lot me understanding your goal providing a product for you to hit your goal helps out a lot
[20:24.500 --> 20:30.660]  So giant Mike that was a big Mike. That was a great question, bro. Thank you. Thanks for listening up there in Canada
[20:30.660 --> 20:34.140]  I do appreciate that. I'm making sure I answered all of your questions here
[20:34.140 --> 20:37.260]  I hit all the points the process bro roll it up and smoke it
[20:37.260 --> 20:39.260]  Roll a fat joint because I want to taste the flavor
[20:39.260 --> 20:45.420]  I want to taste the flavor down at the end smoke it in a bowl because generally if I'm smoking weed around the house
[20:45.420 --> 20:50.300]  It's in a bowl because I like to pack a bowl and I just set it in my lap and I fucking hit it now
[20:50.300 --> 20:52.420]  I put it in my lap and walk around with it
[20:52.420 --> 20:56.900]  And if I don't have nothing to do for a couple of seconds, I just hit a bowl and they just carry it around
[20:56.900 --> 20:58.900]  So I like to have weed and a pipe like that
[20:59.420 --> 21:02.220]  If I don't have a lot of time getting kind of older now
[21:02.220 --> 21:07.180]  I hate to admit it but hitting a bong kind of hurts sometimes but I like to have weed in a pipe
[21:07.260 --> 21:09.260]  But I like to take a big fat bong rip
[21:09.900 --> 21:15.820]  Get a lot of flavor get a lot of experience from that flower in a big fat bong rip and then of course make some
[21:15.820 --> 21:22.660]  Concentrates out of it. How long do I cure it? My products doesn't my products don't get cured for very long my personal stuff
[21:22.660 --> 21:25.020]  I don't believe in over curing. I don't think it's necessary
[21:25.620 --> 21:29.220]  The testers are the crew. I feel like I answered all of the points
[21:30.180 --> 21:33.300]  So big Mike, thank you, bro. I do appreciate it. Keep listening
[21:33.300 --> 21:39.500]  And if you've got more questions, please do send them my way and if everybody out there if you're not already subscribed to the YouTube channel
[21:39.500 --> 21:42.420]  Please do click like and subscribe on the YouTube channel
[21:42.420 --> 21:49.260]  That is where this message came from leave some comments on the YouTube channel because that does make the show move up in the algorithm
[21:49.260 --> 21:53.180]  I do appreciate that sort of stuff, right? I'm digging for the next message here. Um
[21:54.540 --> 22:00.100]  We're gonna do this one. This is gonna be a longer podcast than I had anticipated. You're welcome. You deserve it
[22:00.260 --> 22:05.100]  This one came from our friend Jethro Earl 710, what up Jethro? Thank you for the great message
[22:05.580 --> 22:10.660]  This one says hey Rasta Jeff. Feel free to use my screen name if you read this on the show
[22:10.660 --> 22:11.860]  I already done that part
[22:11.860 --> 22:16.420]  It says I've been listening to your podcast for a few years now and I have to say it's helped me get through some long
[22:16.460 --> 22:17.940]  work days
[22:17.940 --> 22:19.820]  Bro, I know the feeling thank you
[22:19.820 --> 22:24.380]  Um, I listen to podcast too when I'm working and it does make a long day go quite quickly
[22:24.380 --> 22:29.580]  It says I give it five stars. Thank you. Please go rate it and review it wherever you're listening
[22:29.580 --> 22:35.220]  It says I was so excited to see you post my pictures of orange chasm if I'm posting your pictures
[22:35.220 --> 22:40.340]  They must have been beautiful says I've been wanting to ask you to do a show on photography for a while now
[22:40.580 --> 22:46.580]  Maybe some simple gear to get started. What do you use? Also some tips to make better social media posts?
[22:46.580 --> 22:50.420]  I've put in my tester application and right after you did that podcast
[22:50.420 --> 22:56.660]  Is there anything I could do differently to improve my chances to be selected? I'm just finishing up a run of orange chasm
[22:56.660 --> 23:01.700]  I now have strawberry starburst and veg blueberry butcher and sonic boom coming from seeds here now
[23:02.260 --> 23:07.500]  Then he gives us an email and then his cannabis eyes Jethro Earl 710 on cannabis
[23:07.500 --> 23:09.500]  You guys give him a follow make sure you check out cannabis
[23:09.700 --> 23:13.540]  Then he signs it keep up the good work from your friend and they sign it with his real name
[23:13.540 --> 23:16.620]  Which we're gonna leave out of the show. Hey, bro. Thank you. This is a great message
[23:17.300 --> 23:23.980]  I'm going to talk briefly about cannabis photography before I do that. I have got to tell you honestly straight-up
[23:24.580 --> 23:30.380]  100% I do not consider myself a photographer. I have got absolutely zero
[23:31.020 --> 23:37.100]  Photography training. I don't know what the numbers mean. I don't know what that stuff means on the camera
[23:37.460 --> 23:39.260]  Basically the way I've learned it
[23:39.260 --> 23:39.780]  I
[23:39.780 --> 23:40.820]  Got a camera
[23:40.820 --> 23:45.580]  Start a turn on the knobs turn one knob this way take a bunch of pictures and start turning the knob the other way
[23:45.580 --> 23:48.280]  And as it goes this way I paid attention to the changes in my photos
[23:48.420 --> 23:51.100]  Then I picked a different setting and set it all the way at one end
