[00:03.900 --> 00:31.030]  Welcome back, Podcast World!
[03:01.740 --> 03:06.140]  There are new IRE Army t-shirts, there are IRE Genetics t-shirts, there are Grow From
[03:06.140 --> 03:10.380]  Your Heart podcast t-shirts, there are IRE Genetics hoodies, and there are Grow From
[03:10.380 --> 03:16.900]  Your Heart podcast hoodies all available on the website, plus a plethora of great stickers.
[03:16.900 --> 03:20.500]  Make sure you check out the website, IREGeneticsColorado.com.
[03:20.500 --> 03:24.180]  Grab yourself some shirts, grab yourself some stickers, get a hoodie for the winter, get
[03:24.180 --> 03:27.700]  yourself all styled out with the fresh new IRE Genetics gear.
[03:27.940 --> 03:29.980]  All right, you guys, let's work on a podcast.
[03:29.980 --> 03:32.620]  This is going to be another grow lesson.
[03:32.620 --> 03:36.180]  I hope you have been following along with my long series of grow lessons.
[03:36.180 --> 03:38.860]  We started off by selecting a goal for our grow.
[03:38.860 --> 03:40.740]  We worked on selecting a proper space.
[03:40.740 --> 03:42.260]  We built a good grow room.
[03:42.260 --> 03:44.940]  We decided if we wanted to grow from seeds or clones.
[03:44.940 --> 03:46.720]  We acquired seeds and clones.
[03:46.720 --> 03:48.300]  We have got them sprouted.
[03:48.300 --> 03:50.820]  Now they are potted into their little pots.
[03:50.820 --> 03:55.380]  I think by this time, all of our seeds and clones should be about the same size.
[03:55.380 --> 03:59.140]  We have got stuff in either a four-inch pot or a six-inch net pot.
[03:59.140 --> 04:02.220]  We should have clones or seedlings with just a few sets of leaves.
[04:02.220 --> 04:05.300]  They're probably four, maybe six inches tall by now.
[04:05.300 --> 04:08.020]  That is what I call small veg.
[04:08.020 --> 04:13.800]  Let's do a podcast about the small vegetative phase of growing your cannabis garden.
[04:13.800 --> 04:19.140]  In my opinion, the vegetative phase of growing cannabis is often the most overlooked phase
[04:19.140 --> 04:20.260]  of growing.
[04:20.260 --> 04:24.960]  People think they need to invest all of their time, energy, and money on the flowering process.
[04:25.540 --> 04:26.540]  That is very important.
[04:26.540 --> 04:31.600]  But I like to believe that you can't build a strong building without a solid foundation.
[04:31.600 --> 04:35.320]  That foundation starts in the veg phase.
[04:35.320 --> 04:39.080]  By the time we get these plants to the flowering room, we need them to be healthy.
[04:39.080 --> 04:40.500]  We need them to be robust.
[04:40.500 --> 04:41.980]  We need them the shape we want them.
[04:41.980 --> 04:43.940]  We need them the structure we want them.
[04:43.940 --> 04:46.560]  We need them pest and pathogen-free.
[04:46.560 --> 04:52.020]  My main focus during the small vegetative stage is to develop a strong root system for
[04:52.020 --> 04:53.020]  these plants.
[04:53.020 --> 04:56.980]  I want to get those roots thick and busting out of that pot before I transplant them into
[04:56.980 --> 04:58.580]  their forever homes.
[04:58.580 --> 05:02.940]  My second goal is to keep these plants pest and pathogen-free.
[05:02.940 --> 05:08.580]  If I'm working from seeds, I'm also paying attention for issues, mutations, problems,
[05:08.580 --> 05:09.900]  whatever a seedling may show you.
[05:09.900 --> 05:14.100]  A seedling has a ton of options that can occur through the entire growth cycle.
[05:14.100 --> 05:16.540]  You need to pay special attention to your seedlings.
[05:16.540 --> 05:20.140]  If you're growing from clones, you should know what to expect.
[05:20.140 --> 05:25.160]  My main focus during the small vegetative phase is developing a strong root system.
[05:25.160 --> 05:28.500]  My second priority is maintaining clean, healthy plants.
[05:28.500 --> 05:31.180]  I don't want any bugs and I don't need any pathogens.
[05:31.180 --> 05:35.540]  Then my third priority, if I'm growing from seeds, I want to pay close attention to those
[05:35.540 --> 05:40.500]  seedlings and I want to keep my eye out for any weird mutations or weird problems.
[05:40.500 --> 05:44.860]  Now if things go right, we are only going to spend two to four weeks in these small
[05:44.860 --> 05:47.020]  pots in our small veg phase.
[05:47.100 --> 05:52.260]  In my opinion, this phase is equally as important as the flowering process.
[05:52.260 --> 05:56.940]  We need to treat every step of the grow process as an important process.
[05:56.940 --> 05:59.280]  We all want to focus on that flowering phase.
[05:59.280 --> 06:01.420]  We all get excited around week four.
[06:01.420 --> 06:03.380]  We get super pumped up at week five.
[06:03.380 --> 06:05.540]  By week six, you're just ecstatic.
[06:05.540 --> 06:07.900]  Week seven and eight, you can't wait to cut it down.
[06:07.900 --> 06:11.420]  By week nine, you're in there every single day taking pictures, looking at the plants,
[06:11.420 --> 06:14.900]  hoping you can cut them down today or tomorrow, just trying to be patient.
[06:14.900 --> 06:18.540]  Why don't we put that much energy into the starting phase of our plants?
[06:18.540 --> 06:19.860]  I know they're not as pretty.
[06:19.860 --> 06:22.860]  There's nothing to show for it, but it is just as important.
[06:22.860 --> 06:26.780]  Now let's get a little deeper into this small veg phase.
[06:26.780 --> 06:28.260]  What makes this small veg?
[06:28.260 --> 06:30.580]  What makes it small veg is my plants are small.
[06:30.580 --> 06:31.820]  They are in small pots.
[06:31.820 --> 06:33.420]  Now what makes it veg?
[06:33.420 --> 06:36.020]  Veg is the light cycle.
[06:36.020 --> 06:38.580]  Cannabis plants are triggered by the light cycle.
[06:38.580 --> 06:40.780]  If they have enough light, they will not flower.
[06:40.780 --> 06:45.020]  Once we reduce the light to approximately 12 hours on and 12 hours off every day, that
[06:45.020 --> 06:46.700]  triggers our plants to flower.
[06:46.700 --> 06:48.140]  They think that the fall is coming.
[06:48.140 --> 06:49.740]  They think it's the end of the season.
[06:49.740 --> 06:53.580]  They start doing their end of season business, which is producing flowers.
[06:53.580 --> 06:56.260]  The parts that we call buds are the cannabis flowers.
[06:56.260 --> 06:59.300]  They are dried flower tops from a cannabis plant.
[06:59.300 --> 07:02.540]  That is induced by changing the light cycle.
[07:02.540 --> 07:06.100]  Until we manipulate that light cycle, we are in veg.
[07:06.100 --> 07:10.980]  Since we are using small pots and have small plants, once again, we are back to small.
[07:10.980 --> 07:13.500]  Now let's talk a little bit about these light cycles.
[07:13.500 --> 07:18.660]  We've got plenty of options for light cycles in our veg phase.
[07:18.660 --> 07:24.860]  From what I have experienced, the most common and most popular veg light schedule is 18
[07:24.860 --> 07:29.640]  hours on and 16 hours off in a daily 24-hour cycle.
[07:29.640 --> 07:31.020]  There are other options.
[07:31.020 --> 07:34.780]  You can go 24 hours on and zero hours off.
[07:34.780 --> 07:37.740]  I have seen great success with two hours of darkness.
[07:37.740 --> 07:41.020]  So that's 22 hours on and two hours off every day.
[07:41.020 --> 07:45.780]  In a commercial facility, in a mother room, and in a veg room, I am known to do 20 hours
[07:45.780 --> 07:48.340]  on and four hours off.
[07:48.340 --> 07:50.020]  Now I mentioned the 18-6.
[07:50.020 --> 07:51.380]  That is kind of a classic.
[07:51.380 --> 07:53.340]  That's really close to what nature does.
[07:53.340 --> 07:56.980]  Also, there is the 16 on and eight hours off.
[07:56.980 --> 07:58.660]  All of these have their advantages.
[07:58.660 --> 08:01.740]  Also, they all have their disadvantage.
[08:01.740 --> 08:05.260]  What is the advantage of 24 hours and zero hours of darkness?
[08:05.260 --> 08:10.420]  24 hours of light means your plants are getting 24 hours of light energy.
[08:10.420 --> 08:17.860]  I usually recommend a 24-hour on cycle only for clones and tiny plants or if you're revegging.
[08:17.860 --> 08:20.940]  Sometimes we have mother plants that if they get root bound or if they don't get enough
[08:20.940 --> 08:25.740]  light or if they don't get the proper energy, they will decide to auto flower on you over
[08:25.740 --> 08:26.740]  time.
[08:26.740 --> 08:29.180]  I like to keep those plants under 24 hours of light.
[08:29.180 --> 08:33.060]  That does prevent them from flipping themselves into flower because of another environmental
[08:33.060 --> 08:34.660]  factor.
[08:34.660 --> 08:38.380]  Most of the time, I would not recommend a 24-hour light cycle unless you are cutting
[08:38.380 --> 08:43.040]  clones or you're trying to reveg or perhaps you've got a mother plant that gets temperamental
[08:43.040 --> 08:45.620]  and wants to try to auto flower on you.
[08:45.620 --> 08:49.620]  I like the 20 on and four off for a commercial environment.
[08:49.620 --> 08:51.100]  I like a little bit of dark cycle.
[08:51.100 --> 08:54.700]  I think every living thing likes a little bit of dark cycle.
[08:54.700 --> 08:56.540]  I think roots develop in the dark.
[08:56.540 --> 08:58.420]  I think the plants like a little rest.
[08:58.660 --> 09:03.100]  Also, that is four hours of electricity not being sucked up.
[09:03.100 --> 09:05.620]  If you've got one light, you're saving a little bit of money.
[09:05.620 --> 09:08.900]  If you've got 50 lights, you are saving a lot of money.
[09:08.900 --> 09:11.900]  That is 200 light hours that you are not running right there.
[09:11.900 --> 09:16.900]  That's 200,000 watt light hours that you don't have to pay for if you've got a larger facility.
[09:16.900 --> 09:21.420]  20 hours on, four hours off is always great for a commercial facility.
[09:21.420 --> 09:23.120]  You can keep your mother plants in that room.
[09:23.120 --> 09:24.680]  You can keep your small veg in that room.
[09:24.680 --> 09:27.060]  You can keep your large veg in that room.
[09:27.060 --> 09:31.220]  Usually I put the clones in that same room underneath the T5 light in the corner.
[09:31.220 --> 09:32.500]  There's just a little bit of light in the room.
[09:32.500 --> 09:34.260]  It doesn't really bother the rest of the plants.
[09:34.260 --> 09:35.260]  They're able to do their thing.
[09:35.260 --> 09:38.100]  That T5 doesn't do much in a giant veg room in a commercial facility.
[09:38.100 --> 09:42.260]  Now, I always like to mention the downside of what I'm talking about.
[09:42.260 --> 09:46.660]  There's not much of a downside to a 20 on and four off cycle.
[09:46.660 --> 09:49.820]  I guess really the only downside is that you are always running lights.
[09:49.820 --> 09:55.420]  You only get four hours of darkness compared to my next method, which is an 18 on and six
[09:55.420 --> 09:57.700]  hour off everyday cycle.
[09:57.700 --> 10:02.740]  A lot of growers prefer this because it is closer to the natural cycles of life.
[10:02.740 --> 10:05.540]  It is closer to the natural rhythms of the sun outside.
[10:05.540 --> 10:09.440]  It's a little closer to the natural circadian rhythm that our plants would be subject to
[10:09.440 --> 10:11.140]  in their normal environment.
[10:11.140 --> 10:13.980]  It just feels a little more natural in general.
[10:13.980 --> 10:19.620]  The pros to an 18 six cycle is it feels pretty natural to you and the plants.
[10:19.620 --> 10:23.700]  It also saves you quite a bit of electricity having a six hour night cycle.
[10:23.700 --> 10:26.220]  That is six hours that you don't have your lights on.
[10:26.220 --> 10:29.780]  That's six hours you don't have to cool the room as much.
[10:29.780 --> 10:34.020]  Multiply that by however many lights you've got and you start saving more and more money.
[10:34.020 --> 10:37.780]  I also think the plants really enjoy a nice six hour nap.
[10:37.780 --> 10:41.820]  You can see a lot of productivity from that six hour nap that the plants get.
[10:41.820 --> 10:48.940]  Now, our next option is a 16 and eight cycle that is very similar to the 18 six, but some
[10:48.940 --> 10:51.900]  plants will show you some differences.
[10:51.900 --> 10:56.820]  Some plants may try to flower under that 16 eight cycle if they get root bound, if
[10:56.820 --> 11:01.900]  they become nutrient deficient, if there are any environmental factors that stress those
[11:01.900 --> 11:07.540]  plants, they may decide to flower on you underneath that 16 and eight light cycle.
[11:07.540 --> 11:11.900]  Depending on what part of the globe your plants originate from, they may have a different
[11:11.900 --> 11:12.900]  critical period.
[11:12.900 --> 11:15.220]  Let me explain the critical period.
[11:15.220 --> 11:21.060]  The critical period is the amount of dark hours a plant needs to induce its flowering
[11:21.220 --> 11:22.220]  cycle.
[11:22.220 --> 11:26.340]  Some plants will flower with a 14 hour dark cycle.
[11:26.340 --> 11:29.180]  Some plants will flower with a 10 hour dark cycle.
[11:29.180 --> 11:32.960]  The reason we go for that 12 on 12 off is it's right in the middle and it seems to work
[11:32.960 --> 11:36.940]  well with most of the plants that we have bred for our indoor environment.
[11:36.940 --> 11:41.380]  Now, since some plants come from north of the equator and some plants come from south
[11:41.380 --> 11:44.580]  of the equator, we do have different flowering times.
[11:44.580 --> 11:48.280]  In tropical areas, those plants can flower for much longer because they're not going
[11:48.280 --> 11:49.780]  to get snowed on.
[11:49.780 --> 11:53.980]  So in those areas, we don't get as drastic of a day and night cycle change.
[11:53.980 --> 11:58.780]  There may be as much as one hour difference between your summer and your winter day period.
[11:58.780 --> 12:05.200]  In other areas, we get winter, we get snow, we get dumped on, and we get long dark periods.
[12:05.200 --> 12:09.900]  So our plants have evolved and adapted and climatized themselves to those regions.
[12:09.900 --> 12:14.140]  Then we have bred with those plants and we've created hybrids and brought them indoors.
[12:14.140 --> 12:18.220]  Indoors, some of our plants will flower with a 10 hour dark period.
[12:18.220 --> 12:22.180]  Indoors, some of our plants will flower with a 12 hour dark period.
[12:22.180 --> 12:26.340]  We have established that 12 on and 12 off seems to work really well for most of the
[12:26.340 --> 12:27.740]  plants that we have bred.
[12:27.740 --> 12:32.460]  Now, to prevent them from flowering early, we like to use an extended light cycle.
[12:32.460 --> 12:35.200]  That's where we put them on 16 hours on at a minimum.
[12:35.200 --> 12:37.260]  That way we know they're not going to flower.
[12:37.260 --> 12:42.380]  I like to go that 18 hours because why not give them two more full hours of energy every
[12:42.380 --> 12:43.380]  day?
[12:43.380 --> 12:46.140]  Light is the number one desired nutrient from our plants.
[12:46.140 --> 12:49.660]  Light is the number one desired factor for growth from our plants.
[12:49.660 --> 12:51.700]  So why not give it that extra two hours?
[12:51.700 --> 12:56.240]  Now in my mind, I say, why not give it that full 20 hours every day so that we can get
[12:56.240 --> 12:59.840]  maximum growth and give our plants a four hour nap every day?
[12:59.840 --> 13:01.740]  I think it works really well.
[13:01.740 --> 13:07.700]  Now another reason I like the 20 on and four off is I find that when I move my plants into
[13:07.700 --> 13:13.380]  the flowering room and I take them from a 20 hour day to a 12 hour day, they induce
[13:13.380 --> 13:15.860]  flowering very quickly.
[13:15.860 --> 13:19.580]  In other facilities where I'm running shorter veg periods, I noticed they take a little
[13:19.580 --> 13:22.580]  longer for the plants to start popping up bud set.
[13:22.580 --> 13:27.100]  The little pre-flowers, the little pistils don't start popping up as early as if I were
[13:27.100 --> 13:31.900]  to run those plants on a long day cycle and then kick that 12, 12 right away.
[13:31.900 --> 13:34.660]  I feel like the plants go, oh shit, it is time to flower.
[13:34.660 --> 13:37.160]  We have really had a reduction in daylight.
[13:37.160 --> 13:38.180]  They know it.
[13:38.180 --> 13:43.140]  So that's why I do 20 on and four off in my veg and mom area.
[13:43.140 --> 13:49.300]  Of course, I'm running, sometimes I've got 50 or 75 different cultivars in a mom room.
[13:49.300 --> 13:51.340]  So I've really got to keep things happy.
[13:51.340 --> 13:55.580]  I found that the 20 on and four off prevents anything from auto flowering.
[13:55.580 --> 14:00.640]  And again, it really triggers that flowering when I put them into the 12, 12 room.
[14:00.640 --> 14:03.940]  So those are the basic veg schedules I would recommend.
[14:03.940 --> 14:07.700]  24, 20 and four, 18 and six, or 16 and eight.
[14:07.700 --> 14:09.380]  I wouldn't go much lower than that.
[14:09.380 --> 14:11.040]  You may notice problems.
[14:11.040 --> 14:14.200]  You won't have the desired robust vegetative growth that you need.
[14:14.200 --> 14:17.880]  And also you may get plants that decide to flower before you're ready.
[14:17.880 --> 14:18.880]  All right.
[14:18.880 --> 14:21.000]  I feel like we know how long to leave the light on.
[14:21.000 --> 14:25.280]  Now let's talk about what kind of light to put these plants under.
[14:25.280 --> 14:28.680]  We don't have to throw these small plants under the Gavita lights right away.
[14:28.680 --> 14:29.720]  We may crisp them up.
[14:29.720 --> 14:30.720]  We may roast them.
[14:30.720 --> 14:32.140]  They may not be prepared for that.
[14:32.140 --> 14:36.160]  So I like to start my small plants under smaller lights.
[14:36.160 --> 14:40.320]  In most situations, I think a T5 would work for most people.
[14:40.360 --> 14:44.840]  In most commercial environments, I use the three foot long T5 fixtures.
[14:44.840 --> 14:45.840]  They're three feet long.
[14:45.840 --> 14:46.880]  They have eight bulbs.
[14:46.880 --> 14:50.880]  I feel like you can fit quite a few small veg plants under those.
[14:50.880 --> 14:55.320]  In a commercial environment, I like to set up a two tiered veg system.
[14:55.320 --> 14:56.680]  I get a Uline rack.
[14:56.680 --> 14:59.640]  I put plants on the bottom shelf of that Uline rack.
[14:59.640 --> 15:03.720]  I hang a light underneath the top shelf to light those plants.
[15:03.720 --> 15:05.360]  Now I've got that top shelf freed up.
[15:05.360 --> 15:08.560]  I put plants up there and I hang a light from the ceiling.
[15:08.800 --> 15:13.880]  Now I've got two layers of plants and I'm maximizing my space by using a two tiered
[15:13.880 --> 15:15.740]  veg system.
[15:15.740 --> 15:19.000]  I like to use a T5 fixture for the plants on the bottom shelf.
[15:19.000 --> 15:23.520]  And then for the plants on the top shelf, I either use a Gavita or a metal halide, either
[15:23.520 --> 15:27.440]  somewhere between a four and a thousand watt, depending on my space, depending on my environment,
[15:27.440 --> 15:29.840]  depending on how far from those plants I am.
[15:29.840 --> 15:33.960]  But those small veg plants start off on the bottom shelf under the T5s.
[15:33.960 --> 15:37.120]  Then as I transplant, I move them up to the top shelf and they go underneath the metal
[15:37.120 --> 15:38.120]  halides.
[15:38.120 --> 15:39.480]  Sometimes those are Gavitas.
[15:39.480 --> 15:41.880]  It just depends again on my environment.
[15:41.880 --> 15:44.240]  Now I really find the T5s to be cost effective.
[15:44.240 --> 15:47.120]  I think they're efficient and I think they do a great job.
[15:47.120 --> 15:52.400]  If you want to invest a little more money on a better light, I have seen great success
[15:52.400 --> 15:55.480]  vegging underneath LED lighting.
[15:55.480 --> 15:58.380]  Small plants really love LED lights.
[15:58.380 --> 16:02.940]  And also those LEDs don't produce much heat and they don't use a lot of electricity.
[16:02.940 --> 16:07.620]  They are a little pricey upfront, but I think they are worth the money if you get a quality
[16:08.120 --> 16:09.120]  LED.
[16:09.120 --> 16:14.140]  I personally don't have much experience with LED lighting, but I have seen great things
[16:14.140 --> 16:18.940]  from LED lights in small veg, in large veg, and through flower.
[16:18.940 --> 16:22.540]  The most important thing about an LED in veg is the spectrum.
[16:22.540 --> 16:24.740]  And that's also important when it comes to T5s.
[16:24.740 --> 16:27.940]  Let me back up because I overlooked that part when I was talking about T5s.
[16:27.940 --> 16:29.400]  I do not have any notes on this.
[16:29.400 --> 16:31.540]  This is all coming out of the top of my head today.
[16:31.540 --> 16:33.940]  So let me catch myself before I go too fast.
[16:33.940 --> 16:37.300]  T5 lights are commonly available in two spectrums.
[16:37.300 --> 16:42.060]  Most of the time you will find them in a 3000 Kelvin and a 6400 Kelvin.
[16:42.060 --> 16:45.820]  For your veg phase, I recommend the 6400 Kelvin.
[16:45.820 --> 16:50.140]  They will put off a more blue light, which is what we want for the veg.
[16:50.140 --> 16:53.340]  Later on when we move to flower, we want more of that orange spectrum.
[16:53.340 --> 16:58.580]  So that's when you would switch to the 3000 Kelvin T5 bulbs if you were going to flower
[16:58.580 --> 17:01.660]  under them, which I do not recommend, but they are great for veg.
[17:02.380 --> 17:05.020]  Spectrum is very important and I almost overlooked that.
[17:05.020 --> 17:11.620]  When you were selecting your T5 bulbs, make sure that you get the 6400 Kelvin bulbs.
[17:11.620 --> 17:14.460]  Those are what I would recommend for your veg phase.
[17:14.460 --> 17:19.060]  I also recommend the bluer or whiter spectrum lights when it comes to LEDs.
[17:19.060 --> 17:23.620]  A lot of the new LEDs give you the option to turn on certain boards and turn off certain
[17:23.620 --> 17:24.620]  boards.
[17:24.620 --> 17:27.500]  When you are vegging, you want more of the blue and whiter spectrums.
[17:27.740 --> 17:32.420]  Again, once we turn to flower, that's when we want those orange and red spectrums.
[17:32.420 --> 17:36.940]  So while we're in veg, whatever kind of light you're using, focus more on the white or blue
[17:36.940 --> 17:38.700]  spectrums.
[17:38.700 --> 17:42.660]  So I've got another option for lighting that I can recommend, but I would only suggest
[17:42.660 --> 17:47.180]  this for a very small scale grow environment.
[17:47.180 --> 17:51.380]  Maybe for one or two very small plants, maybe for a cabinet grow or something, this would
[17:51.380 --> 17:54.460]  be an effective grow light in a pinch.
[17:54.460 --> 17:59.660]  I have seen a lot of folks build a small grow cabinet with a compact fluorescent light.
[17:59.660 --> 18:05.060]  Those CFLs, they put off barely any heat and they use barely any electricity.
[18:05.060 --> 18:08.260]  So if you can get enough of them around your plant to feel like you're giving it enough
[18:08.260 --> 18:10.180]  light, the plant will grow.
[18:10.180 --> 18:14.820]  Don't expect huge growth, don't expect robust plants, don't expect a large harvest, but
[18:14.820 --> 18:18.980]  you can make a plant grow with a compact fluorescent light.
[18:18.980 --> 18:23.500]  Of course, the more light, the better, but some people are very limited in space and
[18:23.500 --> 18:27.820]  power and some people only want a small grow for a small personal experiment.
[18:27.820 --> 18:30.840]  So a compact fluorescent light may work for you.
[18:30.840 --> 18:34.180]  That would always be my very last option.
[18:34.180 --> 18:36.260]  Now let's talk about a big boy light.
[18:36.260 --> 18:41.060]  A lot of people are familiar with growing under high intensity discharge lighting.
[18:41.060 --> 18:44.780]  A lot of people are going to flower under an HID light.
[18:44.780 --> 18:50.020]  If we are careful to not roast the plants, a metal halide light will be perfect for your
[18:50.020 --> 18:51.780]  small veg plants.
[18:51.780 --> 18:57.300]  Maybe a 400, maybe a 600, a thousand may be overkill unless you keep it a little distance
[18:57.300 --> 18:58.300]  away.
[18:58.300 --> 19:03.260]  You can get a 400 watt light fairly close to your small plants if you keep it cool.
[19:03.260 --> 19:06.660]  If you've got a ducted hood and you're keeping air moving over that light to where none of
[19:06.660 --> 19:11.540]  that heat is making it to your canopy, you can get that 400 watt light fairly close to
[19:11.540 --> 19:12.540]  your plants.
[19:12.540 --> 19:16.060]  Just don't let that heat roast your plants and dehydrate your soil.
[19:16.060 --> 19:20.980]  I would say maybe keep a 400 watt light 18 to 24 inches away from your small plants.
[19:20.980 --> 19:25.260]  The T5s, you can get those T5s six to eight inches away from the plants.
[19:25.260 --> 19:28.540]  The bigger the light, we need to go a little further because it's going to be hotter and
[19:28.540 --> 19:32.980]  more intense and you don't want to have super hot, intense light right in your face all
[19:32.980 --> 19:33.980]  day.
[19:33.980 --> 19:36.660]  You survive from the sun and you're happy with it being real far away.
[19:36.660 --> 19:40.540]  Think about the plants and the light and the sun and yourself having a similar kind of
[19:40.540 --> 19:41.540]  a relationship.
[19:41.540 --> 19:42.620]  You need plenty of it.
[19:42.620 --> 19:46.300]  You don't want anything in the way, but also you don't want to get barbecued.
[19:46.300 --> 19:52.660]  You can put a 400 watt light 18, 24 inches away, a 600, I would probably go 20, 30 inches
[19:52.660 --> 19:54.460]  away, a thousand watt light.
[19:54.460 --> 19:56.980]  You're going to want to be a few feet away from those small plants.
[19:56.980 --> 19:57.980]  It's going to get hot.
[19:57.980 --> 20:00.020]  It's going to be very intense.
[20:00.020 --> 20:04.780]  If you've got a 400 watt light and it's ducted, which means it's got a duct coming off of
[20:04.780 --> 20:08.340]  each end and you're sucking air through it to move that heat away from that bulb and
[20:08.340 --> 20:12.540]  you've got glass between the bulb and the canopy, you should be able to run a 400 watt
[20:12.540 --> 20:17.740]  light with very minimal problems if you pay attention to heat and the distance from those
[20:17.740 --> 20:18.740]  plants.
[20:18.740 --> 20:23.980]  All right, I think that pretty much covers our lighting options for our small veg plants.
[20:23.980 --> 20:26.100]  Let's talk a little bit about the environment.
[20:26.100 --> 20:30.240]  Let's talk about the temperature and humidity for these small plants.
[20:30.240 --> 20:35.260]  In my experience, my small plants appear to be happiest when they are somewhere between
[20:35.260 --> 20:37.660]  70 and 80 degrees Fahrenheit.
[20:37.980 --> 20:44.460]  I really think they like it about 75 degrees to 77 degrees is right about the prime spot
[20:44.460 --> 20:45.860]  for small veg plants.
[20:45.860 --> 20:47.460]  That's when I see the most growth.
[20:47.460 --> 20:49.140]  That's when I see the most production.
[20:49.140 --> 20:51.100]  That's when I see the most root development.
[20:51.100 --> 20:54.020]  That's when I see the happiest plants.
[20:54.020 --> 20:59.660]  Somewhere between 70 and 80 degrees, or if you can dial it in perfectly, 75 to 77 is
[20:59.660 --> 21:00.660]  that sweet spot.
[21:00.660 --> 21:02.580]  They really seem to like it right there.
[21:02.580 --> 21:07.100]  Now, for that temperature to work perfectly, you need to dial in your humidity.
[21:07.540 --> 21:08.820]  Temperature and humidity work together.
[21:08.820 --> 21:09.820]  There is a math equation.
[21:09.820 --> 21:11.540]  I've done a full episode on it.
[21:11.540 --> 21:14.620]  This creates what is called a vapor pressure deficit.
[21:14.620 --> 21:19.540]  I encourage you to listen to episode 314 and learn about vapor pressure deficit.
[21:19.540 --> 21:21.620]  But now let's talk about humidity.
[21:21.620 --> 21:26.260]  These small plants would like to be in an environment with the humidity somewhere between
[21:26.260 --> 21:29.060]  50 and 70%.
[21:29.060 --> 21:33.620]  I have noticed that when the humidity is too low, the plants do not produce.
[21:33.620 --> 21:37.500]  There is no production for the whole day when the humidity is too low.
[21:37.500 --> 21:38.860]  The leaves start to droop.
[21:38.860 --> 21:40.540]  The plants don't make any progress.
[21:40.540 --> 21:42.500]  They don't look as robust as they should.
[21:42.500 --> 21:43.860]  The roots are not growing.
[21:43.860 --> 21:45.940]  There's no productivity in that plant.
[21:45.940 --> 21:50.060]  They also start to develop a woody texture on the outside of the stems.
[21:50.060 --> 21:52.300]  So I encourage proper humidity.
[21:52.300 --> 21:55.660]  Too much humidity, on the other hand, can cause similar problems.
[21:55.660 --> 21:56.860]  It can cause slow growth.
[21:56.860 --> 21:57.860]  It can cause rot.
