[00:16.120 --> 00:18.340]  Welcome back cannabis community.
[03:42.540 --> 03:45.300]  That way you can take some big old fat dabs and just keep moving. Uh,
[03:45.500 --> 03:46.780]  cause there's something about a big dab.
[03:47.180 --> 03:50.780]  I could take a hundred little dabs and not get as much effect as I would offer
[03:50.780 --> 03:54.820]  from one big dab. So I like a big dab, just something about the head rush,
[03:54.820 --> 03:56.620]  the lung expansion. I enjoy that.
[03:56.980 --> 03:58.820]  So I like to be able to take a big dab occasionally.
[03:59.300 --> 04:01.420]  So I wanted to go find some cheap shit. I was being a cheap ass.
[04:01.820 --> 04:05.340]  I found some $10 grams. They're acceptable for $10 grams.
[04:05.380 --> 04:09.300]  I would have been mad if it was a 15 or $20 gram. I found some $15 grams.
[04:09.660 --> 04:12.980]  They're exactly what you would expect from a $15 gram. It,
[04:13.100 --> 04:14.940]  I can tell it was made from trim.
[04:15.500 --> 04:18.860]  I can tell that the material was kind of dry and old because it tastes like
[04:18.860 --> 04:23.180]  Keith and it smells like dusty Keith. Both of these cheap grams,
[04:23.260 --> 04:24.100]  they get me high,
[04:24.100 --> 04:26.940]  but I got to smoke a lot of it to get any effect from it,
[04:26.940 --> 04:31.740]  like a quarter or a half of the gram. So I guess it was cost effective.
[04:31.780 --> 04:36.340]  But my complaint is that all of this cheap hash kind of tastes like shit.
[04:36.780 --> 04:41.780]  I would rather pay the extra funds and not have to make this face after I take
[04:42.740 --> 04:44.260]  my medicine and smoke my dab.
[04:45.180 --> 04:47.460]  It's supposed to be enjoyable when I take a fat dab,
[04:47.460 --> 04:51.420]  it's not supposed to taste like pesticides or nutrients or funk or mold or
[04:51.420 --> 04:55.060]  shit. It should be, Ooh, that was orangey and delicious. Or Ooh,
[04:55.060 --> 04:58.020]  that was lemony or Ooh, that tastes like OG kush.
[04:58.540 --> 05:02.260]  But a lot of these cheap dabs, they kind of just tastes like boo-boo.
[05:02.260 --> 05:07.100]  And it's because my theory is that it's because everybody's making high
[05:07.100 --> 05:10.780]  cannabinoid, full spectrum extracts, live resins, batters, butters,
[05:11.180 --> 05:13.260]  all these other fancy hashes.
[05:13.500 --> 05:17.100]  And the shatter is made from the lowest cheapest quality trim in most
[05:17.100 --> 05:20.700]  situations. I can't speak for every place. I know that at the grow I run,
[05:21.220 --> 05:24.020]  we sent, we are very picky about the trim that we send out to her.
[05:24.020 --> 05:28.380]  Actually an extraction company sent us an email saying that they get more
[05:28.380 --> 05:32.140]  returns and highest tests off of our hash material because we pick through it
[05:32.140 --> 05:35.780]  and clean out the shit leaves. And we, it is trim. We make hash out of the trim.
[05:35.780 --> 05:39.340]  There's a lot of popcorn, but in there that gives it better quality. Uh,
[05:39.340 --> 05:40.820]  and we don't spray with any funky shit.
[05:40.820 --> 05:45.180]  We're mostly switching all the way over to a predator bug.
[05:45.180 --> 05:47.580]  So there's no spray on our plants now. It's all predators.
[05:47.580 --> 05:49.620]  So the plants don't taste like shit. Nothing's funky.
[05:49.900 --> 05:53.220]  But some of these other places I'm shopping, some of the other extractions,
[05:53.660 --> 05:55.700]  it's, it tastes terrible. Something's funky.
[05:55.980 --> 05:58.700]  I think they're using the bottom quality shit.
[05:58.700 --> 06:01.060]  I think they're probably using problematic buds.
[06:01.340 --> 06:04.620]  A joke that I used to make when a hash started getting real popular again,
[06:04.620 --> 06:07.580]  like BHO. My joke was now that we know how to make BHO,
[06:07.580 --> 06:09.180]  nobody gets powdery mildew anymore.
[06:09.420 --> 06:12.780]  So I think a lot of the powdery mildew buds that people grow in Colorado,
[06:12.780 --> 06:14.700]  cause we have huge battery mildew problems in Colorado.
[06:14.700 --> 06:18.220]  It's hard to control the indoor environment when the outdoor environment changes
[06:18.300 --> 06:22.100]  30 degrees from day to day. Uh, it was eight o'clock or it was eight degrees.
[06:22.100 --> 06:25.340]  When I got to work at eight o'clock today and it was 32 degrees when I went to
[06:25.340 --> 06:28.900]  lunch at noon. And now it's probably back down. Uh, it's dark time.
[06:28.900 --> 06:32.740]  It's nighttime. It's probably back down to like the 16, 15 degree area.
[06:33.060 --> 06:35.780]  So you have to adjust your HVAC. You have to get shit dialed in.
[06:35.780 --> 06:39.140]  You get humidity that does create a lot of powdery mildew.
[06:39.140 --> 06:42.180]  So I'm sure that a lot of the products that I bought for cheap were powdery
[06:42.180 --> 06:45.860]  mildew or some side of some sort of pesticide ridden, uh,
[06:45.900 --> 06:50.580]  buds that people just had to get rid of on the cheap. What I'm getting at,
[06:50.780 --> 06:52.380]  and I know I've just been ranting for a long time and you're like,
[06:52.380 --> 06:53.660]  what the fuck's your point here? Uh,
[06:53.660 --> 06:57.460]  my point is remember back in the day when you had the choice of buying what they
[06:57.460 --> 07:00.900]  called swag weed or commercial weed, or you could buy,
[07:00.940 --> 07:02.900]  people called it kind bud or there were different words,
[07:02.920 --> 07:05.100]  but there was shit weed and good weed.
[07:05.980 --> 07:07.700]  I was always the guy trying to convince my friends,
[07:07.700 --> 07:09.340]  quit buying that shit weed and buy the good weed.
[07:09.740 --> 07:12.700]  My theory is that if I took a gram of,
[07:12.740 --> 07:14.500]  and I'm just going to be hypothetical with numbers here.
[07:14.500 --> 07:19.180]  If I took a gram of $15 hash and I took a gram of $45 hash,
[07:19.500 --> 07:23.740]  I think the $45 gram lasts me three times as long and gets me three times as
[07:23.740 --> 07:26.980]  medicated and is, doesn't it taste three times better?
[07:27.820 --> 07:30.700]  So I feel like I learned my lesson. I tried, I spent a few bucks.
[07:30.940 --> 07:32.820]  I didn't waste it because I got some medicine,
[07:32.840 --> 07:34.820]  but you should have seen the face I made. Uh,
[07:34.820 --> 07:37.900]  after I took a couple of these dads, one of them tastes like fish oil.
[07:38.580 --> 07:41.540]  One of them kind of tastes like broccoli or Brussels sprouts or something.
[07:41.740 --> 07:43.140]  But I think I learned my lesson, uh,
[07:43.180 --> 07:46.500]  quit trying to be a cheap ass and quit buying the cheapest concentrates I can buy
[07:46.500 --> 07:49.060]  and stick with what I know and what I trust. Uh,
[07:49.100 --> 07:52.300]  but something else that I was going to mention is it seems like shatter is being
[07:52.300 --> 07:56.380]  pushed out of the market so that they can make space for all of the fancy,
[07:56.980 --> 08:00.260]  the acronym concentrates, the high cannabinoid, full spectrum extracts,
[08:00.260 --> 08:04.140]  the high terpene full step spectrum extracts, the batters, the butters. Uh,
[08:04.140 --> 08:06.020]  and of course some places are carrying Rosins,
[08:06.300 --> 08:09.740]  but I see shatter kind of becoming a kind of the old school stuff.
[08:09.740 --> 08:12.660]  Like how a lot of us look at the bubble hash and stuff like that.
[08:12.660 --> 08:15.100]  Like the old hash at the old guy smoke. We look at it like that's hash,
[08:15.100 --> 08:16.660]  old guy smoke pretty soon.
[08:16.660 --> 08:19.620]  That's what shatter is going to be. And I'm going to be an old guy smoking shatter.
[08:20.660 --> 08:23.340]  It's really interesting to me the way things come and go from this industry.
[08:23.340 --> 08:25.540]  So quickly now, uh, before it was legal,
[08:26.180 --> 08:29.980]  it took a long time for things to evolve and travel around the world and around
[08:29.980 --> 08:33.780]  the country. If you were doing, if you're doing dabs in California,
[08:34.020 --> 08:35.900]  before the internet, before legalization,
[08:36.140 --> 08:39.100]  it would have taken years for people in New York to catch on how to do dabs.
[08:39.100 --> 08:42.860]  The same now with legalization in places. Now with the internet,
[08:43.420 --> 08:46.540]  you could do a dab in California on Facebook live and teach your buddy in New
[08:46.740 --> 08:50.100]  York exactly how to do a dab. And you guys can teach each other the same lingo.
[08:50.100 --> 08:53.100]  And now you're seeing the same shit on both coasts, both doing dabs.
[08:53.340 --> 08:56.060]  All this new shit is just across the country instantly.
[08:57.140 --> 09:00.740]  And now with legalization, we're able to do so much more learning,
[09:00.740 --> 09:03.380]  so much more testing, so much more R and D.
[09:03.700 --> 09:06.700]  And we have R and D ourselves up to the top with these crystals,
[09:06.700 --> 09:10.460]  with all these batters and butters to where we have R and D ourselves so
[09:10.460 --> 09:15.820]  quickly that shatter is becoming an antiquity. I think it was 2010,
[09:15.820 --> 09:19.940]  2011, maybe 2009 when I took my first dab,
[09:20.540 --> 09:23.540]  that was my first dab out of a rig. And I'll tell you where that was in a second.
[09:23.540 --> 09:27.900]  But the first time anybody gave me any BHO was a friend of mine just gave me a
[09:27.920 --> 09:31.700]  little piece of parchment with some stuff folded in it and a little sappy stuff
[09:31.700 --> 09:33.900]  folded up in there. And he's like, give that a hit when you get home.
[09:34.300 --> 09:36.980]  And so I went home and I scraped it into a brand new pipe that had never been
[09:36.980 --> 09:37.580]  smoked out of.
[09:37.580 --> 09:41.060]  And I just put it on the bowl and I just lit that shit up and gave it a hit.
[09:41.340 --> 09:44.220]  And I was supposed to go somewhere and wherever I was supposed to go.
[09:44.260 --> 09:45.460]  I remember just texting them.
[09:45.660 --> 09:49.100]  I'm going to be late because I just laid face down on the couch and I was like,
[09:49.100 --> 09:52.140]  Holy shit, I was so high. I hadn't been that high,
[09:52.380 --> 09:55.820]  that instantly high that fast. Cause I went from, I haven't smoked all day.
[09:55.820 --> 09:57.420]  I want to get high to, Oh shit,
[09:57.420 --> 10:02.100]  I need a nap and some food and maybe some cartoons like just instantly.
[10:02.820 --> 10:05.260]  So that was my first time smoking concentrates. And that was,
[10:05.860 --> 10:09.860]  I'm going to say that was not smoking concentrate, smoking BHO made concentrates.
[10:10.140 --> 10:14.580]  I'm going to say that was 2008 or 2009 because of the person that gave it to me
[10:14.580 --> 10:16.820]  and where I was and how we were associated.
[10:17.540 --> 10:20.500]  I was involved with Metamar the dispensary at that time.
[10:20.500 --> 10:23.580]  And that's where I met the guy. And I'm pretty sure that's where I got it.
[10:23.860 --> 10:28.420]  So it was like 2008, 2009 is probably when I started smoking BHO.
[10:28.940 --> 10:31.380]  And then I told you, I would tell you about my first real dab.
[10:31.380 --> 10:34.540]  I've talked about it on this podcast. I was at the,
[10:35.060 --> 10:38.020]  um, the Denver medical,
[10:38.420 --> 10:42.540]  the Denver high times medical cannabis cup at the Xdo event center.
[10:42.660 --> 10:45.500]  There's a lot of words in that title. Cause they had to put medical in there,
[10:46.340 --> 10:49.340]  uh, at the cannabis cup, the high times cannabis cup in Denver at the Xdo.
[10:50.140 --> 10:55.140]  And the Broadway wellness booth had a booth set up and they were giving out
[10:55.140 --> 10:57.220]  dabs and Daniel Desai,
[10:57.220 --> 11:00.980]  also known as big D from top shelf extracts was giving out dabs.
[11:00.980 --> 11:02.300]  And I had talked to him online.
[11:02.300 --> 11:05.260]  We had, uh, corresponded through Facebook a few times.
[11:05.260 --> 11:08.980]  We never met in person and we saw each other's faces. And I was like, dude,
[11:08.980 --> 11:10.340]  you're the guy from the internet. And he's like, dude,
[11:10.340 --> 11:11.180]  you're the guy from the internet.
[11:11.580 --> 11:14.580]  So I walked up and got in line and took a dab and we introduced each other.
[11:14.580 --> 11:16.780]  And then I bought a dab rig from Dan that day.
[11:16.780 --> 11:18.860]  It was actually one of the old school swing arm skillets,
[11:19.340 --> 11:22.020]  but I stood in line and I went up and I got my turn. I took a dab.
[11:22.020 --> 11:24.380]  And I was like, man, that was amazing. And he's like, it's this kind of oil.
[11:24.380 --> 11:26.580]  And he told me, I don't remember what he said, but I was like,
[11:26.580 --> 11:28.700]  I'm going to come back and buy one of those. And he kind of looked at me like,
[11:28.700 --> 11:30.860]  yep, I bet you will. Cause you look like you really like that.
[11:31.380 --> 11:33.700]  And so I thought about it for the next couple of hours. I was like,
[11:33.700 --> 11:35.060]  should I do it? Should I do it? And I was like, fuck,
[11:35.060 --> 11:36.180]  I can't even quit thinking about it.
[11:36.180 --> 11:38.140]  And I went and bought my first dab rig and I still have it.
[11:38.460 --> 11:41.140]  I still have the skillet and I still have the little dub. Uh,
[11:41.140 --> 11:44.820]  they call it a coughless bong. It's just a real, it's a beaker style bong.
[11:45.300 --> 11:48.380]  It's got a little beaker base and it's just real tall and skinny.
[11:48.660 --> 11:50.420]  It doesn't make you cough. It's pretty nice.
[11:50.660 --> 11:55.660]  Then I brought that home and I smoked dabs with a little Kev and pops and Tony
[11:55.860 --> 11:59.620]  and probably Mike and myself. And I don't remember who else was there,
[12:00.140 --> 12:01.700]  but I remember we all took our first,
[12:01.780 --> 12:04.980]  I they took their first dabs in my basement, uh,
[12:05.020 --> 12:08.140]  doing it that 70s show style down in the basement, getting stoned back then.
[12:08.940 --> 12:13.180]  And I think everybody went home and took a nap. I think I called everybody.
[12:13.420 --> 12:15.860]  I texted everybody like four hours later. I was like, what's up?
[12:15.900 --> 12:17.940]  And they're all like, I just fucking woke up from a nap, dude.
[12:18.340 --> 12:19.660]  That shit was funny. I remember that.
[12:19.660 --> 12:23.460]  That was like 2010 or 2011 when that first, uh,
[12:23.460 --> 12:25.220]  high times cannabis cup came to Colorado.
[12:25.220 --> 12:27.940]  I believe the medical one that wasn't recreational is before we allowed
[12:27.940 --> 12:31.580]  recreational cannabis. So that's the amount of time it's now 2000,
[12:31.580 --> 12:36.580]  barely 2018 dabs lasted shatter lasted like eight years before it started
[12:37.260 --> 12:40.660]  becoming the old school shit. It was all the rage for a minute.
[12:41.140 --> 12:44.380]  And now it's like the, yeah, maybe we'll smoke some shatter if he got some,
[12:44.380 --> 12:47.980]  but I'd rather smoke all this other shit first. It's really neat how it's evolving.
[12:48.020 --> 12:50.460]  I've predicted, and I don't know how long this will be.
[12:50.460 --> 12:51.940]  I don't know that we'll actually see this,
[12:52.220 --> 12:56.700]  but I think that eventually you'll be able to go, uh, to,
[12:56.740 --> 13:00.700]  maybe it'll be like a bud tender slash pharmacist slash Coke dispenser machine.
[13:01.220 --> 13:05.820]  And you'll be like, Oh, I like, uh, I like this much THC, this much CBD,
[13:05.820 --> 13:09.740]  this much CBG, this much CBN for my cannabinoid ratios.
[13:09.980 --> 13:13.340]  Now for my terpenes, I like this much terpenolene, this much pineal,
[13:13.620 --> 13:15.940]  this much, whichever terp I'm going to talk about.
[13:16.620 --> 13:19.980]  And then your bud tender or your pharmacist or the machine that you're pressing
[13:19.980 --> 13:21.700]  the buttons on and ordering everything from,
[13:21.700 --> 13:24.140]  because it's the future and everything will be automated. Uh,
[13:24.180 --> 13:28.100]  you just type in your, your ratios. And it basically has a bunch of,
[13:28.100 --> 13:30.660]  it's got those ingredients in the back and it whips them up for you.
[13:31.660 --> 13:33.260]  And it spits it out like a Coke machine. And it's like,
[13:33.260 --> 13:35.380]  here's your grandma concentrate custom tailored for you.
[13:35.780 --> 13:38.220]  It's perfectly mixed up so that every time you take a dab,
[13:38.220 --> 13:43.220]  you get that perfect, this much THC, this much CBD, CBG,
[13:43.420 --> 13:45.500]  CBN, whichever cannabinoids you're looking for.
[13:45.500 --> 13:49.420]  And also the perfect ratio and amount of terpenes to where that it tastes perfect
[13:49.420 --> 13:52.100]  for you. And those terpenoids work with the cannabinoids.
[13:52.140 --> 13:54.460]  It'll be your perfect tailored mix. Uh,
[13:54.500 --> 13:58.820]  maybe it'll you'll have a USB card that you can stick into a machine and it can
[13:59.100 --> 14:02.140]  bring up your options that you've bought before so that you can have your
[14:02.140 --> 14:05.420]  different variety mixes saved on that USB card. So you can just stick USB in.
[14:05.420 --> 14:08.580]  And it goes, Oh, you need mix number 3,752. We'll spit it out for you.
[14:09.460 --> 14:11.580]  And you can just save it on a USB. You've always got your, uh,
[14:11.940 --> 14:15.700]  your mix right there that it, that way it never changes. That's something I,
[14:15.740 --> 14:18.460]  not exactly, but that's sort of what I see coming in the future.
[14:18.460 --> 14:22.020]  You will be able to custom tailor your own concentrate for your own needs.
[14:22.900 --> 14:25.420]  What kind of mix do you think you would make? You should tweet me, uh, tell me,
[14:25.860 --> 14:29.620]  tweet me at GFYH podcast on the Twitter. You can send me a Facebook message,
[14:30.100 --> 14:32.900]  or you can email me it's growfromyourheartathotmail.com. Let me know.
[14:33.140 --> 14:35.540]  If you can make up your own custom mix, what would you make?
[14:35.540 --> 14:39.220]  Do you know what percentage of which cannabinoid and terpenoid terpenoids you
[14:39.220 --> 14:41.620]  would put in there? Do you know, let me know what you think.
[14:41.900 --> 14:46.660]  I would probably make myself a really high THC mix with a lot of
[14:46.860 --> 14:50.260]  limonene and lemony flavored turps. It'd be terpeneline and limonene.
[14:50.580 --> 14:55.700]  It would be really candy, lemony, uh, lemony flavored, maybe a hint of orange.
[14:55.980 --> 14:58.380]  So maybe like some pineapple in there, oranges, lemons,
[14:58.400 --> 15:01.740]  pineapples would be really like that flavor be super high THC.
[15:01.740 --> 15:05.620]  And it would just make my head spin. And then I would have another one, uh,
[15:05.660 --> 15:10.660]  that had like a real cushy chem flavor and it would have something in there would
[15:11.020 --> 15:13.900]  make me just want to be chilled out, kind of sedated, kind of lazy,
[15:13.940 --> 15:16.060]  maybe kind of creative, maybe a little bit giggly,
[15:16.420 --> 15:19.900]  but I would have two different opposite kinds of ends of the spectrum for my,
[15:19.900 --> 15:23.420]  uh, my custom tailored concentrates. That's what I would do. All right.
[15:23.740 --> 15:26.020]  That's just big hopes and dreams. That's a long time in the future.
[15:26.940 --> 15:29.780]  I hope to see that day and I hope you guys are there with me, man.
[15:29.780 --> 15:33.380]  That was a long, fun rant. These dabs must be working. You guys, uh,
[15:33.420 --> 15:37.180]  let's talk about something more cannabis related. Uh,
[15:37.180 --> 15:38.540]  how about a breeding update? You guys,
[15:38.540 --> 15:40.820]  I keep telling you about the breeding update that I'm working on.
[15:41.140 --> 15:44.900]  I of course in breeding with my male, it's King Solomon. That is an arise male.
[15:44.900 --> 15:46.700]  It's golden go across to daybreaker.
[15:47.460 --> 15:50.980]  I mentioned previously on the show that around Christmas time or around the new
[15:50.980 --> 15:55.100]  year, I would be pollinating and the pollination has happened.
[15:55.100 --> 15:58.900]  Those plants are all filled with pollen. The seeds are forming.
[15:58.980 --> 16:02.980]  The seeds are starting to get hard. I could see them. They're large and green.
[16:02.980 --> 16:05.700]  The calyxes are getting swollen. They're obviously seeded.
[16:05.700 --> 16:08.780]  The pistils have curled up. The plants are bright, bright green,
[16:08.780 --> 16:11.500]  and the pistils are bright red and the trichomes are developing.
[16:11.780 --> 16:15.260]  They look really good. Uh, let me look at the date today.
[16:15.500 --> 16:19.860]  We are recording on, why can't I find the date anywhere? Uh, today is this, uh,
[16:19.860 --> 16:21.620]  the fourth we're recording on January 4th.
[16:21.620 --> 16:25.700]  That means that those plants have been into flower for about 36 days,
[16:25.940 --> 16:29.100]  which means they need about 25 more days ish to finish up.
[16:29.380 --> 16:33.220]  And then those seeds should be ready. They look really nice.
[16:33.220 --> 16:35.140]  I posted one or two pictures to Instagram.
[16:35.140 --> 16:37.220]  So if you're not following me on Instagram, you should check that out.
[16:37.700 --> 16:42.700]  It's IRI, I R I E underscore G E N E T I C S IRI
[16:42.700 --> 16:45.420]  genetics on Instagram. Check out my cannabis photography,
[16:45.740 --> 16:50.140]  but I'm super excited about the Durban poison cross to arise. For some reason,
[16:50.140 --> 16:53.180]  I feel like that's going to be a really good cross.
[16:53.180 --> 16:56.780]  I see a lot of potential in mating those two. Also the star dog.
[16:56.780 --> 17:00.860]  I feel like that's going to be an amazing cross and also platinum tangy is in
[17:00.860 --> 17:01.300]  there.
[17:01.300 --> 17:04.820]  I'm hoping that's just going to make big spears that smell like oranges and
[17:04.820 --> 17:06.940]  candy and are just coated in resin.
[17:06.940 --> 17:09.060]  The platinum tangy is already a great strain.
[17:09.380 --> 17:11.820]  It's just kind of small and I want to make it bigger and I want to make
[17:11.820 --> 17:13.900]  something of my own that has that orange flavor.
[17:14.180 --> 17:16.980]  Want to add that orange to my lineup because I love orange flavored
[17:16.980 --> 17:21.380]  concentrates. So I'm really excited about those three crosses. Uh,
[17:21.420 --> 17:25.060]  they should be finished up here toward the end of January and I'll keep giving
[17:25.080 --> 17:28.900]  you guys updates and I'll keep posting pictures. All right.
[17:28.900 --> 17:30.180]  Speaking of strains that I bred,
[17:30.700 --> 17:34.340]  I've got an email from a listener that starts off by giving me a compliment and
[17:34.340 --> 17:38.740]  then they ask me to give advice on growing strains that I have bred.
[17:38.900 --> 17:41.060]  So I'm going to press pause. I'm going to take a drink.
[17:41.300 --> 17:42.900]  I'm going to take a couple of more dabs.
[17:43.140 --> 17:46.620]  I might check my Instagram and then I'm going to come back and read this email
[17:46.780 --> 17:51.140]  and talk about growing strains that I have bred. I'll be right back.
[17:51.140 --> 17:51.980]  Take a dab you guys.
[17:54.540 --> 17:57.900]  All right. Podcast world. I am back. I am well medicated.
[17:57.900 --> 18:00.380]  I took a dab of some of the cheap hash I was talking about.
[18:00.780 --> 18:02.660]  Kind of tastes like a, I don't know,
[18:02.660 --> 18:06.140]  maybe cream of broccoli soup or maybe some cream corn had sort of a
[18:06.140 --> 18:08.220]  vegetably soft,
[18:08.220 --> 18:12.900]  smooth flavor that I don't approve of. Goddammit. I bought it.
[18:12.940 --> 18:16.820]  Got to dab it. Got to do something with it. Anybody need a dab? I got a dab.
[18:16.860 --> 18:19.460]  If you want to take a dab, there's some stuff. All right,
[18:19.460 --> 18:22.300]  let's get on with the podcast. You guys, I told you I was going to read an email.
[18:22.740 --> 18:25.100]  I printed it out. I've got it right here in my hand. I'm going to read it.
[18:25.460 --> 18:29.020]  It goes like this. It says, what's up, Rasta Jeff. I'm in the Midwest,
[18:29.020 --> 18:32.140]  also known as prohibition land. So you can call me to the roach,
[18:32.140 --> 18:35.740]  which is my dude grows crew name. What up to the roach. Good to meet you.
[18:35.780 --> 18:36.780]  They call me Rasta Jeff.
[18:37.620 --> 18:39.740]  Glad to make friends with anybody from the dude grows crew.
[18:40.340 --> 18:41.380]  The email goes on to say,
[18:41.380 --> 18:44.900]  I heard of your show from the guys over at the dude grow show been hooked ever
[18:44.900 --> 18:48.940]  since I've caught up on the majority of your episodes and I love it. Hey man,
[18:48.940 --> 18:51.580]  thanks for listening to the podcast. I'm glad I've got you hooked.
[18:51.940 --> 18:54.460]  And I'm glad you love the show. He also says,
[18:54.460 --> 18:58.100]  I was lucky enough to take advantage of the black Friday sale on your genetics.
[18:58.340 --> 18:59.180]  That's right. You guys,
[18:59.580 --> 19:02.460]  the hell a dank seed bank did a really great black Friday sale.
[19:02.620 --> 19:03.940]  They're doing another sale right now.
[19:03.940 --> 19:07.260]  Making sure you check them out at dank seed dot store.
[19:07.660 --> 19:11.860]  You can grab yourself some iri genetics. He says, I just popped some Prana seeds.
[19:11.860 --> 19:15.780]  I also picked up some morning dew and storm shadow. My question is,
[19:15.780 --> 19:19.940]  have you ever done a show with detailed information or tips on growing said
[19:19.940 --> 19:22.900]  strains? Thank you for your time and for the knowledge and entertainment.
[19:23.940 --> 19:27.420]  I will give my mom a big hug for you and take it to the next level and smoke a
[19:27.460 --> 19:31.420]  fat dab with her. And that sounds good, man. You are going above,
