[00:12.600 --> 00:21.270]  Welcome back, Cannabis Community.
[05:46.410 --> 05:49.450]  Big shout out to Jesse for coming and helping us do some outdoor grow lessons.
[05:49.450 --> 05:52.050]  So I love those series or that series every year.
[05:52.050 --> 05:54.810]  I feel like I got to pack so much info into every single episode though.
[05:54.810 --> 05:58.410]  So when I don't give a full informative episode, I feel like I'm kind of cheating myself and
[05:58.410 --> 05:59.410]  the listeners.
[05:59.410 --> 06:04.090]  There are episodes where I've had to stop and pause repeatedly while I take notes.
[06:04.090 --> 06:05.530]  They're so hyper detailed.
[06:05.530 --> 06:06.530]  It's fantastic.
[06:06.530 --> 06:10.610]  I've got, and I know I keep saying it, I've got those podcasts in the works.
[06:10.610 --> 06:12.450]  The ones where you're going to have, I've got the folder right here in my hand.
[06:12.450 --> 06:13.450]  You can hear this.
[06:13.450 --> 06:14.450]  This is all those pages.
[06:14.450 --> 06:15.450]  It's more impressive every week.
[06:15.450 --> 06:16.450]  Yeah.
[06:16.450 --> 06:17.450]  I'm going to do those.
[06:17.450 --> 06:18.790]  I'm just, I'm trying to perfect them.
[06:18.790 --> 06:22.050]  Those are episodes that are going to be in depth and I'm kind of a perfectionist.
[06:22.050 --> 06:24.430]  So when they come out like that, they're really good.
[06:24.430 --> 06:27.810]  But this episode we're going to talk about, you like how I pulled that background?
[06:27.810 --> 06:29.370]  I've been podcasting a while.
[06:29.370 --> 06:33.250]  So this podcast, we're going to talk about a letter that the DEA sent.
[06:33.250 --> 06:34.250]  Who the hell did they send it to?
[06:34.250 --> 06:38.170]  Did they just publish it or was it actually mailed to people?
[06:38.170 --> 06:40.370]  This was the big dust up this week.
[06:40.370 --> 06:45.770]  The letter that everyone freaked out about over CBD.
[06:45.770 --> 06:48.250]  Did your face just break?
[06:48.250 --> 06:53.610]  This story almost broke me.
[06:53.610 --> 06:59.290]  The big dust up is basically saying the DEA just made CBD illegal again.
[07:00.210 --> 07:01.210]  It was never legal.
[07:01.210 --> 07:02.210]  Right.
[07:02.210 --> 07:03.210]  We're going to get to that.
[07:03.210 --> 07:06.330]  Let me read this news article and then we're definitely going to talk about why it's silly
[07:06.330 --> 07:08.690]  and we'll talk about a lot of details.
[07:08.690 --> 07:11.450]  There are a lot of different versions of this article.
[07:11.450 --> 07:14.330]  The main part that I want to focus on is a quote.
[07:14.330 --> 07:18.970]  This story is a great example of just how fake news can be.
[07:18.970 --> 07:19.970]  Right.
[07:19.970 --> 07:23.210]  In the different degrees of bullshit that can work their way into a press story.
[07:23.210 --> 07:26.730]  I've read it in three or four different locations and the part I want to focus on is mainly
[07:26.730 --> 07:29.090]  quoted from the DEA themselves.
[07:29.890 --> 07:34.010]  The buffers around it, we can talk shit about a blot on every website.
[07:34.010 --> 07:37.490]  This one, I chose the one, the Leafly article looked like a crock of shit to me.
[07:37.490 --> 07:39.490]  I didn't like the Leafly article.
[07:39.490 --> 07:43.130]  I chose to go with the article from the Green Rush Daily.
[07:43.130 --> 07:45.150]  Shout out to the Green Rush Daily.
[07:45.150 --> 07:48.410]  The headline is, the DEA just banned CBD and here's why.
[07:48.410 --> 07:52.370]  Then there's a giant ad and then I finally scroll like seven scrolls and I get to the
[07:52.370 --> 07:56.450]  article that says, the legality of CBD is no longer in the gray area.
[07:56.450 --> 08:03.210]  In fact, the DEA just banned CBD, cementing its place in the list of schedule one substances.
[08:03.210 --> 08:09.970]  CBD or cannabidiol is a compound or cannabinoid in cannabis that won't get you high.
[08:09.970 --> 08:15.410]  What it does do though is stop seizures and aid in suffering from dilip, Jesus.
[08:15.410 --> 08:19.810]  I'm the one that wanted to talk shit about an article and I can't speak English words.
[08:19.810 --> 08:21.090]  Debilitating is the word I was trying to say.
[08:21.090 --> 08:25.610]  I nailed cannabinoid and cannabidiol, but I can't say debilitating you guys.
[08:25.770 --> 08:27.770]  It's a mouthful, especially on a phone.
[08:27.770 --> 08:30.170]  Yeah, especially after all those dabs.
[08:30.170 --> 08:31.890]  The dabs never help with reading aloud.
[08:31.890 --> 08:32.890]  That's true.
[08:32.890 --> 08:37.130]  Um, I may be the exception to that rule.
[08:37.130 --> 08:40.530]  I'm an introvert and then sometimes when I smoke a lot of dabs I get chatty and I want
[08:40.530 --> 08:41.530]  to go for that.
[08:41.530 --> 08:42.530]  Oh, it definitely can help with anxiety for sure.
[08:42.530 --> 08:43.530]  Yeah, yeah.
[08:43.530 --> 08:44.530]  Okay, so we'll keep going.
[08:44.530 --> 08:45.930]  It says, so why is the DEA putting it on?
[08:45.930 --> 08:49.590]  Why is the DEA putting it on the list of the most harmful drugs available to man?
[08:49.590 --> 08:53.090]  Probably the same reasons they temporarily banned the herbal pain reliever Kratom earlier
[08:53.090 --> 08:54.090]  this year.
[08:54.090 --> 08:57.530]  They're both alternatives to more dangerous prescription opiates that are plaguing the
[08:57.530 --> 08:58.530]  country.
[08:58.530 --> 09:04.250]  The DEA actions seem to protect big pharma's pockets more than the health of American citizens.
[09:04.250 --> 09:05.530]  That's not the point that I wanted to get to.
[09:05.530 --> 09:07.690]  They're talking about a conspiracy that I agree with.
[09:07.690 --> 09:11.050]  It was, they were doing so well and then they went off into fucktard land.
[09:11.050 --> 09:12.050]  Yes, yes.
[09:12.050 --> 09:13.050]  Well, just that quick.
[09:13.050 --> 09:15.890]  Well, fucktard land was somewhere I wanted to venture into later in the episode.
[09:15.890 --> 09:20.170]  I didn't want to jump right into Tarkville because I think that may have something to
[09:20.170 --> 09:21.170]  do with it.
[09:21.170 --> 09:23.610]  They see that there are pharmaceutical companies working with it.
[09:24.130 --> 09:25.690]  They don't want us having that market.
[09:25.690 --> 09:27.210]  They want to corner that before we do.
[09:27.210 --> 09:28.570]  So they're just going to shut us down.
[09:28.570 --> 09:29.730]  Like, Oh no, you can't even play.
[09:29.730 --> 09:30.730]  So now we win.
[09:30.730 --> 09:33.530]  Uh, they just landed on free parking by fucking us.
[09:33.530 --> 09:35.290]  But um, I want to keep going.
[09:35.290 --> 09:38.730]  The archaic spelling of the word marijuana with an H is used in the text and federal
[09:38.730 --> 09:43.210]  and the federal register announcing the rule probably to avoid turning up in marijuana
[09:43.210 --> 09:44.410]  related search results.
[09:44.410 --> 09:45.970]  Oh wow.
[09:45.970 --> 09:46.970]  Is that true?
[09:46.970 --> 09:49.890]  They think that no, it's just how the fucking feds spell it.
[09:49.890 --> 09:50.890]  You fucking conspiracy.
[09:51.170 --> 09:52.170]  Fuck.
[09:52.170 --> 09:57.450]  As soon as you said green rush daily, I was like, Oh fuck.
[09:57.450 --> 09:59.730]  And then you said you should have been at the top and I went off.
[09:59.730 --> 10:00.730]  You should have warned me cause yeah.
[10:00.730 --> 10:06.450]  And I knew where this was going, but I think this will be helpful for our listeners because
[10:06.450 --> 10:11.370]  I thought it was two ways to spot marijuana with an H. Yeah, it's the, that's just how
[10:11.370 --> 10:13.250]  the feds spell marijuana.
[10:13.250 --> 10:19.130]  The um, and this is where, what a lot of the fake news is oriented around.
[10:19.170 --> 10:24.650]  Um, basically everybody has heard of CBD by now.
[10:24.650 --> 10:28.730]  Coast to coast is CBDs a household term.
[10:28.730 --> 10:34.570]  Now, uh, people have seen through Sanjay Gupta specials and through YouTube videos and Facebook
[10:34.570 --> 10:40.810]  posts, how helpful it can be with Parkinson's, uh, with seizure disorders, with the face
[10:40.810 --> 10:50.290]  syndrome, uh, with pain management, um, with, uh, the change in a federal policy with the
[10:50.290 --> 10:55.690]  Ogden memo and the coal memo that led to, um, marijuana markets like we have here in
[10:55.690 --> 10:58.130]  Colorado where they're legal.
[10:58.130 --> 11:02.650]  Um, some of those like Colorado's included legal hemp.
[11:02.650 --> 11:07.650]  And so last year, the year before the feds, um, just like the colon, Ogden memos did for
[11:07.850 --> 11:09.850]  high THC cannabis.
[11:09.850 --> 11:15.250]  Um, they put out a little blurb in the farm bill covering industrial hemp and putting,
[11:15.250 --> 11:19.130]  um, a definition for what industrial hemp is.
[11:19.130 --> 11:25.970]  And so under the guise of that legal loophole, a number of companies, both domestic and foreign
[11:25.970 --> 11:32.890]  started selling TVs or CBD extract online, um, in all 50 States, making it available
[11:32.890 --> 11:34.650]  pretty much everywhere.
[11:34.650 --> 11:38.090]  Companies like CBD, Lifewater have sprung up that are trying to get distribution in
[11:38.090 --> 11:40.090]  all 50 States.
[11:40.090 --> 11:44.370]  Um, and it's under a gray market loophole created by the farm bill.
[11:44.370 --> 11:45.770]  It is in no way legal.
[11:45.770 --> 11:49.410]  Um, the feds have always considered every part of the cannabis plant.
[11:49.410 --> 11:53.210]  It doesn't matter if it's sativa, Indica, hemp, root, Rallis, they don't give a shit.
[11:53.210 --> 11:55.890]  Let me jump in right there because that's right where I am in this article.
[11:55.890 --> 11:56.890]  Yep.
[11:56.890 --> 11:59.090]  And they spell it marijuana with an H why?
[11:59.090 --> 12:03.330]  Because these laws are based in fucking racism.
[12:03.330 --> 12:07.910]  And that was a lot of where the original basis for these comes from.
[12:07.910 --> 12:12.010]  So when the feds write a new marijuana law, it's on the backs of all the old marijuana
[12:12.010 --> 12:15.570]  laws and they keep the same racist ass spelling.
[12:15.570 --> 12:17.890]  All right.
[12:17.890 --> 12:20.010]  Just giving me a look like I know, but let me finish the article.
[12:20.010 --> 12:22.930]  Yeah, no, no, you're fired up and I like it, but I want, I have to get through this article
[12:22.930 --> 12:25.010]  to make the show a show.
[12:25.010 --> 12:29.130]  It says the reason, uh, given that the U S is complying with the international drug
[12:29.130 --> 12:32.290]  control treaties, uh, wait, the reason giving is that the, okay.
[12:32.290 --> 12:33.290]  It says that they are
[12:33.290 --> 12:39.790]  so the DEA stated reason for the change this week is to help them comply with international
[12:39.790 --> 12:40.790]  narcotics treaties.
[12:40.790 --> 12:44.690]  Then they say before this elaboration, CBD is legality was in a gray area.
[12:44.690 --> 12:49.130]  It was assumed that CBD extracted from medical cannabis was only legal for medical marijuana
[12:49.130 --> 12:51.170]  patients and illegal to the rest.
[12:51.170 --> 12:56.370]  However, CBD derived from industrial hemp was being sold across the country as if it
[12:56.370 --> 12:58.210]  were federally federally legal.
[12:58.210 --> 13:03.370]  Well, apparently the DEA has always believed any form of cannabis extract to be schedule
[13:03.370 --> 13:04.370]  one.
[13:04.370 --> 13:05.370]  Okay.
[13:05.370 --> 13:09.250]  Now I want to, if I handed you a CBD molecule, a scientist, a CBD molecule, and I said, did
[13:09.250 --> 13:11.330]  this come from hemp or cannabis?
[13:11.330 --> 13:12.690]  He'd probably tell me to go fuck myself.
[13:12.690 --> 13:13.690]  Cause it's the same thing.
[13:13.690 --> 13:16.090]  He would say it's a molecule.
[13:16.090 --> 13:20.330]  So the DEA claims that there are small amounts of cannabinoids in every CBD extract.
[13:20.490 --> 13:25.130]  They cite this as another reason to keep CBD on schedule one for practical purposes, all
[13:25.130 --> 13:30.410]  extracts that contain CBD will also contain at least a small amount of other cannabinoids.
[13:30.410 --> 13:36.450]  However, if it were possible to produce the form of cannabis plant, sorry, they wrote
[13:36.450 --> 13:37.570]  this weird and there's an ad right here.
[13:37.570 --> 13:38.570]  I'm skipping through it.
[13:38.570 --> 13:42.330]  Uh, let's see, uh, produce from the cannabis plant extract that contain only CBD and no
[13:42.330 --> 13:47.050]  other cannabinoids, such an extract would fall within the new drug code.
[13:47.050 --> 13:52.610]  So basically the DEA made extracting CBD completely illegal, whether it's from hemp or not, whether
[13:52.610 --> 13:56.010]  it is pure CBD, because they are wrong right there when they say that you can't get pure
[13:56.010 --> 14:01.650]  CBD because I know I'm thinking, counting, I can put five fingers up and confidently
[14:01.650 --> 14:05.930]  say that I know five people that I could call friends that can make CBD isolate.
[14:05.930 --> 14:08.970]  That is 99.8 or 9% CBD.
[14:08.970 --> 14:11.890]  That one or 2% is atmospheric conditions.
[14:11.890 --> 14:14.810]  There are things like oxygen in there that they cannot control.
[14:14.810 --> 14:15.810]  Yeah.
[14:15.850 --> 14:20.890]  It's, it's, you can get a hundred percent pure CBD, um, lots of different places.
[14:20.890 --> 14:25.410]  The, the, the DEA's position on it doesn't have anything to do with there being trace
[14:25.410 --> 14:26.930]  cannabinoids in it.
[14:26.930 --> 14:30.810]  Um, that's just something that happened to mumble during the press conference.
[14:30.810 --> 14:34.970]  So it's always been, but every, it's always been illegal, just like every part of the
[14:34.970 --> 14:37.570]  cannabis plant is illegal federally.
[14:37.570 --> 14:40.170]  Um, the seeds are illegal.
[14:40.170 --> 14:41.490]  The leaves are illegal.
[14:41.490 --> 14:42.970]  The root ball is illegal.
[14:42.970 --> 14:45.530]  The pot you grew it in is illegal.
[14:45.530 --> 14:49.010]  Um, it doesn't matter if it's industrial hemp.
[14:49.010 --> 14:56.290]  Um, every year, um, or I'm just to be safe every 18 months, uh, some drug task force
[14:56.290 --> 15:00.570]  somewhere like East Palm fuck Texas makes the, an announcement that they've just found
[15:00.570 --> 15:02.130]  the world's biggest pot farm.
[15:02.130 --> 15:07.650]  Um, and they're rating it today and they, they didn't catch any growers and it's headline
[15:07.650 --> 15:11.810]  news on Monday and it's headline news on Tuesday.
[15:11.810 --> 15:14.810]  And then there's nothing about it in the press on Wednesday.
[15:14.810 --> 15:20.930]  And next Friday it comes out that it was a wild hemp field on some farmers back 400,
[15:20.930 --> 15:23.570]  400 acres in the middle of nowhere.
[15:23.570 --> 15:29.330]  And it was the weather conditions that spring were perfect for feral hemp to go nuts.
[15:29.330 --> 15:34.370]  Um, and the DEA will spend a hundred thousand dollars ripping all of that feral hemp out
[15:34.370 --> 15:36.050]  of the ground and burning it.
[15:36.050 --> 15:38.650]  Um, because it's the dangerous marijuana plant.
[15:38.650 --> 15:40.090]  It doesn't matter that it's growing wild.
[15:40.090 --> 15:41.090]  It doesn't have any.
[15:41.370 --> 15:45.290]  If you smoked any of that stuff, if you harvested, dried and cured it properly, all that shit
[15:45.290 --> 15:47.010]  would do is give you a headache.
[15:47.010 --> 15:49.290]  There's a, an Indian reservation.
[15:49.290 --> 15:54.890]  Um, I want to say it was in New Mexico, um, somewhere hot and kind of miserable to live.
[15:54.890 --> 15:58.490]  Um, where feral hemp was just everywhere.
[15:58.490 --> 15:59.810]  They couldn't do anything about it.
[15:59.810 --> 16:00.810]  It was an issue.
[16:00.810 --> 16:06.010]  Um, and they'd found a way to basically build whole houses with it, with hemp creating a
[16:06.010 --> 16:09.130]  couple of other products and they were doing it all on site.
[16:09.170 --> 16:15.050]  Um, and the feds would show up every now and again and burn their hemp down, um, because
[16:15.050 --> 16:16.370]  it's dangerous hemp.
[16:16.370 --> 16:18.770]  Um, and this happens all over the country.
[16:18.770 --> 16:23.650]  The DEA wastes small fortunes, ripping wild hemp plants out of the ground that are left
[16:23.650 --> 16:28.210]  over from the thirties and forties when hemp was grown as a crop all over the U S when
[16:28.210 --> 16:33.610]  there's a terrible heroin epidemic everywhere right now, like Colorado Springs is littered
[16:33.610 --> 16:34.850]  with crystal meth.
[16:34.850 --> 16:36.210]  Meth is everywhere in Springs.
[16:36.210 --> 16:39.730]  People driving around on bicycles, looking at fucking trash cans all over Colorado Springs,
[16:39.730 --> 16:41.770]  Pueblo, Pueblo is dead.
[16:41.770 --> 16:42.770]  It's Friday night right now.
[16:42.770 --> 16:44.170]  You guys, it's Friday night at 10 30.
[16:44.170 --> 16:45.170]  It's fucking quiet.
[16:45.170 --> 16:48.090]  All the people that used to be out raging doing heroin, not all, but I mean a good fucking
[16:48.090 --> 16:51.170]  portion of our young people are out doing heroin right now.
[16:51.170 --> 16:54.370]  And the DEA is worried about fucking with plants that keep us cold.
[16:54.370 --> 17:02.610]  I mean, not even cannabis or fun cannabis that gets you stoned and their hemp, the stuff
[17:02.610 --> 17:09.450]  you make jeans with, um, houses, bricks, textiles, necklaces, right?
[17:09.450 --> 17:13.610]  There's an infinite number of products you can make with, with hemp.
[17:13.610 --> 17:18.130]  And that was part of the, the reason they, they included the exemption, um, in the farm
[17:18.130 --> 17:23.970]  bill last year, the year before to, um, to designate what exactly is industrial hemp.
[17:23.970 --> 17:29.450]  Um, because everybody, I mean, everybody, everybody understands how absurd our, our
[17:29.450 --> 17:30.930]  hemp laws are.
[17:30.930 --> 17:36.010]  Um, but as far as law enforcement's concerned, cops can't tell the difference between hemp
[17:36.010 --> 17:39.770]  and weed and they're pretty sure you can grow the two next to each other.
[17:39.770 --> 17:45.050]  So you could hide your high THC plants and among your hemp plants, which anyone that's
[17:45.050 --> 17:48.350]  ever grown either crop knows how insane that is.
[17:48.350 --> 17:53.290]  But law enforcement across the country still argue shit like that in federal court to keep
[17:53.290 --> 17:56.210]  the DEA making decisions like this.
[17:56.210 --> 18:01.610]  Sunsol is growing a bunch of, uh, it's all CBD plants and it looks like killer cannabis
[18:01.610 --> 18:02.610]  plants.
[18:02.610 --> 18:05.770]  If they told me that that was white widow or something, I honestly couldn't tell the
[18:05.770 --> 18:06.930]  difference on their plants.
[18:06.930 --> 18:09.810]  They have got very cannabis looking.
[18:09.810 --> 18:11.490]  Some of them can be very, very similar.
[18:11.490 --> 18:14.730]  It depends what the hemp you're growing has been bred to do.
[18:14.730 --> 18:15.730]  Yeah.
[18:15.730 --> 18:16.730]  Yeah.
[18:16.730 --> 18:21.490]  Um, and if I understand what Sunsol is doing is they're producing, um, CBD extract.
[18:21.490 --> 18:22.650]  It looks like flow.
[18:22.650 --> 18:24.730]  It grows just like flow.
[18:24.730 --> 18:29.050]  That's the type of hemp you would want for a high CBD extract production.
[18:29.050 --> 18:33.930]  But that I'm guessing that hemp strain would be crap if they tried to make fuel oil or
