[00:15.680 --> 00:18.200]  Welcome back cannabis community.
[01:56.600 --> 01:58.000]  I do work for another dispensary.
[01:58.440 --> 02:00.640]  I was kind of far away and it was fucking snowing.
[02:00.840 --> 02:03.880]  This place was closer and they have quality products. And you know what?
[02:03.880 --> 02:06.800]  My friends work out there too. And they were great. They were super kind.
[02:06.800 --> 02:08.440]  They were friendly. They were, they were helpful.
[02:08.440 --> 02:11.360]  And they made recommendations on products that I approved of.
[02:11.360 --> 02:13.440]  So I do support other dispensaries.
[02:13.560 --> 02:15.240]  I would recommend you shop at the one I grow for,
[02:15.240 --> 02:18.960]  but you got to go other places. I get it. So shout out to my friends.
[02:18.960 --> 02:23.120]  It took good care of me. Let's see. Let's move into a podcast a little bit.
[02:23.120 --> 02:25.360]  Let's talk about my breeding projects.
[02:25.360 --> 02:27.960]  You guys seem to love it when I talk about the breeding projects.
[02:28.160 --> 02:31.320]  I've had two projects going simultaneously in different locations.
[02:31.720 --> 02:36.400]  One of them was including the star dog cross to arise and the
[02:36.400 --> 02:39.880]  Durban poison cross to arise and platinum tangy to arise.
[02:39.880 --> 02:41.440]  And there were several others in there.
[02:41.440 --> 02:44.160]  Those plants have been harvested. Ladies and gentlemen, they are down.
[02:44.160 --> 02:46.520]  The Durban poison took a little bit longer than everybody else,
[02:46.840 --> 02:48.360]  but they are harvested.
[02:48.360 --> 02:50.520]  The plants are hanging up. Most of them are dried.
[02:50.680 --> 02:53.200]  Some of them have been bucketed or put into bins.
[02:53.560 --> 02:56.920]  I put them, I just break them off the stick into the bins and let the buds dry out.
[02:57.160 --> 02:59.720]  And then I'll go and mash it up in a little tiny pieces with my hands.
[02:59.720 --> 03:01.520]  And then I will pull the seeds out.
[03:01.520 --> 03:05.040]  I'm looking at a seed separating machine, but it is quite pricey.
[03:05.120 --> 03:06.680]  That may be in the future.
[03:06.680 --> 03:09.200]  But yeah, they are dry. They're drying up. They're ready.
[03:09.200 --> 03:10.720]  Seeds are falling out.
[03:10.720 --> 03:13.640]  So in the very near future, we will have some new crosses to test.
[03:13.640 --> 03:16.760]  And I will also be able to replenish the hell a dank seed bank
[03:16.760 --> 03:19.200]  with brand new batches of seeds.
[03:19.680 --> 03:22.960]  Let's see. Also, the other breeding project I'm working on is a reversed
[03:23.160 --> 03:24.080]  blueberry cookies.
[03:24.080 --> 03:28.960]  I've got a blueberry cookies girl that I treated with a silver thiosulfate solution.
[03:29.200 --> 03:31.200]  I reversed it. I turned it into a boy.
[03:31.480 --> 03:32.480]  It dropped pollen.
[03:32.480 --> 03:35.840]  I put that pollen on another blueberry cookies female.
[03:35.840 --> 03:38.600]  I also put that pollen on a platinum tangy female.
[03:38.800 --> 03:42.040]  I put that pollen on a strawberry fields female.
[03:42.280 --> 03:45.640]  I also put that pollen on Durban poison and a rise.
[03:45.640 --> 03:46.560]  There may be another one in there,
[03:46.560 --> 03:48.560]  but I can't think of what it is off the top of my head.
[03:48.560 --> 03:50.320]  Lemon skunk. That's what it is.
[03:50.320 --> 03:53.680]  So I'm hoping to make a whole bunch of candy flavored
[03:53.840 --> 03:55.760]  turp filled plants with that cross.
[03:55.760 --> 03:58.840]  Most of those crosses with that experiment there with that breeding project.
[03:58.840 --> 04:01.840]  Most of those probably won't be available for a very long time.
[04:01.840 --> 04:03.360]  I will test them. I'll grow them myself.
[04:03.360 --> 04:05.960]  It's a very small breeding project.
[04:05.960 --> 04:08.120]  Then if I like what I've made, I will do it again
[04:08.120 --> 04:13.000]  and we will make those feminized blueberry skunk reversals available
[04:13.720 --> 04:14.960]  at the hell of dank seed bank.
[04:14.960 --> 04:17.920]  I guess that's a good way to segue into some advertising with the hell
[04:17.920 --> 04:19.480]  of dank seed bank.
[04:19.480 --> 04:23.040]  If you're looking for iri genetic seeds, look no further than the hell
[04:23.040 --> 04:24.040]  of dank seed bank. That's right.
[04:24.040 --> 04:28.680]  Visit dank seed dot store for all of your iri genetics needs.
[04:30.040 --> 04:31.920]  All right. What else do you guys want to talk about today?
[04:31.920 --> 04:33.760]  Let's get into some iTunes comments.
[04:33.760 --> 04:36.040]  I've got four brand new iTunes comments.
[04:36.400 --> 04:38.520]  I really appreciate it when you guys leave comments.
[04:38.520 --> 04:41.200]  They are actually ratings and reviews on iTunes.
[04:41.200 --> 04:43.360]  If you're interested in leaving an iTunes rating and review,
[04:43.600 --> 04:45.680]  simply go to iTunes.
[04:45.680 --> 04:47.000]  There is a section.
[04:47.000 --> 04:47.720]  Go to the search bar.
[04:47.720 --> 04:50.120]  Type in the name of the girl from your heart podcast.
[04:50.120 --> 04:51.120]  It'll bring up the podcast.
[04:51.120 --> 04:53.040]  There's a section right in the middle. It says ratings and reviews.
[04:53.040 --> 04:54.200]  They've made it a lot easier.
[04:54.200 --> 04:56.160]  Click on ratings and reviews.
[04:56.160 --> 04:58.040]  You're able to click on an amount of stars.
[04:58.040 --> 04:59.720]  I'm scrolling up to see so far.
[04:59.720 --> 05:03.120]  I've got 94 ratings and it says five point out of five.
[05:03.120 --> 05:04.600]  So I've got five stars.
[05:04.600 --> 05:07.520]  Whatever that bad rating was, it got removed or it got corrected.
[05:07.520 --> 05:09.280]  There was one that only gave me four. It is gone.
[05:09.280 --> 05:12.320]  So I've got 94 five star reviews.
[05:12.320 --> 05:14.320]  You guys, you can go in and type a review.
[05:14.320 --> 05:15.800]  You can give me a rating.
[05:15.800 --> 05:18.200]  I encourage you to give me as many stars as you feel I deserve.
[05:18.200 --> 05:21.280]  So far, 94 people have given me a five star review.
[05:22.000 --> 05:24.560]  Let's read the most recent reviews.
[05:24.560 --> 05:27.600]  I'm going to turn down this music so I can hear myself think a little bit.
[05:27.600 --> 05:29.800]  And these reviews go like this.
[05:29.800 --> 05:32.240]  This one was left by a person who calls himself my jam.
[05:32.240 --> 05:34.040]  This was left on January 18th.
[05:35.440 --> 05:37.760]  Looks like their Instagram name is Warpath Glass.
[05:38.480 --> 05:40.000]  The review goes like this.
[05:40.000 --> 05:43.160]  This is the best podcast out for Colorado culture and education.
[05:43.160 --> 05:44.680]  Rasta Jeff, you are killing it.
[05:44.680 --> 05:46.760]  Keep it up and stay iry.
[05:46.760 --> 05:49.160]  Hey, my jam. Thanks for the great compliments. I appreciate that.
[05:49.640 --> 05:51.440]  I never thought it was a competition or anything,
[05:51.440 --> 05:53.560]  but it sounds like if there were a competition,
[05:53.560 --> 05:56.280]  I would be winning because you called me the best and I appreciate it.
[05:56.520 --> 05:58.840]  Hey, I will keep killing it and I will always stay iry.
[05:58.880 --> 05:59.920]  You do the same, my jam.
[05:59.920 --> 06:01.320]  Thanks for the great comment.
[06:01.320 --> 06:03.200]  And of course, the five stars.
[06:04.120 --> 06:08.040]  The next review comes from somebody who calls themselves Grimble the Druid.
[06:08.080 --> 06:09.720]  We've talked a little bit on Instagram live.
[06:09.720 --> 06:11.760]  What's up, buddy? Good seeing you on here.
[06:11.760 --> 06:15.520]  He says Rasta man, you can call me Grimble if you want to read this on the air.
[06:15.520 --> 06:16.960]  Well, I already called you Grimble the Druid
[06:16.960 --> 06:19.000]  because I read your name out loud, so I apologize for that.
[06:19.000 --> 06:20.000]  Hope that's cool.
[06:20.000 --> 06:21.680]  Anyway, the review goes like this.
[06:21.680 --> 06:24.240]  So when I first started listening to the show a long time ago,
[06:24.440 --> 06:27.240]  you and White Mike always said to tell a friend about the show if you could.
[06:27.720 --> 06:29.760]  Chronic Kobe was that friend for me.
[06:29.760 --> 06:31.160]  So it was really cool to hear.
[06:31.160 --> 06:35.560]  He made me realize I really owed you a review for all the content I've enjoyed.
[06:35.560 --> 06:39.680]  So just to update you guys on that on the last episode, when I read the comments,
[06:39.840 --> 06:42.680]  I read a review from somebody who called themselves Chronic Kobe.
[06:43.080 --> 06:46.440]  And apparently that was Grimble the Druid's buddy who introduced him
[06:46.640 --> 06:48.560]  or who he introduced to the podcast.
[06:48.560 --> 06:51.560]  So, dude, thanks for sharing the podcast and thanks for remembering
[06:51.560 --> 06:54.040]  to leave a review after your buddy did so.
[06:54.040 --> 06:55.000]  Then he says show review.
[06:55.000 --> 06:57.400]  Definitely still one of my favorite podcasts to listen to.
[06:57.520 --> 07:00.000]  Even a few years in, I always look forward to waking up
[07:00.120 --> 07:02.440]  to a new episode on Mondays.
[07:02.440 --> 07:05.680]  In-depth, step by step information, unbiased, solid show.
[07:05.840 --> 07:09.600]  No doubt about it has increased my knowledge and abilities as a grower.
[07:09.600 --> 07:12.360]  Keep up the great work on Instagram, too.
[07:12.800 --> 07:14.680]  And that's a lot of great compliments in there.
[07:14.680 --> 07:15.160]  Let's see.
[07:16.200 --> 07:17.440]  Favorite podcast.
[07:17.440 --> 07:19.600]  One of your favorite podcasts. Awesome. Thank you.
[07:19.640 --> 07:21.760]  I hope Joe Rogan and Joey Diaz are right up there.
[07:22.040 --> 07:23.680]  He looks forward to waking up soon on Mondays.
[07:23.680 --> 07:24.720]  That's why I put it out on Monday.
[07:24.720 --> 07:26.800]  You guys, I want you to have a fresh new episode on Mondays
[07:26.800 --> 07:28.240]  because Mondays do kind of suck.
[07:28.280 --> 07:32.400]  At least my podcast is some light at the end of that crappy Monday tunnel.
[07:33.240 --> 07:35.360]  In-depth, step by step information.
[07:35.360 --> 07:38.720]  Yes, sometimes I feel like I'm a little too in-depth and too step by step,
[07:38.720 --> 07:40.200]  but you can't see me.
[07:40.200 --> 07:42.040]  So I have to paint a really good picture
[07:42.040 --> 07:44.960]  and I have to talk both of us through what we're trying to do.
[07:45.080 --> 07:47.560]  So I'm glad you enjoy the in-depth, step by step part.
[07:48.120 --> 07:50.160]  He also says unbiased, solid show.
[07:50.440 --> 07:51.880]  Sometimes I'm biased, dude.
[07:51.880 --> 07:54.800]  I try to be fair, but I do have my own opinions and feelings.
[07:55.320 --> 07:58.080]  And sometimes I'm not afraid to let them fly.
[07:58.320 --> 07:59.760]  I share my opinions and feelings.
[07:59.760 --> 08:02.720]  So I do appreciate that you think I'm unbiased and fair,
[08:02.720 --> 08:04.200]  but sometimes I do put my own.
[08:04.200 --> 08:05.840]  It's my show, so I can say whatever I want.
[08:05.840 --> 08:07.760]  So I do put my opinion into it quite often.
[08:07.760 --> 08:09.600]  But thank you for the compliments.
[08:09.600 --> 08:12.400]  No doubt about it has increased my knowledge and abilities as a grower.
[08:12.640 --> 08:13.480]  That's what I'm here for.
[08:13.480 --> 08:15.800]  I want everybody to be a better grower.
[08:15.960 --> 08:17.560]  I want everybody to be a better activist.
[08:17.560 --> 08:20.600]  I want everybody to be more informed and more comfortable with cannabis.
[08:20.840 --> 08:23.240]  So Grimball the Druid, dude, thanks for the great review.
[08:23.480 --> 08:25.200]  Thanks for the five stars. I appreciate it.
[08:25.200 --> 08:27.000]  And I look forward to seeing you on Instagram.
[08:27.000 --> 08:29.040]  He also ends his review with keep it up on Instagram.
[08:29.280 --> 08:31.560]  You guys, if you're not following me on Instagram, you should.
[08:31.600 --> 08:33.320]  It's Iree underscore genetics.
[08:33.320 --> 08:37.840]  I R I E underscore G E N E T I C S on Instagram.
[08:37.840 --> 08:38.880]  I read genetics.
[08:38.880 --> 08:41.320]  I post a lot of cannabis photography.
[08:41.320 --> 08:44.480]  If you're into cannabis, cannabis photography, you would appreciate it.
[08:44.520 --> 08:46.880]  All right. I'm trying to make the iPad close this review and open up the next one.
[08:46.880 --> 08:48.800]  It says like this.
[08:48.800 --> 08:51.400]  It says like this. That's weird when I say that it goes like this.
[08:51.400 --> 08:53.760]  What's up, Rasta Jeff? This is Johnny Snipes.
[08:53.760 --> 08:56.840]  And then whatever you put in parentheses there doesn't show up.
[08:56.840 --> 08:59.320]  It shows a parentheses and an F and I can't read the rest of that.
[08:59.320 --> 09:02.160]  So I apologize if there's more there, I'm supposed to read Johnny Snipes.
[09:02.560 --> 09:03.440]  It didn't pop up.
[09:04.520 --> 09:06.320]  Then he goes like this, it goes like this.
[09:06.320 --> 09:07.720]  Why do I keep fucking saying that? That's weird.
[09:07.720 --> 09:10.960]  I recently found your podcast because of Mary's motivations on Instagram.
[09:10.960 --> 09:12.040]  What's that Mary's motivation?
[09:12.040 --> 09:13.320]  You guys should follow Mary's motivation.
[09:13.320 --> 09:15.720]  You actually just released a podcast.
[09:15.720 --> 09:16.720]  I should have a better shout out.
[09:16.720 --> 09:18.960]  I'm going to press pause and get that correct information right now.
[09:18.960 --> 09:19.640]  Here we go. Hold on.
[09:20.880 --> 09:23.960]  All right, guys, I found the correct web page, it's just Mary's motivation dot com
[09:23.960 --> 09:27.360]  go to Mary's motivation dot com and listen to my friend Brett's new podcast.
[09:27.360 --> 09:28.200]  It's a great podcast.
[09:28.200 --> 09:31.600]  I do not feel threatened by sharing other cannabis related podcasts with you.
[09:31.880 --> 09:34.840]  Brett and I have a very different approach to cannabis and podcasting,
[09:35.280 --> 09:38.400]  but we agree with each other wholeheartedly and we're very good friends.
[09:38.400 --> 09:40.040]  I got nothing but love and respect for Brett.
[09:40.040 --> 09:41.480]  Brett, I love you, bro. Hope you're listening to this.
[09:41.480 --> 09:43.360]  But you guys go check him out on Instagram.
[09:43.360 --> 09:45.400]  Mary's motivations or Mary's motivation.
[09:45.400 --> 09:47.000]  I'm not sure if the S is on there or not.
[09:47.000 --> 09:49.440]  And Mary's motivation dot com and check out his podcast.
[09:49.640 --> 09:51.240]  Let's get back to Johnny Snipes's review.
[09:51.240 --> 09:54.360]  Recently found your podcast because of Mary's motivation on Instagram.
[09:54.360 --> 09:56.200]  And so happened to be the perfect timing
[09:56.200 --> 09:58.720]  because I was in the middle of my first grow from bag seed.
[09:58.920 --> 10:00.520]  And that's awesome. I'm glad that timed out well.
[10:00.520 --> 10:03.040]  I'm glad that, you know, Brett also because Brett's a ray of sunshine.
[10:03.400 --> 10:05.800]  I also said I loved the drying and curing episode.
[10:05.800 --> 10:08.560]  It was really helped me understand the process more living in Colorado
[10:08.560 --> 10:11.160]  and the dry climate. It was very difficult to dial that in.
[10:11.440 --> 10:14.560]  Yes, that drying cure episode will have to be adjusted everywhere you are.
[10:14.560 --> 10:16.640]  It's going to be something you're going to have to monitor.
[10:16.640 --> 10:19.880]  Drying and curing are totally different from California to Colorado, to Maine,
[10:20.120 --> 10:22.440]  to Portland, Oregon, to whatever.
[10:22.680 --> 10:24.720]  Phoenix, Arizona, it's going to be different everywhere you go.
[10:24.920 --> 10:27.000]  So I'm glad you're able to dial that in.
[10:27.000 --> 10:30.920]  He also says another favorite was the HCHT FSC episode.
[10:31.160 --> 10:34.320]  I would love to see a future episode on more about hash
[10:34.320 --> 10:38.160]  and the full spectrum side of things and your opinion on sauce versus butter.
[10:38.320 --> 10:40.120]  And that's a great recommendation there.
[10:40.120 --> 10:40.960]  I might write that down.
[10:40.960 --> 10:43.040]  Then he also says, thanks for your knowledge, Rasta Jeff.
[10:43.040 --> 10:45.040]  Take a fat dab and give your mom a hug for me.
[10:45.040 --> 10:47.280]  Feel free to use my name, dude.
[10:47.280 --> 10:49.560]  I'm glad you said that because I already shared your name
[10:49.560 --> 10:51.720]  at the very beginning on accident, so I'm glad that was cool.
[10:52.040 --> 10:57.320]  Let's see. You wanted more about my opinion on sauce versus butter.
[10:57.880 --> 11:00.880]  Now, sauce is usually when you mix a little bit of HCHT FSC
[11:00.880 --> 11:03.280]  with a little bit of HCHT FSC, I believe,
[11:04.160 --> 11:07.880]  which is kind of what the ambrosia is from apothecary.
[11:07.880 --> 11:10.120]  They're mixing it, pre mixing it for you, basically.
[11:10.320 --> 11:12.720]  And this I'm not completely they keep everything a secret.
[11:12.720 --> 11:15.040]  They will not give you information, but this is from paying attention.
[11:15.040 --> 11:15.720]  It's what I think
[11:16.320 --> 11:20.120]  they did say that their batters were whipped ambrosia.
[11:20.120 --> 11:24.640]  So when they advertise ambrosia batter, it's just their ambrosia
[11:24.640 --> 11:25.600]  that they took and whipped it.
[11:27.000 --> 11:30.920]  I think, but you said butter, which could be kind of it.
[11:31.040 --> 11:32.240]  It's all about that texture.
[11:32.240 --> 11:34.080]  Sometimes the sauce is hard to fuck with.
[11:34.080 --> 11:37.160]  There are times when I'm dabbing and it can find space.
[11:37.560 --> 11:39.080]  Like I try not to say I'm dabbing in the garbage.
[11:39.080 --> 11:40.440]  Everybody fucking knows I dab in the car.
[11:40.440 --> 11:40.960]  Sorry, Mike.
[11:40.960 --> 11:42.040]  Sometimes I dab in the car.
[11:43.040 --> 11:45.680]  Sometimes I dab in the car and the saucy shit is hard to fuck
[11:45.960 --> 11:47.000]  with in the car.
[11:47.000 --> 11:49.800]  It's just easier for me to have some butter or some batter
[11:49.800 --> 11:51.600]  or some shatter for the car.
[11:51.600 --> 11:54.640]  That's mainly why I like a different consistency.
[11:54.880 --> 11:58.440]  I do love the crystals and I do love the turps, but.
[11:59.960 --> 12:02.160]  It's not necessary to go that far.
[12:02.160 --> 12:05.560]  I just bought some some batter and some sugar, and it's just fine.
[12:05.760 --> 12:09.280]  The batter will be easier should I decide to partake in the car.
[12:09.400 --> 12:11.120]  Yes, you guys, I know the rules.
[12:11.120 --> 12:12.920]  Sometimes life doesn't always allow for that.
[12:12.920 --> 12:14.960]  There's not always a safe place to medicate.
[12:15.200 --> 12:16.800]  So here's a good example.
[12:16.800 --> 12:20.800]  I was in the parking lot at the Indo Expo, parked with my keys in my pocket,
[12:20.800 --> 12:21.880]  not driving.
[12:21.880 --> 12:23.320]  There was no place to medicate.
[12:23.320 --> 12:25.600]  I had to be at the Indo Expo for about 10 hours.
[12:26.480 --> 12:27.640]  I medicated in the car.
[12:27.640 --> 12:29.040]  I was in park.
[12:29.040 --> 12:30.040]  Nothing was going to happen.
[12:30.040 --> 12:33.640]  So in that type of situation, I would prefer something
[12:33.640 --> 12:37.200]  that's not goopy and saucy and that I'm not going to spill in the car and need.
[12:37.480 --> 12:39.440]  It just it's not as easy batter.
[12:39.440 --> 12:42.040]  I can just put the batter on the dabber and dab it shatter.
[12:42.040 --> 12:44.720]  I can actually break off a piece of shatter and drop it in the banger.
[12:45.040 --> 12:47.880]  It just it's mostly about ease when it comes to that point.
[12:47.880 --> 12:52.080]  But the butters versus the saucy stuff, the sauce is cool.
[12:52.080 --> 12:54.680]  If you have something easier to dab it with and you're at home
[12:54.680 --> 12:58.440]  and you got all your supplies, but if you're on the move, that batter stuff,
[12:58.440 --> 13:00.360]  that's the only reason I have a preference.
[13:00.680 --> 13:03.440]  Otherwise, let's fucking dab either one.
[13:03.440 --> 13:06.000]  You got I like the I like the crystals a lot.
[13:06.240 --> 13:07.480]  They're just hard to manage.
[13:07.480 --> 13:11.360]  So the way I do it, I usually buy a gram of the batter and a gram
[13:11.360 --> 13:13.920]  of the high cannabinoid full spectrum extract crystals.
[13:14.200 --> 13:15.120]  I put a little bit.
[13:15.120 --> 13:18.000]  Now I put a lot of the batter on the dabber, and then I break up
[13:18.000 --> 13:21.200]  some of the crystals and roll the batter dabber into the crystals
[13:21.200 --> 13:22.040]  so that it collects it.
[13:22.040 --> 13:25.360]  It looks like a sugar donut or a sugar cookie or a powder donut.
[13:25.360 --> 13:26.760]  It's what I thought I was going to say.
[13:26.760 --> 13:28.680]  And then I dab that together that way.
[13:28.680 --> 13:30.960]  So I think I like them both.
[13:30.960 --> 13:32.920]  The sauce is just turps in there.
[13:32.920 --> 13:35.000]  That's what makes it saucy.
[13:35.000 --> 13:37.840]  Sometimes they're overdoing those turps.
[13:37.840 --> 13:41.320]  And I know that sounds fucking ridiculous, but I don't need it.
[13:41.320 --> 13:43.080]  That turpy sometimes it's overwhelming.
[13:43.080 --> 13:45.600]  It burns my sinuses when there's too much turps in there.
[13:45.920 --> 13:46.200]  So.
[13:47.280 --> 13:51.000]  And I like them both equally, but for ease, I go for the batter
[13:51.000 --> 13:51.680]  with the crystals.
[13:52.520 --> 13:52.960]  There you go.
[13:52.960 --> 13:54.320]  You don't have to wait for another episode, Johnny.
[13:54.320 --> 13:55.320]  You got it right now.
[13:55.320 --> 13:56.640]  Great question.
[13:56.640 --> 13:57.800]  You just got like a combo move.
[13:57.800 --> 14:00.840]  You get to leave a review and you got to ask a question at the same time.
[14:00.840 --> 14:01.840]  That's like a combo.
[14:01.840 --> 14:02.920]  Good job, bro.
[14:02.920 --> 14:03.760]  Thanks for the great review, man.
[14:03.760 --> 14:05.640]  Thanks for the five star rating also.
[14:05.640 --> 14:07.840]  So there is one more that I'd like to read on this episode.
[14:07.840 --> 14:10.840]  This one was left on Thursday by a person who goes by the name of Rogers
[14:10.840 --> 14:13.960]  1023 on iTunes, the headline says, love the show.
[14:13.960 --> 14:16.000]  And of course, they gave me five stars.
[14:16.000 --> 14:18.040]  I'm clicking more so it'll enlarge.
[14:18.040 --> 14:21.000]  And it says, just like all the good books out there, including all the Jeff
[14:21.000 --> 14:24.800]  Lohenfels teaming books, your stories and insight helped me in so many ways.
[14:25.080 --> 14:26.600]  For first time growers.
[14:26.600 --> 14:29.600]  Thumbs up to your guests also for all the info they share.
[14:29.840 --> 14:32.880]  Thumbs up to Jesse, too, for all the info he shares.
[14:32.920 --> 14:33.560]  Hey, thank you, man.
[14:33.560 --> 14:34.640]  You're very welcome.
[14:34.640 --> 14:35.480]  Thanks for the thank you.
[14:35.480 --> 14:36.760]  I'm glad you enjoyed the podcast.
[14:36.760 --> 14:39.360]  I'm glad you're listening to the podcast.
[14:39.400 --> 14:44.240]  I'm glad being a grower with a lot of experience and someone who thinks
[14:44.240 --> 14:45.840]  very quickly and talks a lot.
[14:46.600 --> 14:50.640]  I have to remember to include the new growers in my rants.
[14:50.640 --> 14:53.680]  I have to remember that not everybody has been growing for a hundred
[14:53.680 --> 14:55.240]  years in a commercial facility.
[14:55.480 --> 14:58.040]  So I'm glad I have not lost the new growers.
[14:58.040 --> 15:01.880]  I'm glad I keep it interesting for the experienced growers, and I'm
[15:01.880 --> 15:04.160]  glad I'm not losing the new guys.
[15:04.160 --> 15:05.240]  So I'm hitting my target.
[15:05.440 --> 15:08.120]  That's a huge compliment without even realizing that you're giving me.
[15:08.360 --> 15:08.920]  So thank you.
[15:08.920 --> 15:09.840]  I appreciate that.
[15:10.640 --> 15:14.080]  Also, thanks for the great review and thank you for the five stars.
[15:14.360 --> 15:17.360]  And then you said thumbs up to Jesse and my friends for all the info he shares.
[15:17.360 --> 15:19.120]  We got to also thank Frosty.
[15:19.120 --> 15:20.200]  We got to thank Sean.
[15:20.520 --> 15:23.760]  We got to thank everybody that's ever been on the podcast, especially White Mike.
[15:23.760 --> 15:25.920]  He comes and spends a lot of time over here on the show.
[15:26.680 --> 15:30.120]  So not just Jesse, but, or myself, but big thumbs up to everybody that's been on
[15:30.120 --> 15:32.440]  the show and all the people that I do have lined up to be on the show.
[15:32.440 --> 15:37.160]  I've got somebody, I've asked them to be on the show to talk about lab testing.
[15:37.560 --> 15:40.040]  I've got a couple of other growers and breeders lined up to be on the show.
[15:40.040 --> 15:44.120]  I just have to create the time and maybe get over the anxiety of getting new
[15:44.120 --> 15:46.800]  people on the show and get them on here and bring the content to you.
[15:46.960 --> 15:49.640]  So, man, thanks for the, the great review.
[15:49.640 --> 15:53.960]  Thanks for the five stars and a man, huge compliments without even realizing it.
[15:54.240 --> 15:55.120]  I appreciate that.
[15:55.600 --> 15:57.360]  All right, you guys, that was all the iTunes reviews.
[15:58.280 --> 16:01.400]  Thank you to everybody that left me a new iTunes rating and review.
[16:01.400 --> 16:04.400]  And also thank you to everybody who has left one in the past that really
[16:04.400 --> 16:06.120]  helps the podcast move in the rankings.
[16:06.200 --> 16:09.840]  The more reviews we get, the more exposure we get in iTunes, which means
[16:09.840 --> 16:12.800]  more people will see the show, which means more people will listen, which
[16:12.800 --> 16:16.600]  means more people will join us in the fight to legalize cannabis, and also
[16:16.600 --> 16:20.600]  more people will join us in growing quality cannabis, and that's what we
[16:20.600 --> 16:24.720]  want is everybody to be able to grow the best cannabis they can grow.
[16:25.960 --> 16:28.240]  All right, podcast world, let's move forward a little bit.
[16:28.480 --> 16:31.520]  Let's talk about the throwback Thursday episodes.
[16:31.520 --> 16:32.000]  That's right.
[16:32.320 --> 16:34.920]  Those of you that listen to the podcast and have been listening for a while,
[16:34.920 --> 16:38.680]  know that every Thursday I put out what is called a throwback Thursday episode.
[16:38.680 --> 16:42.960]  I go grab old episodes and I put them in blocks of three and I let them out on a
[16:42.960 --> 16:46.160]  Thursday so that you guys can get old content back into the feed.
[16:46.600 --> 16:48.920]  I am caught up on throwback Thursday episodes.
[16:49.160 --> 16:53.240]  As I was making episodes, I realized the next episode in my feed is a throwback
[16:53.240 --> 16:58.240]  Thursday episode, which tells me I am caught up, so I am going to figure out
[16:58.240 --> 17:02.720]  something new, I'm not going to promise content every Thursday, I will continue
[17:02.720 --> 17:06.640]  to bring you new episodes every single Monday, but we're going to do random
[17:06.640 --> 17:09.200]  things on Thursdays until I figure out what I want to do.
[17:09.480 --> 17:12.280]  I'd like to promise you a whole new episode every Thursday, but I don't want
[17:12.280 --> 17:15.840]  to commit to that just yet because it does take a lot of time to put together a
[17:15.840 --> 17:18.520]  podcast and right now I am simply at the limit.
[17:18.520 --> 17:20.120]  I can't take more projects right now.
[17:20.320 --> 17:22.240]  I need to eliminate some shit to tell you the truth.
[17:22.280 --> 17:23.560]  It will not be podcasting.
