[00:00.190 --> 00:14.200]  Welcome back podcast world.
[06:14.800 --> 06:17.640]  Um, so don't be six, five, I guess.
[06:17.800 --> 06:21.200]  Six, five worth of human tunneling down some stairs makes a racket.
[06:21.440 --> 06:23.120]  Just go fuck out anybody in the house.
[06:23.480 --> 06:26.920]  My computer just told me that my internet connection is unstable, Mike.
[06:26.920 --> 06:30.000]  So if things go weird, I'm going to keep recording as business as usual.
[06:30.000 --> 06:30.720]  And we'll catch up.
[06:30.720 --> 06:31.720]  We'll make a good podcast.
[06:31.720 --> 06:33.120]  That sounds good in my headphones.
[06:33.120 --> 06:34.400]  So we'll keep rolling folks.
[06:34.400 --> 06:35.880]  If we lose you, we'll sorry.
[06:36.200 --> 06:37.720]  Got a lot of unstable shit in my life.
[06:37.720 --> 06:38.840]  This internet connection.
[06:41.600 --> 06:43.120]  Welcome to the play internet.
[06:43.520 --> 06:46.000]  I wondered with all the, uh, the snow, if we were going to have any issues,
[06:46.000 --> 06:49.160]  this has been a fun show already, Mike, we're not even to the Patreon shout outs.
[06:49.160 --> 06:51.920]  Let's jump into the part where we give shout outs to the members of the
[06:51.920 --> 06:56.200]  seven 10 club, of course, the seven 10 club or the who support the podcast
[06:56.360 --> 07:00.440]  at the $7 and 10 cent a month level or higher on Patreon.
[07:00.720 --> 07:02.120]  So let's just jump right into it.
[07:02.120 --> 07:05.360]  I want to give a giant shout out and a fist bump to my friend, to Mobius grows.
[07:05.680 --> 07:06.280]  Let's send a thank you.
[07:06.280 --> 07:08.840]  Shout out to Adam H let's follow that up with a thank you.
[07:08.840 --> 07:12.040]  Shout out to Justin T let's say thank you to tie G.
[07:12.400 --> 07:13.120]  I've got to thank you.
[07:13.120 --> 07:14.680]  Shout out to sticky sack.
[07:15.160 --> 07:18.840]  I'm not sure if that's a good job or if you need a bath, either got some chronic
[07:18.840 --> 07:20.520]  in your pocket or you need a shower, buddy.
[07:20.800 --> 07:22.960]  Uh, let's give a big shout out to Crawley cuts.
[07:23.200 --> 07:23.760]  Let's give a thank you.
[07:23.760 --> 07:25.600]  Shout out to seven one six vibes.
[07:25.840 --> 07:26.840]  I want to send a big thank you.
[07:26.840 --> 07:28.000]  Shout out to rumble buns.
[07:28.000 --> 07:30.920]  I get a lot of names in my inboxes on, on Patreon.
[07:31.240 --> 07:33.640]  Uh, rumble buns is one I will never forget.
[07:33.680 --> 07:34.560]  Let's send a big thank you.
[07:34.560 --> 07:36.800]  Shout out to, uh, Kojak's.
[07:36.960 --> 07:37.960]  Let's follow that up with a thank you.
[07:37.960 --> 07:41.960]  Shout out to Lisa S and last, but certainly not least.
[07:41.960 --> 07:44.240]  I want to send a big grow from your heart podcast.
[07:44.240 --> 07:44.600]  Thank you.
[07:44.600 --> 07:46.680]  Shout out to Mike V Hill.
[07:46.880 --> 07:47.600]  Big thank you.
[07:47.600 --> 07:50.640]  And big shout out to everybody who supports the show on Patreon.
[07:50.880 --> 07:53.920]  If you that's the big finger, like uncle Sam, if you are not already
[07:53.920 --> 07:57.360]  supporting the show on Patreon and you would like to learn how to do so, all
[07:57.360 --> 08:02.480]  you have to do is visit www.patreon.com forward slash grow from your heart.
[08:02.760 --> 08:05.120]  All of the information you need to support the podcast will
[08:05.120 --> 08:06.040]  be right there on the show.
[08:06.040 --> 08:09.440]  Of course, there is a link and the show notes and the video description, wherever
[08:09.440 --> 08:11.960]  you're watching or listening, there's a link there to make it
[08:11.960 --> 08:13.680]  super easy for all of my friends.
[08:13.680 --> 08:17.120]  Now, to be polite, this is the portion of the show where I toss it over to our
[08:17.120 --> 08:19.240]  buddy white Mike, to do some shout outs from Patreon.
[08:19.240 --> 08:20.040]  It's all yours, bro.
[08:20.880 --> 08:21.440]  Thanks man.
[08:21.520 --> 08:23.920]  Um, I've also got a Patreon going folks.
[08:23.920 --> 08:26.600]  It's a patreon.com forward slash white Mike.
[08:27.160 --> 08:28.200]  Um, shout outs.
[08:28.200 --> 08:31.240]  I got this, uh, this time around I got a farmer's eat.
[08:31.240 --> 08:32.200]  Thank you very much.
[08:32.640 --> 08:33.080]  Easy.
[08:33.080 --> 08:34.000]  Oh, five, seven.
[08:34.000 --> 08:37.760]  I appreciate the support giant Mike and the dabbing queen.
[08:37.760 --> 08:41.160]  Um, thank you so much for signing up, learning and burning.
[08:41.160 --> 08:42.360]  Always appreciated, man.
[08:42.920 --> 08:46.520]  Papa Z, Richard and the grow from your heart podcast.
[08:46.520 --> 08:48.120]  I appreciate it so much folks.
[08:48.200 --> 08:49.080]  Thank you very much.
[08:50.120 --> 08:54.400]  Um, if you'd like to support either of us on Patreon, I encourage you to do so.
[08:54.880 --> 08:55.280]  That's right.
[08:55.280 --> 08:56.680]  All the cool kids are supporting Mike.
[08:56.680 --> 08:57.720]  I encourage you to do it.
[08:58.040 --> 08:59.480]  Uh, also help me out too.
[08:59.480 --> 09:01.720]  If you're so inclined right now, if you can only help one of us, I
[09:01.720 --> 09:03.120]  encourage you to help out white Mike.
[09:03.120 --> 09:04.360]  I'm doing quite well on Patreon.
[09:04.400 --> 09:05.120]  Thank you guys.
[09:05.480 --> 09:06.440]  I do appreciate it.
[09:06.720 --> 09:10.080]  You will see the fruits of your contributions very soon.
[09:10.080 --> 09:10.920]  I keep teasing you.
[09:11.280 --> 09:13.680]  Um, your stuff is coming up to patron contributions.
[09:13.680 --> 09:16.400]  The Patreon can so much construction to Jeff's.
[09:16.640 --> 09:20.400]  You guys will get, uh, you guys will get some, uh, heads up first on
[09:20.400 --> 09:22.760]  Patreon and you'll get some teases, but thank you guys.
[09:23.000 --> 09:25.480]  Um, yeah, but help out Mike because I've done quite well.
[09:25.480 --> 09:26.560]  How about Mike on Patreon?
[09:26.560 --> 09:29.200]  If you're thinking about throwing some bucks our way, maybe if you're
[09:29.200 --> 09:32.440]  going to do five, my way, do a buck to Mike and four 20 to me, just do four
[09:32.440 --> 09:34.320]  20 to Mike, however you want to do it, but help Mike out.
[09:34.320 --> 09:35.680]  I'm doing fucking fine this month.
[09:35.800 --> 09:36.480]  Thank you guys.
[09:36.720 --> 09:37.440]  I appreciate it.
[09:37.480 --> 09:38.400]  Send a buck Mike's way.
[09:39.040 --> 09:39.520]  Thanks man.
[09:39.920 --> 09:40.320]  Yeah, dude.
[09:40.360 --> 09:41.640]  Fucking spoil them little kids.
[09:41.880 --> 09:42.600]  It's only one of me.
[09:42.600 --> 09:44.640]  And there's like fucking how many of you over there, dude?
[09:44.720 --> 09:48.280]  So many enough.
[09:48.360 --> 09:49.560]  The answer is enough.
[09:49.760 --> 09:50.080]  Yes.
[09:50.880 --> 09:51.360]  Um, yeah.
[09:52.080 --> 09:53.880]  Uh, yeah, just one of me here.
[09:53.880 --> 09:55.160]  I got another one, but she's not here.
[09:55.160 --> 09:55.760]  It's easier.
[09:56.040 --> 09:58.960]  Uh, she's 17 year to deal with than the tiny ones.
[09:59.640 --> 09:59.880]  Dude.
[09:59.960 --> 10:04.720]  I can't wait until like long paragraph form explanations
[10:04.720 --> 10:05.960]  will fly with my kids.
[10:06.000 --> 10:08.360]  Like they're, they're five and two right now.
[10:08.360 --> 10:12.480]  Like, because I said, so is, is elaborate as I can get without causing confusion.
[10:12.760 --> 10:15.280]  And I just said that there is a 17 year old female in my life.
[10:15.280 --> 10:17.120]  I'd like to clarify that that is my daughter.
[10:17.120 --> 10:18.360]  I just want his daughter.
[10:18.680 --> 10:20.400]  That sounded kind of creepy for a moment there.
[10:20.400 --> 10:24.480]  I'm just going to step in a 17 year old daughters are expensive, but
[10:24.480 --> 10:25.480]  there's just one or her and me.
[10:25.480 --> 10:28.200]  It's not like fucking the tribe that you've got fucking there.
[10:28.200 --> 10:29.000]  So yeah.
[10:29.800 --> 10:30.040]  Yeah.
[10:30.680 --> 10:33.520]  Um, and I can explain no expensive.
[10:34.040 --> 10:36.200]  Like you were just saying, I can say, no, that's $900.
[10:36.200 --> 10:36.840]  You can't have that.
[10:36.840 --> 10:38.440]  And your kids are like, but daddy, why?
[10:38.720 --> 10:39.280]  So, yeah.
[10:39.640 --> 10:39.880]  Yeah.
[10:41.000 --> 10:41.440]  Yup.
[10:42.720 --> 10:44.640]  Um, snowed it is their first real snow.
[10:44.640 --> 10:45.520]  So we've been having fun.
[10:45.680 --> 10:46.920]  Oh, that is cool, bro.
[10:46.960 --> 10:47.560]  That is cool.
[10:47.560 --> 10:47.840]  Yeah.
[10:48.240 --> 10:50.720]  Good time for first time for everything with that little one.
[10:50.720 --> 10:51.400]  And that's awesome.
[10:51.840 --> 10:52.360]  Uh, yeah.
[10:52.440 --> 10:56.760]  Uh, the, the, the littlest one, the two year old, uh, first real time in snow.
[10:56.880 --> 11:01.200]  He didn't have gloves on for like five minutes and they came in and we
[11:01.200 --> 11:04.240]  knew it was going to happen, but he lost his mind when those poor
[11:04.240 --> 11:05.520]  little fingers started warming up.
[11:06.040 --> 11:07.880]  That was what my afternoon was right there.
[11:08.000 --> 11:10.880]  Like anybody that's got a kid knows how my day went.
[11:12.120 --> 11:12.320]  Yep.
[11:12.320 --> 11:15.320]  They were fun and then they were wet and then they were exhausted.
[11:15.880 --> 11:16.200]  Yup.
[11:16.200 --> 11:20.280]  So a couple of dabs in a podcast seemed like the perfect way to wrap up the day.
[11:20.560 --> 11:20.920]  Okay.
[11:20.960 --> 11:21.120]  Bro.
[11:21.120 --> 11:23.560]  That picture of broccoli that you posted was awesome.
[11:25.280 --> 11:29.400]  I'm impressed for, uh, for the people following along with my COVID garden,
[11:30.000 --> 11:33.400]  the last thing we harvested was a stem of broccoli.
[11:33.400 --> 11:37.080]  The size of my five-year-old's head, literally massive.
[11:37.160 --> 11:39.480]  Basically he carries it.
[11:39.480 --> 11:40.480]  He's like hidden behind.
[11:40.480 --> 11:41.280]  I'm like, where's your boy?
[11:41.320 --> 11:42.440]  I was just walking broccoli.
[11:42.760 --> 11:43.920]  It was like an umbrella.
[11:44.680 --> 11:45.360]  That's yep.
[11:45.440 --> 11:48.160]  He could have fucking lived underneath it if it were a little smaller.
[11:48.400 --> 11:48.640]  All right.
[11:48.640 --> 11:52.120]  We've covered the basics of the, uh, we talked about it being cold.
[11:52.120 --> 11:52.960]  We covered Patreon.
[11:52.960 --> 11:53.720]  We did the commercial.
[11:53.720 --> 11:54.880]  We talked about what we're smoking.
[11:55.120 --> 11:55.880]  Mike is here.
[11:55.880 --> 11:56.360]  I'm here.
[11:56.360 --> 11:57.000]  You guys are here.
[11:57.000 --> 11:57.680]  We're all here.
[11:57.760 --> 11:58.440]  Jeff's here.
[11:58.440 --> 11:59.360]  Y'all don't sweat.
[11:59.800 --> 12:00.920]  I'm more here than usual.
[12:00.920 --> 12:01.720]  This is pretty great.
[12:02.000 --> 12:04.840]  Um, I want to give a shout out to new office space.
[12:05.400 --> 12:06.080]  It's got me feeling good.
[12:06.080 --> 12:06.880]  You're focused.
[12:07.120 --> 12:08.600]  It was too cold to do anything today.
[12:08.600 --> 12:09.560]  So I got all this energy.
[12:10.000 --> 12:13.000]  Um, I want to give a shout out to black sale market.
[12:13.240 --> 12:14.960]  A shout out to Keith, Keith personally.
[12:14.960 --> 12:17.120]  I know it's a company, but Keith is the person that did this.
[12:17.120 --> 12:22.200]  The one that stepped up a few episodes ago, I read an email from a combat
[12:22.200 --> 12:25.720]  veteran who had some money for a grow light and they were a little
[12:25.720 --> 12:27.320]  bit short of a quality light.
[12:27.320 --> 12:30.080]  They probably could have gotten a decent light for their money, but
[12:30.080 --> 12:31.400]  it's the grow from your heart podcast.
[12:31.400 --> 12:32.320]  We don't fuck with decent.
[12:32.320 --> 12:33.480]  We fuck with high quality.
[12:33.480 --> 12:35.160]  We want to get the right stuff.
[12:35.400 --> 12:35.600]  Yeah.
[12:35.600 --> 12:39.040]  So, um, I was talking with my friend Keith on the embracing organic show.
[12:39.040 --> 12:41.600]  We had a little hangout after the show, shout out to embracing
[12:41.600 --> 12:42.680]  organics and the whole crew there.
[12:42.680 --> 12:43.800]  But Keith was on there.
[12:43.800 --> 12:45.320]  We were bullshitting a little bit and he's like, Hey, did
[12:45.320 --> 12:46.560]  that veteran ever get a light?
[12:47.080 --> 12:50.240]  And I was like, we got a couple of opportunities and a few options, but
[12:50.240 --> 12:53.320]  I'd love to hear your, what you've got to say, because I work with black sale.
[12:53.320 --> 12:56.440]  I run black sale lights in my, I've got a flower space with black sales.
[12:56.440 --> 12:59.560]  I've got a veg space, a veg space with black sale, cannon lights.
[12:59.840 --> 13:00.320]  And I love them.
[13:00.320 --> 13:01.160]  They work very well.
[13:01.600 --> 13:04.280]  And he looked at me and he goes, bro, I want to give that lady.
[13:04.400 --> 13:08.560]  He said that person, he didn't realize, by the way, that combat veteran is a lady.
[13:08.560 --> 13:11.520]  So all you people that were like, shout out, bro, a shout out, ma'am.
[13:11.520 --> 13:11.840]  Sorry.
[13:11.840 --> 13:12.840]  We got to correct that.
[13:12.840 --> 13:16.120]  That is a lady, a very nice lady to have spoken with them several times.
[13:16.120 --> 13:19.120]  But, uh, Keith was like, I want to give that veteran a light.
[13:19.160 --> 13:20.760]  And I was like, well, here's the info be in touch.
[13:20.760 --> 13:21.920]  And then I put them in touch.
[13:22.280 --> 13:25.800]  And today Keith sent that person a grow light.
[13:25.800 --> 13:27.840]  They've got a cannon on their way.
[13:28.240 --> 13:30.400]  I not to toot my own horn, but they're also going to be growing some
[13:30.400 --> 13:32.560]  irid genetics underneath that cannon led.
[13:32.560 --> 13:33.320]  We got to get them set up.
[13:34.880 --> 13:35.080]  Yeah.
[13:35.080 --> 13:36.280]  So shout out to Keith.
[13:36.280 --> 13:38.360]  He stepped up, uh, sent them a cannon.
[13:38.560 --> 13:41.000]  We let them keep the money that they had in the episode.
[13:41.000 --> 13:43.200]  They said that they had a little bit of money for a grow light.
[13:43.560 --> 13:45.520]  We didn't even ask for that funding.
[13:45.520 --> 13:46.520]  We let them keep that.
[13:46.520 --> 13:50.640]  Maybe they can get some nice or some soil or some nudes or some power bill
[13:50.640 --> 13:53.600]  or always more to be covered when it comes to building a grow.
[13:53.600 --> 13:54.520]  So shout out to Keith.
[13:54.720 --> 13:56.560]  Uh, Keith is also a veteran.
[13:56.840 --> 14:00.600]  Uh, he is, uh, uh, but I fucking, I should remember the branch of military.
[14:00.600 --> 14:02.200]  He's from, I feel disrespectful now.
[14:02.560 --> 14:04.480]  Uh, but, uh, that doesn't stick in my brain.
[14:04.480 --> 14:05.520]  I've got this weird brain injury.
[14:05.520 --> 14:06.840]  Some things go, some things don't.
[14:06.840 --> 14:09.920]  And that was the one that didn't, I'm sorry, but I at least respect him
[14:09.920 --> 14:11.040]  and remember that he's a soldier.
[14:11.040 --> 14:15.480]  So, uh, when he realized it was a soldier, he definitely felt, uh, some
[14:15.480 --> 14:16.840]  compassion and wanted to help out.
[14:17.760 --> 14:18.040]  Yeah.
[14:18.480 --> 14:18.680]  Yeah.
[14:18.680 --> 14:22.440]  So a soldier helping a soldier, uh, disabled person has been helped by a well,
[14:22.680 --> 14:23.800]  a younger fucking person.
[14:23.800 --> 14:25.000]  Keith is a young, healthy dude.
[14:25.000 --> 14:26.800]  So it's really good to see something like that.
[14:26.800 --> 14:27.960]  We got people helping people.
[14:27.960 --> 14:29.440]  The podcast brought people together.
[14:29.800 --> 14:31.320]  That doesn't mean we have to stop.
[14:31.720 --> 14:33.960]  Uh, there are other veterans out there that need lights.
[14:34.280 --> 14:35.800]  It is terrible that we have to do this.
[14:36.280 --> 14:39.640]  If you are a veteran in desperate need of a light, I know another person who has
[14:39.640 --> 14:42.280]  offered, there are several other people who have offered lights, they've got
[14:42.280 --> 14:44.280]  leftover lights laying around that are still usable.
[14:44.280 --> 14:48.040]  There's a guy that you and I know very well who offered brand new grow lights.
[14:48.040 --> 14:50.000]  And I want to get those two veterans that need them.
[14:50.320 --> 14:51.520]  I hate that I have to do it this way.
[14:51.520 --> 14:53.760]  I would like you to kind of verify that you're a veteran.
[14:53.760 --> 14:54.760]  I don't know how to do that.
[14:54.760 --> 14:57.480]  Keith knew how to do it because he said, as soon as he spoke to another
[14:57.480 --> 14:58.600]  veteran, they would know.
[14:58.960 --> 15:03.560]  Uh, yeah, it's, it's like, if you don't know calculus, like you can't, it's
[15:03.560 --> 15:05.320]  something you can fake for more than a minute.
[15:05.520 --> 15:05.800]  Yeah.
[15:05.800 --> 15:09.080]  Like I know bros and I, when bros and I talk, we're bro, bro.
[15:09.080 --> 15:11.680]  And we bro out bro, but veterans, I don't know, veteran lingo and I
[15:11.680 --> 15:14.440]  couldn't catch it, but we need to vet these vets a little bit and make sure
[15:14.440 --> 15:18.440]  they're actually, because I hate to say it nowadays, people are not completely
[15:18.440 --> 15:20.040]  fucking on the whole world's belt.
[15:20.040 --> 15:20.560]  Got tight.
[15:20.720 --> 15:21.000]  Yeah.
[15:21.000 --> 15:23.080]  Everybody's up in their scam game.
[15:23.360 --> 15:23.560]  Yep.
[15:23.680 --> 15:26.680]  It could be, it could be someone in a totally different country telling me
[15:26.680 --> 15:29.240]  that there's somebody that they're totally not trying to get free shit out of me.
[15:29.480 --> 15:31.920]  It's terrible that the world is that way that I even have to question
[15:31.920 --> 15:34.640]  somebody's claim that they're a veteran, but we need to vet a couple of people.
[15:35.000 --> 15:39.120]  I would like to find a couple of people who are deserving and in need of some
[15:39.120 --> 15:41.400]  grow lights and the people that have offered to give out these lights.
[15:41.400 --> 15:43.080]  And I told you, we got the one taken care of.
[15:43.280 --> 15:44.840]  This is where you guys are going to come into play.
[15:44.840 --> 15:45.320]  Thank you.
[15:45.320 --> 15:46.240]  I appreciate you.
[15:46.600 --> 15:50.880]  It's really cool that, um, I love that I can have this pool.
[15:50.880 --> 15:52.520]  I, all I did was talk into the mic.
[15:52.520 --> 15:54.960]  A bunch of people sent messages saying I have got
[15:54.960 --> 15:56.240]  equipment for these veterans.
