[00:00.060 --> 00:19.240]  Alright, here we go.
[03:14.240 --> 03:17.680]  The next episode obviously will be the Saka Souffle.
[03:17.680 --> 03:19.000]  Let's talk a little bit about those.
[03:19.000 --> 03:22.360]  So I do have a bunch of notes here about The Machine.
[03:22.360 --> 03:25.560]  Let me cut the rambling and jump right into it.
[03:25.560 --> 03:26.560]  The Machine.
[03:26.560 --> 03:31.520]  If you've been following my social media, you have been seeing the, or my Discord even,
[03:31.520 --> 03:33.840]  you've been seeing a lot of posts about The Machine.
[03:33.840 --> 03:39.880]  The Machine has been in testing and it has been showing great, amazing, impressive results.
[03:39.880 --> 03:43.360]  A lot of the people testing it have harvested their test crops.
[03:43.360 --> 03:44.600]  They are now smoking it.
[03:44.600 --> 03:49.160]  I've actually tasted and smoked some concentrates made from a test run of The Machine.
[03:49.160 --> 03:51.920]  We have all decided that it is impressive smoke.
[03:51.920 --> 03:54.680]  So I said I wasn't going to ramble, but I'm doing that.
[03:54.680 --> 03:59.160]  So let's jump into my report about a strain called The Machine.
[03:59.160 --> 04:01.200]  The parents of The Machine.
[04:01.880 --> 04:06.000]  Marco Esco Andoles asked if, let me see, there was a specific question.
[04:06.000 --> 04:07.640]  Which Chemdela Chem is it?
[04:07.640 --> 04:11.920]  The parents of The Machine are Chemdela Chem cross to Arise.
[04:11.920 --> 04:16.840]  To the best of my knowledge, the Chemdela Chem came from Top Dog Genetics and that is
[04:16.840 --> 04:19.100]  where I believe this one came from.
[04:19.100 --> 04:23.320]  This was given to me as a clone by a friend who sprouted the seed.
[04:23.320 --> 04:25.440]  Big shout out to my friend, you know who you are.
[04:25.440 --> 04:27.200]  But this clone really stood out in my garden.
[04:27.200 --> 04:28.640]  We'll talk about that more in a little bit.
[04:28.640 --> 04:30.640]  But this is the Chemdela Chem.
[04:30.640 --> 04:36.080]  Chemdela Chem was Chemd to I-95, or it is Chemd to I-95.
[04:36.080 --> 04:37.400]  I don't guess it changed.
[04:37.400 --> 04:38.600]  That is the Chemdela Chem.
[04:38.600 --> 04:40.000]  Chemd to I-95.
[04:40.000 --> 04:42.760]  I love it because it just stinks.
[04:42.760 --> 04:44.400]  It's got such good stink to it.
[04:44.400 --> 04:49.440]  That Chemdela Chem brings that old school skunky with the new school diesel funk with
[04:49.440 --> 04:55.520]  that really crazy chem flavor and the buzz to it is beautiful and it grows like a savage
[04:55.520 --> 04:57.080]  and it's very photogenic.
[04:57.080 --> 05:00.200]  That's something else I should talk about, which did transfer into the machine.
[05:00.200 --> 05:05.120]  All right, so that's the Chemdela Chem, which was the female plant used in this cross.
[05:05.120 --> 05:07.360]  That is the mother plant that got pollinated.
[05:07.360 --> 05:11.540]  On the male side, we do have the arise, also known as King Solomon.
[05:11.540 --> 05:16.260]  My King Solomon is a beautiful specimen of a male.
[05:16.260 --> 05:18.680]  I was going to say a stud is the word that left my brain there.
[05:18.680 --> 05:22.040]  A stud of a male plant of an arise cut.
[05:22.040 --> 05:24.840]  It's just an arise male that I have named King Solomon.
[05:24.840 --> 05:28.040]  He's just got his own specific name because he has such a stud.
[05:28.040 --> 05:33.240]  All of the female arise plants get labeled arise and then a number, arise F2 number two,
[05:33.240 --> 05:36.720]  arise F1 number four, things like that sit around in the garden.
[05:36.720 --> 05:40.240]  But the arise male, he is simply named King Solomon.
[05:40.240 --> 05:43.940]  So the King Solomon, arise is golden goat and daybreaker.
[05:43.940 --> 05:47.640]  That was a golden goat female pollinated by a daybreaker male.
[05:47.640 --> 05:49.680]  My arise is fairly well known.
[05:49.680 --> 05:52.560]  There's a lot of info on the internet, a lot of pictures.
[05:52.560 --> 05:55.920]  It is well known for producing a very high THC.
[05:55.920 --> 05:58.220]  The offspring come out with very high THC.
[05:58.220 --> 06:03.440]  Almost anything I pollinate with that King Solomon will come out with extreme potency,
[06:03.440 --> 06:08.760]  almost like panic attack potency, almost like freak you out, psychedelic, almost type potency.
[06:08.760 --> 06:10.640]  It's really, I call it the fixer plant.
[06:10.640 --> 06:13.700]  King Solomon likes to fix and improve everything.
[06:13.700 --> 06:17.200]  Also it's known for making plants grow with what we call hyper vigor.
[06:17.200 --> 06:19.280]  It makes them grow very, very quickly.
[06:19.280 --> 06:22.200]  They get big plants that root quite well.
[06:22.200 --> 06:23.200]  That is King Solomon.
[06:23.200 --> 06:24.200]  That is arise.
[06:24.200 --> 06:25.200]  All right, we know the parents.
[06:25.200 --> 06:28.880]  Now let's talk a little bit about how the parents grow and then we'll segue into how
[06:28.880 --> 06:31.560]  the cross itself grows.
[06:31.560 --> 06:36.080]  The chemdelechem, it gets a little bit tall and kind of lanky, but it turns into what
[06:36.080 --> 06:40.320]  I call just spears of nasty dank.
[06:40.320 --> 06:45.480]  It's just long, thick buds with beautiful colors, beautiful aromas, lots of trichomes,
[06:45.480 --> 06:48.100]  and it just smells nasty delicious.
[06:48.100 --> 06:52.480]  If it wasn't cannabis, you would make it go far away if it smelled like that.
[06:52.480 --> 06:55.780]  Anything else that smelled like that, you would put it in two or three bags and seal
[06:55.780 --> 06:57.280]  it up and get rid of it.
[06:57.280 --> 06:59.060]  Maybe burn it with fire, maybe destroy it.
[06:59.060 --> 07:03.340]  But since it's cannabis, it is such a tremendously desirable smell.
[07:03.340 --> 07:04.340]  I love it.
[07:04.340 --> 07:05.340]  I can't get enough.
[07:05.340 --> 07:06.340]  It's like, ooh, that stinks.
[07:06.340 --> 07:07.340]  I want to smell it again.
[07:07.340 --> 07:08.340]  Oh, that stinks so bad.
[07:08.340 --> 07:09.340]  I want to smell it again.
[07:09.340 --> 07:12.540]  And when you smoke it, people around you, they go, damn, that weed stinks.
[07:12.540 --> 07:13.540]  Can I get an eighth?
[07:13.540 --> 07:16.780]  Like they want some of it immediately because it smells so good.
[07:16.780 --> 07:18.220]  So that is the Chemdela Chem.
[07:18.220 --> 07:23.540]  Gets a little bit tall, kind of lanky, but just fucking gassy and delicious.
[07:23.540 --> 07:25.500]  Then the Arise, I mentioned that one.
[07:25.500 --> 07:29.900]  Hyper vigor, hyper potency, super fast growing plant.
[07:29.900 --> 07:31.860]  So that's what we're going to talk about, about the parents.
[07:31.860 --> 07:35.200]  Now why did I want to make this cross?
[07:35.200 --> 07:38.580]  Because I love that Chemdela Chem skunk, gassy funk.
[07:38.580 --> 07:41.020]  I don't have enough of that in my lineup.
[07:41.020 --> 07:45.460]  It's something I'm really, it feels like we go in circles with the flavors of cannabis
[07:45.460 --> 07:46.460]  that are desired.
[07:46.460 --> 07:50.340]  For a while there, it was nothing but skunk and then it turned into diesel and then it
[07:50.340 --> 07:54.220]  turned into, Kush was popular in the Denver area.
[07:54.220 --> 07:59.940]  And then everybody wanted Chem and then everybody wanted garlic and then everybody wanted candy.
[07:59.940 --> 08:05.900]  Then cookies was popular and then garlic came around and now it's all the dessert strains,
[08:05.900 --> 08:09.420]  the fruity flavored candy dessert stuff is what's popular now.
[08:09.420 --> 08:14.140]  Like if you got a fruit flavor and a dessert in your name, like watermelon gelato or something,
[08:14.140 --> 08:16.140]  that shit's what everybody wants right now.
[08:16.140 --> 08:20.540]  So I feel like my terp wheel is coming back around to liking that skunky diesel-y stuff
[08:20.540 --> 08:25.540]  that I used to like, probably around 98, 99, early 2000s.
[08:25.540 --> 08:26.900]  That's what was real popular.
[08:26.900 --> 08:28.300]  So I'm coming back around to liking that.
[08:28.300 --> 08:29.820]  I wanted more of that in my lineup.
[08:29.820 --> 08:30.820]  I'm trying not to ramble too much.
[08:30.820 --> 08:32.740]  We're going to get me back on track.
[08:32.740 --> 08:35.940]  So I really love the flavors and aromas of the Chemdela Chem.
[08:35.940 --> 08:40.120]  Also I really, I like JJ as a breeder and that's where this cross came from.
[08:40.120 --> 08:42.300]  So I wanted to do some breeding with some of his stuff.
[08:42.980 --> 08:47.980]  You got to breed with the people, work with the people that you respect and appreciate.
[08:47.980 --> 08:49.660]  So that's mostly why I made it.
[08:49.660 --> 08:55.020]  And I knew that that growth that comes from the Arise and the potency from the Arise with
[08:55.020 --> 08:59.860]  that skunky funkiness, it was just like putting two supermodels in a room together, knowing
[08:59.860 --> 09:01.980]  that I'm just going to make a super, super model.
[09:01.980 --> 09:03.400]  I knew it was going to work well.
[09:03.400 --> 09:05.200]  So that's basically why I made the cross.
[09:05.200 --> 09:09.660]  As a breeder, as a grower, as a smoker, I felt like all the right ingredients were there.
[09:09.660 --> 09:12.680]  If I put those together, it was going to work very well.
[09:12.680 --> 09:14.660]  And I feel like we did reach our goal.
[09:14.660 --> 09:16.540]  We'll talk more about that in the future.
[09:16.540 --> 09:20.700]  Now let's talk about why I named this cross, The Machine.
[09:20.700 --> 09:26.420]  A lot of it came from, excuse me, a lot of it came from the flavors and aromas that come
[09:26.420 --> 09:28.220]  from this finished plant.
[09:28.220 --> 09:33.600]  It's got chemicals and greasy smells and funky stuff, kind of machine shop sort of smells.
[09:33.600 --> 09:38.440]  But also I named it The Machine in honor of Bert Kreischer.
[09:38.440 --> 09:41.120]  If you know me at all, you know that I'm a huge comedy nerd.
[09:41.120 --> 09:42.680]  I love going to comedy shows.
[09:42.680 --> 09:44.040]  I love watching comedy shows.
[09:44.040 --> 09:47.240]  I listen to podcasts all day constantly when I work.
[09:47.240 --> 09:48.880]  I'm a huge fan of laughter.
[09:48.880 --> 09:53.200]  One of the people that makes me laugh the most is motherfucking Brent Kreischler.
[09:53.200 --> 09:54.720]  That dude will make you laugh.
[09:54.720 --> 09:55.760]  Make me laugh my ass off.
[09:55.760 --> 09:57.080]  I could be working hard.
[09:57.080 --> 09:58.080]  I could be in a funky mood.
[09:58.080 --> 10:02.120]  It could be early in the morning and Bert Kreischler will say something ridiculous on
[10:02.120 --> 10:05.360]  a podcast and I will laugh until I have to go take a piss.
[10:05.760 --> 10:10.360]  I had to make a strain named after my friend Bert Kirschner just because I felt like it
[10:10.360 --> 10:11.360]  was appropriate.
[10:11.360 --> 10:14.000]  So it is named after Bert Kirschner.
[10:14.000 --> 10:15.280]  I'm trolling his name.
[10:15.280 --> 10:17.040]  It is Bert Kreischer, ladies and gentlemen.
[10:17.040 --> 10:18.920]  The strain is named after Bert Kreischer.
[10:18.920 --> 10:23.760]  I've been naming strains after Grateful Dead songs, after reggae artists, after mystical
[10:23.760 --> 10:25.760]  things and motivational things.
[10:25.760 --> 10:27.720]  I love comedy and I love laughter.
[10:27.720 --> 10:31.560]  So I decided it was time to name a strain after one of my favorite comedians.
[10:31.560 --> 10:34.600]  So Bert Kreischer, got a strain named after him.
[10:34.600 --> 10:39.160]  The Machine comes from a long story that Bert tells in one of his specials and it is
[10:39.160 --> 10:42.400]  about how, I don't want to ruin his joke, but if you haven't heard it by now, I don't
[10:42.400 --> 10:44.280]  know where you have been.
[10:44.280 --> 10:46.560]  Bert Kreischer learns Russian in college.
[10:46.560 --> 10:50.480]  He doesn't learn Russian at all, but he gets to go on a free trip to Russia.
[10:50.480 --> 10:55.600]  He becomes involved in the Russian mafia and he tells them that he is the machine and it's
[10:55.600 --> 10:56.600]  a hit.
[10:56.600 --> 10:57.600]  So that is where it comes from.
[10:57.600 --> 11:01.320]  It comes from the I am the Machine joke from Brent Kirschner.
[11:01.320 --> 11:02.720]  That is where the name comes from.
[11:02.800 --> 11:05.160]  I've rambled for a long time about that.
[11:05.160 --> 11:07.720]  Let's talk about the actual strain.
[11:07.720 --> 11:09.680]  Big shout out to Bert Kreischer, by the way.
[11:09.680 --> 11:11.880]  That dude has made me laugh a lot.
[11:11.880 --> 11:13.440]  The flowering time.
[11:13.440 --> 11:14.480]  So we've talked about the cross.
[11:14.480 --> 11:15.480]  We've talked about the parents.
[11:15.480 --> 11:18.440]  A lot of people are going to want to know the flowering time of this strain.
[11:18.440 --> 11:20.120]  Let's get back into grower mode here.
[11:20.120 --> 11:22.400]  The flowering time of the machine.
[11:22.400 --> 11:26.320]  Most phenotypes will finish within 63 to 70 days.
[11:26.320 --> 11:29.040]  Some of them, maybe let them go about 72 days.
[11:29.040 --> 11:35.880]  Super chem heavy, gassy, stanky ones, maybe 72 days, but 60 to 70 days is the prime zone.
[11:35.880 --> 11:42.560]  About 63, 65 days is where most of the phenotypes are going to be finished.
[11:42.560 --> 11:43.560]  Aromas and flavors.
[11:43.560 --> 11:45.200]  I've talked about this a little bit.
[11:45.200 --> 11:47.720]  This is part of why it got the name, the machine.
[11:47.720 --> 11:48.960]  There are chemical flavors.
[11:48.960 --> 11:49.960]  There are chemical smells.
[11:49.960 --> 11:51.800]  There are gassy smells.
[11:51.800 --> 11:57.280]  Sometimes there's a hint of like lemon fuel, but it's mostly chemicals, gassy, funky dirtiness.
[11:57.320 --> 12:02.280]  There's hints of coffee, some lower notes in there, but a lot of chemically, machine
[12:02.280 --> 12:04.360]  shop, greasy kind of smells.
[12:04.360 --> 12:07.680]  It's really kind of overwhelming, honestly, sometimes some phenotypes.
[12:07.680 --> 12:11.260]  It'll make your eyes kind of itchy, kind of burny when you're trimming it.
[12:11.260 --> 12:13.720]  Let's talk about growth shapes and structures.
[12:13.720 --> 12:17.660]  A lot of people growing this are going to want to know what to expect.
[12:17.660 --> 12:22.080]  Most of the phenotypes are going to make long branches.
[12:22.080 --> 12:27.520]  There are what I call the chem and the cush phenotypes, which are usually pretty identifiable.
[12:27.520 --> 12:30.760]  If you've grown any chem, you know that it kind of stays a little bit tighter.
[12:30.760 --> 12:32.720]  It makes those long spear type nuggets.
[12:32.720 --> 12:36.880]  If you've grown cush, you know it makes kind of more like popcorn balls and kind of stretchier
[12:36.880 --> 12:37.880]  plants.
[12:37.880 --> 12:39.360]  So let's talk a little bit about that.
[12:39.360 --> 12:42.760]  The chem, it is spears and tighter nodes.
[12:42.760 --> 12:47.260]  And earlier in flower, it's got a nasty berries sort of a smell.
[12:47.260 --> 12:52.460]  It's like dirty, funky smells, like rotten putrid stuff and berries at the same time,
[12:52.460 --> 12:56.640]  which later turns into a skunky, gassy kind of a thing when you dry it and cure it.
[12:56.640 --> 13:00.260]  That is the chem dominant phenotype.
[13:00.260 --> 13:04.820]  That one, in my opinion, it smells like the old school, original chem 91.
[13:04.820 --> 13:08.260]  So that is the chem dominant phenotype.
[13:08.260 --> 13:10.200]  There is a cush dominant phenotype.
[13:10.200 --> 13:12.060]  Like I said before, it's got longer branches.
[13:12.060 --> 13:16.780]  If you've ever grown cush, you know that some of the older, old school OG cush, it just
[13:16.780 --> 13:17.780]  gets real branchy.
[13:17.780 --> 13:21.700]  And then when you flower it, all those branches kind of fill in with big popcorn ball nugs
[13:21.700 --> 13:23.940]  on the top, makes a big glory bud.
[13:23.940 --> 13:27.340]  That's kind of what the cush dominant phenotype does.
[13:27.340 --> 13:32.880]  The cush phenotype will be earthy and just earthy and dirtier in aromas.
[13:32.880 --> 13:35.780]  It's going to be not as berries, not as gassy, more earthy.
[13:35.780 --> 13:37.100]  You're going to get an earthy, dirty thing.
[13:37.100 --> 13:38.100]  I keep saying earthy.
[13:38.100 --> 13:39.980]  I hope I've made that point clear.
[13:39.980 --> 13:44.620]  That one is going to be more chill, more indica dominant buzz, more put you in the couch,
[13:44.620 --> 13:45.940]  more knock you out.
[13:46.100 --> 13:47.940]  That one's got big fat, wider leaves.
[13:47.940 --> 13:50.100]  You will notice that phenotype.
[13:50.100 --> 13:52.520]  The chem is gassier and nasty.
[13:52.520 --> 13:56.620]  And also I wrote down a head killer, the chem dominant phenotype.
[13:56.620 --> 14:00.980]  The buzz will make you forget where you were and what you're doing while you were doing
[14:00.980 --> 14:01.980]  it.
[14:01.980 --> 14:05.220]  You'll be walking to the fridge to get a drink and you'll forget that you needed a drink
[14:05.220 --> 14:09.840]  until you realize you're so thirsty that your mouth is stuck to your face.
[14:09.840 --> 14:14.940]  Most of these phenotypes come out distinctly chem or distinctly cush, and it is very noticeable.
[14:14.940 --> 14:20.180]  Very few of them show much of the golden goat trait other than the fast growth and
[14:20.180 --> 14:21.180]  the high potency.
[14:21.180 --> 14:24.340]  I think a lot of that is attributed to by the golden goat.
[14:24.340 --> 14:29.420]  So you're getting the aromas and flavors of the cushion chem and the speed of the growth
[14:29.420 --> 14:33.380]  and that high potency is kicking in from that tropical part of the sativa.
[14:33.380 --> 14:34.660]  That's where I think that comes in.
[14:34.660 --> 14:40.380]  But you're going to find very heavy cush phenotypes and very heavy chem phenotypes and then things
[14:40.380 --> 14:41.380]  right in the middle.
[14:41.380 --> 14:44.420]  So you'll be able to find something that's got the amount of couch lock you want, the
[14:44.420 --> 14:47.860]  amount of head buzz you like, and then that right in the middle, beautiful buzz that I
[14:47.860 --> 14:48.860]  really enjoy.
[14:48.860 --> 14:52.240]  The kind of sits you down and makes you think all you can do is just sit there and ponder
[14:52.240 --> 14:56.300]  life for a little bit or end up staring at a painting and seeing a totally different
[14:56.300 --> 14:58.900]  painting in that painting that you've never seen before.
[14:58.900 --> 15:00.940]  That's the kind of herb that this is here.
[15:00.940 --> 15:05.520]  You got the gassy, the chemi, the cushy and the potency of that tropical stuff.
[15:05.520 --> 15:10.940]  Now within these ranges of cushion chem, I do find what I believe to be three, not distinct
[15:10.940 --> 15:14.380]  phenotypes but basically categories of phenotypes.
[15:14.380 --> 15:17.620]  There are probably several phenotypes that will pop up.
[15:17.620 --> 15:19.060]  This is an F1 hybrid.
[15:19.060 --> 15:24.900]  I do enjoy the variation, but there are three categories of phenotypes that I have distinctly
[15:24.900 --> 15:25.900]  identified.
[15:25.900 --> 15:27.820]  Let's talk about those three categories.
[15:27.820 --> 15:35.020]  There is what I call the pine cone category, which that one is the cush, OG cush type of
[15:35.020 --> 15:36.020]  category.
[15:36.020 --> 15:37.980]  It's going to smell more musty, more earthy.
[15:37.980 --> 15:42.060]  You're going to get your coffee, your chocolate, your indica dominant phenotypes are going
[15:42.060 --> 15:43.060]  to be that one.
[15:43.060 --> 15:47.460]  You're going to get more pine cone size and shape buds, more jaggedy buds.
[15:47.460 --> 15:50.980]  They're going to be your pine cone size and shape buds all over the plant, not as big
[15:50.980 --> 15:51.980]  long spears.
[15:51.980 --> 15:55.540]  I only say that because there is another phenotype called the spear, which we'll talk about in
[15:55.540 --> 16:01.500]  a minute, but these pine cone shape buds are going to be the gassy musty flavors and aromas,
[16:01.500 --> 16:03.560]  your cushy type varieties.
[16:03.560 --> 16:06.180]  Like I said a moment ago, your bigger leaf varieties.
[16:06.180 --> 16:08.340]  These are going to be what I call the pine cone phenotype.
[16:08.340 --> 16:10.660]  That is going to be OG cush dominant.
[16:10.660 --> 16:14.660]  Then there is what I call the foxtail phenotype.
[16:14.660 --> 16:18.820]  There are some phenotypes within this line that just simply produce foxtails.
[16:18.820 --> 16:22.100]  That comes from the ChemD and the genetics.
[16:22.100 --> 16:25.700]  We don't see that a lot pop up in the chem, but things that are made with the chem do
[16:25.700 --> 16:26.700]  make that trait.
[16:26.700 --> 16:28.100]  We see that in the GMO.
[16:28.100 --> 16:30.300]  I've seen it in some other chem crosses.
[16:30.300 --> 16:32.860]  That is not your fault, possibly not your fault.
[16:32.860 --> 16:35.100]  That very well could be from the genetics.
[16:35.100 --> 16:37.860]  If you get minimal foxtailing, it's not crazy.
[16:37.860 --> 16:42.660]  We just see some bulbous calyxes, little extra bulbous, what do we want to call them?
[16:42.660 --> 16:43.660]  Bracks.
[16:43.660 --> 16:44.660]  They swell a little bit more.
[16:44.660 --> 16:46.720]  They stack up a little bit harder than you're used to.
[16:46.720 --> 16:48.340]  That is just a trait from the chem.
[16:48.340 --> 16:50.300]  You're not doing anything wrong.
[16:50.300 --> 16:55.060]  Then there is another very distinct, maybe a phenotype, maybe a category of phenotypes,
[16:55.060 --> 16:57.260]  which I call the spears.
[16:57.260 --> 17:00.500]  These are the stinky chem dominant phenotypes.
[17:00.500 --> 17:02.420]  They're just long spears of bud.
[17:02.420 --> 17:05.040]  They get a silvery sort of a tint to them.
[17:05.040 --> 17:08.520]  Maybe a purple hue with silver trichomes up and down them.
[17:08.520 --> 17:09.680]  They look velvety.
[17:09.680 --> 17:10.880]  They are beautiful plants.
[17:10.880 --> 17:14.480]  They stink like skunk and gas and chemicals.
[17:14.480 --> 17:16.800]  Those are the three distinct phenotypes.
[17:16.800 --> 17:19.000]  The pine cone is the gassy one.
[17:19.000 --> 17:21.920]  The spears is that chem dominant one.
[17:21.920 --> 17:25.720]  The foxtails is very potent and seems to kind of be the blend.
[17:25.720 --> 17:30.280]  You got that chem in there and then it's got the chem from the structure.
[17:30.280 --> 17:34.000]  It's got that cushy flavor and aroma, beautiful blend of both.
[17:34.000 --> 17:38.280]  If you're looking for more of a head buzz, you want the one with the long spear buds
[17:38.280 --> 17:39.280]  and the longer leaves.
[17:39.280 --> 17:43.240]  If you want to sit down on your ass and be knocked out, get that fat leaf one.
[17:43.240 --> 17:46.720]  If you're looking for that beautiful blend with all the beautiful turps, you might want
[17:46.720 --> 17:49.040]  that foxtail phenotype.
[17:49.040 --> 17:52.200]  Now if you're looking at my social media and watching the photos, you'll see that Zozo
[17:52.200 --> 17:57.220]  J got one of the plants that I may actually consider that foxtail phenotype.
[17:57.220 --> 18:02.020]  It's not extreme foxtails, but you'll see what I mean by the bulbous calyxes, the swollen
[18:02.020 --> 18:03.020]  bracts all over.
[18:03.040 --> 18:07.740]  It's a beautiful plant, but it did do a little foxtailing that was not Zozo J's fault.
[18:07.740 --> 18:10.380]  That is simply attributed to the genetics.
[18:10.380 --> 18:15.820]  Then if you look at a lot of the plants that Mobius grows on Instagram, he got the chem
[18:15.820 --> 18:19.780]  and the cush dominant phenotypes and posted a lot of pictures of both of them.
[18:19.780 --> 18:24.560]  The one with no leaves, that is the cush dominant phenotype and the one with a lot of leaves,
[18:24.560 --> 18:26.220]  that is more chem dominant.
[18:26.220 --> 18:31.020]  I can tell by looking, I can almost imagine and predict the aromas of the two phenotypes
[18:31.060 --> 18:33.580]  I saw from Mobius just by looking at the photos.
[18:33.580 --> 18:36.500]  All right, I'm going to check out my notes, see where we are here.
[18:36.500 --> 18:41.540]  All right, now we're to the part of the notes where it says tips and tricks and details.
[18:41.540 --> 18:45.660]  This is where we're going to give the breeder nuances, the breeder tips and tricks on how
[18:45.660 --> 18:49.740]  to maximize the potential of the machine.
[18:49.740 --> 18:52.260]  This one is a very fast vegging plant.
[18:52.260 --> 18:55.360]  A lot of my plants grow very fast all the way through their life.
[18:55.360 --> 18:57.940]  This one grows very, very quickly and veg.
[18:57.940 --> 19:01.900]  However, it does slow down when you flip it into flower.
[19:01.900 --> 19:04.380]  That is quite the opposite of a lot of plants.
[19:04.380 --> 19:06.660]  They usually do go a lot faster.
[19:06.660 --> 19:09.140]  This one will kind of slow down, so you don't have to worry.
[19:09.140 --> 19:11.960]  You do have to worry about the stretch, but it is not as extreme.
[19:11.960 --> 19:16.020]  It will probably double in size by the time you are done flowering.
[19:16.020 --> 19:19.700]  So if you've got six foot of flowering space, flower it at three feet.
[19:19.700 --> 19:23.340]  Of course, allow for light space and whatnot, but you understand what I'm saying.
[19:23.340 --> 19:26.580]  Your three foot tall plant will be six feet tall by the time it's done.
[19:26.580 --> 19:30.460]  If it's two feet tall, expect four feet by the time your plant finishes.
[19:30.460 --> 19:35.100]  A lot of the test growers did report that these plants do take a lot of nutrients.
[19:35.100 --> 19:39.340]  They will suck up a lot of nitrogen and veg because they do grow quite quickly and they
[19:39.340 --> 19:43.220]  do continue to eat a lot of nutrients throughout the flowering phase.
[19:43.220 --> 19:44.820]  So feed these plants heavy.
[19:44.820 --> 19:47.740]  Do pay very close attention to your plants.
[19:47.740 --> 19:51.940]  If they show you any signs of deficiency or signs of burn, adjust accordingly.
[19:51.940 --> 19:56.300]  But we do have reports that they eat a lot, so I can warn you to feed them heavy from
[19:56.340 --> 19:57.340]  the beginning.
