[00:00.000 --> 00:02.080]  Welcome back, Podcast World!
[13:04.100 --> 13:09.020]  that does take a little bit longer, but typically 9-10 weeks is the harvest window for most
[13:09.020 --> 13:10.020]  phenotypes.
[13:10.020 --> 13:14.620]  And I think that is a great way to segue into talking about common phenotypes of Strawberry
[13:14.620 --> 13:16.460]  Starburst.
[13:16.460 --> 13:21.460]  Strawberry Starburst is an F1 hybrid so there definitely will be variation.
[13:21.460 --> 13:24.100]  Variation is expected in an F1 hybrid.
[13:24.100 --> 13:28.100]  We are going to see phenotypes that very closely represent the Arise.
[13:28.100 --> 13:36.340]  We are going to see phenotypes that are perfect 50-50 combos.
[13:36.340 --> 13:43.340]  And we should see some phenotypes that look 75% Strawberry Fields, 25% Arise, and then
[13:43.340 --> 13:49.020]  you will find the opposite 75% Arise, 25% Strawberry Fields.
[13:49.020 --> 13:52.600]  Those are the phenotypes we typically find in this F1 cross.
[13:52.600 --> 13:57.440]  So within that variation there are a couple of very recognizable phenotypes.
[13:57.780 --> 14:02.420]  My favorite is the one that I call the spongy or the jagged phenotype.
[14:02.420 --> 14:04.400]  It sort of looks like a loofah sponge.
[14:04.400 --> 14:07.100]  It does not have a really pretty bud structure.
[14:07.100 --> 14:10.880]  The buds are gigantic, but they are shaped kind of oddly.
[14:10.880 --> 14:14.640]  That one has an amazing strawberry aroma to it.
[14:14.640 --> 14:17.040]  That one makes the best concentrate.
[14:17.040 --> 14:19.200]  We're going to talk about that here in a little bit.
[14:19.200 --> 14:22.640]  But that Strawberry Starburst phenotype that isn't super tight, the one that starts to
[14:22.640 --> 14:26.960]  fluff out a little bit later in flower, that one is going to make amazing concentrate.
[14:26.980 --> 14:31.160]  So if you're a concentrate maker, that is a plant to be on the search for.
[14:31.160 --> 14:35.840]  There is another phenotype that comes from Strawberry Starburst that is very easily identifiable.
[14:35.840 --> 14:37.840]  I call it the 50-50.
[14:37.840 --> 14:42.120]  It's a beautiful 50-50 combination of the Strawberry Fields and the Arise.
[14:42.120 --> 14:45.520]  It brings that gassy, cushy aroma from the Daybreaker.
[14:45.520 --> 14:50.100]  And then it also brings that sweet strawberry cream flavor from the Strawberry Banana.
[14:50.100 --> 14:53.160]  So it's got a gassy, creamy, strawberry sort of aroma.
[14:53.160 --> 14:57.240]  And then the growth, it grows more like Arise because it stays a little bit shorter and
[14:57.240 --> 14:58.640]  a little bit more stout.
[14:58.640 --> 15:02.960]  But that top bud gets real big and real jagged and has a real mean look to it.
[15:02.960 --> 15:04.960]  That one I call the 50-50.
[15:04.960 --> 15:08.760]  Now there is another very common phenotype that comes from the Strawberry Starburst,
[15:08.760 --> 15:09.760]  and it is my favorite.
[15:09.760 --> 15:11.860]  I just call it my favorite phenotype.
[15:11.860 --> 15:16.680]  This one looks more like Arise, but it smells just like strawberries.
[15:16.680 --> 15:18.080]  It's got the shorter growth.
[15:18.080 --> 15:19.240]  It's a little bit branchier.
[15:19.240 --> 15:20.680]  It's a little bit tighter in space.
[15:20.680 --> 15:25.120]  The leaves are a little bit larger, a little bit broader, but these phenotypes taste just
[15:25.120 --> 15:26.120]  like strawberry.
[15:26.120 --> 15:28.120]  And it's not real fruit strawberries.
[15:28.120 --> 15:30.400]  It's more like that strawberry candy.
[15:30.400 --> 15:35.400]  There's a strawberry candy that comes wrapped in a foil with a strawberry print on the packaging.
[15:35.400 --> 15:40.560]  And I think that this phenotype of Strawberry Starburst tastes just like those strawberry
[15:40.560 --> 15:41.560]  candies.
[15:41.560 --> 15:44.920]  A lot of the other phenotypes have more of a real strawberry.
[15:44.920 --> 15:49.480]  They taste like the fruit, or maybe some of them actually taste like a Strawberry Starburst.
[15:49.480 --> 15:53.080]  But I think these phenotypes of Strawberry Starburst taste more like that strawberry
[15:53.080 --> 15:54.440]  hard candy.
[15:54.440 --> 15:59.360]  So a second ago, I said that Strawberry Starburst makes some of the best concentrates.
[15:59.360 --> 16:03.880]  My friend Kelvin grew Strawberry Starburst, and my friend Pedro from Pedro's Grow Room
[16:03.880 --> 16:05.160]  pressed it.
[16:05.160 --> 16:06.880]  And I am not a fan of rosin.
[16:06.880 --> 16:10.600]  If you've listened to this podcast regularly, you've heard me say, I don't like to smoke
[16:10.600 --> 16:12.080]  rosin.
[16:12.080 --> 16:16.480]  When Kelvin grew that Strawberry Starburst and brought it to my house, I smelled it and
[16:16.480 --> 16:17.800]  said, that is amazing.
[16:17.800 --> 16:18.800]  That is delicious.
[16:19.120 --> 16:20.120]  I want to smoke some of that.
[16:20.120 --> 16:21.120]  We smoked it.
[16:21.120 --> 16:22.120]  It was great.
[16:22.120 --> 16:26.520]  We took that flower up to Denver and we had Pedro press it at the Dude Grows Cup.
[16:26.520 --> 16:29.040]  And that concentrate was delicious.
[16:29.040 --> 16:34.440]  That was the best rosin I have ever smoked that was pressed from a flower.
[16:34.440 --> 16:38.000]  It tasted like a strawberry fruit roll-up.
[16:38.000 --> 16:43.320]  So the Strawberry Starburst rosin changed my complete opinion on smoking rosin.
[16:43.320 --> 16:48.080]  I'm not a big fan of rosin still, but if you've got Strawberry Starburst rosin, I would definitely
[16:48.160 --> 16:53.160]  take a big old fat dab and then I would probably take another one in just a couple minutes.
[16:53.160 --> 16:55.920]  So those are the basics of Strawberry Starburst.
[16:55.920 --> 16:59.000]  Let's work into some of the finer details.
[16:59.000 --> 17:02.920]  Most phenotypes, like I mentioned earlier, will be heavy feeders.
[17:02.920 --> 17:07.480]  Don't let your plants get macronutrient before you go into flower and pay attention in early
[17:07.480 --> 17:11.440]  flower that you are not getting macronutrient deficiencies.
[17:11.440 --> 17:16.200]  Also you are going to get gigantic buds if you grow these plants properly.
[17:16.200 --> 17:17.200]  Be prepared.
[17:17.320 --> 17:20.120]  These plants are going to topple over if you don't have some way to support them.
[17:20.120 --> 17:24.240]  I also suggest plenty of airflow and dehumidification.
[17:24.240 --> 17:28.760]  When you get giant buds, you do give yourself potential for giant problems.
[17:28.760 --> 17:33.160]  Also Strawberry Starburst plants do take a little longer than some plants.
[17:33.160 --> 17:34.960]  Like I said earlier, nine to 10 weeks.
[17:34.960 --> 17:37.420]  A lot of people like to cut down at week nine.
[17:37.420 --> 17:39.920]  Some of these phenotypes may need that extra week.
[17:39.920 --> 17:40.920]  Use your scope.
[17:40.920 --> 17:42.240]  Pay attention to the trichomes.
[17:42.240 --> 17:44.640]  Take no plant before it's time.
[17:44.640 --> 17:47.400]  Also these plants are very vigorous.
[17:47.400 --> 17:49.280]  Be prepared for rapid growth.
[17:49.280 --> 17:50.860]  You may need to flower earlier.
[17:50.860 --> 17:52.200]  You may need some sort of supports.
[17:52.200 --> 17:53.520]  You may need some trellis.
[17:53.520 --> 17:57.680]  You will need supports for your buds earlier than you were used to.
[17:57.680 --> 18:02.120]  Another great thing about Strawberry Starburst is she seems to be very easy to clone.
[18:02.120 --> 18:06.140]  I can make her clone very well and all of my other friends who have given me grow reports
[18:06.140 --> 18:09.240]  say that she clones very easily.
[18:09.240 --> 18:15.380]  Another note that I wrote down was low pH for color and low temp for color.
[18:15.380 --> 18:18.720]  Later in bloom if you really want to bring out some great colors, if you want to bring
[18:18.720 --> 18:23.980]  out some purples, maybe some pinks, some gold and red type hues, lower the pH and lower
[18:23.980 --> 18:29.320]  the temperatures later in flower and you will absolutely bring out some magnificently beautiful
[18:29.320 --> 18:32.100]  colors for the Strawberry Starburst.
[18:32.100 --> 18:36.160]  Also I've said this earlier, don't cut her down too early.
[18:36.160 --> 18:40.040]  Strawberry Starburst likes to chunk out on the last week or two.
[18:40.040 --> 18:44.720]  So if you cut down too early, you may rip yourself off for a little bit of weight.
[18:44.720 --> 18:47.400]  These plants like to bulk up right at the very end.
[18:47.400 --> 18:49.440]  So don't cut them down too early.
[18:49.440 --> 18:51.480]  Make sure you're paying attention to your trichomes.
[18:51.480 --> 18:55.080]  As soon as you start seeing some amber trichomes, you need to start considering your harvest
[18:55.080 --> 18:56.080]  day.
[18:56.080 --> 19:01.480]  But do not cut down too early because like I said, they're going to bulk up late in flower.
[19:01.480 --> 19:06.400]  Strawberry Starburst plants do create a lot of aroma, but fortunately most of it is kind
[19:06.400 --> 19:09.560]  of a sweeter, candier, creamier sort of aroma.
[19:09.560 --> 19:15.200]  So odor control is still important, but you're not going to have that gassy skunky funk blasting
[19:15.200 --> 19:16.240]  out of the grow space.
[19:16.240 --> 19:21.660]  So if you need something that isn't skunky and isn't real chem doggy and real OG cushy,
[19:21.660 --> 19:24.960]  maybe something that can blend in a little better, maybe for growing by a strawberry
[19:24.960 --> 19:28.480]  field or maybe you're growing by an orange orchard, or maybe if you've got lilacs or
[19:28.480 --> 19:33.240]  lilies or something that puts off a sweet smell near you, maybe strawberry Starburst
[19:33.240 --> 19:37.000]  plants could blend right in and not get you so much attention.
[19:37.000 --> 19:38.000]  All right, podcast world.
[19:38.000 --> 19:40.520]  I think that is all I've got for you for strawberry Starburst.
[19:40.520 --> 19:43.380]  I hope you enjoyed my strain review and strain report.
[19:43.380 --> 19:49.200]  If you are interested in strawberry Starburst seeds, they are available at seedsherenow.com.
[19:49.200 --> 19:53.440]  You can also find them at dankseed.store.
[19:53.440 --> 19:57.000]  If you feel like this episode of the show was educational, informative, or entertaining,
[19:57.000 --> 20:04.000]  and you would like to make a financial contribution to the show, you can do so by going to www.patreon.com
[20:04.000 --> 20:06.040]  slash grow from your heart.
[20:06.040 --> 20:08.480]  All of the information you need will be right there on the screen.
[20:08.480 --> 20:13.160]  Once again, big shout out to everybody who has supported the show on Patreon.
[20:13.160 --> 20:16.840]  I would also appreciate it if you could support the show on social media.
[20:16.840 --> 20:20.680]  Simply give us a follow on Facebook, search for the grow from your heart podcast.
[20:20.680 --> 20:21.760]  Give me a follow on Twitter.
[20:21.760 --> 20:25.800]  It's at GFYH podcast, or you can find me on Cannabuzz.
[20:25.800 --> 20:29.800]  Cannabuzz is a new cannabis-friendly social media application.
[20:29.800 --> 20:33.680]  We can't buy or sell or exchange products, but we can post pictures.
[20:33.680 --> 20:34.800]  We can post questions.
[20:34.800 --> 20:36.000]  We can give answers.
