[00:00.000 --> 00:05.380]  Hey, what's up podcast world? Welcome to a very special episode of the grow from your heart podcast
[03:18.340 --> 03:23.540]  You've got a goal not just put a bunch of elite cuts in a room and a male and sprinkle some pollen and then sell
[03:23.540 --> 03:29.420]  Those seeds sure. That's a pollen chucker. That's an asshole. That's somebody out for profits a breeder is somebody with a goal
[03:29.620 --> 03:31.900]  Then once those seeds are made you have to test them
[03:31.940 --> 03:36.060]  You can't just make seeds and put them out and sorry about the throat clearing. We got dabbed out
[03:36.980 --> 03:42.140]  By the way, right as well. I was asking you about he's got the rig and the torch and everything
[03:42.300 --> 03:44.660]  I'm like, come on man. Just hit an email
[03:44.660 --> 03:49.780]  It's so fucking easy and we all hit a dab and each one of us one dab and we're stoned
[03:49.780 --> 03:53.620]  Yeah, the whole room is a little lit. It was nice, but it is different
[03:53.620 --> 03:57.620]  I you know even smoking out of a pen or even those little cartridge pens
[03:57.700 --> 04:02.540]  You just don't get a stone this way to just take a fucking full-on torch dad and I agree
[04:02.540 --> 04:07.500]  That's why I've got that rig with me almost all the time. Yeah, and now that's travel peace and that's cold start
[04:07.500 --> 04:10.300]  Is that we want it's an insert dab. I call it an insert
[04:10.300 --> 04:11.420]  I've heard it called a few other things
[04:11.420 --> 04:13.220]  but right I put the dab in a
[04:13.220 --> 04:18.220]  Basically a glass thimble and then heat the banger and then drop the thimble into the banger and cap it, right?
[04:18.220 --> 04:21.780]  It works kind of like a double boiler instead of my dad hitting hot glass
[04:21.780 --> 04:28.000]  It gets to heat up slowly and so I get it as it comes to temperature and sure scolding hot dabs directly to the lungs
[04:28.140 --> 04:32.260]  They're still warm. I like I'm kind of hot but right just come it bubbles up
[04:32.260 --> 04:35.580]  You can watch the dab bubble and it comes to temperature instead of just instantly
[04:36.420 --> 04:41.180]  Yeah, I seen it was awesome. It's freaking water. It feels better. You get a lot of draws off one good dab
[04:41.380 --> 04:43.380]  Yeah, really nice. I love it
[04:43.900 --> 04:47.060]  Everybody in the room is baked. You enjoyed it. You got me going
[04:47.060 --> 04:51.020]  So we're just gonna bullshit a little bit man really good at that since we've declared we're all baked
[04:51.020 --> 04:53.020]  We're just gonna bullshit a little bit. We're good at that
[04:53.540 --> 04:59.300]  So dude, first off I want to know I read genetics ever since I've been you know in the DGC
[04:59.300 --> 05:00.820]  I've always known you guys existed
[05:01.540 --> 05:05.380]  You guys are when you go pro I'm gonna ask I didn't know we did
[05:07.860 --> 05:13.380]  It just seemed to kind of I took I just followed the steps that I seen were supposed to happen in life as a
[05:13.380 --> 05:19.620]  Rower is a breeder at all just kept coming to me naturally and I would see opportunities and some I had to decline and some
[05:19.620 --> 05:25.820]  I knew were right and one day I was here doing this. I don't know that this was the exact intention
[05:26.260 --> 05:28.740]  You can tell what I obviously believe in the colors I wear
[05:29.460 --> 05:30.860]  That had a lot to do with it
[05:30.860 --> 05:33.900]  I just listened to the steps from above and followed the path
[05:33.900 --> 05:37.640]  It was laid in front of me and I think I'm right where I'm supposed to be and the skill set
[05:37.640 --> 05:39.640]  Where'd you get the skills?
[05:39.660 --> 05:42.700]  Most of that I think comes from passion. I love cannabis
[05:42.700 --> 05:47.700]  I've got crazy ADD and when I smoke that seems to stop there are
[05:48.460 --> 05:53.500]  7,000 thoughts happening in this crazy brain of mine. I want to when I smoke I can hear five of them really clearly
[05:53.860 --> 05:59.300]  It's so advantageous for my life. It just makes all that background chatter stop and then I can function
[06:00.620 --> 06:03.980]  Excuse me again. So then I started smoking a lot, right?
[06:03.980 --> 06:07.100]  And then I think like most of us I got tired of paying for it
[06:07.100 --> 06:11.500]  So I wanted to grow my own and then I wasn't satisfied with the clones and the seeds I was getting
[06:11.700 --> 06:14.640]  So I started making my own stuff and then how long it was this
[06:15.940 --> 06:17.660]  Probably before I should admit
[06:17.660 --> 06:20.500]  There weren't legal cannabis laws when I first got into it
[06:20.500 --> 06:25.220]  But as soon as we were able to get more rooms and more space I was up and breeding and doing it nice
[06:25.780 --> 06:30.960]  2008 2009. Okay. Hello. Yeah before that in other states and you were breeding though
[06:30.960 --> 06:35.700]  You had the foresight to bro. I was just super psyched to be able to find a cut back in 2000
[06:35.700 --> 06:39.020]  Yeah, thousand nine. I was lucky to be I had some good friends who were ahead of the game
[06:39.020 --> 06:44.740]  I had some friends who came from California right from North Carolina who were going on the hills for years and years
[06:44.740 --> 06:46.500]  I had friends with Oakster dam
[06:46.500 --> 06:50.580]  University teachings who brought cuts from Oakster dam that I got a hold of
[06:50.740 --> 06:53.900]  So I just fell into the right circles. I feel like I was really blessed
[06:53.900 --> 06:54.540]  That's what I see
[06:54.540 --> 06:56.940]  I just followed the steps that were laid in front of me and right
[06:57.100 --> 07:01.500]  Whatever I believe in put me right where I needed to be. Yeah, that's it's interesting
[07:02.060 --> 07:04.580]  Okay, so that's how that makes you pro
[07:04.580 --> 07:08.820]  It makes you pro because you've been doing it first off for so long and then you've got such a good reputation
[07:09.020 --> 07:14.740]  No, I appreciate that. Oh, yeah. I mean it's a fact but so what do you say to all I see all these people?
[07:14.740 --> 07:19.140]  I get people handing me packs of seeds all the time and I don't know what to say
[07:19.140 --> 07:23.340]  I don't know what to think about them. And you know, what what I mean? I don't know. What do you think about?
[07:24.140 --> 07:28.780]  When who would call yours when you would call yourself professional if you're a young breeder? Oh
[07:29.420 --> 07:31.420]  That's uh, I guess that's up to you
[07:31.860 --> 07:36.420]  When you're when your seeds when you know that everybody growing your seeds is not having a problem, right?
[07:36.420 --> 07:41.540]  It's a big sign people are reporting hermaphrodites if they're complaining right not professional
[07:42.060 --> 07:49.180]  Yeah, I just see it's such a trendy business and I see people always trying to just throw something and throw something out there and
[07:49.180 --> 07:50.140]  that's
[07:50.140 --> 07:53.860]  That's hype. That's instant success. But also you don't see those people around
[07:54.380 --> 07:56.380]  I'm right here for a little while when
[07:56.380 --> 07:58.100]  When I was trying to get on seeds here now
[07:58.100 --> 08:01.340]  He said one of the things that brought him me to his attention, right?
[08:01.340 --> 08:05.180]  I've been around for a while and he said I've seen you you haven't been here for just two weeks
[08:05.180 --> 08:10.580]  You're out of these new pollen chuckers. Yeah, that makes a difference. Those guys just throw on pollen on hype strains
[08:10.580 --> 08:16.060]  They won't be here for two or three harvest. You'll see a bunch of herms come from them people complain. They'll disappear
[08:16.060 --> 08:21.580]  But you do here I mean there's guys who was the Bubba guy the there's an alien guy rather shoot
[08:21.580 --> 08:26.660]  We just gave away some of the seeds last week. I know his name and it's killing me. It's a it's a funny name
[08:26.660 --> 08:32.340]  But anyway, so he's known for something specific right? He's known for that alien. Yeah. Yeah
[08:32.340 --> 08:35.220]  So you're known for arise. Is that what you would say?
[08:35.220 --> 08:41.540]  Arise would be my high potency regular line. That's not available in fans. Okay line. That's popular would be the lemon Jeffrey
[08:41.540 --> 08:45.020]  That's so I've got a regular and a feminized line a rise in lemon Jeff. Yeah
[08:45.860 --> 08:49.500]  Okay, so we're talking and first off. I want to get into feminized a little bit
[08:49.580 --> 08:53.220]  We'll hold that for one second because I'm just thinking about being a breeder
[08:53.820 --> 08:58.220]  And I'm actually I was laughing because it seems like it's a license to print money
[08:58.220 --> 08:59.740]  You're like, dude, you just you know
[08:59.740 --> 09:05.580]  Put pollen on there you come back and you got hundreds of seeds and you sell them for five packs for a hundred bucks or whatever
[09:05.940 --> 09:11.540]  But it's not like I was talking to James being our friend James being seeds here now huge supporter
[09:11.540 --> 09:13.540]  You can go get your seeds over there. Please do
[09:13.580 --> 09:21.300]  Yeah, but I was talking about just so many obstacles just about trying to do business how much discrimination there is out there, right?
[09:21.300 --> 09:27.240]  Oh you even it's CBD you say the word CBD and you get discriminated against on your Facebook shut down your Instagram
[09:27.240 --> 09:29.660]  Yeah, it causes problems quickly. Yeah, man
[09:30.920 --> 09:35.240]  What would you say man if we're looking at obstacles obstacles about being in this business?
[09:35.240 --> 09:39.680]  So what would some unforeseen things your social media is gonna be a struggle?
[09:39.680 --> 09:41.920]  A lot of people think they're gonna advertise on social media
[09:41.920 --> 09:46.880]  My social media gets taken away all of my friends social media if you post pictures of plants if you say the wrong stuff
[09:47.560 --> 09:51.800]  Social media goes the YouTube channels our friend Colin. His video is gone from your feed
[09:51.800 --> 09:54.540]  Yeah, and what's that some one hater one?
[09:55.300 --> 10:00.780]  Thing yeah, that's all it takes. I think it is all it takes man. So just simple things like that the social media
[10:00.780 --> 10:05.540]  We take that for granted I come from an era when we didn't really have that right like when I started doing this
[10:05.540 --> 10:07.100]  We weren't supposed to be doing this
[10:07.100 --> 10:12.020]  So for me just to be able to post my pictures feels kind of it feels like it's a special thing
[10:12.020 --> 10:17.140]  So I feel yeah, I understand what people say. They're lurkers. They're like I've been lurking for a while. That was me
[10:17.820 --> 10:19.820]  Florida
[10:19.980 --> 10:23.500]  Here's my weed I'm proud yeah, I'm disguising my IP address before I
[10:24.020 --> 10:26.380]  Overgrow, yeah, I've got my face and my giant buds
[10:27.660 --> 10:33.100]  Where you can buy it and we've got it all I love it that I feel like we're really taking that for granted now
[10:33.100 --> 10:37.000]  We feel that's really a huge privilege. I didn't have that back when I was starting this
[10:37.860 --> 10:38.980]  obstacles
[10:38.980 --> 10:42.620]  As a seed breeder you there's a lot of work to it. You've got to become relevant
[10:42.620 --> 10:44.820]  You said people it's a license to print money sure
[10:44.820 --> 10:51.060]  But that money is a lottery or monopoly money until you've established that your seeds are worth something. Oh, that's true
[10:51.060 --> 10:55.860]  No offense to you or the guys in this room, but if we made warehouse Kyle seeds, they're not gonna go anywhere
[10:55.900 --> 10:59.580]  What if we put his picture on the back maybe if that picture with no shirt?
[11:00.940 --> 11:04.860]  Maybe but the ladies will buy a few packs and then it'll stop moving
[11:04.860 --> 11:07.860]  No, but I understand it is there's a lot of work a lot of
[11:08.820 --> 11:14.500]  You have to be vetted by the community a lot of people have to grow it right and if somebody doesn't like you in the
[11:14.500 --> 11:19.500]  Cannabis industry or community that spreads more quickly than a good reputation. Oh, you ain't kidding
[11:19.500 --> 11:24.300]  You've got a thousand likes and one thumbs down and everyone goes what's with the thumbs down? Why that pisses me off?
[11:24.300 --> 11:31.100]  I do that myself. There's a hundred nice comments about something and one person being like, oh, you know, whatever a negative
[11:31.100 --> 11:35.940]  I don't like why did he think that I'm sitting there at the you know, the baseball game and like why did he think that?
[11:35.940 --> 11:39.980]  I wonder why doesn't everybody like what I say if everybody likes you it's fake
[11:39.980 --> 11:45.340]  One person has to not like you. Yes something right because if somebody doesn't like it
[11:45.340 --> 11:47.340]  You're pissing someone off and that's you should be
[11:47.500 --> 11:50.540]  If everybody likes it, you're fake. It's kind of like one of those
[11:50.540 --> 11:53.740]  I tell my kid a product for everyone is a product for no. Yep
[11:53.740 --> 11:59.900]  Yes, absolutely dial it in get your target and if you don't like me, that's okay. Somebody you do like it. Absolutely
[11:59.900 --> 12:01.900]  Yes, it absolutely is
[12:02.100 --> 12:08.020]  So getting back to breeding if I'm because I'm just thinking about how I've talked to like a bunch of breeders and everybody wants to
[12:08.020 --> 12:13.500]  Get into the game and I was thinking about how long it would just how long it takes to figure out even if something's working
[12:13.820 --> 12:20.440]  Yeah, you got a cross that you did a rise by Mac maybe okay, which seems to be on your mind
[12:20.440 --> 12:26.620]  That's happening. Geez, you're a psychic. Oh, did I blow it? No, I'm gonna make myself some arise to Max ease
[12:26.620 --> 12:30.980]  We'll see what happens right now. That's exactly what you'll see. We'll see what happens. See what happens
[12:31.020 --> 12:36.140]  Does it take to see what happens? What kind of investment? We've got to veg, but we've got to cut clones
[12:36.140 --> 12:39.440]  You have to cut in a rise male. That's King Solomon. You got to get a Mac clone
[12:39.440 --> 12:43.480]  So you're cutting those you got right what 14 days in your cloning machine 10 14 days
[12:44.060 --> 12:46.100]  Then you've got to put those in small pots
[12:46.100 --> 12:48.040]  You got probably two or three weeks there, right?
[12:48.040 --> 12:53.340]  Can I go into a three gallon pot for four or maybe six weeks there? We're already at about ten weeks, right?
[12:53.700 --> 12:57.040]  We've got soil. We've got lights. We share water already now
[12:57.040 --> 13:04.360]  I'm gonna flower about around day 18 to 25 all pollinate then I've got another 40 or 50 days before those seeds are done
[13:04.660 --> 13:09.360]  Then we harvest plants dry. That's like the half-life now. Yeah now I've got seeds
[13:09.760 --> 13:14.440]  Now I've got to grow the seeds to find out if what I've created is worth a shit because it could be
[13:14.600 --> 13:17.340]  It could be amazing. It could be a total dud
[13:17.340 --> 13:21.500]  I don't know because I've never played with the Mac before sure. I know what Solomon does
[13:21.500 --> 13:22.120]  He's reliable
[13:22.120 --> 13:27.720]  But I don't know what that Mac girl how she's gonna react to that pollen and what those genes are gonna do together
[13:27.720 --> 13:31.560]  It could make a bunch of lopsided handicapped plants for all I know and so I know
[13:31.880 --> 13:34.880]  Okay, and what's the deal you were talking about reputation earlier?
[13:35.400 --> 13:37.800]  Herms are the worst thing you can do for your reputation
[13:37.840 --> 13:38.340]  Yes
[13:38.340 --> 13:40.360]  If I were to release her mafer diet seeds
[13:40.360 --> 13:45.120]  I would destroy all of this that I've built up right stop all of the everything and done
[13:45.120 --> 13:47.640]  So when you're crossing with things, you don't really know
[13:47.680 --> 13:53.960]  We're just kind of looking for the best here the way that I do my best to prevent that is to not use her mafer did
[13:53.960 --> 13:55.920]  A parent plants if so, that's what it is
[13:55.920 --> 14:00.460]  Plants that you're using have a tendency to herm do not breed with them because that will come out down the line
[14:00.460 --> 14:06.080]  Yeah, maybe not a whole bunch, but it will show up and if it shows up then it's a problem that has to happen
[14:06.080 --> 14:09.120]  So I've got to grow those seeds that I make you're right myself or send them out
[14:09.120 --> 14:13.800]  So I've got a lot of good friends who are reliable testers. They get them and they know hey, this is brand new
[14:14.080 --> 14:17.360]  You try this you take pictures look out for problems, right?
[14:17.360 --> 14:21.600]  It could be it could be a ticking time bomb in your grow. So just pay attention for this
[14:21.600 --> 14:26.440]  It could be a her mafer diet. It could be totally weird or it could be the new Mac. You never know. Got it
[14:26.440 --> 14:27.600]  Yeah, you have to give them a warning
[14:27.600 --> 14:31.720]  But they grow that for me or I grow them and then we make sure then if it's successful
[14:31.720 --> 14:32.960]  Then I give it to James Bean
[14:32.960 --> 14:33.440]  Sure
[14:33.440 --> 14:37.880]  Let's it out as a tester or as a freebie to other people and then they grow it also and say I got free stuff
[14:38.120 --> 14:42.200]  Then we see that it works well in a lot of right garden feed that hydro cocoa
[14:42.640 --> 14:44.640]  Soilless organics LEDs
[14:45.040 --> 14:49.800]  Whatever kind of lighting you could think of I want all the results and then we'll put it out for the public. Sure
[14:49.800 --> 14:55.200]  Yeah, all right. That makes sense. It makes okay. Now here's one. I'm trying to I've had this explained to me before
[14:55.720 --> 15:01.200]  You're you're a good good. You're actually a podcaster. You could probably explain this to me in a very simple way
[15:01.920 --> 15:06.760]  Femme seeds feminized seeds. There's all sorts of you know, the Internet's full of bullshit
[15:07.200 --> 15:12.480]  Femme seeds will harm on you, you know that kind of stuff. Would you explain feminized seed?
[15:12.480 --> 15:19.120]  I think it's fairly simple if like I said a minute ago if you use her mafra didic parents you get her mafra didic offspring
[15:19.120 --> 15:24.120]  Okay, if the femme seeds are made with her mafra diet girls, they will be her mafra diets
[15:24.120 --> 15:28.960]  The way that I make them is I carefully select my girls. I stress test the females that I use
[15:29.000 --> 15:31.800]  so if I'm gonna use a strawberry fields girl and a
[15:32.400 --> 15:35.400]  Golden goat will just say cuz I'm popular for using the golden goat and reversing it
[15:35.400 --> 15:40.840]  Sure, I put those in a room and I'll run them on 1212 like we normally do but about two weeks in I'll go and
[15:40.840 --> 15:42.840]  Change the light cycle
[15:42.840 --> 15:47.560]  You know, I want to see it right they do under stress and if they her mafra diet, they don't get to breed
[15:47.560 --> 15:50.000]  They get taken out of the breeding schedule. They're gone
[15:50.000 --> 15:55.100]  No writers if they show me that they're worthy then I'll work with them and that's where we'll get to the feminized talk
[15:55.100 --> 16:00.360]  So I'll take the golden goat plant and I make a product called silver thiosulfate
[16:00.400 --> 16:04.000]  It's really easy to figure out how to make that. I don't teach a lot about how to make that
[16:04.000 --> 16:06.720]  I don't want to get too detailed. I just want to take that product
[16:06.720 --> 16:09.480]  I spray that product on the plant right turns the plant
[16:09.480 --> 16:16.240]  It's makes pollen sacks that contain pollen that only have female chromosomes. There's no male chromosomes in that plant
[16:16.240 --> 16:23.120]  Wow, but I have just tricked that plant a blocker or something. Basically. Yeah, it's the silver stops the copper movement
[16:23.120 --> 16:26.040]  Which creates other things so it's a blocker. Yes
[16:26.040 --> 16:28.040]  You get me to understand
[16:28.280 --> 16:32.560]  One step at a time. All right, so we stop the copper movement
[16:32.560 --> 16:36.400]  We create other hormones from moving then we create pollen sacks with
[16:36.960 --> 16:42.260]  Female pollen then I put that female pollen on a female plant now, there's no opportunity for male
[16:42.260 --> 16:47.840]  It's all female chromosomes happening, right if I have chosen my parents correctly, and I'm quite careful to do it
[16:47.840 --> 16:52.960]  I don't get any reports of her mafra diets in my seeds. That's huge. Yes. That's why you got a good reputation
[16:53.480 --> 16:58.280]  That's why the Rose there are a lot of them out there now a lot of lemon Jeffries a lot of golden, right?
[16:58.280 --> 17:03.040]  They're out right and first up. What do you do? I mean, I guess you haven't have you ever had it cuz I mean
[17:03.040 --> 17:06.840]  What the hell do you do? That's like a fire erupting right there. Well, I get rid of them. I
[17:07.360 --> 17:11.200]  Chop them down. Yeah, if I've had it in the room and I see her mafra died
[17:11.200 --> 17:15.200]  I remember what the parents are I take good notes right when it goes I don't continue that anymore
[17:15.360 --> 17:19.160]  There's no need for that. We've got so many opportunities for good genetics
[17:19.160 --> 17:24.320]  Want to play with anything that isn't a tip we've got elevens now we used to scale things on a one to ten
[17:24.320 --> 17:27.840]  We found a lemon. Why do you want to mess with a seven or six?
[17:27.840 --> 17:30.040]  I seen that Mac and I was like, oh, yeah
[17:30.040 --> 17:35.840]  Yeah, and so let's play with the nines and tens and elevens and leave the her mafra did X sixes and fives out of it
[17:35.840 --> 17:39.720]  It's gonna agree with you. Okay, so just as we're gonna leave this subject
[17:40.520 --> 17:43.760]  Feminized seed has nothing to do with her mafra diets, correct?
[17:44.080 --> 17:46.080]  Mafra does have to do with her mafra did it?
[17:46.400 --> 17:53.920]  Parents them seeds are just blocking was blocking some kind of male hormone or something like that only allowing female seeds to grow
[17:53.920 --> 17:59.560]  That's the best explanation. I've heard you give a fem so far. You've got it. All right, maybe I'm getting it man gold
[18:01.040 --> 18:07.560]  Excellent, man. How long you been doing femme seeds? I have been do I released femmes at one of the first cannabis cups?
[18:07.560 --> 18:12.000]  We had here in Colorado. I think it was 2010. Okay, very wrong
[18:12.000 --> 18:16.240]  All right. I've got a brain injury that makes dates really fuzzy for me. No, I was giving away
[18:16.240 --> 18:19.160]  Yeah, I was giving away grateful dog and heart of gold seeds
[18:19.160 --> 18:22.680]  I gave away probably ten thousand seeds at a couple of cannabis cups
[18:22.680 --> 18:24.880]  Just walking around giving them away five seeds at a time
[18:24.880 --> 18:29.920]  Oh if you were sharing like if you had a bag with those nutrients and I saw like he's gonna grow here free seed
[18:29.920 --> 18:33.340]  That's so cool. Is that way you could go home and you had everything that's so cool. Yeah
[18:33.920 --> 18:37.680]  Dude, so if I'll let you take your drink, but uh, so what's going on?
[18:37.760 --> 18:44.000]  Tell me what's first off we're bullshitting about following the trends. I mean my buddy Jaron comes over
[18:44.000 --> 18:47.080]  He gave me them and I can't say Jaron didn't do anything
[18:48.440 --> 18:52.200]  Gave me the wedding cake gave me some beautiful cuts the Mac came from Jaron
[18:52.200 --> 18:55.620]  That's proper because you're supposed to give it to people that we trust and respect
[18:55.620 --> 18:59.720]  Oh, so the Mac came from Jaron to you. That is a worthy gift Wow
[18:59.920 --> 19:04.420]  Respects you and he knows you're gonna do well with it. So it means a lot. I think you should brag that means a lot
[19:04.420 --> 19:08.300]  Alright, and I change it. Thank you. Jaron. I appreciate your brother, but
[19:09.300 --> 19:15.300]  Shit now you got me thinking just about the Mac cut. Hang on. What are we thinking about trends? Oh, yeah
[19:15.300 --> 19:19.020]  Yeah, right back. You're pretty good man podcaster brain
[19:21.300 --> 19:25.200]  But trends man, so you know the Mac cut super trendy
[19:25.620 --> 19:30.120]  Okay, Jaron comes over to give me that and he goes Oh chase the wedding cake smell it
[19:30.120 --> 19:35.320]  He goes you really get to vanilla frosting, don't you and I'm like, it smells like weed
[19:35.320 --> 19:40.400]  I mean, but and he's telling me goes all fuels are out now sweets are in. Yes
[19:40.400 --> 19:42.800]  How the fuck do you keep up with that shit, man?
[19:42.800 --> 19:48.300]  I love to smoke that hypey stuff, but I don't follow it in my growing or breeding. I avoid it
[19:48.300 --> 19:52.000]  That's not uh, I don't look like the most trendy guy. I'm pretty sure
[19:52.720 --> 19:57.920]  Well nowadays, yeah, but these were way before most people's if I let him down you'll see I was first
[19:58.560 --> 20:03.280]  You wait long enough, yeah, yeah, but I stay away from a lot of the trends a lot of the hype stuff
[20:03.280 --> 20:07.000]  I do my thing what feels right to me when I see a girl plant and a male plant, right?
[20:07.000 --> 20:10.100]  It's like when you see a girl at the bar and your friend like hey, dude
[20:10.100 --> 20:14.760]  You and her should talk you guys would all right, you know who should and I'm like that with plants
[20:14.760 --> 20:19.980]  I'm like this the plant matchmaker the plant porn producer. That's funny who would make a good scene
[20:19.980 --> 20:25.160]  I do think of that frequently like think of the Mac cut as like this beautiful girl
[20:25.480 --> 20:29.640]  With just a whole shitload of baggage with her, you know, I mean she grows slow
[20:29.680 --> 20:33.640]  She blah blah, you know what? I mean, but I'll still probably hang out with her for a little bit
[20:36.880 --> 20:42.040]  Yeah, yeah, I'll bet you just stay away from the hype I just I dodged the trends and right see me
[20:42.040 --> 20:45.880]  I'm obviously I'm pollinating the Mac. So that's that just sounds fun
[20:45.880 --> 20:50.200]  I want to see what it does sure, but I don't have wedding cake and all that other stuff, right?
[20:50.200 --> 20:54.960]  You don't see a lot of that stuff in my grow. I do what I like and so tell me come on
[20:54.960 --> 21:00.320]  Let's show off what you got man. Lemon. Jeffrey's a legend today. I brought some lemon Jeffrey
[21:00.320 --> 21:03.180]  Which camera am I gonna be on right here? I got a Jeff feminized seeds
[21:03.180 --> 21:07.960]  This is a the lemon skunk and golden goat. So give me come on. You're the best guy to describe this shit
[21:07.960 --> 21:09.280]  Come on, paint me a picture man
[21:09.280 --> 21:13.740]  So if you took a box of lemon head candies, okay, I poured those on the table and smelled the box
[21:13.740 --> 21:20.300]  It's not real overwhelmingly powerful right but like soft lemon kind of a dryer sheet and lemon sort of a thing
[21:20.300 --> 21:22.440]  that's the aroma I think comes from here sort of a
[21:23.100 --> 21:25.100]  dish soap right flavor
[21:25.180 --> 21:29.820]  Real big giant buds on this one. It's not super tight on some phenotypes
[21:29.820 --> 21:34.420]  Some of them are a little airier that comes from the lemon skin, right? I think that makes amazing concentrates
[21:34.420 --> 21:39.700]  That's what I was gonna ask you constant how many people just try comb farmers these days because then the parameters don't change
[21:40.620 --> 21:46.620]  Sifting and squishing right thing now, so they care about pretty buds or they care about yield. Well, you got to post those pretty buds
[21:47.140 --> 21:51.780]  Come on, that's what social media is all about until they shut us down and then you go to cannabis
[21:51.780 --> 21:55.460]  That's what you're supposed to do respect respect to our friends over there. Yeah, I love it
[21:55.460 --> 22:00.180]  It's a cannabis but yeah, they're all about the giant buds still that's that's gonna be a thing for a while
[22:00.180 --> 22:05.860]  Yeah, most people you're right are squishing and pressing and running it somehow. It's either diamonds or squish, right?
[22:06.020 --> 22:11.940]  I was at a show yesterday. That should have come smelled completely like weed. It was Beck, you know
[22:11.940 --> 22:15.060]  Yes, I mean and you know, you can smell it every now and again
[22:15.860 --> 22:20.420]  Everybody was smoking but they're hitting on pens and you know, I mean it was so low
[22:20.620 --> 22:26.380]  Pronouns most of the market is pens. Yeah, it's crazy. It's so discreet. I mean you don't smell
[22:26.380 --> 22:32.340]  Yeah, and if there are kids around they don't know if you're smoking nicotine or if that's a dad pen and security guards that got
[22:32.340 --> 22:35.500]  That and they let you in because they thought that was your nicotine. Yeah, I handed it
[22:35.700 --> 22:38.140]  Security guard. Yeah. Yeah, and like here you go. Have fun
