[00:00.000 --> 00:01.920]  What's up, cannabis community?
[09:25.320 --> 09:30.840]  That won't be too hard in such a small environment if that tent is in a larger room or a room
[09:30.840 --> 09:32.220]  which we can ventilate.
[09:32.220 --> 09:37.640]  So it goes on to say, I will be growing in a soilless mix using Fox Farms Ocean Forest
[09:37.640 --> 09:40.480]  and five gallon air pots under an LED light.
[09:40.480 --> 09:43.080]  That sounds like a great setup that will work well for you.
[09:43.080 --> 09:46.960]  I plan on using only a few nutrients, only what's needed.
[09:46.960 --> 09:51.680]  The small amount of nutrients that I do use will be what you have recommended.
[09:51.680 --> 09:55.760]  You can grow a very successful crop with very minimal nutrients if you pay attention to
[09:55.760 --> 09:56.760]  what you're doing.
[09:56.760 --> 10:02.920]  And I'm sure you'll be excited to hear that I am making progress on the full mix episode.
[10:02.920 --> 10:04.560]  I'm not ready to record that yet.
[10:04.560 --> 10:08.640]  I'm trying to make sure that I get it right because you guys are going to rely on that
[10:08.640 --> 10:09.640]  mix.
[10:09.640 --> 10:11.640]  I don't want to miss a single detail.
[10:11.640 --> 10:16.000]  So I'm working that very heavily before I press record, but I'm working on a full mix
[10:16.040 --> 10:20.280]  episode so you can know what I feed my plants every single week.
[10:20.280 --> 10:23.480]  So look forward to that, but let's keep moving on this email for now.
[10:23.480 --> 10:26.360]  It says, I will be growing your Arise.
[10:26.360 --> 10:31.400]  I plan on growing the shit out of Arise before moving on to any other strains.
[10:31.400 --> 10:33.040]  That is a very good idea.
[10:33.040 --> 10:37.680]  Pop a pack of Arise seeds, find a couple of keepers that you enjoy growing, grow those
[10:37.680 --> 10:41.680]  keepers a couple of times until you narrow it down to your favorite, then build a solid
[10:41.680 --> 10:46.760]  relationship with that one cultivar and really learn how to dial in that one plant to reach
[10:46.760 --> 10:47.840]  its full potential.
[10:47.840 --> 10:49.760]  That is a great strategy.
[10:49.760 --> 10:54.640]  It goes on to say, I bought your seeds on this past 420 from the Hella Dank Seed Company.
[10:54.640 --> 10:57.640]  So big shout out to my friends at the Hella Dank Seed Company.
[10:57.640 --> 11:00.920]  You can find them at dankseed.store.
[11:00.920 --> 11:03.560]  Make sure you check them out if you need new seeds.
[11:03.560 --> 11:06.880]  So here is where we get to the question part of the podcast.
[11:06.880 --> 11:11.520]  It says, I have listened to your episode on Arise and I took notes on it as well.
[11:11.520 --> 11:17.480]  And as I am writing the rough draft for the veg phase of my plan, these questions came up.
[11:17.480 --> 11:19.800]  So our friend here is growing my strain Arise.
[11:19.800 --> 11:22.680]  I have done a full episode on the Arise strain.
[11:22.680 --> 11:26.520]  They are listening, they are taking notes, they are planning their grow, they are planning
[11:26.520 --> 11:30.720]  so far that they are writing down notes for the veg phase and they have come up with some
[11:30.720 --> 11:31.720]  questions.
[11:31.720 --> 11:33.520]  Let's get to the first question.
[11:33.520 --> 11:39.160]  The first question about Arise is, does Arise like to be scrogged?
[11:39.160 --> 11:43.440]  And by a scrog I mean a screen of green, which is when you put up a trellis net just
[11:43.440 --> 11:45.200]  above your canopy.
[11:45.200 --> 11:49.160]  Instead of letting that plant grow straight up, you use the net to bend it over and make
[11:49.160 --> 11:51.200]  it grow horizontally.
[11:51.200 --> 11:53.740]  And you can maximize your grow space.
[11:53.740 --> 11:57.440]  Instead of getting that plant straight up into the light, you can bend the plant over
[11:57.440 --> 11:59.160]  and it will grow sideways for a little bit.
[11:59.160 --> 12:01.000]  Then it will start to grow back up.
[12:01.000 --> 12:04.560]  As it starts to grow straight up again, you can grab that growth and tuck it under the
[12:04.560 --> 12:06.520]  next square in your trellis.
[12:06.840 --> 12:11.200]  You can fill that space and have the entire trellis filled with branching.
[12:11.200 --> 12:15.720]  When you flip it into flower, you will fill your entire grow area with buds.
[12:15.720 --> 12:19.240]  So the question here is, does Arise like to be scrogged?
[12:19.240 --> 12:21.280]  And the answer is yes.
[12:21.280 --> 12:24.260]  Arise takes very well to scrogging.
[12:24.260 --> 12:29.440]  Arise takes very well to popping and twisting and topping and all sorts of manipulation
[12:29.440 --> 12:30.480]  and training.
[12:30.480 --> 12:35.520]  And I will actually recommend that you do two, maybe three layers of trellis netting
[12:35.520 --> 12:37.320]  for your Arise plants.
[12:37.320 --> 12:40.440]  I generally use the first net as a spreader.
[12:40.440 --> 12:42.680]  My plant is growing up and it's getting tall, right?
[12:42.680 --> 12:44.840]  So I use that first net to spread it out.
[12:44.840 --> 12:49.000]  I want one branch through each square of my trellis net.
[12:49.000 --> 12:50.840]  So I spread out the plant a little bit.
[12:50.840 --> 12:53.880]  The second one is to work it to control the height.
[12:53.880 --> 12:57.280]  That's when I start bending the plant down so it doesn't get too tall.
[12:57.280 --> 13:01.320]  That third one is to support those giant buds that are going to start developing around
[13:01.320 --> 13:04.700]  week four, five, six, and seven, eight, nine.
[13:04.700 --> 13:10.440]  You may need to consider adding another trellis, depending on how rapidly your buds are growing.
[13:10.440 --> 13:13.900]  This grow in question is happening in a grow tent with an LED light.
[13:13.900 --> 13:18.200]  So you may not need that first trellis net to work as a spreader as much.
[13:18.200 --> 13:21.420]  You may be able to use that one as your canopy control net.
[13:21.420 --> 13:23.660]  You'll just be able to bend the plants right into that one.
[13:23.660 --> 13:27.140]  You won't need that first net as a spreader because you don't have as many plants.
[13:27.140 --> 13:28.460]  You don't have as much growth.
[13:28.460 --> 13:32.260]  You don't have the plants pressed together as closely as I do in a commercial environment.
[13:32.260 --> 13:35.860]  In a commercial environment, I'm using double-ended Goveda lighting.
[13:35.860 --> 13:37.780]  I'm using three-gallon pots.
[13:37.780 --> 13:42.140]  I'm getting an auto-watering system, and I veg the plants much larger than what you're
[13:42.140 --> 13:44.680]  able to even put in your small grow tent.
[13:44.680 --> 13:50.660]  So I do require at least two, sometimes three, sometimes four layers of trellis netting in
[13:50.660 --> 13:52.140]  a commercial environment.
[13:52.140 --> 13:56.240]  So the short answer is yes, Arise loves to be scrogged.
[13:56.240 --> 14:00.140]  The next question is, what is her favorite light cycle?
[14:00.340 --> 14:04.700]  18 on, 6 off, or 16 on, 8 off?
[14:04.700 --> 14:06.300]  That is a very good question.
[14:06.300 --> 14:12.220]  I would suggest the 18 on and 6 off, but if you want to get experimental, I would almost
[14:12.220 --> 14:19.060]  suggest a 20 hours on and 4 hours off light cycle with Arise.
[14:19.060 --> 14:23.820]  Of course, you have to pay attention to your plant to dial this in, but I have noticed
[14:23.820 --> 14:26.680]  that Arise likes a lot of light.
[14:26.680 --> 14:29.740]  She has got some very tropical lineage to her.
[14:29.740 --> 14:34.020]  She's got a Hawaiian sativa and an island sweet skunk in her, so that means that she
[14:34.020 --> 14:38.740]  has got some tropical lineage, which means she probably was getting a lot of light and
[14:38.740 --> 14:42.500]  long daytime periods somewhere down the line in her gene pool.
[14:42.500 --> 14:48.660]  So I assume that several of her parents are used to getting a long daytime cycle, so Arise
[14:48.660 --> 14:50.740]  seems to want a lot of light.
[14:50.740 --> 14:52.820]  Now pay attention to your leaves.
[14:52.820 --> 14:56.260]  Plants have what is called the daily light integral.
[14:56.260 --> 14:58.700]  Once they've had enough light, they'll start shutting down.
[14:58.700 --> 15:00.260]  They will take a nap.
[15:00.260 --> 15:04.900]  You can see this at the end of the light cycle because the leaves just begin to droop.
[15:04.900 --> 15:07.100]  It looks like there's something wrong with the plants.
[15:07.100 --> 15:08.780]  There's absolutely nothing wrong.
[15:08.780 --> 15:12.620]  They've gotten enough light for the day and they just said, that's it, sweet dreams, and
[15:12.620 --> 15:13.700]  they just took a little nap.
[15:13.700 --> 15:16.960]  They just tipped their hat over their eyes, put their feet up and leaned back and took
[15:16.960 --> 15:18.660]  a little sleeper for a minute.
[15:18.660 --> 15:24.180]  So if you've got the opportunity to run 20 hours on and 4 hours off, I would do that
[15:24.180 --> 15:26.020]  and pay attention to the plants.
[15:26.060 --> 15:32.700]  Then if you see some of the plants starting to droop around 16, 17, 18 hours in, then
[15:32.700 --> 15:39.240]  you can start adjusting your timer accordingly, but don't go less than 18 on and 6 off.
[15:39.240 --> 15:44.500]  Because of those tropical genetics that I spoke of earlier, if you give Arise too little
[15:44.500 --> 15:49.060]  light and she gets root bound, she will decide to flower on you.
[15:49.060 --> 15:52.480]  If Arise becomes root bound, it will try to flower.
[15:52.480 --> 15:57.840]  So make sure you keep Arise in the appropriate size pot and make sure to give her plenty
[15:57.840 --> 15:59.160]  of light.
[15:59.160 --> 16:03.840]  So I would recommend starting with a 20 on and 4 off and paying attention to what happens
[16:03.840 --> 16:05.120]  to the plants.
[16:05.120 --> 16:09.920]  If they start looking like they're drooping late into the veg cycle, reduce it by an hour,
[16:09.920 --> 16:16.040]  reduce it by 2 hours, but don't go less than 18 on and 6 hours off because your plants
[16:16.040 --> 16:18.560]  may try to flower on you.
[16:18.680 --> 16:23.680]  Now one of the big advantages of running your lights for 20 on and 4 off is that when you
[16:23.680 --> 16:29.760]  do click that timer to 12, 12, those Arise plants are really going to trigger into flower
[16:29.760 --> 16:34.020]  quite quickly because you have just made a drastic change in the light cycle.
[16:34.020 --> 16:39.120]  They will have no question that it is time to kick in to flower gear.
[16:39.120 --> 16:44.160]  Now if you are unable or uncomfortable with running a 20 hour on and 4 hour off light
[16:44.160 --> 16:48.800]  cycle, 18 and 6 will work for your Arise plants.
[16:48.800 --> 16:52.560]  But I've been working with this strain for a very long time and I know that there are
[16:52.560 --> 16:59.040]  many phenotypes that would prefer a longer day time veg cycle.
[16:59.040 --> 17:03.680]  Alright Eric, I hope I helped you plan your grow and plan your veg cycle a little more
[17:03.680 --> 17:04.680]  closely.
[17:04.680 --> 17:07.440]  If you've got any more questions, please send me an email.
[17:07.440 --> 17:09.040]  You obviously know the email address.
[17:09.040 --> 17:11.560]  It is growfromyourheartathotmail.com.
[17:11.560 --> 17:13.120]  I look forward to hearing from you.
[17:13.120 --> 17:16.240]  He wraps up the message by saying, thank you for your time.
[17:16.240 --> 17:20.160]  We here at SuDarth Optical Repair love it when you ramble.
[17:20.160 --> 17:22.720]  Sincerely, Eric SuDarth.
[17:22.720 --> 17:24.800]  And then he added his CannaBuzz name.
[17:24.800 --> 17:27.740]  His CannaBuzz handle is DarthLightBender.
[17:27.740 --> 17:31.240]  So make sure you go follow DarthLightBender on CannaBuzz.
[17:31.240 --> 17:34.960]  Hey dude, once again, thank you for the great email.
[17:34.960 --> 17:37.540]  I'm going to keep moving right through the pile of emails.
[17:37.540 --> 17:40.480]  This next message goes just like this.
[17:40.480 --> 17:44.680]  It says, hey Rasta Jeff, I've been emailing intermittently with you and I just wanted
[17:44.680 --> 17:50.800]  to let you know I am starting to work with Arise as one of my long term project strains.
[17:50.800 --> 17:51.800]  That's really great.
[17:51.800 --> 17:54.360]  We've got two people talking about Arise in this episode.
[17:54.360 --> 17:55.440]  Let's keep moving with the message.
[17:55.440 --> 18:00.840]  It says, I have a diary started at growdiaries.com under the moniker of, I'm not sure if they
[18:00.840 --> 18:03.820]  want me to say their name, so I'm going to skip that.
[18:03.820 --> 18:07.920]  They go on to say, I am only in the first week as of now, but feel free to check it
[18:07.920 --> 18:09.360]  out from time to time.
[18:09.680 --> 18:14.840]  If you guys aren't aware, growdiaries.com is a great website and it's exactly what it
[18:14.840 --> 18:15.840]  sounds like.
[18:15.840 --> 18:19.580]  It is a very detailed grow diary.
[18:19.580 --> 18:25.260]  One of the things I really like about growdiaries.com is that I can click on iRegenetics and it
[18:25.260 --> 18:30.680]  shows me everybody who is growing or has grown an iRegenetics strain and made a diary on
[18:30.680 --> 18:31.680]  the website.
[18:31.680 --> 18:35.200]  So I can just scroll through and I can see our new friend here since he just gave me
[18:35.200 --> 18:36.200]  his name.
[18:36.200 --> 18:38.080]  I can see that he pops up and there he is.
[18:38.080 --> 18:43.240]  I can click on his diary and see his photos of a rise and any details or information that
[18:43.240 --> 18:47.960]  he has typed in to share with us will be easily accessible for me to look at.
[18:47.960 --> 18:50.400]  And then I can say, oh, he's feeding it that and that's what it's doing.
[18:50.400 --> 18:51.400]  Cool.
[18:51.400 --> 18:54.840]  And I can share that kind of info with other people who may want to grow that strain.
[18:54.840 --> 18:58.720]  Or you can go there yourself and just take a look at it if you're that type of an internet
[18:58.720 --> 18:59.720]  cruiser.
[18:59.720 --> 19:02.760]  Our buddy Grimball the Druid has a great grow diary.
[19:02.760 --> 19:08.040]  He has grown a lot of iRegenetics and some other stuff and he posts a lot of it to growdiaries.com.
[19:09.000 --> 19:10.280]  So go check him out.
[19:10.280 --> 19:11.580]  But I'm stoned and rambly.
[19:11.580 --> 19:13.880]  So let's get back on track.
[19:13.880 --> 19:14.880]  There is more.
[19:14.880 --> 19:19.280]  It says, I am sure you have some better shit to do than BS with me, but any advice along
[19:19.280 --> 19:21.600]  the way would not be refused.
[19:21.600 --> 19:23.040]  All right.
[19:23.040 --> 19:27.520]  My first piece of advice would be to check out episode number 329 of the Grow From Your
[19:27.520 --> 19:28.520]  Heart podcast.
[19:28.520 --> 19:31.560]  I did an entire episode about a rise.
[19:31.560 --> 19:36.280]  I'm going to assume you've already heard that, but if not, go check out number 329.
[19:36.280 --> 19:40.720]  I talk in depth about the Arise strain on episode 329.
[19:40.720 --> 19:41.720]  So check that out.
[19:41.720 --> 19:44.280]  And then I'm sure you just heard the two little add-ons I did.
[19:44.280 --> 19:50.240]  I talked about Scrogging Arise, and then we just talked about timing for Arise in Veg.
[19:50.240 --> 19:54.800]  So if you've got any more questions, please send me an email and I will do my best to
[19:54.800 --> 19:56.360]  get those on the show.
[19:56.360 --> 19:58.320]  There is more to this message.
[19:58.320 --> 20:03.680]  And it says, my goal in all of this is to be a solid home grower with aspirations of
[20:03.680 --> 20:08.560]  doing something bigger in the cannabis revolution we are currently in.
[20:08.560 --> 20:13.440]  I am deep in prohibition with no signs of my state coming out soon, but I love this
[20:13.440 --> 20:15.480]  hobby and this plant.
[20:15.480 --> 20:19.680]  If you're in prohibition land and you would like some help working toward legalization,
[20:19.680 --> 20:23.160]  I would recommend finding your local Normal chapter.
[20:23.160 --> 20:27.840]  Normal is the national organization for the reform of marijuana laws, and they will be
[20:27.840 --> 20:32.840]  able to point you in the right direction to get you in cannabis activism.
[20:33.000 --> 20:36.840]  So you said that your main goal is to become a, what is the word you used?
[20:36.840 --> 20:41.480]  A solid home grower, and you've got aspirations of doing something bigger with the cannabis
[20:41.480 --> 20:42.680]  revolution.
[20:42.680 --> 20:47.320]  So if you'd like to be part of that revolution, now is the time to join the battle.
[20:47.320 --> 20:52.520]  I recommend you find your local Normal chapter, find your local cannabis activism chapter,
[20:52.520 --> 20:57.840]  whoever it is, wherever it is, become involved with them however you can, and learn how to
[20:57.840 --> 21:03.920]  make cannabis legal in your area so you can be a bigger part of the cannabis revolution.
[21:03.920 --> 21:08.560]  They wrap up the message with, maybe one day I will be consistent enough to be a test grower
[21:08.560 --> 21:09.560]  for you.
[21:09.560 --> 21:12.980]  And then they sign it with their name, and I am not sure if they want their name said
