[00:00.000 --> 00:01.000]  Here we go.
[05:06.320 --> 05:11.840]  Many people have spent a lot of money on seeds, equipment, electricity, and products to keep
[05:11.840 --> 05:13.100]  their grow alive.
[05:13.100 --> 05:18.900]  We cannot let these grows die simply because we are facing some adversity and some awkward
[05:18.900 --> 05:20.840]  social situations.
[05:20.840 --> 05:25.200]  So in this episode, we're going to work our way into talking about being prepared for
[05:25.200 --> 05:27.760]  a lockdown situation in a garden.
[05:27.760 --> 05:29.480]  Do you have what you need?
[05:29.480 --> 05:32.640]  I'm already getting ahead of myself, so let's back up a little bit.
[05:32.640 --> 05:35.600]  I said I wanted to talk about the coronavirus.
[05:35.600 --> 05:37.080]  That's where we're going to start.
[05:37.080 --> 05:41.480]  Unless you have been living on the other side of the moon, I am going to assume that everybody
[05:41.480 --> 05:45.200]  knows what the coronavirus is by now.
[05:45.200 --> 05:46.940]  Everybody has seen the news.
[05:46.940 --> 05:48.520]  Everybody has read the internet.
[05:48.520 --> 05:54.400]  Everybody has chosen how they are going to accept and believe the stories of the coronavirus.
[05:54.400 --> 05:56.080]  Some people are really freaking out.
[05:56.080 --> 05:57.640]  Some people are kind of ignoring it.
[05:57.640 --> 06:01.680]  And some people are in the middle, watching patiently, wondering what to do.
[06:01.680 --> 06:06.320]  I am not judging you for your position in this fear and hype moment.
[06:06.320 --> 06:11.840]  You do what feels best to you as long as you remember to think and stay compassionate and
[06:11.840 --> 06:15.360]  have empathy and remember that everybody is in this shit together.
[06:15.360 --> 06:18.040]  It's not every man for themselves at this point.
[06:18.040 --> 06:20.680]  It's not every woman and child for themselves at this point.
[06:20.680 --> 06:22.880]  It is everybody together.
[06:22.880 --> 06:24.060]  Keep that in mind.
[06:24.060 --> 06:26.940]  You are not only responsible for taking care of yourself.
[06:26.940 --> 06:29.820]  We must all take care of each other.
[06:29.820 --> 06:34.900]  So if you are freaking out about this pandemic, if you are completely ignoring this pandemic,
[06:34.900 --> 06:39.560]  or if you're kind of in the middle, waiting it out, wondering how to react day by day,
[06:39.560 --> 06:44.740]  that is okay as long as you don't forget that you are not in this shit alone and there are
[06:44.740 --> 06:49.420]  millions of other people dealing with the same shit as you and you've got to be compassionate
[06:49.420 --> 06:53.180]  to every person on the planet at this time.
[06:53.300 --> 06:59.620]  You also must take responsibility to not spread this virus to sick people.
[06:59.620 --> 07:00.780]  You may be healthy.
[07:00.780 --> 07:01.900]  You may be young.
[07:01.900 --> 07:05.180]  You may be laughing about this, but is your Nana healthy?
[07:05.180 --> 07:06.580]  Is your Papa healthy?
[07:06.580 --> 07:08.380]  Is everybody around them healthy?
[07:08.380 --> 07:11.340]  Do you have a sick child in your family?
[07:11.340 --> 07:15.300]  Don't be the person that thinks you can go out in public because you're young and healthy
[07:15.300 --> 07:18.380]  and you will be Superman and not cause any problems.
[07:18.380 --> 07:23.300]  You have the potential to pick up this virus and carry it to other people and not know
[07:23.300 --> 07:27.320]  it for several days, potentially two to three weeks.
[07:27.320 --> 07:31.180]  You can go outside yesterday and pick up the coronavirus.
[07:31.180 --> 07:35.700]  You won't know that you were even exposed to it for possibly two to three weeks if you
[07:35.700 --> 07:37.660]  even ever show any symptoms.
[07:37.660 --> 07:39.860]  Many people don't show symptoms.
[07:39.860 --> 07:43.380]  It is very likely that healthy people don't show symptoms.
[07:43.380 --> 07:44.700]  So you think you're fine.
[07:44.700 --> 07:47.340]  Now you go visit your Nana, but you're not fine.
[07:47.340 --> 07:49.340]  You've got coronavirus in your body.
[07:49.340 --> 07:50.460]  You talk to Nana.
[07:50.460 --> 07:51.500]  You give her a hug.
[07:51.500 --> 07:52.500]  You leave.
[07:52.500 --> 07:56.540]  Now three days later, Nana is sick as fuck and you may have killed Nana.
[07:56.540 --> 07:57.900]  Let's not kill Nana, please.
[07:57.900 --> 07:58.900]  We all love Nana.
[07:58.900 --> 07:59.900]  We all love Papa.
[07:59.900 --> 08:00.900]  My grandparents are gone.
[08:00.900 --> 08:01.900]  I miss them.
[08:01.900 --> 08:04.580]  I'm kind of glad they don't have to deal with this fucking coronavirus shit because it would
[08:04.580 --> 08:05.580]  have killed them.
[08:05.580 --> 08:08.380]  But let's not kill other old people.
[08:08.380 --> 08:12.900]  I'm healthy, but I'm staying away from elderly people because I have been around other people
[08:12.900 --> 08:15.260]  who have possibly been exposed to the coronavirus.
[08:15.260 --> 08:18.860]  I don't know that I have or have not, but it is definitely a possibility.
[08:18.860 --> 08:20.100]  I have been in public.
[08:20.100 --> 08:21.380]  I've been out and about.
[08:21.380 --> 08:22.820]  I've been many places.
[08:22.820 --> 08:25.340]  I wouldn't be surprised if I had the virus in my body.
[08:25.340 --> 08:30.380]  I wouldn't be surprised if many young people my age range, my health range have this virus
[08:30.380 --> 08:31.940]  and show zero symptoms.
[08:31.940 --> 08:35.100]  We could be spreading it to older people and fucking up lives.
[08:35.100 --> 08:38.360]  I know I'm off on a rant here, but my point is be responsible.
[08:38.360 --> 08:42.100]  Just because you don't show signs and symptoms doesn't mean that you can't be giving this
[08:42.100 --> 08:44.960]  to older, sicker, immunocompromised people.
[08:44.960 --> 08:48.360]  We need to think about everybody in this situation.
[08:48.360 --> 08:49.360]  Don't be selfish.
[08:49.360 --> 08:53.740]  Now, I am going to try to back myself up off of my soapbox because I feel like I just got
[08:53.740 --> 08:56.800]  really preachy and ranty, but this is important to me.
[08:56.800 --> 08:57.880]  We all have parents.
[08:57.880 --> 08:59.000]  We all have loved ones.
[08:59.000 --> 09:04.280]  We all have older people around us, and we need to learn to have responsibility, empathy,
[09:04.280 --> 09:08.240]  compassion, and patience for everybody in this time of need.
[09:08.240 --> 09:12.040]  You guys, I am trying to unite everybody is what I'm trying to do.
[09:12.040 --> 09:13.440]  Let's all come together.
[09:13.440 --> 09:19.760]  Let's not all be a sucker for fear and hype, but let's also not get the older people sick.
[09:19.760 --> 09:22.380]  If you don't have to go anywhere, don't go anywhere.
[09:22.380 --> 09:24.640]  If you don't have to be somewhere, don't be somewhere.
[09:24.640 --> 09:28.160]  If you can avoid groups and people, avoid groups and people.
[09:28.160 --> 09:29.160]  Be with your loved ones.
[09:29.160 --> 09:30.160]  Be with your family.
[09:30.160 --> 09:31.160]  Be in your home.
[09:31.160 --> 09:32.960]  Spend some time in the garden.
[09:32.960 --> 09:36.280]  Clean up that crap in your grow space that you've been ignoring and avoiding.
[09:36.280 --> 09:38.780]  Now is the time to get all that silly shit done.
[09:38.780 --> 09:42.920]  Take advantage of this time while we're taking a little bit of a quarantine period, a little
[09:42.920 --> 09:45.960]  bit of social distancing, and catch up on chores.
[09:45.960 --> 09:48.120]  Catch up on all the shit that you've been neglecting.
[09:48.120 --> 09:51.400]  Use this to your advantage, and let's not get any other people sick.
[09:51.400 --> 09:55.240]  Now, I am going to be a complete hypocrite here, and I'm going to tell you the moment
[09:55.240 --> 09:59.280]  that I realized I may be fucking up with this coronavirus.
[09:59.280 --> 10:01.280]  I honestly was on the fence with this.
[10:01.280 --> 10:03.320]  I was like, I'm not really going to take that seriously.
[10:03.320 --> 10:04.320]  I'm young.
[10:04.320 --> 10:05.320]  I'm healthy.
[10:05.320 --> 10:07.680]  It feels like some more fear and hype planted by the government.
[10:07.680 --> 10:11.000]  All that stuff that the conspiracy theorists sort of say, that all got to my head.
[10:11.000 --> 10:12.600]  I believed it.
[10:13.280 --> 10:16.640]  In 2011, I went to a comedy show at Comedy Works in Denver.
[10:16.640 --> 10:19.040]  Comedy Works is a fairly small club.
[10:19.040 --> 10:20.640]  It is quite intimate.
[10:20.640 --> 10:23.560]  The building holds approximately 300 people.
[10:23.560 --> 10:28.200]  The comedy show I went to was sold out and has been sold out for several months.
[10:28.200 --> 10:32.440]  The comedian I was going to see is very famous and brings a large crowd.
[10:32.440 --> 10:38.040]  I knew something was strange because on my way to Denver, I-25 was almost empty.
[10:38.080 --> 10:43.400]  If you've ever traveled I-25 in the afternoon on a Thursday, empty is not the word.
[10:43.400 --> 10:45.320]  It's usually a fucking headache.
[10:45.320 --> 10:46.840]  You want to punch yourself in the face.
[10:46.840 --> 10:48.540]  You want to rear end people.
[10:48.540 --> 10:51.760]  You wish it was a Mad Max situation where you could just blow all the fucking cars up
[10:51.760 --> 10:54.120]  around you and get through the interstate.
[10:54.120 --> 10:59.320]  I got to Denver in about an hour and 45 minutes, and it should usually take me two hours and
[10:59.320 --> 11:01.440]  20 to get to Comedy Works.
[11:01.440 --> 11:03.180]  But the interstate was empty.
[11:03.180 --> 11:05.800]  When I got to Denver, Denver was empty.
[11:05.800 --> 11:09.800]  When I got to the parking garage, where I usually have to drive around for a few minutes
[11:09.800 --> 11:13.600]  and search for a spot, the parking garage was empty.
[11:13.600 --> 11:17.580]  The gas station on the way where I stopped to pee was empty, and they would not allow
[11:17.580 --> 11:21.840]  people into the gas station until you properly sanitized your hands.
[11:21.840 --> 11:24.480]  They had a hand sanitizing station outside.
[11:24.480 --> 11:26.840]  You were in line to sanitize your hands before you went in.
[11:26.840 --> 11:28.080]  Then you were allowed to go in.
[11:28.080 --> 11:29.080]  All I had to do was pee.
[11:29.080 --> 11:30.080]  I was on the road for a minute.
[11:30.080 --> 11:31.080]  I had to pee real bad.
[11:31.080 --> 11:35.760]  So I sanitized my hands, went in, went pee like I needed to, came back out, re-sanitized
[11:35.760 --> 11:39.160]  my hands again because I just went pee and I was going to get in the car, make sure I'm
[11:39.160 --> 11:40.680]  clean, got back in the car.
[11:40.680 --> 11:42.740]  Then I boogied up to the comedy show.
[11:42.740 --> 11:45.520]  Like I said, the parking lot was completely empty.
[11:45.520 --> 11:48.800]  The line to get into the comedy club was fairly low.
[11:48.800 --> 11:53.720]  When we got into the comedy club, I realized it's almost showtime, and there are only about
[11:53.720 --> 11:57.520]  three quarters of the people here that have bought tickets.
[11:57.520 --> 12:02.120]  There's a little section in the back of Comedy Works that was completely empty.
[12:02.120 --> 12:03.820]  Usually that club is completely full.
[12:03.900 --> 12:08.940]  So that tells me a bunch of people abandoned their expensive comedy show tickets for a
[12:08.940 --> 12:13.940]  very popular comedian for a show that was sold out months in advance, and they did not
[12:13.940 --> 12:16.260]  even bother to come to the show.
[12:16.260 --> 12:20.820]  I think when I was sitting there at Comedy Works debating on if I wanted to order snacks
[12:20.820 --> 12:25.260]  or if I just wanted to get a bottle of water as my beverage and kind of not touch anything
[12:25.260 --> 12:30.180]  and keep myself safe, I think that is the moment when I realized this is something serious.
[12:30.260 --> 12:34.580]  I may be making a mistake being here in this large group of people.
[12:34.580 --> 12:36.780]  But another part of me said, what are you going to do?
[12:36.780 --> 12:38.860]  Are you going to live in fear forever?
[12:38.860 --> 12:40.260]  Comedy is your favorite thing.
[12:40.260 --> 12:43.900]  You've got to come to comedy shows, and this is one of your favorite comedians.
[12:43.900 --> 12:47.660]  So shut the fuck up and enjoy this for an hour and a half, and we can freak out on the
[12:47.660 --> 12:49.140]  ride home.
[12:49.140 --> 12:51.220]  That is exactly what I did.
[12:51.220 --> 12:54.420]  I ordered a bottle of root beer, which was nice because I haven't been consuming much
[12:54.420 --> 12:56.900]  sugar, so that root beer was really delicious.
[12:56.900 --> 13:00.980]  I got a little bit of a snack, and then I chilled out and waited for the comedy show
[13:00.980 --> 13:01.980]  to start.
[13:01.980 --> 13:06.900]  When the comedy show started, I completely forgot about any fear, any worry, any sort
[13:06.900 --> 13:08.020]  of stress.
[13:08.020 --> 13:09.420]  Comedy is one of my favorite things.
[13:09.420 --> 13:11.980]  I quickly fell into the comedy zone.
[13:11.980 --> 13:16.260]  The comedy show was hosted by a comedian known as Georgia Comstock.
[13:16.260 --> 13:17.780]  That was the first time I heard of her.
[13:17.780 --> 13:21.780]  I will be a fan for life because she was hilarious.
[13:21.780 --> 13:26.160]  She's a little bit younger than me, but she's a Colorado person, and she's a pot smoker,
[13:26.160 --> 13:29.800]  and she's fucking funny, so I will be following her comedy.
[13:29.800 --> 13:33.400]  The next comedian on the bill was a guy known as Kevin Christie.
[13:33.400 --> 13:37.860]  I am pretty sure that I have heard Kevin Christie on Bob and Tom years ago.
[13:37.860 --> 13:39.080]  He is hilarious.
[13:39.080 --> 13:40.960]  He's got a great presence to him.
[13:40.960 --> 13:44.480]  He's kind of got a don't give a fuck sort of a vibe to him, what I really like.
[13:44.480 --> 13:47.240]  He's got that divorced dad sort of a comedy vibe.
[13:47.240 --> 13:50.080]  I was really enjoying his energy and his jokes.
[13:50.080 --> 13:55.140]  He started the show off with something about, hey, Denver Comedy Works, we're here.
[13:55.140 --> 13:57.220]  Are we really brave or really stupid?
[13:57.220 --> 14:01.300]  Then everybody laughed, and then he said, I guess we'll find out in about a week.
[14:01.300 --> 14:04.540]  Everybody kind of laughed and looked around like, ah, fuck, he's bright.
[14:04.540 --> 14:07.140]  It was really funny because we had all just kind of ... I don't know.
[14:07.140 --> 14:10.820]  When you're there at a comedy show, you just give up on the outside world, and you just
[14:10.820 --> 14:11.820]  laugh.
[14:11.820 --> 14:12.820]  That's what you're there for.
[14:12.820 --> 14:18.020]  A good comedian will make light of a shitty situation, and that is exactly what Kevin
[14:18.020 --> 14:19.260]  Christie did.
[14:19.260 --> 14:21.620]  We were off to a great start at the comedy show.
[14:21.620 --> 14:22.820]  We had a wonderful hostess.
[14:22.820 --> 14:24.580]  We had a wonderful feature act.
[14:25.020 --> 14:27.300]  Then the headliner came on stage.
[14:27.300 --> 14:33.860]  Ladies and gentlemen, I am excited because I finally got to see Bobby Lee live on stage
[14:33.860 --> 14:36.340]  at Comedy Works in Denver, Colorado.
[14:36.340 --> 14:42.220]  Bobby Lee was fucking hilariously awesome live on stage.
[14:42.220 --> 14:45.100]  Bobby Lee is mostly known for his time on Mad TV.
[14:45.100 --> 14:47.100]  He's also got a podcast called Tiger Belly.
[14:47.100 --> 14:50.060]  He is also on another podcast called Bad Friends.
[14:50.060 --> 14:52.900]  I listen to and watch everything Bobby Lee puts out.
[14:52.900 --> 14:55.460]  I think he is fucking hilarious.
[14:55.460 --> 15:01.820]  One thing I did not realize when I saw Bobby Lee live is he is super comfortable on stage.
[15:01.820 --> 15:03.780]  He is a maniac on the stage.
[15:03.780 --> 15:08.820]  The dude is maybe five feet tall, but he commands the stage like a fucking giant.
[15:08.820 --> 15:14.340]  The guys that come from the comedy store in LA have a special power of confidence on the
[15:14.340 --> 15:15.780]  stage.
[15:15.780 --> 15:20.660]  Bobby Lee tends to play that he is aloof or not fully aware of what's going on or that
[15:20.660 --> 15:25.020]  he is kind of disassociated with the situation or he is not fully paying attention.
[15:25.020 --> 15:28.980]  I have discovered that that has got to be a fucking character because when he was on
[15:28.980 --> 15:31.260]  stage, he never missed a beat.
[15:31.260 --> 15:33.620]  He was on point the entire time.
[15:33.620 --> 15:35.500]  He was on fucking fire.
[15:35.500 --> 15:38.420]  He would do crowd work and he would ask the crowd a question.
[15:38.420 --> 15:42.060]  When he would reply, most people have body language or something, he would not respond
[15:42.060 --> 15:43.140]  to your answer.
[15:43.140 --> 15:48.060]  He would make a joke about your body language, but it was so rapid fire that it was impressive
[15:48.060 --> 15:49.060]  to me.
[15:49.060 --> 15:54.940]  I have seen countless comedians on countless stages and Bobby Lee was one of the most comfortable
[15:54.940 --> 15:57.620]  people I have ever seen on a stage.
[15:57.620 --> 16:00.040]  It was really impressive to me.
[16:00.040 --> 16:04.000]  Another thing that was really impressive is how much Bobby Lee plays with the crowd.
[16:04.000 --> 16:05.660]  He was flirting with one guy on stage.
[16:05.660 --> 16:09.620]  He was making fun of another guy off the stage the entire show and he would keep coming back
[16:09.620 --> 16:10.620]  to it.
[16:10.620 --> 16:14.900]  Then one time he took off his shirt for another joke, which we'll get to here in a moment,
[16:14.900 --> 16:17.380]  and he tried to get a guy in the front row to touch his stomach.
[16:17.700 --> 16:22.780]  When the guy reached for his stomach, he grabbed his hand and made the audience member palm
[16:22.780 --> 16:24.700]  Bobby Lee's dick.
[16:24.700 --> 16:27.540]  He's Asian and he goes, ha ha, I trick you, I play joke.
[16:27.540 --> 16:30.180]  It was fucking hilarious.
[16:30.180 --> 16:32.940]  If Bobby would have done that to a female, there would have been a crime involved, but
[16:32.940 --> 16:33.940]  it was a guy.
[16:33.940 --> 16:34.940]  It was in the front row.
[16:34.940 --> 16:36.340]  It was fucking hilarious.
[16:36.340 --> 16:37.340]  That will not be a problem.
[16:37.340 --> 16:41.900]  Shout out to Bobby Lee for his amazing fucking confidence on stage.
[16:41.900 --> 16:47.100]  Another thing I noticed is Bobby Lee got involved in a one-on-one conversation with an audience
[16:47.820 --> 16:48.820]  member.
[16:48.820 --> 16:49.820]  There was a person up front.
[16:49.820 --> 16:52.580]  Bobby Lee was setting up a joke, but he had to give the audience member a little bit of
[16:52.580 --> 16:55.580]  a prompt, a little bit of a joke.
[16:55.580 --> 16:57.820]  He had to give him a cue and tell him what he needed to say.
[16:57.820 --> 17:00.020]  He was setting up the bit a little bit.
[17:00.020 --> 17:04.020]  While Bobby was setting up that bit, the crowd got restless and we started chatting amongst
[17:04.020 --> 17:05.100]  ourselves, which happens.
[17:05.100 --> 17:09.300]  If you stop telling jokes, the crowd will fall off.
[17:09.300 --> 17:12.780]  Most of the time, it is hard for a comedian to get the crowd back.
[17:12.780 --> 17:14.660]  He lost about 250 people.
[17:14.660 --> 17:15.660]  We're all talking.
[17:15.660 --> 17:16.660]  Nobody was paying attention.
[17:17.220 --> 17:21.460]  It took Bobby two words to get the entire crowd back in action.
[17:21.460 --> 17:22.460]  He was quiet.
[17:22.460 --> 17:24.460]  You could hear him talking to the other guys like, so when I say this, you're going to
[17:24.460 --> 17:25.460]  say this and you'll do this.
[17:25.460 --> 17:26.460]  Okay, are you ready?
[17:26.460 --> 17:27.460]  Okay.
[17:27.460 --> 17:28.460]  Then Bobby Lee goes, okay, fuckers, comedy works.
[17:28.460 --> 17:29.460]  Are you ready?
[17:29.460 --> 17:31.380]  I'm going to do a fucking joke for you.
[17:31.380 --> 17:35.900]  As soon as he said, I'm going to do a fucking joke for you, everybody was back on track.
[17:35.900 --> 17:37.000]  Nobody was talking.
[17:37.000 --> 17:39.860]  Everybody was full focus on Bobby Lee.
[17:39.860 --> 17:41.300]  I don't know if you're a public speaker.
[17:41.300 --> 17:43.100]  I don't know if you're a comedian.
[17:43.100 --> 17:45.020]  That is a fucking impressive superpower.
[17:45.100 --> 17:46.660]  I was blown away by that.
[17:46.660 --> 17:51.540]  I've seen comedians lose the crowd before and it's hard as shit to get them back.
[17:51.540 --> 17:54.140]  Bobby Lee said, hey, fuckers, I'm going to do a joke for you.
[17:54.140 --> 17:55.140]  And we're all right there.
[17:55.140 --> 17:56.180]  It just took one prompt.
[17:56.180 --> 17:57.180]  We were all back.
[17:57.180 --> 18:01.340]  It may sound weird to a non-comedy nerd, but that was amazing to me.
[18:01.340 --> 18:04.180]  The highlight of the Bobby Lee show.
[18:04.180 --> 18:10.100]  One highlight, Bobby Lee gave a full on dirty blow job to a microphone stand, deep throated
[18:10.100 --> 18:11.980]  it, got it all slobbery, drooled on himself.
[18:11.980 --> 18:15.740]  And about halfway through, he realized I've got coronavirus from this.
[18:15.740 --> 18:16.740]  And it was really funny.
[18:16.740 --> 18:19.820]  I saw the moment in his face that there it is.
[18:19.820 --> 18:20.820]  I shouldn't be doing this.
[18:20.820 --> 18:24.780]  Like I heard the switch go off in his brain and he realized it like, oh, fuck, I'm sucking
[18:24.780 --> 18:25.780]  this microphone.
[18:25.780 --> 18:27.260]  I'm completely going to get Corona.
[18:27.260 --> 18:28.380]  It was hilarious.
[18:28.380 --> 18:29.940]  That was a great moment.
[18:29.940 --> 18:31.740]  The most hilarious part of the show.
[18:31.740 --> 18:35.940]  I don't want to ruin for anybody who may go see Bobby Lee in the future.
[18:35.940 --> 18:40.180]  Let's just say that I have seen Bobby Lee naked and I was in the front row of comedy
[18:40.180 --> 18:43.300]  works and I've still got that image burned in my head.
[18:43.300 --> 18:48.420]  If you go look at Bobby Lee live on Instagram, you will see the exact image that I saw.
[18:48.420 --> 18:52.300]  Bobby Lee put on rubber gloves because of the coronavirus.
[18:52.300 --> 18:56.420]  Bobby Lee put on a surgical mask because of the coronavirus.
[18:56.420 --> 19:00.780]  Then Bobby Lee stripped down to his underwear, which were way too baggy and all of his cash
[19:00.780 --> 19:02.700]  and prizes were hanging right out.
[19:02.700 --> 19:08.340]  And we all got to see Bobby's little fupa and his poorly shaven ball sack and his disgusting
[19:08.340 --> 19:09.420]  butt crack.
[19:09.500 --> 19:13.580]  Honestly, I haven't laughed that fucking hard in a year.
[19:13.580 --> 19:15.700]  Joey Diaz made me laugh one way.
[19:15.700 --> 19:17.900]  Theo Vaughn made me laugh another way.
[19:17.900 --> 19:22.340]  But the way that Bobby Lee made me laugh made it feel like something in my brain could come
[19:22.340 --> 19:23.740]  undone at any moment.
[19:23.740 --> 19:26.840]  I thought I could have a stroke or a fucking seizure.
[19:26.840 --> 19:30.020]  It was like elementary school laughter.
[19:30.020 --> 19:34.740]  Just when the kid in elementary school is just so fucking stupid, you can't stop laughing.
[19:34.740 --> 19:38.520]  That's what I was experiencing from Bobby Lee being naked on stage.
[19:38.620 --> 19:42.880]  We agreed to not take out our phones and take photos or videos at Comedy Works, but there
[19:42.880 --> 19:46.600]  was a moment when I had the best photo opportunity.
[19:46.600 --> 19:51.520]  He was just wearing his little underwear and his surgical mask and his rubber gloves and
[19:51.520 --> 19:55.080]  he had the microphone in his hand all awkward and he had his legs crossed sitting on a bar
[19:55.080 --> 19:57.880]  stool directly in front of me, just giving a speech.
