[00:00.320 --> 00:13.860]  Here we go.
[02:19.560 --> 02:24.040]  I've always got a Grow From Your Heart podcast high five and a thank you for my friend Tommy.
[02:24.040 --> 02:26.960]  Let's send a big thank you shout out to ADHD Grower.
[02:26.960 --> 02:29.200]  Let's send a big high five to Steven Smith.
[02:29.200 --> 02:32.320]  I've always got a big thank you shout out for Pacific Northwest Dan.
[02:32.320 --> 02:33.920]  That was hard for my brain to read.
[02:33.940 --> 02:36.900]  I've also got a big thank you shout out to our buddy Lemur Priest.
[02:36.900 --> 02:39.700]  I've always got a big thank you shout out to Aaron Barajas.
[02:39.700 --> 02:46.820]  And last but certainly not least, let's send a big Grow From Your Heart podcast thank you shout out to our friend Eric L.
[02:46.820 --> 02:51.380]  Big thank you and big shout out to everybody who supports the show on Patreon.
[02:51.380 --> 02:54.620]  If you're not already supporting the show and you would like to learn how to do so,
[02:54.620 --> 03:00.700]  all you have to do is visit www.patreon.com forward slash Grow From Your Heart.
[03:00.700 --> 03:03.420]  All of the information you need will be right there on the screen.
[03:03.480 --> 03:07.480]  And of course I did include a link in the show notes to make it nice and easy.
[03:07.480 --> 03:14.440]  Alright ladies and gentlemen, boys and girls, pips and hoes and friends and foes, smokers and growers, clone cutters and pollen chuckers.
[03:14.440 --> 03:18.200]  This is the portion of the show where I start reading listener emails.
[03:18.200 --> 03:20.360]  Today we're going to focus on grow room safety.
[03:20.360 --> 03:23.080]  That was brought to my attention by a listener named Brandy.
[03:23.080 --> 03:26.520]  I'm going to jump right into their email and it goes like this.
[03:26.520 --> 03:29.480]  What's up Rasta Jeff? Feel free to use my name.
[03:29.480 --> 03:32.680]  Thank you for that info right at the start of the message. It makes it so easy.
[03:32.860 --> 03:37.820]  It goes on to say, I've been listening to your podcast since last fall when a dude at my local
[03:37.820 --> 03:42.220]  grow shop gave me your podcast info and the DGC info.
[03:42.220 --> 03:47.340]  I'm so thankful to him for that because your podcast has helped me learn so much.
[03:47.340 --> 03:49.500]  Yeah, big thank you to that guy at the grow store.
[03:49.500 --> 03:53.820]  I'm glad he introduced you to the Grow From Your Heart podcast and the Dude Grow Show.
[03:53.820 --> 03:58.140]  If you guys aren't already watching the Dude Grow Show, I highly encourage you to check them out.
[03:58.140 --> 04:01.980]  If you're watching me on YouTube, if you're listening on Apple podcast or Spotify,
[04:02.000 --> 04:06.080]  the Dude Grow Show is available wherever you're watching or listening to me.
[04:06.080 --> 04:09.520]  Just go to the service, go to the search bar, type in Dude Grow.
[04:09.520 --> 04:12.800]  You'll find that podcast. I highly recommend it. You will enjoy it.
[04:12.800 --> 04:14.320]  Shout out to my friends in the DGC.
[04:14.960 --> 04:17.680]  I want to keep going because that Reba gem got me chattery.
[04:17.680 --> 04:21.760]  It says, you taught me not only about cannabis, but about safety.
[04:21.760 --> 04:23.360]  This is where the message gets interesting.
[04:23.360 --> 04:28.640]  It says, last night after putting our two kids to bed, my wife came downstairs and found water
[04:28.640 --> 04:31.280]  running all the way down into our living room.
[04:31.300 --> 04:34.180]  We just bought this house last year and we have done a lot of work on it,
[04:34.180 --> 04:38.340]  including new laminate flooring, which was water resistant, thankfully.
[04:38.340 --> 04:43.140]  And I was completely horrified to come downstairs and see water everywhere.
[04:43.140 --> 04:44.820]  That's got to be a scary sight.
[04:44.820 --> 04:47.860]  It says, I ran to our basement to grab the shop vac and there were
[04:47.860 --> 04:49.860]  waterfalls coming from the ceiling.
[04:50.740 --> 04:52.500]  That made me feel a certain way when you said that.
[04:52.500 --> 04:56.020]  My stomach moved. I got a little drop in my gut. My chest felt tight.
[04:56.020 --> 05:00.180]  Waterfalls coming from the ceiling is never a good thing unless you paid extra for that.
[05:00.200 --> 05:03.160]  It is 99% of the time a major fucking problem.
[05:04.120 --> 05:06.200]  Horrified isn't even a strong enough word.
[05:06.200 --> 05:07.080]  I agree with you.
[05:07.080 --> 05:10.520]  I'm feeling panic inside right now and it's not even my house or my grow.
[05:11.160 --> 05:15.000]  It says, sheer panic took over and I ran to the grow room to find it
[05:15.000 --> 05:18.760]  completely dry and the flooding water hadn't crept that far.
[05:18.760 --> 05:23.000]  I had a bit of water from another part, but it was very little, thankfully.
[05:23.000 --> 05:26.680]  Sounds like this could have been much worse and I'm really glad it wasn't too bad for you.
[05:26.700 --> 05:31.660]  It goes on to say, I had just revamped the grow last month, which included switching out lights,
[05:31.660 --> 05:36.140]  caulking and sealing everything super tight and we repainted.
[05:36.140 --> 05:40.220]  I was also very mindful to place all cords and electronics up high.
[05:40.220 --> 05:41.420]  That is a good step.
[05:41.420 --> 05:43.980]  I talked about that in a previous episode, but we'll get there in a minute.
[05:45.180 --> 05:48.860]  The electronics are hanging from hooks or sitting on a tall shelf.
[05:48.860 --> 05:52.780]  And I can say that the likelihood of doing that on my own is slim.
[05:52.800 --> 05:55.280]  So without your knowledge, without your podcast and without
[05:56.000 --> 05:58.880]  your talking about how important safety is in the grow room,
[05:58.880 --> 06:02.400]  I can't say I would have given the safety much thought, if any.
[06:03.680 --> 06:05.760]  This sounds asinine and kind of crazy.
[06:05.760 --> 06:09.840]  We have the cords and shit all over sometimes, which I've gone around and placed on top of
[06:09.840 --> 06:11.760]  tables and desks and off the floor.
[06:11.760 --> 06:14.560]  We'll never have them on the floor again, thanks to you.
[06:15.840 --> 06:21.040]  You seem like a fucking stand-up guy and I hope to get to meet you and give you a hug at some point next year.
[06:21.060 --> 06:25.060]  I hope when all this quarantine and weirdness goes away that I get to meet a lot of people
[06:25.060 --> 06:26.020]  and get a lot of hugs.
[06:26.020 --> 06:27.140]  I look forward to it.
[06:27.140 --> 06:30.660]  It says, sorry for this long ass email, but I thought you'd enjoy this story.
[06:30.660 --> 06:31.860]  I mean, it's crazy, right?
[06:31.860 --> 06:32.740]  Yes, it is crazy.
[06:32.740 --> 06:37.460]  So crazy that it has inspired a redo of the grow room safety episode.
[06:37.460 --> 06:38.900]  It says, anyway, take care.
[06:38.900 --> 06:41.300]  Stay safe as hell during this crazy pandemic.
[06:41.300 --> 06:42.260]  Attached is a video.
[06:42.260 --> 06:43.620]  I did watch that video.
[06:43.620 --> 06:45.060]  It gave me a panic attack.
[06:45.060 --> 06:47.300]  There was just water falling from this person's ceiling.
[06:47.300 --> 06:49.300]  Lots of water everywhere and places it shouldn't be.
[06:49.320 --> 06:51.080]  I see exactly what you're talking about.
[06:51.080 --> 06:53.480]  So they wrap it up and it says from Brandy.
[06:53.480 --> 06:57.080]  Now that has inspired a grow room safety lesson.
[06:57.080 --> 07:01.640]  The reason Brandy was smart enough and aware to keep their electronics up off the floor
[07:01.640 --> 07:05.160]  is because I did an episode in the past, but we are now on a video format.
[07:05.160 --> 07:09.480]  So it's time to do a refresher of the grow room safety course.
[07:10.680 --> 07:12.200]  Let's talk about basic safety.
[07:12.760 --> 07:17.240]  There are a lot of things we can hurt ourselves, potentially make ourselves sick with in a grow room.
[07:17.260 --> 07:19.900]  Always think about personal protective equipment.
[07:19.900 --> 07:21.420]  That is the first place to start.
[07:21.420 --> 07:24.140]  Before you go in there, do you have the right stuff on?
[07:24.140 --> 07:25.340]  Are you wearing the right shit?
[07:25.340 --> 07:26.860]  You should have gloves on.
[07:26.860 --> 07:29.820]  I know you're just going in there to look at the plants, but if you're going to touch a plant,
[07:29.820 --> 07:32.300]  if you're going to touch a bottle, put on some gloves.
[07:32.860 --> 07:36.860]  Six millimeter or thicker nitrile gloves are what I recommend.
[07:36.860 --> 07:37.580]  Wear gloves.
[07:38.220 --> 07:43.980]  You probably, I don't know what you're doing in your grow, but possibly you have applied a pesticide to those plants.
[07:43.980 --> 07:46.860]  When you sprayed that pesticide, it didn't just hit the plants.
[07:46.960 --> 07:49.520]  It hit the walls, it hit the ceiling, it hit the doorknobs.
[07:49.520 --> 07:51.360]  It hit everywhere in that room.
[07:51.360 --> 07:53.760]  So now you're going to go in there and touch shit in that room.
[07:53.760 --> 07:55.920]  You're going to pick up pesticides off the walls.
[07:55.920 --> 07:58.000]  You're going to get pesticides off the doorknob.
[07:58.000 --> 08:00.720]  There are probably pesticides in places you didn't think about.
[08:00.720 --> 08:02.160]  Don't get that on your hands.
[08:02.160 --> 08:03.200]  Then it's your face.
[08:03.200 --> 08:04.720]  Then you're going to get a big rash on your face.
[08:04.720 --> 08:06.160]  You're going to look like a fucking freak.
[08:06.160 --> 08:07.280]  Don't do that to yourself.
[08:07.280 --> 08:09.600]  Wear protective gloves in the grow.
[08:09.600 --> 08:12.160]  Another thing to think about, don't touch your face.
[08:12.160 --> 08:15.200]  If you got the gloves on, don't hit your face with those gloves on.
[08:15.220 --> 08:18.340]  If your face itches, take the gloves off, scratch your face, get new gloves.
[08:18.340 --> 08:20.500]  Let's not contaminate ourselves with pesticides.
[08:20.500 --> 08:26.340]  Also, in a previous episode, we heard about a listener who gets rashes just from coming in contact with the plants.
[08:26.340 --> 08:27.780]  So wear gloves.
[08:27.780 --> 08:34.340]  Let's not give ourselves any rashes from the plants themselves or the pesticides or any other foliar feeds we may have applied to the grow.
[08:34.900 --> 08:39.940]  Along with rubber gloves, I recommend long sleeves in a grow environment.
[08:39.940 --> 08:41.060]  I know it's hot in there.
[08:41.060 --> 08:43.620]  It's not the perfect environment for wearing long sleeves.
[08:43.640 --> 08:46.280]  But you don't want to get that pesticide on your arms.
[08:46.280 --> 08:51.000]  Like I talked about a moment ago, we had a listener who got a rash just from touching the plants.
[08:51.000 --> 08:53.400]  If you're wearing long sleeves, that's not an option.
[08:53.400 --> 08:54.520]  So wear long sleeves.
[08:54.520 --> 08:55.960]  It can be something real thin.
[08:55.960 --> 09:00.440]  If you just got like a light, like a light little linen, just a button down shirt to put on, you still look nice.
[09:00.440 --> 09:02.200]  You look good in there and you're protecting your arms.
[09:02.200 --> 09:03.720]  If you're a hoodie guy, wear a hoodie.
[09:03.720 --> 09:06.440]  If you're a long sleeve shirt guy, wear a long sleeve shirt.
[09:06.440 --> 09:11.640]  If you're a guy or a gal that doesn't want to cover up your sleeves, you can run that risk of getting a pesticide on your arm.
[09:11.660 --> 09:16.380]  You can run the risk of getting the rash, but I highly recommend gloves and long sleeves.
[09:17.020 --> 09:18.460]  Hopefully you're wearing pants.
[09:18.460 --> 09:20.860]  A lot of the times I see people wearing shorts in the grow.
[09:20.860 --> 09:23.820]  I guess that's acceptable unless you're spraying a pesticide.
[09:23.820 --> 09:26.380]  If you are applying something, be completely covered.
[09:26.380 --> 09:27.260]  I know it's hot in there.
[09:27.260 --> 09:28.540]  We got our arms covered up.
[09:28.540 --> 09:31.100]  It's less likely that our legs are going to brush up against plants.
[09:31.100 --> 09:33.580]  But if they do, I recommend you wear pants.
[09:34.140 --> 09:37.180]  Also, always have good shoes.
[09:37.180 --> 09:38.780]  I know, shoes.
[09:38.780 --> 09:40.780]  A lot of us want to be barefoot in a grow.
[09:40.800 --> 09:42.960]  A lot of us want to run around and feel the dirt.
[09:42.960 --> 09:43.600]  That's cool.
[09:43.600 --> 09:46.240]  If that's your grow, if that's what you want to do, go for that.
[09:46.240 --> 09:48.880]  I highly recommend shoes for several reasons.
[09:49.680 --> 09:51.840]  First of all, let's think about pesticides.
[09:51.840 --> 09:56.080]  If you were in an indoor environment and you have applied a pesticide, where does it all land?
[09:56.080 --> 09:59.920]  Anything that dripped off the plants, anything that wasn't caught in the air is on the floor.
[09:59.920 --> 10:04.320]  If you were barefoot, you were rubbing your bare feet on that pesticide laden floor,
[10:04.320 --> 10:06.080]  unless you have mopped since the pesticides.
[10:06.080 --> 10:09.680]  But if you're in there barefoot, I'm imagining you're not a mopping kind of person as well.
[10:09.700 --> 10:13.780]  You're barefoot in that dirty grow room, collecting pesticides on the bottoms of your feet.
[10:13.780 --> 10:17.380]  The bottoms of your feet are one of the most absorbent parts of your body.
[10:17.380 --> 10:21.300]  If you want to get a pesticide toxicity, just pour it onto the bottoms of your feet.
[10:21.300 --> 10:22.660]  It'll absorb really quickly.
[10:22.660 --> 10:24.100]  It's a good way to get yourself sick.
[10:24.100 --> 10:29.060]  So I recommend shoes in there to keep yourself away from the pesticides that could be on the floor.
[10:29.060 --> 10:34.260]  Also, anything else you may have spilled, a nutrient, a nutrient bottle, a nutrient solution,
[10:34.260 --> 10:36.020]  that's on the floor getting into your feet.
[10:36.020 --> 10:36.980]  Can't be good for you.
[10:36.980 --> 10:38.420]  Also not good for your skin.
[10:38.420 --> 10:38.980]  I get it.
[10:39.000 --> 10:41.080]  I used to be a major hippie too when I was younger.
[10:41.080 --> 10:42.600]  Now I wear shoes in the grow.
[10:42.600 --> 10:44.200]  What if you drop something on your feet?
[10:44.200 --> 10:45.080]  That's gonna suck.
[10:45.080 --> 10:46.360]  You're out of work for a day or two.
[10:46.360 --> 10:47.480]  You don't want that to happen.
[10:47.480 --> 10:49.320]  Just wear some shoes is my advice.
[10:49.320 --> 10:52.600]  If you're in a commercial grow, you better be wearing closed toed shoes.
[10:52.600 --> 10:55.800]  If you show up to my commercial grow in flip-flops or sandals, guess what?
[10:55.800 --> 10:58.440]  Better go to the car and find some good shoes or go home and get some good ones
[10:58.440 --> 11:00.360]  because you're not wearing that shit in my commercial grow.
[11:00.360 --> 11:01.480]  Protect yourselves, you guys.
[11:02.360 --> 11:07.800]  Also, wear, if you're around any sort of sprays, if you are mixing pesticides,
[11:07.820 --> 11:10.780]  if you're mixing nutrients, I recommend some sort of goggles.
[11:10.780 --> 11:16.300]  I know that sounds excessive, but your eyes are the most sensitive organ in your body
[11:16.300 --> 11:18.460]  that are exposed to the outside elements.
[11:18.460 --> 11:20.700]  I could poke you anywhere on the chest and the arms.
[11:20.700 --> 11:21.100]  You're gonna be cool.
[11:21.100 --> 11:23.820]  But if I get right in your eye one time, it fucking sucks, dude.
[11:23.820 --> 11:24.860]  Protect your eyes.
[11:24.860 --> 11:25.740]  Wear some goggles.
[11:25.740 --> 11:28.860]  Wear something over your eyes when you're mixing and spraying.
[11:28.860 --> 11:32.540]  Anytime, if you're gonna reach for a pesticide or a nutrient bottle,
[11:32.540 --> 11:35.260]  right before you reach for that, put on gloves and goggles.
[11:35.280 --> 11:38.000]  It's really easy, especially in a commercial environment.
[11:38.000 --> 11:42.160]  A lot of times, if I see you not using the appropriate personal protective equipment
[11:42.160 --> 11:44.400]  in a commercial grow, you get to take a little break.
[11:44.400 --> 11:47.360]  You get to come up to the office and hang out with me while I write out a report
[11:47.360 --> 11:50.480]  on how you are failing to wear the products that I have assigned.
[11:50.480 --> 11:51.520]  Keep yourself safe, you guys.
[11:51.520 --> 11:53.520]  This isn't just because it looks cool.
[11:53.520 --> 11:54.800]  It's not just because we're nerdy.
[11:54.800 --> 11:57.600]  We want you to be safe and healthy.
[11:57.600 --> 12:03.440]  I have a friend who was mixing nutrients by himself and he got pH down in his eye.
[12:04.420 --> 12:05.540]  He wasn't wearing goggles.
[12:05.540 --> 12:06.740]  He wasn't wearing gloves.
[12:06.740 --> 12:07.620]  He got pH down.
[12:07.620 --> 12:10.820]  He got pH down on his hand and rubbed it into his eye is what he did.
[12:10.820 --> 12:12.420]  So he got it from his skin into his eye.
[12:12.420 --> 12:13.940]  Now he's got pH down on his hand.
[12:13.940 --> 12:14.980]  It's burning his hand.
[12:14.980 --> 12:16.420]  Now he's also got it in his eye.
[12:16.420 --> 12:17.620]  He didn't know what to do.
[12:17.620 --> 12:18.580]  You know what he had to do?
[12:18.580 --> 12:24.340]  He pulled out his phone and used Siri to call 911 to call an ambulance to his grow room
[12:24.340 --> 12:25.460]  to come help him out.
[12:25.460 --> 12:26.820]  Imagine being in that situation.
[12:26.820 --> 12:29.940]  You don't want the cops, the paramedics showing up at your grow
[12:29.940 --> 12:31.460]  unless it's completely legal.
[12:31.460 --> 12:32.180]  That could be terrible.
[12:32.360 --> 12:34.440]  So everything I'm talking about has a purpose.
[12:34.440 --> 12:36.360]  I'm not just coming out here trying to be dad.
[12:36.360 --> 12:38.520]  I know I'm getting older, but that's not what this is about.
[12:38.520 --> 12:41.560]  This is because I care about you guys and you may not have thought about this.
[12:41.560 --> 12:45.640]  So I'm trying to give you a reminder and give you examples of why you might want to use
[12:45.640 --> 12:46.840]  the equipment I'm talking about.
[12:47.400 --> 12:49.160]  Gloves, long sleeves, good shoes.
[12:49.160 --> 12:51.000]  That should all be self-explanatory.
[12:51.000 --> 12:52.920]  Goggles, that should be self-explanatory.
[12:52.920 --> 12:54.200]  Like I said, your eyes are sensitive.
[12:54.200 --> 12:57.400]  I can poke you anywhere else on your body, but the minute I touch your eyeball, you fucking
[12:57.400 --> 12:58.600]  want to run away and take a minute.
[12:59.320 --> 12:59.560]  All right.
[12:59.580 --> 13:03.580]  Another thing I want to make sure to talk about is selecting the appropriate mask or
[13:03.580 --> 13:05.980]  respirator when applying a pesticide.
[13:05.980 --> 13:10.060]  A lot of times I see guys wearing gloves and long sleeves and they got the goggles on when
[13:10.060 --> 13:14.540]  they're spraying a pesticide, but they have forgotten to use some sort of a mask or respirator
[13:14.540 --> 13:16.540]  over their face to protect themselves.
[13:16.540 --> 13:19.180]  When you're spraying a pesticide, you're making bubbles.
[13:19.180 --> 13:21.660]  You're making a mist in the room and then you're breathing.
[13:22.460 --> 13:24.700]  You're just sucking up all that mist, all those bubbles.
[13:24.700 --> 13:26.300]  You are pesticiding yourself.
[13:26.320 --> 13:30.800]  You're applying pesticides to your lungs if you're not wearing the appropriate respirator.
[13:30.800 --> 13:37.360]  So I highly recommend the appropriate respirator for pesticide applications, especially if
[13:37.360 --> 13:40.640]  you were using something like a paint sprayer to make really small bubbles.
[13:40.640 --> 13:46.000]  If you're using a fogger, definitely, definitely you need a mask or a respirator.
[13:46.000 --> 13:50.720]  On the inside of your pesticides, not on the inside, on the outside of the pesticide bottle,
[13:50.720 --> 13:51.360]  there is a book.
[13:51.360 --> 13:55.760]  If you open that book, it will tell you what personal protective equipment you need to
[13:55.780 --> 13:59.460]  wear while applying that pesticide, where all of that stuff.
[13:59.460 --> 14:02.660]  If it says minimum requirement, that is the minimum requirement.
[14:02.660 --> 14:05.300]  You can do more, but don't do less than that.
[14:05.300 --> 14:09.620]  Also, there is what is known as a re-entry interval printed on that bottle.
[14:10.180 --> 14:16.020]  The REI tells you how long you need to stay out of that grow room without personal protective
[14:16.020 --> 14:19.540]  equipment before you re-enter after applying that pesticide.
[14:19.540 --> 14:24.020]  So if the REI is four hours, you go in there with your equipment, you spray, you come out,
[14:24.040 --> 14:25.640]  you set a timer for four hours.
[14:25.640 --> 14:30.200]  If it's a commercial grow, put a sign on the door that says, hey, I sprayed in here at noon.
[14:30.200 --> 14:31.960]  Don't go back in here until four o'clock.
[14:31.960 --> 14:35.400]  There are signs that are already pre-made from the Department of Agriculture.
[14:35.400 --> 14:36.200]  They will give them to you.
[14:36.200 --> 14:37.320]  They will sell them to you.
[14:37.320 --> 14:40.680]  Put those signs on your doors to let people know, don't go in here.
[14:40.680 --> 14:41.880]  I sprayed this room.
[14:41.880 --> 14:43.080]  You will get sick.
[14:43.080 --> 14:44.920]  Then here's something to think about.
[14:44.920 --> 14:52.120]  If you are applying pesticides indoors, increase the REI by a minimum of two to four hours.
[14:52.620 --> 14:58.380]  The REI, the re-entry interval, was designed for a greenhouse or an outdoor application.
[14:58.380 --> 15:01.900]  They did not think we were going to apply these pesticides indoors.
[15:01.900 --> 15:04.700]  Indoors, we don't have the sun breaking down the pesticides.
[15:04.700 --> 15:05.980]  We don't have as much air movement.
[15:05.980 --> 15:07.180]  We don't have wind.
[15:07.180 --> 15:08.780]  It's not as open and free.
[15:08.780 --> 15:11.500]  You are trapped in that stagnant box of a grow room.
[15:11.500 --> 15:17.980]  So please allow an extra two to four hours for a re-entry interval after a pesticide in a small,
[15:17.980 --> 15:21.580]  in a grow room indoors, not just a small, in a big room indoors.
[15:21.600 --> 15:23.360]  Let that pesticide break down.
[15:23.360 --> 15:25.760]  Let that cloud of fog spray go away.
[15:25.760 --> 15:27.360]  Don't put yourself in danger.
[15:27.360 --> 15:30.160]  Give yourself that extra re-entry interval.
[15:31.040 --> 15:35.280]  Also, write down every pesticide application.
[15:35.280 --> 15:39.600]  If you were in a commercial grow, you are required to keep a pesticide log.
[15:39.600 --> 15:44.160]  If you were in a personal grow, I recommend keeping a pesticide log.
[15:44.160 --> 15:49.360]  Write down every pesticide you sprayed, the date you sprayed it, the amount you put in the mix when
[15:49.380 --> 15:52.020]  you mixed it up, and which plants you sprayed it on.
[15:52.020 --> 15:58.740]  So it'll say like, Tuesday, this is the date I applied these pesticides at this much on these
[15:58.740 --> 16:00.740]  plants at this time.
[16:00.740 --> 16:04.980]  Then we have a good documentation of when you applied things you know when you sprayed last.
[16:04.980 --> 16:07.620]  Right now, if I say, hey, when did you spray for spider mites last?
[16:07.620 --> 16:08.180]  Do you know?
[16:08.740 --> 16:09.860]  Write that shit down.
[16:09.860 --> 16:14.820]  Then you know that within three to five days, it is time to treat again so I don't get an
[16:14.820 --> 16:15.460]  infestation.
[16:15.460 --> 16:19.220]  And if I do have an infestation, I need to stay on top of a tight schedule.
[16:19.720 --> 16:21.720]  Pesticide logs are very important.
[16:21.720 --> 16:26.280]  Also, in the future, if you get some sort of a rash that could be a pesticide outbreak or a
[16:26.280 --> 16:30.920]  pesticide exposure, we know that you sprayed this pesticide on these plants on this date because
[16:30.920 --> 16:32.120]  here it is, you wrote it down.
[16:32.120 --> 16:33.160]  You can help yourself out.
[16:33.160 --> 16:35.240]  You can help the doctor out if you do get sick.
[16:35.240 --> 16:36.280]  Just help yourself out.
[16:36.280 --> 16:37.880]  Set yourself up for success.
[16:38.600 --> 16:40.520]  Pesticide logs are very important.
[16:40.520 --> 16:45.400]  Also, I recommend having, if you're in a commercial grow, this is required, but I recommend having
[16:45.400 --> 16:48.920]  MSDS sheets for almost every product you use.
[16:49.720 --> 16:52.600]  Especially pesticides, especially foliar feeds.
[16:52.600 --> 16:55.240]  Then also have them for all of your nutrients.
[16:55.240 --> 17:00.040]  Anything that comes into that grow, just print off an MSDS sheet, put it in a folder next to
[17:00.040 --> 17:01.160]  your pesticide logs.
[17:01.160 --> 17:04.280]  That way, any information that we need, we've got available.
[17:04.280 --> 17:07.640]  If something does go wrong, we've got all the information we need.
[17:07.640 --> 17:09.240]  I hope nothing goes wrong.
[17:09.240 --> 17:14.440]  But if you get a rash, if you get a weird disease, we can look at all of your MSDS sheets and say,
[17:14.440 --> 17:16.120]  oh, he's using this product and this product.
[17:16.120 --> 17:18.120]  Oh, here's the one right here that's giving him seizures.
[17:18.140 --> 17:19.500]  Maybe we can figure something out.
[17:19.500 --> 17:23.260]  I don't want that to happen to you, but if it does happen, all of that documentation
[17:23.260 --> 17:24.300]  will help us out.
[17:24.300 --> 17:26.620]  Accountability will really help you out in the future.
[17:27.660 --> 17:31.980]  If you are keeping all of these documents in your personal grow, when it comes time to expand
[17:31.980 --> 17:34.780]  into commercial growing, you're already working with the practice.
[17:34.780 --> 17:36.940]  It's already something you're programmed to do.
[17:36.940 --> 17:38.700]  It's not a big, whole new step.
[17:38.700 --> 17:40.300]  It's not a whole bunch of new shit to learn.
[17:41.020 --> 17:44.540]  Pesticide logs and MSDS sheets can be invaluable.
[17:44.540 --> 17:45.900]  Have those around in your grow.
[17:46.400 --> 17:50.720]  Now, I just thought of if you're in an illegal area, if you're in prohibition land, that's like
[17:50.720 --> 17:51.200]  evidence.
[17:51.200 --> 17:52.560]  Maybe you don't want all that shit.
[17:52.560 --> 17:56.960]  Maybe keep that as a Google Doc and maybe have a couple of passwords so nobody can access that.
[17:56.960 --> 18:02.160]  But if you were in a legal area and you were growing, I would have MSDS sheets and pesticide
[18:02.160 --> 18:03.920]  logs just as accountability.
[18:03.920 --> 18:08.160]  And they work well in the future for if you want to do some sort of applying for jobs,
[18:08.160 --> 18:12.800]  you could say, I've already been keeping pesticide logs and MSDS sheets and also understand your
[18:12.800 --> 18:15.040]  local Department of Agriculture rules.
[18:15.060 --> 18:18.100]  So I think that gets us through most of that part.
[18:18.100 --> 18:20.100]  Always read the labels on your pesticides.
[18:20.100 --> 18:21.620]  There's another note that I wrote.
[18:21.620 --> 18:25.700]  That little book on the front of the pesticide pops open and there are so many details in
[18:25.700 --> 18:25.940]  there.
[18:25.940 --> 18:33.540]  A reentry interval, what to look for for exposure, how much to apply, when to apply it, what
[18:33.540 --> 18:39.060]  personal protective equipment to use, if it is toxic, if it's dangerous, if it's got all that
[18:39.060 --> 18:39.940]  is labeled on there.
[18:39.940 --> 18:40.580]  Check that out.
[18:40.580 --> 18:41.700]  I recommend you look at that.
[18:41.720 --> 18:45.000]  The little booklet that pops out, there's a lot of good info in there.
[18:45.000 --> 18:45.960]  Read it if you never have.
[18:45.960 --> 18:47.000]  I highly recommend that.
[18:47.000 --> 18:53.960]  So that covers basically like pesticide safety and pesticide safety, application safety, the
[18:53.960 --> 18:54.760]  basics of growing.
[18:54.760 --> 18:57.640]  Now let's work on grow safety a little bit.
