[00:15.740 --> 00:18.240]  Welcome back, Cannabis Community.
[03:18.600 --> 03:19.440]  Cannot go with no hash.
[03:19.440 --> 03:20.560]  It's not that kind of show.
[03:20.560 --> 03:23.240]  I took a big old fat dab of Glucinda,
[03:23.240 --> 03:26.580]  which is Gorilla Glue number four with Lucinda Williams.
[03:26.580 --> 03:28.720]  It's batter from Apothecary.
[03:28.720 --> 03:30.840]  When I say batter, it's kind of like you took off
[03:30.840 --> 03:33.320]  a little piece of cream cheese or cheesecake,
[03:33.320 --> 03:35.320]  and just cut a little bit of piece of that off.
[03:35.320 --> 03:37.480]  And then I like to smoke the high cannabinoid
[03:37.480 --> 03:39.520]  full spectrum extract crystals,
[03:39.520 --> 03:41.360]  but it's hard to get them to stay on the dabber.
[03:41.360 --> 03:44.480]  So I roll some of the, I just take the dab of the Glucinda
[03:44.480 --> 03:47.760]  and just gently roll it across the Sour Joker
[03:47.760 --> 03:49.540]  high cannabinoid full spectrum extract,
[03:49.540 --> 03:51.640]  and it picks up a few crystals for me.
[03:51.640 --> 03:55.160]  I take a big dab of that, and it does a really good job.
[03:55.160 --> 03:56.920]  Mike was like, do you want another dab before the show?
[03:56.920 --> 03:59.000]  And I was like, no, I think I'm fucking good for a minute.
[03:59.000 --> 04:00.280]  Like, I don't need another dab.
[04:00.280 --> 04:01.420]  I want to be cool.
[04:01.420 --> 04:03.360]  But yeah, big shout out to our friends at Apothecary
[04:03.360 --> 04:04.800]  for the quality concentrates.
[04:04.840 --> 04:08.680]  I've also got some, this is called Vishnu.
[04:08.680 --> 04:11.440]  When I picked this up out at STEM Beach,
[04:11.440 --> 04:13.000]  they took it out of the original container
[04:13.000 --> 04:14.240]  and put it in this container for me.
[04:14.240 --> 04:15.720]  They asked if it was okay first.
[04:15.720 --> 04:17.920]  They have to send you out in a childproof container,
[04:17.920 --> 04:19.440]  and the other container was not childproof.
[04:19.440 --> 04:20.300]  So I got this one instead.
[04:20.300 --> 04:22.560]  I don't remember, maybe it says on here
[04:22.560 --> 04:24.960]  the name of the company, CRX.
[04:24.960 --> 04:27.400]  Some CRX Shatter, some Vishnu.
[04:27.400 --> 04:28.240]  It's not bad.
[04:28.240 --> 04:30.520]  I picked it up over at Doctor's Order at STEM Beach.
[04:30.520 --> 04:32.880]  Shout out to my friends out there doing good work.
[04:33.880 --> 04:36.200]  Mike, you looked like you were gonna say something
[04:36.200 --> 04:37.360]  and you just changed your mind.
[04:37.360 --> 04:39.560]  You're like, no, I'm not gonna say anything.
[04:39.560 --> 04:40.880]  I'm high over here.
[04:40.880 --> 04:42.600]  All right, we covered your social media.
[04:42.600 --> 04:44.840]  We talked about what we're smoking on.
[04:44.840 --> 04:47.320]  Ladies and gentlemen, if you pay any attention to the world,
[04:47.320 --> 04:48.800]  we're probably a little bit late,
[04:48.800 --> 04:51.600]  but let's talk a little bit about the announcement
[04:51.600 --> 04:54.640]  that was made by Mr. Jeff Sessions.
[04:54.640 --> 04:57.400]  That's the point of the bonus episode, folks,
[04:57.400 --> 05:01.360]  is a special show focused around this topic.
[05:01.360 --> 05:04.160]  If you follow cannabis news at all,
[05:04.160 --> 05:05.640]  you definitely heard the news
[05:05.640 --> 05:08.600]  that our Attorney General Jeff Sessions
[05:08.600 --> 05:11.680]  has rescinded the Cole Memo,
[05:11.680 --> 05:14.000]  which gave some legal protection
[05:14.000 --> 05:16.960]  to recreational cannabis businesses
[05:16.960 --> 05:20.880]  in states that have legalized recreational use cannabis.
[05:20.880 --> 05:23.240]  So we've said a lot of things in just a couple of sentences.
[05:23.240 --> 05:25.120]  Right, there was a lot of information there.
[05:25.120 --> 05:26.520]  I've got a list of kind of things
[05:26.520 --> 05:28.080]  that we need to keep in mind.
[05:28.080 --> 05:31.120]  Will you briefly explain to us the Cole Memo?
[05:31.880 --> 05:33.080]  Because this all stems from the Cole Memo.
[05:33.080 --> 05:38.080]  Okay, so when Obama took office,
[05:38.360 --> 05:42.320]  there was no federal guidance on state medical marijuana
[05:42.320 --> 05:44.680]  or recreational marijuana laws.
[05:46.280 --> 05:49.880]  We were just sort of operating in the face of federal law
[05:49.880 --> 05:51.680]  and waiting to see what happened.
[05:53.440 --> 05:58.440]  Two pieces of legislation have evolved since then,
[05:59.200 --> 06:01.080]  one of which is the Cole Memo.
[06:02.120 --> 06:06.560]  Cole was Attorney General for a while under Obama,
[06:06.560 --> 06:08.920]  and he wrote a memo basically
[06:08.920 --> 06:12.280]  to all of his federal Attorney General prosecutors.
[06:12.280 --> 06:14.040]  I think there's like 93 or 100 of them
[06:14.040 --> 06:15.680]  or something around the US,
[06:15.680 --> 06:19.720]  saying if you operate in a district
[06:19.720 --> 06:22.960]  that covers a legal marijuana state,
[06:22.960 --> 06:26.160]  here are some guidelines for federal enforcement.
[06:26.160 --> 06:27.920]  Don't bother wasting money
[06:28.360 --> 06:30.680]  if the business is following state law.
[06:30.680 --> 06:35.480]  Instead, focus on diversion out of state,
[06:35.480 --> 06:37.240]  diversion to minors,
[06:38.520 --> 06:41.920]  shenanigans with banking rules and regulations,
[06:41.920 --> 06:42.760]  that sort of thing.
[06:42.760 --> 06:44.360]  There were eight points to the Cole Memo.
[06:44.360 --> 06:47.160]  You can pull this up if you'd like.
[06:47.160 --> 06:51.640]  But basically, it's the thin little paper shield
[06:51.640 --> 06:54.840]  the legal marijuana industry has been using
[06:54.840 --> 06:57.440]  to really thrive coast to coast.
[06:58.320 --> 06:59.880]  It was the federal document
[06:59.880 --> 07:02.480]  the industry would look to and point to
[07:02.480 --> 07:04.560]  to say we're doing the best we can,
[07:04.560 --> 07:07.240]  trying to comply with what the feds want
[07:07.240 --> 07:09.080]  to see out of legal marijuana.
[07:10.000 --> 07:13.240]  It's what states that have passed legal marijuana
[07:14.320 --> 07:19.040]  have used to kind of guide their own rules and regulations.
[07:19.040 --> 07:21.160]  It's part of the reason Colorado right now
[07:21.160 --> 07:24.560]  is really going after the medical market.
[07:24.560 --> 07:26.600]  It's because our legislatures have decided
[07:26.600 --> 07:29.800]  that our medical marijuana loopholes
[07:31.360 --> 07:33.840]  are feeding that gray and black market
[07:33.840 --> 07:35.560]  out of state diversion.
[07:35.560 --> 07:37.480]  And that's one of the Cole Memo points
[07:37.480 --> 07:40.880]  that really brings down federal intervention
[07:40.880 --> 07:43.160]  is when stuff's going out of state.
[07:43.160 --> 07:46.320]  And so the Cole Memo, it's literally just that,
[07:46.320 --> 07:47.480]  it's a memo.
[07:47.480 --> 07:50.440]  It's not a law that was voted on or passed.
[07:50.440 --> 07:53.920]  It's not part of any official set of rules.
[07:53.920 --> 07:58.040]  It's just an official guideline basically
[07:58.040 --> 08:00.600]  for the federal enforcement of marijuana laws.
[08:00.600 --> 08:01.960]  Couple of bosses talked and said,
[08:01.960 --> 08:04.240]  hey, that employee sucks, watch him.
[08:04.240 --> 08:05.320]  Kind of. There's no note made.
[08:05.320 --> 08:06.160]  Or there was a note.
[08:06.160 --> 08:07.320]  There's a note between two employees.
[08:07.320 --> 08:10.040]  Yeah, I mean, it's not official.
[08:10.040 --> 08:11.480]  It wasn't.
[08:11.480 --> 08:13.640]  There was a note but not an email?
[08:13.640 --> 08:15.000]  Kind of.
[08:15.000 --> 08:17.360]  Well, it went out in a very official way.
[08:18.440 --> 08:23.440]  It was released as how the Obama administration
[08:23.840 --> 08:28.640]  would choose to spend federal resources coast to coast.
[08:28.640 --> 08:30.000]  There's a limited amount of money
[08:30.000 --> 08:32.800]  that the feds have to do anything.
[08:32.800 --> 08:35.480]  There's a limited number of people in man hours
[08:35.480 --> 08:39.600]  and they can't go after everybody who's breaking every rule.
[08:39.600 --> 08:41.880]  And so they have to pick and choose.
[08:41.880 --> 08:46.040]  And yes, it would be easy for states, federal prosecutors
[08:46.040 --> 08:51.040]  to just round up large numbers of legal marijuana employees
[08:51.560 --> 08:54.680]  and say, look at me, they're breaking federal law.
[08:54.680 --> 08:57.520]  But that wouldn't be a good use of their time,
[08:57.520 --> 09:02.060]  their man hours, all of that effort, money, courtroom time.
[09:02.060 --> 09:03.560]  All of that could go to things
[09:03.560 --> 09:05.800]  like an interstate sex trafficking ring.
[09:05.800 --> 09:07.760]  But instead you went after the stores
[09:07.760 --> 09:09.040]  that were following state rules.
[09:09.040 --> 09:10.260]  That's a bad idea.
[09:10.260 --> 09:12.420]  It was just a memo that said don't bother.
[09:13.680 --> 09:15.920]  This is why if you've been listening to the show
[09:15.920 --> 09:19.600]  for a while, especially leading up to last year's election,
[09:19.640 --> 09:21.880]  I really, really, really pushed listeners
[09:21.880 --> 09:24.240]  to get involved, get registered to vote,
[09:24.240 --> 09:27.360]  start going to local governance meetings,
[09:27.360 --> 09:29.360]  at least start reading the politics section
[09:29.360 --> 09:32.140]  of the newspaper, start getting caught up
[09:32.140 --> 09:35.500]  on some of this stuff because the protections
[09:35.500 --> 09:39.020]  that are in place for this massive legal marijuana industry
[09:39.020 --> 09:43.640]  that we're building coast to coast are not set in stone.
[09:43.640 --> 09:46.040]  One of them's a memo and one of them's an amendment
[09:46.040 --> 09:47.680]  in a spending bill and we'll talk about that
[09:47.680 --> 09:48.800]  in a little bit.
[09:49.360 --> 09:50.680]  The Cole memo was just that.
[09:50.680 --> 09:52.360]  It was just a guidance memo.
[09:55.200 --> 09:58.480]  We've been expecting, people like me have been expecting
[09:58.480 --> 10:00.280]  our Attorney General Jeff Sessions
[10:00.280 --> 10:03.760]  to rescind this for months now.
[10:03.760 --> 10:06.720]  He hates marijuana.
[10:06.720 --> 10:08.680]  Most people hate cancer.
[10:08.680 --> 10:11.680]  Jeff Sessions hates marijuana a little bit more
[10:11.680 --> 10:13.160]  than most people hate cancer.
[10:14.120 --> 10:17.720]  You can pull up all sorts of crazy quotes
[10:17.720 --> 10:19.080]  from him about marijuana.
[10:19.080 --> 10:21.200]  The big one that's making the rounds right now
[10:21.200 --> 10:24.720]  is good people don't smoke marijuana.
[10:24.720 --> 10:27.680]  That's one of his one-liners that he's said
[10:27.680 --> 10:29.560]  a couple of times and has really been picked up
[10:29.560 --> 10:30.960]  and reposted.
[10:30.960 --> 10:32.780]  Colorado is a bad person.
[10:34.240 --> 10:37.800]  So the Cole memo basically said don't spend money
[10:37.800 --> 10:39.680]  on bothering cannabis businesses
[10:39.680 --> 10:41.640]  if the business is doing things legitimately.
[10:41.640 --> 10:43.700]  If they're legit, let them keep doing their thing.
[10:43.700 --> 10:46.240]  Refocus your funds and energy on other things.
[10:46.240 --> 10:49.660]  Mike decided to go with sex trafficking on the highway.
[10:49.660 --> 10:50.500]  Yeah.
[10:50.500 --> 10:52.600]  No interstate, not on the interstate.
[10:52.600 --> 10:54.840]  Okay, yeah, well anyway.
[10:54.840 --> 10:56.520]  Mike wants you to clean up the sex trafficking,
[10:56.520 --> 10:57.360]  which makes sense.
[10:57.360 --> 10:58.180]  Do that.
[10:58.180 --> 11:00.640]  Stop busting potheads, work on prostitution rings
[11:00.640 --> 11:03.080]  and child slavery and child sex trafficking.
[11:03.080 --> 11:03.920]  That's terrible.
[11:03.920 --> 11:05.400]  There's way more harm than that.
[11:05.400 --> 11:06.240]  Fix that.
[11:06.240 --> 11:10.440]  So this basically protected the marijuana industry,
[11:10.440 --> 11:12.200]  but it wasn't a rule or a law.
[11:12.200 --> 11:14.360]  It was just, hey, let's not fuck with them.
[11:14.360 --> 11:16.040]  Let's spend our money somewhere else.
[11:16.800 --> 11:17.720]  Mike says that there's more to that
[11:17.720 --> 11:19.560]  that we're gonna talk about in a minute,
[11:19.560 --> 11:21.760]  but that is the gist of the Cole memo.
[11:21.760 --> 11:25.440]  That sets us up to go to the next step of what happened.
[11:25.440 --> 11:26.820]  This asshole named Jeff Sessions
[11:26.820 --> 11:28.260]  gets involved in our government,
[11:28.260 --> 11:31.420]  and then he says, no more Cole memo.
[11:31.420 --> 11:32.700]  Fuck those weed heads.
[11:32.700 --> 11:33.540]  Is that accurate?
[11:33.540 --> 11:35.360]  He didn't say that, but basically he came out
[11:35.360 --> 11:37.040]  and gave us all a big middle finger.
[11:37.040 --> 11:41.140]  He uses close to terminology that he's allowed to.
[11:42.200 --> 11:45.800]  Like I said, he really hates cannabis in all forms
[11:46.560 --> 11:47.960]  and for all reasons.
[11:47.960 --> 11:50.760]  As far as he's concerned, this is an evil plot
[11:52.000 --> 11:56.080]  perpetrated with the goal of destroying America.
[11:56.080 --> 12:01.080]  And he's really invested in reversing marijuana policy
[12:02.800 --> 12:06.800]  coast to coast back to about 1990.
[12:06.800 --> 12:09.820]  Like that's his sweet spot in marijuana policy.
[12:10.880 --> 12:13.880]  No one really wants to see that other than him
[12:13.920 --> 12:16.040]  and a handful of hardcore anti-pop people.
[12:16.040 --> 12:18.380]  Right, and they all live in the same house.
[12:18.380 --> 12:20.520]  So this week he came out and said,
[12:20.520 --> 12:23.440]  we're gonna go ahead and officially rescind
[12:23.440 --> 12:25.160]  or cancel this memo.
[12:26.040 --> 12:30.560]  And that federal prosecutors will now go back
[12:30.560 --> 12:34.400]  to following just federal law as written
[12:34.400 --> 12:35.960]  when it comes to the enforcement
[12:35.960 --> 12:37.760]  of the Controlled Substances Act.
[12:37.760 --> 12:42.100]  And quote, that was basically his directive.
[12:42.100 --> 12:47.100]  And this had a lot of kind of immediate effects,
[12:48.220 --> 12:50.460]  but not the ones that the anti-pop crowd
[12:50.460 --> 12:51.500]  has been hoping for.
[12:52.340 --> 12:55.180]  So that's what I've got written is what happens next.
[12:55.180 --> 12:58.300]  The anti-pop crowd hopes that Trump waves a flag,
[12:58.300 --> 13:00.700]  the army comes in, they kick down the dispensary door,
[13:00.700 --> 13:02.020]  they arrest us, they detain us,
[13:02.020 --> 13:03.860]  they put us in FEMA camps, they come to the GRO,
[13:03.860 --> 13:04.940]  they clean up the GRO, they destroy all the plants.
[13:04.940 --> 13:06.860]  I've already read a couple of posts
[13:06.860 --> 13:08.860]  where they're like, why isn't the DEA
[13:08.860 --> 13:12.020]  arresting people yet from that crowd?
[13:12.740 --> 13:14.060]  And that's not at all what's gonna happen.
[13:14.060 --> 13:16.900]  So if you were wondering if that's what's gonna happen next,
[13:16.900 --> 13:20.040]  that's not what's gonna happen next.
[13:22.340 --> 13:27.340]  This is kind of an attack or a swipe aimed at investors.
[13:28.620 --> 13:30.220]  California was just about to,
[13:30.220 --> 13:31.820]  or just came online on Monday,
[13:31.820 --> 13:34.620]  and I think this happened Wednesday or Thursday.
[13:34.620 --> 13:38.220]  So all of the people who were waiting to see
[13:38.220 --> 13:39.820]  how the rollout of California's
[13:39.820 --> 13:41.500]  illegal marijuana business went
[13:42.860 --> 13:46.460]  before really jumping in with both feet investment-wise
[13:46.460 --> 13:49.180]  have now had somebody from the federal government say,
[13:49.180 --> 13:50.500]  you might not want to.
[13:51.500 --> 13:54.220]  And likely one of the immediate repercussions
[13:54.220 --> 13:57.460]  of this move by Attorney General Sessions
[13:57.460 --> 14:02.460]  is that investment in newly emerging marijuana markets
[14:02.980 --> 14:04.260]  is gonna be a lot slower.
[14:05.860 --> 14:09.660]  For California, this is especially kind of problematic
[14:10.500 --> 14:13.500]  because of how their rollout is scheduled to progress.
[14:13.500 --> 14:17.780]  Huge amounts of California have passed bans
[14:17.780 --> 14:20.540]  on legal marijuana businesses
[14:20.540 --> 14:24.020]  until the state rolls out rules and regs
[14:24.020 --> 14:29.020]  and spells out what local municipalities can weigh in on.
[14:29.020 --> 14:31.940]  And then the local area will pass their rules
[14:31.940 --> 14:34.340]  and then they'll allow the industry.
[14:34.340 --> 14:36.340]  And so we've only hit that first step yet.
[14:36.340 --> 14:39.300]  California said, here's what we're gonna require.
[14:39.940 --> 14:42.140]  And that's just now starting to come online.
[14:42.140 --> 14:44.740]  A few areas in California have already jumped on it
[14:44.740 --> 14:47.060]  and said, we're gonna allow this from day one.
[14:47.060 --> 14:50.540]  They've already got licensing protocol in place.
[14:50.540 --> 14:52.980]  Other areas have decided to wait a year or two
[14:52.980 --> 14:55.420]  before they jump into the rollout.
[14:55.420 --> 14:57.820]  And all of those areas now are gonna be facing
[14:57.820 --> 15:01.340]  a very different investment market than they would otherwise.
[15:01.340 --> 15:02.480]  And that's sort of the point.
[15:02.480 --> 15:07.480]  The Antipod Group, Project Sam, their head Kevin Sebette,
[15:08.160 --> 15:10.440]  this is what he pushed for and why.
[15:10.440 --> 15:13.420]  He wanted to take some of the money support out.
[15:13.420 --> 15:17.000]  And it looks like that might have already started to happen.
[15:17.000 --> 15:18.720]  Well, yeah, wouldn't you be scared if they're like,
[15:18.720 --> 15:20.480]  hey, you're not protected anymore?
[15:21.760 --> 15:22.920]  Yes and no.
[15:22.920 --> 15:24.360]  If you're playing with that type of money.
[15:24.360 --> 15:26.240]  We didn't have protection that,
[15:27.120 --> 15:29.360]  we didn't really have protection to begin with.
[15:29.360 --> 15:30.440]  We had a memo.
[15:32.100 --> 15:34.660]  And honestly, folks, you guys work
[15:34.660 --> 15:37.360]  in all sorts of different fields, I'm sure, listeners.
[15:38.320 --> 15:42.600]  Memo means memo across industries in the same way.
[15:42.600 --> 15:47.400]  Like when you get a memo, it's not like an update
[15:47.400 --> 15:51.400]  to the official company employee handbook even.
[15:51.400 --> 15:53.040]  It's just a memo saying like,
[15:53.040 --> 15:55.080]  hey, quit leaving your lunch in the fridge
[15:55.080 --> 15:56.520]  for two weeks until it rots.
[15:56.520 --> 15:58.240]  Quit playing nickel back in the trim room.
[15:58.240 --> 16:00.700]  Right, no more naps at lunch
[16:00.700 --> 16:02.520]  because nobody wakes up on time.
[16:02.520 --> 16:05.600]  That's memo worthy kind of guidance.
[16:05.600 --> 16:06.680]  And that's what this was.
[16:06.680 --> 16:07.520]  It was a memo.
[16:07.520 --> 16:09.960]  It was an official governmental memo
[16:09.960 --> 16:11.880]  from the Attorney General of the United States,
[16:11.880 --> 16:15.560]  but it was still just a memo.
[16:15.560 --> 16:18.960]  And so the amount of protection it gave us
[16:18.960 --> 16:20.300]  was really minimal.
[16:21.600 --> 16:23.520]  It was not at all permanent.
[16:23.520 --> 16:26.900]  And a lot of people like me have really continued
[16:26.900 --> 16:29.620]  to push the cannabis community to get involved
[16:29.620 --> 16:32.920]  and really push your local elected representatives
[16:32.920 --> 16:36.560]  to move our protections into something that is permanent.
[16:37.400 --> 16:38.240]  We need to change federal law.
[16:38.240 --> 16:39.800]  There's no reason cannabis should be listed
[16:39.800 --> 16:42.360]  as a Schedule I narcotic alongside heroin.
[16:43.480 --> 16:46.880]  There's no reason we should have federal prosecutors
[16:46.880 --> 16:48.860]  worried about marijuana, period.
[16:49.680 --> 16:51.560]  If this was legal, lots of things
[16:51.560 --> 16:53.080]  would be better and different.
[16:53.080 --> 16:56.020]  But to get that change made,
[16:56.020 --> 16:59.000]  we need mass support from the public.
[16:59.000 --> 17:02.540]  And that's kind of the other thing
[17:02.540 --> 17:04.120]  that's happening right now.
[17:04.640 --> 17:09.640]  Monday morning, legal cannabis wasn't under attack.
[17:09.800 --> 17:11.320]  This memo was in place.
[17:11.320 --> 17:13.200]  No one was talking about it.
[17:13.200 --> 17:16.960]  Last week, Jeff Sessions rescinded a whole bunch of memos,
[17:18.880 --> 17:21.560]  rolling back Obama-era guidance policies
[17:21.560 --> 17:23.360]  on a bunch of different stuff.
[17:23.360 --> 17:25.840]  And this wasn't included,
[17:27.160 --> 17:30.840]  which kind of gave California a nice little shot in the arm.
[17:30.840 --> 17:33.880]  But it was never permanent.
[17:34.780 --> 17:38.220]  But neither was, like, there was no attack going on,
[17:38.220 --> 17:43.220]  and so there was no sense of urgency to rally support for.
[17:43.600 --> 17:47.300]  And in the couple of days since this announcement's come out
[17:47.300 --> 17:50.640]  and that the call memo was rescinded officially,
[17:50.640 --> 17:53.120]  we've seen a huge amount of galvanization
[17:53.120 --> 17:55.180]  across the industry from coast to coast.
[17:56.160 --> 17:57.760]  There's been a couple of really cool things
[17:57.760 --> 17:59.120]  that have happened locally.
[18:01.120 --> 18:03.640]  With legislatures from both sides of the aisle,
[18:03.640 --> 18:06.640]  Republican, Democrat, I mean, hardcore Trump voters,
[18:06.640 --> 18:09.000]  like, wait, you said states' rights.
[18:09.000 --> 18:10.580]  They're jumping ship, and all of a sudden,
[18:10.580 --> 18:13.500]  they're willing to work with people across the aisle
[18:13.500 --> 18:16.120]  who they didn't want anything to do with on Monday morning,
[18:16.120 --> 18:18.840]  because this is an attack on something
[18:18.840 --> 18:21.760]  a whole lot of us have come to see as a great idea.
[18:23.480 --> 18:26.120]  And watching everybody sort of coalesce and come together
[18:26.120 --> 18:29.160]  has been really kind of encouraging this week.
[18:29.160 --> 18:30.720]  It has been neat watching everybody post
[18:30.720 --> 18:32.360]  the fuck sessions videos,
[18:32.360 --> 18:34.680]  or a picture of themselves session for sessions.
[18:34.680 --> 18:36.280]  That has been fun to see that support.
[18:36.280 --> 18:38.440]  Already, there's a couple of,
[18:38.440 --> 18:41.400]  I'm sure there's a petition or three on change.org.
[18:42.700 --> 18:45.840]  Already, there are a couple of really easy things you can do.
[18:45.840 --> 18:50.320]  I noticed the r slash trees forum on Reddit.
[18:50.320 --> 18:55.320]  One of the top posts immediately was a super easy format page
[18:55.600 --> 18:59.240]  for figuring out who your local elected representatives are
[19:00.200 --> 19:04.320]  in the House or the Senate, how to contact them.
[19:04.320 --> 19:07.360]  And then they even gave you a couple of paragraphs.
[19:07.360 --> 19:10.280]  If you're not the type of person who wants to sit down
[19:10.280 --> 19:12.200]  and write a letter to your congressman,
[19:12.200 --> 19:14.360]  they gave you a real simple letter saying,
[19:14.360 --> 19:16.920]  hey, Jeff Sessions did this.
[19:16.920 --> 19:18.200]  This is unacceptable.
[19:18.200 --> 19:20.080]  I support legalization.
