[00:00.000 --> 00:02.640]  Are you ready? I'm ready. Let's do this.
[04:49.340 --> 04:51.340]  Where are we gonna go from there?
[04:51.380 --> 04:56.620]  New camera settings. I don't know if you notice but I notice it. I am recording with a brand new camera setting
[04:56.620 --> 05:01.980]  I'm still learning this Sony a 64 cam if you love or hate this camera setting. Let me know
[05:01.980 --> 05:06.780]  I don't know what's going to look like until I start doing color correcting what I see on my little screen
[05:06.780 --> 05:09.180]  There is always different compared to what I see on my big screen
[05:09.180 --> 05:11.720]  There will be some color correcting some editing to be done
[05:11.980 --> 05:15.980]  The bottom line is I'm using a new setting if you hate it. Let me know if you love it
[05:15.980 --> 05:17.780]  Let me know I may take your feedback
[05:17.780 --> 05:20.460]  I may just keep doing my own thing, but I'd like to know what you think
[05:20.460 --> 05:23.660]  I'd like to know if you liked it before now or just give me some feedback
[05:23.660 --> 05:28.700]  I'm still learning this equipment your input means a lot to me. You're the one watching so let me know what you think
[05:29.020 --> 05:30.300]  Where are we going from there?
[05:30.300 --> 05:34.860]  The next important thing to talk about is cannabis if you're following me on cannabis
[05:34.860 --> 05:40.180]  You know that cannabis has recently changed the way they do their direct messaging until yesterday
[05:40.180 --> 05:43.740]  You were able to direct message anybody else on the cannabis app
[05:43.740 --> 05:48.420]  I let me back up cannabis is a free application available for your Android or Apple device
[05:48.540 --> 05:51.260]  It's a cannabis friendly social media application
[05:51.260 --> 05:56.100]  You can't buy sell or trade cannabis there, but you can post your cannabis related content
[05:56.100 --> 05:57.380]  You can post your dab videos
[05:57.380 --> 06:04.580]  You can post your garden pictures post all kinds of cannabis related content and unlike many of the other popular social media platforms
[06:04.580 --> 06:05.980]  You will not be scrutinized
[06:05.980 --> 06:06.480]  however
[06:06.480 --> 06:09.340]  If you do go post in a bunch of booty pics and a bunch of porn and stuff
[06:09.340 --> 06:13.460]  They will politely ask you to stop doing that because that is not what the app is for
[06:14.060 --> 06:16.380]  Some people have taken advantage of the app
[06:16.380 --> 06:23.020]  They have found some loopholes and they begin direct messaging people and asking for money and sending porn and a bunch of spam
[06:23.020 --> 06:28.660]  So cannabis was forced to minimize the direct messaging interactions
[06:28.660 --> 06:32.540]  What they have done is now you can only message somebody if you are mutually
[06:33.220 --> 06:39.380]  Mutually following each other which means I have to follow you and you have to follow me if we want to direct message each other. I
[06:40.940 --> 06:46.860]  No offense to anybody's account. I don't want to follow all 30,000 of the people on cannabis that makes my feed a mess
[06:47.220 --> 06:52.020]  We are selective about who we follow because we want to see certain pictures. That's what social media is for
[06:52.020 --> 06:58.220]  I want to see certain things. It's not that I don't want to see your pics. It's just I'm more focused on certain people's content
[06:58.220 --> 07:02.060]  It's curated content for what I like. I don't want to be required to follow
[07:02.060 --> 07:07.600]  I think there are about 30 to 40 thousand users on cannabis. I'm not gonna follow 40,000 people
[07:07.600 --> 07:12.040]  I was following about 60 because I enjoy those accounts. It's a new app. They're still building accounts
[07:12.060 --> 07:17.020]  My point is I cannot direct message with you unless we are mutually following each other
[07:17.020 --> 07:24.820]  So it is drastically and greatly limited the amount of interactions I can have on cannabis. I'm not ignoring you. I'm not blocking you
[07:24.820 --> 07:30.280]  I'm not dodging you that is a feature that had to be turned on on cannabis to protect the cannabis community
[07:30.280 --> 07:34.980]  I will admit I was upset. I was frustrated at first. I felt like I was being cock-blocked
[07:34.980 --> 07:39.620]  I felt like a lot of my interactions were going to be limited. I felt like I kind of abandoned my community
[07:39.620 --> 07:42.780]  I've got an open-door policy if you send me a message on cannabis
[07:42.780 --> 07:46.640]  It may take me a couple of days, but I will reply to that message up until now now
[07:46.640 --> 07:51.280]  I won't even get your message, but I feel like I blocked off a large member of my community
[07:51.280 --> 07:55.160]  I was on cannabis from the beginning a lot of people really appreciated the interactions
[07:55.160 --> 08:00.520]  We were having there and now those interactions are not possible. It was necessary at first
[08:00.520 --> 08:06.920]  I was upset now. I understand it was necessary. Our community was at risk people were getting spammed people were getting scammed
[08:07.280 --> 08:13.520]  There was content happening that we did not support or promote or condone on cannabis. So corrections needed to be made
[08:13.520 --> 08:15.120]  This is only temporary
[08:15.120 --> 08:19.160]  The development team is working on new things to get us around this problem
[08:19.160 --> 08:24.780]  But until then we're going to have to minimize the way we message each other. This may not affect a lot of users
[08:24.780 --> 08:28.280]  I have a larger account than many folks on there
[08:28.280 --> 08:30.040]  So my account was affected more by this
[08:30.040 --> 08:35.580]  But it will affect everybody who was relying on me for a grow question if we were having a conversation or something
[08:35.580 --> 08:39.040]  We can't communicate now. So that is limited us. I do apologize
[08:39.040 --> 08:41.800]  There is a way around this until this is fixed
[08:41.800 --> 08:45.080]  If you've got an urgent grow question that you were going to ask me on cannabis
[08:45.080 --> 08:46.920]  All you have to do is send me an email
[08:46.920 --> 08:52.300]  My email address of course is grow from your heart at hotmail.com that will get to me
[08:52.600 --> 08:59.040]  Also, I am getting a ton of emails from the help tab on the website. I am NOT ignoring you
[08:59.040 --> 09:01.160]  It's the Christmas season. It's the holiday season
[09:01.160 --> 09:07.480]  I'm simply overwhelmed by all of those messages and Christmas shopping and life and family stuff
[09:07.480 --> 09:11.520]  I'm not ignoring anybody. I love all of you like my own children like my own pets
[09:11.520 --> 09:15.280]  I will answer all of those messages. Just be patient with me, please
[09:15.280 --> 09:17.820]  There are thousands of you and there's one of me
[09:17.820 --> 09:19.760]  I'm doing my best to get to all of you
[09:19.760 --> 09:23.560]  You all mean the world to me without each and every one of you this wouldn't be the success
[09:23.560 --> 09:27.660]  It is I wouldn't be successful. My show wouldn't be successful. My brand wouldn't be crushing it
[09:27.660 --> 09:31.600]  So I do appreciate love and respect all of you, but you've got to be patient with me, please
[09:31.600 --> 09:35.460]  I will get to you. So if you can't message me on cannabis
[09:35.780 --> 09:40.240]  Please do not abandon cannabis people are saying I'm ditching the service because of this don't do that
[09:40.240 --> 09:46.320]  This is a temporary problem that will have a real solution and things will be much better. Once that solution comes
[09:46.320 --> 09:50.460]  I know that cannabis is working on quite a few updates that are coming in the future
[09:50.460 --> 09:57.040]  The development team take some time to get stuff going it costs money to do things all of this stuff and kovat is slowing everything
[09:57.040 --> 10:03.380]  Down so once they get the messaging fixed also another feature that is coming is the live chat
[10:03.380 --> 10:07.900]  I can do a live video on cannabis and I can go talk and I can hang out but you guys cannot chat and interact
[10:07.900 --> 10:10.260]  With me in the future that will be interactive
[10:10.260 --> 10:14.440]  I'll be able to see the comments you're leaving and I can reply to them just like that other app that I use on Mondays
[10:14.480 --> 10:18.960]  So, please don't abandon cannabis. I know it's frustrating to be limited
[10:18.960 --> 10:23.980]  I know there are some weird things happening. Don't get frustrated and ditch us now now is when we need you
[10:23.980 --> 10:29.500]  Please stick around. So just simply email me at grow from your heart at hotmail.com. I will get back to you
[10:29.500 --> 10:31.500]  It's going to take me a moment because I've got
[10:31.580 --> 10:36.660]  Thousands of messages in my inbox. I will answer every single one of them individual. I don't have a secretary
[10:36.660 --> 10:41.060]  I don't have an intern. I don't have a social media person. It is me
[10:41.060 --> 10:46.100]  I read genetics is me the grow from your heart podcast is me and you guys so we've got to work together
[10:46.100 --> 10:51.560]  It's all us together. So let's work together. Be patient with me guys. I do love you and I'm going to get to your messages
[10:52.820 --> 10:56.940]  If you feel like the message was super urgent message me again get it to the top of the list
[10:57.900 --> 11:04.140]  Please don't just keep doing that though. If your garden is in fucking dire trouble message me again. We'll get you going also
[11:04.820 --> 11:05.900]  I
[11:05.900 --> 11:09.660]  Want to send a big thank you to just a far eye on the last episode
[11:09.660 --> 11:13.100]  I said that I wanted a little logo this little logo that is right here
[11:13.100 --> 11:15.600]  I don't know where it is yet because it's not in the video yet, obviously, right?
[11:15.600 --> 11:18.500]  It'll be there after editing but the little logo that's right about here
[11:18.500 --> 11:22.060]  That looks super slick on the screen right now that came from our friend just a far eye
[11:22.300 --> 11:25.100]  Thank you for the the very quick submission
[11:25.100 --> 11:30.020]  I think I pressed go on that episode and as soon as it launched to iTunes and YouTube just afar
[11:30.020 --> 11:33.900]  I was like, oh you wanted a logo. Here you go, bro. So big shout out, bro. I do appreciate you
[11:33.900 --> 11:38.840]  You do amazing work. I got a lot of submissions. I'm going to cycle through all of them
[11:39.420 --> 11:42.640]  Justify I was right on top and I loved it. So his is going up today
[11:42.640 --> 11:48.140]  I will cycle through all of the submissions I got I'll put a bunch of different logos up on the screen over time
[11:48.140 --> 11:51.860]  We'll see which one sticks the best and we will continue to use that one for the long term
[11:51.900 --> 11:53.900]  But I'm going to audition them slowly
[11:54.260 --> 11:59.080]  Thank you to everybody who sent me cool little GF y HTV logos
[11:59.080 --> 12:05.720]  Some people sent multiple options some people did edits and corrections super cool. Thank you. I appreciate it this time
[12:05.720 --> 12:11.320]  We're gonna use jaw stuff our eyes little logo right here on the screen. Thank you, bro. That means a lot to me
[12:11.620 --> 12:18.700]  All right. Um, where are we gonna go from there? I wrote mid topic. This isn't the main topic. This is the pre main topic
[12:19.300 --> 12:23.380]  Recently somebody was saying that if cannabis was going to minimize messaging
[12:23.380 --> 12:28.220]  Maybe we should do discord and then I opened up my message box and I got this message
[12:28.220 --> 12:32.180]  We're just gonna jump right into it. It goes. Oh, I got the wrong one on top of the paper here
[12:32.180 --> 12:36.140]  Let me fix that. It's alright. I'm only human. This one goes like this. It says hey Jeff
[12:36.140 --> 12:40.000]  I am a patreon contributor of the 710 Club and I'm listening to episode
[12:41.020 --> 12:47.400]  586 I am a disabled veteran with PTSD from deployments in the army. Thank you for your service my friend
[12:47.400 --> 12:53.440]  It says I am the opposite of most of your veteran emails. I am NOT looking for someone to help me out rather
[12:53.440 --> 12:59.520]  I am looking to help out other veterans in your group. This is in reference to I asked
[12:59.820 --> 13:04.980]  so a while back we asked to get help for a grow light for a veteran in need and
[13:05.880 --> 13:09.380]  Our friends at black sale market shout out to Keith from black sale market
[13:09.380 --> 13:16.540]  Keith was able to donate a light to a disabled veteran in need and that veteran got seeds and a light and a lot of
[13:16.540 --> 13:21.480]  Useful advice and they are now growing with a Canon LED light. Thanks to a very
[13:22.000 --> 13:28.200]  Generous contribution from our friend at black sale market. So this veteran wants to kind of continue that trend
[13:28.760 --> 13:35.100]  It says growing this plant the past few years has saved my life and helped me to stop drinking non-stop
[13:35.100 --> 13:40.080]  I understand that to be quite honest with you before I got my medical marijuana card
[13:40.080 --> 13:43.940]  I was a sloppy drunk when I got my medical marijuana card
[13:43.940 --> 13:48.800]  I told myself if I get this card and I can go to the weed store every day and buy as much cannabis as I
[13:48.800 --> 13:52.660]  Want there's no reason to drink and at that point I quit drinking
[13:52.820 --> 13:59.980]  So in a similar sense cannabis saved my life because if I would have kept drinking I would be dead or in jail or would
[13:59.980 --> 14:04.160]  Have hurt somebody I probably would have gotten a DUI by now. It would have gotten in a fight
[14:04.160 --> 14:06.380]  I would have done something stupid with as much as I drank
[14:06.380 --> 14:12.300]  I'm six foot five and nearly 200 pounds me and whiskey were good friends that that shit did not work out very well toward the
[14:12.300 --> 14:15.080]  End of the night. So yeah, I do agree with you that
[14:15.780 --> 14:21.420]  Quitting alcohol and switching over to cannabis full-time probably saved both of our lives. So it's good to hear that brother
[14:21.420 --> 14:24.740]  I'm glad you were alcohol free and I'm glad you're on team cannabis with us
[14:24.740 --> 14:30.120]  It says I wonder if the DGC could help get a discord group started for your podcast, too
[14:30.120 --> 14:33.620]  That's a good platform for a lot of us to chat and get help from each other
[14:33.620 --> 14:38.660]  I'm a successful home grower in prohibition land looking forward to possibly linking up with other
[14:39.060 --> 14:44.260]  Veteran growers stay lifted from our friend pro brewer home grower
[14:44.260 --> 14:48.580]  So you might be making some beer which is still cool if you're making some beers and consuming it responsibly
[14:48.580 --> 14:49.260]  That's just fine
[14:49.260 --> 14:53.620]  Do your thing there as long as you're not drinking to fucking blackout and to cause problems and get away from problems
[14:53.700 --> 15:00.220]  Then you're cool, but I really enjoy this message. I love that a veteran is reaching out to help other veterans
[15:00.220 --> 15:01.580]  I think that that is really cool
[15:01.580 --> 15:05.800]  This is where the grow from your heart podcast and the ivory army come into play
[15:06.240 --> 15:13.520]  One of our good friends was kind enough to create us a irie genetics grow from your heart irie army
[15:13.920 --> 15:18.640]  Discord page. I don't know what the correct terminology is for discord. I am learning discord
[15:18.640 --> 15:20.600]  I spent a couple hours on there today
[15:20.600 --> 15:22.360]  There's a lot going on on that app
[15:22.360 --> 15:28.400]  But there are also a lot of cool people on that app the irie genetics grow from your heart group is growing quite rapidly
[15:28.800 --> 15:33.840]  Big shout out to our friend gray beard gray beard took the initiative to create the irie genetics
[15:33.840 --> 15:39.000]  Irie army grow from your heart discord page channel, whatever it is. It was created by gray beard
[15:39.000 --> 15:42.080]  He did it all then sent me a message and said hey, I did this
[15:42.080 --> 15:44.680]  I hope you're cool with that join us and I was like, bro. I asked for that
[15:44.680 --> 15:46.640]  So, thank you big salute to gray beard
[15:46.640 --> 15:52.520]  That does mean a lot to me also shout out to lemur priest the captain and commander of the irie army for being the main
[15:52.520 --> 15:54.520]  moderator in the discord group
[15:54.880 --> 15:58.320]  So where I am headed with this is I am now part of a discord group
[15:58.320 --> 16:01.480]  There's an irie genetics irie army grow from your heart discord group
[16:01.480 --> 16:07.160]  That does exist as soon as I read this message. I sent a little message to lemur priest and it said hey, bro
[16:07.160 --> 16:11.640]  We need to get a group in the discord group that helps get gear to veterans
[16:11.680 --> 16:16.120]  So now by the time you hear this message on discord, this will be a thing
[16:16.520 --> 16:23.100]  Join us on discord make an account find the irie genetics. Irie army grow from your heart group and jump in
[16:23.100 --> 16:28.560]  I am still learning the app. I know that as you scroll you will see a spot that says grow gear for vets
[16:28.720 --> 16:34.720]  Click on that that'll take you to the feed where you can talk to people who are in need or have gear to donate to
[16:34.720 --> 16:41.960]  Veterans I also do intend to create a Facebook group for the same purpose. It doesn't have a name yet. I'm in talks
[16:41.960 --> 16:44.160]  I'm making sure I'm going to do this legally
[16:44.160 --> 16:48.240]  I'm talking to my accountant and a paralegal making sure that I don't get myself in any trouble
[16:48.840 --> 16:52.240]  Just by starting the group if something goes wrong, it could land on me
[16:52.240 --> 16:54.600]  So I'm going to find my legal boundaries there
[16:54.600 --> 16:57.920]  Then I will start the Facebook group to help get veterans gear
[16:57.920 --> 17:04.440]  It will be something about the grow from your heart gear for vets something like that will be in the Facebook group name
[17:04.440 --> 17:05.920]  I will make that
[17:05.920 --> 17:08.520]  By the time this episode comes out that will be completed
[17:08.520 --> 17:10.800]  I have a phone call tomorrow that will let me know what I need to do
[17:10.960 --> 17:16.820]  So big shout out to gray beard for starting the discord shout out to lemur priest
[17:17.040 --> 17:22.800]  For kind of moderating that big shout out to everybody who already joined the discord when I was on there today
[17:22.800 --> 17:26.480]  There was a bunch of people and then big super shout out to our friend pro brewer
[17:26.600 --> 17:32.240]  Home grower for being a veteran and wanting to reach out and help other vets. That is really super cool
[17:32.240 --> 17:36.120]  So you guys join the discord group find the Facebook group that I will make
[17:36.280 --> 17:40.840]  I've got to find the legal guidelines and see how much trouble I can and cannot get in by doing this
[17:40.840 --> 17:46.760]  But I will make the group it will happen and we will get some gear into the hands of veterans in need these people
[17:46.800 --> 17:50.180]  Served our country like I've said before I don't agree with war
[17:50.180 --> 17:52.420]  I don't think shooting people and bombing people is cool
[17:52.620 --> 17:54.260]  But if somebody's got to do it
[17:54.260 --> 17:58.040]  I have huge respect for the people that put their lives on the line
[17:58.040 --> 18:01.780]  They sign up to go do that because if you start throwing grenades at me and shooting at me
[18:01.780 --> 18:07.980]  I'm running that way these gentlemen and ladies. They're running that way into the fucking fire. That is fucking brave
[18:07.980 --> 18:12.220]  That is honorable that is commendable. They've done a lot of work. Let's get them some gear
[18:12.220 --> 18:17.940]  Let's get them growing so they can treat their anxiety depression PTSD and not drink themselves into a stupor
[18:18.220 --> 18:23.580]  Not dole themselves out with a bunch of pills. Let's help the people who keep us free free freedom
[18:23.820 --> 18:28.340]  All right. Now let's move into did I cover all of that? Oh, I'm going to need volunteers
[18:28.340 --> 18:33.140]  I'm going to need volunteers for this Facebook group. Like I've said before I'm simply overloaded
[18:33.300 --> 18:39.340]  I'm trying to interact with all of the messages. I try to be responsible for a lot of things. I am in constant go mode
[18:39.340 --> 18:44.740]  I'm not complaining. I love it. That's idle hands or the devil's playground, especially me when I get bored
[18:44.740 --> 18:48.140]  I'm good at fucking up. So I try to stay busy keep myself out of trouble
[18:48.140 --> 18:54.020]  However, I will need volunteers to help me run this Facebook group. It's going to be kind of an autonomous thing
[18:54.020 --> 18:56.160]  Well, once I create it introduce a few people
[18:56.160 --> 19:01.380]  I want to be able to step back and let the group do its thing people give gear people receive gear
[19:01.380 --> 19:04.540]  So I may need volunteers to help moderate help run that
[19:04.540 --> 19:07.860]  Let me know if you're interested send me an email at grow from your heart at hotmail.com
[19:08.100 --> 19:10.780]  Or join the group and let me know that you are interested
[19:11.460 --> 19:16.900]  We may need help verifying veterans that may be one thing that we need to do we'll need help connecting veterans
[19:16.900 --> 19:22.540]  We'll need people with gear if you've got gear that you want to give away or donate or if you're a company that is willing
[19:22.540 --> 19:25.100]  To donate equipment we could use lighting
[19:25.100 --> 19:30.340]  Of course lights are usually the most expensive things to get to growers then we can use nutrients we can use soil
[19:30.340 --> 19:33.420]  We can use everything that you can donate for a grow
[19:33.420 --> 19:38.820]  I'm sure that there is somebody out there who needs that for their setup. So help us out you guys
[19:38.820 --> 19:45.540]  Please help us out on the discord and on the grow from your heart gear for vets Facebook group
[19:45.540 --> 19:49.700]  I think that is what I've got for that part big shout out to Jesse also Jesse
[19:50.100 --> 19:55.240]  Our friend Jesse has been on the show before actually just set up another veteran with another light
[19:55.240 --> 20:02.060]  So we've already got two lights in two veterans gardens and we haven't even started the grow from your heart gear for vets program yet
[20:02.060 --> 20:05.380]  So thank you guys for all of that support. Let's move forward to the next message
[20:05.380 --> 20:09.820]  Once again big shout out to my veteran friend pro brewer home grower
[20:09.820 --> 20:15.200]  I do appreciate the support and thank you for trying to help out your fellow vets and thank you once again for your service
[20:15.620 --> 20:19.740]  Let's move to a next message. This one comes from another person who is a veteran
[20:19.740 --> 20:24.020]  I didn't do that on purpose, but I've seen photos of this young man in his uniform
[20:25.100 --> 20:30.620]  This one just comes from Tonto and it goes just like this. It says hey, my name is and I'm not gonna read your real name
[20:30.620 --> 20:32.100]  brother
[20:32.100 --> 20:35.620]  Let's see. My name is Tonto from Alberta, Alberta, Canada
[20:35.740 --> 20:40.940]  Thanks to all of the hard work and audio material you have put out there at zero cost to everyone
[20:40.940 --> 20:47.500]  Which has given me the confidence and knowledge to switch from legal companies in Canada to a home medical
[20:48.140 --> 20:51.620]  Cultivation there's a lot in that first sentence there shout out to our friend Tonto
[20:51.780 --> 20:55.120]  He gets a lot of shout outs on the show great person beautiful family
[20:55.500 --> 21:00.080]  He said thanks for all of the hard work and audio material and video material Tonto
[21:00.080 --> 21:06.040]  Please check out the video check out YouTube subscribe to the YouTube channel that helps me out a lot, but at zero cost
[21:06.040 --> 21:12.400]  Yes, I put this house absolutely free. I do ask for patreon contributions, but if you're not able to contribute I don't block you
[21:12.400 --> 21:13.240]  I don't shy you away
[21:13.240 --> 21:18.880]  I still encourage you to listen and better your grow better yourself the people that pay for the patreon contributions
[21:18.880 --> 21:23.360]  They are covering you also, so thank you to them. Let me keep going
[21:23.360 --> 21:28.920]  It says I recently received my grow license from Health Canada and I can legally grow 25 plants
[21:29.320 --> 21:35.520]  Bro, that is nice here in Colorado. We get six recreational plants, and if you're a medical marijuana patient you get six more
[21:35.520 --> 21:39.440]  So we were allowed 12 plants per household. There's no tricks you can do to get more
[21:39.440 --> 21:43.200]  We used to be able to play some tricks and run some numbers and do some bangs and get some more
[21:43.200 --> 21:47.440]  They shut us down on all that so 25 is a good number, bro. That would be awesome
[21:47.440 --> 21:53.160]  It says no words or amount of money can show my gratitude for sharing so much knowledge with the community
[21:53.560 --> 21:58.440]  Bro this right here is what does it this interaction is what pays me back you saying?
[21:58.440 --> 21:58.960]  Thank you
[21:58.960 --> 22:04.520]  You sending me pictures to grow and of the family and how happy you are with the success you're having that stuff pays me back
[22:04.520 --> 22:09.560]  So don't worry too much about trying to pay me and you do contribute to patreon so you are paying me
[22:09.560 --> 22:13.000]  But still you don't owe me anything. This is a beautiful relationship
[22:13.280 --> 22:18.320]  It says your podcast is my number one way to consume and absorb information
[22:18.320 --> 22:20.320]  So from the bottom of my bottom of my heart
[22:20.520 --> 22:25.240]  Thank you for providing a foundation of knowledge for me to build on
[22:25.560 --> 22:32.520]  Did those statements that people send me like that that is currency to me you were you're knocking off all the fucking?
[22:32.680 --> 22:34.960]  Holiday stress that I had all the shopping bullshit
[22:34.960 --> 22:40.520]  I had to deal with all the fucking standing in line all the rushing around all the you wash that all away
[22:40.600 --> 22:46.220]  With these types of compliments, so thank you that stuff is currency that is payment that recharges my soul
[22:46.220 --> 22:48.220]  That's nutrients. So thank you
[22:48.980 --> 22:50.140]  I'm gonna keep going
[22:50.140 --> 22:55.900]  It says I hope that you and yours are doing well and safe in this time of uncertainty in our world history
[22:55.900 --> 22:59.820]  It is so weird right now, bro. I am well, my daughter's well, my mom as well
[22:59.820 --> 23:03.220]  I think everybody directly around us is pretty good. I hope you're well, too
[23:03.220 --> 23:05.380]  I think we're doing all right, but thank you
[23:05.380 --> 23:10.140]  It says I know a lot of people I have been and will continue to be hit very hard by Kovat. Yes
[23:10.780 --> 23:12.780]  my town is
[23:13.020 --> 23:17.820]  Infected half the people around here. I just said that I'm well my mom as well and my daughter as well
