[00:00.000 --> 00:02.120]  Greetings from podcastville.
[02:17.300 --> 02:18.140]  I really like it.
[02:18.140 --> 02:20.940]  The shampoo is what stands out the most for me.
[02:20.940 --> 02:23.500]  Cotton candy and shampoo, almost like strawberry shampoo.
[02:24.020 --> 02:26.140]  I think it's that old cheap strawberry swab shampoo.
[02:26.140 --> 02:27.100]  I dig it.
[02:27.100 --> 02:31.220]  On the back, it says it contains 54.84% THC
[02:31.220 --> 02:33.940]  and non-detectable amounts of CBD.
[02:33.940 --> 02:36.180]  I'm digging the Purple Starburst.
[02:36.180 --> 02:39.140]  Starburst spelled with a Z, so nobody gets sued.
[02:39.140 --> 02:44.060]  Z-T-A-R-B-U-R-S-T, Purple Starburst from Green Dot Labs.
[02:44.060 --> 02:46.060]  It's obviously got me stoned,
[02:46.060 --> 02:47.620]  and it's doing that shit to my throat.
[02:47.620 --> 02:49.400]  That passes through the show.
[02:49.400 --> 02:50.380]  Yeah, it's got me going.
[02:50.380 --> 02:51.220]  Mike, when you're on the show,
[02:51.220 --> 02:53.540]  something just makes us fucking ramble together.
[02:53.540 --> 02:55.660]  I bet if we were in school, they would have separated us.
[02:55.660 --> 02:57.980]  We would not have been allowed to have classes together.
[02:57.980 --> 02:58.940]  They'd be like, those two guys,
[02:58.940 --> 03:01.900]  we gotta keep those two guys coughing, separate them.
[03:01.900 --> 03:04.340]  We're bad influences on each other.
[03:04.340 --> 03:05.180]  This is the point of the show
[03:05.180 --> 03:06.340]  where we should do some shout-outs
[03:06.340 --> 03:08.060]  to a few of the folks who continue
[03:08.060 --> 03:10.460]  to support the show on Patreon.
[03:10.460 --> 03:11.620]  Let's start off with the big, giant
[03:11.620 --> 03:13.180]  Grow From Your Heart podcast.
[03:13.180 --> 03:15.580]  Thank you, shout-out to the hardest-working man in cannabis.
[03:15.580 --> 03:18.060]  Let's send a giant thank you shout-out to James Brown.
[03:18.060 --> 03:19.420]  I've always got a big thank you shout-out
[03:19.420 --> 03:20.860]  for Godfather Kush.
[03:21.500 --> 03:23.780]  Let's send a big high five and a fist bump to Brett G.
[03:23.780 --> 03:26.500]  I always wanna send a big thank you shout-out to Jacob W.
[03:26.500 --> 03:28.340]  How about a big thank you to Kurt Z.
[03:28.340 --> 03:30.740]  How about a giant shout-out to Captain Mojo.
[03:30.740 --> 03:32.180]  We've always got a big thank you shout-out
[03:32.180 --> 03:34.940]  for everybody busting their ass out there at Hogan's Farms.
[03:34.940 --> 03:37.260]  Big thank you to my friend Melvin818.
[03:37.260 --> 03:39.700]  Big fist bump and a thank you shout-out to Dayron.
[03:39.700 --> 03:42.460]  Got a big thank you shout-out and a high five to Josiah.
[03:42.460 --> 03:44.060]  I've got a big fat thank you shout-out
[03:44.060 --> 03:48.180]  and a big fat dab for Giant Mike and the Dabbing Queen.
[03:48.180 --> 03:50.740]  Big thanks, big shout-out, big fist bump
[03:50.740 --> 03:53.060]  to everybody who continues to support the show.
[03:53.060 --> 03:55.660]  If you're not already supporting the show on Patreon
[03:55.660 --> 03:56.620]  and you would like to do so,
[03:56.620 --> 04:00.940]  all you have to do is visit www.patreon.com
[04:00.940 --> 04:02.900]  forward slash grow from your heart.
[04:02.900 --> 04:04.060]  All of the information you need
[04:04.060 --> 04:05.580]  will be right there on the screen.
[04:05.580 --> 04:08.020]  And also let me encourage you to support my friend
[04:08.020 --> 04:09.980]  White Mike on Patreon.
[04:09.980 --> 04:10.820]  It's really easy.
[04:10.820 --> 04:14.300]  Go to patreon.com forward slash White Mike.
[04:14.300 --> 04:16.100]  Contribute to White Mike's Patreon account.
[04:16.100 --> 04:17.140]  Show him some love.
[04:17.140 --> 04:19.260]  He's a great contributor to the podcast.
[04:19.260 --> 04:21.180]  He's a great contributor to the cannabis industry
[04:21.180 --> 04:22.180]  and community.
[04:22.180 --> 04:23.500]  So help out my bro.
[04:23.500 --> 04:24.340]  Thank you, Mike.
[04:24.340 --> 04:25.580]  I do appreciate you.
[04:25.580 --> 04:26.740]  Thanks, man.
[04:26.740 --> 04:29.500]  And thank you for everybody that's contributed so far.
[04:29.500 --> 04:31.980]  Yes, thank you to everybody who helps out Mike and myself.
[04:31.980 --> 04:33.340]  We do appreciate it.
[04:33.340 --> 04:35.500]  And I am working on freeing up more time
[04:35.500 --> 04:38.140]  so I can make even better and more content.
[04:38.140 --> 04:41.980]  And the Patreon contributions, money does buy time sometimes.
[04:41.980 --> 04:43.180]  So it's really helping.
[04:43.180 --> 04:44.340]  That's, yeah, that is helping out.
[04:44.340 --> 04:45.180]  So thank you guys.
[04:45.180 --> 04:46.940]  And it keeps all this fancy equipment going.
[04:47.740 --> 04:49.980]  You guys bought Mike's recording equipment through Patreon.
[04:49.980 --> 04:51.340]  So thank you guys for that.
[04:51.340 --> 04:52.180]  Appreciate it.
[04:53.100 --> 04:55.300]  Something I should mention about Patreon questions
[04:55.300 --> 04:56.500]  and comments and shout outs.
[04:56.500 --> 04:58.180]  I do promise to give people shout outs
[04:58.180 --> 05:01.340]  if they contribute to the Patreon campaign.
[05:01.340 --> 05:02.980]  I also promise to read their emails
[05:02.980 --> 05:04.500]  and answer their questions.
[05:04.500 --> 05:06.980]  A lot of people have sent me a lot of great questions
[05:06.980 --> 05:07.900]  and emails.
[05:07.900 --> 05:09.980]  They do not realize that we are recorded
[05:09.980 --> 05:11.780]  several weeks ahead at this time.
[05:11.780 --> 05:14.540]  I think we are three weeks ahead of ourselves in podcasting.
[05:14.540 --> 05:16.700]  So I need to take a break and let us catch up
[05:17.460 --> 05:18.860]  so that the emails are fresher.
[05:18.860 --> 05:20.380]  But your messages are coming.
[05:20.380 --> 05:22.100]  I did not forget you.
[05:22.100 --> 05:22.940]  You just gotta be patient.
[05:22.940 --> 05:24.660]  I only read like three or four per show
[05:24.660 --> 05:26.620]  and I probably get 25 per week.
[05:26.620 --> 05:29.060]  So the math means that I'm always going to fall behind.
[05:29.060 --> 05:29.900]  I'm not complaining.
[05:29.900 --> 05:31.140]  That means I've always got content.
[05:31.140 --> 05:34.060]  When the apocalypse comes, still got emails to read.
[05:34.060 --> 05:34.900]  It's not a bad thing.
[05:34.900 --> 05:36.580]  We just, patience, please.
[05:36.580 --> 05:38.060]  Yes, quality takes time.
[05:38.060 --> 05:39.460]  And I'm going to get to your message.
[05:39.460 --> 05:41.380]  I'm going to get to your Patreon shout outs.
[05:41.380 --> 05:42.340]  We're just ahead.
[05:42.340 --> 05:45.220]  So if you sent me a message in June,
[05:45.260 --> 05:47.460]  I just now, we haven't even gotten,
[05:47.460 --> 05:48.820]  we're already, I'm already recorded
[05:48.820 --> 05:49.980]  almost halfway through June.
[05:49.980 --> 05:51.820]  So it's going to be, I think you understand
[05:51.820 --> 05:52.660]  what I'm trying to say.
[05:52.660 --> 05:53.500]  My brain got ahead of my mouth,
[05:53.500 --> 05:55.660]  but I think my mouth got ahead of my brain.
[05:55.660 --> 05:56.900]  Either way, we're recorded ahead.
[05:56.900 --> 05:58.860]  So don't feel offended if I skipped your question,
[05:58.860 --> 06:00.180]  haven't gotten to your question yet,
[06:00.180 --> 06:01.900]  haven't given you a Patreon shout out.
[06:01.900 --> 06:03.020]  It's coming.
[06:03.020 --> 06:03.860]  Don't feel slighted.
[06:03.860 --> 06:04.900]  Don't feel offended.
[06:04.900 --> 06:06.420]  Don't cancel your Patreon subscription.
[06:06.420 --> 06:07.700]  That shit's coming up.
[06:07.700 --> 06:08.540]  Be patient.
[06:08.540 --> 06:09.660]  And that means that you got a whole,
[06:09.660 --> 06:11.620]  like a whole month of Patreon shout outs coming up
[06:11.620 --> 06:13.660]  if you've paid for a Patreon shout out.
[06:13.660 --> 06:15.260]  I think that covers that part of the business.
[06:15.260 --> 06:17.100]  Another thing I wanted to mention is,
[06:17.100 --> 06:20.420]  today I had the honor of recording on the Growcast
[06:20.420 --> 06:22.620]  with Jordan from the Growcast.
[06:22.620 --> 06:23.580]  That was a really good time.
[06:23.580 --> 06:25.100]  I had a fucking really fun chat,
[06:25.100 --> 06:28.020]  a really fun chat pre-recording and recording with him.
[06:28.020 --> 06:30.140]  I think that dude is a great recorder,
[06:30.140 --> 06:31.780]  a great podcaster and had a good time.
[06:31.780 --> 06:34.140]  So in the future, make sure you guys look forward
[06:34.140 --> 06:37.540]  to myself on the Growcast with Jordan River.
[06:37.540 --> 06:39.580]  If you're not already listening to the Growcast,
[06:39.580 --> 06:40.940]  make sure you download that.
[06:40.940 --> 06:42.420]  I think it is on Spotify.
[06:42.420 --> 06:44.500]  I know it's on Apple Podcasts
[06:44.500 --> 06:47.300]  and I think it's on most of the other podcast servers.
[06:47.300 --> 06:50.940]  He did agree to come be on my show on a video format.
[06:50.940 --> 06:53.420]  So in the future, look forward to myself
[06:53.420 --> 06:54.780]  interviewing Jordan River.
[06:54.780 --> 06:56.500]  Mike, if you'd like to tag team and join in,
[06:56.500 --> 06:57.660]  you're always invited.
[06:57.660 --> 06:58.940]  So that'll be a cool show.
[07:00.420 --> 07:02.940]  Now that we've got this Zoom recording mastered, man,
[07:02.940 --> 07:04.220]  the sky's the limit.
[07:04.220 --> 07:05.180]  Right?
[07:05.180 --> 07:07.380]  Yeah, I think we're really doing a lot better.
[07:07.380 --> 07:09.420]  Since we're talking about podcast servers,
[07:09.420 --> 07:10.660]  thank you, Mike, also for the compliment.
[07:10.660 --> 07:11.780]  I didn't mean to glance right over that.
[07:11.780 --> 07:13.140]  We are doing a lot better.
[07:13.140 --> 07:14.540]  Zoom makes a lot better show.
[07:14.540 --> 07:15.900]  You're a lot more comfortable.
[07:15.900 --> 07:17.980]  It makes it a lot easier for me as well.
[07:17.980 --> 07:19.780]  So good job to you, bro.
[07:19.780 --> 07:21.100]  Let me get myself back on track.
[07:21.100 --> 07:22.460]  I didn't mean to gloss over your comment.
[07:22.460 --> 07:24.660]  Trying to stay focused here and not Scotty real myself.
[07:24.660 --> 07:25.500]  Shout out to Scotty.
[07:25.500 --> 07:26.580]  I love you, bro.
[07:26.580 --> 07:28.300]  I mentioned Patreon a moment ago.
[07:28.300 --> 07:29.140]  Or not Patreon.
[07:29.140 --> 07:29.980]  What's the thing called?
[07:29.980 --> 07:30.800]  What is it?
[07:30.800 --> 07:31.640]  Stitcher.
[07:31.640 --> 07:33.460]  On Stitcher, a lot of people have notified me
[07:33.460 --> 07:36.740]  that episode 371 is errored on Stitcher
[07:36.740 --> 07:38.140]  and it's only a minute long.
[07:39.020 --> 07:39.900]  Bro.
[07:39.900 --> 07:43.420]  I have fucking deleted, replaced, edited, updated,
[07:43.420 --> 07:46.620]  fucking kicked and cussed at that fucking file
[07:46.620 --> 07:48.140]  and that upload service.
[07:48.140 --> 07:50.260]  I don't know why it won't work.
[07:50.260 --> 07:53.660]  It is the same RSS feed that works on iTunes
[07:53.660 --> 07:54.700]  or Apple Podcasts.
[07:54.700 --> 07:57.980]  It's the same RSS feed that works on Google Podcast
[07:57.980 --> 07:59.700]  or Google Play.
[07:59.700 --> 08:03.140]  Everything except Spotify runs off of that RSS feed.
[08:03.140 --> 08:06.700]  Everything else is accurate and correct except Stitcher.
[08:06.700 --> 08:09.620]  I don't know why Stitcher won't fucking do it, dude.
[08:10.060 --> 08:11.140]  I can't figure it out.
[08:11.140 --> 08:12.660]  Stitcher in this one episode
[08:12.660 --> 08:14.340]  just ain't ever gonna be friends.
[08:14.340 --> 08:16.100]  And you can email Stitcher
[08:16.100 --> 08:18.420]  and it takes them like three to 17 weeks
[08:18.420 --> 08:19.340]  for them to reply.
[08:19.340 --> 08:21.540]  They don't really care because I don't pay them anything.
[08:21.540 --> 08:22.840]  They're hosting my shit for free.
[08:22.840 --> 08:25.520]  They don't make any benefit from contacting me or not.
[08:25.520 --> 08:27.500]  So they're not gonna fix it.
[08:27.500 --> 08:30.620]  So that episode, if you're listening today on Stitcher Radio
[08:30.620 --> 08:31.940]  and you're like, hey bro, I would have loved
[08:31.940 --> 08:34.100]  to have heard 371 because it's a great episode.
[08:34.100 --> 08:35.380]  You did wanna hear it.
[08:35.380 --> 08:37.180]  It's available on Spotify.
[08:37.180 --> 08:39.860]  And also I encourage you to check it out on YouTube
[08:39.860 --> 08:42.580]  because it is Jesse and myself sitting at the table.
[08:42.580 --> 08:44.060]  Many people have not seen Jesse.
[08:44.060 --> 08:45.020]  They don't know what he looks like.
[08:45.020 --> 08:45.860]  So you can come see what Jesse looks like.
[08:45.860 --> 08:48.180]  You don't wanna miss the Jesse episodes.
[08:48.180 --> 08:49.180]  Yeah, those are some gems.
[08:49.180 --> 08:51.500]  He actually messaged me today on Facebook and he said,
[08:51.500 --> 08:53.460]  hey, do you wanna do another outdoor episode?
[08:53.460 --> 08:55.540]  And I was like, fuck yeah, buddy, come on over.
[08:55.540 --> 08:56.580]  So I gotta get that recorded
[08:56.580 --> 08:58.340]  and don't say an episode number at the start of it
[08:58.340 --> 08:59.580]  so I can sneak it in whenever
[08:59.580 --> 09:01.220]  and try to fit it into the flow.
[09:01.220 --> 09:02.800]  Yeah, that way I don't have to make everybody wait
[09:02.800 --> 09:04.540]  too many weeks for that.
[09:04.540 --> 09:07.540]  But if you missed that one on Stitcher Radio,
[09:07.540 --> 09:08.900]  I wanna call it Patreon every time.
[09:08.900 --> 09:11.300]  The two logos blend together in my head.
[09:11.300 --> 09:13.060]  If you missed that one, I apologize.
[09:13.060 --> 09:15.660]  Thank you to everybody who emailed me, messaged me.
[09:15.660 --> 09:17.260]  I got a lot of messages.
[09:17.260 --> 09:18.460]  My replies were short.
[09:18.460 --> 09:19.300]  Yeah, dude, I know.
[09:19.300 --> 09:20.120]  I'm trying to fix it.
[09:20.120 --> 09:21.180]  I fucking fixed it.
[09:21.180 --> 09:23.520]  I was trying to be, I tried to reply to everybody,
[09:23.520 --> 09:25.340]  but after a while I was like, dude, I know.
[09:25.340 --> 09:26.620]  And I'm trying to fix it.
[09:26.620 --> 09:28.300]  I just can't fucking, it won't fix.
[09:28.300 --> 09:30.220]  So we're just gonna have to live with that.
[09:30.220 --> 09:31.060]  Nobody's gonna die.
[09:31.060 --> 09:31.880]  Nobody got hurt.
[09:31.880 --> 09:33.140]  We can all live to podcast another day,
[09:33.140 --> 09:34.660]  but it's not gonna be fixed.
[09:34.660 --> 09:35.500]  So check it out.
[09:35.500 --> 09:37.460]  Somewhere else I think you'll like the video.
[09:37.460 --> 09:39.220]  Let me make sure I haven't skipped any other notes.
[09:39.220 --> 09:40.500]  I was on the Growcast.
[09:41.660 --> 09:44.500]  Dude, people like the music that we've been playing.
[09:44.500 --> 09:47.100]  I have been playing at the end of the show.
[09:47.100 --> 09:48.540]  I don't know if you watch the shows
[09:48.540 --> 09:49.380]  because you're on them,
[09:49.380 --> 09:52.380]  and sometimes it feels weird to watch a show you were on.
[09:52.380 --> 09:55.980]  At the end, I'm running like a clip of,
[09:55.980 --> 09:59.140]  it's a slideshow of strains of just weed pictures.
[09:59.140 --> 10:00.620]  And also sometimes I take a dab.
[10:00.620 --> 10:02.900]  And the other day I think I danced around to a fish song
[10:03.660 --> 10:05.580]  or to Stevie Wonder song for a couple of seconds.
[10:05.580 --> 10:07.220]  And somebody asked me to show my dreadlocks too.
[10:07.220 --> 10:08.140]  I forgot about that.
[10:08.140 --> 10:09.460]  I'll show my dreads in another episode.
[10:09.460 --> 10:11.220]  They're bundled up super tightly today,
[10:11.220 --> 10:13.540]  but I'll show them in another episode at the end.
[10:13.540 --> 10:15.500]  But people are impressed with the music
[10:15.500 --> 10:16.940]  that I'm playing at the end of the show.
[10:16.940 --> 10:18.700]  Unfortunately, we've got to quit doing that.
[10:18.700 --> 10:20.740]  Spotify doesn't like the music.
[10:20.740 --> 10:21.940]  YouTube doesn't like the music.
[10:21.940 --> 10:24.940]  We're getting this no, no, no finger at us.
[10:24.940 --> 10:25.980]  The bigger the company,
[10:25.980 --> 10:27.700]  the less cool they're gonna be with that shit.
[10:27.700 --> 10:29.020]  And the bigger the podcast,
[10:29.020 --> 10:30.260]  we've increased the listens.
[10:30.260 --> 10:32.700]  Audio and video listeners have totally increased
[10:33.460 --> 10:34.300]  by a large amount.
[10:34.300 --> 10:35.140]  So we're getting more notices,
[10:35.140 --> 10:37.180]  which is getting us higher up in the rankings,
[10:37.180 --> 10:38.820]  which more algorithms are seeing us
[10:38.820 --> 10:40.380]  and now they're messing with our stuff.
[10:40.380 --> 10:43.900]  So I'm no longer going to be able to put cool music
[10:43.900 --> 10:44.780]  at the end of the show,
[10:44.780 --> 10:47.900]  unless somebody makes me a kick in theme song.
[10:47.900 --> 10:49.820]  If you send me music that is original,
[10:49.820 --> 10:50.660]  I've said this before,
[10:50.660 --> 10:52.900]  I'll play your track at the starter at the end of the show,
[10:52.900 --> 10:54.780]  and you'll get compensated based on how cool
[10:54.780 --> 10:57.460]  your fucking track is and how many times I decide to play it.
[10:57.460 --> 10:59.620]  If you're a professional and you need money for sure,
[10:59.620 --> 11:00.700]  send me a sample.
[11:00.700 --> 11:02.380]  If you're kind, send me some tracks,
[11:03.060 --> 11:03.900]  I'll give you a shout out,
[11:03.900 --> 11:06.140]  I'll say your name and I'll send you gifts in return.
[11:06.140 --> 11:09.300]  But what I was getting to is somebody asked me for a list
[11:09.300 --> 11:11.140]  of the tracks, multiple people have asked me,
[11:11.140 --> 11:11.980]  what was that track?
[11:11.980 --> 11:12.980]  What was that track?
[11:12.980 --> 11:16.220]  I'm going to read a couple of short ones
[11:16.220 --> 11:17.580]  because the list is really long.
[11:17.580 --> 11:19.940]  I'll read a few of the most recent tracks I've played.
[11:19.940 --> 11:22.620]  Then I'm going to post to social media,
[11:22.620 --> 11:23.820]  the full list of tracks,
[11:23.820 --> 11:27.620]  because I've got it written down since 446,
[11:27.620 --> 11:29.780]  I started writing down which songs I was playing.
[11:29.780 --> 11:32.180]  So I've got the full list of every track.
[11:32.980 --> 11:34.300]  It's going to take me a while to tweet that.
[11:34.300 --> 11:35.700]  It may be like fucking 20 tweets.
[11:35.700 --> 11:37.140]  How many songs can I fit?
[11:37.140 --> 11:39.540]  If you've really got the list handwritten,
[11:39.540 --> 11:42.340]  take photos of the list and post that shit to Instagram.
[11:42.340 --> 11:44.340]  Just save yourself a year's worth of tweeting.
[11:44.340 --> 11:46.340]  See, the thing about that is this handwriting
[11:46.340 --> 11:49.420]  is kind of, it looks more like book code.
[11:49.420 --> 11:52.180]  And for some people, it's not going to do you any good.
[11:52.180 --> 11:54.780]  People like the Da Vinci code shit, don't get into it.
[11:54.780 --> 11:55.980]  Yeah, but it's still not going to,
[11:55.980 --> 11:58.140]  it's just going to be an artifact that doesn't mean shit.
[11:58.140 --> 12:00.580]  They're like, so what are those four letters in a row mean?
[12:00.580 --> 12:02.180]  It's like a fish song that nobody else understands.
[12:02.180 --> 12:04.140]  So they're going to need, they're going to need.
[12:04.140 --> 12:04.980]  So, and I don't even know,
[12:04.980 --> 12:07.420]  oh, RHM is Red Hot Mama from Widespread Panic.
[12:07.420 --> 12:08.860]  Yeah, that was one that I put on there.
[12:08.860 --> 12:12.940]  And then through 505 through 507, it says, shit I made,
[12:12.940 --> 12:16.500]  because those three fucking shows were tracks that I made.
[12:16.500 --> 12:21.340]  So let me just read, we'll start at five on the back.
[12:21.340 --> 12:23.140]  We start at 527.
[12:23.140 --> 12:25.780]  So 527 was called Fat Freddy's Drop.
[12:25.780 --> 12:27.260]  I didn't write down details guys.
[12:27.260 --> 12:29.740]  So I may not know either the artist or the track.
[12:29.740 --> 12:31.700]  I just wrote down enough to give myself a reminder
[12:31.700 --> 12:33.540]  so that I don't play that song again
[12:33.540 --> 12:35.420]  for like another 10 tracks or whatever.
[12:35.420 --> 12:38.540]  So Fat Freddy's Drop, that was recommended by a friend.
[12:38.540 --> 12:41.980]  528 was a Pearl Jam song, don't remember which one.
[12:41.980 --> 12:46.420]  529 was Government Mule, that is Warren Haynes, Matt Apps.
[12:46.420 --> 12:47.780]  Cannot remember the bass player's name.
[12:47.780 --> 12:49.260]  I feel like a dick for that.
[12:49.260 --> 12:51.500]  Matt's one of my favorite drummers, super awesome.
[12:51.500 --> 12:53.540]  Track 530 was the White Mike interview.
[12:53.540 --> 12:55.780]  I didn't put music at the end of that
[12:55.780 --> 12:58.020]  because I think we high-fived each other at the end
[12:58.020 --> 13:00.180]  or something, it sounded cool, so I cut that out.
[13:00.180 --> 13:03.540]  531 got a lot of notice.
[13:03.540 --> 13:06.980]  531 is a song called Bloodshot Eyes.
[13:06.980 --> 13:08.820]  Sorry for my bloodshot eyes.
[13:08.820 --> 13:10.460]  I did not write down the artist.
[13:10.460 --> 13:12.700]  I wanna say Through the Roots,
[13:12.700 --> 13:14.780]  but I could be completely wrong with that.
[13:14.780 --> 13:16.540]  Don't hold me accountable for that.
[13:16.540 --> 13:19.580]  But if you Google reggae song, Bloodshot Eyes,
[13:19.580 --> 13:20.420]  it will come up.
[13:20.420 --> 13:22.700]  They're a current reggae band, they're popular right now.
[13:22.700 --> 13:24.540]  I found it on Sirius XM.
[13:24.540 --> 13:25.900]  I was cruising home one night
[13:25.900 --> 13:28.020]  and that song came on on the reggae channel on Sirius
[13:28.020 --> 13:31.460]  on the joint, and I was like, that's a fucking good tune.
[13:31.460 --> 13:33.100]  532 is the Beastie Boys
[13:33.100 --> 13:35.260]  because I fucking love the Beastie Boys.
[13:36.180 --> 13:38.060]  533 was Damian Marley.
[13:38.060 --> 13:40.340]  534 was Fell on Black Days.
[13:40.340 --> 13:42.460]  You better know Fell on Black Days, bro.
[13:43.380 --> 13:45.460]  535 was Here Comes Trouble,
[13:45.460 --> 13:47.740]  and I think that is Chronix and Protege
[13:47.740 --> 13:49.460]  is who sings that together.
[13:49.460 --> 13:52.740]  536 was Say It to Me Santos by Phish.
[13:52.780 --> 13:55.780]  I think that was the live track from Dix
[13:55.780 --> 13:57.540]  at a show that I went to recently.
[13:57.540 --> 14:00.300]  537 was Brass Monkey by the Beastie Boys
[14:00.300 --> 14:03.140]  because Jesse was here and he made a comment about
[14:03.980 --> 14:06.180]  the Beastie Boys taught him that every picture is cooler
[14:06.180 --> 14:07.620]  if you point at the camera.
[14:07.620 --> 14:09.740]  And so when he said Beastie Boys at the end of the video,
[14:09.740 --> 14:10.700]  I left that part in.
[14:10.700 --> 14:11.700]  He thought I would edit that out
[14:11.700 --> 14:13.220]  because the show was technically over,
[14:13.220 --> 14:14.340]  but I left that short clip in
[14:14.340 --> 14:17.540]  and then I played the Beastie Boys just to make it fun.
[14:17.540 --> 14:21.580]  538 was Boogie on Reggae Woman by Stevie Wonder.
[14:21.580 --> 14:25.940]  539 is a track that I made and I just call it some reggae.
[14:25.940 --> 14:27.860]  It doesn't really have a real name,
[14:27.860 --> 14:29.260]  but those are the tracks most recently
[14:29.260 --> 14:30.460]  that I put on the show.
[14:30.460 --> 14:32.380]  Hopefully I got the one you're asking about.
[14:32.380 --> 14:33.220]  I will.
[14:33.220 --> 14:35.420]  It's gonna take a while for me to tweet all of that shit,
[14:35.420 --> 14:37.100]  but I'll tweet out the list or something,
[14:37.100 --> 14:39.020]  show you guys the rest of the tracks.
[14:40.500 --> 14:41.820]  Mike, I've been talking for a long time.
[14:41.820 --> 14:44.020]  We haven't even gotten to any cannabis content.
[14:44.020 --> 14:45.380]  Let's talk about weed.
[14:45.380 --> 14:46.860]  Wanna talk about growing weed?
[14:46.860 --> 14:48.580]  We should.
[14:48.580 --> 14:49.980]  I like to give garden updates.
[14:49.980 --> 14:51.060]  What's growing on, bro?
[14:51.860 --> 14:53.660]  I think we might've borrowed that from another podcast,
[14:53.660 --> 14:54.500]  but that's okay.
