[00:01.790 --> 00:10.550]  Yeah, here we go.
[02:19.950 --> 02:21.630]  It's a good COVID friendly venue.
[02:21.630 --> 02:23.550]  We're going to do things correctly here.
[02:23.550 --> 02:29.390]  The groovy gravy secret stash seed exchange event happening May 22nd in Denver.
[02:29.390 --> 02:33.390]  If you are interested, find the link in the show notes and the video description.
[02:33.390 --> 02:36.350]  There's a link with instructions, how to get tickets.
[02:36.350 --> 02:38.950]  All the details you need will be in that link.
[02:38.950 --> 02:39.950]  Follow that link.
[02:39.950 --> 02:45.910]  Also use coupon code Rasta Jeff and you will save 20% off your ticket pricing.
[02:45.910 --> 02:49.030]  Once again, all of the VIP tickets are sold out.
[02:49.030 --> 02:51.110]  Booths are sold out to the best of my knowledge.
[02:51.110 --> 02:54.510]  I cannot do anything to get you VIP tickets or a booth.
[02:54.510 --> 02:56.950]  The best I can do for you is give you this link.
[02:56.950 --> 02:58.350]  You can get tickets there.
[02:58.350 --> 03:01.670]  The other good thing I can offer you is coupon code Rasta Jeff.
[03:01.670 --> 03:03.470]  All one word Rasta Jeff.
[03:03.470 --> 03:04.970]  That will save you 20% off.
[03:04.970 --> 03:09.670]  If you're looking for any other details or information, you of course will have to contact
[03:09.670 --> 03:13.910]  the groovy gravy group and they will get you figured out, get you situated.
[03:13.910 --> 03:16.230]  Again, I am a participant in this event.
[03:16.230 --> 03:17.590]  I'm not throwing the event.
[03:17.590 --> 03:19.310]  I am a paid vendor.
[03:19.310 --> 03:22.950]  I can't give you any hookups, any deals, can't pull any strings for you.
[03:22.950 --> 03:24.230]  A lot of people have asked.
[03:24.230 --> 03:25.230]  That's why I'm saying this.
[03:25.230 --> 03:27.990]  I can get you that coupon code Rasta Jeff.
[03:27.990 --> 03:29.110]  Saves you 20%.
[03:29.110 --> 03:30.110]  That's the best I could do.
[03:30.110 --> 03:34.030]  I look forward to seeing all of my friends in Denver on the 22nd.
[03:34.030 --> 03:35.430]  Can't wait to see you there.
[03:35.430 --> 03:38.030]  Also you guys, I was on the Neighborhood Hang.
[03:38.030 --> 03:39.510]  My friends have started a podcast.
[03:39.510 --> 03:40.510]  It's kind of a podcast.
[03:40.510 --> 03:41.510]  It's a video show.
[03:41.510 --> 03:43.470]  Maybe it's a vodcast if you will.
[03:43.470 --> 03:47.910]  They've got a show on YouTube called the Neighborhood Grows Grow Show.
[03:47.910 --> 03:48.910]  It is a great show.
[03:49.510 --> 03:50.510]  It's mainly hosted by my buddy Raptor.
[03:50.510 --> 03:52.670]  There are a lot of great faces on there.
[03:52.670 --> 03:54.070]  We got OG Purple Thumbs on there.
[03:54.070 --> 03:55.790]  We got Dave on there.
[03:55.790 --> 03:56.790]  Duck Foot's on there.
[03:56.790 --> 03:58.510]  Of course, Lori is on there.
[03:58.510 --> 03:59.510]  Tent Hangs Out on there.
[03:59.510 --> 04:00.510]  There are a lot of great people.
[04:00.510 --> 04:01.510]  I'm going to forget somebody.
[04:01.510 --> 04:05.870]  There's a lot of great friends and family that hang out and congregate in the neighborhood.
[04:05.870 --> 04:07.630]  They've got a great podcast happening.
[04:07.630 --> 04:09.070]  I was a guest on Monday.
[04:09.070 --> 04:13.510]  If you did not catch the live show on Monday, I highly, because I do almost everything quite
[04:13.510 --> 04:16.950]  highly, I recommend you find the Neighborhood Grows Show.
[04:16.990 --> 04:19.670]  Not only check out the episode I was on, because I had a good time.
[04:19.670 --> 04:20.670]  I was very comfortable.
[04:20.670 --> 04:21.670]  I was very relaxed.
[04:21.670 --> 04:25.430]  I felt like I was just hanging out with my bros, just doing a show.
[04:25.430 --> 04:28.390]  It wasn't even really an interview, but they interviewed me quite well.
[04:28.390 --> 04:30.830]  I recommend you find the episode I was on.
[04:30.830 --> 04:32.950]  Also subscribe to their channel.
[04:32.950 --> 04:36.790]  Watch all of the other previous and subsequent episodes.
[04:36.790 --> 04:37.790]  Give them some support.
[04:37.790 --> 04:39.070]  Geez, I'm going to catch my breath.
[04:39.070 --> 04:40.070]  Give them some support.
[04:40.070 --> 04:42.110]  That was harder to say than it looked.
[04:42.110 --> 04:43.110]  Support the gang.
[04:43.110 --> 04:44.110]  Support the crew.
[04:44.110 --> 04:45.110]  Those are friends of mine.
[04:45.110 --> 04:46.110]  I got nothing but love and respect for them.
[04:46.270 --> 04:48.710]  You got to spread this cannabis love around.
[04:48.710 --> 04:50.790]  Pass the love just like you do a joint.
[04:50.790 --> 04:54.950]  Support my friends on the Neighborhood Grows.
[04:54.950 --> 04:59.670]  The next order of business we need to talk about here is I am a shit talker when it comes
[04:59.670 --> 05:00.670]  to smoking rosin.
[05:00.670 --> 05:03.310]  Boy, I am not a big fan of rosin.
[05:03.310 --> 05:08.510]  75% of the time, your rosin tastes like a Popsicle stick or burnt popcorn.
[05:08.510 --> 05:13.070]  I cannot stand the fucking flavor of a Popsicle stick on my tongue.
[05:13.070 --> 05:16.870]  If you put a tongue depressor on my tongue, Popsicle stick on my tongue, I can feel it
[05:16.870 --> 05:21.110]  in my bones, in my body right now, this weird, they call it the chills.
[05:21.110 --> 05:23.310]  It's an uncomfortable fucking feeling.
[05:23.310 --> 05:26.310]  I got, I don't know if you call it chicken skins or goose bumps, whatever the fuck you
[05:26.310 --> 05:27.590]  call it, wherever you are.
[05:27.590 --> 05:29.550]  My skin's crawling, doing weird shit.
[05:29.550 --> 05:30.870]  I don't like a tongue depressor.
[05:30.870 --> 05:33.990]  I don't like that unfinished wood texture in my mouth.
[05:33.990 --> 05:35.150]  It's disgusting.
[05:35.150 --> 05:40.150]  A lot of times, that's what rosin tastes like to me, burnt popcorn and a tongue depressor.
[05:40.150 --> 05:42.510]  It makes my tongue and my face make this terrible shape.
[05:42.950 --> 05:47.390]  I go, oh, and you can tell by looking that it looks like I just took a bite of poop.
[05:47.390 --> 05:48.390]  It's not pleasant.
[05:48.390 --> 05:53.550]  Anyway, I did take a dab of some rosin the past couple of days that was made by a friend
[05:53.550 --> 05:58.270]  that was a gift that we can't talk too much about how it landed here and who got it to
[05:58.270 --> 05:59.270]  me.
[05:59.270 --> 06:00.790]  However, they know who they are.
[06:00.790 --> 06:03.230]  I talked about another product in a previous episode.
[06:03.230 --> 06:05.110]  My friend wondered if this was him.
[06:05.110 --> 06:07.350]  This time, bro, I am talking about your rosin.
[06:07.350 --> 06:08.350]  The shit was good.
[06:08.350 --> 06:09.350]  It was tasty.
[06:09.350 --> 06:10.810]  I got a nice buzz from it.
[06:10.810 --> 06:14.610]  It was heavy on the lungs and the flavor changed so many times.
[06:14.610 --> 06:16.290]  There were two jars.
[06:16.290 --> 06:18.730]  One honestly is not my favorite, but it's smokeable.
[06:18.730 --> 06:21.090]  The other one, I went back for more.
[06:21.090 --> 06:22.090]  I do approve.
[06:22.090 --> 06:23.770]  I do enjoy the rosin.
[06:23.770 --> 06:24.890]  You guys are getting better.
[06:24.890 --> 06:29.010]  The rosin makers are getting better at making rosin is what I've noticed.
[06:29.010 --> 06:31.730]  You're learning the temperatures, the times, the techniques.
[06:31.730 --> 06:33.930]  It's all being dialed in and it's getting better.
[06:33.930 --> 06:36.210]  That being said, I'm still a batter fan.
[06:36.210 --> 06:39.490]  There's nothing better than some good green dot batter.
[06:39.490 --> 06:41.170]  They do not pay me to say that.
[06:41.170 --> 06:44.530]  Actually, I just go buy all my product at the dispensary just like you do.
[06:44.530 --> 06:46.050]  Green dot doesn't email me, message me.
[06:46.050 --> 06:47.850]  We have no relationship.
[06:47.850 --> 06:48.850]  Good product.
[06:48.850 --> 06:49.850]  All right.
[06:49.850 --> 06:53.570]  The reason I'm stoned and rambly is because of the ... I can't think of the name of the
[06:53.570 --> 06:56.410]  strain that I smoked, but it was some rosin and it was delicious.
[06:56.410 --> 06:57.410]  It'll come to me.
[06:57.410 --> 06:59.370]  I think it was some ... I don't want to say the wrong one.
[06:59.370 --> 07:00.370]  I know what it was.
[07:00.370 --> 07:02.290]  My brain will not allow me to say it.
[07:02.290 --> 07:06.370]  By the end of this episode, maybe I'll remember or I'll press pause, go find it, then tell
[07:06.370 --> 07:07.370]  you the real name.
[07:07.370 --> 07:08.370]  It's one word.
[07:08.370 --> 07:09.370]  It's one word.
[07:09.450 --> 07:10.450]  I don't know the name of it.
[07:10.450 --> 07:13.130]  It just won't come to my head because I'm fucking plenty stoned.
[07:13.130 --> 07:14.130]  All right.
[07:14.130 --> 07:15.130]  Where are we going from there?
[07:15.130 --> 07:16.650]  It is springtime.
[07:16.650 --> 07:18.610]  This is where I could use your help.
[07:18.610 --> 07:19.850]  I do a lot of podcasting.
[07:19.850 --> 07:21.290]  I'm putting out a lot here.
[07:21.290 --> 07:24.570]  I'd like some feedback, some replies, some information.
[07:24.570 --> 07:29.370]  This I guess is what we're going to call the call to action in this episode.
[07:29.370 --> 07:30.370]  It is springtime.
[07:30.370 --> 07:31.970]  I was out today driving around, running some errands.
[07:31.970 --> 07:35.410]  You'll notice I'm not wearing a hoodie, no long sleeve shirt in this episode.
[07:35.410 --> 07:37.450]  Rocking a t-shirt and jeans and sneakers.
[07:37.530 --> 07:40.050]  It is finally freaking nice outside.
[07:40.050 --> 07:41.330]  It is the springtime.
[07:41.330 --> 07:43.570]  Spring is upon us.
[07:43.570 --> 07:44.730]  People are looking lovely out there.
[07:44.730 --> 07:46.410]  The sunshine's got people in a good mood.
[07:46.410 --> 07:49.090]  Also they're driving like a dipshit, but that's beside the point.
[07:49.090 --> 07:53.770]  What I'm getting at is I want to make some spring and summer iRegenetics and grow from
[07:53.770 --> 07:55.090]  your heart merchandise.
[07:55.090 --> 07:56.890]  However, that is not my niche.
[07:56.890 --> 07:57.890]  I'm not the best at that.
[07:57.890 --> 07:59.050]  I'm better at podcasting.
[07:59.050 --> 08:02.010]  I am better at being in the grow, making seeds.
[08:02.010 --> 08:03.450]  Those are the things I should focus on.
[08:03.450 --> 08:04.970]  I'm going to ask you for help.
[08:04.970 --> 08:09.210]  The next door out there is a clothing designer, somebody with some cool artwork, somebody
[08:09.210 --> 08:12.210]  that says it is my turn to step up and help Rasta Jeff.
[08:12.210 --> 08:18.370]  What I'm looking for is some spring apparel designs, things I can have printed in mass
[08:18.370 --> 08:21.930]  that aren't super expensive and I can put them on my Etsy store and get them out to
[08:21.930 --> 08:25.450]  the people so they can rock some new designs for the spring.
[08:25.450 --> 08:27.930]  I do have the green and the orange shirts.
[08:27.930 --> 08:29.410]  Those are going to look good for spring and summer.
[08:29.410 --> 08:30.410]  That purple shirt will look good.
[08:30.410 --> 08:31.890]  I'll replenish those.
[08:31.890 --> 08:34.850]  But we need some new designs, maybe brand new merch, new ideas.
[08:35.250 --> 08:37.930]  I've expired, expended, exhausted.
[08:37.930 --> 08:38.930]  That's the word.
[08:38.930 --> 08:40.890]  I've exhausted my brain on merch ideas.
[08:40.890 --> 08:43.530]  I'm more focused on growing, breeding, and podcasting.
[08:43.530 --> 08:45.050]  So I'd like your help.
[08:45.050 --> 08:47.530]  What do you want with the iRegenetics branding on it?
[08:47.530 --> 08:50.530]  What would you rock with the podcast logo on it?
[08:50.530 --> 08:51.690]  Where do we go next?
[08:51.690 --> 08:55.850]  Honestly, that is not my avenue, my route, my wheelhouse.
[08:55.850 --> 08:56.850]  I'm better at this stuff.
[08:56.850 --> 08:59.570]  So I'm going to focus here and I'm asking for your help.
[08:59.570 --> 09:01.650]  What merchandise is next?
[09:01.650 --> 09:02.770]  What do you think I could put out?
[09:02.770 --> 09:05.690]  I'd like to put out merchandise that works well.
[09:05.690 --> 09:06.850]  I sell seeds.
[09:06.850 --> 09:09.450]  So what would go well with the seeds I put out?
[09:09.450 --> 09:10.570]  Shirts are cool.
[09:11.490 --> 09:12.490]  Hats are cool.
[09:12.490 --> 09:13.450]  Stuff like that is great.
[09:13.450 --> 09:14.650]  Stickers and things are awesome.
[09:14.650 --> 09:16.530]  But what are some other products maybe
[09:16.530 --> 09:18.530]  that you could see branded that you think
[09:18.530 --> 09:21.370]  would be beneficial to you and me as well?
[09:21.370 --> 09:23.570]  And we could work together and get them in your hands.
[09:23.570 --> 09:24.410]  All right.
[09:24.410 --> 09:25.890]  I feel like I made my piece clear there.
[09:25.890 --> 09:27.050]  You know what I'm looking for.
[09:27.050 --> 09:28.090]  I need some merchandise help.
[09:28.090 --> 09:31.250]  Also, if you draw stuff, if you make logos, make designs,
[09:31.250 --> 09:33.650]  and you want to make like a certain color T-shirt,
[09:33.650 --> 09:36.450]  tank top, something, we need merchandise for the ladies.
[09:36.450 --> 09:38.850]  I don't have any ladies specific merchandise
[09:38.850 --> 09:40.490]  and the ladies look great out there in the summer.
[09:40.490 --> 09:42.090]  So we got to get them looking good.
[09:42.090 --> 09:43.490]  Whatever's on your mind that you think of,
[09:43.490 --> 09:46.010]  if you draw, if you create, send me an idea.
[09:46.010 --> 09:46.930]  Trust me.
[09:46.930 --> 09:48.610]  If you create something for me,
[09:48.610 --> 09:51.130]  you will be heavily compensated.
[09:51.130 --> 09:51.970]  Ask Dave.
[09:51.970 --> 09:52.810]  Dave does me favors.
[09:52.810 --> 09:54.690]  Dave gets well taken care of.
[09:54.690 --> 09:55.570]  I'm generous.
[09:55.570 --> 09:56.490]  I'm friendly.
[09:56.490 --> 09:58.250]  Anything I'm going to profit from,
[09:58.250 --> 10:00.530]  I promise you will profit from as well.
[10:00.570 --> 10:03.290]  If you do work for me, I turn the money around.
[10:03.290 --> 10:04.130]  It goes back.
[10:04.130 --> 10:05.890]  You'll get seeds, you'll get gifts, you'll get merchandise.
[10:05.890 --> 10:07.410]  You'll get whatever you ask for.
[10:07.410 --> 10:08.330]  I'll make it fair to you.
[10:08.330 --> 10:09.170]  So thank you.
[10:10.130 --> 10:12.490]  That was a long ramble on just a little basic request
[10:12.490 --> 10:14.970]  for some help with merchandise, but fuck.
[10:14.970 --> 10:15.810]  You know what I mean?
[10:15.810 --> 10:17.490]  We take dabs, we get rambling.
[10:17.490 --> 10:18.330]  All right.
[10:18.330 --> 10:19.770]  We're going to jump into these Patreon messages.
[10:19.770 --> 10:21.410]  I think I've covered all of the important part
[10:21.410 --> 10:22.610]  at the start here.
[10:23.610 --> 10:24.450]  Yeah.
[10:24.450 --> 10:26.330]  We've got a message that came from Patreon.
[10:26.330 --> 10:28.370]  This one comes from our friend,
[10:28.370 --> 10:30.450]  Sacred Tree Organic Farms.
[10:31.250 --> 10:32.170]  And it says, what's up, Rasta Jeff?
[10:32.170 --> 10:33.850]  I've been keeping up to date on each show
[10:33.850 --> 10:35.050]  and I appreciate the hard work,
[10:35.050 --> 10:36.850]  but I haven't heard from you in a minute.
[10:36.850 --> 10:38.570]  I totally understand you're a busy guy.
[10:38.570 --> 10:40.770]  I really just wanted to make sure
[10:40.770 --> 10:42.530]  you're getting my contribution
[10:42.530 --> 10:43.810]  and that you got my messages
[10:43.810 --> 10:45.730]  about my business name being shouted out.
[10:45.730 --> 10:47.850]  So I can address two things here right now,
[10:47.850 --> 10:50.050]  which are great things to talk about.
[10:50.050 --> 10:52.410]  Yes, I did get your message about giving you the shout out
[10:52.410 --> 10:53.570]  for the correct name.
[10:53.570 --> 10:54.770]  Let's recap that.
[10:54.770 --> 10:56.850]  In a previous episode, I did mention
[10:56.850 --> 10:58.770]  that I give you shout outs based on the names
[10:58.770 --> 11:00.090]  I've got on Patreon.
[11:00.730 --> 11:02.570]  I don't know what name you signed up under.
[11:02.570 --> 11:03.810]  I don't know what your real name is.
[11:03.810 --> 11:04.930]  I don't know your Instagram name.
[11:04.930 --> 11:06.370]  I don't know your surname.
[11:06.370 --> 11:08.050]  I've got your name from Patreon.
[11:08.050 --> 11:09.770]  I said Instagram a moment ago, maybe.
[11:09.770 --> 11:11.370]  I've got your Patreon name here on a paper.
[11:11.370 --> 11:12.770]  That's what I give you a shout out to
[11:12.770 --> 11:14.850]  because that's the info I have got.
[11:14.850 --> 11:16.890]  If you'd like me to shout out a different name,
[11:16.890 --> 11:18.450]  you've got to message me.
[11:18.450 --> 11:20.050]  I will print out the paper that says,
[11:20.050 --> 11:21.450]  hey, shout me out at this.
[11:21.450 --> 11:24.570]  I'll try to correlate the two names on the paper
[11:24.570 --> 11:27.730]  and remember to start using your requested shout out.
[11:28.290 --> 11:31.090]  Our friend at Sacred Tree Organic Farms.
[11:31.090 --> 11:33.930]  Yes, brother, I did receive your request
[11:33.930 --> 11:36.290]  to be shouted out as Sacred Tree Organic Farms.
[11:36.290 --> 11:38.810]  Let's take a big moment and give a big salute.
[11:38.810 --> 11:40.130]  A Grow From Your Heart podcast.
[11:40.130 --> 11:40.970]  Thank you.
[11:40.970 --> 11:43.610]  Shout out to our friends at Sacred Tree Organic Farms
[11:43.610 --> 11:45.930]  for their continued support through Patreon.
[11:45.930 --> 11:47.770]  Now, here's something else I want to address
[11:47.770 --> 11:49.290]  while I've got this topic open.
[11:49.290 --> 11:51.170]  I'm gonna make sure I covered this.
[11:51.170 --> 11:53.650]  Getting your support, you got your shout out.
[11:53.650 --> 11:54.850]  Big love, big respect.
[11:54.850 --> 11:55.690]  Thank you for that.
[11:55.690 --> 11:57.570]  Then it says, take care, brother.
[11:58.410 --> 12:00.050]  Bro, you take care as well and thank you for the support.
[12:00.050 --> 12:03.290]  Thank you for the opening so that I can open up this box
[12:03.290 --> 12:04.650]  and talk about this topic.
[12:07.330 --> 12:09.850]  Now, the part I want to talk about is,
[12:09.850 --> 12:14.330]  there's one of me and there are over 250 patrons
[12:14.330 --> 12:15.570]  at this time.
[12:15.570 --> 12:18.810]  I'm grateful for each and every one of you,
[12:18.810 --> 12:22.050]  but it is hard to give each and every one of you
[12:22.050 --> 12:23.290]  undivided attention.
[12:23.290 --> 12:25.050]  So if you've sent me an email,
[12:25.050 --> 12:27.610]  if you've sent me a request, a message,
[12:27.610 --> 12:29.530]  I don't hate you, I'm not mad at you.
[12:29.530 --> 12:31.770]  I love you with all of my heart
[12:31.770 --> 12:33.650]  from the bottom of my long dreadlocks.
[12:33.650 --> 12:36.090]  I love and appreciate each and every one of you.
[12:37.530 --> 12:41.010]  But my inboxes have just become ridiculous and unmanageable.
[12:41.010 --> 12:43.090]  I'm trying, I'm doing my best, you guys.
[12:43.090 --> 12:44.610]  I get so many messages.
[12:44.610 --> 12:46.410]  Patreon becomes a priority, of course,
[12:46.410 --> 12:48.890]  because you do send funding with that.
[12:48.890 --> 12:49.890]  I feel like if you send money,
[12:49.890 --> 12:51.130]  I should pay attention to you first.
[12:51.130 --> 12:54.050]  You paid for me to look at the messages, I do.
[12:54.050 --> 12:55.370]  What I don't want is people to think
[12:55.370 --> 12:57.450]  that they're giving me financial support
[12:57.450 --> 12:58.690]  and I'm ignoring you.
[12:58.690 --> 13:02.130]  I am getting a lot of support, a lot of messages,
[13:02.130 --> 13:07.130]  and there are 250 patrons, 30,000 Instagram followers,
[13:08.050 --> 13:11.330]  60-something thousand cannabis followers,
[13:11.330 --> 13:14.650]  plus the 14,000 unanswered emails in my inbox.
[13:14.650 --> 13:16.970]  And the thing about emails that I've discovered,
[13:16.970 --> 13:20.010]  I will sit here at this table and put on music
[13:20.010 --> 13:22.370]  just loud enough not to distract me, just to get me focused.
[13:22.370 --> 13:24.490]  I'll take a couple of dabs to get me in the zone.
[13:24.490 --> 13:26.050]  I'll get some snacks in my hand.
[13:26.050 --> 13:27.690]  So I'm just shoving snacks into my mouth
[13:27.690 --> 13:28.810]  and answering emails.
[13:28.810 --> 13:30.250]  Hours will go by.
[13:30.250 --> 13:32.090]  I will have answered a couple of hundred emails
[13:32.090 --> 13:33.490]  and then guess what happens?
[13:34.730 --> 13:36.530]  Those people all reply.
[13:36.530 --> 13:39.210]  So it's like every hundred emails I send,
[13:39.210 --> 13:41.490]  50 more reply, I only catch up halfway.
[13:41.490 --> 13:43.410]  I'm not complaining, I love it.
[13:43.410 --> 13:44.650]  It is a sign of success.
[13:44.650 --> 13:46.410]  It is a sign of longevity.
[13:46.410 --> 13:49.170]  But I don't want you guys to feel like you're being ignored
[13:49.170 --> 13:50.970]  or neglected or whatever.
[13:50.970 --> 13:51.970]  I love you guys.
[13:52.490 --> 13:53.650]  Please don't stop with the message,
[13:53.650 --> 13:55.370]  but be patient with me.
[13:55.370 --> 13:56.810]  Realize it's just me, dude.
[13:57.770 --> 13:59.050]  That's why it's quality.
[13:59.050 --> 14:02.290]  People say hire an intern, hire somebody to help you.
[14:02.290 --> 14:06.050]  I don't believe or trust that anybody will have the passion,
[14:06.050 --> 14:09.050]  enthusiasm, the care, the eye for detail
[14:09.050 --> 14:11.770]  for the seed company, the emails, the podcast.
[14:11.770 --> 14:13.330]  It's all got to be me.
[14:13.330 --> 14:15.050]  That's why it's successful.
[14:15.050 --> 14:18.170]  Maybe that's an ego thing, but I know it's working now.
[14:18.170 --> 14:20.530]  The only thing that's lacking is I'm not getting enough done
[14:20.570 --> 14:21.970]  but as a business owner,
[14:21.970 --> 14:24.210]  if you can't catch up with the work, that's a good thing.
[14:24.210 --> 14:26.530]  That means you've got a business that's working,
[14:26.530 --> 14:27.490]  it's flowing.
[14:27.490 --> 14:30.010]  When I take a break and go, I'm bored, all my work's done,
[14:30.010 --> 14:31.210]  that's when I fucked up.
[14:31.210 --> 14:32.530]  That's when there's a problem.
[14:32.530 --> 14:35.370]  So please don't ever feel like I'm ignoring you,
[14:35.370 --> 14:37.930]  disrespecting you, blowing you off.
[14:37.930 --> 14:39.090]  I am up late.
[14:39.090 --> 14:40.930]  I start my day by answering messages.
[14:40.930 --> 14:42.690]  I finish my day by answering messages.
[14:42.690 --> 14:44.730]  My girlfriend's like, hey, do you ever stop working?
[14:44.730 --> 14:45.970]  And I'm like, I wish.
[14:45.970 --> 14:47.370]  Like I'm totally paying attention to you,
[14:47.370 --> 14:49.730]  but also I've got to answer these Patreon messages.
[14:49.730 --> 14:51.690]  So shout out to her for being awesome
[14:51.690 --> 14:53.210]  and putting up with the 24 hour work,
[14:53.210 --> 14:54.930]  but also you guys I'm trying.
[14:54.930 --> 14:55.970]  And I think I've made my point.
[14:55.970 --> 14:57.450]  I'm just stoned and rambly.
[14:57.450 --> 14:58.290]  I love you guys.
[14:58.290 --> 14:59.130]  I'm not ignoring you.
[14:59.130 --> 14:59.970]  It's just me.
[14:59.970 --> 15:05.020]  I'm gonna take a drink.
[15:05.900 --> 15:07.020]  All right.
[15:07.020 --> 15:08.820]  I did cover that topic quite well.
[15:08.820 --> 15:10.340]  We beat the shit out of that dead horse.
[15:10.340 --> 15:13.820]  Let's move on to another topic that is more grow focused,
[15:13.820 --> 15:16.300]  something we could talk about and learn something here.
[15:16.300 --> 15:18.780]  This one came from our friend, Cyncy11 on Patreon.
[15:18.780 --> 15:20.700]  Big shout out to my buddy, Cyncy11.
[15:20.700 --> 15:22.900]  Sends me a lot of great messages.
[15:22.900 --> 15:25.020]  We did talk about some other stuff
[15:25.020 --> 15:26.220]  and I replied why I don't do it.
[15:26.220 --> 15:29.460]  And he replied with good point, haters suck.
[15:29.460 --> 15:30.880]  That was part of a private conversation,
[15:30.880 --> 15:32.300]  but you're very correct, brother.
[15:32.300 --> 15:34.040]  Haters do suck.
[15:34.040 --> 15:35.620]  Shout out to all my haters out there.
[15:35.620 --> 15:37.860]  If you're watching this out of hatred, out of spite,
[15:37.860 --> 15:38.700]  I love you.
[15:38.700 --> 15:39.540]  I hope you're doing well.
[15:39.540 --> 15:40.940]  I hope you gain success
[15:40.940 --> 15:42.380]  and I hope you have a wonderful life.
[15:42.380 --> 15:45.060]  Hug a hater, send them on their way.
[15:45.060 --> 15:46.380]  Now this message goes,
[15:46.380 --> 15:49.660]  I do have a few ideas for episodes.
[15:49.660 --> 15:50.580]  I like that.
[15:50.580 --> 15:53.780]  This one says, I've got a two foot by four foot,
[15:53.780 --> 15:54.960]  not a two inch by four inch,
[15:54.960 --> 15:58.660]  but a two foot by four foot dry and cure tent.
[15:58.660 --> 16:00.860]  So they've taken a grow tent and they've modified it
[16:00.860 --> 16:03.260]  and set it up to be their drying space.
[16:03.260 --> 16:06.380]  They're drying their chopped down flowers in this tent.
[16:06.380 --> 16:11.060]  It says, I have now found that if you use a two by four tent
[16:11.060 --> 16:13.860]  with exhaust, you can exhaust with a duct fan
[16:13.860 --> 16:17.100]  into a four inch carbon filter for like five to 10 days.
[16:17.100 --> 16:19.540]  The plants are hanging down during this period.
[16:19.540 --> 16:21.260]  Then you can take them off the strings,
[16:21.260 --> 16:23.740]  use plastic bins and leave them in there.
