[00:00.320 --> 00:18.970]  Yeah, here we go.
[03:08.690 --> 03:11.610]  What do you enjoy to eat?
[03:11.610 --> 03:14.050]  I often talk about trying to take care of myself.
[03:14.050 --> 03:16.650]  I try to be, uh, it's 2022.
[03:16.650 --> 03:18.050]  We've learned how to take care of ourselves.
[03:18.050 --> 03:20.050]  We should be treating our bodies like our temples.
[03:20.050 --> 03:21.710]  I'm not super young anymore.
[03:21.710 --> 03:22.710]  I'm in my forties.
[03:22.710 --> 03:23.710]  I'm starting to get older.
[03:23.710 --> 03:25.250]  I do feel it when I eat junk food.
[03:25.650 --> 03:30.050]  When I eat unhealthy crap, my body does say, Hey bro, don't eat as much of that or don't
[03:30.050 --> 03:31.330]  eat that again.
[03:31.330 --> 03:35.050]  My body does have ways of letting us know as you get older, pay attention.
[03:35.050 --> 03:37.730]  Your body will tell you that is terrible for me.
[03:37.730 --> 03:38.730]  Stop fucking doing that.
[03:38.730 --> 03:40.190]  There are a lot of things we put in our bodies.
[03:40.190 --> 03:43.010]  We shouldn't be when I get blazed and I do get the munchies.
[03:43.010 --> 03:45.850]  I try to stick with healthy food.
[03:45.850 --> 03:47.850]  However, sometimes I will allow myself.
[03:47.850 --> 03:48.850]  I'm human.
[03:48.850 --> 03:49.850]  Don't get me wrong.
[03:49.850 --> 03:50.850]  I try to eat healthy most of the time.
[03:50.850 --> 03:53.490]  A vegetarian 100% of the time.
[03:53.490 --> 03:54.890]  Vegan most of the time.
[03:55.050 --> 03:57.090]  I do at least one vegan day every week.
[03:57.090 --> 03:58.090]  You guys don't care about my diet.
[03:58.090 --> 04:00.330]  I try to take care of myself when I get blazed.
[04:00.330 --> 04:05.050]  I will allow myself to slip on the diet, have some crap occasionally, especially in the
[04:05.050 --> 04:06.050]  car.
[04:06.050 --> 04:10.330]  If I'm on a road trip and I have to say if I'm the passenger on a road trip, just, you
[04:10.330 --> 04:14.750]  know, for legal and safety reasons, and I do get blazed and we stop at the gas station
[04:14.750 --> 04:20.330]  or somewhere small like that to get some munchies, I definitely will use that as a good excuse
[04:20.330 --> 04:22.290]  to indulge in some crap food.
[04:22.290 --> 04:25.090]  We'll talk about what I get from the gas stations in a moment here.
[04:25.090 --> 04:30.730]  I do prefer honestly to stick with healthier snack options if that's possible, available,
[04:30.730 --> 04:35.850]  affordable, effective, if I prepared properly, and also if that's what my high mouth wants.
[04:35.850 --> 04:39.210]  Sometimes my stoned mouth wants something sugary and terrible for me.
[04:39.210 --> 04:40.450]  Sometimes I'll treat myself.
[04:40.450 --> 04:43.170]  Also I smoke a lot and I do podcasts.
[04:43.170 --> 04:44.610]  I constantly fucking talk.
[04:44.610 --> 04:45.930]  I never stop talking.
[04:45.930 --> 04:46.930]  I get it.
[04:46.930 --> 04:47.930]  I do know that about myself.
[04:47.930 --> 04:52.250]  I apologize if you're sick of hearing me, but that also brings in a lot of dryness.
[04:52.250 --> 04:54.050]  A lot of dry throat, a lot of dry mouth.
[04:54.050 --> 04:55.050]  So I need snacks.
[04:55.050 --> 04:59.890]  I prefer snacks that are juicy and not dehydrating and drying.
[04:59.890 --> 05:02.210]  Something people hate the word moist, but guess what?
[05:02.210 --> 05:04.370]  I need a nice moist snack.
[05:04.370 --> 05:05.970]  Something with some moisture.
[05:05.970 --> 05:09.770]  Not something that's going to induce more cotton mouth, more dryness, more phlegm.
[05:09.770 --> 05:11.610]  I try to stay away from crackers.
[05:11.610 --> 05:13.770]  Like I definitely don't want a cracker.
[05:13.770 --> 05:15.890]  I definitely don't need dairy products.
[05:15.890 --> 05:17.770]  It's going to make me sound all in the throat.
[05:17.770 --> 05:18.770]  I don't need, sorry for doing that.
[05:18.770 --> 05:19.770]  That was fucking rude.
[05:19.770 --> 05:21.090]  I don't need all that kind of snack.
[05:21.090 --> 05:24.330]  So I try to stick with like healthy stuff.
[05:24.330 --> 05:25.330]  What is healthy stuff?
[05:25.330 --> 05:26.330]  Fruit.
[05:26.330 --> 05:28.530]  A lot of people think that fruit is a, it's kind of a hippie snack.
[05:28.530 --> 05:29.530]  It's great.
[05:29.530 --> 05:30.530]  It's what I was put here for.
[05:30.530 --> 05:31.530]  It's got enough sugar to keep you going.
[05:31.530 --> 05:32.890]  It's give you some energy.
[05:32.890 --> 05:36.530]  It's got all the right components to make that sugar not unhealthy.
[05:36.530 --> 05:40.410]  It's got fiber and vitamins in there, depending on the fruit or vegetables you choose.
[05:40.410 --> 05:43.530]  But fruits and vegetables are great for when you're blazed.
[05:43.530 --> 05:45.730]  What's better than biting into like a juicy orange.
[05:45.730 --> 05:46.970]  Think about how good that is.
[05:46.970 --> 05:48.050]  We have forgotten.
[05:48.050 --> 05:49.930]  We go to the store and we get all that shit on the shelves.
[05:49.930 --> 05:51.050]  It's packaged and processed.
[05:52.010 --> 05:53.010]  We forgot how good a fucking orange is.
[05:53.010 --> 05:56.450]  Bite into an orange, a nectarine, a clementine, something like that.
[05:56.450 --> 05:58.090]  Let that juice run down your chin a little bit.
[05:58.090 --> 05:59.370]  Let it absorb into your tongue.
[05:59.370 --> 06:00.450]  Feel how good that shit is.
[06:00.450 --> 06:02.730]  We forgot how good basic fruit is.
[06:02.730 --> 06:06.050]  So when I get blazed, I like fruit, watermelon, strawberries, stuff like that.
[06:06.050 --> 06:07.050]  That's delicious.
[06:07.050 --> 06:08.650]  If it's available.
[06:08.650 --> 06:10.330]  Like I said, sometimes you don't prepare.
[06:10.330 --> 06:11.770]  Sometimes you're not where that stuff is.
[06:11.770 --> 06:14.410]  Sometimes you hit the gas station and you just eat crap.
[06:14.410 --> 06:17.450]  That is when I allow myself to eat crap.
[06:17.450 --> 06:18.450]  I did.
[06:18.450 --> 06:19.450]  I'm going somewhere with all of this.
[06:19.450 --> 06:22.170]  I did post a question to Instagram, to Twitter.
[06:22.170 --> 06:23.970]  I also posted it to my discord.
[06:23.970 --> 06:28.530]  That link is in the show notes and video description, but I asked a lot of my friends what they like
[06:28.530 --> 06:30.490]  to eat and consume once they get blazed.
[06:30.490 --> 06:31.650]  That's where I'm leading with all this.
[06:31.650 --> 06:34.810]  We're going to read the responses to those surveys.
[06:34.810 --> 06:37.130]  I'm just rambling to set it up real good here.
[06:37.130 --> 06:41.930]  I asked about, do you allow yourself to eat crap or do you prefer to eat healthy snacks
[06:41.930 --> 06:42.930]  once you get blazed?
[06:42.930 --> 06:46.970]  I also asked, do you have road trip snacks that you let yourself eat?
[06:46.970 --> 06:51.250]  Then also I asked about regional snacks because I live in Colorado.
[06:51.250 --> 06:53.610]  Here in the summer we have a chili festival.
[06:53.610 --> 06:54.850]  Chilies are kind of our regional thing.
[06:54.850 --> 06:58.170]  I'm sure there's other regional stuff I'm not thinking about, but chilies are kind of
[06:58.170 --> 06:59.170]  our regional snack.
[06:59.170 --> 07:02.890]  Depending on where you go, people are known and areas are known for their snacks.
[07:02.890 --> 07:03.890]  Here we have cantaloupes.
[07:03.890 --> 07:05.930]  We have a lot of cantaloupes in our area.
[07:05.930 --> 07:09.050]  The Rocky Ford cantaloupes are super delicious.
[07:09.050 --> 07:10.490]  Things like that, regional stuff.
[07:10.490 --> 07:12.130]  Then we talk about seasonal stuff.
[07:12.130 --> 07:14.850]  Are there seasonal snacks that you enjoy?
[07:14.850 --> 07:19.050]  I've got a dear friend, somebody I care about a lot, who loves a peppermint cheesecake.
[07:19.050 --> 07:23.210]  We have passed the holiday season and she is going to go crazy until December because
[07:23.210 --> 07:25.210]  we can't get a peppermint cheesecake.
[07:25.210 --> 07:27.770]  That's a seasonal snack she wishes she could have.
[07:27.770 --> 07:29.050]  How about some fast food?
[07:29.050 --> 07:33.010]  Do you guys indulge in fast food when you get the munchies?
[07:33.010 --> 07:34.970]  I really try not to eat fast food.
[07:34.970 --> 07:37.210]  I've talked about how healthy I try to be.
[07:37.210 --> 07:41.410]  Honestly, if the time is right, if we're on the road, if I'm blazed, if things come down
[07:41.410 --> 07:46.610]  to it, I grew up in Southern California and there's nothing like some Taco Bell.
[07:46.610 --> 07:48.890]  Just a couple of bean burritos from Taco Bell.
[07:48.890 --> 07:49.970]  Don't tell me what's in there.
[07:49.970 --> 07:50.970]  Don't talk about it.
[07:50.970 --> 07:55.210]  Just let me enjoy that shit with a bunch of hot sauce and just let me enjoy it when I'm
[07:55.210 --> 07:56.210]  blazed.
[07:56.210 --> 07:58.810]  That's one of my weaknesses, one of my guilty pleasures, if you will.
[07:58.810 --> 08:01.530]  Hashtag SACA souffle.
[08:01.530 --> 08:04.170]  I guess it is time to share some feedback.
[08:04.170 --> 08:05.530]  I also like some chipotle too.
[08:05.530 --> 08:07.570]  Get me nice and blazed and let me eat some chipotle.
[08:07.570 --> 08:08.570]  That's always fun.
[08:08.570 --> 08:10.490]  But then don't be around in like an hour.
[08:10.570 --> 08:13.810]  I guess now is a good time to start sharing the feedback that I have collected.
[08:13.810 --> 08:15.610]  I've got a lot of screenshots here.
[08:15.610 --> 08:19.010]  I basically asked, what do you like to munch when you get blazed?
[08:19.010 --> 08:22.030]  Let's jump into the screenshots, the feedback part of the show.
[08:22.030 --> 08:24.090]  This one came from our buddy Juanzilla on Twitter.
[08:24.090 --> 08:29.010]  It said, my favorite fast food is Bojangles for a wake and bake, a cookout for late night
[08:29.010 --> 08:30.010]  munchies.
[08:30.010 --> 08:32.810]  My seasonal snacks would have to be the peppermint pretzels.
[08:32.810 --> 08:33.810]  I love that.
[08:33.810 --> 08:35.370]  Another peppermint person.
[08:35.370 --> 08:39.170]  Peppermint's not for me, but I have a dear person that loves the peppermint cheesecake.
[08:39.170 --> 08:40.890]  So I get you seasonal and peppermint.
[08:40.890 --> 08:43.370]  I'm trying to figure out where to put the mic and my phone at the same time.
[08:43.370 --> 08:48.570]  If you're watching the weird posture struggle here, that is what's happening.
[08:48.570 --> 08:49.570]  Here we go.
[08:49.570 --> 08:50.570]  More comments.
[08:50.570 --> 08:51.970]  Let's fix this fucking mic stand and regroup here.
[08:51.970 --> 08:52.970]  All right.
[08:52.970 --> 08:55.690]  The next one says, I love, this person must be Canadian.
[08:55.690 --> 08:56.970]  Big shout out to my buddy B. Bala.
[08:56.970 --> 08:58.970]  It says, I love poutine when I'm stoned.
[08:58.970 --> 08:59.970]  I live in Canada.
[08:59.970 --> 09:02.370]  My favorite fast food when stoned is Dairy Queen.
[09:02.370 --> 09:07.170]  I'm always getting a pineapple mango smoothie for the pasties.
[09:07.170 --> 09:11.570]  I'm not sure what you mean by pasties, but, um, oh, maybe you mean pasty mouth, the cotton
[09:11.570 --> 09:12.570]  mouth.
[09:12.570 --> 09:14.090]  That could be the Canadian version of cotton mouth is the pasties.
[09:14.090 --> 09:15.090]  I got you, brother.
[09:15.090 --> 09:16.970]  You got the pasty face truck mouth, cotton mouth.
[09:16.970 --> 09:17.970]  I get you.
[09:17.970 --> 09:20.330]  I wish I could have eggnog ice cream all year round.
[09:20.330 --> 09:24.050]  I'm all about a pineapple mango smoothie.
[09:24.050 --> 09:25.050]  That sounds fucking great.
[09:25.050 --> 09:28.370]  Uh, when you start fucking with that eggnog bro, I'm out dude.
[09:28.370 --> 09:33.370]  That, that just, um, I'm not against your eggnog, but to me it tastes like snot or similar
[09:33.370 --> 09:34.450]  and I am not in dude.
[09:34.450 --> 09:36.130]  I'm checking out at the eggnog.
[09:36.130 --> 09:37.130]  You enjoy it, buddy.
[09:37.130 --> 09:38.210]  You don't want to get more than that means you get more.
[09:38.210 --> 09:39.210]  Are you spiking the eggnog?
[09:39.210 --> 09:40.210]  That's what I want to know.
[09:40.210 --> 09:42.010]  Are you whipping some booze into that bad bitch?
[09:42.010 --> 09:44.290]  Uh, sprinkling it with whatever you put on top of eggnog.
[09:44.290 --> 09:46.370]  I've seen people sprinkle shit on it.
[09:46.370 --> 09:47.370]  Is it warm?
[09:47.370 --> 09:48.370]  Is it cold?
[09:48.370 --> 09:49.370]  I don't know about your eggnog, buddy.
[09:49.370 --> 09:50.370]  You're Canadian.
[09:50.370 --> 09:51.530]  You could be doing some crazy weird shit.
[09:51.530 --> 09:53.990]  Uh, big up to a norm.
[09:53.990 --> 09:58.370]  If you're eating poutine and you don't know who norm is, you're missing out on live hashtag
[09:58.370 --> 09:59.370]  YMH.
[09:59.370 --> 10:00.370]  We've got more feedback.
[10:00.370 --> 10:02.810]  This one came from discord.
[10:02.810 --> 10:05.890]  This one is from our friend reaper 6628.
[10:05.890 --> 10:09.170]  It says, I love to sit down and munch down on chips and salsa.
[10:09.170 --> 10:12.530]  Then I'll finish it off with some sweet ice cream and pie.
[10:12.530 --> 10:15.010]  But sometimes I love to munch down on fruit.
[10:15.010 --> 10:16.010]  I'm seeing a thing here.
[10:16.010 --> 10:19.770]  A lot of people, all the potheads, all the stoners need some sort of food with some sort
[10:19.770 --> 10:21.410]  of refreshing moisture in it.
[10:21.410 --> 10:23.650]  That ice cream, that fruit, I'm getting that.
[10:23.650 --> 10:25.610]  I catch that a lot.
[10:25.610 --> 10:26.930]  What else is another thing that I noticed?
[10:26.930 --> 10:29.770]  Oh, well, something I caught in this pie.
[10:29.770 --> 10:33.050]  I was in a group conversation the other day and I've always said that pie is for old people
[10:33.050 --> 10:35.410]  and a couple of people just said randomly.
[10:35.930 --> 10:36.930]  Pie is for old people.
[10:36.930 --> 10:37.930]  So some people supported my statement.
[10:37.930 --> 10:39.690]  Pie is for old people, bro.
[10:39.690 --> 10:40.690]  That's just a joke.
[10:40.690 --> 10:41.690]  Don't get offended.
[10:41.690 --> 10:42.690]  We're going to keep moving.
[10:42.690 --> 10:45.010]  Um, it says, uh, from Mary J.
[10:45.010 --> 10:48.650]  Juana says my favorite munchie to eat when I'm high is probably apples and peanut butter.
[10:48.650 --> 10:50.250]  That sounds fucking great, dude.
[10:50.250 --> 10:53.850]  Uh, apples, that crispiness, that juiciness and then peanut butter just to give you some
[10:53.850 --> 10:55.810]  protein and some texture in there.
[10:55.810 --> 10:58.370]  Don't have me do a podcast after that, but that sounds great.
[10:58.370 --> 11:00.450]  Uh, favorite fast food is Dunkin Donuts.
[11:00.450 --> 11:03.250]  I absolutely love their bagels smothered in cream cheese.
[11:03.250 --> 11:04.250]  That sounds pretty nice.
[11:04.530 --> 11:07.330]  Uh, again, we've got that coldness from the cream cheese.
[11:07.330 --> 11:08.730]  That is a trend here amongst the stoners.
[11:08.730 --> 11:11.330]  We got to have something cold and delicious in our snacks.
[11:11.330 --> 11:15.810]  Uh, however, I do crave Twizzlers every so often and beef jerky has to be peppered.
[11:15.810 --> 11:18.050]  Oh, the beef jerky that has to be peppered.
[11:18.050 --> 11:20.210]  All this talk about munchies is giving me the munchies.
[11:20.210 --> 11:24.610]  Yeah, I'm sure there are several people right now that are pulling over the car, uh, stopping
[11:24.610 --> 11:27.090]  to get some snacks on the way to work cause we're fucking up their day.
[11:27.090 --> 11:28.090]  Sorry guys.
[11:28.090 --> 11:29.090]  I love you.
[11:29.090 --> 11:31.570]  Uh, be nice to the people in seven 11 early in the morning.
[11:31.570 --> 11:32.570]  Get it.
[11:32.570 --> 11:33.570]  The seven 11 show.
[11:33.890 --> 11:35.690]  We got seven 11 talking about munchies.
[11:35.690 --> 11:36.690]  Big cheers.
[11:36.690 --> 11:37.690]  Let's keep going.
[11:37.690 --> 11:39.410]  This one comes from my good friend, Billy Podunk.
[11:39.410 --> 11:40.410]  What's up you bad motherfucker.
[11:40.410 --> 11:42.650]  I hope things are great by the time you hear this.
[11:42.650 --> 11:46.450]  Uh, it says my favorites are something crunchy and savory.
[11:46.450 --> 11:47.530]  I understand that bro.
[11:47.530 --> 11:48.850]  I'm in that same boat.
[11:48.850 --> 11:51.050]  Uh, garlic and Parmesan, anything.
[11:51.050 --> 11:54.050]  Uh, those Boulder chips, the Parmesan Boulder chips.
[11:54.050 --> 11:55.050]  Those are fucking delicious.
[11:55.050 --> 11:56.610]  Uh, crunchy, savory.
[11:56.610 --> 11:57.610]  That's my sort of stuff.
[11:57.610 --> 12:00.610]  It does go on to say, I do also like some healthy snacks.
[12:00.730 --> 12:05.530]  One of my favorites is veggies and that hidden Valley ranch dry mix with the sour cream.
[12:05.530 --> 12:08.330]  This dude's got a specific, uh, dressing that he loves.
[12:08.330 --> 12:12.090]  Uh, it says I definitely eat way too much food when I get stone.
[12:12.090 --> 12:13.090]  There's no stopping me.
[12:13.090 --> 12:14.090]  I know that feeling, bro.
[12:14.090 --> 12:15.570]  I know that feeling.
[12:15.570 --> 12:16.970]  He said for regional snacks.
[12:16.970 --> 12:19.130]  Uh, of course, Billy is in Alaska.
[12:19.130 --> 12:20.650]  He's in a beautiful region of Alaska.
[12:20.650 --> 12:22.290]  I've seen where he lives up there.
[12:22.290 --> 12:27.090]  It says for regional snacks, smoked salmon bellies are one of my top choices.
[12:27.090 --> 12:29.970]  We don't really have fast food where I am.
[12:30.330 --> 12:32.330]  So he says, let's get stone and eat way too much food.
[12:32.330 --> 12:33.330]  Cheers, Billy podunk.
[12:33.330 --> 12:34.330]  Thank you for the great feedback.
[12:34.330 --> 12:36.330]  Also, bro, thank you for the great friendship.
[12:36.330 --> 12:40.810]  Um, we've become really good friends over the discord, uh, over social media, over a
[12:40.810 --> 12:41.810]  short period of time.
[12:41.810 --> 12:44.490]  Got nothing but love and respect for that dude, Billy podunk.
[12:44.490 --> 12:45.770]  So that's a good dude.
[12:45.770 --> 12:46.770]  Thank you for the feedback, bro.
[12:46.770 --> 12:47.770]  Uh, pay attention.
[12:47.770 --> 12:50.850]  That dude's going to be doing a lot of shit in the future.
[12:50.850 --> 12:52.450]  Then we move our way through the discord.
[12:52.450 --> 12:55.210]  We get some feedback from a guy known as gray beard.
[12:55.210 --> 12:57.290]  I owe a big shout out to my buddy gray beard.
[12:57.290 --> 12:59.010]  He built the discord.
[12:59.050 --> 13:00.050]  That's right.
[13:00.050 --> 13:03.530]  If you were on the discord server, you owe gray beard, a fist bump, a high five, a shout
[13:03.530 --> 13:05.170]  out, maybe a little kiss on the cheek.
[13:05.170 --> 13:06.730]  However you want to do it.
[13:06.730 --> 13:07.730]  Great kid.
[13:07.730 --> 13:08.730]  Good dude.
[13:08.730 --> 13:09.730]  Giant hog.
[13:09.730 --> 13:14.330]  He built the discord server and his comment says candy is my weakness.
[13:14.330 --> 13:15.890]  Sour gummy candy to be specific.
[13:15.890 --> 13:18.470]  I like savory to salty to sweet.
[13:18.470 --> 13:23.890]  If I could have all three, um, sour gummy candies and then savory, salty and sweet.
[13:23.890 --> 13:25.730]  So I'm not a fan of the gummy candy sort of stuff.
[13:25.730 --> 13:28.010]  I don't like digging that candy shit out of my teeth.
[13:28.010 --> 13:31.730]  I'm not into that kind of stuff, but salty and savory.
[13:31.730 --> 13:32.730]  Hell yeah, bro.
[13:32.730 --> 13:33.730]  And sweet.
[13:33.730 --> 13:35.650]  There's a checks mix that will fall right into that.
[13:35.650 --> 13:38.330]  It's like salted honey, something checks mix, bro.
[13:38.330 --> 13:40.970]  That is salty, sweet, crunchy, savory.
[13:40.970 --> 13:42.630]  It's all of the above.
[13:42.630 --> 13:46.250]  That one will definitely, uh, scratch that itch if you will.
[13:46.250 --> 13:48.170]  Then he says, I hate spending money on drinks.
[13:48.170 --> 13:51.810]  I drink water and I love crunchy, but not much of a cake guy.
[13:51.810 --> 13:52.810]  I get that.
[13:52.810 --> 13:55.930]  Uh, I do really enjoy being a stoner, being a talker.
[13:55.930 --> 13:56.930]  I love drinks.
[13:56.930 --> 14:00.450]  I'm going to talk about the things I love in a little bit, but I do spend a lot of money
[14:00.450 --> 14:01.690]  on delicious drinks.
[14:01.690 --> 14:03.290]  Perhaps that's why I stay.
[14:03.290 --> 14:04.290]  I'm a skinny dude.
[14:04.290 --> 14:08.050]  I'm six, five and under 200 pounds because I don't eat a lot of junk.
[14:08.050 --> 14:12.050]  I think most of my snacks are drinks, which means I get to just pee out most of it.
[14:12.050 --> 14:16.050]  Um, then he goes on to say a crunchy, but not much of a cake guy.
[14:16.050 --> 14:20.650]  Sometimes bro, a birthday cake, cupcakes, the cupcakes with fucking sprinkles on them
[14:20.650 --> 14:22.070]  at a gas station.
[14:22.070 --> 14:23.530]  That is one of my weaknesses.
[14:23.530 --> 14:24.530]  Oh yeah.
[14:24.850 --> 14:25.850]  Uh, healthy snacks.
[14:25.850 --> 14:27.370]  Usually peanuts or almonds, dude.
[14:27.370 --> 14:33.090]  I love pistachios, especially the pistachios that have been cracked already and they're
[14:33.090 --> 14:35.850]  coated in the tie, the roasted tie chili seasoning.
[14:35.850 --> 14:38.050]  Oh man, I'll eat the whole bag.
[14:38.050 --> 14:39.050]  Like the whole bag.
[14:39.050 --> 14:43.290]  Uh, it says, uh, also some kind of fruit or almonds or peanuts.
[14:43.290 --> 14:46.930]  I eat crap food when I get stoned and when not stoned, something I'm trying to get better
[14:46.930 --> 14:47.930]  at.
[14:47.930 --> 14:48.930]  Oh, let's see.
[14:48.930 --> 14:49.930]  I eat crap stone.
[14:49.930 --> 14:50.930]  Oh, he eats crap when he is stoned and not stoned.
[14:50.930 --> 14:51.930]  I get it, bro.
[14:51.930 --> 14:55.370]  It's like we're in America where they feed us and offer us all of this shit that we should
[14:55.370 --> 14:57.410]  not be eating and something you will notice.
[14:57.410 --> 14:58.410]  This is a weird political rant.
[14:58.410 --> 14:59.890]  I'm not going to go too far on.
[14:59.890 --> 15:03.290]  Uh, the cheaper the food, the worse it is for you.
[15:03.290 --> 15:07.450]  Like the worst shit is more affordable until you learn how to shop and eat like vegetarian
[15:07.450 --> 15:08.450]  shopping is cheap.
[15:08.450 --> 15:12.250]  Once you figured out fruits and vegetables and things to sustain rice is cheap, but yeah,
[15:12.250 --> 15:15.890]  they may, they really make it seem expensive to take care of yourself.
[15:15.890 --> 15:16.890]  Let's stay on track.
[15:16.890 --> 15:20.250]  Japanese and South Korean candy is the best candy in the world.
[15:20.250 --> 15:21.250]  Yes.
[15:21.250 --> 15:23.290]  One of my notes later is exotic turps.
[15:23.290 --> 15:27.530]  Uh, Cheetos used to come out with the cinnamon sugar puffs during Christmas to eat a whole
[15:27.530 --> 15:28.770]  bag of those in one sitting.
[15:28.770 --> 15:32.010]  I haven't ever seen those, bro, but, uh, that sounds like a great idea.
[15:32.010 --> 15:36.490]  That makes me think of the Taco Bell, uh, the fucking cinnamon Twisted Taco Bell, probably
[15:36.490 --> 15:38.890]  similar, but better than he said.
[15:38.890 --> 15:41.050]  Subs Jersey, Mike's Jimmy John's Penn station.
[15:41.050 --> 15:42.850]  I love subs, bro.
[15:42.850 --> 15:48.330]  Um, not to be a hater, but I'm a vegetarian and Jersey Mike's, uh, just fucking sucks.
[15:48.330 --> 15:50.450]  There's, I can eat grease and cheese.
[15:50.450 --> 15:51.930]  That's basically what I get offered in there.
[15:51.930 --> 15:53.210]  Would you like a grease and cheese sandwich?
[15:53.210 --> 15:55.490]  And I'm like, I'm going to hard pass on that shit.
[15:55.490 --> 15:57.850]  I can go get diarrhea somewhere else, but I get it.
[15:57.850 --> 16:01.530]  If you're into subs, uh, if you want to be shaggy and Scooby about your life, you go
[16:01.530 --> 16:03.250]  ahead and do your thing and enjoy it.
[16:03.250 --> 16:04.490]  Um, it does go on.
[16:04.490 --> 16:06.970]  There is more from my soil guy.
