[00:00.000 --> 00:03.080]  What's up, podcast world?
[02:58.160 --> 03:02.000]  It had a tremendous face high to it. It went right to my face, right to my head.
[03:02.520 --> 03:06.280]  That was an amazing combo. So the infinity OG put the punch in there.
[03:06.440 --> 03:09.640]  It put that gas in there. And then that lemon Versace,
[03:09.640 --> 03:11.640]  put that lemon Skittles candy turp.
[03:12.000 --> 03:14.880]  It kind of washed out that burnt marshmallow and brought out more of the candy
[03:14.880 --> 03:17.680]  flavor. It was a really good idea. I thought to mix them.
[03:17.680 --> 03:19.040]  So that's what I'm dabbing on you guys,
[03:19.040 --> 03:23.800]  the infinity OG nectar and the lemon Versace nectar combination from green dot
[03:23.800 --> 03:26.120]  labs. Obviously it's got me nice and rambly,
[03:26.400 --> 03:29.560]  which is good because this is going to be a long podcast.
[03:29.560 --> 03:31.200]  I've got a great topic to get into,
[03:31.200 --> 03:36.120]  but first let's talk a little bit about what I did Thursday evening.
[03:36.120 --> 03:38.680]  While you guys were hanging out, listening to the new episode of the show,
[03:39.000 --> 03:43.640]  I was in Denver seeing Wheeler Walker jr. At the Gothic theater. Now,
[03:43.640 --> 03:46.400]  if you know who Wheeler Walker jr. Is, you're probably going, what?
[03:46.400 --> 03:48.280]  Rasta Jeff went to a country concert.
[03:48.560 --> 03:50.800]  And if you don't know who Wheeler Walker jr. Is,
[03:51.120 --> 03:54.200]  let me explain to you that Rasta Jeff went to a country concert.
[03:54.200 --> 03:58.240]  I've never referred to myself in third person like that. That was awkward. Anyway,
[03:58.480 --> 04:00.720]  yes, I went to my very first country concert.
[04:00.720 --> 04:04.880]  I saw Wheeler Walker jr. And two other acts at the Gothic theater in Denver,
[04:04.880 --> 04:06.520]  Colorado. Uh,
[04:06.840 --> 04:10.160]  I went to see Wheeler because I think Wheeler Walker is hilarious.
[04:10.840 --> 04:15.000]  He comes out dressed in full cowboy fucking rebel cowboy outfit.
[04:15.000 --> 04:18.320]  He's got his boots and his tight jeans and his fucking belt buckle that you
[04:18.320 --> 04:19.520]  could use as a dinner plate.
[04:19.720 --> 04:22.920]  And then he's got a long sleeve flannel shirt tucked in and he's got it buttoned
[04:22.920 --> 04:26.480]  up all the way to the top. And then he's got the cowboy beard.
[04:26.480 --> 04:27.720]  That's well kept. You know what I mean?
[04:27.720 --> 04:29.840]  It's just long enough to say I'm a rebel motherfucker,
[04:29.840 --> 04:33.040]  but then it's kept nice and tight. Also, he's got that big bushy mustache.
[04:33.480 --> 04:35.200]  He's got them cop glasses looking at you.
[04:35.200 --> 04:38.200]  And then he's got his big Wheeler Walker jr. Cowboy hat on.
[04:38.600 --> 04:41.280]  And he comes out and they start playing this. If you're,
[04:41.480 --> 04:44.360]  I'm not into country music necessarily, but I don't hate country music.
[04:44.360 --> 04:45.440]  I'm a musician. I've been,
[04:45.960 --> 04:49.320]  I've been hired to play in country bands before and you learn to appreciate it.
[04:49.600 --> 04:52.680]  And it's not bad. The, especially the shit Wheeler does. It's kinda,
[04:52.680 --> 04:55.960]  it's the fun kind of country. It's that rowdy fucking,
[04:56.240 --> 04:59.080]  I guess it's called rebel country is what they call it. I'm not a country fan,
[04:59.080 --> 05:02.400]  but I think so. He comes out and he does this like rock and roll country shit.
[05:02.400 --> 05:06.440]  Right. Then he starts singing lyrics that are just ridiculous.
[05:06.440 --> 05:08.440]  And we'll get into that here in a minute. Let's talk more about the show.
[05:08.440 --> 05:11.400]  And then, then we'll top this off with some of the song titles and some of the
[05:11.400 --> 05:13.520]  lyrics. Uh, so I drive up to Denver.
[05:13.760 --> 05:18.360]  I park as I'm walking in. I realized I am the only dreadlocked guy in the
[05:18.360 --> 05:22.200]  building. I'm the only one there that is not a country music fan.
[05:22.200 --> 05:23.360]  I'm so far.
[05:23.360 --> 05:28.160]  I'm the only one I've seen that is there for the joke that is Wheeler Walker
[05:28.160 --> 05:32.280]  jr. And I'm kind of feeling a little bit out of place.
[05:32.320 --> 05:36.280]  The first band was straight up country. They were fucking good. You guys,
[05:36.280 --> 05:39.360]  they were really good. They were so soulful. Uh, the,
[05:39.400 --> 05:42.480]  they had a singer that played acoustic guitar. They had a full band,
[05:42.480 --> 05:44.160]  bass drums, uh, lead guitar,
[05:44.160 --> 05:48.560]  but the singer played acoustic guitar and they had a female singer that sang
[05:48.560 --> 05:51.000]  with him that I'm going to assume they were related.
[05:51.040 --> 05:53.680]  They had to be brother or sister somewhere along the line.
[05:53.920 --> 05:56.360]  They've been singing together for years because they sounded rich.
[05:56.640 --> 06:00.320]  Like the sound that came out of them was real. Uh, they sounded really good.
[06:00.320 --> 06:02.400]  So I don't know the name of the opening act. I apologize for that.
[06:02.400 --> 06:03.480]  I didn't pay any attention to that.
[06:03.880 --> 06:07.480]  I was just trying to get comfortable in the environment. I've never been, uh,
[06:08.200 --> 06:11.360]  in that environment. It was a lot of country fans. You guys,
[06:11.360 --> 06:15.640]  it was folks in tight jeans and flannel shirts and fucking beards and a wad of
[06:15.640 --> 06:17.800]  chew and a hat in their face. And that's not my environment.
[06:17.800 --> 06:21.160]  I don't know how they're going to take me encroaching on their show.
[06:21.360 --> 06:24.480]  So I'm just trying to walk around and like, you know, get a feel. Am I welcome?
[06:24.560 --> 06:25.720]  And I was, I was,
[06:25.880 --> 06:30.120]  so it was kind of silly on my part to feel that these country fans may not want
[06:30.120 --> 06:32.320]  me there. They didn't give a shit. I got a few looks.
[06:32.840 --> 06:34.840]  I've got dreadlocks to my ass. I get looks,
[06:35.200 --> 06:38.320]  but nobody gave a shit that I was a weirdo at the country show.
[06:38.320 --> 06:42.640]  So that was cool. Then the second act came on and I spent the first, uh,
[06:42.640 --> 06:44.280]  since I just snuck in during the first band,
[06:44.280 --> 06:46.800]  I don't like to go walk right in front of people while the band is playing.
[06:47.200 --> 06:50.720]  So I just went toward the back of the club and got a big view of the whole club.
[06:50.720 --> 06:53.080]  And then as the first band picked up their gear,
[06:53.280 --> 06:55.960]  I walked closer to the stage and got a little up closer.
[06:56.520 --> 07:01.280]  And then the second opener came out and he was not very entertaining.
[07:01.280 --> 07:03.360]  The crowd was talking over him and kind of, they were,
[07:03.400 --> 07:07.200]  they were bored with him and he could feel the vibe. But then, uh,
[07:07.200 --> 07:09.640]  someone lit a joint in the crowd or some weed somewhere.
[07:10.160 --> 07:12.640]  And the country crowd got really weird about it.
[07:12.640 --> 07:14.800]  And the funny part is it was bad smelling weed.
[07:14.800 --> 07:17.080]  It smelled like a shitty roach or it just,
[07:17.160 --> 07:19.000]  it didn't smell like good weed and someone lit weed.
[07:19.000 --> 07:21.720]  And that country crowd kind of got uptight. You can see there kind of,
[07:21.720 --> 07:24.120]  some of them were like, someone's smoking weed. And some of them were like, Ooh,
[07:24.120 --> 07:26.280]  someone's smoking weed. But it was kind of a,
[07:26.520 --> 07:29.280]  it was way different than the shows I'm used to. When someone smokes weed,
[07:29.480 --> 07:31.600]  nobody even notices because we're all smoking weed.
[07:31.880 --> 07:35.440]  But it was just really funny to smell somebody light some swag weed and then
[07:35.480 --> 07:37.120]  watch the whole crowd kind of looked around.
[07:37.120 --> 07:40.120]  A couple of them looked right at me like, no, I can see both of his hands.
[07:40.360 --> 07:42.400]  I knew better. I wasn't going to fucking smoke weed in there.
[07:42.720 --> 07:43.720]  Be the only one in there.
[07:43.920 --> 07:46.440]  And they run you through a pretty rigorous security thing on the way in.
[07:46.440 --> 07:50.400]  But it turns out that second opener that came out, it was one guy.
[07:50.400 --> 07:52.480]  He came out and played a couple of songs by himself.
[07:52.480 --> 07:56.080]  He ended up actually being Wheeler's bass player. So when Wheeler came out, uh,
[07:56.120 --> 08:00.480]  that was the bass player for Wheeler Walker jr's band. Anyhow. Um,
[08:00.960 --> 08:03.800]  so the first opener was cool. The second opener was awkward.
[08:03.800 --> 08:05.880]  It was just one dude singing songs, playing a guitar.
[08:05.880 --> 08:07.640]  He played bass and sang a couple of times,
[08:07.640 --> 08:11.560]  which that's not really a popular thing to play bass and sing. Um,
[08:11.920 --> 08:13.800]  someone like weed, then a couple of,
[08:14.280 --> 08:18.640]  as the night went on and things got later, more non country fans came,
[08:18.640 --> 08:22.040]  more people that looked like they discovered Wheeler through Joe Rogan's
[08:22.040 --> 08:22.680]  podcast,
[08:22.680 --> 08:26.800]  more people that looked like they discovered Wheeler Walker jr through Joey Diaz's
[08:26.800 --> 08:28.800]  podcast or Bert Kreischer's podcast,
[08:28.800 --> 08:31.040]  which are all places where I've listened to Wheeler.
[08:31.560 --> 08:34.480]  I first found Wheeler through the Joe Rogan experience podcast.
[08:34.480 --> 08:36.920]  And I really liked his songs. I started listening. Uh,
[08:36.920 --> 08:40.200]  and I thought it was funny. And then he was on a Diaz's show.
[08:40.200 --> 08:43.200]  And so I listened there and I just, that kind of like solidified the,
[08:43.360 --> 08:45.680]  the songs were in my head and the dude's attitude was kind of funny.
[08:45.680 --> 08:47.960]  So I had to listen from there. Anyway,
[08:48.440 --> 08:52.320]  more people started piling in as the night went on that were obviously not
[08:52.360 --> 08:53.160]  country fans,
[08:53.160 --> 08:56.320]  or at least they weren't dressed in the country attire that some of the earlier
[08:56.600 --> 08:59.400]  arrivers were dressed in, uh, nothing against them.
[08:59.400 --> 09:00.960]  It's just obvious country attire.
[09:00.960 --> 09:04.080]  And I'm guessing I'm wearing hippie or woke attire, whatever you want to call it.
[09:04.680 --> 09:07.880]  Uh, you could, you could spot the differences in the folks. Uh,
[09:08.480 --> 09:12.240]  so a couple of younger cats stood in front of me and I'm wearing a grow from
[09:12.240 --> 09:13.360]  your heart podcast t-shirt.
[09:13.360 --> 09:16.200]  And one of the younger bros turns to me and he says, whose podcast is that?
[09:17.000 --> 09:18.840]  And I was like, Oh, that's my show, bro. It's all about weed.
[09:19.400 --> 09:21.480]  And we start talking for a few and they're like,
[09:21.600 --> 09:23.560]  what other shows do you listen to? And I was like, Oh dude,
[09:23.560 --> 09:26.040]  I listened to Doug loves movies. I listened to Diaz. Actually.
[09:26.040 --> 09:28.240]  They asked me if I listened to the church of what's happening now.
[09:28.520 --> 09:30.760]  And my answer was probably fuck. Yeah. Cocksucker.
[09:30.960 --> 09:32.600]  Because if you listen to the church of what's happening now,
[09:32.600 --> 09:35.200]  that's your answer. If somebody asks you, if you listen to it, you say, fuck.
[09:35.200 --> 09:39.280]  Yeah. Cocksucker. So that started conversation, uh,
[09:39.320 --> 09:41.200]  two young dudes named Doug and Daniel,
[09:41.200 --> 09:43.360]  they were a good time to hang out with. I went to the show by myself.
[09:43.640 --> 09:46.680]  So it was cool to have two dudes show up right in front of me that were, uh,
[09:46.720 --> 09:48.280]  fans of all the other stuff I listened to.
[09:48.280 --> 09:50.320]  They were fans of Wheeler because of the funniness,
[09:50.320 --> 09:52.800]  not because it's the new kind of country music.
[09:53.160 --> 09:57.360]  And they also are exposed to the podcast now. So shout out to Doug and Daniel.
[09:57.360 --> 10:00.560]  I hope you guys are listening to the show. So, uh,
[10:00.560 --> 10:03.760]  our conversation gets interrupted because fucking Wheeler Walker wants to come
[10:03.760 --> 10:06.280]  out and do a concert, right? So the lights go down and Wheeler comes out.
[10:06.280 --> 10:10.160]  And he starts playing honestly, what might be my favorite Wheeler Walker song.
[10:11.400 --> 10:13.880]  It's called a song's actually called sit on my face.
[10:13.880 --> 10:15.280]  We're going to get into that in a little bit here.
[10:15.520 --> 10:17.560]  And I posted a couple of really cool videos to YouTube.
[10:17.560 --> 10:21.080]  I hope you guys enjoy that. Uh, so Wheeler comes out, he plays his first song.
[10:21.600 --> 10:24.000]  At the end of the first song, he's like, why are you flipping me off?
[10:24.000 --> 10:26.400]  And some girl in the crowd has been flipping him off for the whole first song.
[10:26.440 --> 10:28.720]  So he kicked her the fuck out, which kind of made it awkward.
[10:28.720 --> 10:32.120]  But then he went right back into the show, which was kind of cool. Uh,
[10:32.160 --> 10:33.640]  he played a bunch of great songs. He has,
[10:33.640 --> 10:35.680]  I've got a list of the songs on my phone. I'm going to pull it up here,
[10:35.680 --> 10:39.280]  but he played a brand new weed song. He's like, Hey, since I'm in Colorado,
[10:39.600 --> 10:41.680]  I figured I would debut my new weed song.
[10:41.720 --> 10:43.480]  And I was smart enough to pull out my phone.
[10:43.680 --> 10:46.560]  I caught a pretty sweet recording of that. Uh,
[10:46.720 --> 10:50.160]  so that's up on the YouTube channel. Then, uh,
[10:50.200 --> 10:52.200]  he played more songs that are listed on my phone.
[10:52.520 --> 10:56.120]  I'm going to read some of those titles. Uh, let's do that now. Let's see.
[10:56.400 --> 11:00.040]  Some of the songs he played were, uh, finger in my butt.
[11:00.440 --> 11:03.160]  Uh, he played a song called eating pussy and kicking ass.
[11:03.440 --> 11:07.760]  And the encore was pussy King. And then the other one of the encores,
[11:07.960 --> 11:12.760]  I'm not even going to say the fucking name of the song because it's kind of
[11:12.760 --> 11:14.920]  offensive. And I don't even want to say that on my show.
[11:15.200 --> 11:18.480]  So you could tell he comes out and he plays his country music, right?
[11:18.800 --> 11:20.320]  The whole band is dressed country.
[11:20.360 --> 11:22.880]  It looks like you're at a fucking serious country show.
[11:23.320 --> 11:26.960]  And this dude starts singing and he starts singing about, like I said,
[11:26.960 --> 11:28.640]  the first song is called sit on my face.
[11:28.680 --> 11:32.520]  This song is straight up about sitting on my face.
[11:33.000 --> 11:35.200]  And it's really hilarious the way he does it because it's,
[11:35.400 --> 11:39.200]  it sounds like you're going to hear some of those twangy fucking truck broke
[11:39.200 --> 11:42.480]  down. Dog ran away. Girlfriend left me kind of fucking rebel,
[11:42.480 --> 11:47.000]  rock and country things coming out, but it's not, it's, it's really hilarious.
[11:47.000 --> 11:49.720]  So one of the things that I really laughed at,
[11:49.720 --> 11:52.080]  he does a song and he, at the start of the song, he goes,
[11:52.200 --> 11:55.360]  this one is for your whole family. And I knew what it was going to be.
[11:55.360 --> 11:56.680]  It's a song called family tree.
[11:57.480 --> 12:01.280]  And it is a filthy song about fucking his way up your family tree.
[12:01.400 --> 12:04.040]  And that's literally what it's about. And one of the lines is,
[12:04.240 --> 12:07.640]  if I had my druthers, I'd butt fuck both your brothers. Yes.
[12:07.640 --> 12:10.400]  That's what this man wrote for his country song. I didn't write these lyrics.
[12:10.400 --> 12:13.360]  I only laughed to them and reported them to you. But he says,
[12:13.680 --> 12:16.440]  if I had my druthers, I'd butt fuck both your brothers.
[12:16.720 --> 12:20.000]  Then I'd find your sister and take her out back and fester.
[12:20.360 --> 12:24.480]  And the funniest fucking part of the evening was when this theater filled with
[12:24.480 --> 12:27.000]  people dressed in country folk attire,
[12:27.000 --> 12:31.920]  they looked like great hardworking people, including they're really cute.
[12:31.920 --> 12:33.360]  Those little country girls are adorable.
[12:33.360 --> 12:36.320]  Little jean shorts and a little tank top and a big old country smile.
[12:36.320 --> 12:39.160]  And they got that sweet accent and they just smile at you. Uh,
[12:39.160 --> 12:41.640]  those country girls are fucking adorable. But then they,
[12:41.840 --> 12:45.240]  when he says take her out back and fester the entire theater,
[12:45.240 --> 12:50.120]  every person in there did their own sort of animated motion of a fisting
[12:50.120 --> 12:52.800]  motion. There were a couple of uppercuts. There were a couple of like,
[12:53.240 --> 12:55.760]  the guy did the move. Like he's putting on a rubber glove. There were,
[12:56.080 --> 13:01.000]  everybody did some sort of fisting motion and it made me laugh so
[13:01.000 --> 13:04.520]  hard. It was some of the funniest shit I've seen in a long time. It was unplanned.
[13:04.520 --> 13:08.040]  It was unchoreographed, but just imagine a country looking audience.
[13:08.240 --> 13:10.280]  Everybody looks all nice, right? They got a beer in their hand.
[13:10.280 --> 13:12.400]  Their shirts are all nice. He looked fucking good tonight.
[13:12.840 --> 13:13.840]  And then this dude says,
[13:14.080 --> 13:17.920]  take her out back and fester and everybody made the goddamn fester motion.
[13:18.200 --> 13:22.480]  It was hilarious. It was truly hilarious to me. That's what I was there for.
[13:22.640 --> 13:25.880]  I wanted to go see what that was like live in person.
[13:25.880 --> 13:27.760]  I honestly thought it was going to be a sausage fest.
[13:27.760 --> 13:30.280]  I thought there was going to be like 40 dudes up in the front,
[13:30.280 --> 13:34.280]  but that place was packed. It was a very, toward the end of the night,
[13:34.560 --> 13:38.080]  it was quite a diverse crowd. It wasn't all country fan folks.
[13:38.080 --> 13:39.000]  There were a lot of, uh,
[13:39.680 --> 13:43.960]  people that I would assume found Wheeler through the podcasts like myself and
[13:43.960 --> 13:47.400]  just wanted to go see this. It's kind of comedy. It's hilarious. I love music.
[13:47.400 --> 13:50.560]  I love comedy. When you mix the two, that's some of my favorite shit.
[13:50.840 --> 13:55.400]  And just seeing a theater full of people singing along to songs like drop them
[13:55.400 --> 13:58.920]  out, drop them out as about letting me see your boobs and redneck shit.
[13:58.920 --> 14:00.240]  It's just about redneck shit.
[14:00.600 --> 14:04.760]  And eating pussy and kicking ass was one of the funniest to see.
[14:05.080 --> 14:07.200]  Just seeing these little country girls singing,
[14:07.200 --> 14:10.280]  eating pussy and kicking ass was so hilarious. You guys, it was really funny.
[14:10.480 --> 14:13.400]  So it was a really affordable show. I couldn't believe how cheap it was.
[14:13.400 --> 14:14.880]  I definitely got my money's worth.
[14:14.880 --> 14:17.120]  It cost me more in gas than it costs to get in the show.
[14:17.120 --> 14:20.560]  So that was a good time. I know a lot of people are going to say country music.
[14:20.560 --> 14:22.640]  I can't stand country music. It's,
[14:22.800 --> 14:25.920]  that's just the thing in your head that has a label and you decide you don't like
[14:25.920 --> 14:27.680]  it because it's got that label on it. If you can,
[14:27.960 --> 14:31.600]  if you can appreciate the fucking rhythm and then you can go listen to the words
[14:31.600 --> 14:34.040]  that are happening on top of it and put the whole picture together,
[14:34.320 --> 14:37.360]  it will make you giggle. It will make you laugh at some funny shit.
[14:37.760 --> 14:40.200]  So that's my experience in my first country show.
[14:40.440 --> 14:43.160]  I don't know if that totally counts cause it was a Wheeler Walker Jr,
[14:43.400 --> 14:46.320]  but it was pretty damn close. It's as close as I think I'm going to get,
[14:46.960 --> 14:48.200]  but I had a good ass time.
[14:48.200 --> 14:52.400]  So shout out to a Wheeler Walker Jr and his band and also shout out to the Gothic
[14:52.400 --> 14:53.880]  theater. You guys,
[14:53.880 --> 14:58.680]  this podcast may get long because I am going to do a long talk after I take a
[14:58.680 --> 15:02.560]  dab and a drink. I'm going to do a talk about genetic drift.
[15:02.560 --> 15:05.480]  We're actually going to change the terminology. We're going to change your mind.
[15:05.480 --> 15:09.080]  We're going to change your thought process on genetic drift. Stay tuned.
[15:09.080 --> 15:09.920]  I'll be right back.
[15:21.480 --> 15:23.280]  All right, podcast world. I am back.
[15:23.280 --> 15:25.800]  I am well hydrated and heavily medicated.
[15:25.920 --> 15:29.320]  Thanks for being patient with me while I got my life together momentarily.
[15:29.880 --> 15:33.600]  While I was gone, I took some dabs of this custom OG's nectar.
[15:34.600 --> 15:38.520]  It is a blend of Skittles and AFGUI and Larry OG.
[15:38.520 --> 15:41.160]  The flavor is described as assorted hard candies.
[15:41.520 --> 15:44.640]  I didn't really get the assorted hard candies that the label describes.
[15:45.040 --> 15:48.480]  It's more of a, it's kind of a fruity sort of a thing, which I guess could,
[15:48.760 --> 15:52.320]  could, could translate to fruity candy, but it's more of a fruit,
[15:52.320 --> 15:54.960]  kind of a floral nectary kind of a thing. I'm enjoying it.
[15:55.480 --> 15:57.640]  This was a good high kind of mellowed me out,
[15:57.840 --> 15:59.800]  not as super high speed as I was before.
[15:59.960 --> 16:04.360]  So that should be good for this portion of the podcast. Before we took a break,
[16:04.360 --> 16:07.040]  I teased that we were going to talk about genetic drift.
[16:07.040 --> 16:10.120]  And I said we were going to change your mind about genetic drift.
[16:10.440 --> 16:14.760]  Let's get right into it. I've got a lot of notes on the iPad for this one.
[16:14.760 --> 16:19.120]  So let's start with what is genetic drift or what do we think genetic drift
[16:19.120 --> 16:19.840]  means?
[16:19.840 --> 16:24.120]  Some growers believe that cloning plant over multiple generations will lead to a
[16:24.160 --> 16:27.120]  loss of plant vigor, health, or potency.
[16:27.480 --> 16:31.280]  So imagine if you've got a plant and you want to grow it again, right?
[16:31.280 --> 16:34.160]  So you can take a clone off of it. Then you flower that plant out.
[16:34.160 --> 16:37.120]  Now you've got a clone that plant grows up. You take clones off of that.
[16:37.120 --> 16:39.680]  You flower that out. Now you've got clones in preservation.
[16:39.680 --> 16:41.040]  You just keep repeating that process.
[16:41.800 --> 16:45.680]  Some folks believe that over time that will lead to problems,
[16:45.680 --> 16:48.880]  which is known as genetic drift. Now, cannabis is an annual plant,
[16:48.880 --> 16:52.400]  meaning it would only live for one year or one season. Naturally,
[16:52.400 --> 16:56.160]  our natural growing season outdoors is dictated by the sun.
[16:56.480 --> 17:00.320]  The natural cannabis plant life cycle is usually about six to eight months long
[17:00.320 --> 17:01.720]  without any human interaction,
[17:01.960 --> 17:06.720]  depending on where those plants are located from the equator in relation to the
[17:06.720 --> 17:10.040]  equator. They may be shorter or longer just based on where they are.
[17:10.480 --> 17:14.920]  So to keep our selected genetic library available, we keep mother plants.
[17:14.920 --> 17:19.360]  Mother plants are clones of select cultivars that are kept in a perpetual
[17:19.400 --> 17:23.800]  vegetative state by keeping that light cycle on for 18 or more hours per day.
[17:24.320 --> 17:28.880]  Now those mother plants act as preserve for our genetic stable and also to
[17:28.880 --> 17:30.960]  provide clones for production,
[17:30.960 --> 17:34.200]  whether it's for flowering amount for production or for breeding,
[17:34.400 --> 17:37.000]  whatever you're doing, that's where the clones will come from for the future.
[17:37.840 --> 17:41.760]  Now we're able to grow out a large mother plant and we can take 50 to a hundred,
[17:41.760 --> 17:45.440]  maybe even more clones from a single mother plant and run those for production.
[17:45.440 --> 17:49.240]  Now that ensures that all of my plants in that production run are the same
[17:49.240 --> 17:52.800]  thing. They're all tried, true, tested, reliable, potent,
[17:53.080 --> 17:57.720]  female plants that I've ran before. I know that they've got resistance to pest.
[17:57.760 --> 18:01.440]  They've got resistance to pathogens and I know how long it takes them to flower.
[18:01.680 --> 18:02.840]  I know what to look for.
[18:02.920 --> 18:05.560]  I know when certain things are going to happen in the growth phase.
[18:05.800 --> 18:08.760]  So I'm running 50 to a hundred of the same thing.
[18:09.160 --> 18:11.480]  This makes my garden easy to manage.
[18:12.080 --> 18:14.360]  I've grown this specific cultivar plenty of times,
[18:14.560 --> 18:17.400]  so I know what to expect. I've got a relationship with it now.
[18:17.640 --> 18:19.920]  So I know that I've got a hundred of the same thing to work with.
[18:20.160 --> 18:24.440]  So there are no variables and I can hit my goals and that makes everybody happy.
[18:24.440 --> 18:26.240]  Me, I'm happy because I've hit my goals.
[18:26.240 --> 18:28.840]  The grow team's happy because we likely get a bonus.
[18:29.000 --> 18:32.080]  The owners are happy because they're making more money because the store has
[18:32.080 --> 18:33.880]  quality product. The customers are happy.
[18:34.040 --> 18:37.080]  The patients are happy because they're buying a quality product and there's
[18:37.080 --> 18:37.900]  plenty of it.
[18:37.900 --> 18:42.440]  So it makes everybody happy when I hit my goals as a cultivation manager.
[18:42.600 --> 18:45.360]  Now over time, these mother plants we work with,
[18:45.360 --> 18:49.000]  they get too large and you can't really just keep cutting them down smaller
[18:49.000 --> 18:51.920]  because they get misshapen and they become a difficult mess.
[18:52.520 --> 18:55.520]  They just have the plant with a super thick stock on it.
[18:55.520 --> 18:57.200]  That's just got two arms coming off of it.
[18:57.200 --> 18:59.760]  That's got a whole bunch of mini arms coming off different directions.
[19:00.360 --> 19:03.440]  They just get messy and hard to deal with. So after a while,
[19:04.680 --> 19:07.200]  it's time to replace your mother plant. That's a simple process.
[19:07.240 --> 19:10.800]  I replace my mother plants every three to six months ish,
[19:10.840 --> 19:14.840]  depending on the state of my garden and depending on which cultivar I am working
[19:14.840 --> 19:18.200]  with. Some things that grow super fast, like the redheaded stranger,
