[00:17.920 --> 00:19.720]  Hi-de-lee-ho, Podcast World.
[08:55.000 --> 08:57.920]  Now let's talk about foliar feeding a little bit more in depth.
[08:57.920 --> 08:58.920]  Go light.
[08:58.920 --> 09:02.720]  When you are foliar feeding, you're applying this directly to the leaves.
[09:02.720 --> 09:03.720]  We don't need that.
[09:03.720 --> 09:08.680]  If it says apply 100, only apply about 15 to 25.
[09:08.680 --> 09:13.560]  Remember, you can spray more, but you can't unspray those nutrients.
[09:13.560 --> 09:18.120]  If you see some burn, some leaf curl, some leaf damage, that is because you sprayed too
[09:18.120 --> 09:22.800]  hard or my next note, you possibly sprayed with the lights on.
[09:22.800 --> 09:26.240]  Turn the lights off, foliar feed or spray.
[09:26.240 --> 09:29.600]  Wait for the foliar feed to completely turn the fans off as well.
[09:29.600 --> 09:31.360]  Turn the lights and the fans off.
[09:31.360 --> 09:32.840]  Apply your foliar feed.
[09:32.840 --> 09:35.520]  Wait for that to dry, then turn the lights back on.
[09:35.520 --> 09:39.960]  If you spray with the lights on, remember when you were a kid, a lot of boys did this.
[09:39.960 --> 09:42.640]  You girls won't know what I'm talking about probably.
[09:42.640 --> 09:45.880]  When we were a kid, we would get a magnifying glass and you could burn ants or you could
[09:45.880 --> 09:51.960]  catch paper on fire with the magnifying glass by using the sun and that bubble angle of
[09:51.960 --> 09:55.600]  the light and you could focus that light on a piece of paper or possibly the ants if you
[09:55.600 --> 09:58.240]  were creepy and you could catch some shit on fire.
[09:58.240 --> 10:02.920]  I think that that bubble that is on your leaf surface acts with the grow light and it will
[10:02.920 --> 10:05.760]  make the same type of burn on your plants.
[10:05.760 --> 10:09.920]  We will get, or also we can potentially get some phytotoxicity from the light and the
[10:09.920 --> 10:15.400]  heat interacting with some foliar feeds, especially oily pesticides.
[10:15.400 --> 10:20.080]  So my advice, spray a light solution of foliar feed.
[10:20.080 --> 10:26.080]  If you're using nutrients, go lightly and also spray always in the dark with the lights off.
[10:26.080 --> 10:27.080]  Don't have the grow lights on.
[10:27.080 --> 10:30.800]  The light above me, like the little LED light lighting up the room, that is cool, but your
[10:30.800 --> 10:32.120]  grow lights, turn those off.
[10:32.120 --> 10:34.880]  Any high intensity lighting for your grow, turn that off.
[10:34.880 --> 10:38.480]  Your normal room lights you could see and work, that'll be just fine, but we don't want
[10:38.480 --> 10:41.300]  the big grow lights, the big bright shit, turn that off.
[10:41.300 --> 10:44.200]  We don't want to get problems on the plants.
[10:44.400 --> 10:44.900]  All right.
[10:44.900 --> 10:49.440]  Also, I said a moment ago that using a surfactant will pop up in our concentrates.
[10:49.440 --> 10:53.320]  Oftentimes, if you're going to spray something, it is a good idea to use a surfactant.
[10:53.320 --> 10:54.880]  That is something to think about.
[10:54.880 --> 10:59.600]  That is a sticker and a spreader, something you would mix in with your foliar feed.
[10:59.600 --> 11:03.120]  I use this with a pesticide with the foliar feed quite often in veg.
[11:03.120 --> 11:08.040]  I wouldn't do this past the late veg stage because this may pop up in your concentrates,
[11:08.040 --> 11:13.200]  but something to spread and stick this application to the leaves.
[11:13.200 --> 11:17.280]  They sell products, dish soap is acceptable, cocoa wet is acceptable.
[11:17.280 --> 11:21.400]  There are a lot of great things that will work as a surfactant if you'd feel like you
[11:21.400 --> 11:22.400]  need it.
[11:22.400 --> 11:25.920]  I use it to make the product stick and go further because oftentimes I'm working in
[11:25.920 --> 11:28.240]  a commercial grow and every little bit helps.
[11:28.240 --> 11:29.240]  I think it'll really help.
[11:29.240 --> 11:33.480]  If you're in a small grow, it may not do a big difference, but I think it helps.
[11:33.480 --> 11:34.480]  All right.
[11:34.480 --> 11:36.040]  Also, don't spray that too late.
[11:36.040 --> 11:38.720]  Don't go after week three or week two of flower.
[11:38.720 --> 11:41.480]  Don't use your surfactants, any sort of oils, anything like that.
[11:41.480 --> 11:43.160]  It's best not to spray at all.
[11:43.160 --> 11:44.920]  I understand shit happens.
[11:44.920 --> 11:46.040]  You may have to do some stuff.
[11:46.040 --> 11:47.040]  I get it.
[11:47.040 --> 11:48.880]  Adapt, adjust, save the crop.
[11:48.880 --> 11:49.880]  All right.
[11:49.880 --> 11:54.480]  When we are foliar feeding, I would recommend a pH of around seven.
[11:54.480 --> 11:59.280]  Adjust the pH of your foliar feed to about seven, six, eight, seven, two, somewhere around
[11:59.280 --> 12:00.600]  there is going to be good.
[12:00.600 --> 12:06.800]  Seven will work the best to not burn the leaves and achieve best nutrient absorption depending
[12:06.800 --> 12:09.440]  on the nutrients you are applying to these plants.
[12:09.440 --> 12:10.760]  That's also going to matter a lot.
[12:11.040 --> 12:12.040]  All right.
[12:12.040 --> 12:13.080]  Let's keep moving forward.
[12:13.080 --> 12:16.080]  Spray the plant starting at the bottom and work your way up.
[12:16.080 --> 12:19.720]  This is standard horticultural spraying practice.
[12:19.720 --> 12:22.560]  My tongue is not liking the word horticultural today.
[12:22.560 --> 12:27.320]  I don't know why, but when we are applying pesticides or a foliar feed to the plants,
[12:27.320 --> 12:31.600]  start at the bottom, the bottom inside of the plant, work your way out and up.
[12:31.600 --> 12:35.640]  So kind of worked in the middle, spray out toward the outer edge, then work your way
[12:35.640 --> 12:39.640]  up the plant, lifting the leaves as you go a little bit, getting the bottom of the leaves.
[12:39.680 --> 12:42.320]  That also gets the top of the leaves that you just sprayed.
[12:42.320 --> 12:44.040]  You'll get the whole thing.
[12:44.040 --> 12:48.840]  Something to think about, I like to spray a foliar feed on the top of the leaf and a
[12:48.840 --> 12:52.760]  pesticide on the bottom of the leaf is kind of how I focus.
[12:52.760 --> 12:56.440]  If I'm hitting it hard, I will coat that entire fucking plant just to make sure there are
[12:56.440 --> 12:57.440]  no bugs in there.
[12:57.440 --> 12:59.200]  It just depends on what the goal is.
[12:59.200 --> 13:03.800]  But rule of thumb, kind of in general, pesticides on the bottom, foliar feed on the top of the
[13:03.800 --> 13:04.800]  leaf.
[13:04.800 --> 13:08.320]  If you're trying to be economical, cost effective, that's the best way to do it.
[13:08.320 --> 13:09.320]  So spray at the bottom.
[13:10.000 --> 13:11.000]  Work your way up.
[13:11.000 --> 13:15.920]  Don't overspray with a foliar feed, but coat and soak the leaves or don't overspray.
[13:15.920 --> 13:16.920]  That's what I said.
[13:16.920 --> 13:18.880]  We don't want it running off and draining off.
[13:18.880 --> 13:22.720]  You don't want the outer edge of the plants on the ground to look like it was raining.
[13:22.720 --> 13:25.240]  You want to maybe look like it got misted there a little bit.
[13:25.240 --> 13:26.400]  Don't waste your pesticides.
[13:26.400 --> 13:27.740]  Don't overspray.
[13:27.740 --> 13:31.580]  If you overspray, you risk the potential of all that spray running right off of your plants.
[13:31.580 --> 13:33.220]  You want it to be on there.
[13:33.220 --> 13:35.000]  The smaller the bubbles, the better.
[13:35.000 --> 13:39.480]  If you can get super small bubbles to spray on your plants, the better.
[13:39.480 --> 13:41.520]  The plants will absorb more that way.
[13:41.520 --> 13:45.640]  They'll get more of the, if it's a foliar feed or a pesticide application, they will
[13:45.640 --> 13:48.440]  get the best with the smaller bubbles.
[13:48.440 --> 13:51.320]  I'm making sure I'm following my notes here.
[13:51.320 --> 13:53.920]  Spray the top, bottom for bugs.
[13:53.920 --> 13:55.960]  Always write down what you've sprayed.
[13:55.960 --> 14:00.080]  Write down what you sprayed, exactly how much of it you sprayed, when you sprayed it, the
[14:00.080 --> 14:02.240]  date, every plant that got sprayed.
[14:02.240 --> 14:04.440]  In a commercial environment, I talk about this a lot.
[14:04.880 --> 14:05.880]  You've already heard this.
[14:05.880 --> 14:10.640]  In a commercial environment, we have to write down what we sprayed, our license number,
[14:10.640 --> 14:15.080]  the EPA number of the product we sprayed, what time we applied it, how much of it we
[14:15.080 --> 14:19.680]  used per gallon of water, how many gallons of water were applied to the room, which plants
[14:19.680 --> 14:20.680]  were sprayed.
[14:20.680 --> 14:25.080]  We're supposed to write down either all plants in room A, which is how we used to do it,
[14:25.080 --> 14:26.880]  or the plant tag numbers.
[14:26.880 --> 14:32.160]  You've got to write down a lot of information, the time, the date, the re-entry time.
[14:32.160 --> 14:33.880]  All of that stuff is going to be written down.
[14:33.880 --> 14:36.080]  I recommend you write that down now.
[14:36.080 --> 14:39.320]  Just get yourself in the habit of writing that stuff down.
[14:39.320 --> 14:43.440]  Now while you're writing down what you foliar sprayed, maybe consider writing down what
[14:43.440 --> 14:44.840]  you were trying to correct.
[14:44.840 --> 14:48.640]  What was your reason for spraying this particular mix?
[14:48.640 --> 14:53.240]  Why did you mix up this much of your base nutrients and a dash of cow mag and spray
[14:53.240 --> 14:54.400]  that on your plants today?
[14:54.400 --> 14:55.400]  What was your goal?
[14:55.400 --> 14:58.160]  Did you see something wrong or were you trying to boost them?
[14:58.160 --> 15:00.520]  Were you just trying to give them a little push?
[15:00.520 --> 15:05.360]  We'll talk about push in a moment because that's one of my favorite foliar feeding products.
[15:05.360 --> 15:07.360]  Also I feed, what's the other one?
[15:07.360 --> 15:10.640]  Liquid Karma and Push are my two favorites to foliar feed.
[15:10.640 --> 15:14.400]  Also you'll see me foliar feed a lot of cow mag, but let's keep going.
[15:14.400 --> 15:16.700]  I recommend a pump sprayer.
[15:16.700 --> 15:19.160]  They sell pump sprayers in a lot of different sizes.
[15:19.160 --> 15:23.160]  You don't want to be in there with a little spray bottle like you're doing the windows.
[15:23.160 --> 15:24.160]  That will kill your wrist.
[15:24.160 --> 15:27.880]  If you've got more than one plant, your wrist is going to die.
[15:27.880 --> 15:32.520]  Invest in the appropriate size pump sprayer to get the best application you can.
[15:32.520 --> 15:37.120]  Those little deck sprayers or pesticide sprayers that they sell at your local hardware shop.
[15:37.120 --> 15:40.240]  If you've got a small mom and pop shop, I recommend you go there.
[15:40.240 --> 15:43.920]  If not, they've got them at the orange box shop or the blue box shop at Home Depot and
[15:43.920 --> 15:45.360]  Lowe's has got you covered.
[15:45.360 --> 15:46.360]  Get one of those pump sprayers.
[15:46.360 --> 15:48.940]  It's like a gallon, maybe two gallons of water.
[15:48.940 --> 15:49.940]  You don't have to fill it.
[15:49.940 --> 15:54.960]  You can put one gallon in there, put enough nutrients to foliar feed one gallon, do your
[15:54.960 --> 15:57.600]  feeding application and then clean it out.
[15:57.600 --> 16:01.560]  Don't leave that pump sprayer sitting there with old pesticides, old nutrients in there.
[16:01.560 --> 16:02.560]  It's going to get moldy.
[16:02.560 --> 16:03.560]  It will get funky.
[16:03.560 --> 16:06.360]  Then you're going to apply mold to your plants the next time you use it.
[16:06.360 --> 16:07.360]  Take care of your shit.
[16:07.360 --> 16:10.100]  Buy it one time, clean it every time you use it.
[16:10.100 --> 16:11.400]  It should last quite a while.
[16:11.400 --> 16:13.200]  The rings on there stay well.
[16:13.200 --> 16:16.800]  A little note when you are buying those pump sprayers.
[16:16.800 --> 16:19.280]  This is fucking random, but it will help you out.
[16:19.280 --> 16:25.200]  I prefer the pump sprayer that has a pressure release valve.
[16:25.200 --> 16:26.400]  Let's talk about what's going to happen.
[16:26.400 --> 16:27.920]  We're going to get a pump sprayer.
[16:27.920 --> 16:31.760]  You're going to put the amount of water which you'd like to put in there, one or two gallons,
[16:31.760 --> 16:33.440]  maybe less, maybe more.
[16:33.440 --> 16:36.600]  We're going to add our nutrients, our pesticide.
[16:36.600 --> 16:38.240]  Then we're going to put our surfactant.
[16:38.240 --> 16:39.320]  Then we're going to pH it.
[16:39.320 --> 16:40.960]  Then we're going to shake the shit out of it.
[16:40.960 --> 16:45.000]  That's one thing to always think about when using any sort of spray application.
[16:45.000 --> 16:46.000]  Shake it.
[16:46.000 --> 16:50.320]  Make sure you've got that emulsified in that container so you're not just applying ... Imagine
[16:50.320 --> 16:53.200]  if the Kool-Aid was real thick at the bottom and you just drank the top half.
[16:53.200 --> 16:56.240]  You'd be mad when everybody got to the bottom without you.
[16:56.240 --> 16:57.240]  Mix it up real good.
[16:57.240 --> 16:58.240]  Shake the shit out of it.
[16:58.240 --> 17:03.680]  Then we're going to pump it real good, 25 pumps or something like that on the big ones,
[17:03.680 --> 17:06.680]  12 or something pumps on the little ones is what it recommends on the label.
[17:06.680 --> 17:10.600]  We're going to pump it to where it's going to have good pressure to spray real hard.
[17:10.600 --> 17:13.280]  At this point, I recommend you've already got gloves and goggles on.
[17:13.280 --> 17:15.120]  We should have mentioned that before.
[17:15.120 --> 17:19.960]  Always wear your personal protective equipment when mixing, shaking, applying, messing with
[17:19.960 --> 17:21.760]  the pesticides or the foliar feeds.
[17:21.760 --> 17:23.160]  You can get it in your eye.
[17:23.160 --> 17:24.200]  It's going to suck.
[17:24.200 --> 17:26.080]  Wear your personal protective equipment.
[17:26.920 --> 17:27.920]  That's a note from Ross to Jeff.
[17:27.920 --> 17:29.080]  We're going to shake it up, right?
[17:29.080 --> 17:30.080]  Shake the shit out of it.
[17:30.080 --> 17:31.360]  Shake, shake, shake it up, baby.
[17:31.360 --> 17:33.480]  Now, then we're going to spray the plants.
[17:33.480 --> 17:37.520]  Now, it's time to clean our sprayer.
[17:37.520 --> 17:39.840]  We didn't use all the charge from the pump.
[17:39.840 --> 17:43.880]  I want to let off that pressure, but I don't want to stand there and spray my pesticide
[17:43.880 --> 17:47.080]  or my foliar feed into the air because the plants are sprayed.
[17:47.080 --> 17:49.560]  I don't want to spray it into the toilet, down the drain.
[17:49.560 --> 17:51.400]  What am I going to do to let that pressure off?
[17:51.400 --> 17:55.800]  I like a spray bottle or a sprayer that's got the pressure release valve so that when
[17:55.840 --> 17:59.720]  I unscrew that top valve, it doesn't blast off into my face.
[17:59.720 --> 18:04.440]  You can simply let some of the pressure off, unscrew it, and not break your pump sprayer.
[18:04.440 --> 18:06.320]  I think it'll make it last longer.
[18:06.320 --> 18:10.400]  They're not much more expensive, so I think it will be worth the small investment.
[18:10.400 --> 18:11.400]  You can find those.
[18:11.400 --> 18:14.160]  I recommend always go to a local mom and pop shop.
[18:14.160 --> 18:17.640]  That's the way we should do it, support mom and pop, support local shops.
[18:17.640 --> 18:20.760]  If you don't support them, when you do need them, they won't be there.
[18:20.760 --> 18:24.560]  They'll tell you, order from Amazon, bro, and then Amazon doesn't have any advice or
[18:24.560 --> 18:25.560]  guidance.
[18:26.320 --> 18:28.880]  Go to a mom and pop shop, help them out, their guidance and advice, their interaction will
[18:28.880 --> 18:30.320]  be worth the extra couple of bucks.
[18:30.320 --> 18:33.600]  Again, if they're not available, hit that Lowe's, the Home Depot.
[18:33.600 --> 18:34.960]  They've always got sprayers.
[18:34.960 --> 18:40.160]  Over in the pesticide area, they've got that big gross pesticide section there.
[18:40.160 --> 18:41.760]  You can find some useful things.
[18:41.760 --> 18:44.200]  Pick up a package of mosquito dunks while you're there.
[18:44.200 --> 18:48.440]  I just did the Dave Letterman, fucking Johnny Carson phone pinpoint.
[18:48.440 --> 18:49.440]  I call this a phone.
[18:49.440 --> 18:51.640]  Also, that fucking, that's a brain injury.
[18:51.640 --> 18:52.840]  But there we go.
[18:52.840 --> 18:54.560]  Get some skeeter dunks while you're there.
[18:54.560 --> 18:55.560]  That's a presidential point.
[18:55.560 --> 18:58.880]  If I ever seen one, the Obama point.
[18:58.880 --> 19:00.600]  Mosquito dunks come in handy for a lot of things.
[19:00.600 --> 19:04.800]  We can mix those up in our regular feed and put those in the water and get rid of a lot
[19:04.800 --> 19:08.160]  of basic soil-borne pests.
[19:08.160 --> 19:09.160]  Let me get back on track.
[19:09.160 --> 19:11.560]  Get yourself a good sprayer while you're at the store there.
