[00:00.000 --> 00:02.000]  3, 2, 1...
[02:00.000 --> 02:02.000]  I prefer a certain brand.
[02:02.000 --> 02:05.000]  I like a certain little range of flavors which they offer.
[02:05.000 --> 02:07.000]  So the concentrates are consistent.
[02:07.000 --> 02:11.000]  Then there will be some days when I can open up that same jar of concentrate
[02:11.000 --> 02:17.000]  and take just, you know, like a maybe a .25, maybe a .2 of a gram of a dab out of that thing
[02:17.000 --> 02:19.000]  and just be completely obliterated.
[02:19.000 --> 02:22.000]  My eyes get heavy, they get red, time starts traveling funny.
[02:22.000 --> 02:24.000]  I can't remember what the fuck I was thinking about.
[02:24.000 --> 02:28.000]  So I have what I call drastic tolerance swings.
[02:28.000 --> 02:30.000]  One day I can look at the jar of dabs and get fucking wrecked.
[02:30.000 --> 02:34.000]  One day I can smoke the whole jar of dabs, all of the dabs and not get a proper buzz.
[02:34.000 --> 02:37.000]  There are several things that I think contribute to that.
[02:37.000 --> 02:39.000]  A lot of them are health wise.
[02:39.000 --> 02:45.000]  I realized maybe I was catching a cold when I was getting that super low tolerance time period for a week there.
[02:45.000 --> 02:47.000]  Had a little bit of a sniffle.
[02:47.000 --> 02:49.000]  That was rude to do into the microphone, but it was a good example.
[02:49.000 --> 02:51.000]  I was getting a little bit of a sniffle there.
[02:51.000 --> 02:53.000]  I noticed I was taking a nap more than usual.
[02:53.000 --> 02:56.000]  So I may have been fighting off a little bit of a cold.
[02:56.000 --> 03:02.000]  That may have been affecting my cannabis tolerance, just getting extra high because there were other things happening in my body.
[03:02.000 --> 03:08.000]  Also I've noticed my levels of hydration have a lot to do with how buzzed I get from cannabis.
[03:08.000 --> 03:12.000]  If I've been drinking sugary and sweet drinks, maybe I've had some juice or something.
[03:12.000 --> 03:16.000]  Maybe I've had, I don't drink a lot of sugary junky crap,
[03:16.000 --> 03:22.000]  but if I've had too much sugary foods or snacks or something, juice with a lot of sugar in it, real fruity kombucha,
[03:22.000 --> 03:27.000]  I got that high blood sugar, I can't get the proper buzz because I'm just competing with the sugar.
[03:27.000 --> 03:32.000]  If I've eaten a big fat, fatty meal with a bunch of rice and a bunch of noodles and stuff,
[03:32.000 --> 03:36.000]  sometimes the dabs make me more lazy than they will give me a nice head buzz.
[03:36.000 --> 03:43.000]  So a lot of it has to do with diet, with my intake, with my other things I'm putting into my body, what I'm reacting with, responding to.
[03:43.000 --> 03:47.000]  Hydration is one of the major issues in my dab ability.
[03:47.000 --> 03:53.000]  If I'm not properly hydrated, I can't take a big dab because my lungs say, bro, what are you doing?
[03:53.000 --> 03:59.000]  If I'm well hydrated, if I've had several glasses or bottles of water today and I take a big fat dab,
[03:59.000 --> 04:01.000]  my lungs go, yeah, dude, you're nice and hydrated.
[04:01.000 --> 04:05.000]  You can use that dryness into your lungs and it's not going to be a big deal.
[04:05.000 --> 04:07.000]  So a lot of it is physical.
[04:07.000 --> 04:10.000]  A lot of it is what I'm putting into my body to go along with the dabs,
[04:10.000 --> 04:13.000]  to prepare for the dabs and recover from the subsequent dabs.
[04:13.000 --> 04:19.000]  Another thing that people chimed in with, the most common response and reaction and comment was,
[04:19.000 --> 04:25.000]  company have a lot to do with your dabs and your response to consuming cannabis.
[04:25.000 --> 04:29.000]  When you're by yourself and you smoke or you eat edibles, you don't have anybody to look over and go,
[04:29.000 --> 04:31.000]  dude, are you as fucking high as me?
[04:31.000 --> 04:33.000]  Or dude, did you even get anything off of those edibles?
[04:33.000 --> 04:34.000]  You don't have that.
[04:34.000 --> 04:38.000]  You don't have anybody to ask, anybody to laugh at or compare it to or to give you hints.
[04:38.000 --> 04:40.000]  It's just you trying to figure your life out.
[04:40.000 --> 04:44.000]  You may not even notice, and this is going to segue into the next part here,
[04:44.000 --> 04:47.000]  you might not even notice how high you are until you change your environment.
[04:47.000 --> 04:52.000]  A lot of people said environment and setting have a lot to do with your buzz.
[04:52.000 --> 04:56.000]  Your environment will give you a phenotypical expression on your buzz.
[04:56.000 --> 04:58.000]  That's just a girl room joke.
[04:58.000 --> 05:00.000]  But environment and setting have a lot to do with it.
[05:00.000 --> 05:04.000]  I've noticed if I dab right here or if I dab in the other office space,
[05:04.000 --> 05:07.000]  which you guys are familiar with, if you've seen my live videos or seen me on other shows,
[05:07.000 --> 05:12.000]  I've got another office space in which I frequently take dabs and hang out and do recordings in there.
[05:12.000 --> 05:17.000]  If I hang out in those spaces, my tolerance is unlimited because I don't have to do anything
[05:17.000 --> 05:19.000]  except to deal with my personal space.
[05:19.000 --> 05:21.000]  I know where this microphone is.
[05:21.000 --> 05:22.000]  I know where this table is.
[05:22.000 --> 05:23.000]  This chair is secure.
[05:23.000 --> 05:24.000]  I'm safe.
[05:24.000 --> 05:28.000]  In my office space, I've got a nice, chill, super comfy office chair.
[05:28.000 --> 05:30.000]  I've got all the music I can imagine.
[05:30.000 --> 05:32.000]  I've got a nice sound setup in there.
[05:32.000 --> 05:33.000]  I've got the AirPods in my ears.
[05:33.000 --> 05:34.000]  There's a couch in there.
[05:34.000 --> 05:35.000]  Nothing could go wrong.
[05:35.000 --> 05:36.000]  There's a change of clothes in there.
[05:36.000 --> 05:38.000]  There are a bunch of sneakers.
[05:38.000 --> 05:39.000]  It's a chill place.
[05:39.000 --> 05:41.000]  Nothing could go wrong in my little chill areas.
[05:41.000 --> 05:46.000]  So sometimes I'll take a bunch of dabs, and for the sake of telling a story that a lot of people are going to listen to,
[05:46.000 --> 05:50.000]  I'll call my Uber driver, and they'll come pick me up.
[05:50.000 --> 05:53.000]  As soon as I get in that Uber, I think to myself,
[05:53.000 --> 05:56.000]  Holy shit, I'm high as fuck.
[05:56.000 --> 05:59.000]  But when I was chilling in the office or chilling at the recording studio space,
[05:59.000 --> 06:01.000]  I didn't even notice how buzzed I was.
[06:01.000 --> 06:02.000]  I was cool.
[06:02.000 --> 06:03.000]  Everything was going just fine.
[06:03.000 --> 06:06.000]  And then I walked outside and felt that outside air hit my skin, and I went,
[06:06.000 --> 06:08.000]  Whoa, shit.
[06:08.000 --> 06:09.000]  And the neighbor across the way said,
[06:09.000 --> 06:10.000]  What's up, Rasta Jeff?
[06:10.000 --> 06:11.000]  And I went, Hey, bro.
[06:11.000 --> 06:14.000]  And realized I'm talking in slow motion and hearing in 3D.
[06:14.000 --> 06:16.000]  And then again, the Uber and the Uber driver is like,
[06:16.000 --> 06:17.000]  Where are you going?
[06:17.000 --> 06:18.000]  And you're like, I don't fucking know, dude.
[06:18.000 --> 06:20.000]  I typed that in a minute ago, and I already forgot.
[06:20.000 --> 06:22.000]  Where are you taking me?
[06:22.000 --> 06:25.000]  Like, you don't realize until you change your setting and your environment.
[06:25.000 --> 06:26.000]  And then you get somewhere.
[06:26.000 --> 06:28.000]  How many times have you thought you were cool?
[06:28.000 --> 06:32.000]  Maybe you go somewhere, and allegedly, hypothetically, you drive to,
[06:32.000 --> 06:34.000]  and I'm just going to say in high school, back in the day where I'm from,
[06:34.000 --> 06:35.000]  we all went to the mall.
[06:35.000 --> 06:37.000]  I like to go hit the mall on Saturdays and buy some sneakers,
[06:37.000 --> 06:40.000]  go see if there's any new sneaker drops.
[06:40.000 --> 06:44.000]  So sometimes, allegedly, you drive to the mall, you get to the mall parking lot,
[06:44.000 --> 06:46.000]  you roll a fat one up, or maybe you burn it on the way to the mall.
[06:46.000 --> 06:47.000]  Whatever you do, right?
[06:47.000 --> 06:50.000]  You smoke on the way to the mall, and you think, I'm legit.
[06:50.000 --> 06:53.000]  You get out of the car, the cloud comes out of the car, you all giggle.
[06:53.000 --> 06:56.000]  You fucking put in eye drops like nobody's going to notice that all six of you
[06:56.000 --> 06:59.000]  are walking around smelling like a fucking dispensary in the mall,
[06:59.000 --> 07:01.000]  giggling at stupid shit, looking stoned in there.
[07:01.000 --> 07:03.000]  You think you're getting away with it, but it's cool.
[07:03.000 --> 07:06.000]  Anyway, you walk into the mall, and then you realize, oh my goodness,
[07:06.000 --> 07:09.000]  there are people in here, and there are stores, and there are lights,
[07:09.000 --> 07:12.000]  and I'm so high that it's almost uncomfortable,
[07:12.000 --> 07:14.000]  but it's really fun because I like that sort of a thing.
[07:14.000 --> 07:18.000]  I've noticed that when I change my setting, my environment, my surroundings,
[07:18.000 --> 07:20.000]  I really get a different buzz.
[07:20.000 --> 07:24.000]  I've noticed that when we used to go to city council meetings,
[07:24.000 --> 07:28.000]  I would get the most paranoid, weird, anxiety-ridden buzz,
[07:28.000 --> 07:30.000]  and it was cool because I could have cannabis.
[07:30.000 --> 07:33.000]  You weren't supposed to take it in there, but I mean I could be around cannabis.
[07:33.000 --> 07:38.000]  I could be stoned. I was a medical cannabis patient there talking about medical cannabis.
[07:38.000 --> 07:42.000]  I was definitely consuming between work and the meetings,
[07:42.000 --> 07:45.000]  so I was going in, and they knew that I smelled like cannabis
[07:45.000 --> 07:49.000]  and looked like cannabis, and for some reason, that buzz was just so fucking nerve-wracking
[07:49.000 --> 07:51.000]  being in there super high.
[07:51.000 --> 07:53.000]  I probably would not have enjoyed it as much.
[07:53.000 --> 07:57.000]  It probably would have been even more nerve-wracking if I wasn't nice and blazed.
[07:57.000 --> 08:02.000]  Then there are places that I go that I feel just totally fucking I don't even notice that I'm blazed.
[08:02.000 --> 08:04.000]  Once I get to the dispensary, I'm like,
[08:04.000 --> 08:07.000]  what's up guys and gals because my friends work at all the dispensaries where I shop,
[08:07.000 --> 08:10.000]  and I'm just hanging out with my bros, hanging out with my friends.
[08:10.000 --> 08:13.000]  I got to show them my ID and give them money, but we all know each other.
[08:13.000 --> 08:15.000]  We say what's up. It's a fist bump situation.
[08:15.000 --> 08:18.000]  So when I'm at the dispensary, I don't notice how buzzed I am.
[08:18.000 --> 08:21.000]  Get back in the car to drive in the Uber again to get back home,
[08:21.000 --> 08:25.000]  and then I'm like, dude, you're going too fast, and he's like, I'm parked, bro.
[08:25.000 --> 08:28.000]  It's just all about setting, scenario, location.
[08:28.000 --> 08:34.000]  That is a huge contributing factor to the buzz, which I feel like a lot of us receive.
[08:34.000 --> 08:37.000]  Who you're with. Imagine if you're smoking with me.
[08:37.000 --> 08:42.000]  Some people, and not to sound that way, some people do meet me and smoke with me and act all starstruck and weird.
[08:42.000 --> 08:46.000]  That's really funny to me, but then smoking with me, you've got nothing to worry about.
[08:46.000 --> 08:50.000]  Like I'm not the cops. I'm not Babylon. I'm not your mom. I'm not your lawyer.
[08:50.000 --> 08:53.000]  I'm not your doctor. We're going to smoke dabs, and we're going to have a good ass time.
[08:53.000 --> 08:56.000]  I don't care what you do once we get stoned. Do your thing. We're going to have fun.
[08:56.000 --> 09:02.000]  Be weird. Eat snacks. Say strange things. Stare off into space. I expect it from you.
[09:02.000 --> 09:06.000]  I got you too damn high. Then imagine smoking dabs with your doctor.
[09:06.000 --> 09:09.000]  You're going to get a really weird buzz. It's going to be kind of fucking strange.
[09:09.000 --> 09:12.000]  If you've got a cool lawyer, you might get to smoke some dabs with your lawyer,
[09:12.000 --> 09:16.000]  but it's all about who and where, what you're smoking.
[09:16.000 --> 09:18.000]  Sometimes in the car, you've got that little protective bubble.
[09:18.000 --> 09:20.000]  As soon as you get out of the car, you're not in that bubble.
[09:20.000 --> 09:23.000]  Life is weird out there. It's lots of environment.
[09:23.000 --> 09:26.000]  You think you're fine until you pull up to the drive-thru window and try to order.
[09:26.000 --> 09:28.000]  You guys, be careful if you're smoking in the car.
[09:28.000 --> 09:33.000]  These are all just hypothetical funny ideas that I may or may not have experienced in my high school days.
[09:33.000 --> 09:40.000]  Another thing that heavily, in my opinion, contributes to the buzz which I receive from consuming my cannabis
[09:40.000 --> 09:43.000]  is not only the product. The product is definitely a huge factor.
[09:43.000 --> 09:48.000]  I've said that I've got my favorite brands. I've got a few brands I really select and support.
[09:48.000 --> 09:50.000]  None of them sponsor the show. They don't pay me to talk about them.
[09:50.000 --> 09:54.000]  I just like to buy the products because they taste good, they smoke well, they give me a good buzz.
[09:54.000 --> 09:58.000]  Most of the time, I buy Green Dot Labs, the live batter.
[09:58.000 --> 10:02.000]  Part of the time, I buy the Binsk batter because it tastes good and it gives me a nice buzz.
[10:02.000 --> 10:07.000]  There are a couple more that I'll buy just in the periphery if those are ran out or sold out or whatever.
[10:07.000 --> 10:11.000]  But that's what I prefer. Those products give me a nice buzz.
[10:11.000 --> 10:17.000]  If I get something and I like the batters, when I smoke the Diamonds, the buzz comes on real fast, real strong.
[10:17.000 --> 10:22.000]  It's more of a head sweat, bug-eyed sort of a thing. Sometimes, that's what I'm after.
[10:22.000 --> 10:25.000]  So that's a different sort of a buzz. The product is what I'm talking about.
[10:25.000 --> 10:31.000]  Shatter gives me a completely different buzz than the Diamonds, the sauce, or the batter.
[10:31.000 --> 10:34.000]  Smoke and Flower is a completely different buzz.
[10:34.000 --> 10:38.000]  I like to carry a pipe around when I'm doing chores around the house.
[10:38.000 --> 10:43.000]  If I'm just cleaning up, if I'm cooking food, if I'm cleaning up from cooking food, if I'm chopping vegetables,
[10:43.000 --> 10:46.000]  I've just got a pipe sitting there and I just fucking take a rip off the pipe.
[10:46.000 --> 10:50.000]  There's usually a pipe within reach, just like a little security blanket, just to keep the little buzz going.
[10:50.000 --> 10:55.000]  It doesn't give me what I need from a dab, but it'll make the dab last a little longer.
[10:55.000 --> 10:59.000]  So the product and then what I was going to get to next is the device.
[10:59.000 --> 11:04.000]  My favorite rig, I'm going to say that sentence again because I feel like I slurred that one all out.
[11:04.000 --> 11:10.000]  My favorite rig gives me a completely different buzz than my non-favorite rig.
[11:10.000 --> 11:13.000]  My first place rig hits way better than my second place rig.
[11:13.000 --> 11:16.000]  I love my second and third place rigs. I've got a lot of rigs.
[11:16.000 --> 11:20.000]  But my first place rig is first place for a reason.
[11:20.000 --> 11:25.000]  Something about the ritual of the way it fits in my hand, the way the mouthpiece fits against my mouth,
[11:25.000 --> 11:30.000]  the way that the carb cap reaches, the way that the dabber reaches.
[11:30.000 --> 11:36.000]  It's far enough away from my eyes so I don't look cross-eyed trying to get the dabber into the banger.
[11:36.000 --> 11:42.000]  And then when I go to carb cap it, it's not too far away from my face, but it's not so big that it's cumbersome.
[11:42.000 --> 11:47.000]  My rig is my favorite rig and it gives me the most beautiful hits.
[11:47.000 --> 11:52.000]  I know that rig. I know how hard to pull. I know how hard to draw. I know how long to draw.
[11:52.000 --> 11:56.000]  I know how to wiggle the carb cap. I know exactly how much water to put into it.
[11:56.000 --> 12:03.000]  I know when I've bitten off more than I can chew and I should stop pulling so hard or pull a little bit harder with that rig.
[12:03.000 --> 12:06.000]  That rig is my favorite and I talk about it a lot. I show it off a lot.
[12:06.000 --> 12:09.000]  I'll pop a picture in right now so that you guys can see the rig I'm talking about.
[12:10.000 --> 12:14.000]  But that's the rig I love to hit. It feels really nice on my lungs. It gives me a good dab.
[12:14.000 --> 12:20.000]  When I hit other rigs, sometimes I don't even feel like I got a nice hit, got a nice buzz because I'm like,
[12:20.000 --> 12:24.000]  ah, this rig sucks or whatever. The nail is too small. The mouthpiece is shaped funny.
[12:24.000 --> 12:28.000]  I don't like the little peepee shaped mouthpiece if it's like a, I have a peepee shaped.
[12:28.000 --> 12:33.000]  If it's phallic shaped and it's got the little hole in it and I have to make a kissy shaped face to hit it.
[12:33.000 --> 12:38.000]  I feel like the size dabs I take, I get a lot of concentrate built up on the kissy face part of my lips
[12:38.000 --> 12:41.000]  and my lips get all sticky and they get all red and I look all weird.
[12:41.000 --> 12:44.000]  And then I walk around doing this for the next 20 minutes with my lips.
[12:44.000 --> 12:49.000]  I'm just going, because I got that sticky shit on my lips and I act like a little kid and don't know what the fuck to do with it.
[12:49.000 --> 12:53.000]  So I don't like the peepee shaped, tapered, skinny, skinny mouth rigs.
[12:53.000 --> 12:58.000]  I prefer a flared out trumpet mouthpiece style rig that I can just put over my mouth.
[12:58.000 --> 13:03.000]  And then I know that the smoke is getting in there and I don't have to make that duck face, peepee suck face,
[13:03.000 --> 13:04.000]  whatever face you're talking about.
[13:05.000 --> 13:10.000]  So sometimes somebody's rig, I'll take a dab of really quality concentrates and I know it's a fat dab.
[13:10.000 --> 13:13.000]  And I'm like, where'd all that smoke go? Where's my dab, dude? What happened?
[13:13.000 --> 13:17.000]  And I don't know their nail. I don't know their carb cap. I don't know their rig.
[13:17.000 --> 13:21.000]  And so the nail is too hot or too cold. I don't cap it properly. I don't hit it at the right time.
[13:21.000 --> 13:26.000]  And then also the rig just sucks. It doesn't bubble right. There's too much, too little water in there.
[13:26.000 --> 13:28.000]  I don't feel like I got a good dab.
[13:28.000 --> 13:35.000]  Then occasionally I'm going to give praise right after I complain just because this does happen too in reality and life.
[13:35.000 --> 13:39.000]  Occasionally somebody will hand me a dab and a rig. I'll be like, you want to hit my new rig?
[13:39.000 --> 13:44.000]  And I'll be like, that looks all fancy. And I'll go in and take a hit and that rig will uppercut me in the dick
[13:44.000 --> 13:47.000]  and it will be one of the best dabs I've ever had.
[13:47.000 --> 13:52.000]  So it's kind of unpredictable sometimes with the rig. Depends on the shape of the rig, the quality of the rig.
[13:52.000 --> 13:57.000]  Who made the rig has a lot to do with it. There are some makers out there that really focus on getting a good fat rip.
[13:57.000 --> 14:06.000]  Some people want to, and this is all opinion based. Some people, in my opinion, like or want too many bubbles and spinnies
[14:06.000 --> 14:13.000]  and functions and twists and turns and fucking fancy ways for the water to go and drains and spouts and twisties.
[14:13.000 --> 14:19.000]  And I said twisty too many times, but they want all these directions and cool flows and recycles and in cycles and out cycles
[14:19.000 --> 14:26.000]  and donuts and shit. That's cool. But in my opinion, every one of those twists, turns, ins, outs, steals a little bit of my dab.
[14:26.000 --> 14:31.000]  It steals the airflow. It steals the turps. It steals the resin and it's more to clean. Just not for me.
[14:31.000 --> 14:38.000]  I like a dab that goes from the banger to the water to where it cools off a little bit. Doesn't splash me in my mouth.
[14:38.000 --> 14:44.000]  And then into my brain so that it's just like dab and uppercut. Oh, I'm stoned. That's what I want from it.
[14:44.000 --> 14:51.000]  So I got off on a huge ramble on there, but the rig, the fucking setting, the environment, that rig has a lot to do with it.
[14:51.000 --> 14:57.000]  In my opinion is where I was headed. A lot of people like a really ornate rig. I prefer a simple rig. Punch me in the face.
[14:57.000 --> 15:03.000]  Get me going. So who you're hanging out with will have a lot to do with it. If you smoke with me or if you smoke with your fucking lawyer
[15:03.000 --> 15:08.000]  or if you smoke with a judge, probably going to cop a different buzz environment.
[15:08.000 --> 15:14.000]  If you're smoking before you go into a rock concert or a dispensary, totally chilly.
[15:14.000 --> 15:19.000]  Shouldn't be paranoid at all. If you smoke before you go into court or walk into the bank, you're probably going to get the sweats.
[15:19.000 --> 15:25.000]  You're probably going to get the armpit sweats and a little bit of anxiety. It's all about setting. It's all about where you're going.
[15:25.000 --> 15:31.000]  Then also the rig and the product are going to have a lot to do with the buzz. Then what you've eaten, what you've consumed, your physical health,
[15:31.000 --> 15:36.000]  your mental health are going to have a lot to do with how that buzz comes on to you.
[15:36.000 --> 15:40.000]  I really, really talked a lot longer than I meant to about that part.
[15:40.000 --> 15:44.000]  So this is the part where I'm going to jump into some Patreon questions.
[15:44.000 --> 15:48.000]  I've gotten a lot of short, random Patreon questions that have just been sitting around.
[15:48.000 --> 15:54.000]  So I just compiled a few of them. A couple come from people that send me a lot of questions.
[15:54.000 --> 16:02.000]  A couple of these are from brand new people. I'm just going to go through a few of these and see if I can't knock out a couple of pages of these short, random questions.
[16:02.000 --> 16:10.000]  I think the first two came from the same person. So with less rambling, a little less talk, a little more action, let's jump into the first one.
[16:10.000 --> 16:20.000]  It says, here is a question for you. Rasta Jeff. Sometimes I hear you talk about rubbing the stems of the male plant, as you describe the odors in very vivid and graphic terms.
[16:20.000 --> 16:23.000]  Yes, some of my terms are very graphic.
[16:23.000 --> 16:30.000]  Then it says, are we to take from this that terpene profiles are male dominant traits?
[16:30.000 --> 16:39.000]  So let's talk about this question. When I do talk about selecting male plants and also female plants, I like to rub the stem of the plant, the stalk of the plant.
[16:39.000 --> 16:45.000]  So you got the fucking base of the plant and I've lollipop that probably a few inches and then the branches come up and whatever.
[16:45.000 --> 16:53.000]  A lot of times I'll just grab that naked stalk of the plant, just pinch it with my fingers and rub it, give it a little, a little rub and tug and then smell my fingers.
[16:53.000 --> 16:59.000]  And I notice a lot in those aromas that come off of there. That's not what the plant is going to smell like when it's finished.
[16:59.000 --> 17:06.000]  That's not what the final product will smell like, but it tells me a little bit of what the ingredients I'm working with now smell like.
[17:06.000 --> 17:17.000]  And from experience, from being a breeder that's done this a lot, I know what the now flavor, the now smell will turn into later and what it translates to into the breeding project.
[17:17.000 --> 17:27.000]  So I know that in my opinion, a male plant that smells acrid like vomit, like bar trash can, like that fermented bar trash can.
[17:27.000 --> 17:35.000]  If you've ever had to take out the trash at the bar, if you've ever taken out the trash at the bowling alley or somewhere that serves booze and food,
[17:35.000 --> 17:42.000]  there's this acrid smell in the bottom of the trash can that's just, it's fermented, it's funky, it's putrid.
[17:42.000 --> 17:54.000]  That smell in a male plant translates to gassy, funky, burnt rubber tennis ball, cushy, stanky aromas when you breed with that plant.
[17:54.000 --> 18:02.000]  So that's why I talk about rubbing the male of the plant. I give it a little rub and tug, straight up smell my fingers and observe what I've smelled.
[18:02.000 --> 18:08.000]  Try to hit the fingers with rubbing alcohol, get all that smell off of there, rub them on your jeans or on your khakis real hard.
[18:08.000 --> 18:14.000]  Use your other hand, smell another plant, then clean that hand again. And then hopefully by now the turps are gone from both hands.
[18:14.000 --> 18:18.000]  You go back and repeat the process. You could smell a few plants and see what you're working with.
[18:18.000 --> 18:28.000]  One will fucking stand out. Even if you don't clean your fingers enough, one of them will make you go, ooh, go with your heart, go with your body, go with your senses.
[18:28.000 --> 18:34.000]  That's like your body knows when you need something, desire something, want something, when something's going to work for you.
[18:34.000 --> 18:37.000]  When you smell oranges, you go, that smells good because there's vitamins in there.
[18:37.000 --> 18:41.000]  When you smell poop, your body goes, I probably shouldn't eat that because that's waste.
[18:41.000 --> 18:46.000]  We're programmed to know what our body wants. So go with the one that your nose tells you to go with.
[18:46.000 --> 18:53.000]  I did a podcast maybe six years ago that's called Follow Your Nose Because Your Nose Always Knows.
[18:54.000 --> 18:59.000]  And it's still accurate. Follow your nose because your nose is one of your biggest receptors.
[18:59.000 --> 19:01.000]  They could tell your body what's good for you and what's bad for you.
[19:01.000 --> 19:06.000]  Like I just said, oranges smell good for a reason. Poopoo smells bad for a reason.
[19:06.000 --> 19:14.000]  Now the question is, are we to take from this that terpenes are male dominant traits? No, that is not what I mean by that.
[19:14.000 --> 19:22.000]  I just know what that male trait delivers to the mix. And I know that I've had success using that ingredient.
[19:22.000 --> 19:28.000]  So a lot of our, when you're chefing, you need to use butter and cream or two other things I can't think of right now that would mix well.
[19:28.000 --> 19:33.000]  But butter and cream mix well every fucking time, right? Or salt and cream. I'm fucking that all up anyway.
[19:33.000 --> 19:40.000]  You got to salt the cream, right? So if you've got a plant that fucking, you can always count on that male plant that smells like puke to be your cream.
[19:40.000 --> 19:46.000]  It's always going to work with most things or it's always going to be your butter. You can butter up almost everything. It's always going to work.
[19:46.000 --> 19:50.000]  So that's, it's just chefing in my opinion. I've had good, that may have been a terrible fucking analogy.
[19:50.000 --> 19:55.000]  I may have lost everybody with that, but you know me. So I just think that it's like chefing.
[19:55.000 --> 20:00.000]  And I know that that's a good starter. That's a good base. That's a good color palette to bust out.
[20:00.000 --> 20:05.000]  To start with, it will mix well with a lot of things that will compliment a lot of things.
[20:05.000 --> 20:12.000]  That muted puke flavor is like kind of on the darker grayer side, if you think in colors.
[20:12.000 --> 20:19.000]  And if you mix it with the pinks and blues, which you get from like strawberry, blueberry, oranges, which you'd get from orange flavored turps.
[20:19.000 --> 20:26.000]  It allows them to mingle very well together. Then you get that dark color with the lighter color and it brings out the best of both worlds.
[20:26.000 --> 20:33.000]  That's a little view into my weird thought process on colors and flavors and chefing and creating strains.
[20:33.000 --> 20:39.000]  I just know that that puke flavored trait evolves or translates into good things in the future.
[20:39.000 --> 20:47.000]  I know that if you've got a male plant that smells acrid and sour, that you get that weird swampy, cushy flavor in the end.
[20:47.000 --> 20:51.000]  If it's got berries at the start, it's going to have way too much berries in the flavor in the end.
[20:51.000 --> 20:54.000]  That's just something I know from working with a lot of male plants.
[20:54.000 --> 21:01.000]  So rub those males, rub the females, see what they work, see what they smell like, see what they turn into once you work with them a few times.
[21:01.000 --> 21:09.000]  You'll get familiar with it. You'll say when it smells like berries at the start, when it's got this watermelon smell or strawberry smell at the beginning,
[21:09.000 --> 21:13.000]  it turns into grapefruits at the end or something. You'll notice that. You'll start to learn that.
[21:13.000 --> 21:17.000]  That's just all from growing the same plants over and over and over again.
[21:17.000 --> 21:22.000]  All right. Thank you for that great question, my friend. I'm going to move on to the next question on my cards here.
[21:22.000 --> 21:27.000]  It says, Rasta Jeff, thank you for sharing, sharing your unique talent.
[21:27.000 --> 21:32.000]  Have you ever included cow manure compost or mushroom compost in your soil mixes?
[21:32.000 --> 21:38.000]  Do you have an opinion one way or the other? And I just simply replied with no, because that is not my style.
[21:39.000 --> 21:43.000]  I buy cocoa. I buy perlite and I mix cocoa and perlite together.
[21:43.000 --> 21:54.000]  And that's generally my mix for a commercial grow. In my personal grows, I honestly rotate from something like a Roots Organics or the 707 mix.
[21:54.000 --> 22:01.000]  Sometimes I buy what's it called? Fertilum in the red bag. Then I put a lot of perlite in that.
[22:01.000 --> 22:05.000]  Sometimes I buy what is the other one? Fox Farms Ocean Forest.
[22:05.000 --> 22:10.000]  I buy right now. It's kind of hard to get a lot of soil because things are limited because of the situations we're in.
[22:10.000 --> 22:20.000]  So I get what is available. And I believe that since I'm feeding my plants with such good nutrients, I mainly use new millennium bottled nutrients with a couple of additives.
