[00:00.000 --> 00:13.360]  Right here we go.
[02:43.760 --> 02:47.960]  And of course I did include that link in the show notes to make it nice and easy for all
[02:47.960 --> 02:48.960]  of my friends.
[02:48.960 --> 02:52.640]  All right, I think we have covered all of the business part of the show.
[02:52.640 --> 02:53.900]  Let's not waste too much time.
[02:53.900 --> 02:55.400]  Let's jump into the Patreon questions.
[02:55.400 --> 02:59.240]  Of course, if you've got a question, you can send it to me via Patreon.
[02:59.240 --> 03:02.360]  There's a level on Patreon that you will get your question right to the top of the
[03:02.360 --> 03:03.360]  list.
[03:03.360 --> 03:05.400]  Patreon.com forward slash grow from your heart.
[03:05.400 --> 03:10.520]  The first Patreon question came from that they sign it, but they want their name said
[03:10.520 --> 03:15.160]  this came from girls grow too and it goes like this.
[03:15.160 --> 03:20.440]  It says Rasta Jeff, can you give me any advice on pH meters and EC meters?
[03:20.440 --> 03:23.320]  The cheap shit on Amazon sucks, obviously.
[03:23.320 --> 03:28.440]  And yet it's hard to find really solid information on equipment that isn't total bullshit.
[03:28.440 --> 03:29.440]  I trust you.
[03:29.440 --> 03:30.680]  Do you have any advice?
[03:30.680 --> 03:34.640]  Are $150 meters worth it?
[03:34.640 --> 03:40.400]  Yeah, unfortunately you get what you pay for when it comes to EC meters and pH pens and
[03:40.400 --> 03:42.280]  all that good stuff.
[03:42.280 --> 03:43.840]  Unfortunately the good shit is expensive.
[03:43.840 --> 03:45.600]  That is scientific equipment.
[03:45.600 --> 03:50.040]  And in most cases when it comes to scientific equipment, the more expensive, the better.
[03:50.040 --> 03:51.960]  I know that's not probably what you wanted to hear.
[03:51.960 --> 03:56.960]  You wanted me to recommend some sort of $40 device that will save the day.
[03:56.960 --> 03:58.480]  Unfortunately I don't have that recommendation.
[03:58.480 --> 04:00.640]  I'm going to screen share some stuff here.
[04:00.640 --> 04:04.400]  If you were watching the video, this is exactly the device that I would recommend.
[04:04.400 --> 04:07.120]  I'm showing a blue lab pH pen.
[04:07.120 --> 04:10.400]  There's a blue lab pH pen for $116.
[04:10.400 --> 04:13.600]  Then there's another combo meter that is $308.
[04:13.600 --> 04:17.920]  That one will measure pH and conductivity and temperature.
[04:17.920 --> 04:22.280]  The conductivity is the EC, the electrical conductivity that measures the amount of nutrient
[04:22.280 --> 04:24.120]  solution in the water.
[04:24.120 --> 04:25.240]  That is the device I use.
[04:25.240 --> 04:26.600]  The blue lab combo meter.
[04:26.640 --> 04:28.560]  It is $308.
[04:28.560 --> 04:31.560]  When you buy that, I also recommend you buy the storage solution.
[04:31.560 --> 04:36.200]  And I also recommend you buy one or two bottles of calibration solution.
[04:36.200 --> 04:38.960]  You'll need a four and a seven and possibly a 10.
[04:38.960 --> 04:40.480]  Do your research before you buy that.
[04:40.480 --> 04:42.200]  Get the appropriate calibration solution.
[04:42.200 --> 04:44.720]  It comes with a little tiny bit, but not enough.
[04:44.720 --> 04:45.720]  I like more.
[04:45.720 --> 04:47.440]  I like to calibrate about once a week.
[04:47.440 --> 04:52.120]  So if you're on a tight budget, you don't need that EC meter and you just want to check
[04:52.120 --> 04:53.120]  the pH.
[04:53.120 --> 04:54.880]  I recommend this blue lab pH pen.
[04:54.880 --> 04:56.040]  It is a good product.
[04:56.040 --> 04:59.920]  If you really want to step it up, go for the blue lab combo meter.
[04:59.920 --> 05:03.240]  Of course they do offer in the middle here, you see the blue lab truncheon meter that
[05:03.240 --> 05:07.360]  is, it says impossibly tough EC meter built to last a lifetime.
[05:07.360 --> 05:08.640]  That is a good product as well.
[05:08.640 --> 05:10.480]  I recommend the blue lab stuff.
[05:10.480 --> 05:11.760]  We're relying on these products.
[05:11.760 --> 05:14.440]  These are like, if you were a carpenter, this is your saw or your hammer.
[05:14.440 --> 05:16.520]  You're going to use this every single day.
[05:16.520 --> 05:18.000]  You want this right there on your tool belt.
[05:18.000 --> 05:19.160]  You're going to need this.
[05:19.160 --> 05:21.440]  Make sure you spend good quality money on it.
[05:21.440 --> 05:22.880]  Don't cheap out on this type of equipment.
[05:22.880 --> 05:24.960]  It's something that, like I said, you're using it every day.
[05:24.960 --> 05:29.280]  Your plants rely on you to have the appropriate pH and EC, so get the good shit.
[05:29.280 --> 05:32.520]  I think I covered you on there.
[05:32.520 --> 05:35.680]  Proper storage is very important when you do get a good pH pen.
[05:35.680 --> 05:37.640]  Make sure it is stored properly.
[05:37.640 --> 05:41.080]  There is a storage solution that they recommend you store your pH meter in.
[05:41.080 --> 05:44.360]  Put some in the cap and then push the meter right into there and they'll leave, you'll
[05:44.360 --> 05:45.680]  leave some of that moisture in the cap.
[05:45.680 --> 05:46.880]  You never want it to get dry.
[05:46.880 --> 05:49.160]  The phrase is, if it dries, it dies.
[05:49.160 --> 05:50.840]  Never let your meters get dry.
[05:50.840 --> 05:51.840]  It's over.
[05:51.840 --> 05:54.800]  Also clean them and calibrate them obsessively.
[05:54.800 --> 05:58.920]  When you do get what you pay for, so like I keep saying, don't cheap out.
[05:58.920 --> 06:01.160]  You're growing kind of an expensive product.
[06:01.160 --> 06:05.080]  If you think about the value of the product in the end, you've got a hundred or 300 bucks
[06:05.080 --> 06:08.920]  to spend on this product, or at least you will after a couple of harvests, or you'll
[06:08.920 --> 06:11.840]  save that much on your dispensary runs.
[06:11.840 --> 06:13.020]  Think about it economically.
[06:13.020 --> 06:16.080]  Think about returning investment into your garden so your garden is better.
[06:16.080 --> 06:18.360]  Yeah, you do got to buy the expensive one.
[06:18.360 --> 06:22.360]  I wish that I had cheaper news for you, but it's expensive to get good shit.
[06:22.680 --> 06:26.680]  Now it says, side note, I've also listened to some of your episodes more than once and
[06:26.680 --> 06:29.960]  sending them off to friends now who are wanting to grow.
[06:29.960 --> 06:30.960]  Thank you.
[06:30.960 --> 06:31.960]  I appreciate that.
[06:31.960 --> 06:33.400]  And it says, and it's thanks to you Rasta Jeff.
[06:33.400 --> 06:34.920]  Man, you're very welcome.
[06:34.920 --> 06:35.920]  Thank you.
[06:35.920 --> 06:37.840]  I appreciate knowing that you're introducing new people to the show.
[06:37.840 --> 06:38.840]  That means a lot to me.
[06:38.840 --> 06:42.200]  That means you trust me enough to tell your other girlfriends like, Hey, listen to this
[06:42.200 --> 06:43.200]  dude.
[06:43.200 --> 06:44.200]  He's teaching me how to grow.
[06:44.200 --> 06:45.200]  He can teach you how to grow.
[06:45.200 --> 06:46.200]  That means a lot.
[06:46.200 --> 06:47.200]  So thank you.
[06:47.200 --> 06:48.200]  Fist bump.
[06:48.200 --> 06:49.200]  You just got a virtual fist bump.
[06:49.200 --> 06:51.400]  It goes on to say you're a solid human with a good big heart.
[06:51.440 --> 06:54.760]  You have a good energy that can be felt through the mic and through the screen.
[06:54.760 --> 06:56.920]  You're my favorite grow podcast by far.
[06:56.920 --> 06:59.120]  Keep it up, my man.
[06:59.120 --> 07:02.760]  From girls grow to.
[07:02.760 --> 07:03.760]  That's a great compliment.
[07:03.760 --> 07:04.760]  So thank you.
[07:04.760 --> 07:07.780]  I love that you could feel the vibes and energy coming through the screen.
[07:07.780 --> 07:09.500]  Sometimes that's not possible.
[07:09.500 --> 07:12.080]  Sometimes people feel plasticky and weird on shows.
[07:12.080 --> 07:14.920]  And sometimes when you meet them, they're not who you met through the screen.
[07:14.920 --> 07:16.360]  This is all I know how to be as me.
[07:16.360 --> 07:18.960]  So I'm glad you're noticing and thank you.
[07:18.960 --> 07:20.240]  And thanks again for the great message.
[07:20.240 --> 07:23.160]  And also thank you for the continued Patreon support.
[07:23.160 --> 07:25.560]  I see your name pop up on Patreon every month.
[07:25.560 --> 07:26.680]  You have a lot of great questions.
[07:26.680 --> 07:27.680]  You participate.
[07:27.680 --> 07:28.940]  I see you on social media.
[07:28.940 --> 07:29.940]  That means a lot to me.
[07:29.940 --> 07:30.940]  Thank you.
[07:30.940 --> 07:31.940]  Part of the Irie army forever.
[07:31.940 --> 07:32.940]  Gang gang.
[07:32.940 --> 07:33.940]  I appreciate you.
[07:33.940 --> 07:34.940]  Thank you.
[07:34.940 --> 07:38.320]  I'm putting a big check mark on your message there because I've done read that on the show.
[07:38.320 --> 07:39.680]  I wish I had cheaper advice for you.
[07:39.680 --> 07:43.320]  I wish I could recommend a cheap piece of gear, but cheap gear, why cheap out?
[07:43.320 --> 07:46.680]  You get cheap shit just like musical instruments, just like most stuff in life.
[07:46.680 --> 07:48.880]  You could buy the cheap shit if you want, but it's cheap shit.
[07:49.120 --> 07:51.320]  If you want to buy it once, go buy a good one.
[07:51.320 --> 07:55.160]  I think they say the cheap hammer is the most expensive tool you'll ever buy.
[07:55.160 --> 07:56.160]  You got to buy six hammers.
[07:56.160 --> 07:57.160]  You're going to break it every week.
[07:57.160 --> 07:58.160]  You got to go buy a new one.
[07:58.160 --> 08:01.480]  Uh, the guy that bought the $40 hammer on Monday, he didn't break it.
[08:01.480 --> 08:03.320]  You spent 10 bucks five days a week.
[08:03.320 --> 08:04.320]  He bought five hammers.
[08:04.320 --> 08:05.400]  You spent 50 bucks.
[08:05.400 --> 08:06.400]  You cheaped out.
[08:06.400 --> 08:07.400]  He didn't win.
[08:07.400 --> 08:08.480]  All right, I'll quit rambling.
[08:08.480 --> 08:09.480]  We'll get focused.
[08:09.480 --> 08:12.240]  The next message comes from North North Terps.
[08:12.240 --> 08:13.240]  What up North?
[08:13.240 --> 08:14.240]  You're getting popular.
[08:14.240 --> 08:15.760]  I heard your name on the DGC also.
[08:15.760 --> 08:19.440]  Thank you for supporting the cannabis community and cannabis podcasters.
[08:19.440 --> 08:20.680]  I appreciate it.
[08:20.680 --> 08:24.400]  And I'm sure that the dude and everybody, Scotty real, everybody at the dude grow show
[08:24.400 --> 08:27.960]  appreciates your support for the community as well.
[08:27.960 --> 08:30.200]  When I printed this message, it's funny.
[08:30.200 --> 08:34.160]  It printed the Patreon box and it printed your name, but it didn't print the full question.
[08:34.160 --> 08:37.800]  I remember that you did ask, you said you wanted to breed with Scarlet begonias.
[08:37.800 --> 08:43.320]  Is there a specific phenotype of Scarlet begonias, which I would recommend for breeding with?
[08:43.320 --> 08:44.920]  Um, yes.
[08:45.080 --> 08:47.840]  There is a, a big bushy phenotype.
[08:47.840 --> 08:50.080]  It's very fast growing.
[08:50.080 --> 08:52.160]  It's kind of like a bushy tree.
[08:52.160 --> 08:53.160]  It's fast growing.
[08:53.160 --> 08:56.520]  It takes a little bit longer to finish than most of the phenotypes.
[08:56.520 --> 08:58.040]  It's a longer finishing phenotype.
[08:58.040 --> 09:01.220]  I know that's probably not your favorite thing to hear when it comes to breeding.
[09:01.220 --> 09:03.040]  Everybody wants the fast finishers.
[09:03.040 --> 09:04.440]  I like longer flowering times.
[09:04.440 --> 09:08.680]  I think longer flowering times gives you bigger plants, more potency, more vigor.
[09:08.680 --> 09:09.840]  The longer flowering plants.
[09:09.840 --> 09:11.000]  I like their high better.
[09:11.000 --> 09:12.360]  They give me a better head buzz.
[09:12.360 --> 09:13.360]  That's what I'm looking for.
[09:13.360 --> 09:14.680]  So that's what I breed toward.
[09:15.440 --> 09:17.760]  I would find the one that grows like a big tree.
[09:17.760 --> 09:19.000]  It's a long finisher.
[09:19.000 --> 09:21.560]  It's got long skinny jacket leaves.
[09:21.560 --> 09:23.420]  It's almost like a haze plant.
[09:23.420 --> 09:25.680]  That plant makes long tall colas.
[09:25.680 --> 09:28.680]  The whole plant is just long tall colas.
[09:28.680 --> 09:33.720]  Also the trichomes are really, um, they're not, some plants make short trichomes.
[09:33.720 --> 09:35.280]  These trichomes are really tall as well.
[09:35.280 --> 09:37.040]  They'll stick up off the plants quite far.
[09:37.040 --> 09:39.840]  If you scope them, you'd be like, those are tall trichomes.
[09:39.840 --> 09:41.880]  I like that phenotype.
[09:41.880 --> 09:46.400]  Also this one, the phenotype I'm talking about, if you've grown it a few times, you'll notice
[09:46.400 --> 09:50.260]  that at the end of the flowering phase, no matter what you do, it just goes hard yellow
[09:50.260 --> 09:51.260]  on you.
[09:51.260 --> 09:52.360]  It's like, no, you can feed me.
[09:52.360 --> 09:53.440]  You can foliar feed me.
[09:53.440 --> 09:54.440]  You can top dress me.
[09:54.440 --> 09:57.800]  You can do whatever you want, but yellow, I don't give a shit.
[09:57.800 --> 09:59.360]  That is the plant that I love.
[09:59.360 --> 10:01.360]  It's very haze dominant.
[10:01.360 --> 10:04.520]  It's got a lot of the haze from the redheaded stranger cross in there.
[10:04.520 --> 10:05.600]  It's got a lot of haze.
[10:05.600 --> 10:07.500]  Maybe it's a lot of golden goat coming through in there.
[10:07.500 --> 10:09.520]  Maybe it's the Island sweet skunk.
[10:09.640 --> 10:14.760]  It's got a really sativa dominant structure, leaf shape, and a buzz.
[10:14.760 --> 10:18.840]  Something that is noticeable is it is very spicy in flavor.
[10:18.840 --> 10:22.160]  It's almost like a spicy sour apple sucker.
[10:22.160 --> 10:26.960]  If you had a sour apple sucker and maybe dunked it in jalapeno juice, I know that sounds really
[10:26.960 --> 10:31.200]  weird, but if you go get a sour apple sucker, you'll notice there's a spiciness to it.
[10:31.200 --> 10:35.240]  That is almost sour apples with a jalapeno juice on it.
[10:35.240 --> 10:36.240]  Sounds crazy.
[10:36.240 --> 10:37.240]  I fucking love it.
[10:37.960 --> 10:42.960]  It gets me so high that I'm almost, I sit still, but I'm super high.
[10:42.960 --> 10:47.240]  It's because my brain is jogging, running laps around me, but my body is so stoned that
[10:47.240 --> 10:50.640]  I can't, there's no need to move anywhere.
[10:50.640 --> 10:52.200]  That's the phenotype I would recommend.
[10:52.200 --> 10:55.920]  Breed to her and you will get, that one will put, I think you were going to breed it to
[10:55.920 --> 10:56.920]  a rise.
[10:56.920 --> 10:59.880]  I'm not sure what your goal to breed it to was because I didn't print the entire message.
[10:59.880 --> 11:00.880]  I apologize for that.
[11:00.880 --> 11:06.280]  That's poor podcasting, but breed it to that one and you will find that you get an insane,
[11:06.320 --> 11:07.920]  insane head buzz.
[11:07.920 --> 11:09.080]  It will make your eyes vibrate.
[11:09.080 --> 11:10.860]  It'll make your body vibrate.
[11:10.860 --> 11:13.040]  Like I said, your brain will be running laps inside your head.
[11:13.040 --> 11:16.560]  The fish, the little fish in your fish bowl will be swimming laps, bumping into the wall
[11:16.560 --> 11:20.340]  and shit, but your body will just be stuck and you won't want to do anything except sit
[11:20.340 --> 11:22.480]  there and try to contemplate life.
[11:22.480 --> 11:25.220]  Maybe pick the lint out of your belly button or something that's as exciting as you're
[11:25.220 --> 11:26.220]  going to get.
[11:26.220 --> 11:28.960]  So that's the female phenotype that I would use.
[11:28.960 --> 11:30.000]  There's a male phenotype.
[11:30.000 --> 11:34.840]  If you're going to breed with a male, don't get the one that is crazy tall.
[11:34.840 --> 11:38.240]  The crazy tall, tall male is just going to make crazy tall plants.
[11:38.240 --> 11:39.540]  They get even taller.
[11:39.540 --> 11:42.360]  The offspring outgrow the tall Scarlet begonias male.
[11:42.360 --> 11:43.360]  So don't do that.
[11:43.360 --> 11:44.360]  I don't recommend that.
[11:44.360 --> 11:46.760]  If you're going to use the male, find one that's medium in height.
[11:46.760 --> 11:49.840]  You don't want a super tall one because it puts off tall traits.
[11:49.840 --> 11:50.840]  Do a stem rub.
[11:50.840 --> 11:53.840]  Look for the one that's got sour apples and puke in the stem rub if you're going to use
[11:53.840 --> 11:55.200]  the male.
[11:55.200 --> 11:58.560]  That's as far as I can give you advice on that.
[11:58.560 --> 12:00.600]  You've only got so many phenotypes to pick through.
[12:00.600 --> 12:03.600]  However many seeds you've got, you got a couple of males to choose from.
[12:03.600 --> 12:06.400]  You don't want the earliest male to show you that it's a male.
[12:06.400 --> 12:07.600]  I've talked about this before.
[12:07.600 --> 12:09.080]  That's going to be too dominant in the cross.
[12:09.080 --> 12:12.720]  You want, if you've got five males, usually that second, third and fourth one are the
[12:12.720 --> 12:14.160]  ones you want to choose from.
[12:14.160 --> 12:15.760]  The first one, too dominant.
[12:15.760 --> 12:17.360]  The last one kind of weak.
[12:17.360 --> 12:19.200]  Those three in the middle are your selectors.
[12:19.200 --> 12:24.880]  Then base that on vigor, leaf shape, plant shape, aroma, stem rub.
[12:24.880 --> 12:26.320]  Did one of them get powdery mildew?
[12:26.320 --> 12:28.400]  Does one of them have spider mites and the other one doesn't?
[12:28.400 --> 12:30.560]  Use the one that doesn't have problems.
[12:30.560 --> 12:31.560]  Those are resistant.
[12:31.560 --> 12:35.440]  I'm not showing you that it's got resistance and we want to pass on resistance.
[12:35.440 --> 12:36.600]  Think about your breeding project.
[12:36.600 --> 12:37.600]  Think about your goal.
[12:37.600 --> 12:39.440]  Make sure you're not just breeding for Instagram hype.
[12:39.440 --> 12:42.000]  Make sure you've got some, I know who you are, but I know you've got a good goal.
[12:42.000 --> 12:43.760]  I'm just speaking in general.
[12:43.760 --> 12:46.480]  Breed with intention, breed with purpose, and I think you'll be all right.
[12:46.480 --> 12:48.120]  Good luck with your Scarlet Begonias breeding.
[12:48.120 --> 12:49.600]  I would love to see pictures.
[12:49.600 --> 12:52.240]  Also, I'd love a 10 pack of those seeds, bro.
[12:52.240 --> 12:55.280]  I'd probably grow those out and send you some gnarly photos of those.
[12:55.280 --> 12:57.120]  Maybe back cross it, maybe F2 it.
[12:57.120 --> 13:00.200]  You never know what a breeder like me would do with some shit like that.
[13:00.600 --> 13:01.200]  All right.
[13:01.200 --> 13:02.800]  Big shout out to my good friend, North North Terps.
[13:02.800 --> 13:04.440]  I see your name pop up quite a bit.
[13:04.440 --> 13:08.040]  I do appreciate all of the love and support that you show to the cannabis community and
[13:08.040 --> 13:09.760]  to cannabis podcasters.
[13:09.760 --> 13:12.960]  We do need people like you on our side, on our team, keeping us going.
[13:12.960 --> 13:13.960]  So thank you.
[13:13.960 --> 13:15.760]  Big virtual digital fist bump.
[13:15.760 --> 13:17.840]  I'll quit doing that because it fucks up the light every time.
[13:17.840 --> 13:18.840]  All right.
[13:18.840 --> 13:20.720]  I've got another message here in front of me.
[13:20.720 --> 13:24.000]  This one came from, do they want their name said?
[13:24.000 --> 13:25.240]  I don't even know how to say their name.
[13:25.240 --> 13:27.760]  It's got a Y and a P, a V.
[13:27.760 --> 13:29.400]  That's a lot to talk about.
[13:29.400 --> 13:30.400]  Let's keep moving.
[13:30.400 --> 13:34.320]  It goes, hey man, thanks for entertaining us, educating us and providing us with dank
[13:34.320 --> 13:36.120]  ass genetics.
[13:36.120 --> 13:38.280]  Thank you for noticing my passions.
[13:38.280 --> 13:40.160]  I love entertaining.
[13:40.160 --> 13:42.800]  I don't mean to come on here and be a wise ass and be goofy.
[13:42.800 --> 13:44.560]  That's just how I am and it comes out.
[13:44.560 --> 13:45.560]  Thank you.
[13:45.560 --> 13:46.560]  I'm glad you guys noticed that.
[13:46.560 --> 13:48.440]  Education was what I'm here for.
[13:48.440 --> 13:53.080]  Wanted to dispel all the silly myths around cannabis and then providing you with dank
[13:53.080 --> 13:54.080]  ass genetics.
[13:54.080 --> 13:55.280]  That is my passion.
[13:55.280 --> 13:56.280]  I just love breeding.
[13:56.280 --> 13:57.280]  I can't stop doing it.
[13:57.280 --> 13:58.280]  So you're welcome.
[13:58.720 --> 14:02.600]  Because I've said this before, without somebody on the other end of this relationship, I'm
[14:02.600 --> 14:03.760]  just a psychopath.
[14:03.760 --> 14:04.760]  So thank you.
[14:04.760 --> 14:05.800]  Now we're going to keep going.
[14:05.800 --> 14:10.000]  It says between all the breeding, live chats, podcasts and consulting, you've got to be
[14:10.000 --> 14:12.240]  the busiest guy in cannabis.
[14:12.240 --> 14:14.400]  Yeah, but I do take breaks.
[14:14.400 --> 14:17.960]  When I decide that it is time to take a break, there's a day or three where we just chill
[14:17.960 --> 14:19.280]  out and have a good time.
[14:19.280 --> 14:21.360]  But thank you for noticing that I'm staying busy.
[14:21.360 --> 14:22.920]  I do a lot of breeding.
[14:22.920 --> 14:23.920]  That's daily work.
[14:23.920 --> 14:25.640]  Taking care of the plants is daily work.
[14:25.640 --> 14:26.640]  Live chats.
[14:26.640 --> 14:27.640]  I do a live chat every Monday.
[14:27.760 --> 14:30.560]  I'm on Embracing Organics every Thursday.
[14:30.560 --> 14:32.280]  And then today was a Saturday afternoon.
[14:32.280 --> 14:35.640]  I did the Operation Grow Show at 2.
[14:35.640 --> 14:39.160]  I did a Cannabis Live panel where I talked about breeding at 3.
[14:39.160 --> 14:41.800]  And now it's late in the evening and I'm doing my own show.
[14:41.800 --> 14:45.880]  So I do stay pretty busy with live chats and podcasting and then consulting.
[14:45.880 --> 14:47.480]  That's like a once or twice a week thing.
[14:47.480 --> 14:49.080]  Sometimes I'm out of town for that.
[14:49.080 --> 14:50.080]  You're right, bro.
[14:50.080 --> 14:51.080]  I am super busy.
[14:51.080 --> 14:53.440]  Put some miles on the car, put a lot of miles on my throat.
[14:53.440 --> 14:54.440]  Thank you for noticing.
[14:54.440 --> 14:58.600]  It says, I appreciate all of your time and effort and the quality you bring to everything
[14:58.600 --> 14:59.600]  you do.
[14:59.600 --> 15:01.200]  That means a lot to me.
[15:01.200 --> 15:04.680]  I do make sure that everything I do is at least a solid nine.
[15:04.680 --> 15:07.000]  I try to make it a 10, but you know, we're fucking humans.
[15:07.000 --> 15:08.000]  We fuck up.
[15:08.000 --> 15:09.240]  We get to nine a lot of the times.
[15:09.240 --> 15:11.600]  I try to make everything fucking solid.
[15:11.600 --> 15:12.600]  So thank you for noticing.
[15:12.600 --> 15:17.080]  It goes on to say, I've got a question regarding CO2 enrichment.
[15:17.080 --> 15:23.320]  I ran a CO2 grow or I ran CO2 last grow and pulled significantly more weight, but I've
[15:23.320 --> 15:27.840]  got nothing to compare to it since it was the first time I ran those genetics.
[15:27.840 --> 15:30.680]  That's really good that you realized there's not a valid test in there.
[15:30.680 --> 15:35.080]  A lot of people would have jumped to the conclusion that it was the CO2, but you've got new genetics.
[15:35.080 --> 15:36.080]  Maybe those are hot fire.
[15:36.080 --> 15:38.360]  Maybe they came from seed and they had seed vigor.
[15:38.360 --> 15:41.000]  Thank you for being, uh, having thought on that.
[15:41.000 --> 15:45.720]  It goes on to say, I also ran at 800 PPM because I was not confident I would be able to keep
[15:45.720 --> 15:50.160]  the plants up with 1600 PPM of CO2.
[15:50.160 --> 15:54.240]  That is a lot of CO2 to try to maintain for eight or nine weeks of flower, especially
[15:54.240 --> 15:55.840]  if you want to add veg in there.
[15:55.840 --> 15:56.840]  So that was a good idea.
[15:56.840 --> 15:58.140]  You did increase CO2.
[15:58.140 --> 16:00.140]  You did augment it a little.
[16:00.140 --> 16:05.080]  Natural CO2 is probably somewhere between four and 450 PPMs of CO2, depending on where
[16:05.080 --> 16:06.080]  you are.
[16:06.080 --> 16:10.880]  So you were increasing and giving those plants a little extra, but it says, my question is
[16:10.880 --> 16:15.480]  in your experience, what does elevated CO2 bring to the grow?
[16:15.480 --> 16:17.520]  The first thing is another expense.
[16:17.520 --> 16:20.480]  That's the first thing you're going to notice because before you see any return on your
[16:20.480 --> 16:23.520]  investment, you are paying out of pocket for equipment.
[16:23.520 --> 16:29.840]  You need a CO2, either a generator or a tank and a regulator, and then you need tubing
[16:29.840 --> 16:31.060]  and you need a monitor.
[16:31.060 --> 16:35.140]  So the first thing you're going to notice that it brings to the grow is another expense.
[16:35.140 --> 16:38.280]  The next thing you'll notice is it brings another trip to the store.
[16:38.280 --> 16:41.440]  You've got to refill that CO2 canister somehow.
[16:41.440 --> 16:42.480]  You got to drag that.
[16:42.480 --> 16:43.480]  You got the tall ones.
[16:43.480 --> 16:44.480]  You got the short ones.
[16:44.480 --> 16:45.480]  You got to get them out of the grow space.
[16:45.480 --> 16:48.080]  If it's at your house, that could be a problem.
[16:48.080 --> 16:49.080]  So think about that.
[16:49.080 --> 16:53.440]  That's another thing that comes with CO2 is more equipment and another expense.
[16:53.440 --> 16:56.520]  But now let's talk about the return on your investment.
[16:56.520 --> 17:04.400]  What comes with the CO2 is more vigor, more size, more growth, possibly a week less veg
[17:04.400 --> 17:05.400]  time.
[17:05.400 --> 17:09.280]  If you're running CO2 and veg, they're going to get that much larger, that much more quickly.
[17:09.280 --> 17:13.800]  So you may be able to cut down your veg time by a whole entire week.
[17:13.800 --> 17:18.680]  Another thing you're going to see is a faster metabolism, which means you can feed the plants
[17:18.680 --> 17:22.640]  more, which means they eat more, which means they grow bigger and faster, which hopefully
