[00:16.890 --> 00:17.730]  Is that working?
[06:22.230 --> 06:23.070]  I'm kind of baked today.
[06:23.070 --> 06:24.270]  It's been a great day.
[06:24.270 --> 06:26.110]  Let's focus a little more.
[06:26.110 --> 06:28.270]  You guys, I went to the dispensary today.
[06:28.270 --> 06:32.270]  Big shout out to my friends at Doctors' Orders STEM Beach
[06:32.270 --> 06:34.310]  at the south end of Pueblo, Colorado.
[06:34.310 --> 06:35.430]  If you're down there, check them out.
[06:35.430 --> 06:37.910]  Let them know that Rasta Jeff sent you.
[06:37.910 --> 06:39.350]  They will take extra good care of you.
[06:39.350 --> 06:40.350]  They'll take good care of you
[06:40.350 --> 06:41.910]  no matter what at that dispensary.
[06:41.910 --> 06:43.630]  It's a small little spot.
[06:43.630 --> 06:46.270]  There's hardly ever a line, hardly ever a wait.
[06:46.270 --> 06:48.670]  You can usually walk in, get the products you need,
[06:48.670 --> 06:51.190]  and be on your way in just a few minutes.
[06:51.190 --> 06:53.430]  They have got marvelous flowers,
[06:53.430 --> 06:54.710]  and they have got my favorite.
[06:54.710 --> 06:56.710]  They've got the Green Dot batters
[06:56.750 --> 07:00.230]  and Green Dot rosins and Green Dot HCFSE,
[07:00.230 --> 07:02.430]  the high, what is that, the high cannabinoids?
[07:02.430 --> 07:04.390]  The FSE, the full spectrum extracts
[07:04.390 --> 07:05.550]  is what they've got there.
[07:05.550 --> 07:06.750]  So many letters and so many things.
[07:06.750 --> 07:09.030]  What I normally buy is the batter, to be honest with you.
[07:09.030 --> 07:09.990]  I get the batter.
[07:09.990 --> 07:11.910]  Occasionally, I get the pens.
[07:11.910 --> 07:14.870]  Right now, they've also got a bunch of Incredibles edibles.
[07:14.870 --> 07:16.190]  They did not pay for this ad.
[07:16.190 --> 07:17.030]  They're just good to me.
[07:17.030 --> 07:18.310]  Shout out to my buddy Ricky over there,
[07:18.310 --> 07:20.750]  always taking good care of me, Bud Tinder of the year.
[07:20.750 --> 07:24.710]  I was there today stocking up on my Green Dot concentrates.
[07:24.710 --> 07:28.110]  The one that I bought, it is named after an artist.
[07:28.110 --> 07:29.550]  It is called Dali.
[07:29.550 --> 07:31.350]  That Dali, bro, get you a gram of that.
[07:31.350 --> 07:33.550]  That will kick your dick in the dirt.
[07:33.550 --> 07:35.870]  It'll get you rambling on a podcast.
[07:35.870 --> 07:39.190]  Anyhow, while I was there, my good friend Ricky,
[07:39.190 --> 07:40.690]  shout out to Ricky, growing that orange gas.
[07:40.690 --> 07:41.830]  I'm like a champ,
[07:41.830 --> 07:46.270]  gave me this propaganda paper from the dispensary.
[07:46.270 --> 07:47.730]  The Marijuana Enforcement Division
[07:47.730 --> 07:51.110]  is now passing out this paperwork when you buy concentrates.
[07:51.110 --> 07:52.710]  You're supposed to pass this to a customer
[07:52.710 --> 07:54.910]  that buys concentrates in the dispensary.
[07:54.910 --> 07:57.950]  The top of it says, Colorado Department of Revenue,
[07:57.950 --> 08:00.030]  Marijuana Enforcement Division,
[08:00.030 --> 08:02.630]  use of regulated marijuana concentrate.
[08:02.630 --> 08:03.710]  I just thought this was interesting,
[08:03.710 --> 08:04.950]  so I'm gonna share this with you.
[08:04.950 --> 08:06.430]  We're gonna kind of mock this a little bit
[08:06.430 --> 08:08.190]  is what's really gonna happen here.
[08:08.190 --> 08:10.230]  They gave this to me, which I thought was funny.
[08:10.230 --> 08:11.390]  He laughed when he gave it to me.
[08:11.390 --> 08:12.750]  He said, I have to give this to every customer
[08:12.750 --> 08:13.590]  who buys a concentrate.
[08:13.590 --> 08:15.490]  And I was like, oh good, because I'm new.
[08:16.470 --> 08:18.430]  Of all people that needed some dabbing advice,
[08:18.430 --> 08:19.830]  it is definitely me.
[08:19.830 --> 08:22.830]  This is the medical and retail marijuana stores
[08:22.830 --> 08:24.370]  are required, this says,
[08:24.370 --> 08:26.270]  the medical and retail marijuana stores
[08:26.270 --> 08:28.050]  are required to provide this resource
[08:28.050 --> 08:32.430]  to individuals purchasing regulated marijuana concentrate.
[08:32.430 --> 08:36.130]  I feel like Nancy Grace when I say marijuana concentrate.
[08:36.130 --> 08:38.110]  You guys excuse the raspy voice also.
[08:38.110 --> 08:40.350]  That's from way too many dabs.
[08:40.350 --> 08:43.190]  But life goes on, we must do a podcast.
[08:43.190 --> 08:46.110]  This does say, examples of a serving size
[08:46.110 --> 08:47.390]  for each type of concentrate.
[08:47.790 --> 08:51.830]  It describes the expected serving sizes for a concentrate.
[08:51.830 --> 08:54.230]  It goes on, it says, regulated marijuana stores
[08:54.230 --> 08:56.670]  offer various categories of marijuana concentrates.
[08:56.670 --> 08:58.550]  Stores may refer to marijuana concentrates
[08:58.550 --> 08:59.910]  using different names, including,
[08:59.910 --> 09:03.430]  but not limited to terms like shatter, wax, butter,
[09:03.430 --> 09:06.110]  sugar, hash, resin, and rosin.
[09:06.110 --> 09:07.950]  So they talk about all the different names.
[09:07.950 --> 09:09.590]  Then here's where they get serious.
[09:09.590 --> 09:12.990]  Start low and go slow.
[09:12.990 --> 09:13.930]  That's real advice.
[09:13.930 --> 09:15.150]  I once heard a guy say,
[09:15.150 --> 09:17.310]  you can't unsmoke that joint, can you?
[09:18.130 --> 09:18.970]  And he was fucking right.
[09:18.970 --> 09:20.510]  But it says, start low and go slow.
[09:20.510 --> 09:21.830]  Then it says, vaping.
[09:21.830 --> 09:23.830]  Vaporizers heat marijuana concentrate
[09:23.830 --> 09:26.110]  to release THC for inhalation.
[09:26.110 --> 09:28.270]  The serving size should not exceed
[09:28.270 --> 09:32.150]  one inhalation lasting two seconds per serving.
[09:32.150 --> 09:34.670]  So they want you to, vapors that heat concentrate,
[09:34.670 --> 09:36.630]  the serving size should not exceed
[09:36.630 --> 09:39.550]  one inhalation lasting two seconds.
[09:39.550 --> 09:43.230]  That's one 1,000, two 1,000.
[09:43.230 --> 09:44.190]  That's what they want you to do.
[09:44.190 --> 09:45.310]  That makes sense, bro.
[09:45.310 --> 09:46.630]  If you're new, that'll work for you.
[09:46.630 --> 09:48.190]  I don't hold in a dab for very long either.
[09:48.190 --> 09:50.110]  I think that you get what you need.
[09:50.110 --> 09:52.190]  I think you just get COPD from holding in smoke
[09:52.190 --> 09:53.390]  for too long, that's all you're gonna get.
[09:53.390 --> 09:55.590]  I think you absorb what you're gonna absorb.
[09:55.590 --> 09:56.590]  Unless you take a giant dab,
[09:56.590 --> 09:58.430]  then I think some of it may stick to my lungs
[09:58.430 --> 09:59.950]  and I just absorb it slowly over time
[09:59.950 --> 10:01.410]  as my lungs eat it up.
[10:01.410 --> 10:02.470]  Let me get back on track.
[10:02.470 --> 10:05.630]  This says, inhalation other than vaping.
[10:05.630 --> 10:08.510]  Then it says, when consuming regulated marijuana concentrate
[10:08.510 --> 10:10.550]  by inhalation other than vaping.
[10:10.550 --> 10:12.470]  Then it says, an example, dabbing.
[10:12.470 --> 10:14.910]  The recommended serving size is a sphere
[10:14.950 --> 10:18.190]  with the diameter no larger than the dot below.
[10:18.190 --> 10:20.070]  And I'm gonna show you the dot here.
[10:20.070 --> 10:21.730]  I'm gonna hold this up as close to that camera
[10:21.730 --> 10:23.150]  as I can get it from my seat
[10:23.150 --> 10:24.630]  without messing everything up.
[10:24.630 --> 10:26.230]  But look at the size of the dot.
[10:34.940 --> 10:36.420]  I tried to move that around a couple of times
[10:36.420 --> 10:40.380]  to where I can find an edible, edited, editable.
[10:40.380 --> 10:42.340]  Do you say editable quickly?
[10:42.340 --> 10:44.580]  A spot where I can edit to where we can put that picture
[10:44.580 --> 10:45.660]  and they're really good and you can see it.
[10:45.660 --> 10:46.500]  Maybe we could blow it up.
[10:46.500 --> 10:48.340]  Maybe I'll pick a picture of it and drop it in.
[10:48.340 --> 10:51.200]  But that dot that's on there is not a very big dot.
[10:51.200 --> 10:54.360]  They want you to do a dab that is that size in diameter,
[10:54.360 --> 10:57.840]  like a full ball of, most people that might get you high.
[10:57.840 --> 10:59.880]  But for me, that's gonna make me wish
[10:59.880 --> 11:02.400]  that you would give me a dab is all that's gonna do.
[11:02.400 --> 11:04.000]  So they're telling you to inhale
[11:04.000 --> 11:06.480]  for one inhalation lasting two seconds.
[11:06.480 --> 11:08.200]  And that's if you're vaping.
[11:08.200 --> 11:10.560]  All right, and then inhalation,
[11:10.560 --> 11:13.280]  the serving size is sphere no larger than the dot below.
[11:13.280 --> 11:15.840]  Then it says, risks and precautions.
[11:15.840 --> 11:18.240]  This is the part where I got excited here.
[11:18.320 --> 11:21.960]  Use of marijuana concentrate may lead to psychotic symptoms
[11:21.960 --> 11:23.920]  and or psychotic disorder,
[11:23.920 --> 11:27.560]  including but not limited to delusions,
[11:27.560 --> 11:32.560]  hallucinations or difficulty distinguishing reality.
[11:33.100 --> 11:34.120]  That's fucking extreme.
[11:34.120 --> 11:35.560]  You've got to, what are you dabbing?
[11:35.560 --> 11:37.000]  Can I get some of that?
[11:37.000 --> 11:39.440]  Whatever made that person get delusions,
[11:39.440 --> 11:42.720]  hallucinations and difficulty distinguishing reality.
[11:42.720 --> 11:44.800]  May I please, I'll take a gram.
[11:44.800 --> 11:46.280]  I'll take a four gram jar.
[11:46.280 --> 11:47.380]  I'll pay cash.
[11:47.380 --> 11:48.260]  Where do we go from here?
[11:48.260 --> 11:50.580]  Mental health symptoms and problems.
[11:50.580 --> 11:51.620]  It doesn't list any of those,
[11:51.620 --> 11:53.840]  but it gives you the thing that it looks like
[11:53.840 --> 11:55.120]  there's more coming after that,
[11:55.120 --> 11:57.300]  but there's no stuff coming after that.
[11:57.300 --> 12:00.380]  Then it says, cannabis, hyperamesis.
[12:00.380 --> 12:01.220]  Did I say that right?
[12:01.220 --> 12:03.740]  That might be the first time I ever said that correctly.
[12:03.740 --> 12:06.220]  Cannabis, hyperamesis syndrome or CHS,
[12:06.220 --> 12:08.980]  which is known as uncontrolled and repetitive vomiting.
[12:10.240 --> 12:12.000]  I think that's pesticide exposure.
[12:12.000 --> 12:14.780]  I'm not a scientist, a Scientologist, a doctor.
[12:14.780 --> 12:16.140]  I just have a podcast.
[12:16.140 --> 12:18.500]  I did stay at a Holiday Inn one time,
[12:18.500 --> 12:22.980]  but I really think CHS is probably most likely
[12:22.980 --> 12:25.580]  a pesticide exposure.
[12:25.580 --> 12:26.840]  I could be wrong.
[12:26.840 --> 12:28.220]  Let's keep moving.
[12:28.220 --> 12:31.400]  Then it says, cannabis use disorder and dependence,
[12:31.400 --> 12:35.740]  including physical and psychological dependence.
[12:35.740 --> 12:37.580]  So they're warning you that you may,
[12:37.580 --> 12:40.120]  you just may get addicted to dabbing, bro.
[12:41.900 --> 12:43.500]  I don't see that happening.
[12:43.500 --> 12:45.180]  People, I don't think you get addicted to dabbing.
[12:45.180 --> 12:46.020]  You may enjoy it.
[12:46.840 --> 12:47.820]  You may want to do it a lot, but it does.
[12:47.820 --> 12:50.420]  In my opinion, I don't know anybody.
[12:50.420 --> 12:52.500]  Once again, I'm not a behavioral therapist.
[12:52.500 --> 12:54.540]  I'm not an addictive medicine specialist.
[12:54.540 --> 12:56.180]  We got to call in Dr. Drew for that.
[12:56.180 --> 12:58.660]  I do, however, maybe I am addicted
[12:58.660 --> 13:00.140]  since I'm justifying shit here.
[13:00.140 --> 13:01.800]  I do take breaks and I was going to encourage you
[13:01.800 --> 13:03.740]  to take breaks occasionally.
[13:03.740 --> 13:05.060]  If you follow my social media,
[13:05.060 --> 13:06.660]  if you watch my Instagram live,
[13:06.660 --> 13:10.980]  you watched last year, I took a couple of one week breaks
[13:10.980 --> 13:12.300]  and then I took a 12 day break
[13:12.300 --> 13:15.180]  where I didn't smoke any cannabis or eat any edibles
[13:15.180 --> 13:16.500]  for a stretch of 10 days.
[13:16.500 --> 13:18.580]  And then it was one week, it was seven days.
[13:18.580 --> 13:19.740]  And then I went for 10 days.
[13:19.740 --> 13:21.400]  And at the end of 10 days, I said, well, that was fun.
[13:21.400 --> 13:22.460]  Let's just keep going.
[13:22.460 --> 13:23.980]  I went for 12 days.
[13:23.980 --> 13:26.060]  Then I just wanted to smoke just because I wanted to,
[13:26.060 --> 13:27.780]  but maybe just check yourself occasionally,
[13:27.780 --> 13:30.780]  take a little break, see if that's something you need to do.
[13:30.780 --> 13:33.560]  Also, I consume medical cannabis
[13:33.560 --> 13:35.820]  and would you stop taking your medicine?
[13:35.820 --> 13:37.180]  Do you need a break from your medicine?
[13:37.180 --> 13:39.600]  The things that make you not sick or something like that?
[13:39.600 --> 13:40.540]  That's kind of the way I see it,
[13:40.540 --> 13:42.460]  but I do take breaks occasionally.
[13:42.460 --> 13:43.800]  It's always fun to clean out the system.
[13:43.800 --> 13:45.240]  You don't smoke for 10 days.
[13:45.240 --> 13:48.520]  And then when you do take a dab, it is fucking tremendous.
[13:48.520 --> 13:49.760]  You do notice that one.
[13:49.760 --> 13:51.100]  All right, let me get myself back on track.
[13:51.100 --> 13:51.940]  There's more to this paper.
[13:51.940 --> 13:53.400]  We'll wrap this up and then start talking
[13:53.400 --> 13:54.720]  about male plants here.
[13:54.720 --> 13:56.000]  Next up on the paper, it says,
[13:56.000 --> 13:58.020]  consuming concentrates via inhalation
[13:58.020 --> 14:00.120]  will cause immediate effects.
[14:00.120 --> 14:01.280]  That is accurate.
[14:01.280 --> 14:02.120]  That's accurate.
[14:02.120 --> 14:03.280]  I feel like when I take a dab,
[14:03.280 --> 14:04.880]  if I take the appropriate size dab,
[14:04.880 --> 14:08.180]  by the time I'm done blowing it out, I'm like, oh, I'm high.
[14:08.180 --> 14:09.020]  There it is.
[14:09.020 --> 14:10.360]  Like, booyah, it got me.
[14:10.360 --> 14:12.280]  And then I got to let that dab kind of sink in
[14:12.280 --> 14:14.400]  for a few minutes and let that immediate part of the dab
[14:14.400 --> 14:16.120]  kind of wear off, because it could be overwhelming
[14:16.120 --> 14:17.520]  when you take a monster dab.
[14:17.520 --> 14:18.360]  So that is accurate.
[14:18.360 --> 14:20.760]  It does come on immediately.
[14:20.760 --> 14:23.720]  Then it says, marijuana concentrates, and this is in bold,
[14:23.720 --> 14:26.040]  marijuana concentrates are not recommended
[14:26.040 --> 14:28.680]  for inexperienced marijuana users.
[14:28.680 --> 14:30.400]  Then back to our normal size font.
[14:30.400 --> 14:33.200]  THC concentration, amount of concentrate consumed
[14:33.200 --> 14:35.680]  and frequency of use can result in both short-term
[14:35.680 --> 14:37.340]  and long-term effects.
[14:37.340 --> 14:39.200]  There's moderate evidence that individuals
[14:39.200 --> 14:41.600]  who use marijuana with THC concentration
[14:41.600 --> 14:44.220]  greater than 10% are more likely than non-users
[14:44.220 --> 14:46.360]  to be diagnosed with a psychotic disorder
[14:46.360 --> 14:47.920]  such as schizophrenia.
[14:48.780 --> 14:50.520]  And they said, ah, loose, right?
[14:50.520 --> 14:53.200]  They did say there's moderate evidence.
[14:53.200 --> 14:54.760]  They don't have solid evidence.
[14:54.760 --> 14:56.760]  It kind of looks like this.
[14:56.760 --> 14:57.600]  That's what they're saying.
[14:57.600 --> 14:59.360]  That's not fucking real evidence.
[14:59.360 --> 15:01.640]  And then it says, marijuana concentrate is not approved
[15:01.640 --> 15:03.680]  by the FDA and claims of medical benefits
[15:03.680 --> 15:05.040]  are not supported by the FDA.
[15:05.040 --> 15:06.260]  That makes good sense.
[15:06.260 --> 15:08.680]  You got to put that in there for legal bullshit.
[15:08.680 --> 15:10.560]  Marijuana concentrates are not recommended
[15:10.560 --> 15:12.600]  for anyone under the age of 25,
[15:12.600 --> 15:14.440]  except if recommended by a doctor.
[15:14.440 --> 15:17.720]  People under 25 may be at greater risk of potential harm
[15:17.720 --> 15:20.800]  because the brain is not fully developed.
[15:20.800 --> 15:22.560]  So they don't want you dabbing until you're 25.
[15:22.560 --> 15:23.840]  Sorry, kid, you got to quit dabbing.
[15:23.840 --> 15:25.400]  You got to wait a couple of years.
[15:25.400 --> 15:26.320]  Keep doing your thing.
[15:26.320 --> 15:28.280]  Then it says regulated marijuana stores
[15:28.280 --> 15:30.500]  cannot provide medical advice.
[15:30.500 --> 15:33.460]  I actually, I like that.
