[00:11.130 --> 00:18.930]  Yeah. Welcome back.
[01:44.510 --> 01:47.590]  Cannabis laws on Facebook. Pueblo for sensible cannabis laws.
[01:47.590 --> 01:50.270]  You guys check that out, support it. Click like, uh,
[01:50.310 --> 01:53.150]  post your positive cannabis experiences on there.
[01:53.150 --> 01:56.390]  Share with the world why you think cannabis should be legalized,
[01:56.410 --> 01:59.270]  why we should have access to safe medicine, uh,
[01:59.290 --> 02:02.990]  why we should not get rid of recreational or medical cannabis anywhere.
[02:03.430 --> 02:06.990]  Do that. Go there. Support that shit. Do it. We'd appreciate it. Yes.
[02:07.190 --> 02:10.070]  Hey guys, everybody in the room right now has his dad the fuck out.
[02:10.070 --> 02:12.430]  Look on their face. We're a little glazed folks. Mike's like,
[02:12.430 --> 02:15.870]  let's get really high for this episode. And nobody in the room argued that.
[02:15.870 --> 02:19.350]  Everyone was like, I like this idea. Everybody jumped right on that.
[02:19.350 --> 02:20.670]  I got a little roasted. Uh,
[02:20.670 --> 02:22.790]  I noticed that as soon as I hit play on the opening track,
[02:22.810 --> 02:25.350]  I wanted to cop real hard. So getting through that intro was awesome.
[02:25.350 --> 02:29.070]  I was proud of myself. Um, speaking of dabbing, uh,
[02:29.070 --> 02:30.790]  this episode is going to be a lot about dabbing you guys,
[02:30.790 --> 02:33.110]  but coming up in a future episode, it has been confirmed.
[02:33.110 --> 02:37.550]  We're going to have the wonderful, the miss Debbie granny on the podcast.
[02:37.550 --> 02:40.190]  So if you know about the Devin granny, stay tuned for future episodes,
[02:40.190 --> 02:42.230]  she will be joining us. I'm not sure if I'm going to her,
[02:42.270 --> 02:44.310]  if she's coming to me, uh, Lindsay,
[02:44.310 --> 02:48.230]  can you tell us a little bit about your friend, the Devin granny? Um, yeah.
[02:48.230 --> 02:51.910]  So, uh, Gail, um,
[02:52.030 --> 02:56.030]  Oh, drop in the real name, name dropping. Like you're the homie. Now you just,
[02:56.030 --> 02:56.870]  kick it with Gail.
[02:56.870 --> 02:57.710]  Not
[03:01.750 --> 03:04.270]  all right. I guess that's how this is going to go.
[03:04.750 --> 03:08.630]  Anyways, Devin granny. Cause I just feel so whatever.
[03:09.230 --> 03:14.230]  Deb and granny and I, uh, met in Colorado Springs. Um,
[03:14.270 --> 03:17.830]  we actually have hung out at Canada Canyon a couple of times and, uh,
[03:17.870 --> 03:22.430]  gotten to take some dabs and, um, we got to hang out with Brett.
[03:22.430 --> 03:24.710]  Mary's motivation. I actually, um,
[03:25.030 --> 03:28.510]  left work for lunch for 30 minutes and got to go over to Canada Canyon and hang
[03:28.510 --> 03:33.750]  out with her. Um, Brett, uh, THC, Sam THC magazine,
[03:33.750 --> 03:38.710]  Sam, um, and a couple other people Chandler and a couple other people. Yeah.
[03:38.710 --> 03:42.110]  It was super fun. Um, but yeah, uh,
[03:42.150 --> 03:47.150]  she's just big on social media because everybody wants to follow a
[03:47.190 --> 03:48.390]  dabbing granny.
[03:48.550 --> 03:52.190]  So yeah, a shout out to Devin granny. Also, she listens to the podcast.
[03:52.190 --> 03:54.350]  When you told me that she listens to the podcast,
[03:54.350 --> 03:55.870]  it put the biggest smile on my face.
[03:56.150 --> 04:01.150]  So actually you have Brett to thank for that. And, uh, well, I mean,
[04:01.150 --> 04:05.750]  like I was just sitting there, but, um, uh, we were,
[04:06.190 --> 04:10.710]  Brett and I were talking about the podcast at Canada Canyon that day. And,
[04:10.830 --> 04:15.510]  um, granny was like, what podcast is this? And, uh, Brett said,
[04:15.510 --> 04:16.350]  give me your phone.
[04:17.030 --> 04:20.430]  He took the phone from her and he subscribed her to the podcast and he goes,
[04:20.430 --> 04:24.270]  here you go. And so, and so she turns to me and she said, you're on this.
[04:24.270 --> 04:26.070]  And I said, I said, I'm very fortunate.
[04:26.070 --> 04:29.230]  I said Jeff has me on the podcast way more than I should be.
[04:29.230 --> 04:32.230]  I'm fortunate to have you. So it's a mutual, mutual thing.
[04:32.630 --> 04:35.270]  So she started listening to them. And so like,
[04:35.590 --> 04:38.750]  I guess one of the first couple of ones that I don't know what the first couple
[04:38.750 --> 04:40.030]  of ones she listens to actually were,
[04:40.030 --> 04:43.230]  but she listened to the dispensary talk one with the three of us.
[04:43.710 --> 04:46.870]  And she commented on my, uh, something and she was like, Oh,
[04:47.270 --> 04:50.390]  was it me that you were talking about flirting with you in the dispensary?
[04:51.150 --> 04:53.710]  Of course it was. That's what I said. So nobody,
[04:53.790 --> 04:55.630]  a lot of people might know who we're talking about. You guys,
[04:55.630 --> 04:59.190]  check out the dabbing granny on Instagram. She's on Facebook. Uh,
[04:59.550 --> 05:04.190]  when I discovered her, she took a giant dab, like a big dab. You guys,
[05:04.230 --> 05:07.270]  she took like a hundred of my dabs. And when I,
[05:07.270 --> 05:08.550]  the first time I saw the video,
[05:08.550 --> 05:12.190]  I felt so bad about the size of my dad for like the rest of the day.
[05:12.350 --> 05:15.110]  She's a little young to be my granny, but she could be Lindsey's granny.
[05:15.430 --> 05:17.910]  She could definitely be your granny. So she's a granny. She's for sure.
[05:17.910 --> 05:19.430]  We're not being derogatory calling her granny.
[05:20.430 --> 05:24.150]  Her Instagram handle is dabbing underscore granny. I don't think it's,
[05:24.430 --> 05:27.990]  and I'm pretty sure it's the dabbing or you have the dabbing granny on YouTube.
[05:28.190 --> 05:29.750]  There you go. I didn't know about her YouTube.
[05:29.830 --> 05:33.110]  Oh, I think that's where she shouted out your thing.
[05:33.150 --> 05:35.110]  I think so. The shout out, dabbing granny, granny,
[05:35.910 --> 05:37.910]  whatever I'm supposed to call you. Granny. We're just going to go with granny.
[05:37.910 --> 05:38.730]  I like that one.
[05:38.730 --> 05:42.950]  So she takes a giant dab off of a rig and then she chugs a beer,
[05:43.070 --> 05:44.430]  like a whole pint glass.
[05:44.470 --> 05:48.670]  And then she takes a shot and then she blows out her dab and takes another dab
[05:48.690 --> 05:52.150]  from the nectar collector and smiles into the camera. Like that's how you do it,
[05:52.150 --> 05:53.950]  bitches. And then ends the video.
[05:54.750 --> 05:58.510]  So that's actually like one of her staple things.
[05:58.510 --> 06:00.830]  She kind of like changes it around a little bit,
[06:01.230 --> 06:06.110]  but like I'm pretty sure she did that on Facebook live today or some version of
[06:06.110 --> 06:10.830]  that, you know, like a dab, a beer and then like a shot and then something,
[06:10.870 --> 06:14.310]  you know what I mean? Like a bong rip or something. I don't know. But yeah,
[06:14.310 --> 06:16.950]  so I think she does some sort of variation and that's her, like,
[06:16.990 --> 06:21.230]  I think she calls it her party trick. Okay. I, I, I could be wrong.
[06:21.470 --> 06:23.910]  I really could be wrong on that. But yeah, that's,
[06:23.910 --> 06:26.590]  I think that's where she really, it's her version of the strikeout.
[06:27.590 --> 06:31.830]  Yeah. It's impressive is all how the first time I watched the video,
[06:33.070 --> 06:37.310]  it caught my eye because it was someone who could be my grandmother with a dab
[06:37.330 --> 06:40.350]  lined up. That was like, I mean, it was,
[06:40.350 --> 06:43.230]  YouTube dab worthy size. It was massive.
[06:43.510 --> 06:47.150]  I linked to my pink, maybe half a gram,
[06:47.150 --> 06:51.350]  three quarters of a gram. Um, and then she takes this dab like a champ.
[06:51.350 --> 06:53.030]  And as I'm sitting there like, wow,
[06:53.750 --> 06:58.750]  she like throws down a pint and then does a bong rip and then exhales the bong
[06:59.310 --> 07:02.950]  rip and the dab. And I'm looking at this video in my mind,
[07:02.950 --> 07:06.470]  just shocked at what I'm seeing. I was instantly a fan.
[07:06.630 --> 07:09.830]  So I bet a lot of people, her YouTube, her Facebook or Instagram,
[07:09.830 --> 07:12.470]  it's just exploding as people listen to this. You guys go support dabbing.
[07:12.470 --> 07:15.390]  Granny. Uh, granny, we're going to get you on the podcast really soon.
[07:16.110 --> 07:18.270]  Look forward to that in a future episode. You guys, she's a patient,
[07:18.270 --> 07:21.150]  she's a cannabis advocate. She's a smoker, but she's a savage.
[07:21.150 --> 07:24.590]  It's my favorite part about her. She seems to be super sweet from everything.
[07:24.590 --> 07:28.310]  I've seen. All right, granny. Can't wait to have you on the show. Lindsay,
[07:28.310 --> 07:31.270]  thanks for arranging that. That's your fault. You said blame Brett. Brett,
[07:31.290 --> 07:33.670]  thanks for arranging that. That's your fault. You guys got granny.
[07:33.690 --> 07:35.870]  I didn't reach out to her. You guys did that. You got her listening.
[07:35.870 --> 07:37.990]  You brought her here. That's, that's your guys' fault. Thank you.
[07:38.110 --> 07:41.910]  That's what I love about the, the idea of places like Canyon Canyon.
[07:41.910 --> 07:44.950]  It's the community doesn't have any good place to meet up.
[07:44.990 --> 07:48.230]  And as soon as we started getting them really cool connections started being
[07:48.230 --> 07:49.070]  made.
[07:50.830 --> 07:51.790]  Go ahead. You got some to say.
[07:52.870 --> 07:55.230]  I thought you like, I thought you were meaning it in a negative way.
[07:55.230 --> 07:57.430]  And you're like, Lindsay, that's your fault. And I was like, Oh no,
[07:57.430 --> 08:00.550]  no, I was picking on you. And something else. Lindsay said that I really liked,
[08:00.870 --> 08:04.510]  uh, Brett right on for his grabbing someone's phone and subscribing them to my
[08:04.510 --> 08:05.350]  podcast.
[08:06.070 --> 08:08.950]  Just do that shit more frequently. He's going to get my phone and be like,
[08:08.950 --> 08:11.310]  here, you're subscribed to Ross to Jeff's podcast. Now.
[08:11.630 --> 08:16.350]  Have you seen his Instagram lives? Like his snap?
[08:16.390 --> 08:21.030]  What the new Instagram, Snapchat thing? Oh no, no. I have been in tears.
[08:21.310 --> 08:25.390]  The first one he ever put up was like by Snapchat and it was like,
[08:25.670 --> 08:29.830]  he's done. And then the next one was just something like, Oh my God,
[08:29.830 --> 08:33.350]  I'm so excited about this. I can answer all your questions now. Like, yes.
[08:33.390 --> 08:35.830]  And he goes like down and then he comes back up and he's like,
[08:35.870 --> 08:39.670]  I am in my underwear right now. And like, that was it. It just cuts off.
[08:39.670 --> 08:42.950]  And I was just like, yes, these are going to be so amazing.
[08:43.190 --> 08:45.630]  I cannot wait. That dude's a really cool dude. Shout out to Brett.
[08:45.630 --> 08:47.950]  Thanks for all the support. Thanks for the Terp love. For sure.
[08:48.470 --> 08:50.990]  You guys want to talk about that new stupid Instagram feature?
[08:51.950 --> 08:54.230]  I want to just give it a second. There's a new feature on Instagram.
[08:54.230 --> 08:56.150]  I don't know if I care or not. I don't know if I like it.
[08:56.510 --> 08:57.350]  It's kind of Snapchat.
[08:57.790 --> 09:02.150]  I don't give out my Instagram is because I don't even use it. All right.
[09:02.190 --> 09:05.870]  Like I've, I only open it when it says I have a bunch of notifications and then
[09:05.870 --> 09:09.310]  I only open it to clear the notifications. It just feels like it never ends.
[09:09.390 --> 09:12.350]  There's just so many pictures that scroll by. I'm like, I don't even care.
[09:12.350 --> 09:14.430]  I forgot. I forgot that I don't care. That's right.
[09:14.990 --> 09:19.870]  I think what you have to remember is that Instagram was originally
[09:19.870 --> 09:20.830]  just pictures.
[09:22.310 --> 09:27.030]  Look at how far Instagram has actually evolved and what it
[09:27.070 --> 09:28.790]  actually started from.
[09:29.070 --> 09:32.150]  Can you really hate them for doing a live feature?
[09:33.590 --> 09:37.830]  Not even. Um, I don't know.
[09:37.910 --> 09:42.790]  I don't really like, I have pros and cons about it, so I just don't really.
[09:43.710 --> 09:45.870]  I just feel like they're trying to suck up too much of my attention.
[09:46.110 --> 09:49.550]  Now I can scroll up and down and left and right. And it just fucks me all up.
[09:49.590 --> 09:53.270]  There's no end and there's no end to it now. Cause there's so there's,
[09:53.310 --> 09:56.070]  I'm just like, Oh, that's enough. I have to stop. All right.
[09:56.190 --> 09:58.910]  Since we're talking about social media, this is a good segue. Uh,
[09:58.950 --> 09:59.830]  Twitter people,
[09:59.830 --> 10:03.870]  I've got three names of folks that I have got envelopes with your name written
[10:03.870 --> 10:05.230]  on it. There's a stamp on there.
[10:05.230 --> 10:08.470]  There's a return address label on there that someone claimed it was mediocre,
[10:08.470 --> 10:10.870]  but I think it's just fun. It's going to work just fine.
[10:10.870 --> 10:12.790]  There's a return address label on there. If that gets lost,
[10:12.790 --> 10:14.470]  it will get back to me. I'll get it back to you.
[10:14.710 --> 10:16.670]  Those of you that receive these,
[10:16.950 --> 10:19.710]  feel free to comment about the quality of the labels and Twitter.
[10:19.750 --> 10:21.630]  Please do. We'd love to hear your comments. Uh,
[10:21.630 --> 10:23.390]  there will be stickers in there for you. Uh,
[10:23.470 --> 10:27.550]  those are to say thank you for participating in Twitter challenges or just for
[10:27.550 --> 10:30.310]  being a friend. If you guys want some stickers, contact me, hit me up on Facebook,
[10:30.310 --> 10:32.990]  hit me up on Instagram, hit me up on the Twitter, or you can email me.
[10:32.990 --> 10:34.590]  It's a girl from your heart at hotmail.com.
[10:34.750 --> 10:38.590]  The real trick is to listen to the whole episode when it's a longer one.
[10:38.990 --> 10:41.950]  Yes, that does help out. That pays off. Uh,
[10:42.910 --> 10:45.870]  but seriously, if you follow me on Twitter or Instagram or something,
[10:45.870 --> 10:49.870]  send me a message. Instagram is IRI, I R I E underscore genetics,
[10:49.870 --> 10:53.990]  IRI genetics. Uh, if you used to be following me, you might not now,
[10:53.990 --> 10:56.710]  because a long time ago they crushed my account and I've started a new account.
[10:57.110 --> 11:00.990]  I had like almost 20,000 followers. I'm only around six or 7,000 now.
[11:01.230 --> 11:04.550]  So come follow me again, please. That would be cool. Uh, on Twitter,
[11:04.550 --> 11:08.350]  it's at GFYH podcast on Facebook. It's grow from your heart podcast.
[11:08.350 --> 11:12.030]  And of course there's the email that I like to say that it's grown from your
[11:12.030 --> 11:15.350]  heart at hotmail.com. Go search for me there. Find me, email me, contact me.
[11:15.470 --> 11:17.470]  I'd love to hear from you. He gives you some stickers. Uh,
[11:17.550 --> 11:19.790]  so these friends of mine are going to get some stickers,
[11:19.790 --> 11:22.630]  big shout out to James Howlett. You're going to get some stickers in the mail.
[11:22.830 --> 11:26.430]  Jason Hawkins, you got stickers coming in the mail and Sammy, bro.
[11:26.430 --> 11:29.470]  You got some stickers coming in the mail, bro. My painted chef friend.
[11:29.910 --> 11:34.070]  Also that segues right into the next part. How you guys like that? Double segue.
[11:34.070 --> 11:36.430]  We're doing a grateful dead style one right into the other.
[11:36.430 --> 11:40.590]  We're not going to stop. Keep on jamming. Uh, Sammy asked about easy cloners.
[11:41.430 --> 11:43.790]  His basic question was, uh, do you recommend an easy cloner?
[11:43.790 --> 11:47.270]  Do you like an easy cloner? Uh, yes. I love an easy cloner.
[11:47.990 --> 11:51.630]  What I really like about an easy cloner is you can cut large clones. Uh,
[11:51.670 --> 11:55.870]  if you take big clones, they'll root quickly. And those big clones,
[11:55.870 --> 11:58.990]  I think they take off much more quickly than clones and rock wool cubes.
[11:59.190 --> 12:02.270]  Mike remembers my old school days of trying to cut clones and rock wool cubes.
[12:02.990 --> 12:06.590]  I took so many clones and put them in a rock wool cubes.
[12:06.610 --> 12:09.310]  I did that for a lot of years with a lot of different growers. Yeah.
[12:09.310 --> 12:12.350]  Mike used to be like a grow hand for everybody around here. And honestly,
[12:12.590 --> 12:16.670]  the easy cloner is a huge step up. It's a, in my mind,
[12:16.670 --> 12:21.630]  if you're growing, uh, and cloning regularly, it's worth the investment.
[12:22.230 --> 12:25.270]  Uh, just make sure you get a good one. Do you remember your first easy cloner,
[12:25.270 --> 12:27.270]  bro? Yeah. Let's not talk too much about that. No,
[12:27.270 --> 12:29.950]  but two seconds after you would plug it in your,
[12:29.990 --> 12:32.670]  your advice would have been don't buy one that crap. Yeah.
[12:32.670 --> 12:35.950]  Those old ones sucked. The new models are awesome. Yeah. They,
[12:35.950 --> 12:37.430]  they worked out all the kinks.
[12:37.470 --> 12:41.830]  It doesn't explode and turn your grow room into a water park anymore.
[12:42.190 --> 12:45.910]  That's the best description. There are new models. The new easy cloners,
[12:45.910 --> 12:49.030]  the low, uh, what do they call them? The low rise, the low profile models.
[12:49.030 --> 12:52.230]  They're white. Now I really dig them. They require less water,
[12:52.990 --> 12:55.390]  which is really helpful because that also means less nutrients.
[12:55.870 --> 12:59.110]  I'm only familiar with the big black beast, but it gets the double thumbs.
[12:59.110 --> 13:02.350]  It's the same thing, but just a new design. They, they used to leak.
[13:02.350 --> 13:04.830]  Remember how the old black ones used to spray out of the sides.
[13:04.830 --> 13:07.510]  Cause they had the drip a little. They don't leak or drip anymore.
[13:07.510 --> 13:09.870]  The new design is way better. They're easier to clean.
[13:10.070 --> 13:12.350]  I really like the new easy cloner. So Sammy, if you're,
[13:12.510 --> 13:15.150]  if you're looking to up your clone game, get yourself an easy cloner.
[13:15.390 --> 13:18.110]  It is super easy to use that thing. You need a healthy mother. Okay.
[13:18.110 --> 13:21.310]  Get your cloner set up by that. I mean, get the cloner fucking built,
[13:21.510 --> 13:24.190]  get the neoprenes in there, get the little manifold in there, get it,
[13:24.190 --> 13:27.870]  spray and get it running, fill it up with water just below those red sprayers.
[13:28.350 --> 13:30.550]  Uh, remember how much water you put in it, figure that out,
[13:30.910 --> 13:33.190]  put nutrients in there. I would use a little bit of bloom,
[13:33.470 --> 13:37.710]  like your base blue nutrient, a little bit of micro and just dip them in some,
[13:37.710 --> 13:41.550]  uh, I like to use the, uh, the easy cloner gel, the, what that,
[13:41.550 --> 13:43.110]  what's that one called? Should I can't think of the name?
[13:43.110 --> 13:45.390]  Clonex it's the purple Clonex gel. I can use that shit.
[13:45.830 --> 13:48.350]  Dip it in there, put it in the little neoprene collar,
[13:48.430 --> 13:51.750]  cut it to where there's like two or three nodes underneath that collar.
[13:51.990 --> 13:56.110]  Put that shit in the cloner, put the cloner on for 45 minutes on 15 minutes off,
[13:56.110 --> 13:59.670]  because that water will heat up because of that pump. Uh, put a T five light,
[13:59.670 --> 14:03.510]  about a foot above that. And just let the T five light run 24 hours a day.
[14:03.830 --> 14:05.270]  And no shit in like seven or eight days,
[14:05.270 --> 14:07.350]  you'll start seeing little warts pop out of the plant.
[14:07.350 --> 14:09.750]  And that's where the roots are going to grow. Like 10 to 14 days,
[14:09.750 --> 14:12.190]  you'll have savage roots and 17 to 21 days.
[14:12.430 --> 14:13.550]  Those roots are going to be so big.
[14:13.550 --> 14:15.550]  You'll have to go to a three gallon pot and skip a cup.
[14:16.190 --> 14:20.430]  Um, a huge step up in technology from the old school clone domes.
[14:20.470 --> 14:23.710]  Huge step up. So I highly, highly recommend those. We use those at the grow.
[14:23.710 --> 14:26.750]  I run a big commercial girl and I've got one, two, three,
[14:26.990 --> 14:30.270]  there are six easy cloners filled with clones right now at the grow.
[14:30.670 --> 14:31.510]  And that's how we keep it.
[14:31.710 --> 14:34.110]  We could go on like this about the cloner for a while.
[14:34.110 --> 14:35.390]  It's really an awesome product.
[14:35.510 --> 14:37.910]  So easy corner. If you'd like to send me some easy cloners, hit me up.
[14:37.910 --> 14:39.110]  It's grow from your heart at hotmail.com.
[14:39.710 --> 14:42.350]  I could just use like one 60 side or one 90 site, you know,
[14:42.350 --> 14:45.030]  just my personal setup. I don't need anything for the, for the store.
[14:45.350 --> 14:49.190]  Just send me one. I'd appreciate that. Um, yeah. All right. So Sammy,
[14:49.190 --> 14:51.030]  I hope I answered your question, bro. I hope it's not too late.
[14:51.030 --> 14:53.430]  I know that took me a while to get to that message. I apologize.
[14:53.750 --> 14:55.350]  I do one episode a week. I need to fix that.
[14:55.710 --> 14:57.990]  If I did two a week I could probably get more questions answered.
[14:57.990 --> 15:00.590]  That's what I think. Lindsay, you all right over there. Headphones. All right.
[15:00.670 --> 15:04.750]  No, my ear. You get that. You get headphone ear. No, it's, I have a,
[15:04.910 --> 15:06.310]  you have a ear. I have, yeah.
[15:06.310 --> 15:11.190]  Never hear it's not even worth it tonight.
[15:11.190 --> 15:13.190]  I don't feel like it's kind of late at night. Lindsay's real high.
[15:13.190 --> 15:17.510]  So picking on her is way too sad. We got good and fried to start. Yes. All right.
[15:17.510 --> 15:21.030]  Mike just segued us right in again. He's jamming us right into the next topic.
[15:21.310 --> 15:23.630]  On the last episode, we talked a lot about dabbing and stuff.
[15:23.630 --> 15:26.750]  And I wanted to talk about email temperature and getting your email set to the
[15:26.750 --> 15:29.230]  temperature that is perfect for you.
[15:29.230 --> 15:32.630]  Because I like my email a little bit hot. If Spence was here,
[15:32.990 --> 15:34.790]  Spencer from Gardner Whedon shout out to my brother, Spencer.
[15:35.030 --> 15:36.670]  It would crack me up every time he did this.
[15:36.670 --> 15:39.550]  Spence would reach right over and just turn my email down. Like motherfucker.
[15:39.550 --> 15:41.470]  That's too hot. And he was just like, Oh,
[15:41.470 --> 15:45.750]  that lightly scold you for leaving having it too hot. Yeah. But you know,
[15:45.750 --> 15:49.630]  it's my email and I like them hot. Well, it was just a beautiful thing to watch.
[15:49.630 --> 15:52.910]  It was pretty funny. It was pretty funny, but I just let Spence do his thing.
[15:52.910 --> 15:55.550]  He's a hash maker and he would bring over slabs and dab me out with them.
[15:55.550 --> 15:56.870]  And you could make it whatever temp you want.
[15:56.870 --> 15:58.910]  If you're going to drop that much hash on there, do your thing player.
[15:59.350 --> 16:02.390]  But most people keep their emails a little lower than I do.
[16:02.390 --> 16:04.230]  I like mine a little hot. Somebody was asking me,
[16:04.230 --> 16:06.590]  how do I get my email to the perfect temperature?
[16:07.110 --> 16:09.990]  The temperature is all kind of subjective. It's all about,
[16:10.190 --> 16:13.430]  do you want it hot and hurdy? Do you want it low temp, all taste?
[16:13.990 --> 16:17.270]  That some of the new trend is to heat a nail. And this is not the email.
[16:17.270 --> 16:20.070]  This is if you're using like a banger, the new trend is to heat the nail,
[16:20.630 --> 16:25.350]  let it get way too hot and then let it cool way down and then put your dab on
[16:25.350 --> 16:29.070]  there and waste half the fucking dab and then act like it tasted real good.
[16:29.270 --> 16:30.790]  And then get a Q-tip and clean it off.
[16:31.030 --> 16:32.430]  That's what all the trendy kids are doing now.
[16:32.430 --> 16:34.950]  That's what you see at all the events. That is not my style.
[16:35.270 --> 16:38.790]  I like to heat it and when it's hot enough to cook the dab,
[16:39.070 --> 16:41.390]  I drop a real big dab on it and make sure it all cooks.
[16:41.390 --> 16:44.950]  And I get a big thick fat milky hit that makes my eyes water and makes my lungs
[16:44.950 --> 16:47.870]  kind of Twitter a little bit. And I put a carb cap on it, make it even fatter.
[16:48.230 --> 16:49.350]  And I like to get a fat dad.
[16:49.670 --> 16:52.670]  So setting the email to the perfect temp is kind of subjective for you.
[16:53.190 --> 16:57.230]  The way I would say to do it and use a carb cap, uh, definitely use a carb cap.
[16:57.590 --> 17:00.270]  Or actually went and Googled apart about a carb cap.
[17:00.270 --> 17:02.110]  Let's talk about a carb cap for a second here.
[17:02.350 --> 17:05.550]  This actually comes from high times magazine and it was written.
[17:05.550 --> 17:09.510]  I wrote it down. It's written by Sean black. It says like this,
[17:09.510 --> 17:12.670]  the carb cap is exactly what it sounds like. The carburetor for your rig.
[17:12.710 --> 17:16.110]  It restricts restricts. What the fuck does that word mean?
[17:16.110 --> 17:18.710]  It restricts the amount of airflow to your nail,
[17:18.990 --> 17:23.990]  allowing you to collect the last bits of your oil to punctuate the end of your
[17:24.430 --> 17:27.030]  hit by cat. And this is the part that's important by capping the nail.
[17:27.030 --> 17:31.030]  You restrict the airflow into the rig through the small contact area between
[17:31.030 --> 17:33.790]  the cap and the edge of the nail. While inhaling strongly,
[17:33.790 --> 17:37.350]  the reduced airflow places the entire rig under low pressure,
[17:37.350 --> 17:41.670]  including the oil that pulled on the nail without vaporizing under low pressure.
[17:41.670 --> 17:46.070]  Every component of the hash oil suddenly has a lower boiling temperature. Uh,
[17:46.070 --> 17:48.470]  what once boiled, it should say, which,
[17:48.670 --> 17:52.190]  which once boiled at high temperatures can now do so at much lower temperatures,
[17:52.550 --> 17:55.630]  giving you a bloom of thicker, better tasting smoke.
[17:55.910 --> 17:59.670]  The carb cap lets you actually finish the dab instead of wasting it in a thick
[17:59.710 --> 18:02.070]  sputtering puddle. The trend now, you guys,
[18:02.070 --> 18:05.470]  is that thick sputtering puddle because everyone wants to taste the turps.
[18:05.470 --> 18:07.510]  Turps is the new word. Turps is the new thing.
[18:08.390 --> 18:10.910]  I like that carb cap description there. So you get your email,
[18:11.350 --> 18:14.990]  you guys set it too hot, set it too low. Just go one direction.
[18:15.070 --> 18:18.390]  I recommend just slowly climb up. Um,
[18:18.430 --> 18:22.710]  you're you're looking for the sweet spot in between wasting a lot of your product
[18:22.750 --> 18:26.150]  and burning the living fuck out of your throat. Like I did to myself last night.
[18:26.190 --> 18:30.310]  How far away right now is my finger from the top of that nail inch and a half.
[18:30.630 --> 18:31.550]  Perfect. That's what I thought.
[18:32.030 --> 18:35.950]  So put your fingers an inch to two inches above the nail and it should be able
[18:35.950 --> 18:39.550]  to sit there comfortably for like one or two seconds before like, Ooh,
[18:39.550 --> 18:42.110]  that's hot. It should feel like your fingers getting pinched.
[18:42.110 --> 18:43.990]  Like someone just pinching your finger a little bit.
[18:44.310 --> 18:46.550]  That's about the right temperature where I like it. You agree?
[18:46.910 --> 18:48.790]  Kind of feels like you're getting pinched after a couple seconds.
[18:49.150 --> 18:52.790]  So the toy that I should have now that I don't is a laser town.
[18:53.190 --> 18:55.750]  Oh, I've got one of those. I have one at home too.
[18:55.790 --> 18:57.110]  It's literally,
[18:57.110 --> 19:00.590]  I've left the house with money in my pocket to go buy one a couple of times and
[19:00.590 --> 19:03.950]  something happens and I ended up at home without one. Um,
[19:03.990 --> 19:07.070]  it's just not in the cards cause it's not necessary. It's,
[19:07.110 --> 19:08.190]  it's just something I want.
[19:08.230 --> 19:12.790]  I might have to remind me of this conversation in a much sober
[19:12.870 --> 19:14.270]  right. It just happened here.
[19:15.750 --> 19:17.390]  It depends on what kind of hash you're smoking. Also,
