[00:00.060 --> 00:01.060]  Let's do it.
[02:29.100 --> 02:30.100]  I'm better.
[02:30.100 --> 02:31.100]  I got a cough.
[02:31.100 --> 02:32.860]  I feel like we're doing good.
[02:32.860 --> 02:33.860]  What happened to the music?
[02:33.860 --> 02:34.860]  Who's responsible for that?
[02:34.860 --> 02:35.860]  I think you are.
[02:35.860 --> 02:36.860]  Here it comes.
[02:36.860 --> 02:37.860]  It's coming again.
[02:37.860 --> 02:38.860]  Watch.
[02:38.860 --> 02:39.860]  It's there.
[02:39.860 --> 02:40.860]  There's the music.
[02:40.860 --> 02:41.860]  There it is.
[02:41.860 --> 02:42.860]  Just roll it.
[02:42.860 --> 02:43.860]  Do it again.
[02:43.860 --> 02:44.860]  Do it again.
[02:44.860 --> 02:45.860]  Yeah.
[02:45.860 --> 02:46.860]  Do it again.
[02:46.860 --> 02:47.860]  No, we'll just do it that one time.
[02:47.860 --> 02:48.860]  All right.
[02:48.860 --> 02:49.860]  So, guys, it's episode 25.
[02:49.860 --> 02:52.180]  I wanted you guys here because Spence and Jesse are hard to get here, or they would
[02:52.180 --> 02:53.180]  have been here too.
[02:53.180 --> 02:55.580]  But of course, at this time of night, they're not coming.
[02:55.580 --> 02:56.580]  So we're the second choice.
[02:56.580 --> 02:57.580]  No, I want all four.
[02:57.580 --> 02:58.580]  I heard that too.
[02:58.580 --> 02:59.580]  It's cool.
[02:59.580 --> 03:00.580]  I heard that too.
[03:00.580 --> 03:01.580]  It's okay.
[03:01.580 --> 03:02.580]  It's all good.
[03:02.580 --> 03:03.580]  It's not.
[03:03.580 --> 03:04.580]  Oh, fuck.
[03:04.580 --> 03:05.580]  I appreciate the invite regardless.
[03:05.580 --> 03:06.580]  Yeah, yeah.
[03:06.580 --> 03:07.580]  Totally.
[03:07.580 --> 03:08.580]  I love it.
[03:08.580 --> 03:09.580]  Cool.
[03:09.580 --> 03:11.580]  I love that I'm all high, and you guys want to turn that and make me sound like a dick.
[03:11.580 --> 03:12.580]  That's cool.
[03:12.580 --> 03:13.580]  No, I wanted all four of you here.
[03:13.580 --> 03:14.580]  All right.
[03:14.580 --> 03:15.580]  I wanted all four of you guys here.
[03:15.580 --> 03:16.580]  That would have been dope.
[03:17.300 --> 03:18.300]  That would have been loud, but it would have been fun.
[03:18.300 --> 03:19.300]  It would have been a lot of fun.
[03:19.300 --> 03:20.660]  We would have had to get more chairs out, more microphones.
[03:20.660 --> 03:21.860]  It would have been pretty awesome.
[03:21.860 --> 03:22.860]  But imagine that party.
[03:22.860 --> 03:24.580]  Probably one other dab rig.
[03:24.580 --> 03:25.580]  Yeah.
[03:25.580 --> 03:26.580]  At least.
[03:26.580 --> 03:29.100]  But it's like one in the morning, you guys that are listening.
[03:29.100 --> 03:31.580]  It's one in the morning on Friday night.
[03:31.580 --> 03:32.580]  That's my fault.
[03:32.580 --> 03:33.580]  I'm sorry.
[03:33.580 --> 03:34.580]  Well, we all had shit to do.
[03:34.580 --> 03:35.580]  I'm a grower.
[03:35.580 --> 03:36.580]  Kev's got a life.
[03:36.580 --> 03:37.580]  Yeah, you had to work.
[03:37.580 --> 03:38.580]  Ish.
[03:38.580 --> 03:39.580]  Yeah.
[03:39.580 --> 03:40.580]  Ish.
[03:40.580 --> 03:41.580]  Life-ish.
[03:41.580 --> 03:42.580]  All right.
[03:42.580 --> 03:43.580]  I think that's where I got my second choices.
[03:43.580 --> 03:44.580]  You got me feeling bad and shit for that.
[03:44.580 --> 03:45.580]  Man, God.
[03:45.580 --> 03:46.580]  We love you, brother.
[03:46.580 --> 03:47.580]  We're not giving you shit.
[03:47.580 --> 03:49.580]  You're making me cry on the 25th episode.
[03:49.580 --> 03:54.580]  Anyway, so last night, Adam and myself and another friend went to a comedy show at Comedy
[03:54.580 --> 03:55.580]  Works in Denver.
[03:55.580 --> 03:57.540]  We saw a comedian called Todd Johnson.
[03:57.540 --> 03:58.540]  Called Todd Johnson.
[03:58.540 --> 04:00.580]  I sound like an Asian guy when you say it that way.
[04:00.580 --> 04:01.580]  This guy called Todd Johnson.
[04:01.580 --> 04:03.580]  I saw the comedian named Todd Johnson.
[04:03.580 --> 04:06.380]  He was pretty funny, but I thought he was kind of clean for my taste.
[04:06.380 --> 04:08.580]  He was kind of good old boy comedy.
[04:08.580 --> 04:11.980]  You said nasty on the ride there, so I was really expecting dirty.
[04:11.980 --> 04:13.260]  So Comedy Works is hooking me up.
[04:13.260 --> 04:17.740]  I've gone to a lot of Comedy Works shows, and they see my email address on a lot of
[04:17.740 --> 04:18.740]  shit.
[04:18.740 --> 04:21.260]  So they called me, and they're like, we'll give you free tickets to a bunch of shows,
[04:21.260 --> 04:24.460]  or you can get $5 tickets to a bunch of other shows.
[04:24.460 --> 04:27.180]  And they do it just to fill the seats is what they're trying to do.
[04:27.180 --> 04:31.620]  And I see why now that we got there, why that comedy show was $5.
[04:31.620 --> 04:34.260]  But I told them next time, give me somebody dirty.
[04:34.260 --> 04:37.340]  I was like, I want something dirtier, a little filthy.
[04:37.340 --> 04:40.340]  The opening act, there was a host who I always forget his name.
[04:40.340 --> 04:42.700]  It's Ron something, and I feel bad that I forget his name.
[04:43.140 --> 04:47.460]  He's a comedian, well known for doing dabs, dab jokes, weed jokes.
[04:47.460 --> 04:48.460]  He's pretty funny.
[04:48.460 --> 04:49.460]  He's a good host.
[04:49.460 --> 04:50.460]  He's getting better at being a host.
[04:50.460 --> 04:52.980]  Is he like in a comedy group?
[04:52.980 --> 04:54.300]  He used to be, I think.
[04:54.300 --> 04:55.300]  He's a short dude.
[04:55.300 --> 04:59.540]  Sorry to call you short, bro, but I'm 6'5".
[04:59.540 --> 05:02.380]  Everybody's fucking short to me.
[05:02.380 --> 05:03.380]  We'll look him up.
[05:03.380 --> 05:04.380]  We'll Google him when we take a dab break.
[05:04.380 --> 05:05.380]  I'm trying to think.
[05:05.380 --> 05:06.380]  What was his name again?
[05:06.380 --> 05:07.380]  Ron was his first name.
[05:07.380 --> 05:08.380]  I'm pretty sure.
[05:08.380 --> 05:10.060]  He's a real friendly looking, but he's a comedian, man.
[05:10.060 --> 05:11.060]  I can't do anything I say to describe him.
[05:11.060 --> 05:12.060]  He's a real friendly looking dude.
[05:12.060 --> 05:13.060]  He's short.
[05:13.060 --> 05:14.060]  He's got a bit of a gut.
[05:14.060 --> 05:16.540]  I would like to know if he was one of the guys I saw at Phil's one night, because there
[05:16.540 --> 05:23.260]  were two comedians that came down from Denver that were fucking hilarious and did some awesome
[05:23.260 --> 05:24.260]  dab jokes and shit.
[05:24.260 --> 05:25.260]  Could have been this guy.
[05:25.260 --> 05:29.100]  I actually tipped him with some goodies because of the jokes that they made.
[05:29.100 --> 05:30.100]  Some goodies, I like that.
[05:30.100 --> 05:32.100]  They were the only two comedians that did that shit.
[05:32.100 --> 05:34.580]  Well, following up, that guy was the host.
[05:34.580 --> 05:36.540]  Following him was a guy named Deacon Gray, right?
[05:36.540 --> 05:38.340]  Was there a comedian before Deacon Gray?
[05:38.340 --> 05:39.340]  Yeah, yeah.
[05:39.620 --> 05:40.620]  Deacon...
[05:40.620 --> 05:43.620]  Oh no, because it seemed like the host did a short set.
[05:43.620 --> 05:46.100]  The host did a five minute set.
[05:46.100 --> 05:47.580]  And then Deacon Gray came out.
[05:47.580 --> 05:52.620]  And if you guys don't know Deacon Gray, Deacon Gray is a Denver local as far as I know.
[05:52.620 --> 05:53.620]  He's funny as shit.
[05:53.620 --> 05:57.020]  He's kind of an older dude and he's had time to calm down.
[05:57.020 --> 06:00.700]  He's not a hyper kid and he's got his delivery is flawless.
[06:00.700 --> 06:03.240]  He doesn't look like he's up there performing.
[06:03.240 --> 06:05.780]  He's up there having as much fun as we are.
[06:05.780 --> 06:07.620]  And he did quite a bit of high humor too.
[06:07.620 --> 06:09.100]  And I mean, that's not easy.
[06:09.100 --> 06:12.460]  I mean, it seems easy to write jokes about pot, but it's, you know.
[06:12.460 --> 06:13.460]  Right.
[06:13.460 --> 06:17.060]  And it has to be in Denver now, there's a thing where everybody's a pot comic.
[06:17.060 --> 06:19.060]  So you can't be a pot comic.
[06:19.060 --> 06:20.620]  You have to have that.
[06:20.620 --> 06:23.180]  You can throw in your pot set for when the crowd is there.
[06:23.180 --> 06:26.540]  It wasn't rely on that because it gets old quickly.
[06:26.540 --> 06:27.660]  It wasn't about pot.
[06:27.660 --> 06:30.620]  It was more about the high humor, you know, about being high.
[06:30.620 --> 06:31.620]  Yeah.
[06:31.620 --> 06:35.340]  Then it was about like, I get my weed for cheap.
[06:35.340 --> 06:36.340]  Deacon Gray.
[06:36.340 --> 06:37.340]  I recommend that dude.
[06:38.060 --> 06:39.060]  Go see him.
[06:39.060 --> 06:40.060]  I don't know.
[06:40.060 --> 06:41.060]  He might have a website or something.
[06:41.060 --> 06:42.060]  I didn't do any research on that.
[06:42.060 --> 06:45.180]  Also, a big shout out to Melissa from comedy works.
[06:45.180 --> 06:50.100]  She probably does not have any clue about this podcast, but she made it listen.
[06:50.100 --> 06:51.100]  Yeah.
[06:51.100 --> 06:52.100]  She should listen.
[06:52.100 --> 06:53.460]  I'll tell her next time I talk to her on the phone, I'll be like, you should listen to
[06:53.460 --> 06:54.460]  my show.
[06:54.460 --> 06:55.740]  But she hooked it up.
[06:55.740 --> 06:56.740]  She made it all worth it.
[06:56.740 --> 06:59.020]  I'll be catching Joe Rogan at comedy works next week.
[06:59.020 --> 07:03.740]  And I'll let you guys know how that goes on the next episode.
[07:03.740 --> 07:06.300]  I'm coughing it up over here.
[07:06.300 --> 07:07.580]  We've been taking dabs guys.
[07:07.580 --> 07:09.100]  Excuse my little miniature pauses.
[07:09.100 --> 07:10.860]  That is not me dying at all.
[07:10.860 --> 07:11.860]  I'm also kind of cold.
[07:11.860 --> 07:18.020]  I left the air on until fucking like midnight and they got like 64 degrees in here.
[07:18.020 --> 07:20.420]  It was 60 degrees less anyways.
[07:20.420 --> 07:21.860]  Yeah, it was chilly in here.
[07:21.860 --> 07:26.140]  I've been used to it being like 85 90 and then I walked up here and it was 60 64 and
[07:26.140 --> 07:27.140]  I was shivering.
[07:27.140 --> 07:28.140]  It was kind of weird.
[07:28.140 --> 07:29.900]  Anyway, random talk on the show guys.
[07:29.900 --> 07:30.900]  Sorry.
[07:30.900 --> 07:35.500]  So before we get too far, this is a celebration show, but we have something really awesome
[07:35.700 --> 07:36.700]  to add to this celebration.
[07:36.700 --> 07:42.140]  I'm excited to announce that Mark Emery is home in Canada with his wife Jodi.
[07:42.140 --> 07:43.140]  Congratulations.
[07:43.140 --> 07:45.180]  That is that is great.
[07:45.180 --> 07:46.180]  Yeah.
[07:46.180 --> 07:49.700]  If you guys follow the show, you know that Mark Emery was arrested and held in an American
[07:49.700 --> 07:53.620]  federal prison for distributing cannabis seeds across the world.
[07:53.620 --> 07:57.620]  Most listeners of the show would agree that Mark was in prison for complete bullshit.
[07:57.620 --> 08:00.500]  So I think it's great to know that he's back home with his family where he belongs.
[08:00.500 --> 08:01.900]  He's cuddled up with his wife.
[08:01.900 --> 08:05.340]  I saw a picture of him smoking a joint with some people.
[08:06.180 --> 08:07.180]  I saw a picture of him hugging up on his wife.
[08:07.180 --> 08:09.020]  That's what a man should be doing.
[08:09.020 --> 08:11.100]  You shouldn't be locked up.
[08:11.100 --> 08:12.260]  And he's right back on the fight.
[08:12.260 --> 08:14.860]  I don't know if you've watched any video.
[08:14.860 --> 08:18.700]  He's right up there and I never really noticed that he spoke with a wisp.
[08:18.700 --> 08:23.340]  Maybe he has a retainer or something, but it really was pronounced when he like when
[08:23.340 --> 08:27.220]  he very first stepped back into Canada and got in front of the microphone.
[08:27.220 --> 08:28.220]  I don't remember that.
[08:28.220 --> 08:29.580]  I can I can link you to the video.
[08:29.580 --> 08:31.780]  I always remember him going on and on for days.
[08:31.780 --> 08:32.780]  Me too.
[08:32.780 --> 08:36.740]  It's something that I never really noticed, but he's right back on it and his wife's running
[08:36.740 --> 08:45.340]  for liberal, liberal, some kind of liberal office up there for their stuff.
[08:45.340 --> 08:46.340]  I believe you like the power.
[08:46.340 --> 08:47.340]  Yeah, good, good.
[08:47.340 --> 08:48.340]  It's good to see him back on it.
[08:48.340 --> 08:49.340]  That was quick.
[08:49.340 --> 08:50.780]  So big love and much respect to Mark and Jody Emery.
[08:50.780 --> 08:52.900]  I did a little bit of checking it out.
[08:52.900 --> 08:57.020]  Mark was taken into federal prison on September 10th, 2010.
[08:57.020 --> 09:00.380]  He was released July 9th, 2014.
[09:00.380 --> 09:01.380]  I used Siri.
[09:01.380 --> 09:04.060]  I was going to say I used a calculator.
[09:04.060 --> 09:06.220]  I just asked Siri how many days was that?
[09:06.220 --> 09:11.180]  It's one thousand three hundred and ninety eight days in federal prison, plus the time
[09:11.180 --> 09:15.520]  he was locked up while awaiting trial, the time during the trial and a couple of weeks
[09:15.520 --> 09:19.580]  in limbo after he was released from federal prison.
[09:19.580 --> 09:22.820]  One thousand three hundred and ninety eight days.
[09:22.820 --> 09:26.060]  Adam, you look speechless.
[09:26.060 --> 09:29.580]  Are you familiar with that sort of time period?
[09:29.780 --> 09:30.780]  It's a long, long time.
[09:30.780 --> 09:32.300]  That's a long time, dude.
[09:32.300 --> 09:38.500]  It's I am going to sound retarded here, but I did three and then fifty four and I felt
[09:38.500 --> 09:40.300]  like it was fucking hell.
[09:40.300 --> 09:41.940]  Three days and fifty four days.
[09:41.940 --> 09:44.140]  So you're a little tiny dude.
[09:44.140 --> 09:47.940]  So you're not like that's some fucking street courage and some bad assness.
[09:47.940 --> 09:48.940]  Yeah.
[09:48.940 --> 09:49.940]  So good job, man.
[09:49.940 --> 09:50.940]  Yeah.
[09:50.940 --> 09:53.980]  I mean, that's kind of what I was going to ask is now that he's he was the prince of
[09:53.980 --> 09:54.980]  pop before he came in.
[09:54.980 --> 09:55.980]  Now, yeah.
[09:55.980 --> 09:57.980]  Does he knock Ari off his king throne?
[09:58.380 --> 09:59.380]  You ain't got a lick.
[09:59.380 --> 10:00.380]  You know what I'm saying?
[10:00.380 --> 10:01.380]  I'm not touching that.
[10:01.380 --> 10:04.380]  OK, that's close to four years, though, in federal prison.
[10:04.380 --> 10:07.380]  That's forty six months, two hundred weeks.
[10:07.380 --> 10:10.380]  So imagine your life being disrupted for two hundred weeks.
[10:10.380 --> 10:12.380]  You'd be a totally different time.
[10:12.380 --> 10:16.380]  Well, you know, he said he learned like the bass guitar and he did a lot of read.
[10:16.380 --> 10:17.380]  That's awesome, man.
[10:17.380 --> 10:18.380]  One of the bass in prison.
[10:18.380 --> 10:19.380]  That's cool.
[10:19.380 --> 10:21.380]  Mine was in county jail, not federal prison.
[10:21.380 --> 10:22.380]  Right.
[10:22.380 --> 10:25.380]  That's a whole nother level even like that's amazing.
[10:25.380 --> 10:27.380]  And I'm glad he's free.
[10:27.780 --> 10:28.780]  Yeah, I can.
[10:28.780 --> 10:29.780]  Awesome.
[10:29.780 --> 10:33.780]  Well, he was locked up on that's in our opinion, bullshit charges, bullshit charges.
[10:33.780 --> 10:37.780]  It makes awesome, makes every seed breeder pot grower.
[10:37.780 --> 10:40.780]  It makes us all a little bit kind of and not only that, but he was worried about ourselves
[10:40.780 --> 10:42.780]  before the rules have changed.
[10:42.780 --> 10:46.780]  And now that they've changed, you know, I can just imagine the culture shock.
[10:46.780 --> 10:50.780]  I mean, from where he was, Mark Emmer, where he could probably puff on the street any time
[10:50.780 --> 10:51.780]  he wanted to.
[10:51.780 --> 10:54.780]  But now in Canada, they don't really seem to care from what people have told me.
[10:54.780 --> 10:56.780]  They're like, come here and smoke weed.
[10:57.180 --> 10:58.180]  They don't really.
[10:58.180 --> 10:59.180]  They don't think about problems to fry.
[10:59.180 --> 11:00.180]  Yeah, they don't talk about it like we do.
[11:00.180 --> 11:03.180]  They don't get all hyped about it, but they also don't give a shit about it.
[11:03.180 --> 11:04.180]  All right.
[11:04.180 --> 11:06.180]  So big shout out to Mark Emmer.
[11:06.180 --> 11:09.180]  If you guys are longtime listeners, you know that we actually did.
[11:09.180 --> 11:13.180]  We used to do a portion of the show called Give Thanks, which I will do again in the
[11:13.180 --> 11:14.180]  future.
[11:14.180 --> 11:15.180]  But we've been packing the show.
[11:15.180 --> 11:16.180]  It's been like an hour and 15 minutes sometimes.
[11:16.180 --> 11:19.180]  And I don't feel like we need to stretch it out with another give thanks portion once
[11:19.180 --> 11:20.180]  we're that long.
[11:20.180 --> 11:21.180]  So I just wrap it up.
[11:21.180 --> 11:24.180]  So, yeah, welcome home, Mark Emmer.
[11:24.180 --> 11:26.180]  Much love to Jody Emmer for being strong and keeping herself healthy.
[11:26.580 --> 11:29.580]  Keeping herself active in the movement while we were down one soldier.
[11:29.580 --> 11:30.580]  All right.
[11:30.580 --> 11:31.580]  Where'd the music go?
[11:31.580 --> 11:32.580]  I don't know.
[11:32.580 --> 11:33.580]  It's right there.
[11:33.580 --> 11:34.580]  Just real quiet.
[11:34.580 --> 11:35.580]  There it is.
[11:35.580 --> 11:36.580]  Task Rock.
[11:36.580 --> 11:37.580]  What's up, Task?
[11:37.580 --> 11:42.580]  So I need to take one second to make an important make an.
[11:42.580 --> 11:44.580]  I'm fucking high and stuttering.
[11:44.580 --> 11:45.580]  Let's try that in English.
[11:45.580 --> 11:46.580]  In English this time.
[11:46.580 --> 11:49.580]  I need to make an important announcement.
[11:49.580 --> 11:50.580]  Look, I did it.
[11:50.580 --> 11:54.580]  All the contests we have started on the show will be ending soon.
[11:54.980 --> 11:59.980]  I left a few contests open ended and I've been waiting for answers to a few like questions
[11:59.980 --> 12:00.980]  and stuff like that.
[12:00.980 --> 12:03.980]  I think those episodes have gotten old and the giveaways have just faded away.
[12:03.980 --> 12:05.980]  So I want to reuse the prizes.
[12:05.980 --> 12:11.980]  So I'll end all the contests that are happening now on the podcast, August 17th at 11, 1559
[12:11.980 --> 12:12.980]  p.m.
[12:12.980 --> 12:13.980]  Mountain Time.
[12:13.980 --> 12:18.980]  The Jenny Kush prizes and any other unused prizes will be used for future contests and
[12:18.980 --> 12:19.980]  giveaways.
[12:19.980 --> 12:20.980]  So look forward to that.
[12:21.380 --> 12:25.380]  I just wanted to make an official ending date on those contests so that when I do reuse
[12:25.380 --> 12:30.380]  those prizes, nobody can get mad if they try to go win the old contests.
[12:30.380 --> 12:31.380]  There it is.
[12:31.380 --> 12:32.380]  Official shit.
[12:32.380 --> 12:33.380]  All right.
[12:35.380 --> 12:38.380]  So I do have a Jenny Kush pin and a couple other pins and things that I tried to use
[12:38.380 --> 12:39.380]  in contests before.
[12:39.380 --> 12:42.380]  There'll be a Jenny Kush pin available pretty soon.
[12:42.380 --> 12:43.380]  I need to check the little box.
[12:43.380 --> 12:44.380]  I've got some prizes set aside.
[12:44.380 --> 12:45.380]  We're going to put them back in.
[12:45.380 --> 12:46.380]  Pins are cool, giveaways.
[12:46.380 --> 12:47.380]  Giveaways?
[12:47.380 --> 12:48.380]  Giveaways.
[12:48.380 --> 12:49.380]  You're as high as me, dude.
[12:49.380 --> 12:50.380]  No, I'm not.
[12:50.780 --> 12:51.780]  Honestly, that's the problem.
[12:51.780 --> 12:53.780]  Let's get you a couple dabs if you're saying you're not as high as me.
[12:53.780 --> 12:54.780]  No, you're good.
[12:54.780 --> 12:55.780]  No, it's cool, man.
[12:55.780 --> 12:56.780]  You're on a podcast where we need to...
[12:56.780 --> 12:57.780]  I don't need to speak well.
[12:57.780 --> 12:59.780]  You know what I'm saying?
[12:59.780 --> 13:01.780]  Well, it's a podcast.
[13:01.780 --> 13:02.780]  What are you going to do?
[13:02.780 --> 13:03.780]  You don't look good.
[13:03.780 --> 13:05.780]  Oh, well, yeah, sorry.
[13:05.780 --> 13:09.780]  For all you ladies and gentlemen that were hoping to see me, he's told you where to find
[13:09.780 --> 13:11.780]  me and look at my ugly mug before.
[13:11.780 --> 13:12.780]  So that's the...
[13:12.780 --> 13:13.780]  Go ahead and dab that.
[13:13.780 --> 13:14.780]  Oh, yeah, okay.
[13:14.780 --> 13:15.780]  That's some TerpX right there.
[13:15.780 --> 13:18.780]  Shout out to the TerpX boys, Jordan and Jordan.
[13:19.180 --> 13:21.180]  Also, big shout out to the Grammy Gatsby.
[13:22.180 --> 13:23.180]  Keep running, Hunt.
[13:23.180 --> 13:26.180]  I want to see you do six miles every morning without fucking getting winded.
[13:26.180 --> 13:27.180]  That's what I want.
[13:28.180 --> 13:31.180]  My buddy Hunt has quit eating meat, eats fish still.
[13:31.180 --> 13:32.180]  I saw that.
[13:32.180 --> 13:33.180]  And he's cut out...
[13:33.180 --> 13:36.180]  He's addicted to soda and he's cut out 23, bro.
[13:36.180 --> 13:38.180]  The Dr. Pepper, he's cut it out of his life.
[13:38.180 --> 13:39.180]  So give him some strength for that.
[13:39.180 --> 13:40.180]  Word.
[13:40.180 --> 13:41.180]  Big shout out.
[13:41.180 --> 13:43.180]  I quit Mountain Dew just for exercising.
[13:44.180 --> 13:45.180]  Yeah, I cut out Mountain Dew.
[13:45.180 --> 13:48.180]  I used to be strongly addicted to Mountain Dew and I cut that out of my diet.
[13:48.580 --> 13:50.580]  And my body feels better.
[13:50.580 --> 13:51.580]  That was tasty.
[13:51.580 --> 13:52.580]  Do you want another one?
[13:52.580 --> 13:53.580]  No, no, I'm good for a second, but that was tasty.
[13:53.580 --> 13:54.580]  Cool, I'm going to take this one right here.
[13:54.580 --> 13:55.580]  You want a dab here?
[13:55.580 --> 13:56.580]  Go for it.
[13:56.580 --> 13:57.580]  Shout out to TerpX, for real.
[13:57.580 --> 13:58.580]  Go for it.
[13:58.580 --> 13:59.580]  If you're handing them out.
[13:59.580 --> 14:00.580]  We're handing out dabs.
[14:00.580 --> 14:01.580]  That's what we do.
[14:01.580 --> 14:02.580]  You know how we do it here on the iGrowCulture podcast.
[14:02.580 --> 14:03.580]  I'm a smoker and that was smooth.
