[00:01.660 --> 00:03.660]  Anyway!
[02:55.660 --> 02:58.660]  If I cannot make it, I'll give away the ticket on this show.
[02:58.660 --> 03:00.660]  Sounds fancy.
[03:00.660 --> 03:02.660]  It's going to be fancy. It's in Aspen.
[03:02.660 --> 03:07.660]  It's a little far from here, and I have things going on that week, so I'm not sure.
[03:07.660 --> 03:10.660]  I want to go really badly, but somebody may end up with a free ticket.
[03:10.660 --> 03:15.660]  We'll keep going. This podcast is also brought to you by our good friends at Highly Educated Titanium.
[03:15.660 --> 03:19.660]  If you're using a high-grade concentrate, you deserve a high-grade titanium nail.
[03:19.660 --> 03:22.660]  Don't trust a Chinese nail or an American knockoff made of cheap metals.
[03:22.660 --> 03:26.660]  Trust the industry leader. Trust Highly Educated Titanium.
[03:26.660 --> 03:31.660]  I'm dabbing cup-winning extracts, and the only nail I put on my rig is a Highly Educated nail.
[03:31.660 --> 03:36.660]  For more information on Highly Educated products, check out HighlyEducatedTI.com.
[03:36.660 --> 03:40.660]  And Highly Educated products are available at AqualabTechnologies.com.
[03:41.660 --> 03:44.660]  This podcast is also brought to you by Nature's Green Remedies.com.
[03:44.660 --> 03:51.660]  Visit Nature'sGreenRemedies.com for Gage Green Genetics, La Plata Labs, Sin City, Rare Dankness, Mile High,
[03:51.660 --> 03:58.660]  Canaventure, Alpha Chronic, BOG, MTG, The Cali Connection, IRI Genetics, and many, many more trusted brands.
[03:58.660 --> 04:02.660]  Nature's Green Remedies is running a coupon or running a special for the podcast listeners.
[04:02.660 --> 04:09.660]  Type in coupon code HARVEST14 for 15% off any order, and you always get free shipping at Nature'sGreenRemedies.com.
[04:09.660 --> 04:13.660]  That coupon code expires on Halloween, so check them out today.
[04:13.660 --> 04:18.660]  This podcast is also brought to you by our good friends at Hygro Indoor Growing Supplies.
[04:18.660 --> 04:21.660]  I want to thank Jesse for helping us out. Big shout-out to Byrne.
[04:21.660 --> 04:24.660]  Hygro Indoor Growing Supplies has two locations to serve Colorado.
[04:24.660 --> 04:32.660]  Visit the Denver store at 6271 Beach Street or stop by the Pueblo location on 618 East 4th Street in Pueblo, Colorado.
[04:32.660 --> 04:37.660]  Check out Hygro for very competitive pricing and a great selection of indoor growing supplies.
[04:37.660 --> 04:41.660]  I shop at Hygro, you guys. I wouldn't talk about a Hydro shop that I didn't support.
[04:41.660 --> 04:43.660]  That's where I go to get all my goodies.
[04:43.660 --> 04:46.660]  I just got a new carbon filter. They took really good care of me on that.
[04:46.660 --> 04:51.660]  I got some OGT. They've got all the botanic care stuff I need. Go check them out.
[04:51.660 --> 04:54.660]  Here's one more quick ad. Big love to our friends at TreeThugger.com.
[04:54.660 --> 04:59.660]  This episode is brought to you in part by TreeThugger.com, live music lifestyle magazine.
[04:59.660 --> 05:02.660]  Check out TreeThugger.com for concert and festival, news and reviews.
[05:02.660 --> 05:06.660]  www.treethugger.com
[05:06.660 --> 05:11.660]  All right, that's enough commercials for today. We're going to get on with some show.
[05:11.660 --> 05:13.660]  Jesse and I are here.
[05:13.660 --> 05:18.660]  Last night, Jesse hosted a small gathering for growers over at Hygro.
[05:18.660 --> 05:20.660]  The party was a huge success, dude.
[05:20.660 --> 05:26.660]  Yeah, had a great response, great turnout. I was really stoked about it.
[05:26.660 --> 05:30.660]  Jesse didn't advertise much. It was kind of a test run.
[05:30.660 --> 05:32.660]  We just wanted to kind of see what would happen.
[05:32.660 --> 05:34.660]  He wanted to see what would happen.
[05:34.660 --> 05:36.660]  We had about 12 people there for most of the evening.
[05:36.660 --> 05:39.660]  I'd say about 20 people showed up for the peak of the night.
[05:39.660 --> 05:43.660]  When Spence and Maddie and Big Mike and Michael showed up, that made about 20 people in the room.
[05:43.660 --> 05:46.660]  Big shout out to everybody that came, the people that I met, the people that I already knew.
[05:46.660 --> 05:48.660]  Thanks for coming and supporting something like that.
[05:48.660 --> 05:51.660]  Big, huge thanks to Bert and Jesse and Hygro for letting us gather in the store.
[05:51.660 --> 05:52.660]  That was a great time.
[05:52.660 --> 05:54.660]  Yeah, it was fun. We had some pizza.
[05:54.660 --> 05:57.660]  We had some pizza. Thanks for feeding me, dude. That was great.
[05:57.660 --> 06:01.660]  Last night was kind of just a test run to see how many people we could get to show up.
[06:01.660 --> 06:02.660]  Do you plan on doing this more?
[06:02.660 --> 06:08.660]  Yeah, we're going to set a date real soon for next month, probably on Monday.
[06:08.660 --> 06:10.660]  Cool, trying to make it like a monthly event?
[06:10.660 --> 06:11.660]  Yeah, yeah.
[06:11.660 --> 06:13.660]  Sweet. Who's invited? Can anybody come?
[06:13.660 --> 06:24.660]  Yeah, yeah. It's 21 and up, but anyone's invited, just come down to the store and ask for info or whatever.
[06:24.660 --> 06:29.660]  Cool. Did you make a Facebook page or anything for it?
[06:29.660 --> 06:34.660]  Yeah, oh yeah, yeah. There was a Facebook event.
[06:35.660 --> 06:42.660]  I don't think I can do it from the iReed Genetics page or from the Hygro Culture page, but I can do it from my personal.
[06:42.660 --> 06:48.660]  I'll make an event or I'll share Jesse's event as soon as the next one comes up, and we'll talk about it on the show, and we'll let you guys know.
[06:48.660 --> 06:52.660]  We hope to get more growers from the Pueblo area coming out to the gathering.
[06:52.660 --> 06:54.660]  We'll announce it for sure when we get it figured out.
[06:54.660 --> 06:57.660]  Hopefully, we can get some listeners out there and meet the people.
[06:57.660 --> 07:00.660]  They can come shake our hands, and we can find out who we're talking to.
[07:00.660 --> 07:01.660]  For sure.
[07:01.660 --> 07:03.660]  Armando, we want you to come to one.
[07:03.660 --> 07:04.660]  Yeah, yeah.
[07:04.660 --> 07:11.660]  All right, so we were talking about building your grow rooms, and last night there were actually some new growers at the party, and we got to help them build a pretty sweet room.
[07:11.660 --> 07:18.660]  It was kind of nice to – they're like, we don't know what to do, and Jesse and I looked at each other, and it was neat because we had the exact same idea in our heads.
[07:18.660 --> 07:21.660]  We're like, do this, and they pretty much are going to do that, I think.
[07:21.660 --> 07:28.660]  So on this show, we're going to talk about a few different ways to set up a grow space that is suitable for your production needs.
[07:28.660 --> 07:35.660]  I also found a comment on the Facebook page that asks for guidance in building a space for $500.
[07:35.660 --> 07:39.660]  That's a really tight budget for a grow room, but I'll see what I can come up with.
[07:39.660 --> 07:44.660]  I Googled a few items to try to save some pennies, but that's a challenge, dude, $500.
[07:44.660 --> 07:46.660]  How big is the space?
[07:46.660 --> 07:48.660]  Well, she just said, help me out.
[07:48.660 --> 07:50.660]  Teach me how to build a space for $500.
[07:50.660 --> 07:52.660]  She said she's on a very low budget.
[07:52.660 --> 07:53.660]  I have her Facebook comment.
[07:53.660 --> 07:56.660]  I'd have to read to remember exactly what she said, but I think she's also disabled.
[07:56.660 --> 07:59.660]  So we're going to have to build her something that's not heavy, that's not a lot of work.
[07:59.660 --> 08:00.660]  I have an idea.
[08:00.660 --> 08:01.660]  That's accessible.
[08:01.660 --> 08:09.660]  And I want to build a PVC frame and then wrap it in some sort of Mylar type thing, and then maybe hang a small T5 light in there.
[08:09.660 --> 08:10.660]  And that'll get her going.
[08:10.660 --> 08:11.660]  We'll talk more about that.
[08:11.660 --> 08:16.660]  We'll get that going once we get into the building the grow stuff a little more.
[08:16.660 --> 08:18.660]  Let's talk about building grows.
[08:18.660 --> 08:24.660]  There's a few things to consider when you're going to plan your grow before you even go to the hardware store, before you ever go to the hydro shop.
[08:24.660 --> 08:26.660]  There's stuff you got to think about.
[08:26.660 --> 08:31.660]  The first thing to think about, in my opinion, is is it legal where you are?
[08:31.660 --> 08:33.660]  I'm not going to help you break the law.
[08:33.660 --> 08:40.660]  The first part of this is move to a location where cannabis is legal if you want to follow my rules.
[08:40.660 --> 08:42.660]  So don't do this in an illegal state.
[08:42.660 --> 08:51.660]  Move to Colorado, go to California, or even better, do what you can to get cannabis legalized or decriminalized where you are so that you can grow legally.
[08:51.660 --> 08:53.660]  I don't want to be responsible for you breaking the law.
[08:53.660 --> 08:56.660]  So if you plan on breaking the law, just change to another podcast.
[08:56.660 --> 08:58.660]  All right.
[08:58.660 --> 09:02.660]  Sorry, I don't want you to go to jail for what I'm telling you.
[09:02.660 --> 09:04.660]  But you're going to do what you're going to do.
[09:04.660 --> 09:07.660]  So the next thing to think about, understand the risk you're taking.
[09:07.660 --> 09:13.660]  Because if you're growing in a state that's not legal, the consequences can be quite severe.
[09:13.660 --> 09:15.660]  It's not just you you're putting at risk.
[09:15.660 --> 09:18.660]  If you're growing in a house, everybody in that house is in trouble.
[09:18.660 --> 09:23.660]  If you have a family and you go to jail, that's going to just cause a tidal wave of bullshit in your life.
[09:23.660 --> 09:25.660]  So keep that in mind.
[09:25.660 --> 09:28.660]  The next thing that I would say to think about is what are your realistic needs?
[09:28.660 --> 09:31.660]  If you're committed, you're going to grow some cannabis for yourself.
[09:31.660 --> 09:32.660]  What are your realistic needs?
[09:32.660 --> 09:39.660]  Do you need to grow for yourself, your family, maybe a few patients, or are you trying to become the next big production facility in your area?
[09:39.660 --> 09:45.660]  So my next idea would be set a goal and kind of stick with that for a few cycles to see what you're doing.
[09:46.660 --> 09:49.660]  You're not going to know how good of a grower or what kind of crop you get on the first grow.
[09:49.660 --> 09:55.660]  Stick with that. Set something up. Stick with it for a couple of cycles and then adjust to your needs after you've gone a couple rounds.
[09:55.660 --> 09:59.660]  Don't run your first lap and then think my shoes are too tight, my shoes are too loose.
[09:59.660 --> 10:02.660]  Run a couple laps, see what you're good at, then adjust.
[10:02.660 --> 10:09.660]  So my next thing to consider, I would say, is does your location have viable electricity?
[10:09.660 --> 10:13.660]  This is something Jesse really stressed on when he got here to talk about this.
[10:13.660 --> 10:19.660]  Running more than one or two thousand watt lights in a room may require some electrical upgrades if you want to be safe.
[10:19.660 --> 10:24.660]  If your breakers are flipping and you're scrambling to keep everything running, that's when you're creating a fire hazard.
[10:24.660 --> 10:28.660]  And you don't want to be on the news for burning down your house growing weed.
[10:28.660 --> 10:29.660]  No.
[10:29.660 --> 10:40.660]  In your experience, can you usually just run like a thousand watt light, the blower that it requires, and a couple of fans, and if you have like a hydro bubbler or whatever, is that pretty much what one room can do?
[10:40.660 --> 10:44.660]  Yeah, most residential rooms have about 30 amps.
[10:44.660 --> 10:45.660]  A 30 amp breaker.
[10:45.660 --> 10:46.660]  Yeah.
[10:46.660 --> 10:49.660]  And if you're putting an air conditioner in there, you're taking up half a breaker just with that.
[10:49.660 --> 10:52.660]  The light takes up about half a breaker.
[10:52.660 --> 10:58.660]  If you're flipping the breaker when you turn on the dishwasher or whatever, have an electrician come and help you out.
[10:58.660 --> 10:59.660]  There are a lot of electricians.
[10:59.660 --> 11:04.660]  Actually, if you're in the Pueblo area, I have an electrician that I will refer because he's looking for some work.
[11:04.660 --> 11:07.660]  He's off and he could use your job.
[11:07.660 --> 11:09.660]  So don't burn down the house, please.
[11:09.660 --> 11:10.660]  Please don't burn down the house.
[11:10.660 --> 11:12.660]  Don't create that fire hazard with electricity.
[11:12.660 --> 11:18.660]  Also, if you're in an illegal state, this is something I just thought of, you're going to have to have an excuse for all that electricity.
[11:18.660 --> 11:29.660]  If your 1,000 watt light is going to kick your light bill up about $100 per month, an additional like the light and the fan and the blower it takes to run it, you're looking about another $100 every month.
[11:30.660 --> 11:35.660]  If you're just a dude in an apartment or something like that, that may spark some concerns.
[11:35.660 --> 11:36.660]  You might want to get a hot tub.
[11:36.660 --> 11:39.660]  We've heard of people using welding equipment.
[11:39.660 --> 11:42.660]  Just get something to kind of make it look like you're doing something.
[11:42.660 --> 11:45.660]  Put a bunch of table saws in the garage if you've got that option.
[11:45.660 --> 11:47.660]  Look like you have somewhere for that power consumption to go.
[11:47.660 --> 11:50.660]  Empty saltwater fish tanks.
[11:50.660 --> 11:58.660]  But all of that stuff, I bet you they can tell that my timers are on 12-12 over at the grow.
[11:58.660 --> 12:01.660]  They're like, oh yeah, every day at 8 o'clock, this guy kicks on thousands of watts.
[12:01.660 --> 12:04.660]  And then every day at 8 o'clock, they kick off.
[12:04.660 --> 12:05.660]  They're not retarded.
[12:05.660 --> 12:07.660]  Sorry if retarded is an offensive word to you.
[12:07.660 --> 12:12.660]  So, will you be able to ventilate your space is the next thing I would think about.
[12:12.660 --> 12:14.660]  Fresh air is super important.
[12:14.660 --> 12:18.660]  Stale, stagnant, humid air is the number one cause for powdery mildew.
[12:18.660 --> 12:19.660]  It'll also slow your growth.
[12:19.660 --> 12:20.660]  It makes your plants look ugly.
[12:20.660 --> 12:21.660]  It makes your room stink.
[12:21.660 --> 12:25.660]  You want to be able to walk into your grow room and close your eyes and not smell pot.
[12:25.660 --> 12:27.660]  You want it to smell like a nice, clean room.
[12:27.660 --> 12:29.660]  So, keep that in mind.
[12:29.660 --> 12:31.660]  You have to be able to ventilate that space.
[12:31.660 --> 12:34.660]  Number five on my list of things that you should consider.
[12:34.660 --> 12:36.660]  Is your grow space safe and secure?
[12:36.660 --> 12:40.660]  You may need to hide your grow from the landlord or your nosy in-laws that come over for dinner.
[12:40.660 --> 12:43.660]  Are you ready to live the grow life in your house?
[12:43.660 --> 12:47.660]  That doesn't sound like a huge question, but dude, when you've got pot plants in your house,
[12:47.660 --> 12:50.660]  your whole house will stink if you don't have it under control.
[12:50.660 --> 12:52.660]  You might need some carbon filters.
[12:52.660 --> 12:54.660]  You might need an extra carbon filter or two.
[12:55.660 --> 12:59.660]  I always have a carbon filter on the air that is going out the exhaust.
[12:59.660 --> 13:05.660]  But then also, I'll hang a carbon filter with a blower on it just right in the middle of the room on the ceiling to act as a scrubber.
[13:05.660 --> 13:08.660]  Just to clean even more air and that eliminates more odor.
[13:08.660 --> 13:10.660]  We were talking about Ona gel last night.
[13:10.660 --> 13:14.660]  They sell Ona gels in like a plastic jar.
[13:14.660 --> 13:17.660]  They say to take the lid off and just leave it sitting.
[13:17.660 --> 13:23.660]  But I actually poke little pencil-sized holes with the drill right in the lid and then just let it sit.
[13:23.660 --> 13:28.660]  Once it gets down to about a third of the jar, I just add like a half a cup of water in there and shake it.
[13:28.660 --> 13:31.660]  It rehydrates all the crystals and it lasts a little longer.
[13:31.660 --> 13:36.660]  Put those by your door, like your entryway to your home or entryway to wherever you're growing.
[13:36.660 --> 13:38.660]  People's nose will hit that first.
[13:38.660 --> 13:42.660]  Now their nose has already been punched, so they're confused.
[13:42.660 --> 13:45.660]  When they smell the herb, they won't know that it's herb, hopefully.
[13:45.660 --> 13:47.660]  You can put them inside your ducting too.
[13:47.660 --> 13:49.660]  Oh, yeah. That's a good idea.
[13:49.660 --> 13:52.660]  There you go. It'll move that odor around instead of the cannabis odor.
[13:52.660 --> 13:54.660]  I'm going to add a random side note.
[13:54.660 --> 13:57.660]  This is just a really random sidebar because I just thought about it.
[13:57.660 --> 13:59.660]  I keep hearing a lot of people say the word marijuana.
[13:59.660 --> 14:01.660]  Marijuana is a racist word and it sounds bad.
[14:01.660 --> 14:03.660]  People are afraid of marijuana.
[14:03.660 --> 14:05.660]  Cannabis is the new word.
[14:05.660 --> 14:07.660]  Cannabis sounds better.
[14:07.660 --> 14:09.660]  It doesn't sound as racist.
[14:09.660 --> 14:13.660]  I know that's a weird way to put it, but we were taught that marijuana is the devil.
[14:13.660 --> 14:17.660]  If you smoke marijuana, you're going to get crazy and rape white bitches.
[14:17.660 --> 14:18.660]  Cannabis will heal you.
[14:18.660 --> 14:20.660]  Cannabis stops cancer.
[14:21.660 --> 14:25.660]  I think we should just try to abandon the word marijuana and say cannabis a lot more.
[14:25.660 --> 14:27.660]  That's just my random sidebar for the day.
[14:27.660 --> 14:30.660]  Marijuana actually literally is a racist word.
[14:30.660 --> 14:34.660]  Don't doubt that, people.
[14:34.660 --> 14:39.660]  It was invented by the government to discriminate against Mexicans.
[14:39.660 --> 14:40.660]  That's a huge history lesson.
[14:40.660 --> 14:43.660]  They didn't like the Mexicans that were coming to America and smoking marijuanas
[14:43.660 --> 14:45.660]  and then bringing it to the jazz musicians.
[14:45.660 --> 14:47.660]  That's all reefer madness, you guys.
[14:47.660 --> 14:48.660]  Hopefully you know about that already.
[14:48.660 --> 14:51.660]  Hopefully you're not that brainwashed and you never paid attention to that.
[14:51.660 --> 14:53.660]  Hopefully you just call it cannabis.
[14:53.660 --> 14:54.660]  All right.
[14:54.660 --> 14:56.660]  Safe and secure grow space, living the grow life.
[14:56.660 --> 15:00.660]  Another big thing to consider is the location of your grow inside of your house
[15:00.660 --> 15:02.660]  or wherever you're doing it.
[15:02.660 --> 15:04.660]  The basement is generally the coolest spot.
[15:04.660 --> 15:07.660]  You're insulated by dirt and concrete walls and you're underground.
[15:07.660 --> 15:10.660]  You don't get a lot of climate changes there in the basement.
[15:10.660 --> 15:13.660]  Also, hopefully you don't get a lot of traffic down there in the basement.
[15:13.660 --> 15:15.660]  You got like one room in the corner in the back or something.
[15:15.660 --> 15:17.660]  You can just dedicate.
[15:17.660 --> 15:19.660]  The attic is going to get hot.
[15:19.660 --> 15:20.660]  The attic is the top of the house.
[15:20.660 --> 15:23.660]  It's getting hit by the sun.
[15:23.660 --> 15:26.660]  You don't have all this insulation from the dirt and the concrete walls.
[15:26.660 --> 15:28.660]  The attic is going to be a little more challenging,
[15:28.660 --> 15:30.660]  so you're going to need more cooling power.
[15:30.660 --> 15:32.660]  You're going to have to adjust.
[15:32.660 --> 15:36.660]  Your snow melts off the roof in the middle of the winter,
[15:36.660 --> 15:38.660]  and it's the only house in the neighborhood.
[15:38.660 --> 15:41.660]  You're the only house that your roof is clean because you just melt.
[15:42.660 --> 15:45.660]  I've had to make an adjustment because I noticed that I was melting snow
[15:45.660 --> 15:46.660]  somewhere one year.
[15:46.660 --> 15:48.660]  I was like, oh, that's obvious as shit.
[15:48.660 --> 15:51.660]  Also, guys, this is something we'll cover a little later,
[15:51.660 --> 15:52.660]  but I want to jump to it.
[15:52.660 --> 15:54.660]  You're going to have to get water there.
[15:54.660 --> 15:56.660]  Putting your plants in the attic,
[15:56.660 --> 15:59.660]  once you get all the grow equipment hung up up there and everything's up
[15:59.660 --> 16:01.660]  there, now you have to get water up there often.
[16:01.660 --> 16:03.660]  Keep that in mind.
[16:03.660 --> 16:06.660]  Then another, go ahead, you got something to add.
[16:06.660 --> 16:09.660]  Attics, if you can avoid it, it's just really not a good place to grow.
[16:09.660 --> 16:12.660]  It's actually a pretty good fire hazard.
[16:12.660 --> 16:17.660]  It's a significant fire hazard.
[16:17.660 --> 16:21.660]  Avoid the attic at all costs.
[16:21.660 --> 16:23.660]  If you're in Wisconsin or something, though,
[16:23.660 --> 16:26.660]  and you can't really do it like we can here in Colorado,
[16:26.660 --> 16:28.660]  nobody goes to anybody else's attic.
[16:28.660 --> 16:30.660]  That may be someone's only option.
[16:30.660 --> 16:31.660]  For sure.
[16:31.660 --> 16:33.660]  Guys, like we were talking about earlier, be safe.
[16:33.660 --> 16:36.660]  I know this sounds cheesy as hell, but safety first, bro.
[16:37.660 --> 16:39.660]  You don't want to be on the news for burning down your house,
[16:39.660 --> 16:41.660]  growing pot, because when the news comes,
[16:41.660 --> 16:44.660]  you might've been growing legal medical cannabis,
[16:44.660 --> 16:46.660]  but as soon as that fire starts and the news truck pulls out,
[16:46.660 --> 16:47.660]  you've got a drug lab.
[16:47.660 --> 16:48.660]  Yeah.
[16:48.660 --> 16:50.660]  They're not going to be polite.
[16:50.660 --> 16:54.660]  This, this medical marijuana provider accidentally sparked fire to his home.
[16:54.660 --> 16:55.660]  Now the report's going to say,
[16:55.660 --> 16:58.660]  we're here in front of this house where there's a major drug lab on fire
[16:58.660 --> 16:59.660]  right now.
[16:59.660 --> 17:01.660]  That's what the reports and you're going to be the asshole that just went to
[17:01.660 --> 17:02.660]  jail for doing that.
[17:02.660 --> 17:04.660]  That was a nice news voice.
[17:04.660 --> 17:05.660]  You like that?
[17:05.660 --> 17:06.660]  Yeah.
[17:06.660 --> 17:08.660]  It sounded really weird in the headphones.
[17:08.660 --> 17:09.660]  I had to bail on it kind of quickly.
[17:09.660 --> 17:12.660]  So yeah,
[17:12.660 --> 17:13.660]  try to go lower in the house is better.
[17:13.660 --> 17:16.660]  In Pueblo,
[17:16.660 --> 17:19.660]  they're trying to actually push and push an ordinance where we have to grow
[17:19.660 --> 17:20.660]  in an outbuilding.
[17:20.660 --> 17:23.660]  And I was reading a book doing research on this and in Jorge Cervantes book,
[17:23.660 --> 17:24.660]  he says,
[17:24.660 --> 17:27.660]  outbuildings are actually the worst place you could think about growing
[17:27.660 --> 17:29.660]  because that's where thieves are.
[17:29.660 --> 17:31.660]  And the cops don't consider that trespassing.
[17:31.660 --> 17:33.660]  So they can go into your outbuilding.
[17:33.660 --> 17:34.660]  It's not part of your home.
[17:34.660 --> 17:35.660]  Oh,
[17:35.660 --> 17:36.660]  nice.
[17:36.660 --> 17:37.660]  Yeah.
[17:37.660 --> 17:38.660]  So the cops can walk right in.
[17:38.660 --> 17:39.660]  That's not,
[17:39.660 --> 17:40.660]  it's a different rule.
[17:40.660 --> 17:41.660]  You know,
[17:41.660 --> 17:42.660]  it's not part of your domicile.
[17:42.660 --> 17:43.660]  It's a shed.
[17:43.660 --> 17:44.660]  So they can walk right into that.
[17:44.660 --> 17:45.660]  They don't need a warrant.
[17:45.660 --> 17:47.660]  That's something we got to remind all the people that are opposed to this of
[17:47.660 --> 17:48.660]  Mike.
[17:48.660 --> 17:49.660]  Did you just hear that bro?
[17:49.660 --> 17:51.660]  You're outbuilding that they're trying to propose that we build will not be
[17:51.660 --> 17:52.660]  part of your home.
[17:52.660 --> 17:55.660]  So it will not require a warrant is what this book that Jorge Cervantes wrote
[17:55.660 --> 17:56.660]  says.
[17:56.660 --> 17:57.660]  Let me know how that really works.
[17:57.660 --> 17:59.660]  Shout out to Mike.
[17:59.660 --> 18:00.660]  He's my legal counsel.
[18:01.660 --> 18:02.660]  Grown in a shed.
[18:02.660 --> 18:04.660]  It has a lot of challenges too.
[18:04.660 --> 18:08.660]  So it's going to be a lot like growing in an attic as far as trying to
[18:08.660 --> 18:09.660]  insulate it and cool it.
[18:09.660 --> 18:10.660]  Okay.
[18:10.660 --> 18:11.660]  It's going to be very difficult.
[18:11.660 --> 18:12.660]  And I guess I should,
[18:12.660 --> 18:13.660]  one more thing.
[18:13.660 --> 18:15.660]  The next step here is how are you going to cool the room?
[18:15.660 --> 18:18.660]  Keep in mind that you have to use more electricity for that air
[18:18.660 --> 18:20.660]  conditioner and the air conditioner has to vent itself somewhere.
[18:20.660 --> 18:22.660]  So you keep in mind how you're going to cool the room.
[18:22.660 --> 18:24.660]  I had a good point that I wanted to make,
[18:24.660 --> 18:25.660]  and it just left me a little bit of a blank.
[18:25.660 --> 18:26.660]  I'm going to go ahead and say,
[18:26.660 --> 18:28.660]  keep in mind how you're going to cool the room.
[18:28.660 --> 18:30.660]  I had a good point that I wanted to make and it just left my head.
[18:30.660 --> 18:31.660]  What were you just telling me?
[18:31.660 --> 18:33.660]  What was that?
[18:33.660 --> 18:35.660]  With the sheds.
[18:35.660 --> 18:36.660]  Yeah.
[18:36.660 --> 18:37.660]  The sheds.
[18:37.660 --> 18:38.660]  Okay.
[18:38.660 --> 18:39.660]  Yeah.
[18:39.660 --> 18:40.660]  What our goal is,
[18:40.660 --> 18:42.660]  I guess I should have covered this more in the beginning,
[18:42.660 --> 18:44.660]  but your goal when you're building a grow room,
[18:44.660 --> 18:45.660]  you want as much control of the lights,
[18:45.660 --> 18:46.660]  the air,
[18:46.660 --> 18:47.660]  the water,
